"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2014"
"Wed Oct 11 2017 10:21:53 GMT+0300 (EEST)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Hawaiian Trade Zone","Quad Btu",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Honduras","Quad Btu",0.008,0.009,0.009,0.009,0.009,0.009,0.013,0.012,0.018,0.019,0.021,0.022,0.022,0.023,0.019,0.017,0.021,0.021,0.019,0.022,0.023,0.02,0.016,0.018,0.015,0.002,0.001,0.001,,,,,,,
"","Hong Kong","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,9.919E-006,9.884E-006,9.854E-006,9.76E-006,,,,,
"","Hungary","Quad Btu",0.505023932,0.502,0.53105687,0.54,0.564,0.601,0.596,0.619,0.619,0.591,0.543,0.509,0.5,0.493,0.496,0.494,0.482,0.487,0.443,0.423,0.42,0.417,0.387,0.359,0.372,0.375156355,0.369319537,0.358531095,0.34156129,0.35690937,0.35053277,0.343025955,0.327589595,0.31421415435,0.30774057
"","Iceland","Quad Btu",0.032,0.034,0.037,0.04,0.041,0.04,0.042,0.043,0.046,0.047,0.046,0.046,0.047,0.048,0.049,0.051,0.052,0.056,0.063,0.073,0.078,0.082,0.085,0.085,0.086,0.017039996,0.026019838,0.035019768,0.04,0.044,0.044,,,,
"","India","Quad Btu",2.843620148,3.3636716,3.63,3.991,4.293,4.608,4.952,5.135,5.674,5.936,6.181,6.565,6.621,6.844,7.343,7.768,8.023,8.371,8.513,8.577,8.77,9.134,9.439,9.967,10.514,10.0492502087,10.5630447872,11.0960563924,11.5105995103,12.4901073343,13.1916603233,13.3294846446,13.4102647154,13.3523291298,14.1850652959
"","Indonesia","Quad Btu",4.224565442,4.332,3.708,3.847,4.288,4.188,4.385,4.381,4.553,4.944,5.259,5.842,5.989,6.192,6.517,6.756,7.222,7.225,7.305,7.748,7.524,7.29,7.465,7.734,8.042,8.380219978,9.887317408,10.3763560217,10.512,11.536,12.707,14.072,14.825,15.697,15.207
"","Iran","Quad Btu",3.937942314,3.286,5.125,5.672,5.292,5.576,5.055,5.661,5.7,7.006,7.663,8.259,8.521,8.83,9.154,9.339,9.637,9.835,9.892,9.992,10.394,10.668,10.441,11.353,12.052,12.949709929,12.938,12.814,13.302,14.185,14.509,14.6630130152,13.507730192,12.9032566541,13.759502436
"","Iraq","Quad Btu",5.449982772,2.163,2.189,2.168,2.61,3.09,3.659,4.577,5.97,6.472,4.543,0.715,1.0180886392,1.212,1.33,1.353,1.391,2.605,4.706,5.476,5.622,5.217,4.421,2.844,4.379,4.065,4.333,4.507,5.151,5.14,5.164,5.629,6.398,6.551,7.207
"","Ireland","Quad Btu",0.043,0.061,0.082,0.088,0.092,0.098,0.071,0.067,0.081,0.088,0.09,0.093,0.092,0.103,0.107,0.107,0.104,0.092,0.074,0.06,0.056,0.041,0.044,0.037,0.044,0.032,0.035,0.037,0.04,0.043,0.01,0.008,0.008,0.007,0.005
"","Israel","Quad Btu",0.08092487,0.083,0.005,0.004,0.004,0.004,0.003,0.002755934,0.001969928,0.001679536,0.001463366,0.001494776,0.001522902,0.00174143,0.00152556,0.00121157,0.0014153497,0.0016331729,0.0014152803,0.00112453375,0.00068315385,0.00057358285,0.00067833285,0.0011423607,0.02839069,0.026109989,0.03509919,0.04109884,0.052088686,0.04208784,0.056,0.094,0.05,0.166,0.287
"","Italy","Quad Btu",1.101199866,1.133,1.191,1.141,1.188,1.191,1.268,1.204590009,1.277,1.2,1.199,1.297,1.326,1.356,1.423932721,1.359932721,1.431,1.424,1.406932721,1.345932721,1.324,1.295,1.22,1.176,1.255,0.834309969,0.796347165,0.762,0.663,0.593,0.575,0.53,0.541,0.51,0.499
"","Jamaica","Quad Btu",0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.000859914,0.000912548,0.000879676,0.000482846,0.00057584,,,,,
"","Japan","Quad Btu",2.166184636,2.191,2.344,2.492,2.6086400608,2.954640064,3.034473697,3.250789495,3.2316334728,3.248631742,3.411631742,3.624631742,3.5606334728,3.934,3.824,4.218,4.307,4.552,4.648,4.444,4.495,4.456,4.173,3.74,4.156,3.39250875995,3.49758103291,3.25686460474,2.7510837084,2.96597400819,3.10352264675,1.82786833578,0.40462205264,0.361257545149,0.217
"","Jordan","Quad Btu",,,,,,,0.002031338,0.001197961,0.001278748,0.003612132,0.00584982,0.00573567,0.0062744668,0.00730449914,0.0102090667606,0.0112611462,0.010305396776,0.0112912176,0.01023054414,0.0102607996,0.011428442,0.011475318,0.01161038,0.011507294,0.01161103,0.010079992,0.012089271,0.007118608,0.006029562,0.00702928,0.007,0.008,0.007,0.006,0.006
"","Kazakhstan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,3.592,3.206,3.025,2.663,2.611,2.712,2.661,2.597011373,3.346,3.649,3.951,4.126,4.615,4.75,5.020009919,5.176009884,5.447009854,5.48100976,5.719,5.97,6.316,6.412,6.48
"","Kenya","Quad Btu",0.012,0.016,0.017,0.02,0.019,0.022,0.023,0.024,0.029,0.031,0.032,0.034,0.034,0.036,0.035,0.038,0.04,0.038,0.038,0.03,0.021,0.033,0.039,0.044,0.042,0.013009999,0.013009919,0.013009884,0.012009854,0.01315616,0.015,,,,
"","Kiribati","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Korea, North","Quad Btu",0.771,0.8,0.837,0.847,0.866,0.719,0.722,0.724,0.857,0.699,0.886,0.835,0.783,0.728,0.696,0.663,0.587,0.558,0.51,0.567,0.595,0.613,0.586,0.604,0.622,0.526,0.539,0.527,0.548,0.557,0.787,0.896,0.907,0.918,0.896
"","Korea, South","Quad Btu",0.346,0.368,0.372,0.43,0.479,0.556,0.697,0.814,0.801,0.831,0.829,0.816,0.765,0.751,0.702,0.761,0.81,0.83,0.964,1.091,1.145,1.17,1.217,1.332,1.335,1.43295555294,1.47071366151,1.42797547623,1.49591814233,1.47685068802,1.47207808916,1.53311180977,1.48416647522,1.34934996266,1.50562019461
"","Kosovo","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Kuwait","Quad Btu",3.989380716,2.628,1.945,2.513,2.761,2.441,3.363,3.766,3.627,4.316,2.832,0.43,2.442,4.283,4.727,4.812,4.943,4.847,5.015,4.597,5.035,4.814,4.581,5.141,5.706,6.108,6.125,5.984,6.293,5.728,5.635,6.187,6.517,6.562,6.498
"","Kyrgyzstan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.13215189,0.121151475,0.135151475,0.125151475,0.13504184,0.12281702149,0.10966912227,0.13152122305,0.1484806777,0.13759159688,0.11836974805,0.14399832497,0.15,0.009,0.00896134493,0.007680336412,0.009,0.010569411997,0.0104621850625,0.01336974805,0.01722184883,0.021,0.023
"","Laos","Quad Btu",0.01,0.011,0.012,0.011,0.01,0.009,0.009,0.006,0.005,0.007,0.008,0.009,0.009,0.009,0.009,0.011,0.012,0.014,0.019,0.025,0.035,0.036,0.037,0.033,0.036,0.004,0.004,0.01,0.01,0.011,0.012,0.011,0.012,0.012,0.013
"","Latvia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.026,0.029,0.034,0.03,0.019,0.03,0.031,0.028,0.029,0.029,0.025,0.023,0.032,0.000879912,0.000872872,0.00093898,0.000581386,0.000488,,,,,
"","Lebanon","Quad Btu",0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.003,0.005,0.006,0.007,0.008,0.007,0.008,0.009,0.008,0.003,0.005,0.003,0.007,0.014,0.011,,,,,,,,,,
"","Lesotho","Quad Btu",,,,,,,,,,,,,,,,,,,,0.002,0.003,0.003,0.003,0.003,0.003,,,,,,,,,,
"","Liberia","Quad Btu",0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
"","Libya","Quad Btu",4.02877655,2.574,2.614,2.524,2.527,2.461,2.435,2.295,2.735,2.702,3.183,3.432,3.343,3.169,3.206,3.228,3.276,3.386,3.26,3.067,3.298,3.208,3.112,3.3,3.609,3.99,4.222,4.38,4.48,4.288,4.322,1.323,3.526,2.514,1.503
"","Lithuania","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.151,0.138,0.089,0.124,0.144,0.127,0.153,0.114,0.101,0.139,0.166,0.177,0.17,0.110857663,0.093094457,0.105300461,0.10445982,0.112896575,0.004,0.004,0.004,0.004,0.004
"","Luxembourg","Quad Btu",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001459854,0.00168623,0.001632576,0.000601094,0.00061488,,,0.00015100694,0.00015128946,0.0001892884
"","Macau","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Macedonia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.051,0.047,0.049,0.052,0.053,0.05,0.061,0.059,0.058,0.055,0.054,0.059,0.059,0.042,0.041,0.04,0.047,0.045,0.041,0.05,0.045,0.041,0.044
"","Madagascar","Quad Btu",0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.005,0.005,0.006,0.006,,,,,,,,,,
"","Malawi","Quad Btu",0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.012,0.012,0.012,0.012,0.014,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
"","Malaysia","Quad Btu",0.661012306,0.63,0.707,0.931,1.307,1.426,1.655,1.679,1.81,1.922,2.032,2.191,2.263,2.338,2.41,2.59,2.834,3.008,3.141,3.158,3.313,3.339,3.43,3.659,3.707,3.685,3.611,3.755,3.825,3.733,3.771,3.656,3.685,3.729,3.809
"","Maldives","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,9.999E-008,2.9757E-007,,,,,,,,
"","Mali","Quad Btu",0.00086220427307,0.00085714621484,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,
"","Malta","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Martinique","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,1.9998E-005,1.9838E-005,1.9768E-005,1.9708E-005,1.952E-005,,,,,
"","Mauritania","Quad Btu",0.00025970008225,0.0003135900786,0.00039725217594,0.0004102807098,0.00037584,0.000323857,0.000188028,0.000260475,0.0002581,0.0002608,0.00026005,0.0002609,0.000268892,0.000268034,0.000288848,0.000288736,0.00028952,0.00030639,0.000285516,0.00030678,0.000326432,0.000351322,0.000345882,0.000415125,0.000440704,,0.065,0.032,0.028,0.024,0.018,0.017,0.014,0.014,0.013
"","Mauritius","Quad Btu",0.00085181626978,0.00061672715458,0.00097222243059,0.000368200637,0.0006786,0.001,0.001,0.001,0.001,0.002,0.000873768,0.000772264,0.001,0.001,0.0007737,0.001,0.001,0.000939596,0.001,0.003,0.005,0.005,0.005,0.006,0.006,0.0040039996,0.0040039676,0.0040039536,3.9416E-006,9.76E-006,,,,,
"","Mexico","Quad Btu",5.71125132,6.739,7.791,7.655,7.883,7.825,7.096,7.343,7.349,7.37,7.636,7.958,7.961,8.061,8.178,8.117,8.813,9.107,9.366,9.112,9.393,9.595,9.663,10.107,10.018,9.768130642,9.771360411,9.507116555,8.779198335,8.72973702,8.38528348,8.393735345,8.24966678,8.18551101475,7.83472528
"","Micronesia","Quad Btu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Moldova","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.005,0.005,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,,,,,,,,,
"","Mongolia","Quad Btu",0.123,0.1,0.125,0.127,0.126,0.152,0.164,0.181,0.2,0.187,0.166,0.164,0.145,0.131,0.12,0.117,0.119,0.115,0.118219365,0.11543873,0.121,0.12,0.129,0.125001151938,0.127004133905,0.176004124418,0.196004091419,0.224000123382,0.246019708,0.34701952,0.6,0.704,0.636,0.634,0.772
"","Montenegro","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.012,0.009,0.014,0.008,0.015,0.016,0.014,0.013,0.013
"","Montserrat","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Morocco","Quad Btu",0.028100108,0.024,0.02,0.019,0.018,0.019,0.02,0.019839938,0.0208400432,0.020628311,0.020628311,0.021628311,0.01830716564,0.013418874,0.018418874,0.015371681,0.0273734024,0.0271675496,0.023209437,0.012418874,0.01,0.013,0.013,0.019,0.02,0.0040009999,0.0040009919,0.004,0.005,0.006,0.003,0.002,0.002,0.002,0.004
"","Mozambique","Quad Btu",0.139,0.035,0.031,0.053,0.006,0.002,0.000396948,0.000250056,0.000505876,0.0005216,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.01,0.017,0.08,0.099,0.123,0.131,0.112,0.159,0.08,0.094,0.098,0.129,0.105,0.122,0.154,0.307,0.37,0.454
"","Namibia","Quad Btu",--,--,--,--,--,--,--,--,--,--,,,,,,0.012,0.009,0.006,0.01,0.012,0.014,0.014,0.015,0.015,0.016,,,,,,,,,,
"","Nauru","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Nepal","Quad Btu",0.002,0.002,0.002,0.003,0.003,0.003,0.005,0.006,0.006,0.006,0.009,0.009,0.009,0.009,0.01,0.012,0.012,0.011,0.011,0.014,0.016,0.019,0.021,0.023,0.024,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Netherlands","Quad Btu",3.155893908,2.937,2.539,2.724,2.7622088,2.921,2.74,2.729,2.423,2.605,2.635,2.95,2.926,2.975,2.913,2.907,3.248,2.881,2.769,2.556,2.473,2.631,2.615,2.528,2.94,2.70400681606,2.65216333685,2.64482486721,2.81924161933,2.64805816636,2.89850159649,2.65407636577,2.64003499819,2.82160514367,2.33765837145
"","Netherlands Antilles","Quad Btu",,,,,,,,,,,,,,1.0309E-005,7.2212E-005,7.2184E-005,7.238E-005,7.1491E-005,7.1379E-005,7.1582E-005,0.00030603,0.00030999,0.00030519,0.00030723,0.00030066,0.00029997,0.00029757,0.00029652,0.00029562,0.0005856,,,,,
"","New Caledonia","Quad Btu",0.003,0.003,0.004,0.003,0.004,0.005,0.004,0.003,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004,0.003,0.003,0.003,0.00019998,0.00029757,0.00039536,0.00029562,0.0002928,,,,,
"","New Zealand","Quad Btu",0.322433854,0.337,0.368,0.397,0.431,0.453,0.528,0.515,0.557,0.573,0.589,0.611,0.597,0.617,0.633,0.637,0.658,0.692,0.641,0.662,0.666,0.667,0.692,0.621,0.629,0.36,0.371,0.417,0.444,0.445,0.47,0.371,0.379,0.366,0.378
"","Nicaragua","Quad Btu",0.006,0.005,0.005,0.004,0.006,0.006,0.005,0.006,0.006,0.01,0.008,0.008,0.007,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.006,0.007,0.007,0.005,0.005,0.004,0.003,0.004,0.003,,,,
"","Niger","Quad Btu",(s),(s),(s),0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.018,0.046,0.046,0.046
"","Nigeria","Quad Btu",4.4945244,3.183,2.857,2.769,3.118,3.356,3.31,3.052,3.303,3.902,4.069,4.3,4.426,4.451,4.369,4.525,4.564,4.849,4.897,4.89,5.178,5.453,5.153,5.709,5.898,6.446,6.263,6.245,5.874,5.694,6.341,6.605,6.997,6.501,6.822
"","Niue","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Northern Mariana Islands","Quad Btu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Norway","Quad Btu",2.92831828,3.017,3.014,3.435,3.672,3.771,3.908,4.335,4.683,5.586,5.802,6.173,6.862,7.121,7.774,8.348,9.26,9.582,9.329,9.53,10.297,10.294,10.682,10.62,10.781,9.30709999,8.94119838,8.595,8.75,8.655,8.308,7.889,8.115,7.733,7.81
"","Oman","Quad Btu",0.638100128,0.721,0.74,0.859,0.943,1.132,1.28,1.341,1.412,1.493,1.588,1.643,1.722,1.816,1.902,1.994,2.066,2.132,2.197,2.166,2.428,2.48,2.484,2.349,2.258,2.385,2.447,2.395,2.5,2.639,2.833,2.86,3.057,3.11,3.14
"","Pakistan","Quad Btu",0.4134845688,0.448320032,0.497320032,0.505320032,0.5303200304,0.575320032,0.632320032,0.673320032,0.7203200304,0.7560969,0.796319156,0.865,0.912,0.92,0.99,1.014,1.036,1.051,1.062,1.08975582276,1.14,1.117,1.137,1.242,1.317,1.17761900379,1.32513101482,1.36158615118,1.37353810706,1.4001762837,1.4322587904,1.43372861542,1.51786274574,1.46759531653,1.49451824132
"","Palestinian Territories","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,
"","Panama","Quad Btu",0.01,0.015,0.013,0.01,0.017,0.021,0.023,0.022,0.024,0.023,0.023,0.021,0.02,0.024,0.025,0.025,0.031,0.03,0.022,0.032,0.035,0.026,0.034,0.029,0.038,0.000229977,0.000714168,0.000751184,,,,,,,
"","Papua New Guinea","Quad Btu",0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005409311,0.116,0.266,0.232,0.218,0.226,0.175,0.175,0.212,0.157,0.152,0.126,0.118,0.108,0.089,0.107,0.088,0.094,0.089,0.071,0.064,0.06,0.051,0.248
"","Paraguay","Quad Btu",0.007,0.008,0.007,0.008,0.009,0.042,0.124,0.193,0.205,0.253,0.283,0.306,0.281,0.321,0.372,0.43,0.464,0.514,0.514,0.526,0.54,0.464,0.486,0.519,0.515,,,,,,,,,,
"","Peru","Quad Btu",0.539234524,0.558,0.563,0.505,0.538,0.56,0.545,0.512,0.456,0.427674082,0.407,0.386,0.371,0.425,0.439,0.443,0.428,0.396,0.403,0.39,0.387,0.399,0.403,0.399,0.407,0.29201049895,0.30901041495,0.352009884,0.395009854,0.42800976,0.608,0.776,0.833,0.87,0.916
"","Philippines","Quad Btu",0.096391,0.077,0.104,0.122,0.152,0.154,0.152,0.139,0.155,0.161,0.156,0.148,0.156,0.164,0.171,0.16334195,0.16834502755,0.16134502755,0.16934502755,0.21634502755,0.22934502755,0.233,0.306,0.359,0.407,0.328189981,0.295535626,0.342573272,0.353601094,0.40562464,0.433,0.345,0.364,0.337,0.389
"","Poland","Quad Btu",3.588545396,3.109,3.495809935,3.59,3.725,3.843,3.968,4.065,4.065,3.801487713,3.254325142,3.18709266547,3.02209291935,3.0540975426,3.0760975426,3.07708778834,3.09409780984,3.0930975426,2.7760975426,2.6570975426,2.552,2.585,2.558,2.58,2.595,2.532,2.485,2.342,2.285,2.156,2.119,2.211,2.288,2.279,2.186
"","Portugal","Quad Btu",0.088,0.058,0.078,0.09,0.107,0.118,0.096,0.104,0.134,0.07,0.106,0.106,0.06,0.1,0.121,0.096,0.162,0.144,0.143,0.089,0.133,0.164,0.101,0.181,0.125,0.038739926,0.04989271,0.063,0.059,0.076,0.002,,,,
"","Puerto Rico","Quad Btu",0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.000695741988,0.000896360288,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,,,,,,,,,,
"","Qatar","Quad Btu",1.199849896,1.052,0.933,0.839,1.091,0.877,0.881,0.858,0.991,1.059,1.2,1.245,1.39,1.446,1.443,1.507,1.654,1.9,2.31,2.371,2.828,2.744,2.807,3.14,3.701,4.225,4.475,5.11,5.906,6.564,8.052,9.528,9.909,10.205,10.012
"","Reunion","Quad Btu",0.003,0.004,0.004,0.005,0.004,0.005,0.005,0.005,0.004,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.00209999,0.002109109,0.00209884,9.854E-005,0.0001952,,,,,
"","Romania","Quad Btu",2.17715712,2.239,2.357,2.433,2.372,2.285,2.356,2.35,2.333,2.153,1.797,1.556,1.461,1.431,1.394,1.422,1.382,1.369,1.227,1.171,1.154,1.212,1.167,1.101,1.109,0.915068083,0.958813216,0.96582259806,0.97933389,0.94317044,0.90371065,0.93197523,0.91102852,0.8546004168,0.85029522
"","Russia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,49.284,45.848,43.297,42.348,40.714,39.667,39.945,41,41.915,43.029,44.291,47.3,49.924,49.3927811058,50.4938716873,50.902694778,51.0874416676,48.0893527086,51.1972841883,52.7149679302,53.4469638436,53.9859491735,54.0104299369
"","Rwanda","Quad Btu",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.000909304,0.000986781,0.001,0.000831328,,,,,,,,,,
"","Saint Helena","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Saint Kitts and Nevis","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Saint Lucia","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Saint Pierre and Miquelon","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Saint Vincent/Grenadines","Quad Btu",0.00017659605593,0.00017770104454,0.00018817208334,0.0001893603276,0.00022968,0.000271622,0.000292488,0.000322989,0.00036134,0.000375552,0.000249648,0.000135668,0.00020684,0.000237107,0.000216636,0.000216552,0.00021714,0.000214473,0.000224334,0.000224972,0.000255025,0.000196327,0.000223806,0.000212625,0.000270432,,,,,,,,,,
"","Samoa","Quad Btu",7.271602303E-005,7.317101834E-005,0.00012544805556,0.0001262402184,0.00016704,0.000177599,0.00020892,0.000187542,0.000185832,0.00020864,0.00020804,0.00020872,0.00025855,0.000257725,0.0002579,0.000268112,0.0003102,0.000337029,0.000387486,0.000439718,0.000357035,0.000495984,0.000630726,0.00054675,0.0005008,,,,,,,,,,
"","Sao Tome and Principe","Quad Btu",7.271602303E-005,7.317101834E-005,8.363203704E-005,6.31201092E-005,8.352E-005,8.3576E-005,7.3122E-005,8.3352E-005,8.2592E-005,8.3456E-005,8.3216E-005,8.3488E-005,8.2736E-005,8.2472E-005,8.2528E-005,8.2496E-005,8.272E-005,8.1704E-005,7.1379E-005,9.2034E-005,0.00010201,4.1332E-005,6.1038E-005,7.0875E-005,6.0096E-005,,,,,,,,,,
"","Saudi Arabia","Quad Btu",22.43450771,22.437,15.104,11.923,11.289,8.642,12.036,10.842,12.856,12.809,15.92,19.747,20.393,20.107,20.39,20.659,20.816,21.243,21.415,20.177,21.593,20.945,20.27,23.049,24.628,26.063,25.285,24.586,26.254,23.78,25.429,26.715,27.938,27.598,27.588
"","Senegal","Quad Btu",,,,,,,,,,,0.000457688,0.000459184,0.000455048,0.0010988687,0.00146422,0.002474352,0.00248598,0.001490224,0.001499653,0.0015113,0.002540653,0.002640646,0.005,0.006,0.005,0.002549945,0.002535626,0.002375592,0.002,0.002,0.002,0.0006349637,0.001,0.001,0.001
"","Serbia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.291,0.289,0.3,0.305,0.314,0.336,0.316,0.335,0.264
"","Seychelles","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Sierra Leone","Quad Btu",,,,,,,,,,,,,,,,,,,,,0.000153015,0.000154995,0.000162768,0.000162,0.000160256,,,,,,,,,,
"","Singapore","Quad Btu",,,,,,,,,,,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.01,0.01,0.009,0.009,0.01,,,,,,,
"","Slovakia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,0.221,0.231,0.226,0.225,0.213,0.219,0.236,0.273,0.285,0.296,0.275,0.268,0.22521592192,0.230788378905,0.198995536612,0.209869766982,0.183433057944,0.186875589184,0.197514457748,0.198339621434,0.192849412788,0.19544725148
"","Slovenia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.12454663,0.11678361145,0.1224206658,0.1244206658,0.12541082436,0.124541441875,0.12837687032,0.1250425079,0.126,0.128,0.13,0.1251892884,0.1381892884,0.09948792072,0.09522654572,0.097585491802,0.10104259304,0.09590180747,0.095263091555,0.10030242662,0.09169939662,0.08565454949,0.08893570804
"","Solomon Islands","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Somalia","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,0.00010125,,,,,,,,,,,
"","South Africa","Quad Btu",2.351,2.616,2.827,2.966,3.358,3.59,3.701,3.672,3.829,3.728,3.652,3.736,3.651,3.988,4.18,4.402,4.415,4.709,4.799,4.803,4.835,4.822,4.763,5.148,5.311,5.267338277,5.240618297,5.26576601845,5.36223899925,5.26545510195,5.4104508979,5.3308382489,5.44041393,5.4126235145,5.513146705
"","South Sudan","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,-,
"","Spain","Quad Btu",0.84581084,0.899,1.013,1.108,1.262,1.31,1.344,1.345,1.456,1.434,1.417,1.427,1.336,1.331,1.311,1.249,1.402,1.322,1.355,1.225,1.325,1.488,1.317,1.49,1.444,1.09756919064,1.11885458016,1.09316539729,1.04661679355,1.02263335448,0.724177262591,0.656652183678,0.687609515084,0.62048123516,0.6178395079
"","Sri Lanka","Quad Btu",0.015,0.016,0.017,0.013,0.022,0.025,0.027,0.022,0.027,0.029,0.032,0.032,0.03,0.039,0.042,0.045,0.033,0.035,0.04,0.042,0.032,0.032,0.027,0.033,0.03,0.000179982,0.000188461,2.9652E-005,2.9562E-005,2.928E-005,,,,,
"","Sudan","Quad Btu",0.005,0.008,0.008,0.008,0.008,0.01,0.01,0.01,0.009,0.01,0.015,0.016,0.0165582232,0.016556698,0.017185566,0.015371132,0.02,0.025,0.035,0.145,0.363,0.406,0.461,0.518,0.653,0.654,0.707,0.866,0.889,0.897,0.902,0.841,0.209,0.459,0.481
