"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Brunei Darussalam","BRN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","86.5598","87.0384","87.517","84.95","82.383","79.816","77.249","74.682","70.71","66.738","62.766","58.794","54.822","56.5188","58.2156","59.9124","61.6092","63.306","60.7636","58.2212","55.6788","53.1364","50.594","48.074","45.554","43.034","40.514","37.994","39.2154","40.4368","41.6582","42.8796","44.101","41.0324","37.9638","34.8952","31.8266","28.758","27.7258","26.6936","25.6614","24.6292","23.597","23.6402","23.6834","23.7266","23.7698","23.813","23.4052","22.9974","22.5896","22.1818","21.774","21.4452","21.1164","20.7876","",
"Bhutan","BTN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.681","109.3864","109.0918","108.7972","108.5026","108.208","108.8206","109.4332","110.0458","110.6584","111.271","109.4906","107.7102","105.9298","104.1494","102.369","100.3026","98.2362","96.1698","94.1034","92.037","87.655","83.273","78.891","74.509","70.127","65.9384","61.7498","57.5612","53.3726","49.184","44.892","40.6","36.308","32.016","27.724","25.209","22.694","20.179","",
"Botswana","BWA","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","159.6744","160.0362","160.398","160.6392","160.8804","161.1216","161.3628","161.604","160.8612","160.1184","159.3756","158.6328","157.89","157.0216","156.1532","155.2848","154.4164","153.548","151.6136","149.6792","147.7448","145.8104","143.876","140.5436","137.2112","133.8788","130.5464","127.214","118.8268","110.4396","102.0524","93.6652","85.278","82.6834","80.0888","77.4942","74.8996","72.305","69.9218","67.5386","65.1554","62.7722","60.389","58.1482","55.9074","53.6666","51.4258","49.185","47.1478","45.1106","43.0734","41.0362","38.999","36.3236","33.6482","30.9728","",
"Central African Republic","CAF","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","171.8128","172.6954","173.578","173.8722","174.1664","174.4606","174.7548","175.049","175.049","175.049","175.049","175.049","175.049","174.2636","173.4782","172.6928","171.9074","171.122","169.7654","168.4088","167.0522","165.6956","164.339","162.7412","161.1434","159.5456","157.9478","156.35","153.7594","151.1688","148.5782","145.9876","143.397","141.5976","139.7982","137.9988","136.1994","134.4","132.0272","129.6544","127.2816","124.9088","122.536","119.3534","116.1708","112.9882","109.8056","106.623","104.9652","103.3074","101.6496","99.9918","98.334","95.7756","93.2172","90.6588","",
"Canada","CAN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","55.6166","54.8488","54.081","52.2786","50.4762","48.6738","46.8714","45.069","43.4946","41.9202","40.3458","38.7714","37.197","35.7988","34.4006","33.0024","31.6042","30.206","29.142","28.078","27.014","25.95","24.886","24.5578","24.2296","23.9014","23.5732","23.245","23.6238","24.0026","24.3814","24.7602","25.139","24.133","23.127","22.121","21.115","20.109","18.9676","17.8262","16.6848","15.5434","14.402","14.3096","14.2172","14.1248","14.0324","13.94","13.4188","12.8976","12.3764","11.8552","11.334","10.7086","10.0832","9.4578","",
"Central Europe and the Baltics","CEB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","46.7075391958596","46.0393209282441","45.3217449263174","45.4967445702449","45.6456593859257","45.7962758793967","45.9696210685514","46.1627251395156","45.9334255782405","45.6769484062107","45.4161208407284","45.0902525581128","44.7194287214269","45.6553575045299","46.6066837408708","47.5969327576877","48.6340398944762","49.6797834153856","49.5807467257826","49.5615026834688","49.6734667929208","49.9036016341629","50.2944247611008","49.9295894100548","49.3971961529652","48.6547444303577","47.7560135352746","46.7320514948931","45.2456990106039","43.750668722677","42.2764388573046","40.8360532404105","39.3994026086662","36.8604150715118","34.3497879412263","31.8233321397873","29.3111136057138","26.7668173740134","25.7646891663465","24.8067690901532","23.9622857115345","23.0355501725643","22.1758273201897","22.4022243347419","22.607006521887","22.7309118571557","22.712299624361","22.570315681243","22.0325292804497","21.5758141963546","21.2423668080264","20.9665360359614","20.7502986247999","20.1145631333363","19.491307304104","18.8481780976076","",
"Switzerland","CHE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","18.0118","18.7704","19.529","20.0324","20.5358","21.0392","21.5426","22.046","21.554","21.062","20.57","20.078","19.586","17.9444","16.3028","14.6612","13.0196","11.378","10.866","10.354","9.842","9.33","8.818","8.3148","7.8116","7.3084","6.8052","6.302","6.3494","6.3968","6.4442","6.4916","6.539","6.3686","6.1982","6.0278","5.8574","5.687","5.618","5.549","5.48","5.411","5.342","5.1742","5.0064","4.8386","4.6708","4.503","4.301","4.099","3.897","3.695","3.493","3.2754","3.0578","2.8402","",
"Channel Islands","CHI","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","26.7686","27.5188","28.269","27.8276","27.3862","26.9448","26.5034","26.062","24.9498","23.8376","22.7254","21.6132","20.501","19.7618","19.0226","18.2834","17.5442","16.805","16.6196","16.4342","16.2488","16.0634","15.878","16.114","16.35","16.586","16.822","17.058","16.9692","16.8804","16.7916","16.7028","16.614","16.0464","15.4788","14.9112","14.3436","13.776","13.3964","13.0168","12.6372","12.2576","11.878","11.4848","11.0916","10.6984","10.3052","9.912","9.5432","9.1744","8.8056","8.4368","8.068","7.6044","7.1408","6.6772","",
"Chile","CHL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","88.6918","89.1294","89.567","90.1584","90.7498","91.3412","91.9326","92.524","90.9788","89.4336","87.8884","86.3432","84.798","82.5238","80.2496","77.9754","75.7012","73.427","71.9452","70.4634","68.9816","67.4998","66.018","65.9308","65.8436","65.7564","65.6692","65.582","65.1952","64.8084","64.4216","64.0348","63.648","63.0848","62.5216","61.9584","61.3952","60.832","59.5564","58.2808","57.0052","55.7296","54.454","54.1002","53.7464","53.3926","53.0388","52.685","52.012","51.339","50.666","49.993","49.32","48.7144","48.1088","47.5032","",
"China","CHN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","68.0332","66.6056","65.178","62.4794","59.7808","57.0822","54.3836","51.685","47.3522","43.0194","38.6866","34.3538","30.021","27.0994","24.1778","21.2562","18.3346","15.413","15.9844","16.5558","17.1272","17.6986","18.27","19.3592","20.4484","21.5376","22.6268","23.716","22.4152","21.1144","19.8136","18.5128","17.212","15.7114","14.2108","12.7102","11.2096","9.709","9.3968","9.0846","8.7724","8.4602","8.148","8.0894","8.0308","7.9722","7.9136","7.855","7.7882","7.7214","7.6546","7.5878","7.521","7.4344","7.3478","7.2612","",
