,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_per_capita
Afghanistan : 2001,1.73192979502,0.319071782498,,,3.40405837029e-05,2.24816442948,3.6753895913e-05,0.00196555180899,0.00378754661992,0.00373874019307,2.24816442948,0.664981856918,1.22063819891,2.80033635553,,,0.487361909228,,2.5230308302,1.81712062257,0.815473122702,0.833250933374,0.824635223949,0.00245208204132,0.00276779864831,35.8801409678,1.47849375196,0.000163374099272,652860.0,0.0917838972799,2.75855499556,117.409690795
Afghanistan : 2002,1.74187149245,0.312584990247,,,4.3609133724e-05,2.24549813339,3.67363432644e-05,0.002158415442,0.00402955967147,0.00390860792767,2.24549813339,0.807815411005,1.27236128747,2.77535077271,,,0.530185392702,,2.67008990354,1.84242424242,0.821127986699,0.838512116793,0.830099457487,0.00243359528548,0.00286859524571,37.2718584994,1.4862562607,0.000159639927489,652860.0,0.09767442275,2.77205158881,187.845094955
Afghanistan : 2003,1.7504803221,0.307018148266,,,4.63000441697e-05,2.23556512235,3.57372596669e-05,0.00215464286381,0.00410558288512,0.00403591365875,2.23556512235,0.805588340825,1.67516480841,2.74084503303,,,0.708253028132,0.01406612913,3.75902765802,1.86582809224,0.826934005817,0.84393475845,0.83572229581,0.00240638544958,0.00297617411412,38.6469933549,1.49422474069,0.000155879661272,652860.0,0.137901039454,2.73513661868,198.728543552
Afghanistan : 2004,1.7568366832,0.302668507795,,,3.51241353394e-05,2.21387961757,3.54195445047e-05,0.00247085347309,0.00414294510598,0.0041639147149,2.21387961757,0.835067997148,1.23165836965,2.69850776906,,,0.763814781181,0.0156573216,3.26945508815,1.8847826087,0.831935750838,0.848836328295,0.840678279103,0.00236978613573,0.00307712601589,39.9708572765,1.50245687021,0.000152221305904,652860.0,0.1211358187,2.68566196879,219.141352785
Afghanistan : 2005,1.75913962309,0.299687536301,,,4.7504099197e-05,2.18523905569,3.51716375914e-05,0.00256953116369,0.00396765078148,0.00409847275084,2.18523905569,0.922976924876,0.954315020495,2.65580114776,,,0.868672206109,0.01720629674,2.80945691779,1.90519187359,0.837607918766,0.854564474855,0.846381853248,0.00195042957139,0.00316260399825,41.2087620065,1.51079233226,0.000148792866669,652860.0,0.104862400564,2.61931466056,250.294129909
Afghanistan : 2006,1.78600036486,0.3000760149,,,5.70703071942e-05,2.1526487581,6.89369915897e-05,0.00214159131311,0.00391865959265,0.00408494015957,2.1526487581,0.902742954014,0.882000240041,2.59656372922,,,0.922683818133,0.02153552863,2.58186950021,1.92289719626,0.842264053142,0.859225439862,0.851032146782,0.00186129988323,0.00322971186214,42.3260192871,1.51892962912,0.000145679816452,652860.0,0.100555349411,2.5403722721,272.563077018
Afghanistan : 2007,1.81196361538,0.300320992395,,,7.64363876656e-05,2.10817723912,6.83386865304e-05,0.00218292488806,0.00404970726402,0.00422103710428,2.10817723912,0.929486769197,0.590687805134,2.53055194265,,,0.773066876419,0.02199190354,2.01042033756,1.94202898551,0.846641356969,0.8637862024,0.855493510553,0.00223706942196,0.00328269988497,42.7703018188,1.52703264965,0.000142857870461,652860.0,0.0761737610947,2.4468646208,369.83579597
Afghanistan : 2008,1.83343071183,0.300555683209,,,0.000137484164449,2.06060219588,0.000136710072115,0.00200631868874,0.00409561418394,0.00419713583009,2.06060219588,0.883388513114,0.585446548126,2.46003414121,,,0.73903014765,0.02154948714,1.82358679118,1.96009975062,0.85086496453,0.868136450095,0.859772175526,0.00232800275801,0.00332855320459,43.7298202515,1.53532041194,0.000140290397457,652860.0,0.073065520244,2.33539859502,373.3611163
Afghanistan : 2009,1.8467091926,0.300984470615,,,0.000223486033455,2.01773191502,0.000251346499102,0.00207148791093,0.0041409662589,0.0042657690991,2.01773191502,0.867338520561,0.554144435262,2.3924594851,,,0.767731721388,0.02186447458,1.62978641125,1.98449612403,0.854070998965,0.871514782858,0.863050918191,0.00206075131768,0.00337712591453,42.836391449,1.54345668657,0.000137940766205,652860.0,0.0569068174248,2.22170075701,445.893297924
Afghanistan : 2010,1.84999206625,0.301619973112,,,0.000265691788086,1.97600053952,0.000279085993372,0.00226058213326,0.00414726721911,0.00429607819516,1.97600053952,0.825086092189,0.347567664251,2.31884046194,,,0.739473058636,0.02111169652,1.59475766208,2.00266666667,0.857252525872,0.874884408537,0.866315346611,0.00189747275108,0.00343499319884,44.4170913696,1.55147005448,0.000135772345466,652860.0,0.0549673280956,2.11030015988,553.300289383
Afghanistan : 2011,1.82322685305,0.302103406496,,,0.000369805686942,1.93105806205,0.000422982023264,0.00220344424713,0.00419798288739,0.00430716395638,1.93105806205,0.798851877775,0.200051668884,2.24510118389,,,0.677695203242,0.0229868095,1.46872160909,2.02762430939,0.859827740958,0.877651130662,0.868972439138,0.00177859261785,0.00350406545517,43.5191497803,1.55918986394,,652860.0,0.0503012220744,2.00160676955,603.537023062
Afghanistan : 2012,1.78538822694,0.302937736848,,,0.00031913090199,1.8823684881,0.000344934634887,0.00221216938442,0.00419094071003,0.00428203523095,1.8823684881,0.800956346127,0.180626006707,2.16596135329,,,0.692208010606,,1.29983328251,2.05444126074,0.862786104227,0.880539824824,0.871884474295,0.0011447151132,0.00358110902346,44.6774291992,1.5668597525,,652860.0,0.0446592477621,1.89417069713,669.009050888
Afghanistan : 2013,1.73999169824,0.30352318931,,,0.000296337545717,1.84694063989,0.000315402137726,0.00221312703891,0.00411434851675,0.00424107142857,1.84694063989,,0.207521443063,2.09613396988,,,0.71418802446,,1.66812526993,2.07418397626,0.865577509544,0.883221993017,0.874612425473,0.00106143348133,0.00366185748936,45.7117118835,1.57420437835,,652860.0,0.0560656699448,1.80113057687,631.744970642
Afghanistan : 2014,1.69135565966,0.302978088907,,,0.000288050378127,1.80488069096,0.000279173646008,,,,1.80488069096,,0.216937301117,2.02337588208,,,0.742527582973,,1.54063653358,2.08895705521,0.868445721781,0.885951049093,0.877405351371,0.00133435667773,0.00374013134168,45.6384772777,1.58128167745,,652860.0,0.0523415771943,1.70812449833,612.069651391
Afghanistan : 2015,1.64190585675,0.300968201429,,,,1.78082015569,,,,,1.78082015569,,0.238438371468,1.95788583695,,,0.800646259552,,1.70174466672,2.09148264984,0.87166695321,0.888913900868,0.880501432957,0.000993453782028,0.00381173736107,44.3287696838,1.58801204269,,652860.0,0.0558037319478,1.61458223394,584.025902056
Angola : 2001,1.67438367952,0.34775684934,2.86123765793e-06,0.00128372410168,0.000405128740572,2.29105147762,0.000661570126433,0.00287104711565,0.00306923195997,0.00394537177542,2.29105147762,0.858550694743,2.95765641708,2.5010579842,1.2872184793e-06,0.00141246650611,0.563842902562,0.0469185658,3.02272843907,2.46887159533,0.72126118479,0.69488901593,0.708457072626,0.00452435381521,0.00224197432971,41.7424850183,1.26057790841,0.000132559084576,1246700.0,0.150335506426,3.83181296262,526.168742997
Angola : 2002,1.69400682071,0.342322704179,2.18990665048e-06,0.00168599467641,0.000515842287269,2.30623094077,0.000844935895081,0.00288413308811,0.00324630692933,0.00409911510486,2.30623094077,0.875902720523,2.68291364823,2.50701469882,1.72189957009e-06,0.00184765052816,0.508148833107,0.0410441097,2.31760709583,2.53535353535,0.735536156939,0.708449469982,0.722376774439,0.00351023506834,0.00229339882414,41.4315565535,1.25823103174,0.000132401515488,1246700.0,0.124959927355,3.90795435407,711.181715953
Angola : 2003,1.7137201448,0.336602045391,8.18803484103e-06,0.00167601486036,0.000351084997507,2.31858969699,0.000571796154671,0.00310659411242,0.00325796896348,0.00423003001337,2.31858969699,0.875427467942,2.63156450349,2.51039281613,8.06264923879e-06,0.00184234108084,0.53996612834,0.04498059152,2.4714667721,2.60167714885,0.749923407512,0.722279189308,0.736488546666,0.00472213379181,0.00234887156974,41.0943845287,1.25580363319,0.000132172187965,1246700.0,0.130453671647,3.94513069736,779.468305599
Angola : 2004,1.73199461271,0.331022420242,5.96479916207e-06,0.00193251888843,0.000695023913569,2.32254726362,0.00113342542415,0.00304491156183,0.00322195730907,0.00429727853139,2.32254726362,0.868961262319,2.54509731624,2.51083250063,5.74721906438e-06,0.00215444131729,0.372585205227,0.03804106483,2.03150778961,2.66956521739,0.763269378713,0.735543457055,0.749796237229,0.00416241473796,0.0024069047754,40.8074259816,1.25327618909,0.000131850551528,1246700.0,0.124395181933,3.96888016072,1041.08684393
Angola : 2005,1.74780786192,0.325760706698,8.39392472201e-06,0.00187680373395,0.000685528768522,2.3222605026,0.00112549240293,0.00315825095684,0.00330847650663,0.00436988085395,2.3222605026,0.8653962964,2.99646310506,2.5149779435,8.85455316583e-06,0.00213011027278,0.353589442206,0.03671002702,1.94528787259,2.73589164786,0.776943397478,0.749336195319,0.763532608764,0.00483484197373,0.00246648749445,40.6471379495,1.25070209922,0.000131416055701,1246700.0,0.139657431959,3.97189818734,1443.99192856
Angola : 2006,1.76918252036,0.321750225029,6.89185392205e-06,0.00196698577623,0.000770068678408,2.32084511167,0.00124086584861,0.00313155273282,0.0033630396953,0.00440284242021,2.32084511167,0.837591797888,2.65884168849,2.50638086627,6.68452331343e-06,0.00216168288277,0.606849446723,0.03994863809,1.35839529764,2.78971962617,0.789533572368,0.762102310299,0.776202554332,0.0047148449282,0.00252734136503,40.6899774701,1.24774519694,0.000130926527428,1246700.0,0.118774521437,3.9593980328,2062.41514943
Angola : 2007,1.78672838803,0.318227517799,1.20458922085e-05,0.00182101707074,0.000845608359675,2.30920664594,0.00133260438734,0.00319649861297,0.00346394603476,0.00448304673881,2.30920664594,0.872510174848,2.45101548824,2.49451312241,1.27295460803e-05,0.00197115822566,0.525561688687,0.04232446079,1.49930814237,2.82850241546,0.801914550015,0.774741402313,0.788706976763,0.00336223184907,0.00258968573888,41.0124015808,1.2445596869,0.000130436971987,1246700.0,0.117473814382,3.92707285132,2878.83714393
Angola : 2008,1.80040444504,0.314573789069,1.91448798196e-05,0.00207932738747,0.000840367460291,2.29593297883,0.00129874568509,0.00326870628899,0.00369007935252,0.00461664377195,2.29593297883,0.861302967221,2.48321138155,2.48088188817,2.07245073876e-05,0.0022509850468,0.635212541092,0.05733614396,1.6962365115,2.86034912718,0.814193329426,0.787105875639,0.801022565196,0.00375821463787,0.00265359861508,42.3403950686,1.24133362415,0.000129922606402,1246700.0,0.127544978249,3.89499872252,3868.5788829
Angola : 2009,1.8100204458,0.310004951067,1.25245789228e-05,0.00176590855977,0.000917551813409,2.28873035081,0.00132854578097,0.00331761735734,0.00368953716336,0.00472083913274,2.28873035081,0.872197069148,2.06878163419,2.4717062385,1.29302723229e-05,0.00192949296112,0.653458081417,0.04363790943,2.13995192174,2.8992248062,0.825307627849,0.798270626512,0.812152250317,0.00438612881814,0.00271931456275,44.3597223051,1.23785279284,0.000129358647696,1246700.0,0.110316372152,3.86071222843,3347.84485034
Angola : 2010,1.81541754418,0.304261712525,1.27721224779e-05,0.00178818358903,0.000912193123395,2.28233300489,0.00129077271934,0.00331681044405,0.00381913806177,0.00478816699983,2.28233300489,0.883228482574,2.16323680661,2.45679073702,1.30738968814e-05,0.00194802918274,0.59727135782,0.03911530214,1.5240206776,2.92266666667,0.835737512738,0.808627801317,0.822538826472,0.0042448842919,0.00278693685295,45.5865097046,1.23405227222,0.000128720312895,1246700.0,0.105337706858,3.8322110812,3529.05348174
Angola : 2011,1.82265667052,0.29860589185,2.06045528954e-05,0.00204210961007,0.000916648368412,2.26996850476,0.00133944307367,0.0034983340949,0.00399346394516,0.0049204288766,2.26996850476,0.874610043952,2.14071261916,2.44051928515,2.29279030351e-05,0.0022519357451,0.528205919153,0.03955557754,1.40122473886,2.95027624309,0.844400471243,0.817244053469,0.831169737286,0.00349561936905,0.00285653176631,42.5430603027,1.22985506979,,1246700.0,0.107515671111,3.81118887768,4299.01288878
Angola : 2012,1.82388399137,0.292169133891,1.90073170754e-05,0.00222088994995,0.000991014065915,2.24977323736,0.00137973853955,0.00349558560506,0.00395475121492,0.00486112951933,2.24977323736,0.877976779802,2.0401895387,2.41557028248,2.0968379158e-05,0.00246303980402,0.61471344558,,1.31965951,2.98280802292,0.85191854557,0.824490222889,0.838542191016,0.00359335773707,0.00292772024219,42.5430603027,1.22564120687,,1246700.0,0.102052830932,3.79602215568,4598.24998765
Angola : 2013,1.82046843726,0.286005122966,2.67017303854e-05,0.00255015894842,0.000965185818073,2.24158960361,0.00133169791484,0.00353492904723,0.00404442225011,0.00501826298701,2.24158960361,,1.83209290555,2.39835970269,3.00816886003e-05,0.00291426992526,0.609184541856,,1.32021152319,3.00890207715,0.857570191493,0.829985984104,0.844108777601,0.00487603161832,0.00300021964048,42.5430603027,1.22128308488,,1246700.0,0.0950689515025,3.7499575481,4804.61688355
Angola : 2014,1.81391632089,0.281281409451,,,0.0010208290036,2.2208177155,0.00136097152429,,,,2.2208177155,,1.58544185888,2.37272405686,,,0.630918523517,,1.42073674351,3.03067484663,0.861654754098,0.834032335108,0.84816973326,0.005400213168,0.00307363715073,42.5430603027,1.21679622935,,1246700.0,0.0902102239596,3.7086533692,4709.31202367
Angola : 2015,1.80481276365,0.27841482738,,,,2.21795437931,,,,,2.21795437931,,1.15529547138,2.35093080713,,,0.378034597848,,1.26032622343,3.02839116719,0.864665341325,0.83700829756,0.851166494344,0.00351593857254,0.00314769862503,42.5430603027,1.21218158709,,1246700.0,0.0700699454391,3.67191529088,3695.79374815
Albania : 2001,0.985502728511,1.05009805107,,,0.000134177906165,0.732508903328,0.00106586298148,0.00583103982503,0.00707867833153,0.00603321172204,0.732508903328,1.06078854339,0.723106300424,0.783427432796,,,1.60799398166,0.03626489263,1.57289170417,0.429961089494,1.10057320394,1.08614332738,1.09385506809,0.00130929225051,0.000412190979776,21.7524394989,1.08552488179,0.00109340032586,28750.0,0.0574303612453,0.353977678195,1326.9703393
Albania : 2002,0.979534739918,1.07557418294,,,0.000152781314382,0.703749721859,0.00121229932772,0.00584177481565,0.00739596031922,0.00613047815161,0.703749721859,1.08020074188,0.769971453218,0.756150444331,,,1.62934322389,0.03489083729,1.81319616293,0.424242424242,1.10064279792,1.08655401505,1.09409009353,0.00132003499122,0.000407064391978,21.6027331802,1.07539210441,0.0011080694082,28750.0,0.0639342407412,0.364589001632,1453.64277657
Albania : 2003,0.972833239267,1.10331427514,,,0.000166310894855,0.676201307092,0.00135801586734,0.00591718527055,0.00721074045776,0.00591308280236,0.676201307092,1.0789333691,0.782873198985,0.72861309244,,,1.70162626512,0.03299615023,1.79634497239,0.41928721174,1.10009887187,1.08607295058,1.09357627559,0.00133684453743,0.000401428466231,21.4954109192,1.06503600301,0.00112162045672,28750.0,0.0654406219483,0.372041072448,1890.68155734
Albania : 2004,0.965114268597,1.1335643562,,,0.000154057983574,0.649491093188,0.00127510360217,0.00627222089077,0.00714515532669,0.00591034564514,0.649491093188,1.07191060195,0.796419401872,0.703203011942,,,1.5119887473,0.03319105055,1.66493953946,0.415217391304,1.09781734918,1.08402413085,1.09140798851,0.00138115868416,0.000395214026938,21.159299387,1.05448266276,0.0011359136551,28750.0,0.066357825437,0.378431576526,2416.58823505
Albania : 2005,0.956241343401,1.16635894913,,,0.0001522230803,0.626474122511,0.00130135059088,0.006194842479,0.00728428355023,0.00604672006463,0.626474122511,1.10723493091,0.795077680011,0.682331216226,,,1.48959978767,0.03149977819,1.7216120314,0.41309255079,1.09619640064,1.08279497382,1.08998000379,0.00135000545453,0.000388429048109,20.6848702974,1.04375068734,0.00115280918702,28750.0,0.0702953012017,0.383024377044,2709.14293061
Albania : 2006,0.943165255389,1.20990381487,,,0.000134812747883,0.609534178473,0.00117192885702,0.00629819096418,0.00715635495755,0.00593209773936,0.609534178473,1.06524284875,0.830810233799,0.66485461297,,,1.53988472452,0.03218591059,1.69096217271,0.406542056075,1.09346659231,1.08079128504,1.08759430141,0.00156776946299,0.000380968421878,20.1697359493,1.03259829209,0.00117308438995,28750.0,0.0734550491659,0.386269352944,3005.01290332
Albania : 2007,0.933205435928,1.25621384087,,,0.000132037695468,0.596595467412,0.00116175767102,0.0062100097548,0.00703492004721,0.00590037444684,0.596595467412,1.1142530223,0.930726736948,0.653399479928,,,1.50432420097,0.03192286627,1.88769879205,0.403381642512,1.09111733347,1.07992825318,1.08597074072,0.00182076528015,0.000372944494047,19.711508642,1.02113926075,0.00119605438248,28750.0,0.0828724226309,0.387696413211,3603.01368537
Albania : 2008,0.925148341525,1.30416081563,,,0.000142997914724,0.589710674712,0.00129874568509,0.00644155212918,0.00733054540121,0.00606024463071,0.589710674712,1.05684013529,0.962792259391,0.649033631754,,,1.40126108822,0.03470968038,1.86877199993,0.399002493766,1.08953503647,1.08049091838,1.08544146479,0.00198486885668,0.000364837187459,19.4078006744,1.00954372526,0.00122138602,28750.0,0.0860273722732,0.398894195519,4370.53964653
Albania : 2009,0.918500803226,1.35185273127,,,0.000144551638107,0.590104577706,0.00147217235189,0.00687191839201,0.0073024030359,0.00613524599405,0.590104577706,1.09778773351,1.11528516221,0.652200780471,,,1.48282737246,0.03654311026,2.07622733332,0.397932816537,1.08774583816,1.08155059142,1.0850504909,0.00151721713953,0.000357274001472,20.1779308319,0.997688836044,0.00124874615787,28750.0,0.0833595626195,0.410007554465,4114.13654491
Albania : 2010,0.913232665313,1.39759717697,,,0.000144357669957,0.595288294672,0.00150008721437,0.00681043737727,0.00761116980185,0.00628076831193,0.595288294672,1.04817775098,1.12482740252,0.659051458664,,,1.25427974737,0.03338815055,1.88150317145,0.394666666667,1.08685119601,1.08393944671,1.08577419024,0.00155859189307,0.000350679804709,19.7020797729,0.985482505823,0.00127780165145,28750.0,0.0854645603406,0.421897362952,4094.35883192
Albania : 2011,0.888291390245,1.42868951056,,,0.000158314058311,0.601728582782,0.00176242509693,0.00684080181924,0.0077382271557,0.00640248576714,0.601728582782,1.03923883576,1.11416231139,0.669317028549,,,1.28569451711,0.03165025311,1.88597642536,0.395027624309,1.08581196288,1.08635518814,1.08643617322,0.00152826633776,0.000345193250608,19.8691692352,0.972917327882,,28750.0,0.0907628634807,0.43483213952,4437.17806844
Albania : 2012,0.865981686502,1.45481075693,,,0.000145692559756,0.607047624626,0.00158669932048,0.00702365436859,0.00791875081368,0.00649238103589,0.607047624626,1.04247218438,1.0919589385,0.678372654331,,,1.16625197541,,1.72637001,0.395415472779,1.08546210875,1.08887486483,1.08749728971,0.00148708257653,0.000340651581355,19.4829807281,0.960104182052,,28750.0,0.0853385104513,0.448720438287,4247.61430826
Albania : 2013,0.845468651557,1.47627778668,,,0.000149850659332,0.614804164173,0.00168214473454,0.00703354485247,0.00786988346329,0.00647930194805,0.614804164173,,1.16622737306,0.688718157866,,,1.17535372513,,1.7929310561,0.394658753709,1.0847473048,1.0905311398,1.08794921981,0.00140845822633,0.000336852068257,19.1210308075,0.947487174372,,28750.0,0.0889296107253,0.46293442184,4414.72313957
Albania : 2014,0.827598131329,1.49511051414,,,0.000167876837196,0.617273755657,0.00188442211055,,,,0.617273755657,,0.932493406971,0.694634161483,,,1.01137174204,,1.58947095924,0.395705521472,1.08390337573,1.09144227345,1.08796957163,0.00134737024351,0.000333478869899,18.9229393005,0.93504503109,,28750.0,0.0754557055891,0.478368175342,4575.76378666
Albania : 2015,0.814151419273,1.51341260671,,,,0.622553344009,,,,,0.622553344009,,0.928238195807,0.698837218768,,,1.08770534259,,1.55244852519,0.394321766562,1.08325323607,1.0918228326,1.08783484715,0.00116195307322,0.000330296338224,18.6155700684,0.922796252703,,28750.0,0.0717793607878,0.495131537412,3954.02278326
United Arab Emirates : 2001,0.558989587453,0.150434457902,0.00200741171652,0.00639766715872,0.00422164297259,0.750218013021,0.0322699206116,0.0063829399435,0.00806617035343,0.00714600888946,0.750218013021,0.804775240357,1.92861180392,0.95920612178,0.00206651637457,0.00719024018079,0.943269946083,0.02449870007,1.64172053297,0.18093385214,1.08093028553,1.11802982562,1.09979706241,0.00561210504676,0.000439070962642,15.9476499557,0.364795949591,0.0320964875985,83600.0,0.0898645799289,0.477257657363,31061.5293454
