,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_in_15_years
Aruba : 1981,0.692978195119,1.17824783189,,,,0.803214090671,,,,,0.803214090671,,,0.648432409297,,,,,,,1.1456514569,1.14627031385,1.14654344437,,1.08301040996e-05,,0.821591609367,,180.0,,0.775697009643,
Aruba : 1982,0.688405831466,1.1973322207,,,,0.794215563387,,,,,0.794215563387,,,0.650113232946,,,,,,,1.14222308729,1.14490887311,1.14411206401,,1.07842178669e-05,,0.827034381087,,180.0,,0.774790703145,
Aruba : 1983,0.688995834799,1.21319296369,,,,0.80659413838,,,,,0.80659413838,,,0.653076239904,,,,,,,1.14008236719,1.14395999059,1.14254818936,,1.07487928908e-05,,0.832062793623,,180.0,,0.776657451084,
Aruba : 1984,0.692140671579,1.2264994971,,,,0.807246023244,,,,,0.807246023244,,,0.655742967884,,,,,,,1.1375068044,1.14174270134,1.14014261372,,1.06707840483e-05,,0.837290705065,,180.0,,0.777028203029,
Aruba : 1985,0.692829730149,1.23289053475,,0.000188229512756,,0.796708723132,,,,,0.796708723132,,,0.658358799368,,0.000172151676029,,,,,1.13531062587,1.13846597673,1.13738706425,,1.05142916783e-05,,0.84263122436,0.00849505988005,180.0,,0.775933518092,
Aruba : 1986,0.70873300962,1.23601153961,3.48210442242e-06,0.000205933945521,1.11640453944e-05,0.782462018612,0.00401007660275,,,,0.782462018612,,,0.661904492123,1.77125134715e-06,0.000179041251053,,,,,1.13229369661,1.13362454003,1.13343339848,,1.02620324995e-05,,0.848082029968,,180.0,,0.774045079521,
Aruba : 1987,0.718555372143,1.23997718338,2.80347266669e-06,0.000199737114597,2.6890003575e-05,0.76989278013,0.0100722352223,,,,0.76989278013,,,0.66661957609,1.2351362006e-06,0.000164933837855,,,,,1.12949764236,1.12959496309,1.13001518786,,9.94385888934e-06,,0.853460997353,,180.0,,0.771045905527,
Aruba : 1988,0.721031913119,1.24349869375,5.41524114008e-06,0.000193677295949,3.53607837474e-05,0.767563734054,0.0133581249694,,,,0.767563734054,,,0.672745789588,1.03411431931e-06,0.000169977321604,,,,,1.12711274651,1.12646612115,1.1272649667,,9.64389344694e-06,,0.859190508635,,180.0,,0.770278207401,
Aruba : 1989,0.720836787288,1.24594330678,6.64062259079e-06,0.000216756969349,3.66002919339e-05,0.76444872006,0.0137116287897,,,,0.76444872006,,,0.681726677545,1.48083786323e-06,0.000188771138764,,,,,1.12411621777,1.12335787221,1.12421769307,,9.46662816096e-06,,0.864708376359,,180.0,,0.768190660935,
Aruba : 1990,0.723855301244,1.2429532882,7.39223260963e-06,0.00024740519573,9.41402238642e-05,0.756210380349,0.033746362527,,,,0.756210380349,,,0.690128961372,4.46024033872e-06,0.000225112278644,,,,,1.12121784331,1.12097882554,1.12158237023,,9.47841166273e-06,,0.870449351303,0.010172678063,180.0,,0.764689078623,
