,Austria,Slovakia,Romania,Yugoslav SFR,Turkey,Denmark,Occupied Palestinian Territory,Serbia and Montenegro,The former Yugoslav Republic of Macedonia,Serbia,Czechoslovakia,France,Czechia,Spain,Croatia,Bulgaria,Netherlands,Hungary,Germany
1978,9319.0,,4524.0,5702.0,6291.0,6903.0,,,,,7520.0,4243.0,,,,12727.0,15284.0,5090.0,5612.0
1979,11563.0,,2278.0,6031.0,7391.0,12420.0,,,,,4581.0,4167.0,,,,2524.0,11925.0,3610.0,7041.0
1980,9878.0,,3614.0,6823.0,7969.0,6800.0,,,,,5347.0,4182.0,,,,,10924.0,6301.0,5570.0
1981,10198.0,,988.0,7004.0,7464.0,7510.0,,,,,3635.0,4000.0,,,,,15366.0,4705.0,5421.0
1982,10373.0,,2063.0,7531.0,7724.0,9520.0,,,,,4906.0,4545.0,,,,,16467.0,4105.0,6908.0
1983,8683.0,,2500.0,6387.0,5972.0,6984.0,,,,,5839.0,4286.0,,,,,11629.0,6012.0,5347.0
1984,8780.0,,2769.0,6442.0,7203.0,9000.0,,,,,8008.0,4118.0,,9012.0,,,14541.0,6413.0,6294.0
1985,9633.0,,3077.0,5155.0,5729.0,8267.0,,,,,7247.0,4333.0,,9091.0,,,12161.0,5619.0,8459.0
1986,8907.0,,10000.0,8061.0,7383.0,8667.0,,,,,5895.0,4000.0,,9091.0,,,15327.0,4202.0,7385.0
1987,8766.0,,9167.0,7550.0,6185.0,7700.0,,,,,7018.0,4000.0,,9091.0,,,11186.0,4753.0,8213.0
1988,8189.0,,8667.0,6516.0,6095.0,8750.0,,,,,7183.0,4444.0,,9036.0,,,12713.0,4987.0,6655.0
1989,7709.0,,11000.0,8384.0,3877.0,8600.0,,,,,9580.0,4545.0,,9009.0,,,15261.0,5586.0,7817.0
1990,10099.0,,10769.0,5726.0,5710.0,8400.0,,,,,10505.0,4444.0,,9028.0,,,15152.0,9120.0,7111.0
1991,10279.0,,8571.0,6958.0,8338.0,8615.0,,,,,7933.0,4444.0,,9091.0,,,14590.0,5900.0,7026.0
1992,10330.0,,6667.0,,4299.0,8667.0,,5824.0,6595.0,,6568.0,4474.0,,9043.0,8302.0,,14500.0,7000.0,7000.0
1993,9710.0,5814.0,5000.0,,4362.0,8900.0,,5426.0,4077.0,,,5000.0,7817.0,9025.0,7067.0,,17000.0,6892.0,7000.0
1994,7881.0,5471.0,25000.0,,5529.0,8364.0,,6240.0,5747.0,,,4615.0,5734.0,9091.0,5676.0,,14444.0,8000.0,6969.0
1995,9330.0,5171.0,14925.0,,4704.0,8100.0,,6889.0,5681.0,,,4286.0,7301.0,9091.0,7143.0,,14286.0,4500.0,7105.0
1996,10000.0,4826.0,16667.0,,4477.0,,,7224.0,6683.0,,,4000.0,6806.0,9091.0,9368.0,,16667.0,8171.0,6944.0
1997,9752.0,5222.0,5402.0,,3689.0,,240000.0,6209.0,6678.0,,,4545.0,6400.0,9091.0,11016.0,,15000.0,5822.0,6898.0
1998,10145.0,4186.0,9289.0,,5683.0,,234667.0,7523.0,6692.0,,,4522.0,5857.0,9000.0,13333.0,,14512.0,6291.0,6849.0
1999,11396.0,2800.0,7092.0,,3593.0,,281400.0,6356.0,5886.0,,,4333.0,6271.0,9211.0,16667.0,,14280.0,4934.0,6798.0
2000,8731.0,2802.0,13214.0,,4197.0,,323500.0,5823.0,7164.0,,,4295.0,4555.0,9013.0,20000.0,,13627.0,5260.0,6758.0
2001,8623.0,4766.0,7200.0,,4677.0,,272708.0,7679.0,6538.0,,,4286.0,6178.0,9091.0,16667.0,,12531.0,7419.0,6631.0
2002,8765.0,4595.0,4667.0,,3745.0,,238667.0,6404.0,6582.0,,,4231.0,5702.0,9091.0,13312.0,,17513.0,6577.0,6553.0
2003,7609.0,4223.0,6087.0,,5230.0,,233800.0,3940.0,6542.0,,,4541.0,5123.0,9136.0,11667.0,,14583.0,5989.0,6477.0
2004,8172.0,7309.0,5713.0,,5869.0,,223300.0,6551.0,6628.0,,,4713.0,9000.0,9131.0,16000.0,,12821.0,9775.0,6218.0
2005,7900.0,5415.0,5446.0,,5385.0,,160000.0,7647.0,6579.0,,,4869.0,8200.0,9016.0,18000.0,,10000.0,7585.0,6183.0
2006,6903.0,4630.0,5220.0,,7183.0,,117135.0,,6749.0,,,5000.0,5467.0,9091.0,16667.0,,8333.0,6966.0,6123.0
2007,7428.0,3035.0,5161.0,,3653.0,,113935.0,,6822.0,8235.0,,5363.0,5816.0,9002.0,13750.0,6250.0,9714.0,5719.0,6065.0
2008,7792.0,6318.0,4928.0,,5405.0,,108196.0,,8378.0,10526.0,,6122.0,7056.0,9003.0,14121.0,6250.0,11995.0,9959.0,6009.0
2009,6880.0,4370.0,5360.0,,6994.0,,95412.0,,8155.0,10588.0,,6500.0,6097.0,9009.0,20396.0,6000.0,10294.0,8803.0,5958.0
2010,6861.0,5508.0,5451.0,,7112.0,,56395.0,,7191.0,10000.0,,6012.0,4636.0,9972.0,12708.0,7692.0,9333.0,8082.0,5910.0
2011,9276.0,7955.0,5115.0,,8209.0,,38982.0,,8204.0,11111.0,,6000.0,8547.0,11429.0,6460.0,6250.0,9224.0,9775.0,5660.0
2012,7093.0,3890.0,4980.0,,5995.0,,37813.0,,5056.0,11111.0,,6000.0,6978.0,11000.0,6668.0,6173.0,8589.0,8902.0,5818.0
2013,7139.0,10131.0,4873.0,,5962.0,,36643.0,,6117.0,11111.0,,6000.0,6870.0,10909.0,10000.0,6442.0,8154.0,9918.0,5818.0
2014,8290.0,10723.0,4766.0,,6094.0,,35474.0,,8523.0,10526.0,,6000.0,9128.0,10476.0,11425.0,6250.0,7719.0,10331.0,5556.0
