,Ukraine,Israel,Cyprus,Spain,Morocco,Lebanon,Mexico,Malta,Slovakia,Italy,Portugal,Jordan,Algeria,Croatia,Tunisia,Greece,Turkey
1977,-1.0,800.0,19304.0,177900.0,23000.0,-1.0,-1.0,467.0,-1,62400.0,19970.0,-1.0,8477.0,-1.0,80.0,21410.0,19000.0
1978,-1.0,1600.0,18288.0,198600.0,24000.0,-1.0,-1.0,444.0,-1,68000.0,16000.0,-1.0,7434.0,-1.0,100.0,24050.0,18000.0
1979,-1.0,350.0,18491.0,185400.0,25000.0,-1.0,-1.0,290.0,-1,60300.0,30000.0,-1.0,7030.0,-1.0,200.0,24240.0,15000.0
1980,-1.0,800.0,12700.0,197000.0,25000.0,-1.0,43.0,379.0,-1,63400.0,20000.0,-1.0,2156.0,-1.0,300.0,23550.0,17000.0
1981,-1.0,900.0,27432.0,198000.0,26000.0,-1.0,150.0,328.0,-1,60400.0,20000.0,-1.0,1693.0,-1.0,350.0,26410.0,12500.0
1982,-1.0,1000.0,12802.0,191800.0,27000.0,-1.0,179.0,283.0,-1,60850.0,30000.0,-1.0,1700.0,-1.0,400.0,24400.0,14000.0
1983,-1.0,1000.0,13200.0,187900.0,28000.0,-1.0,200.0,370.0,-1,48700.0,20000.0,-1.0,2188.0,-1.0,500.0,23200.0,14000.0
1984,-1.0,700.0,10400.0,165900.0,24700.0,-1.0,145.0,370.0,-1,54700.0,20000.0,-1.0,2074.0,-1.0,600.0,19820.0,13000.0
1985,-1.0,500.0,7600.0,153500.0,25400.0,-1.0,55.0,360.0,-1,60300.0,20000.0,-1.0,1850.0,-1.0,650.0,21264.0,12725.0
1986,-1.0,500.0,25000.0,150500.0,31200.0,-1.0,-1.0,320.0,-1,55100.0,20000.0,-1.0,1941.0,-1.0,700.0,20906.0,15000.0
1987,-1.0,650.0,7000.0,157400.0,17600.0,-1.0,-1.0,300.0,-1,30020.0,20000.0,-1.0,2976.0,-1.0,800.0,16057.0,13000.0
1988,-1.0,450.0,15500.0,162400.0,29800.0,-1.0,42.0,280.0,-1,27000.0,20000.0,-1.0,3150.0,-1.0,850.0,22491.0,13500.0
1989,-1.0,200.0,8500.0,152825.0,13200.0,-1.0,45.0,262.0,-1,32740.0,20000.0,-1.0,5638.0,-1.0,850.0,20368.0,12000.0
1990,-1.0,200.0,9400.0,142850.0,29600.0,-1.0,47.0,2.0,-1,29240.0,20952.0,0.0,3684.0,-1.0,900.0,16131.0,15000.0
1991,-1.0,200.0,5730.0,128800.0,14100.0,-1.0,59.0,0.0,-1,59040.0,21092.0,0.0,5658.0,-1.0,960.0,18517.0,15000.0
1992,100.0,200.0,5100.0,132600.0,22900.0,-1.0,113.0,0.0,-1,48849.0,21116.0,0.0,2768.0,-1.0,1100.0,18930.0,15000.0
1993,100.0,200.0,17000.0,119600.0,21000.0,-1.0,65.0,-1.0,-1,47565.0,21139.0,0.0,3978.0,-1.0,1039.0,16006.0,15000.0
1994,100.0,200.0,2600.0,109400.0,22000.0,-1.0,78.0,-1.0,-1,28194.0,21163.0,0.0,2966.0,500.0,1020.0,16320.0,15000.0
1995,100.0,200.0,6300.0,110098.0,22485.0,-1.0,68.0,-1.0,-1,44400.0,21186.0,0.0,2909.0,471.0,1000.0,15748.0,13000.0
1996,100.0,200.0,8800.0,118400.0,22469.0,-1.0,54.0,-1.0,-1,44000.0,21210.0,0.0,3223.0,468.0,999.0,17034.0,14400.0
1997,100.0,200.0,5100.0,109315.0,22462.0,-1.0,43.0,-1.0,-1,40500.0,21233.0,0.0,2400.0,466.0,999.0,19134.0,14400.0
1998,100.0,200.0,4850.0,105384.0,23000.0,7000.0,75.0,-1.0,-1,42500.0,21257.0,0.0,3766.0,463.0,1000.0,18494.0,13700.0
1999,100.0,200.0,5400.0,93900.0,22437.0,7400.0,78.0,-1.0,-1,39176.0,21280.0,0.0,4135.0,461.0,1000.0,18612.0,14000.0
2000,100.0,200.0,7300.0,93863.0,22849.0,4600.0,43.0,-1.0,-1,38079.0,21304.0,0.0,3952.0,458.0,1000.0,20192.0,14000.0
2001,100.0,200.0,2850.0,73211.0,24000.0,5000.0,40.0,-1.0,-1,16282.0,21327.0,0.0,4640.0,456.0,1000.0,16464.0,13500.0
2002,100.0,197.0,7200.0,95000.0,22641.0,3200.0,12.0,-1.0,-1,24015.0,21351.0,0.0,4592.0,453.0,1000.0,15015.0,13500.0
2003,100.0,198.0,6550.0,70100.0,25000.0,2300.0,0.0,-1.0,-1,18637.0,21374.0,0.0,3886.0,451.0,1000.0,14789.0,14000.0
2004,100.0,200.0,6250.0,91400.0,22719.0,2500.0,0.0,-1.0,-1,19060.0,21282.0,0.0,4191.0,448.0,1000.0,14594.0,14000.0
2005,100.0,200.0,6942.0,59900.0,25000.0,2720.0,5.0,-1.0,-1,31665.0,21579.0,0.0,3003.0,446.0,1000.0,14815.0,12000.0
2006,100.0,180.0,5650.0,56100.0,22708.0,2900.0,50.0,-1.0,-1,26110.0,22000.0,0.0,3711.0,415.0,1000.0,14506.0,12388.0
2007,100.0,180.0,3839.0,56100.0,22620.0,2800.0,28.0,-1.0,-1,32784.0,20000.0,0.0,4138.0,442.0,1000.0,15000.0,12161.0
2008,100.0,200.0,6519.0,60795.0,22522.0,2714.0,73.0,-1.0,-1,31224.0,21000.0,0.0,3216.0,440.0,900.0,15049.0,12097.0
2009,100.0,191.0,3514.0,53200.0,22403.0,2200.0,0.0,-1.0,-1,30020.0,21500.0,0.0,3384.0,438.0,903.0,14427.0,14413.0
2010,90.0,193.0,10560.0,56286.0,20000.0,2112.0,76.0,-1.0,-1,25337.0,21597.0,0.0,2829.0,400.0,860.0,14156.0,14172.0
2011,100.0,202.0,12725.0,38380.0,20500.0,2133.0,76.0,-1.0,-1,44749.0,23000.0,0.0,2865.0,452.0,860.0,13952.0,13972.0
2012,150.0,204.0,9123.0,45414.0,21519.0,2190.0,35.0,-1.0,-1,30841.0,21966.0,0.0,3136.0,500.0,855.0,13747.0,14218.0
2013,160.0,211.0,6178.0,38882.0,22024.0,2203.0,0.0,-1.0,-1,9445.0,21841.0,0.0,3053.0,500.0,870.0,13542.0,14261.0
2014,200.0,206.0,11034.0,35731.0,21941.0,2158.0,0.0,-1.0,-1,31486.0,21736.0,0.0,3655.0,460.0,869.0,13337.0,13985.0
