,Costa Rica,Israel,Zambia,Kenya,Peru,Morocco,Saudi Arabia,Switzerland,Mexico,Malta,Romania,Italy,Syrian Arab Republic,Jordan,China,Tunisia,Greece,Zimbabwe,Lebanon,Uzbekistan,Cyprus,Occupied Palestinian Territory,Chile,Spain,Kazakhstan,Portugal,United States of America,Iran (Islamic Republic of),France,Egypt,Algeria,"China, mainland",Turkey,Argentina,Lithuania
1971,-1.0,1005.0,-1,-1.0,200.0,5400.0,-1.0,-1.0,-1.0,-1.0,-1.0,63742.0,-1.0,-1.0,-1.0,1980.0,4600.0,-1.0,46.0,-1.0,508.0,-1.0,2000.0,24000.0,-1.0,-1,4451.0,-1.0,16755.0,420.0,5010.0,-1.0,625.0,3790.0,-1.0
1972,-1.0,765.0,-1,-1.0,200.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,62299.0,-1.0,-1.0,-1.0,2400.0,4600.0,-1.0,46.0,-1.0,562.0,-1.0,1900.0,21800.0,-1.0,-1,4492.0,-1.0,17000.0,420.0,3070.0,-1.0,550.0,4280.0,-1.0
1973,-1.0,580.0,-1,-1.0,200.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59094.0,-1.0,1.0,-1.0,2100.0,4693.0,-1.0,51.0,-1.0,562.0,-1.0,1600.0,26100.0,-1.0,-1,4856.0,-1.0,18400.0,840.0,3470.0,-1.0,750.0,4030.0,-1.0
1974,-1.0,420.0,-1,-1.0,175.0,5800.0,-1.0,-1.0,-1.0,-1.0,-1.0,57546.0,-1.0,-1.0,-1.0,2200.0,4300.0,-1.0,65.0,-1.0,562.0,-1.0,1600.0,26800.0,-1.0,-1,4371.0,-1.0,17600.0,420.0,4090.0,-1.0,700.0,4300.0,-1.0
1975,-1.0,240.0,-1,-1.0,290.0,5800.0,-1.0,-1.0,-1.0,-1.0,-1.0,53730.0,-1.0,-1.0,-1.0,2380.0,4000.0,-1.0,50.0,-1.0,401.0,-1.0,2100.0,19300.0,-1.0,-1,4128.0,-1.0,16188.0,420.0,4310.0,-1.0,850.0,4376.0,-1.0
1976,-1.0,450.0,-1,-1.0,290.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,52685.0,-1.0,2.0,-1.0,2400.0,3900.0,-1.0,50.0,-1.0,401.0,-1.0,2000.0,21500.0,-1.0,-1,4290.0,-1.0,17000.0,916.0,4730.0,-1.0,950.0,2820.0,-1.0
1977,-1.0,325.0,-1,-1.0,213.0,6200.0,-1.0,-1.0,-1.0,-1.0,-1.0,51738.0,-1.0,20.0,-1.0,2350.0,3900.0,-1.0,50.0,-1.0,435.0,-1.0,1700.0,24500.0,-1.0,-1,4371.0,-1.0,14693.0,431.0,3210.0,-1.0,1000.0,2800.0,-1.0
1978,-1.0,359.0,-1,-1.0,189.0,6200.0,-1.0,-1.0,-1.0,-1.0,-1.0,52359.0,-1.0,-1.0,-1.0,2800.0,3900.0,-1.0,50.0,-1.0,187.0,-1.0,1740.0,26800.0,-1.0,-1,4006.0,-1.0,14867.0,1166.0,3310.0,-1.0,1200.0,2880.0,-1.0
1979,-1.0,310.0,-1,-1.0,133.0,6300.0,-1.0,-1.0,-1.0,-1.0,-1.0,51154.0,-1.0,-1.0,-1.0,1700.0,3780.0,-1.0,50.0,-1.0,201.0,-1.0,2300.0,25940.0,-1.0,-1,3925.0,-1.0,15216.0,1657.0,3780.0,-1.0,1000.0,3000.0,-1.0
1980,-1.0,250.0,-1,-1.0,160.0,6300.0,-1.0,-1.0,16.0,-1.0,-1.0,53433.0,-1.0,-1.0,-1.0,1600.0,3470.0,-1.0,50.0,-1.0,154.0,-1.0,2400.0,21900.0,-1.0,-1,3729.0,-1.0,14494.0,1980.0,2670.0,-1.0,1000.0,2990.0,-1.0
1981,-1.0,250.0,-1,-1.0,195.0,6400.0,-1.0,-1.0,4.0,-1.0,-1.0,53341.0,-1.0,-1.0,-1.0,2900.0,3380.0,-1.0,60.0,-1.0,147.0,-1.0,2600.0,23900.0,-1.0,-1,3937.0,-1.0,14800.0,1956.0,1930.0,-1.0,848.0,3030.0,-1.0
1982,-1.0,270.0,-1,-1.0,202.0,2800.0,-1.0,-1.0,17.0,-1.0,-1.0,51429.0,-1.0,-1.0,-1.0,2100.0,3500.0,-1.0,60.0,-1.0,174.0,-1.0,2700.0,22800.0,-1.0,-1,4638.0,-1.0,14500.0,2209.0,1340.0,-1.0,1341.0,3890.0,-1.0
1983,-1.0,310.0,-1,-1.0,197.0,2000.0,-1.0,-1.0,1.0,-1.0,-1.0,50656.0,-1.0,4.0,-1.0,1500.0,3500.0,-1.0,80.0,-1.0,181.0,-1.0,3000.0,23500.0,-1.0,-1,4791.0,-1.0,14200.0,1260.0,1700.0,-1.0,1300.0,3795.0,-1.0
1984,-1.0,270.0,-1,-1.0,194.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,51696.0,-1.0,-1.0,-1.0,1300.0,3400.0,-1.0,100.0,-1.0,187.0,-1.0,3684.0,25640.0,-1.0,-1,5000.0,-1.0,14300.0,1680.0,2010.0,-1.0,950.0,3300.0,-1.0
1985,-1.0,240.0,-1,-1.0,119.0,1600.0,-1.0,-1.0,9.0,-1.0,-1.0,49113.0,-1.0,-1.0,-1.0,1350.0,3380.0,-1.0,120.0,-1.0,147.0,-1.0,1862.0,27061.0,-1.0,-1,4869.0,-1.0,13500.0,2100.0,800.0,-1.0,1200.0,3840.0,-1.0
1986,-1.0,270.0,-1,-1.0,116.0,1800.0,-1.0,-1.0,23.0,-1.0,-1.0,49839.0,-1.0,-1.0,-1.0,1500.0,2864.0,-1.0,155.0,-1.0,147.0,-1.0,1862.0,26000.0,-1.0,-1,5406.0,-1.0,14000.0,2100.0,830.0,-1.0,1400.0,3400.0,-1.0
1987,-1.0,330.0,-1,-1.0,122.0,2000.0,-1.0,-1.0,84.0,-1.0,-1.0,49111.0,-1.0,-1.0,-1.0,1700.0,3320.0,-1.0,185.0,-1.0,147.0,-1.0,2232.0,25320.0,-1.0,-1,4502.0,-1.0,13000.0,2520.0,1370.0,-1.0,1450.0,3800.0,-1.0
1988,-1.0,380.0,-1,-1.0,123.0,1900.0,-1.0,-1.0,85.0,-1.0,-1.0,48002.0,-1.0,-1.0,-1.0,1700.0,2600.0,-1.0,210.0,-1.0,147.0,-1.0,1771.0,28500.0,-1.0,-1,4814.0,-1.0,14315.0,2520.0,1310.0,-1.0,1200.0,3500.0,-1.0
1989,-1.0,420.0,-1,-1.0,105.0,1384.0,-1.0,-1.0,67.0,-1.0,-1.0,47864.0,40.0,5.0,-1.0,1600.0,2700.0,-1.0,225.0,-1.0,150.0,-1.0,1936.0,31800.0,-1.0,-1,4616.0,-1.0,16130.0,2940.0,1170.0,-1.0,900.0,3500.0,-1.0
1990,-1.0,535.0,-1,-1.0,106.0,1344.0,-1.0,-1.0,76.0,-1.0,-1.0,48172.0,45.0,0.0,-1.0,1500.0,3202.0,7.0,250.0,-1.0,150.0,-1.0,2767.0,31100.0,-1.0,-1,4015.0,800.0,15068.0,3049.0,1170.0,-1.0,874.0,3600.0,-1.0
1991,-1.0,657.0,-1,-1.0,102.0,1581.0,-1.0,-1.0,100.0,-1.0,-1.0,48833.0,400.0,0.0,-1.0,1500.0,2500.0,10.0,278.0,-1.0,145.0,-1.0,2368.0,27200.0,-1.0,-1,3966.0,799.0,13184.0,2657.0,1110.0,-1.0,874.0,3658.0,-1.0
1992,-1.0,668.0,-1,-1.0,114.0,1965.0,-1.0,-1.0,177.0,-1.0,-1.0,49032.0,317.0,0.0,3000.0,1660.0,2600.0,5.0,286.0,100.0,145.0,-1.0,2069.0,25600.0,-1.0,-1,3885.0,803.0,12540.0,2159.0,880.0,3000.0,919.0,3700.0,-1.0
1993,-1.0,700.0,-1,-1.0,110.0,2160.0,-1.0,-1.0,38.0,-1.0,-1.0,49198.0,343.0,0.0,3558.0,1830.0,2200.0,15.0,280.0,93.0,140.0,-1.0,2580.0,23600.0,-1.0,-1,3720.0,807.0,12524.0,1900.0,630.0,3558.0,966.0,3791.0,-1.0
1994,-1.0,650.0,-1,-1.0,124.0,2730.0,-1.0,-1.0,156.0,-1.0,-1.0,51602.0,363.0,0.0,4000.0,1900.0,2300.0,12.0,285.0,95.0,165.0,-1.0,2317.0,21800.0,-1.0,-1,3720.0,811.0,12659.0,2000.0,670.0,4000.0,1000.0,3800.0,-1.0
1995,-1.0,587.0,-1,-1.0,200.0,2230.0,-1.0,-1.0,227.0,-1.0,-1.0,51273.0,420.0,0.0,4502.0,2350.0,2200.0,9.0,340.0,92.0,165.0,-1.0,2479.0,18400.0,-1.0,-1,3602.0,814.0,13899.0,2948.0,860.0,4502.0,1500.0,3900.0,-1.0
1996,-1.0,544.0,-1,-1.0,399.0,1720.0,-1.0,-1.0,219.0,-1.0,-1.0,49480.0,334.0,0.0,5000.0,2580.0,2300.0,26.0,465.0,100.0,165.0,-1.0,2480.0,19100.0,-1.0,-1,3602.0,817.0,13442.0,1930.0,2590.0,5000.0,1700.0,4000.0,-1.0
1997,-1.0,500.0,-1,-1.0,235.0,1900.0,-1.0,-1.0,529.0,-1.0,-1.0,47429.0,423.0,0.0,5278.0,2560.0,3200.0,9.0,200.0,90.0,160.0,7.0,2776.0,18472.0,-1.0,-1,3764.0,821.0,13900.0,2969.0,3790.0,5278.0,2100.0,4111.0,-1.0
1998,-1.0,616.0,-1,-1.0,232.0,2320.0,-1.0,-1.0,450.0,110.0,-1.0,51000.0,421.0,0.0,6000.0,2700.0,3300.0,17.0,100.0,100.0,165.0,-1.0,3055.0,18463.0,-1.0,-1,3930.0,824.0,13600.0,2361.0,5390.0,6000.0,2300.0,4192.0,-1.0
1999,20.0,657.0,-1,-1.0,242.0,2165.0,-1.0,-1.0,530.0,114.0,200.0,50955.0,409.0,0.0,6500.0,2800.0,3300.0,15.0,100.0,100.0,165.0,-1.0,3107.0,18817.0,-1.0,-1,3970.0,827.0,13140.0,2399.0,3700.0,6500.0,2186.0,4500.0,-1.0
2000,10.0,672.0,-1,-1.0,383.0,3085.0,-1.0,-1.0,250.0,115.0,209.0,50283.0,408.0,0.0,7500.0,2550.0,2800.0,15.0,80.0,100.0,160.0,-1.0,3102.0,19656.0,10.0,-1,3560.0,830.0,11823.0,4566.0,4140.0,7500.0,2072.0,4354.0,-1.0
2001,10.0,650.0,-1,-1.0,411.0,3180.0,-1.0,-1.0,340.0,117.0,230.0,49324.0,471.0,0.0,8000.0,2600.0,3000.0,16.0,80.0,100.0,160.0,-1.0,3200.0,18708.0,20.0,-1,3240.0,833.0,11702.0,3506.0,3210.0,8000.0,2237.0,4422.0,-1.0
2002,8.0,594.0,-1,-1.0,498.0,3210.0,-1.0,-1.0,457.0,122.0,237.0,50524.0,506.0,0.0,8999.0,2500.0,3100.0,17.0,142.0,100.0,155.0,-1.0,3400.0,19289.0,10.0,-1,3320.0,836.0,11062.0,3131.0,3200.0,8999.0,2400.0,4600.0,-1.0
2003,10.0,649.0,-1,35.0,1280.0,3120.0,-1.0,-1.0,541.0,112.0,244.0,49898.0,502.0,0.0,9000.0,2250.0,2700.0,17.0,142.0,100.0,150.0,-1.0,3700.0,19094.0,10.0,-1,2910.0,839.0,10453.0,5761.0,2800.0,9000.0,2500.0,4700.0,-1.0
2004,10.0,670.0,-1,20.0,2816.0,3205.0,-1.0,0.0,376.0,130.0,244.0,50071.0,510.0,0.0,9648.0,2000.0,2594.0,17.0,100.0,120.0,170.0,-1.0,4000.0,18142.0,10.0,-1,3040.0,842.0,10257.0,2806.0,3316.0,9648.0,2492.0,4600.0,-1.0
2005,15.0,435.0,-1,12.0,4242.0,3650.0,-1.0,0.0,395.0,135.0,235.0,50127.0,523.0,0.0,10000.0,2080.0,2595.0,19.0,100.0,120.0,175.0,-1.0,4200.0,18792.0,10.0,-1,3200.0,810.0,10179.0,3500.0,2830.0,10000.0,2600.0,4664.0,-1.0
2006,15.0,477.0,-1,16.0,6762.0,3175.0,0.0,1.0,243.0,140.0,219.0,50383.0,500.0,0.0,10463.0,2220.0,2626.0,18.0,60.0,130.0,169.0,-1.0,4300.0,18097.0,10.0,-1,3520.0,859.0,9991.0,6500.0,1713.0,10463.0,2900.0,4701.0,10.0
2007,10.0,650.0,-1,3.0,7779.0,3585.0,0.0,1.0,295.0,150.0,160.0,50120.0,556.0,0.0,10703.0,2380.0,2617.0,19.0,55.0,135.0,156.0,-1.0,4996.0,17277.0,10.0,-1,3890.0,820.0,9745.0,8001.0,1813.0,10703.0,2800.0,4700.0,10.0
2008,8.0,400.0,-1,3.0,7304.0,4130.0,0.0,4.0,201.0,160.0,100.0,49952.0,560.0,0.0,9842.0,2300.0,1800.0,20.0,59.0,150.0,111.0,-1.0,5000.0,16042.0,20.0,-1,3560.0,885.0,9486.0,7661.0,2304.0,9842.0,3000.0,4637.0,10.0
2009,8.0,380.0,-1,5.0,6409.0,4102.0,0.0,3.0,134.0,136.0,50.0,50694.0,618.0,0.0,9650.0,2150.0,1800.0,21.0,64.0,100.0,131.0,-1.0,5875.0,15190.0,20.0,-1,3480.0,896.0,8830.0,8401.0,2724.0,9650.0,2900.0,4561.0,10.0
2010,6.0,16.0,-1,5.0,6848.0,3714.0,-1.0,3.0,133.0,180.0,43.0,50321.0,708.0,0.0,10000.0,1800.0,660.0,21.0,116.0,100.0,121.0,-1.0,4651.0,14726.0,20.0,-1,2910.0,907.0,8501.0,8909.0,3112.0,10000.0,2400.0,4478.0,10.0
2011,6.0,6.0,-1,5.0,7890.0,2769.0,-1.0,4.0,242.0,175.0,45.0,49577.0,879.0,0.0,11000.0,2300.0,2200.0,22.0,124.0,100.0,131.0,-1.0,4409.0,15144.0,20.0,-1,2995.0,950.0,7822.0,9476.0,3760.0,11000.0,2700.0,4393.0,10.0
2012,6.0,5.0,-1,5.0,7893.0,3819.0,-1.0,3.0,297.0,185.0,53.0,35593.0,545.0,0.0,12000.0,2750.0,2000.0,22.0,60.0,123.0,130.0,-1.0,2959.0,15638.0,20.0,-1,2950.0,1000.0,7680.0,17895.0,4168.0,12000.0,2600.0,4000.0,10.0
2013,6.0,4.0,-1,5.0,5848.0,3487.0,-1.0,4.0,171.0,170.0,68.0,46954.0,545.0,0.0,12000.0,2500.0,1800.0,22.0,65.0,131.0,116.0,7.0,1733.0,15376.0,20.0,-1,2870.0,913.0,7247.0,14923.0,4472.0,12000.0,2750.0,4238.0,10.0
2014,6.0,5.0,-1,6.0,5290.0,3264.0,-1.0,4.0,233.0,191.0,55.0,46440.0,521.0,0.0,11653.0,3850.0,1880.0,24.0,66.0,133.0,117.0,8.0,1683.0,17428.0,20.0,-1,2950.0,916.0,7705.0,12647.0,4705.0,11653.0,2750.0,4748.0,10.0
