,Ecuador,Indonesia,Philippines,Sri Lanka,Melanesia,Malaysia,Thailand,Mexico,Viet Nam,Nigeria,Democratic Republic of the Congo,Bangladesh,Congo,Papua New Guinea,Dominican Republic,Central African Republic,Myanmar,Brazil,Cambodia,Brunei Darussalam,Guinea,China,"China, mainland",Ghana,Liberia,Côte d'Ivoire,Cameroon,Gabon,Guatemala,India
1972,,5179.0,2915.0,6242.0,4750.0,8152.0,3604.0,,2346.0,6021.0,4850.0,,7692.0,4750.0,,,2993.0,,9007.0,140.0,,,,8952.0,7119.0,12567.0,8847.0,,,6792.0
1973,,5450.0,2912.0,6767.0,4708.0,8338.0,3753.0,,2168.0,6974.0,4400.0,,7692.0,4708.0,,,3078.0,,8250.0,519.0,,,,9450.0,7179.0,12461.0,9082.0,,,7252.0
1974,,5292.0,2831.0,5790.0,5183.0,8378.0,3849.0,,2442.0,8211.0,4228.0,,7778.0,5183.0,,,3067.0,,8875.0,494.0,,,,9083.0,7375.0,13088.0,8077.0,,,7542.0
1975,,5060.0,3302.0,6535.0,5144.0,8584.0,3513.0,,2980.0,7132.0,3961.0,,8000.0,5144.0,,,3093.0,,5000.0,675.0,,,,9115.0,7482.0,12667.0,8170.0,,,7608.0
1976,,5401.0,3447.0,6703.0,5710.0,8958.0,3585.0,,5251.0,7192.0,4456.0,,8333.0,5710.0,,,3052.0,,8400.0,529.0,,,,8938.0,8284.0,12949.0,9034.0,,,7742.0
1977,7323.0,5485.0,3280.0,6455.0,5069.0,8823.0,3936.0,,5550.0,8116.0,4341.0,,7778.0,5069.0,,,3210.0,,7500.0,407.0,,,,9200.0,7939.0,13365.0,8282.0,,,8043.0
1978,10000.0,5713.0,3352.0,6878.0,5000.0,8373.0,4313.0,,4916.0,7877.0,3177.0,,7895.0,5000.0,,,3228.0,,9000.0,940.0,,,,9200.0,7800.0,14452.0,8212.0,,,7696.0
1979,5123.0,5976.0,3613.0,6739.0,5012.0,9402.0,3770.0,,5115.0,7671.0,3177.0,,8000.0,5012.0,,,3234.0,,6667.0,920.0,,,,9200.0,7514.0,14284.0,5987.0,,,7115.0
1980,4522.0,6327.0,4138.0,5989.0,5070.0,9474.0,3750.0,12000.0,7009.0,6164.0,3149.0,,7927.0,5070.0,,,3302.0,,6000.0,419.0,,,,9032.0,7607.0,14715.0,6202.0,,12518.0,7709.0
1981,6647.0,6159.0,4417.0,5378.0,5048.0,9322.0,4000.0,14935.0,7167.0,8219.0,3307.0,,7826.0,5048.0,,,3382.0,,5000.0,572.0,,,,9182.0,7692.0,14154.0,6274.0,,7677.0,7884.0
1982,7855.0,5747.0,4572.0,6088.0,4944.0,9223.0,4062.0,16642.0,7569.0,6849.0,3475.0,,8043.0,4944.0,,,3450.0,,7550.0,570.0,,,,8182.0,6696.0,14070.0,6473.0,,8005.0,7793.0
1983,6549.0,6224.0,6304.0,6808.0,5057.0,9866.0,4188.0,13268.0,7506.0,6164.0,3647.0,,7917.0,5057.0,,,3910.0,,8000.0,564.0,,,,8165.0,8100.0,12779.0,8006.0,,15631.0,8307.0
1984,10879.0,6053.0,6093.0,6903.0,4993.0,9718.0,4500.0,13485.0,7544.0,7945.0,2667.0,,7917.0,4993.0,,,3609.0,,8667.0,565.0,,,,2000.0,9352.0,12852.0,7072.0,,15109.0,8572.0
1985,10000.0,6235.0,6527.0,6691.0,6274.0,9573.0,5477.0,12483.0,7514.0,8219.0,2586.0,,8000.0,6274.0,,8333.0,3624.0,8074.0,8800.0,581.0,,6263.0,6263.0,2000.0,9707.0,12436.0,9007.0,,7031.0,8860.0
1986,11500.0,6372.0,5835.0,6716.0,5105.0,10024.0,7071.0,13864.0,7587.0,8219.0,3028.0,,8000.0,5105.0,,8333.0,3705.0,7521.0,8000.0,581.0,,6553.0,6553.0,2000.0,10069.0,13257.0,7370.0,,7212.0,8979.0
1987,11200.0,6000.0,5783.0,5939.0,5123.0,10285.0,7846.0,16293.0,7845.0,7575.0,3091.0,,8000.0,5123.0,,8333.0,3695.0,5318.0,8333.0,578.0,,6521.0,6521.0,2600.0,10680.0,14601.0,9393.0,,6204.0,9258.0
1988,10796.0,6653.0,6098.0,6112.0,5468.0,10010.0,8491.0,22504.0,7658.0,6192.0,3053.0,,8000.0,5468.0,,8333.0,3673.0,6583.0,8833.0,588.0,,6575.0,6575.0,2143.0,10840.0,15685.0,10061.0,2655.0,6565.0,9442.0
1989,7000.0,6611.0,6583.0,5558.0,5155.0,8604.0,9569.0,21980.0,7291.0,5867.0,3147.0,,8000.0,5155.0,,8333.0,3693.0,6131.0,9333.0,597.0,,6651.0,6651.0,2636.0,10600.0,16654.0,9972.0,2700.0,13478.0,9741.0
1990,7267.0,6836.0,7086.0,5682.0,5036.0,8002.0,10129.0,22518.0,7144.0,6533.0,3198.0,1000.0,7845.0,5036.0,6667.0,8117.0,3686.0,4092.0,9143.0,567.0,2500.0,6776.0,6776.0,3000.0,10000.0,16888.0,10060.0,2825.0,11848.0,10284.0
1991,6906.0,7074.0,6776.0,5242.0,5040.0,7809.0,10599.0,20748.0,7182.0,5784.0,3015.0,1000.0,7826.0,5040.0,6721.0,11600.0,3689.0,9160.0,9165.0,606.0,3520.0,7056.0,7056.0,4640.0,9500.0,16980.0,10000.0,2698.0,12005.0,10757.0
1992,6996.0,7113.0,6757.0,5364.0,5022.0,7425.0,11989.0,22100.0,7675.0,4813.0,2864.0,1034.0,8095.0,5022.0,6610.0,11600.0,3726.0,9177.0,9474.0,607.0,4232.0,7786.0,7786.0,5538.0,10667.0,17414.0,9348.0,2170.0,12209.0,11353.0
1993,7564.0,7143.0,6751.0,6428.0,5050.0,6909.0,12481.0,26093.0,7826.0,4851.0,2655.0,1040.0,7895.0,5050.0,6672.0,11600.0,3752.0,9194.0,9067.0,609.0,4994.0,7672.0,7672.0,5000.0,10000.0,17324.0,9558.0,3002.0,12751.0,11088.0
1994,7818.0,7123.0,6862.0,6544.0,5023.0,7265.0,13496.0,28242.0,9358.0,3659.0,2471.0,1073.0,8066.0,5023.0,6736.0,11600.0,3812.0,9102.0,8222.0,604.0,5802.0,8969.0,8969.0,6207.0,6667.0,16022.0,9053.0,4169.0,12318.0,11622.0
1995,7576.0,6777.0,6915.0,6604.0,5008.0,7382.0,13777.0,15513.0,8489.0,4209.0,2389.0,1000.0,8112.0,5008.0,6797.0,11600.0,5263.0,9132.0,8224.0,600.0,6645.0,10722.0,10722.0,6333.0,9286.0,14004.0,9773.0,5886.0,11994.0,13258.0
1996,8000.0,7009.0,7066.0,6944.0,5099.0,7517.0,13961.0,15518.0,8802.0,4626.0,2244.0,1002.0,8125.0,5099.0,6850.0,11600.0,5313.0,9057.0,8989.0,616.0,7509.0,10189.0,10189.0,5613.0,10000.0,18103.0,10560.0,8473.0,12397.0,13852.0
1997,8000.0,6851.0,7859.0,6687.0,5290.0,6936.0,14196.0,17503.0,10774.0,4110.0,2293.0,1004.0,8192.0,5290.0,6893.0,11600.0,5662.0,8985.0,8683.0,643.0,8364.0,11097.0,11097.0,6331.0,9882.0,17998.0,10237.0,9180.0,11176.0,14589.0
1998,6133.0,6895.0,7892.0,6032.0,5000.0,6194.0,14086.0,18333.0,10005.0,3996.0,2479.0,1005.0,8213.0,5000.0,6922.0,11600.0,5657.0,9429.0,10335.0,619.0,9231.0,11346.0,11346.0,6418.0,9375.0,17266.0,10016.0,9100.0,11019.0,15633.0
1999,6130.0,6975.0,7736.0,6107.0,5000.0,5492.0,14201.0,18471.0,11709.0,3597.0,2381.0,1007.0,8000.0,5000.0,6928.0,11600.0,4844.0,9333.0,11381.0,609.0,10000.0,11723.0,11723.0,6649.0,10000.0,17740.0,14642.0,9660.0,10558.0,15747.0
2000,18533.0,6256.0,8809.0,5545.0,5000.0,7138.0,15585.0,18358.0,12562.0,3242.0,2473.0,1000.0,8240.0,5000.0,6910.0,11600.0,5073.0,9340.0,12427.0,606.0,10956.0,11428.0,11428.0,6821.0,10000.0,18725.0,14551.0,10199.0,10625.0,15750.0
2001,13400.0,6184.0,11156.0,5489.0,5000.0,7056.0,16773.0,17578.0,12993.0,3243.0,2342.0,1000.0,8259.0,5000.0,6923.0,11600.0,5754.0,9274.0,11507.0,618.0,11752.0,11458.0,11458.0,7123.0,9727.0,18833.0,13217.0,10309.0,11489.0,15736.0
2002,14643.0,6188.0,10865.0,7893.0,5000.0,7120.0,16947.0,18497.0,12256.0,3304.0,2364.0,1000.0,7941.0,5000.0,6818.0,11600.0,5857.0,9402.0,10951.0,621.0,12457.0,12300.0,12300.0,6839.0,9397.0,17255.0,11558.0,10758.0,11298.0,15918.0
2003,14954.0,6700.0,11228.0,8023.0,5000.0,7495.0,17868.0,18505.0,13630.0,4189.0,2361.0,1003.0,8476.0,5000.0,6970.0,11600.0,5786.0,9054.0,11021.0,625.0,14286.0,12975.0,12975.0,6803.0,9145.0,15116.0,10000.0,10832.0,11298.0,16627.0
2004,14730.0,7723.0,12730.0,8131.0,5000.0,9166.0,18157.0,20461.0,13930.0,4189.0,2365.0,1000.0,8621.0,5000.0,6739.0,11600.0,5415.0,9289.0,10954.0,641.0,13166.0,12651.0,12651.0,6715.0,9309.0,15930.0,10097.0,11715.0,11287.0,17038.0
2005,14749.0,6925.0,12714.0,8959.0,5000.0,9103.0,17620.0,19541.0,14411.0,4018.0,2324.0,1000.0,8764.0,5000.0,4000.0,11600.0,5653.0,9227.0,9205.0,624.0,13333.0,11050.0,11050.0,6724.0,9024.0,16992.0,10671.0,12152.0,31746.0,17956.0
2006,14783.0,9675.0,12296.0,9370.0,5000.0,10261.0,17617.0,20056.0,15584.0,4027.0,2288.0,1000.0,8931.0,5000.0,4000.0,11600.0,5846.0,9863.0,10392.0,611.0,13125.0,11278.0,11278.0,6741.0,8095.0,17041.0,10644.0,12607.0,37500.0,18786.0
2007,14000.0,9927.0,12016.0,10092.0,6000.0,9612.0,17116.0,19825.0,16035.0,4206.0,2311.0,1000.0,9216.0,6000.0,5948.0,11600.0,5854.0,9701.0,9959.0,620.0,13500.0,12361.0,12361.0,6471.0,8107.0,17213.0,10402.0,13333.0,32258.0,17981.0
2008,14286.0,8035.0,11005.0,11095.0,5643.0,8600.0,17405.0,20471.0,16537.0,4059.0,2311.0,1000.0,10882.0,5643.0,6946.0,11600.0,6301.0,9678.0,9408.0,628.0,13238.0,10594.0,10594.0,6574.0,8076.0,16917.0,10090.0,14483.0,34056.0,18672.0
2009,14000.0,7104.0,10053.0,10968.0,5556.0,8100.0,16650.0,21086.0,16977.0,4203.0,2277.0,1000.0,8985.0,5556.0,8292.0,11600.0,6467.0,9851.0,10951.0,629.0,13572.0,11535.0,11535.0,7511.0,7987.0,14652.0,10062.0,12143.0,31250.0,17765.0
2010,14751.0,7938.0,9403.0,12265.0,5503.0,9252.0,15818.0,20230.0,17140.0,4022.0,2286.0,1002.0,8125.0,5503.0,9603.0,11600.0,6723.0,10723.0,11044.0,631.0,13333.0,11973.0,11973.0,7902.0,8336.0,15123.0,10241.0,13333.0,31390.0,18071.0
2011,15031.0,8652.0,8696.0,12457.0,5568.0,9700.0,16396.0,22087.0,17168.0,4018.0,2321.0,1005.0,8750.0,5568.0,10994.0,11600.0,7543.0,12190.0,10433.0,632.0,13785.0,12561.0,12561.0,7824.0,8271.0,16550.0,10238.0,14000.0,32213.0,18182.0
2012,14612.0,8646.0,6284.0,11702.0,5643.0,8863.0,16584.0,24840.0,17202.0,4123.0,2319.0,1008.0,8832.0,5643.0,12441.0,11600.0,7668.0,12850.0,10306.0,633.0,14170.0,12326.0,12326.0,7769.0,8080.0,16520.0,9909.0,14480.0,33185.0,20362.0
2013,14679.0,8739.0,23982.0,9573.0,5686.0,7817.0,16344.0,25411.0,17276.0,4145.0,2317.0,1008.0,8978.0,5686.0,16828.0,11600.0,7596.0,13266.0,10287.0,634.0,13990.0,12608.0,12608.0,8000.0,7952.0,16484.0,9776.0,14826.0,33242.0,20000.0
2014,14745.0,8743.0,20812.0,8439.0,5729.0,6274.0,15592.0,32399.0,16965.0,4166.0,2315.0,1008.0,8961.0,5729.0,15453.0,11600.0,7625.0,13128.0,10268.0,636.0,14068.0,12389.0,12389.0,8200.0,7851.0,16448.0,9643.0,14814.0,33420.0,20659.0
