,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Iraq,Czechia,United Republic of Tanzania,Thailand,Ethiopia,Kenya,Libya,Costa Rica,Italy,Germany,Portugal,Sweden,Albania,Uzbekistan,China,Slovakia,Niger,Morocco,Switzerland,Chile,Malta,Colombia,Spain,Lebanon,Malawi,New Zealand,Cyprus,Austria,Ecuador,Japan,Poland,Turkey,Jordan,Belgium-Luxembourg,Egypt,Greece,United Kingdom,France,Zimbabwe,Tunisia,Montenegro,Russian Federation,Kyrgyzstan,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Ireland,Algeria,Peru,Lithuania,Bulgaria,Netherlands,Guatemala
1971,,-1.0,25128.0,1550.0,382.0,99067.0,,-1.0,340.0,,-1.0,2274.0,,115000.0,21592.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,15600.0,-1.0,12000.0,706.0,-1.0,91200.0,4507.0,-1.0,382.0,1524.0,-1.0,6200.0,5035.0,-1.0,53000.0,3679.0,,4957.0,14003.0,52225.0,8940.0,-1.0,31300.0,,,,34000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,7000.0,24798.0,,1954.0,23137.0,2760.0
1972,,-1.0,31937.0,1600.0,723.0,85128.0,,-1.0,350.0,,-1.0,3677.0,,113100.0,18900.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,20060.0,-1.0,14000.0,719.0,-1.0,76600.0,4813.0,-1.0,723.0,1372.0,-1.0,7000.0,5000.0,-1.0,48000.0,5100.0,,1000.0,14115.0,45722.0,7400.0,-1.0,14300.0,,,,41000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,9000.0,26363.0,,1662.0,25600.0,2690.0
1973,,-1.0,21396.0,1200.0,630.0,101821.0,,-1.0,360.0,,-1.0,5850.0,,102600.0,17933.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,11420.0,-1.0,16000.0,729.0,-1.0,125800.0,3642.0,-1.0,630.0,1473.0,-1.0,7500.0,6000.0,-1.0,53000.0,1800.0,,6000.0,14174.0,38610.0,12400.0,-1.0,24800.0,,,,46000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,11000.0,25418.0,,1754.0,18300.0,2640.0
1974,,-1.0,43105.0,1200.0,589.0,91433.0,,-1.0,370.0,,-1.0,6626.0,,115400.0,16300.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,11500.0,-1.0,18000.0,686.0,-1.0,137900.0,3600.0,-1.0,589.0,1524.0,-1.0,8129.0,8000.0,-1.0,60000.0,3403.0,,1000.0,14915.0,34100.0,9100.0,-1.0,31400.0,,,,45000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,15000.0,27134.0,,1631.0,21200.0,2580.0
1975,,-1.0,43520.0,900.0,427.0,80037.0,,-1.0,380.0,,-1.0,6185.0,,117500.0,14076.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,11600.0,-1.0,22000.0,768.0,-1.0,148500.0,3600.0,-1.0,427.0,813.0,-1.0,8400.0,10000.0,-1.0,60000.0,5640.0,,5000.0,14006.0,41700.0,9486.0,-1.0,34500.0,,,,46000.0,-1.0,-1.0,,-1.0,-1.0,,,37.0,-1.0,,18000.0,33328.0,,1148.0,20280.0,2470.0
1976,,-1.0,43740.0,700.0,1623.0,97068.0,,-1.0,390.0,,-1.0,6146.0,,121300.0,10783.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,12000.0,-1.0,24000.0,948.0,-1.0,166600.0,3600.0,-1.0,1623.0,1016.0,-1.0,8900.0,12000.0,-1.0,60000.0,7205.0,,2015.0,14107.0,33600.0,8792.0,-1.0,42500.0,,,,54880.0,-1.0,-1.0,,-1.0,-1.0,,,51.0,-1.0,,21000.0,33574.0,,1425.0,15000.0,2370.0
1977,,-1.0,52087.0,750.0,1340.0,93968.0,,-1.0,400.0,,-1.0,1585.0,,115800.0,12033.0,34000.0,-1.0,-1.0,,-1.0,,-1.0,13000.0,-1.0,26000.0,646.0,-1.0,120800.0,3600.0,-1.0,1340.0,1168.0,-1.0,9200.0,14000.0,-1.0,56000.0,8168.0,,2815.0,11870.0,45700.0,9245.0,-1.0,30600.0,,,,52920.0,-1.0,-1.0,,-1.0,-1.0,,,42.0,-1.0,,25000.0,36518.0,,1395.0,14200.0,2250.0
1978,,-1.0,59310.0,600.0,2059.0,69498.0,,-1.0,410.0,,-1.0,3649.0,,129700.0,14604.0,35000.0,-1.0,-1.0,,-1.0,,-1.0,15000.0,-1.0,28000.0,697.0,-1.0,124600.0,3600.0,-1.0,2059.0,1219.0,-1.0,9500.0,15000.0,-1.0,55000.0,10329.0,,4700.0,13841.0,60800.0,9410.0,-1.0,41100.0,,,,46490.0,-1.0,-1.0,,-1.0,-1.0,,,31.0,-1.0,,28000.0,34160.0,,1484.0,12800.0,2200.0
1979,,-1.0,70936.0,850.0,1446.0,74900.0,,-1.0,420.0,,-1.0,4391.0,,124800.0,14053.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,18000.0,-1.0,28000.0,878.0,-1.0,128300.0,4000.0,-1.0,1446.0,1168.0,-1.0,10000.0,16000.0,-1.0,45000.0,8178.0,,1409.0,12670.0,66000.0,8976.0,-1.0,38000.0,,,,35530.0,-1.0,-1.0,,-1.0,-1.0,,,25.0,-1.0,,31000.0,33105.0,,1419.0,13500.0,2150.0
1980,,-1.0,71812.0,600.0,881.0,92800.0,,-1.0,430.0,,-1.0,5050.0,,134000.0,10608.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,20000.0,-1.0,27200.0,889.0,-1.0,123700.0,5000.0,-1.0,881.0,1016.0,-1.0,10200.0,17000.0,-1.0,45000.0,10800.0,,2020.0,13944.0,58400.0,7300.0,-1.0,36300.0,,,,37130.0,-1.0,-1.0,,-1.0,-1.0,,,90.0,-1.0,,35000.0,33664.0,,1486.0,14000.0,2000.0
1981,,-1.0,76238.0,750.0,976.0,96600.0,,-1.0,440.0,,-1.0,5500.0,,132900.0,9723.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,25000.0,-1.0,28800.0,621.0,-1.0,113900.0,6000.0,-1.0,976.0,1118.0,-1.0,10500.0,18000.0,-1.0,47000.0,3516.0,,1354.0,14184.0,55700.0,7200.0,-1.0,30000.0,,,,53910.0,-1.0,-1.0,,-1.0,-1.0,51786.0,,69.0,-1.0,100.0,39930.0,39591.0,,1610.0,14000.0,1992.0
1982,,-1.0,81064.0,1000.0,1217.0,83800.0,,-1.0,450.0,,-1.0,4602.0,,122600.0,10005.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,28000.0,-1.0,28800.0,781.0,-1.0,130200.0,7000.0,-1.0,1217.0,1016.0,-1.0,10800.0,19900.0,-1.0,50000.0,3820.0,,1329.0,14102.0,63000.0,7000.0,-1.0,22000.0,,,,45000.0,-1.0,-1.0,,-1.0,-1.0,,,150.0,-1.0,150.0,35600.0,44776.0,,2048.0,13000.0,2000.0
1983,28221.0,-1.0,77871.0,860.0,1400.0,89000.0,,-1.0,460.0,,-1.0,5638.0,,121100.0,10410.0,36000.0,-1.0,-1.0,,28221.0,,-1.0,30000.0,-1.0,22000.0,858.0,-1.0,119700.0,7500.0,-1.0,1400.0,900.0,-1.0,11000.0,16000.0,-1.0,47000.0,3600.0,,1000.0,11185.0,56700.0,6600.0,-1.0,31200.0,,,,14813.0,-1.0,-1.0,,-1.0,-1.0,,,300.0,-1.0,174.0,44450.0,38110.0,,1558.0,11000.0,1800.0
1984,37201.0,-1.0,70600.0,640.0,2200.0,101300.0,,-1.0,470.0,,-1.0,6221.0,,120000.0,12214.0,36000.0,-1.0,-1.0,,37201.0,,-1.0,35000.0,-1.0,17200.0,800.0,-1.0,127673.0,8000.0,-1.0,2200.0,1500.0,-1.0,11500.0,15000.0,-1.0,47000.0,4745.0,,1000.0,11248.0,69000.0,5900.0,-1.0,31600.0,,,,46569.0,-1.0,-1.0,,-1.0,-1.0,,,630.0,-1.0,85.0,48994.0,42038.0,,1694.0,12000.0,1600.0
1985,38555.0,-1.0,55540.0,650.0,2700.0,93400.0,,-1.0,480.0,,-1.0,8500.0,,116800.0,5117.0,36000.0,-1.0,-1.0,,38555.0,,-1.0,38000.0,-1.0,16496.0,800.0,-1.0,143914.0,9000.0,-1.0,2700.0,1500.0,-1.0,6000.0,12000.0,-1.0,56000.0,6100.0,,3000.0,10613.0,62694.0,4200.0,-1.0,35600.0,,,,50526.0,-1.0,-1.0,,-1.0,-1.0,,,318.0,-1.0,115.0,114907.0,33991.0,,1835.0,12600.0,1500.0
1986,45677.0,-1.0,74400.0,550.0,3200.0,151700.0,,-1.0,490.0,,-1.0,10000.0,,111900.0,5404.0,36000.0,-1.0,-1.0,,45677.0,,-1.0,41000.0,-1.0,15000.0,800.0,-1.0,155400.0,10000.0,-1.0,3200.0,1000.0,-1.0,6903.0,10000.0,-1.0,50000.0,4417.0,,1000.0,11269.0,45371.0,4900.0,-1.0,29500.0,,,,48350.0,-1.0,-1.0,,-1.0,-1.0,45696.0,,409.0,-1.0,92.0,78661.0,42290.0,,1938.0,12400.0,1400.0
1987,61482.0,-1.0,73300.0,500.0,2900.0,153600.0,,-1.0,500.0,,-1.0,12000.0,,108000.0,3269.0,36000.0,-1.0,-1.0,,61482.0,,-1.0,45000.0,-1.0,12016.0,800.0,-1.0,159800.0,11500.0,-1.0,2900.0,1150.0,-1.0,8421.0,8000.0,-1.0,60000.0,7083.0,,1000.0,10877.0,36420.0,5300.0,-1.0,35000.0,,,,56000.0,-1.0,-1.0,,-1.0,-1.0,43441.0,,850.0,-1.0,100.0,85380.0,35549.0,,2114.0,11000.0,1400.0
1988,61455.0,-1.0,72381.0,400.0,3100.0,158800.0,,-1.0,1000.0,,-1.0,13000.0,,102400.0,3798.0,36000.0,-1.0,-1.0,,61455.0,,-1.0,46700.0,-1.0,11080.0,800.0,-1.0,152200.0,13000.0,-1.0,3100.0,950.0,-1.0,12994.0,5000.0,-1.0,70000.0,4034.0,,1500.0,10700.0,16000.0,3900.0,-1.0,19000.0,,,,48350.0,-1.0,-1.0,,-1.0,-1.0,29250.0,,1348.0,-1.0,100.0,77135.0,40609.0,,1934.0,8000.0,1400.0
1989,54392.0,-1.0,58600.0,340.0,3100.0,138800.0,,-1.0,1000.0,,-1.0,13000.0,,94300.0,3400.0,36000.0,-1.0,-1.0,,54392.0,,-1.0,58413.0,-1.0,11960.0,750.0,-1.0,131200.0,14000.0,-1.0,3100.0,960.0,-1.0,8623.0,2000.0,-1.0,67000.0,5428.0,,2100.0,10600.0,15700.0,3000.0,-1.0,25000.0,,,,52721.0,-1.0,-1.0,,-1.0,-1.0,24790.0,,850.0,-1.0,,96141.0,31336.0,,2038.0,8400.0,1394.0
1990,59219.0,-1.0,51300.0,380.0,2800.0,153200.0,,-1.0,950.0,,-1.0,14000.0,-1.0,90100.0,4190.0,30000.0,-1.0,-1.0,,69219.0,,1000.0,96741.0,-1.0,14584.0,708.0,-1.0,124900.0,15000.0,300.0,2800.0,1100.0,-1.0,9348.0,-1.0,10000.0,62000.0,5419.0,-1.0,2200.0,9117.0,13520.0,2977.0,200.0,25000.0,,,,45855.0,-1.0,10000.0,,-1.0,278.0,31865.0,,435.0,10000.0,0.0,78298.0,26537.0,,1795.0,10300.0,1432.0
1991,68000.0,-1.0,50100.0,366.0,2000.0,60200.0,,-1.0,1000.0,,-1.0,15000.0,-1.0,111500.0,6582.0,30138.0,-1.0,-1.0,,80000.0,,2000.0,62515.0,-1.0,20384.0,1621.0,-1.0,128600.0,16708.0,262.0,2000.0,800.0,-1.0,8850.0,-1.0,10800.0,59000.0,2262.0,-1.0,7955.0,10100.0,22114.0,5498.0,300.0,30000.0,,,,37112.0,-1.0,10284.0,,-1.0,400.0,22778.0,,137.0,12000.0,0.0,114693.0,33667.0,,2115.0,10800.0,1461.0
1992,77419.0,-1.0,51800.0,340.0,1500.0,105000.0,,-1.0,1089.0,,-1.0,14000.0,-1.0,107028.0,8831.0,30157.0,-1.0,-1.0,1200.0,95419.0,,3000.0,81906.0,-1.0,27034.0,1607.0,-1.0,104700.0,18343.0,250.0,1500.0,950.0,-1.0,13105.0,-1.0,8500.0,54000.0,5666.0,-1.0,2250.0,9500.0,17613.0,5672.0,400.0,26500.0,,-1.0,100.0,30959.0,-1.0,10537.0,3000.0,-1.0,317.0,33290.0,-1.0,250.0,18000.0,100.0,119986.0,19394.0,-1.0,1800.0,8600.0,1490.0
1993,79180.0,-1.0,44800.0,290.0,800.0,110000.0,-1.0,-1.0,1200.0,-1.0,-1.0,13500.0,-1.0,90949.0,3608.0,30176.0,-1.0,-1.0,1000.0,101180.0,400.0,3603.0,78000.0,-1.0,26440.0,1594.0,-1.0,89000.0,18500.0,300.0,800.0,900.0,-1.0,14826.0,-1.0,11000.0,51000.0,7000.0,,2200.0,7900.0,11649.0,5846.0,600.0,15000.0,,-1.0,100.0,35281.0,-1.0,10791.0,3500.0,-1.0,585.0,46628.0,-1.0,260.0,22000.0,0.0,73405.0,33765.0,-1.0,1500.0,13100.0,1978.0
1994,66084.0,-1.0,45600.0,290.0,600.0,108000.0,-1.0,-1.0,1244.0,500.0,50.0,13000.0,-1.0,86862.0,3118.0,30194.0,-1.0,-1.0,939.0,91084.0,200.0,4000.0,82480.0,-1.0,21736.0,1533.0,-1.0,88200.0,19000.0,250.0,600.0,800.0,-1.0,13894.0,-1.0,9600.0,51000.0,8600.0,,2252.0,8800.0,14815.0,6020.0,511.0,13000.0,,-1.0,100.0,38359.0,-1.0,11046.0,4000.0,-1.0,627.0,42463.0,-1.0,310.0,25000.0,0.0,81866.0,43037.0,-1.0,1000.0,13000.0,2400.0
1995,74362.0,-1.0,37800.0,290.0,650.0,109000.0,30.0,800.0,1300.0,448.0,58.0,13096.0,-1.0,85500.0,4100.0,30213.0,-1.0,-1.0,900.0,99235.0,242.0,4094.0,75715.0,-1.0,22000.0,1297.0,-1.0,72600.0,20000.0,300.0,650.0,1100.0,300.0,17590.0,-1.0,10500.0,50000.0,12400.0,,2250.0,9100.0,11000.0,6195.0,500.0,15000.0,,-1.0,100.0,36423.0,-1.0,11302.0,5000.0,-1.0,777.0,40297.0,-1.0,291.0,24873.0,0.0,110515.0,42555.0,-1.0,1500.0,12500.0,3000.0
1996,64632.0,-1.0,46014.0,300.0,800.0,107000.0,50.0,867.0,1246.0,780.0,59.0,12800.0,-1.0,90460.0,4502.0,30232.0,-1.0,100.0,850.0,91078.0,235.0,4134.0,84500.0,-1.0,21000.0,1200.0,-1.0,65200.0,21894.0,350.0,800.0,1000.0,100.0,17600.0,-1.0,9800.0,55000.0,16900.0,,2300.0,9000.0,8700.0,6369.0,700.0,19000.0,,-1.0,100.0,42205.0,3000.0,11559.0,5000.0,-1.0,874.0,55673.0,-1.0,384.0,26446.0,0.0,111356.0,62126.0,-1.0,1730.0,13500.0,3300.0
1997,82798.0,-1.0,27200.0,300.0,900.0,105000.0,111.0,900.0,1200.0,1000.0,62.0,13000.0,-1.0,81756.0,5215.0,30250.0,-1.0,200.0,800.0,110798.0,232.0,4148.0,90900.0,-1.0,20000.0,1649.0,-1.0,69748.0,12546.0,200.0,900.0,900.0,100.0,12035.0,-1.0,9500.0,47000.0,23127.0,,26000.0,9000.0,9600.0,6543.0,500.0,21500.0,,-1.0,100.0,47330.0,3659.0,11817.0,5000.0,-1.0,866.0,53536.0,-1.0,332.0,28000.0,0.0,103866.0,54849.0,-1.0,2100.0,17900.0,3600.0
1998,67501.0,-1.0,37691.0,300.0,1000.0,104507.0,200.0,914.0,1250.0,1500.0,28.0,13500.0,-1.0,80837.0,4489.0,30269.0,8500.0,100.0,834.0,102023.0,231.0,4200.0,87400.0,-1.0,22094.0,1391.0,-1.0,72900.0,16600.0,350.0,1000.0,1300.0,100.0,14532.0,-1.0,8000.0,47000.0,6588.0,,50000.0,10000.0,12900.0,6717.0,450.0,22500.0,,-1.0,100.0,40511.0,3515.0,12077.0,6000.0,-1.0,822.0,49925.0,-1.0,434.0,34522.0,0.0,102448.0,64591.0,-1.0,3300.0,6000.0,4200.0
1999,60882.0,-1.0,36115.0,300.0,1000.0,85000.0,100.0,920.0,1281.0,2000.0,31.0,14000.0,-1.0,72700.0,4150.0,30288.0,9000.0,300.0,900.0,92882.0,230.0,4342.0,119200.0,-1.0,19000.0,1535.0,48000.0,73512.0,13200.0,380.0,1000.0,1000.0,200.0,15360.0,-1.0,10000.0,45000.0,6732.0,,50000.0,9000.0,12400.0,6891.0,448.0,25000.0,,-1.0,100.0,44657.0,3338.0,12337.0,7800.0,-1.0,911.0,58277.0,-1.0,249.0,32000.0,0.0,119338.0,65067.0,-1.0,3300.0,5000.0,5100.0
2000,74344.0,-1.0,30592.0,300.0,1000.0,75000.0,200.0,893.0,1300.0,2500.0,40.0,14800.0,-1.0,72948.0,2549.0,30306.0,8500.0,100.0,1000.0,109344.0,227.0,4500.0,99050.0,-1.0,18000.0,1488.0,48500.0,78026.0,9000.0,400.0,1000.0,1100.0,200.0,13773.0,-1.0,10500.0,45000.0,9063.0,,50000.0,9000.0,12900.0,6841.0,400.0,21500.0,,300.0,100.0,48528.0,3227.0,12605.0,9000.0,-1.0,1152.0,53207.0,-1.0,470.0,35000.0,0.0,77719.0,67262.0,-1.0,3500.0,4000.0,5166.0
2001,75991.0,-1.0,45485.0,301.0,1000.0,70000.0,100.0,1000.0,1350.0,3000.0,120.0,14831.0,-1.0,64824.0,2818.0,30325.0,9500.0,100.0,1000.0,115991.0,226.0,4556.0,95510.0,-1.0,19000.0,896.0,49000.0,65497.0,10600.0,442.0,1000.0,1050.0,200.0,14218.0,-1.0,10000.0,45000.0,13893.0,,50000.0,8111.0,11000.0,7227.0,430.0,19600.0,,300.0,100.0,48941.0,3500.0,12867.0,10400.0,-1.0,1160.0,52564.0,500.0,483.0,40000.0,0.0,124959.0,65454.0,-1.0,2800.0,5400.0,5270.0
2002,73046.0,-1.0,52800.0,304.0,1000.0,58000.0,179.0,1300.0,1400.0,3500.0,160.0,15000.0,-1.0,59642.0,2739.0,30344.0,10200.0,100.0,1000.0,123046.0,227.0,4578.0,103820.0,-1.0,19500.0,1340.0,50000.0,73100.0,13600.0,475.0,1000.0,1000.0,200.0,8490.0,-1.0,8500.0,44000.0,18222.0,,50000.0,8236.0,10300.0,9000.0,400.0,23400.0,,500.0,100.0,51118.0,3502.0,13130.0,11000.0,-1.0,1247.0,58226.0,500.0,320.0,50000.0,0.0,134864.0,66121.0,-1.0,3000.0,6000.0,5809.0
2003,77333.0,-1.0,44900.0,306.0,1000.0,144000.0,319.0,1500.0,1457.0,4000.0,250.0,15321.0,-1.0,55104.0,2254.0,30363.0,10700.0,100.0,1000.0,132333.0,233.0,4600.0,140725.0,-1.0,20000.0,1155.0,51079.0,60500.0,13000.0,508.0,1000.0,2300.0,35.0,8093.0,20500.0,9149.0,44000.0,8745.0,,165740.0,9050.0,27300.0,3000.0,478.0,22500.0,,350.0,100.0,52025.0,3351.0,13395.0,11500.0,-1.0,1347.0,53793.0,500.0,405.0,55000.0,0.0,176407.0,61821.0,295.0,2852.0,6000.0,6389.0
2004,80011.0,-1.0,39300.0,308.0,999.0,162000.0,298.0,1429.0,1500.0,4500.0,500.0,15595.0,-1.0,57813.0,2500.0,30381.0,12400.0,100.0,1100.0,138011.0,231.0,4657.0,173280.0,47.0,20500.0,2435.0,54183.0,63395.0,14400.0,541.0,999.0,2000.0,244.0,12292.0,23300.0,12216.0,49000.0,15198.0,,158850.0,9056.0,22080.0,7261.0,500.0,25900.0,,300.0,100.0,53830.0,4095.0,13662.0,12860.0,70990.0,1524.0,56737.0,500.0,418.0,58000.0,0.0,173800.0,56187.0,161.0,2500.0,5500.0,6900.0
2005,60629.0,-1.0,44125.0,309.0,798.0,195000.0,400.0,1362.0,1500.0,5000.0,1000.0,15986.0,-1.0,53796.0,3215.0,30400.0,14900.0,100.0,1400.0,120629.0,230.0,4718.0,82155.0,46.0,20000.0,3386.0,52940.0,53619.0,15600.0,571.0,798.0,2630.0,191.0,13981.0,23000.0,12216.0,49000.0,15595.0,,130290.0,9096.0,22550.0,9000.0,551.0,27000.0,,300.0,100.0,55062.0,4541.0,13929.0,13400.0,38500.0,1489.0,50587.0,500.0,427.0,60000.0,0.0,207500.0,52637.0,260.0,1500.0,4000.0,6086.0
2006,57273.0,-1.0,50977.0,310.0,788.0,207000.0,341.0,1350.0,1600.0,5739.0,1750.0,16339.0,-1.0,58991.0,2872.0,32000.0,13100.0,100.0,1700.0,132273.0,220.0,4742.0,140575.0,36.0,19500.0,3116.0,23970.0,64402.0,12100.0,631.0,788.0,1000.0,179.0,14164.0,20300.0,9486.0,48721.0,11415.0,,127090.0,9500.0,22080.0,8000.0,585.0,24000.0,500.0,300.0,100.0,54771.0,4787.0,14198.0,12700.0,44080.0,1139.0,50612.0,500.0,439.0,75000.0,1.0,177883.0,57174.0,54.0,1150.0,4000.0,5100.0
2007,43343.0,-1.0,42976.0,312.0,767.0,175218.0,339.0,1800.0,1700.0,5200.0,2500.0,16447.0,-1.0,59100.0,3573.0,28000.0,13000.0,100.0,2000.0,123343.0,200.0,4700.0,138045.0,64.0,15500.0,2710.0,30662.0,67944.0,14800.0,668.0,767.0,1050.0,143.0,12715.0,21500.0,10528.0,46153.0,6194.0,,123230.0,9000.0,22310.0,8800.0,616.0,24600.0,500.0,300.0,100.0,54792.0,3627.0,15000.0,13500.0,47000.0,1274.0,61881.0,500.0,447.0,80000.0,1.0,169950.0,59228.0,141.0,2082.0,4000.0,5400.0
