,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Ukraine,Georgia,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Belgium,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,Croatia,Bulgaria,Germany,South Africa,New Zealand
1995,242.0,1140.0,520.0,2259.0,0.0,,21.0,372.0,16.0,5199.0,300.0,-1.0,,14500.0,658.0,10115.0,1709.0,,2205.0,17.0,36.0,3900.0,113.0,,,-1.0,6904.0,17480.0,575.0,1407.0,4000.0,6904.0,3300.0,280.0,1095.0,1085.0,,428.0,21807.0,370.0,312.0
1996,245.0,993.0,433.0,2315.0,0.0,,21.0,348.0,6.0,4838.0,294.0,-1.0,,15000.0,665.0,9436.0,1784.0,,2233.0,15.0,36.0,3500.0,100.0,,,150.0,7500.0,17870.0,551.0,1350.0,4148.0,7500.0,3400.0,280.0,1000.0,1065.0,,430.0,21814.0,370.0,350.0
1997,246.0,816.0,398.0,2213.0,0.0,,21.0,309.0,6.0,3668.0,299.0,-1.0,,16000.0,692.0,7475.0,684.0,,2163.0,0.0,36.0,2080.0,128.0,,,133.0,7195.0,17520.0,560.0,1350.0,4213.0,7195.0,3500.0,280.0,1000.0,995.0,,459.0,21383.0,370.0,350.0
1998,249.0,151.0,359.0,2156.0,0.0,,22.0,272.0,5.0,2602.0,250.0,-1.0,,18000.0,760.0,5633.0,390.0,,2010.0,0.0,36.0,1730.0,65.0,,,200.0,7750.0,14830.0,560.0,1270.0,4200.0,7750.0,2900.0,280.0,920.0,842.0,,395.0,19789.0,370.0,350.0
1999,226.0,238.0,341.0,1969.0,0.0,,22.0,262.0,5.0,2175.0,0.0,-1.0,,19000.0,788.0,6012.0,514.0,,1803.0,0.0,36.0,1945.0,40.0,,,195.0,6000.0,13860.0,560.0,1150.0,4257.0,6000.0,2600.0,250.0,800.0,818.0,,400.0,18297.0,360.0,350.0
2000,217.0,273.0,329.0,1923.0,0.0,,22.0,,0.0,2015.0,0.0,-1.0,,21000.0,790.0,6095.0,240.0,,1766.0,0.0,37.0,2400.0,40.0,,300.0,225.0,5500.0,14617.0,521.0,1088.0,4300.0,5500.0,2300.0,250.0,738.0,741.0,,281.0,18724.0,380.0,350.0
2001,218.0,246.0,330.0,1948.0,0.0,,24.0,,1.0,1656.0,0.0,-1.0,,18448.0,800.0,6075.0,140.0,,1682.0,0.0,37.0,2200.0,38.0,,300.0,300.0,4998.0,14533.0,627.0,1050.0,4400.0,4998.0,2195.0,250.0,700.0,829.0,,252.0,19845.0,450.0,350.0
2002,216.0,317.0,345.0,2198.0,0.0,,23.0,,0.0,1700.0,0.0,-1.0,,20000.0,794.0,8203.0,152.0,,1817.0,0.0,37.0,2100.0,42.0,,300.0,1050.0,5630.0,11861.0,543.0,1050.0,4417.0,5630.0,1820.0,240.0,700.0,666.0,,254.0,18563.0,397.0,350.0
2003,209.0,318.0,348.0,2172.0,0.0,,22.0,,0.0,1708.0,0.0,-1.0,,20792.0,793.0,5942.0,203.0,,1572.0,0.0,37.0,1800.0,43.0,,225.0,1040.0,5158.0,11602.0,422.0,816.0,4500.0,5158.0,1460.0,246.0,466.0,642.0,,281.0,17605.0,394.0,350.0
2004,207.0,308.0,346.0,2239.0,0.0,,20.0,,0.0,1700.0,0.0,-1.0,,21943.0,790.0,5838.0,50.0,,1524.0,0.0,37.0,1700.0,43.0,,218.0,1350.0,3752.0,11227.0,271.0,699.0,4419.0,3752.0,1340.0,243.0,369.0,642.0,,273.0,17395.0,380.0,330.0
2005,197.0,306.0,342.0,2291.0,0.0,,20.0,,0.0,1300.0,2.0,-1.0,,22891.0,762.0,5672.0,280.0,,1453.0,0.0,37.0,1600.0,43.0,,176.0,1200.0,3486.0,11923.0,227.0,835.0,4478.0,3486.0,1340.0,243.0,505.0,626.0,,228.0,17231.0,400.0,330.0
2006,196.0,302.0,341.0,2234.0,0.0,,22.0,,0.0,1200.0,0.0,-1.0,,23778.0,794.0,5414.0,652.0,82.0,1507.0,0.0,40.0,600.0,40.0,,287.0,1500.0,3544.0,11884.0,,702.0,4365.0,3544.0,1177.0,245.0,372.0,600.0,,202.0,17214.0,400.0,330.0
2007,212.0,293.0,335.0,2292.0,0.0,,19.0,,0.0,900.0,0.0,-1.0,,25214.0,795.0,5389.0,440.0,76.0,1572.0,1.0,36.0,500.0,50.0,,192.0,1500.0,3600.0,12509.0,,707.0,4400.0,3600.0,1200.0,370.0,377.0,600.0,,279.0,17747.0,410.0,330.0
2008,216.0,272.0,360.0,2316.0,0.0,,20.0,,0.0,1000.0,2.0,-1.0,,24409.0,802.0,5335.0,501.0,72.0,1638.0,1.0,39.0,468.0,49.0,,201.0,1500.0,3600.0,16551.0,,710.0,4500.0,3600.0,1005.0,370.0,380.0,498.0,,188.0,18780.0,410.0,330.0
2009,231.0,229.0,370.0,2195.0,0.0,,18.0,,0.0,950.0,7.0,-1.0,,23998.0,791.0,5307.0,456.0,67.0,1660.0,1.0,39.0,422.0,41.0,,196.0,2200.0,3600.0,16077.0,,714.0,4600.0,3600.0,934.0,370.0,384.0,502.0,,144.0,18450.0,397.0,330.0
2010,233.0,236.0,356.0,1709.0,0.0,,19.0,,0.0,900.0,7.0,-1.0,,21669.0,765.0,5200.0,215.0,54.0,1488.0,1.0,40.0,242.0,40.0,,200.0,2100.0,3519.0,12662.0,,729.0,4600.0,3519.0,804.0,370.0,390.0,514.0,,84.0,18386.0,371.0,339.0
2011,241.0,228.0,334.0,1643.0,0.0,,19.0,,0.0,800.0,7.0,-1.0,,22564.0,749.0,4632.0,177.0,47.0,1376.0,1.0,40.0,255.0,39.0,,197.0,2200.0,3110.0,12054.0,,757.0,4600.0,3110.0,688.0,370.0,414.0,533.0,,51.0,18600.0,388.0,343.0
2012,237.0,221.0,337.0,1633.0,0.0,,19.0,,0.0,700.0,7.0,-1.0,,22945.0,583.0,4366.0,226.0,11.0,1159.0,1.0,42.0,268.0,38.0,,161.0,2200.0,2944.0,12920.0,,738.0,4600.0,2944.0,573.0,370.0,404.0,539.0,,51.0,17300.0,375.0,334.0
2013,243.0,174.0,336.0,1623.0,0.0,,18.0,,0.0,600.0,7.0,-1.0,,24726.0,531.0,4319.0,239.0,20.0,1166.0,1.0,47.0,273.0,37.0,,164.0,2200.0,2788.0,14280.0,,633.0,4600.0,2788.0,507.0,370.0,300.0,539.0,,71.0,16600.0,387.0,333.0
2014,247.0,141.0,334.0,1684.0,0.0,,17.0,,0.0,400.0,7.0,-1.0,,28386.0,557.0,4460.0,243.0,16.0,1296.0,1.0,42.0,267.0,36.0,,156.0,2252.0,2643.0,15380.0,,613.0,4631.0,2643.0,449.0,380.0,281.0,559.0,,69.0,17300.0,418.0,333.0
