,Ukraine,Belgium,Serbia and Montenegro,Czechoslovakia,Serbia,Croatia,Qatar,USSR,Slovakia,Philippines,Haiti,Bosnia and Herzegovina,Puerto Rico,Romania,South Africa,Spain,Kazakhstan,France,Yugoslav SFR,Portugal,Poland,Netherlands,Russian Federation,Czechia,Belgium-Luxembourg
1996,322.0,-1.0,-1.0,-1.0,-1.0,119.0,-1.0,-1.0,-1.0,271.0,9.0,-1.0,-1.0,-1.0,4200.0,202.0,100.0,3225.0,-1.0,-1,1011.0,-1.0,-1,-1,12039.0
1997,378.0,-1.0,-1.0,-1.0,-1.0,137.0,-1.0,-1.0,-1.0,268.0,9.0,-1.0,-1.0,-1.0,4200.0,403.0,100.0,3124.0,-1.0,-1,1051.0,-1.0,-1,-1,12960.0
1998,433.0,-1.0,-1.0,-1.0,-1.0,137.0,-1.0,-1.0,-1.0,238.0,9.0,-1.0,-1.0,-1.0,4200.0,400.0,100.0,3199.0,-1.0,-1,1010.0,4086.0,-1,-1,12649.0
1999,489.0,-1.0,-1.0,-1.0,-1.0,140.0,7.0,-1.0,-1.0,215.0,9.0,-1.0,280.0,-1.0,4100.0,152.0,100.0,3218.0,-1.0,-1,1050.0,4988.0,-1,-1,14141.0
2000,544.0,16067.0,-1.0,-1.0,-1.0,137.0,7.0,-1.0,-1.0,207.0,9.0,-1.0,285.0,-1.0,4200.0,255.0,100.0,4595.0,-1.0,-1,1176.0,4251.0,-1,-1,-1.0
2001,600.0,15000.0,-1.0,-1.0,-1.0,137.0,7.0,-1.0,-1.0,211.0,9.0,-1.0,290.0,-1.0,4100.0,200.0,100.0,4533.0,-1.0,-1,1192.0,3678.0,-1,-1,-1.0
2002,640.0,13300.0,-1.0,-1.0,-1.0,140.0,10.0,-1.0,-1.0,210.0,9.0,-1.0,300.0,-1.0,4100.0,180.0,100.0,4572.0,-1.0,-1,1194.0,3718.0,-1,-1,-1.0
2003,980.0,15797.0,-1.0,-1.0,-1.0,142.0,21.0,-1.0,-1.0,217.0,9.0,3.0,304.0,-1.0,4100.0,160.0,100.0,3828.0,-1.0,-1,1147.0,3423.0,-1,-1,-1.0
2004,820.0,16234.0,-1.0,-1.0,-1.0,143.0,7.0,-1.0,50.0,252.0,9.0,3.0,305.0,-1.0,4100.0,146.0,100.0,3858.0,-1.0,-1,1195.0,2937.0,-1,-1,-1.0
2005,660.0,15424.0,-1.0,-1.0,-1.0,145.0,7.0,-1.0,45.0,416.0,9.0,3.0,298.0,-1.0,4100.0,143.0,100.0,4700.0,-1.0,-1,1203.0,3349.0,-1,-1,-1.0
2006,500.0,8210.0,-1.0,-1.0,150.0,150.0,10.0,-1.0,25.0,407.0,9.0,3.0,297.0,-1.0,4100.0,134.0,100.0,3270.0,-1.0,-1,1373.0,3592.0,-1,-1,-1.0
2007,340.0,9128.0,-1.0,-1.0,160.0,140.0,10.0,-1.0,70.0,405.0,9.0,3.0,300.0,-1.0,4100.0,40.0,100.0,2884.0,-1.0,-1,1300.0,3478.0,-1,-1,-1.0
2008,180.0,8957.0,-1.0,-1.0,150.0,144.0,10.0,-1.0,10.0,440.0,9.0,3.0,304.0,-1.0,4100.0,35.0,100.0,2885.0,-1.0,-1,1320.0,3162.0,-1,-1,-1.0
2009,180.0,9500.0,-1.0,-1.0,150.0,146.0,10.0,-1.0,4.0,450.0,9.0,3.0,301.0,-1.0,4100.0,30.0,100.0,3345.0,-1.0,-1,1763.0,3012.0,-1,-1,-1.0
2010,250.0,8100.0,-1.0,-1.0,150.0,148.0,10.0,-1.0,0.0,464.0,9.0,4.0,300.0,-1.0,4500.0,11.0,100.0,2677.0,-1.0,-1,1407.0,3016.0,-1,-1,-1.0
2011,190.0,6621.0,-1.0,-1.0,150.0,151.0,10.0,-1.0,9.0,475.0,9.0,4.0,300.0,-1.0,5000.0,12.0,100.0,2655.0,-1.0,-1,1397.0,3272.0,-1,-1,-1.0
2012,96.0,4846.0,-1.0,-1.0,150.0,150.0,10.0,-1.0,10.0,494.0,9.0,4.0,300.0,-1.0,5200.0,18.0,100.0,2235.0,-1.0,-1,1815.0,3357.0,-1,-1,-1.0
2013,170.0,6175.0,-1.0,-1.0,100.0,160.0,10.0,-1.0,11.0,508.0,9.0,4.0,300.0,-1.0,3000.0,10.0,100.0,2059.0,-1.0,-1,931.0,3345.0,-1,-1,-1.0
2014,200.0,6471.0,-1.0,-1.0,100.0,160.0,10.0,-1.0,10.0,521.0,9.0,4.0,301.0,-1.0,880.0,7.0,100.0,2447.0,-1.0,-1,964.0,2963.0,-1,-1,-1.0
