,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,USSR,Romania,Azerbaijan,Spain,Uzbekistan,Russian Federation,Denmark,Ireland,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Latvia,Yugoslav SFR,Slovakia,Czechia,United Kingdom,Austria,Chile,Hungary,Greece,New Zealand,Estonia,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Lithuania,Slovenia,Finland,Netherlands,Republic of Moldova,Kyrgyzstan,Norway,Italy,Belgium-Luxembourg
1971,-1.0,157784.0,-1.0,15966.0,48609.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1948.0,-1.0,-1.0,-1.0,-1.0,-1.0,750.0,-1.0,-1.0,24893.0,29557.0,-1.0,4858.0,-1.0,219.0,-1.0,1763.0,1359.0,270.0,1140.0,7450.0,-1,-1.0,10000.0,5037.0,-1.0,-1.0,16138.0,-1.0,3700.0
1972,-1.0,161040.0,-1.0,13161.0,49454.0,-1.0,-1.0,28000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2075.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,-1.0,-1.0,27637.0,24834.0,-1.0,6240.0,-1.0,313.0,-1.0,1668.0,1109.0,94.0,796.0,5690.0,-1,-1.0,6080.0,4600.0,-1.0,-1.0,16056.0,-1.0,4250.0
1973,-1.0,146338.0,-1.0,20132.0,72776.0,-1.0,-1.0,39000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2118.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,22455.0,31553.0,-1.0,7799.0,-1.0,356.0,-1.0,1841.0,1221.0,216.0,865.0,6010.0,-1,-1.0,6200.0,3000.0,-1.0,-1.0,15761.0,-1.0,4250.0
1974,-1.0,143522.0,-1.0,17528.0,78049.0,-1.0,-1.0,42000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1914.0,1000.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,24080.0,31872.0,-1.0,8659.0,-1.0,311.0,-1.0,1374.0,1262.0,177.0,951.0,5310.0,-1,-1.0,7280.0,2600.0,-1.0,-1.0,16695.0,-1.0,4220.0
1975,-1.0,145604.0,-1.0,20696.0,89786.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1988.0,1000.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,25200.0,33345.0,-1.0,9196.0,-1.0,437.0,-1.0,1186.0,910.0,204.0,473.0,5372.0,-1,-1.0,4500.0,3000.0,-1.0,-1.0,16484.0,-1.0,4750.0
1976,-1.0,124969.0,-1.0,15765.0,93329.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1743.0,1000.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,19100.0,25011.0,-1.0,9772.0,-1.0,490.0,-1.0,1279.0,1065.0,211.0,575.0,4810.0,-1,-1.0,5630.0,2000.0,-1.0,-1.0,15439.0,-1.0,3250.0
1977,-1.0,113311.0,-1.0,14898.0,130632.0,-1.0,-1.0,59000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1740.0,1000.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,9200.0,14108.0,-1.0,9725.0,-1.0,525.0,-1.0,565.0,1206.0,148.0,681.0,3300.0,-1,-1.0,5900.0,2200.0,-1.0,-1.0,15750.0,-1.0,3200.0
1978,-1.0,143480.0,-1.0,18807.0,110785.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,1000.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,18700.0,22577.0,-1.0,13041.0,-1.0,688.0,-1.0,732.0,1475.0,70.0,787.0,5440.0,-1,-1.0,5490.0,2000.0,-1.0,-1.0,18277.0,-1.0,4450.0
1979,-1.0,144330.0,-1.0,20268.0,151393.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1168.0,1000.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,22600.0,19577.0,-1.0,13158.0,-1.0,749.0,-1.0,468.0,1851.0,50.0,1102.0,5270.0,-1,-1.0,6370.0,1900.0,-1.0,-1.0,17957.0,-1.0,4430.0
1980,-1.0,158070.0,-1.0,21968.0,111957.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1316.0,1000.0,-1.0,-1.0,-1.0,-1.0,150.0,-1.0,-1.0,20100.0,27846.0,-1.0,16107.0,-1.0,840.0,-1.0,394.0,1612.0,40.0,772.0,5915.0,-1,-1.0,4030.0,1900.0,-1.0,-1.0,19439.0,-1.0,4000.0
1981,-1.0,114098.0,-1.0,20147.0,129071.0,-1.0,-1.0,98000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2563.0,1000.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,20300.0,25846.0,-1.0,20904.0,-1.0,1237.0,-1.0,457.0,2242.0,40.0,1005.0,5500.0,-1,-1.0,5300.0,1900.0,-1.0,-1.0,20539.0,-1.0,3000.0
1982,-1.0,150536.0,-1.0,27160.0,138557.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2898.0,1000.0,-1.0,-1.0,-1.0,-1.0,300.0,-1.0,-1.0,18700.0,25216.0,-1.0,20927.0,-1.0,2351.0,-1.0,380.0,3112.0,40.0,761.0,6100.0,-1,-1.0,7030.0,2400.0,-1.0,-1.0,19045.0,1000.0,4500.0
1983,-1.0,154162.0,-1.0,31503.0,164112.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4054.0,1000.0,-1.0,-1.0,-1.0,-1.0,320.0,-1.0,-1.0,31500.0,30493.0,-1.0,22414.0,-1.0,1800.0,-1.0,394.0,2651.0,-1.0,851.0,10200.0,-1,-1.0,3430.0,2900.0,-1.0,-1.0,19202.0,1000.0,4500.0
1984,-1.0,161079.0,-1.0,36692.0,150846.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,1000.0,-1.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,18300.0,28988.0,-1.0,23044.0,-1.0,1950.0,-1.0,278.0,2682.0,-1.0,732.0,7367.0,-1,-1.0,5000.0,2500.0,-1.0,-1.0,18225.0,1000.0,4500.0
1985,-1.0,153618.0,-1.0,34848.0,179894.0,-1.0,270.0,81000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3431.0,1000.0,-1.0,-1.0,-1.0,-1.0,180.0,-1.0,-1.0,21706.0,28008.0,-1.0,22867.0,-1.0,1300.0,-1.0,274.0,1942.0,-1.0,642.0,7460.0,-1,-1.0,2600.0,2300.0,-1.0,-1.0,18967.0,500.0,4000.0
1986,-1.0,158676.0,-1.0,34829.0,149940.0,-1.0,258.0,90000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,1000.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,26068.0,25766.0,-1.0,21085.0,-1.0,2040.0,-1.0,216.0,2677.0,-1.0,637.0,7652.0,-1,-1.0,2900.0,2600.0,-1.0,-1.0,18304.0,550.0,4500.0
1987,-1.0,166998.0,-1.0,32936.0,101660.0,-1.0,265.0,98000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3102.0,700.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,18650.0,24668.0,-1.0,18610.0,-1.0,1960.0,-1.0,177.0,2451.0,-1.0,491.0,7789.0,-1,-1.0,1800.0,2500.0,-1.0,-1.0,17803.0,480.0,4300.0
1988,-1.0,173658.0,-1.0,34895.0,165319.0,900.0,300.0,100000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,700.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,20600.0,28588.0,-1.0,17879.0,-1.0,1894.0,-1.0,142.0,2274.0,-1.0,380.0,8896.0,-1,-1.0,1400.0,1400.0,-1.0,-1.0,19712.0,480.0,3000.0
1989,-1.0,161278.0,-1.0,37786.0,166680.0,900.0,270.0,105000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,700.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,18421.0,27382.0,-1.0,18132.0,-1.0,2200.0,-1.0,158.0,2619.0,-1.0,419.0,8183.0,-1,-1.0,2700.0,1400.0,-1.0,-1.0,18122.0,500.0,3000.0
1990,-1.0,146538.0,-1.0,33932.0,130409.0,824.0,319.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5493.0,900.0,-1.0,-1.0,50.0,-1.0,36.0,-1.0,-1.0,16146.0,24130.0,-1.0,15157.0,-1.0,2600.0,-1.0,142.0,3005.0,0.0,405.0,7519.0,-1,-1.0,3200.0,1500.0,-1.0,-1.0,18000.0,370.0,2500.0
1991,-1.0,126356.0,-1.0,33752.0,169228.0,940.0,217.0,62000.0,500.0,-1.0,-1.0,-1.0,-1.0,3500.0,1100.0,-1.0,-1.0,62.0,-1.0,40.0,-1.0,-1.0,22858.0,23570.0,-1.0,15746.0,-1.0,2900.0,-1.0,165.0,3359.0,0.0,459.0,6600.0,-1,-1.0,2700.0,1500.0,-1.0,-1.0,1736.0,250.0,3000.0
1992,17992.0,170000.0,-1.0,34000.0,213406.0,821.0,348.0,-1.0,500.0,300.0,-1.0,1000.0,155000.0,3096.0,1700.0,-1.0,-1.0,74.0,2700.0,-1.0,-1.0,-1.0,30800.0,21710.0,-1.0,15844.0,0.0,2700.0,734.0,162.0,3170.0,0.0,470.0,11795.0,-1,-1.0,2400.0,1600.0,200.0,100.0,1440.0,200.0,3250.0
1993,19751.0,167000.0,-1.0,-1.0,195712.0,850.0,259.0,-1.0,500.0,300.0,-1.0,999.0,178600.0,3550.0,1400.0,-1.0,-1.0,89.0,4700.0,-1.0,4922.0,23975.0,25700.0,20020.0,-1.0,14370.0,100.0,3600.0,637.0,100.0,4120.0,0.0,520.0,13560.0,-1,-1.0,3685.0,1600.0,300.0,60.0,1556.0,250.0,3300.0
1994,15707.0,160000.0,-1.0,-1.0,168595.0,900.0,296.0,-1.0,600.0,300.0,100.0,999.0,181700.0,4500.0,1600.0,-1.0,-1.0,100.0,3450.0,-1.0,5567.0,24801.0,23400.0,16488.0,-1.0,13000.0,23.0,2500.0,428.0,103.0,3070.0,0.0,570.0,9516.0,-1,-1.0,3700.0,1600.0,200.0,70.0,1281.0,311.0,3000.0
1995,14659.0,169300.0,-1.0,-1.0,154591.0,900.0,289.0,-1.0,800.0,300.0,0.0,1000.0,175000.0,6500.0,2300.0,-1.0,-1.0,150.0,5800.0,-1.0,4804.0,22074.0,19400.0,17788.0,-1.0,12000.0,0.0,2479.0,800.0,103.0,3112.0,0.0,633.0,11270.0,-1,-1.0,2600.0,1900.0,200.0,20.0,1338.0,350.0,3000.0
1996,15877.0,148267.0,-1.0,-1.0,193052.0,800.0,327.0,-1.0,700.0,200.0,0.0,999.0,190000.0,7100.0,2300.0,-1.0,-1.0,138.0,3300.0,-1.0,5448.0,25041.0,23000.0,15646.0,-1.0,12760.0,0.0,2000.0,1769.0,104.0,2665.0,0.0,665.0,13600.0,-1,-1.0,2592.0,2700.0,300.0,20.0,885.0,400.0,2600.0
1997,19028.0,121262.0,-1.0,-1.0,161586.0,800.0,264.0,-1.0,3000.0,300.0,100.0,999.0,200000.0,6041.0,1900.0,-1.0,-1.0,100.0,8000.0,-1.0,3604.0,20543.0,10700.0,19509.0,-1.0,11492.0,0.0,1800.0,2120.0,100.0,2733.0,0.0,933.0,10901.0,-1,-1.0,2260.0,2500.0,600.0,70.0,808.0,450.0,2200.0
1998,17901.0,136191.0,-1.0,-1.0,175086.0,800.0,300.0,-1.0,1500.0,400.0,107.0,1000.0,204000.0,5000.0,1300.0,-1.0,-1.0,200.0,6462.0,-1.0,3571.0,19890.0,7500.0,19496.0,-1.0,11773.0,100.0,3500.0,1721.0,100.0,4500.0,0.0,1000.0,8318.0,-1,-1.0,1913.0,2100.0,600.0,70.0,676.0,551.0,1700.0
1999,14594.0,155400.0,-1.0,-1.0,153353.0,478.0,296.0,-1.0,3000.0,450.0,132.0,1000.0,206000.0,5304.0,1000.0,-1.0,-1.0,300.0,4362.0,-1.0,3965.0,22792.0,8400.0,19537.0,-1.0,12304.0,0.0,2300.0,759.0,100.0,3243.0,0.0,943.0,8634.0,-1,-1.0,1630.0,3000.0,800.0,70.0,870.0,585.0,2200.0
2000,19887.0,158300.0,2000.0,-1.0,146780.0,300.0,373.0,-1.0,3000.0,500.0,154.0,1000.0,260000.0,4000.0,1000.0,-1.0,-1.0,290.0,3432.0,-1.0,3919.0,18089.0,12300.0,22861.0,-1.0,11848.0,0.0,2650.0,1507.0,100.0,3656.0,0.0,1006.0,8382.0,-1,40.0,2323.0,2500.0,500.0,100.0,714.0,598.0,-1.0
2001,19372.0,148100.0,2000.0,-1.0,175300.0,600.0,407.0,-1.0,4000.0,600.0,143.0,1000.0,285000.0,5500.0,884.0,-1.0,-1.0,281.0,4132.0,-1.0,1730.0,16597.0,15400.0,19072.0,-1.0,12194.0,0.0,2450.0,3274.0,90.0,3481.0,0.0,1031.0,8604.0,-1,18.0,1394.0,2500.0,444.0,75.0,684.0,603.0,-1.0
2002,19970.0,117100.0,2000.0,-1.0,157434.0,600.0,427.0,-1.0,2500.0,900.0,155.0,1000.0,347000.0,6500.0,581.0,50.0,-1.0,289.0,3549.0,-1.0,1698.0,3042.0,13000.0,19581.0,-1.0,8138.0,0.0,2300.0,3411.0,93.0,3344.0,0.0,1044.0,9245.0,-1,13.0,1758.0,3000.0,773.0,70.0,704.0,586.0,-1.0
2003,20500.0,114800.0,1600.0,-1.0,192475.0,395.0,477.0,-1.0,2000.0,600.0,161.0,1000.0,345000.0,10244.0,273.0,54.0,15.0,297.0,2819.0,-1.0,1174.0,3921.0,19100.0,18342.0,-1.0,8102.0,0.0,6042.0,1681.0,73.0,7538.0,0.0,1496.0,10338.0,-1,2.0,2712.0,3049.0,418.0,80.0,918.0,615.0,-1.0
2004,24800.0,60000.0,1600.0,-1.0,194498.0,400.0,499.0,-1.0,804.0,500.0,172.0,1100.0,396000.0,7891.0,140.0,56.0,15.0,306.0,3898.0,-1.0,345.0,3729.0,18200.0,19549.0,-1.0,14722.0,0.0,7800.0,1104.0,44.0,9080.0,0.0,1280.0,13723.0,-1,7.0,2003.0,3076.0,517.0,100.0,599.0,694.0,-1.0
2005,24800.0,12000.0,2100.0,-1.0,186809.0,493.0,493.0,-1.0,109.0,800.0,187.0,1200.0,431500.0,11251.0,157.0,58.0,13.0,303.0,5186.0,-1.0,278.0,3456.0,19700.0,19442.0,120.0,12097.0,0.0,8300.0,2050.0,40.0,9456.0,0.0,1156.0,11401.0,-1,0.0,2238.0,3074.0,166.0,80.0,753.0,723.0,-1.0
2006,24900.0,11239.0,2000.0,-1.0,194539.0,500.0,493.0,-1.0,115.0,1800.0,200.0,1450.0,447000.0,9852.0,150.0,60.0,13.0,319.0,4910.0,-1.0,205.0,2846.0,15555.0,19290.0,140.0,10777.0,7.0,8726.0,566.0,0.0,9926.0,0.0,1200.0,9700.0,-1,5.0,2175.0,3070.0,189.0,100.0,799.0,800.0,-1.0
2007,24500.0,8808.0,1600.0,-1.0,138568.0,450.0,432.0,-1.0,29.0,2000.0,231.0,1500.0,456900.0,10000.0,140.0,63.0,14.0,329.0,2102.0,-1.0,176.0,3227.0,12500.0,19934.0,80.0,5191.0,20.0,8500.0,483.0,0.0,9137.0,0.0,637.0,9485.0,-1,5.0,1936.0,3200.0,168.0,100.0,812.0,700.0,-1.0
2008,24100.0,10587.0,1700.0,-1.0,196587.0,399.0,490.0,-1.0,11.0,1400.0,250.0,1700.0,357000.0,10143.0,146.0,65.0,11.0,338.0,484.0,-1.0,247.0,3709.0,13700.0,19767.0,80.0,6435.0,7.0,8250.0,734.0,0.0,8880.0,0.0,630.0,7678.0,-1,5.0,1238.0,3343.0,87.0,100.0,783.0,800.0,-1.0
2009,23200.0,11847.0,1900.0,-1.0,196453.0,366.0,495.0,-1.0,18.0,1400.0,350.0,1900.0,367000.0,10400.0,148.0,66.0,11.0,347.0,358.0,-1.0,305.0,2506.0,15800.0,19375.0,80.0,7267.0,7.0,8000.0,912.0,0.0,8562.0,0.0,562.0,11074.0,-1,5.0,2099.0,3130.0,177.0,100.0,836.0,760.0,-1.0
2010,25800.0,11927.0,1500.0,-1.0,196658.0,330.0,544.0,-1.0,19.0,1500.0,450.0,2000.0,327000.0,13309.0,151.0,70.0,11.0,355.0,350.0,-1.0,265.0,2017.0,17300.0,13200.0,80.0,3853.0,8.0,7985.0,536.0,1.0,8549.0,0.0,564.0,21110.0,-1,5.0,1438.0,2963.0,97.0,100.0,452.0,716.0,-1.0
2011,25700.0,9587.0,1500.0,-1.0,169634.0,280.0,514.0,-1.0,30.0,1500.0,500.0,1600.0,365000.0,13372.0,160.0,70.0,11.0,363.0,427.0,-1.0,214.0,1672.0,11732.0,19960.0,80.0,2987.0,8.0,7988.0,780.0,0.0,8403.0,0.0,415.0,20720.0,-1,5.0,2181.0,2794.0,74.0,110.0,597.0,740.0,-1.0
2012,24100.0,10764.0,1120.0,-1.0,194522.0,290.0,452.0,-1.0,40.0,1700.0,900.0,1700.0,346000.0,12793.0,176.0,70.0,11.0,370.0,560.0,-1.0,194.0,2469.0,11910.0,19140.0,97.0,3330.0,8.0,9278.0,675.0,0.0,9795.0,0.0,517.0,14110.0,-1,6.0,1636.0,2543.0,83.0,115.0,583.0,588.0,-1.0
2013,26610.0,12658.0,383.0,-1.0,198459.0,260.0,529.0,-1.0,66.0,2000.0,900.0,1600.0,372700.0,13687.0,146.0,73.0,10.0,370.0,547.0,-1.0,98.0,2203.0,16986.0,19174.0,100.0,3380.0,8.0,10101.0,544.0,0.0,10779.0,0.0,678.0,18260.0,-1,4.0,1917.0,2428.0,65.0,120.0,427.0,673.0,-1.0
2014,25790.0,12888.0,800.0,-1.0,162562.0,222.0,470.0,-1.0,134.0,2000.0,900.0,1600.0,372000.0,4719.0,125.0,76.0,10.0,382.0,292.0,-1.0,103.0,1847.0,12698.0,22225.0,103.0,2620.0,8.0,9868.0,459.0,0.0,10544.0,0.0,675.0,17798.0,-1,4.0,1711.0,2292.0,157.0,120.0,586.0,783.0,-1.0
