,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Martinique,Belgium,Australia & New Zealand,Thailand,Indonesia,Greece,Iran (Islamic Republic of),Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Portugal,Bahamas,Barbados,French Polynesia,Algeria,United Arab Emirates,Senegal,Latvia,Haiti,Ukraine,Israel,Dominica,Fiji,Cabo Verde,USSR,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Sudan (former),Réunion,China,Polynesia,Colombia,Libya,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Saint Lucia,South Africa,Mauritius,Saint Vincent and the Grenadines,France,Micronesia,Poland,"China, mainland",Russian Federation,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Germany,Malta,Dominican Republic,South Sudan,Guadeloupe,Denmark,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Guyana,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Kuwait,Cuba,Republic of Moldova,Kyrgyzstan,Argentina,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Morocco,Bhutan,Qatar,Mexico,Cayman Islands,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Côte d'Ivoire,Albania,Slovakia,Jamaica,Trinidad and Tobago,Italy,Saint Pierre and Miquelon,Australia,Egypt,Lithuania,Finland,Netherlands,Oman,Guam,Turkey
1971,300.0,1647.0,350.0,-1.0,1451.0,-1.0,7100.0,5160.0,60.0,-1.0,10308.0,12500.0,-1.0,5000.0,25000.0,8428.0,18.0,18.0,8300.0,100.0,-1.0,-1.0,3.0,2000.0,20.0,-1.0,-1.0,-1.0,-1.0,1205.0,-1.0,-1.0,-1.0,-1.0,-1.0,6132.0,38.0,7100.0,-1.0,810.0,2520.0,-1.0,57947.0,3.0,2000.0,517.0,830.0,-1.0,-1.0,5280.0,1550.0,-1.0,10000.0,61.0,8.0,3100.0,-1,-1.0,56000.0,-1.0,-1.0,5850.0,-1.0,-1.0,267.0,-1.0,171.0,6000.0,-1.0,10.0,16.0,-1.0,18300.0,-1.0,7320.0,-1.0,268.0,18.0,3100.0,1000.0,-1.0,-1.0,3159.0,-1.0,15985.0,2000.0,-1.0,-1.0,18650.0,-1.0,-1.0,26680.0,950.0,4200.0,190000.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,12200.0,2.0,209100.0,-1.0,-1.0,580.0,1258.0,1150.0,-1.0,-1.0,-1.0,2148.0,160.0,13231.0,-1,9308.0,19744.0,-1.0,-1.0,-1.0,-1.0,-1,19800.0
1972,280.0,1540.0,350.0,-1.0,696.0,-1.0,7100.0,6231.0,60.0,-1.0,9323.0,13600.0,-1.0,5000.0,26000.0,11029.0,19.0,19.0,8830.0,100.0,-1.0,-1.0,3.0,2200.0,20.0,-1.0,-1.0,-1.0,-1.0,1175.0,-1.0,-1.0,-1.0,-1.0,-1.0,6438.0,38.0,6900.0,-1.0,870.0,2520.0,-1.0,57820.0,3.0,2030.0,670.0,773.0,-1.0,-1.0,5300.0,1750.0,-1.0,10000.0,51.0,11.0,2516.0,-1,-1.0,56000.0,-1.0,-1.0,5110.0,-1.0,-1.0,280.0,-1.0,166.0,5300.0,-1.0,10.0,23.0,-1.0,16100.0,-1.0,5171.0,-1.0,268.0,20.0,2000.0,1000.0,-1.0,-1.0,2825.0,-1.0,13891.0,2000.0,-1.0,-1.0,17737.0,-1.0,-1.0,25070.0,960.0,4400.0,200000.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,12300.0,2.0,201100.0,-1.0,-1.0,1114.0,1375.0,1200.0,-1.0,-1.0,-1.0,2036.0,230.0,12963.0,-1,8323.0,17643.0,-1.0,-1.0,-1.0,-1.0,-1,19500.0
1973,280.0,1446.0,350.0,-1.0,898.0,-1.0,7200.0,6438.0,60.0,-1.0,8792.0,14700.0,-1.0,5100.0,27000.0,10345.0,24.0,24.0,9000.0,100.0,-1.0,-1.0,3.0,2400.0,35.0,-1.0,-1.0,-1.0,-1.0,690.0,-1.0,-1.0,-1.0,-1.0,-1.0,7172.0,38.0,6700.0,-1.0,940.0,2900.0,-1.0,56726.0,3.0,2030.0,912.0,755.0,-1.0,-1.0,5300.0,1600.0,-1.0,12000.0,65.0,8.0,2727.0,-1,-1.0,55000.0,-1.0,-1.0,4765.0,-1.0,-1.0,300.0,-1.0,171.0,5300.0,-1.0,10.0,22.0,-1.0,15400.0,-1.0,4779.0,-1.0,268.0,23.0,3900.0,1000.0,-1.0,-1.0,2394.0,-1.0,14101.0,2500.0,-1.0,-1.0,18795.0,-1.0,-1.0,27800.0,1000.0,4600.0,205000.0,-1.0,-1.0,-1.0,5100.0,-1.0,-1.0,12400.0,2.0,168800.0,-1.0,-1.0,1431.0,1242.0,1450.0,-1.0,-1.0,-1.0,1969.0,360.0,12900.0,-1,7792.0,17223.0,-1.0,-1.0,-1.0,-1.0,-1,19000.0
1974,300.0,1150.0,350.0,-1.0,3797.0,-1.0,7200.0,10962.0,60.0,-1.0,9662.0,15700.0,-1.0,4900.0,28000.0,11019.0,28.0,28.0,9000.0,100.0,-1.0,-1.0,3.0,2600.0,39.0,-1.0,-1.0,-1.0,-1.0,940.0,-1.0,-1.0,-1.0,-1.0,-1.0,7089.0,37.0,6400.0,-1.0,1000.0,2500.0,-1.0,58450.0,3.0,2046.0,950.0,1025.0,-1.0,-1.0,5100.0,1800.0,-1.0,12000.0,50.0,12.0,2726.0,-1,-1.0,57000.0,-1.0,-1.0,4685.0,-1.0,-1.0,300.0,-1.0,171.0,5500.0,-1.0,10.0,14.0,-1.0,14900.0,-1.0,4347.0,-1.0,268.0,15.0,4200.0,1100.0,12.0,-1.0,1983.0,-1.0,12990.0,2500.0,-1.0,-1.0,18000.0,-1.0,-1.0,31700.0,1000.0,4800.0,210000.0,-1.0,-1.0,-1.0,5200.0,-1.0,-1.0,12500.0,2.0,171200.0,-1.0,-1.0,1018.0,1572.0,1650.0,-1.0,-1.0,-1.0,2011.0,364.0,12726.0,-1,8562.0,18063.0,-1.0,-1.0,-1.0,-1.0,-1,20000.0
1975,267.0,1196.0,350.0,-1.0,919.0,-1.0,7300.0,11718.0,60.0,-1.0,9053.0,16700.0,-1.0,4700.0,29000.0,1432.0,31.0,31.0,10000.0,100.0,-1.0,-1.0,3.0,2800.0,47.0,-1.0,-1.0,-1.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1.0,11937.0,39.0,5700.0,-1.0,1050.0,2600.0,-1.0,61463.0,3.0,2050.0,1040.0,900.0,-1.0,-1.0,5000.0,1740.0,-1.0,12000.0,104.0,11.0,2749.0,-1,-1.0,60000.0,-1.0,-1.0,4847.0,-1.0,-1.0,300.0,-1.0,178.0,6500.0,-1.0,10.0,17.0,-1.0,14200.0,-1.0,4160.0,-1.0,201.0,20.0,4400.0,1200.0,23.0,-1.0,1800.0,-1.0,13183.0,2500.0,-1.0,1.0,21447.0,-1.0,-1.0,34850.0,1000.0,5000.0,215000.0,-1.0,-1.0,-1.0,5300.0,-1.0,-1.0,12670.0,2.0,166900.0,-1.0,-1.0,1414.0,2515.0,1150.0,-1.0,-1.0,-1.0,2554.0,300.0,13379.0,-1,7853.0,19456.0,-1.0,-1.0,-1.0,-1.0,-1,18500.0
1976,429.0,701.0,350.0,-1.0,2666.0,-1.0,7290.0,12751.0,60.0,-1.0,9750.0,17600.0,-1.0,4900.0,30000.0,1671.0,25.0,25.0,10000.0,100.0,-1.0,-1.0,4.0,3000.0,55.0,-1.0,-1.0,-1.0,-1.0,790.0,-1.0,-1.0,-1.0,-1.0,-1.0,10275.0,37.0,5500.0,-1.0,1100.0,2700.0,-1.0,63130.0,4.0,2370.0,1050.0,900.0,-1.0,-1.0,5000.0,1682.0,-1.0,12000.0,110.0,19.0,2711.0,-1,-1.0,62000.0,-1.0,-1.0,4953.0,-1.0,-1.0,300.0,-1.0,173.0,5500.0,-1.0,10.0,17.0,-1.0,13900.0,-1.0,4534.0,-1.0,214.0,25.0,4700.0,842.0,25.0,-1.0,1700.0,-1.0,12938.0,2600.0,-1.0,2.0,16880.0,-1.0,-1.0,31100.0,1000.0,5000.0,220000.0,-1.0,-1.0,-1.0,5600.0,-1.0,-1.0,11643.0,2.0,172600.0,-1.0,-1.0,2702.0,3188.0,1200.0,-1.0,-1.0,-1.0,2062.0,300.0,13215.0,-1,8908.0,20528.0,-1.0,-1.0,-1.0,-1.0,-1,18500.0
1977,413.0,741.0,350.0,-1.0,5183.0,-1.0,7750.0,12281.0,60.0,-1.0,8909.0,18300.0,-1.0,4600.0,30000.0,2055.0,23.0,23.0,10000.0,150.0,-1.0,-1.0,5.0,3200.0,76.0,-1.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,-1.0,-1.0,-1.0,9403.0,34.0,5300.0,-1.0,1200.0,2800.0,-1.0,63154.0,5.0,2570.0,1070.0,900.0,-1.0,-1.0,5000.0,1850.0,-1.0,12000.0,110.0,10.0,2855.0,-1,-1.0,62000.0,-1.0,-1.0,4960.0,-1.0,-1.0,300.0,-1.0,187.0,4100.0,-1.0,10.0,21.0,-1.0,14700.0,-1.0,3360.0,-1.0,254.0,18.0,5200.0,850.0,25.0,-1.0,1773.0,-1.0,12978.0,2600.0,-1.0,2.0,11500.0,-1.0,-1.0,24500.0,1100.0,5000.0,225000.0,-1.0,-1.0,-1.0,5600.0,-1.0,123.0,11675.0,2.0,146800.0,-1.0,-1.0,2638.0,3000.0,1100.0,-1.0,-1.0,-1.0,2577.0,320.0,13174.0,-1,8059.0,21540.0,-1.0,-1.0,-1.0,-1.0,-1,18500.0
1978,287.0,1141.0,350.0,-1.0,3853.0,-1.0,7790.0,13775.0,60.0,-1.0,8444.0,19400.0,-1.0,4700.0,30000.0,2205.0,11.0,11.0,11000.0,150.0,-1.0,-1.0,9.0,3600.0,159.0,-1.0,-1.0,-1.0,-1.0,570.0,-1.0,-1.0,-1.0,-1.0,-1.0,8047.0,33.0,5100.0,-1.0,1250.0,3000.0,-1.0,67428.0,9.0,2510.0,1050.0,900.0,-1.0,-1.0,5200.0,1534.0,-1.0,12000.0,87.0,10.0,2873.0,-1,-1.0,66000.0,-1.0,-1.0,4850.0,-1.0,-1.0,350.0,-1.0,163.0,5400.0,-1.0,12.0,14.0,-1.0,14900.0,-1.0,4916.0,-1.0,161.0,20.0,5200.0,880.0,30.0,-1.0,1730.0,-1.0,13551.0,2650.0,-1.0,1.0,7660.0,-1.0,-1.0,30000.0,1200.0,5000.0,232000.0,-1.0,-1.0,-1.0,5800.0,-1.0,125.0,12372.0,2.0,132100.0,-1.0,-1.0,2730.0,3300.0,1000.0,-1.0,-1.0,-1.0,2835.0,268.0,13216.0,-1,7564.0,23548.0,-1.0,-1.0,-1.0,-1.0,-1,19500.0
1979,186.0,1517.0,350.0,-1.0,5068.0,-1.0,6470.0,12965.0,70.0,-1.0,8378.0,20300.0,-1.0,4500.0,28000.0,2398.0,44.0,44.0,11000.0,150.0,-1.0,-1.0,7.0,3800.0,219.0,-1.0,-1.0,-1.0,-1.0,630.0,50.0,-1.0,-1.0,-1.0,-1.0,8030.0,35.0,4900.0,-1.0,1300.0,3000.0,-1.0,69703.0,7.0,2525.0,1070.0,900.0,-1.0,-1.0,6850.0,2163.0,-1.0,12000.0,81.0,10.0,3275.0,-1,-1.0,68000.0,-1.0,-1.0,5186.0,435.0,-1.0,370.0,-1.0,172.0,5600.0,-1.0,12.0,15.0,-1.0,14200.0,-1.0,3150.0,-1.0,167.0,20.0,5250.0,860.0,41.0,-1.0,1924.0,-1.0,13598.0,2700.0,-1.0,9.0,6345.0,-1.0,-1.0,30500.0,1300.0,5000.0,239000.0,-1.0,-1.0,-1.0,5900.0,-1.0,214.0,14724.0,2.0,127200.0,-1.0,-1.0,2877.0,3350.0,1000.0,-1.0,-1.0,-1.0,1836.0,350.0,13789.0,-1,7518.0,23966.0,-1.0,-1.0,-1.0,-1.0,-1,25000.0
1980,305.0,1455.0,350.0,-1.0,3940.0,-1.0,6910.0,15836.0,70.0,-1.0,9228.0,20730.0,-1.0,4400.0,28000.0,2407.0,29.0,29.0,11300.0,150.0,-1.0,-1.0,7.0,4000.0,391.0,-1.0,-1.0,-1.0,-1.0,840.0,55.0,-1.0,-1.0,-1.0,-1.0,8000.0,30.0,4400.0,-1.0,1380.0,3100.0,-1.0,69760.0,7.0,2600.0,1200.0,900.0,-1.0,-1.0,6700.0,1707.0,-1.0,12000.0,163.0,10.0,2840.0,-1,-1.0,68000.0,-1.0,8980.0,4713.0,419.0,-1.0,390.0,-1.0,176.0,7700.0,-1.0,10.0,21.0,-1.0,16200.0,7306.0,4475.0,-1.0,134.0,25.0,5400.0,1028.0,27.0,-1.0,2569.0,-1.0,13670.0,2750.0,-1.0,29.0,15320.0,-1.0,-1.0,34800.0,1300.0,5000.0,245000.0,-1.0,-1.0,-1.0,6000.0,-1.0,100.0,23416.0,2.0,136200.0,-1.0,-1.0,3224.0,3537.0,1250.0,-1.0,-1.0,-1.0,1925.0,400.0,13498.0,-1,8200.0,23481.0,-1.0,-1.0,-1.0,-1.0,-1,25000.0
