,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Syrian Arab Republic,Viet Nam,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Malawi,Eritrea,Rwanda,Australia & New Zealand,Yugoslav SFR,Mozambique,Slovenia,Senegal,Uganda,Ukraine,Guinea,Botswana,Saudi Arabia,Chad,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Mauritania,China,Uzbekistan,Libya,Kyrgyzstan,Guinea-Bissau,Kazakhstan,Hungary,Portugal,Togo,Poland,"China, mainland",Russian Federation,Mali,Ethiopia PDR,Yemen,Serbia and Montenegro,Cameroon,Serbia,Tajikistan,Zambia,South Sudan,Namibia,Benin,Pakistan,Japan,Afghanistan,Iraq,Spain,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Czechoslovakia,Nigeria,Czechia,Argentina,Democratic People's Republic of Korea,India,Austria,Niger,Morocco,Bhutan,Congo,Republic of Korea,Mexico,USSR,Romania,Jordan,Côte d'Ivoire,Gambia,Slovakia,France,South Africa,Sierra Leone,Australia,Sudan,Ghana,Sudan (former),Angola,Republic of Moldova,Turkey
1971,8818.0,12433.0,-1.0,-1.0,2651.0,3668.0,7695.0,-1.0,6136.0,11286.0,-1.0,17105.0,7556.0,-1.0,13175.0,4737.0,7143.0,-1.0,-1.0,6905.0,11595.0,14444.0,5263.0,-1.0,5550.0,9078.0,-1.0,14857.0,2059.0,10695.0,5791.0,-1.0,5984.0,-1.0,8333.0,1124.0,13571.0,-1.0,5648.0,-1.0,5000.0,-1.0,8871.0,17241.0,6970.0,12778.0,13571.0,-1.0,7943.0,5115.0,17500.0,-1.0,6746.0,-1.0,-1.0,6495.0,-1.0,2250.0,4725.0,4743.0,16667.0,8286.0,8793.0,15000.0,11921.0,13198.0,7686.0,6906.0,14400.0,5918.0,-1.0,12091.0,9333.0,4925.0,27173.0,4070.0,6789.0,7273.0,-1.0,8171.0,-1.0,7843.0,-1.0,-1.0,5000.0,10983.0,-1.0,15444.0,6818.0,11207.0,11595.0,-1.0,5659.0,5050.0,8387.0,-1.0,14878.0
1972,8994.0,12684.0,-1.0,-1.0,2460.0,3734.0,7844.0,-1.0,6419.0,11209.0,-1.0,17532.0,7667.0,-1.0,11231.0,4324.0,8000.0,-1.0,-1.0,7000.0,10855.0,12759.0,5263.0,-1.0,3200.0,11952.0,-1.0,14857.0,400.0,5169.0,4269.0,-1.0,6387.0,-1.0,7692.0,1077.0,10771.0,-1.0,10379.0,-1.0,5000.0,-1.0,19041.0,17241.0,9264.0,12000.0,10769.0,-1.0,6685.0,5163.0,15841.0,-1.0,7080.0,-1.0,-1.0,6416.0,-1.0,2250.0,3353.0,4971.0,13333.0,8333.0,9233.0,20000.0,8416.0,13198.0,7472.0,7143.0,14851.0,6480.0,-1.0,9067.0,9444.0,4022.0,32381.0,4187.0,5882.0,7455.0,-1.0,8821.0,-1.0,7159.0,-1.0,-1.0,4138.0,10723.0,-1.0,14125.0,6818.0,11186.0,10855.0,-1.0,5615.0,3191.0,8387.0,-1.0,13684.0
1973,9676.0,12329.0,-1.0,-1.0,2497.0,3509.0,5799.0,-1.0,5273.0,11334.0,-1.0,17532.0,9525.0,-1.0,16117.0,5263.0,10000.0,-1.0,-1.0,7063.0,9573.0,15417.0,5263.0,-1.0,4336.0,10110.0,-1.0,14286.0,1400.0,5668.0,4599.0,-1.0,6107.0,-1.0,7857.0,1124.0,11667.0,-1.0,10000.0,-1.0,5833.0,-1.0,19295.0,-1.0,7277.0,12500.0,11667.0,-1.0,6365.0,6000.0,15902.0,-1.0,6471.0,-1.0,-1.0,6482.0,-1.0,2240.0,4407.0,4795.0,16667.0,8108.0,8613.0,14000.0,11401.0,12500.0,7254.0,7289.0,15411.0,6714.0,-1.0,11439.0,9500.0,5540.0,29255.0,3122.0,6809.0,7500.0,-1.0,8390.0,-1.0,14281.0,-1.0,-1.0,5000.0,10983.0,-1.0,21000.0,6818.0,11356.0,9573.0,-1.0,5656.0,2500.0,8387.0,-1.0,12110.0
1974,8171.0,15504.0,-1.0,-1.0,2789.0,3933.0,5392.0,-1.0,6355.0,11368.0,-1.0,16457.0,9863.0,-1.0,18467.0,4571.0,10000.0,-1.0,-1.0,5088.0,8829.0,15500.0,5263.0,-1.0,6395.0,11588.0,-1.0,13714.0,4000.0,3228.0,5934.0,-1.0,5420.0,-1.0,6000.0,1827.0,12502.0,-1.0,10500.0,-1.0,5000.0,-1.0,20224.0,-1.0,7266.0,10000.0,12500.0,-1.0,7002.0,6000.0,15857.0,-1.0,8077.0,-1.0,-1.0,6470.0,-1.0,2240.0,3617.0,4865.0,13333.0,8158.0,7485.0,18333.0,4092.0,12195.0,6757.0,7463.0,11396.0,9327.0,-1.0,10980.0,9625.0,3854.0,27913.0,3958.0,6744.0,7544.0,-1.0,9255.0,-1.0,9007.0,-1.0,-1.0,5172.0,9737.0,-1.0,21000.0,6818.0,11333.0,8829.0,-1.0,6949.0,3713.0,8602.0,-1.0,13333.0
1975,9284.0,14019.0,-1.0,-1.0,2787.0,4235.0,6374.0,-1.0,8409.0,11362.0,-1.0,16385.0,8887.0,-1.0,14210.0,5000.0,10000.0,-1.0,-1.0,5663.0,9758.0,16993.0,4000.0,-1.0,5984.0,14085.0,-1.0,13714.0,4000.0,2916.0,5249.0,-1.0,5069.0,-1.0,6429.0,2394.0,12265.0,-1.0,10500.0,-1.0,5000.0,-1.0,17623.0,-1.0,7746.0,7594.0,12264.0,-1.0,7940.0,7621.0,16003.0,-1.0,8306.0,-1.0,-1.0,6091.0,-1.0,2308.0,3846.0,4935.0,13158.0,8000.0,8927.0,27000.0,5897.0,12102.0,6809.0,7246.0,16370.0,7673.0,-1.0,10288.0,10000.0,5540.0,-1.0,3434.0,7250.0,8302.0,-1.0,9924.0,-1.0,3731.0,-1.0,-1.0,6163.0,8600.0,-1.0,17222.0,6818.0,11500.0,9758.0,-1.0,6135.0,3678.0,8065.0,-1.0,16000.0
1976,9600.0,12036.0,-1.0,-1.0,3334.0,4288.0,7970.0,-1.0,11250.0,11334.0,-1.0,16000.0,8125.0,-1.0,20078.0,5135.0,10000.0,-1.0,-1.0,5747.0,9681.0,14286.0,4000.0,-1.0,5789.0,11559.0,-1.0,14286.0,3500.0,5043.0,4500.0,-1.0,5387.0,-1.0,6000.0,2967.0,12333.0,-1.0,11500.0,-1.0,5385.0,-1.0,15941.0,-1.0,8207.0,-1.0,12333.0,-1.0,5652.0,10011.0,12767.0,-1.0,7477.0,-1.0,-1.0,6367.0,-1.0,2308.0,4171.0,4796.0,13846.0,9524.0,8007.0,26667.0,8158.0,12143.0,6671.0,7449.0,15301.0,7361.0,-1.0,12736.0,10429.0,5383.0,-1.0,4033.0,7442.0,7541.0,-1.0,10786.0,-1.0,9807.0,-1.0,-1.0,5493.0,9250.0,-1.0,11429.0,6818.0,10000.0,9681.0,-1.0,5916.0,3984.0,8602.0,-1.0,14783.0
1977,9091.0,10328.0,-1.0,-1.0,3436.0,3941.0,9518.0,-1.0,7257.0,10692.0,-1.0,16000.0,7667.0,-1.0,13920.0,5263.0,10000.0,-1.0,-1.0,6016.0,7797.0,12200.0,4000.0,-1.0,4136.0,10959.0,-1.0,13714.0,3000.0,3952.0,4839.0,-1.0,5695.0,-1.0,6923.0,2051.0,13726.0,-1.0,11500.0,-1.0,6154.0,-1.0,12034.0,-1.0,7338.0,-1.0,13728.0,-1.0,5106.0,8662.0,15200.0,-1.0,7523.0,-1.0,-1.0,6465.0,-1.0,2370.0,4349.0,4966.0,12941.0,8140.0,6979.0,18000.0,9644.0,12222.0,6908.0,7421.0,13889.0,8349.0,-1.0,13333.0,10308.0,5288.0,-1.0,4143.0,7442.0,7869.0,-1.0,12012.0,-1.0,6070.0,-1.0,-1.0,5556.0,8308.0,-1.0,21462.0,6818.0,10000.0,7797.0,-1.0,6010.0,3899.0,6250.0,-1.0,14500.0
1978,9565.0,13001.0,-1.0,-1.0,3385.0,4923.0,9308.0,-1.0,8545.0,10788.0,-1.0,16049.0,7600.0,-1.0,20500.0,5128.0,10000.0,7000.0,-1.0,6104.0,6573.0,19369.0,3500.0,-1.0,7071.0,11000.0,-1.0,12857.0,2500.0,3868.0,4868.0,-1.0,6031.0,-1.0,6429.0,1620.0,15334.0,-1.0,11500.0,-1.0,5000.0,-1.0,16468.0,-1.0,3764.0,-1.0,15336.0,-1.0,9579.0,8917.0,15200.0,-1.0,8095.0,-1.0,-1.0,5130.0,-1.0,2370.0,2537.0,4819.0,12941.0,8571.0,7384.0,19625.0,2366.0,12176.0,6841.0,7371.0,13699.0,10497.0,-1.0,13525.0,10769.0,5764.0,-1.0,4117.0,7500.0,7937.0,-1.0,12055.0,-1.0,6943.0,-1.0,-1.0,5718.0,9950.0,-1.0,23692.0,6818.0,10000.0,6573.0,-1.0,5924.0,4247.0,6250.0,-1.0,14430.0
1979,9400.0,12877.0,-1.0,-1.0,3822.0,4919.0,8426.0,-1.0,10222.0,9717.0,-1.0,13580.0,7500.0,-1.0,22807.0,3500.0,10000.0,7000.0,-1.0,5615.0,11223.0,12086.0,2500.0,-1.0,5221.0,15367.0,-1.0,14286.0,1250.0,4461.0,4968.0,-1.0,6009.0,-1.0,6667.0,1399.0,14736.0,-1.0,12000.0,-1.0,6667.0,-1.0,11964.0,-1.0,4695.0,-1.0,14738.0,-1.0,7526.0,8338.0,14727.0,-1.0,8125.0,-1.0,-1.0,6383.0,-1.0,2429.0,4795.0,4940.0,12941.0,8608.0,7869.0,18943.0,7473.0,11974.0,6678.0,6991.0,14286.0,9224.0,-1.0,13025.0,10615.0,4707.0,-1.0,4295.0,7727.0,7857.0,-1.0,11818.0,-1.0,5128.0,-1.0,-1.0,5739.0,7909.0,-1.0,24615.0,6818.0,10000.0,11223.0,-1.0,5960.0,3171.0,5000.0,-1.0,12500.0
1980,10000.0,13253.0,-1.0,-1.0,4563.0,4871.0,11727.0,-1.0,7556.0,9979.0,-1.0,11250.0,7500.0,-1.0,16289.0,4737.0,10000.0,5833.0,-1.0,4893.0,7698.0,10000.0,2500.0,-1.0,4740.0,16452.0,-1.0,14286.0,2098.0,2898.0,4673.0,-1.0,6439.0,-1.0,6667.0,2308.0,14062.0,-1.0,12000.0,-1.0,7222.0,-1.0,24932.0,-1.0,2633.0,-1.0,14063.0,-1.0,6167.0,9942.0,13208.0,-1.0,7576.0,-1.0,-1.0,5714.0,-1.0,2429.0,4943.0,5272.0,12984.0,8608.0,6486.0,20765.0,-1.0,13714.0,7455.0,7011.0,14583.0,8336.0,-1.0,10318.0,10667.0,5142.0,-1.0,4438.0,7778.0,7375.0,-1.0,11058.0,-1.0,5970.0,-1.0,-1.0,6204.0,8693.0,-1.0,24519.0,6818.0,15556.0,7698.0,-1.0,5899.0,3069.0,7125.0,-1.0,14667.0
1981,10000.0,13429.0,-1.0,-1.0,5143.0,4801.0,10965.0,-1.0,6222.0,9968.0,-1.0,6560.0,7500.0,-1.0,24589.0,4942.0,18054.0,5000.0,-1.0,5823.0,10056.0,20000.0,2500.0,-1.0,7645.0,16000.0,-1.0,13714.0,1480.0,6381.0,6096.0,-1.0,6225.0,-1.0,7059.0,5000.0,14819.0,-1.0,14286.0,-1.0,7000.0,-1.0,11685.0,-1.0,4194.0,-1.0,14820.0,-1.0,7800.0,8777.0,9315.0,-1.0,6899.0,-1.0,-1.0,7500.0,-1.0,2500.0,5368.0,4870.0,13770.0,8649.0,9143.0,17787.0,-1.0,13605.0,5569.0,6060.0,14535.0,15703.0,-1.0,12700.0,10667.0,5575.0,-1.0,4325.0,9000.0,7917.0,-1.0,11682.0,-1.0,6415.0,-1.0,-1.0,4571.0,12696.0,-1.0,22857.0,6818.0,16000.0,10056.0,-1.0,7580.0,4145.0,6250.0,-1.0,13478.0
1982,10000.0,13150.0,-1.0,-1.0,6980.0,4853.0,9767.0,-1.0,19507.0,9377.0,-1.0,6387.0,7143.0,-1.0,14750.0,3678.0,22767.0,6667.0,-1.0,6781.0,11059.0,20000.0,2500.0,-1.0,5482.0,12152.0,-1.0,12857.0,1324.0,4874.0,6200.0,-1.0,6273.0,-1.0,7059.0,6667.0,16290.0,-1.0,14000.0,-1.0,6500.0,-1.0,17785.0,-1.0,10425.0,-1.0,16291.0,-1.0,7478.0,8706.0,8149.0,-1.0,6333.0,-1.0,-1.0,6345.0,-1.0,2552.0,5874.0,5019.0,15988.0,8571.0,8000.0,21164.0,-1.0,13528.0,8007.0,6992.0,15172.0,15701.0,-1.0,11684.0,11091.0,5093.0,-1.0,4191.0,10909.0,7927.0,-1.0,11708.0,-1.0,8316.0,-1.0,-1.0,4243.0,11385.0,-1.0,35714.0,6818.0,16000.0,11059.0,-1.0,6977.0,2272.0,6250.0,-1.0,13575.0
1983,10000.0,11792.0,-1.0,-1.0,11906.0,4215.0,9695.0,-1.0,14030.0,9277.0,-1.0,6387.0,6667.0,-1.0,15900.0,4000.0,47320.0,1491.0,-1.0,6659.0,8143.0,10000.0,2500.0,-1.0,4048.0,15982.0,-1.0,13158.0,690.0,7222.0,4629.0,-1.0,7399.0,-1.0,11000.0,5882.0,18445.0,-1.0,14000.0,-1.0,6502.0,-1.0,18479.0,-1.0,9263.0,-1.0,18447.0,-1.0,6947.0,10663.0,7219.0,-1.0,6100.0,-1.0,-1.0,6356.0,-1.0,2667.0,3943.0,4633.0,13107.0,8571.0,7179.0,29873.0,-1.0,13542.0,8170.0,7000.0,14991.0,15697.0,-1.0,11149.0,11273.0,6785.0,-1.0,4182.0,8000.0,7889.0,-1.0,10210.0,-1.0,8007.0,-1.0,-1.0,3714.0,10357.0,-1.0,35294.0,6818.0,13750.0,8143.0,-1.0,6514.0,2472.0,6250.0,-1.0,13725.0
1984,10000.0,13031.0,-1.0,-1.0,7982.0,5147.0,6398.0,-1.0,11114.0,9260.0,-1.0,3448.0,10000.0,-1.0,12350.0,4800.0,30000.0,5421.0,-1.0,4695.0,11577.0,16289.0,2500.0,-1.0,4219.0,10000.0,-1.0,15000.0,861.0,13714.0,4139.0,-1.0,6663.0,-1.0,11000.0,6000.0,18498.0,-1.0,14000.0,-1.0,8000.0,-1.0,16577.0,-1.0,12998.0,-1.0,18500.0,-1.0,5569.0,9259.0,7132.0,-1.0,6465.0,-1.0,-1.0,7096.0,-1.0,2800.0,7752.0,4684.0,17649.0,8750.0,8621.0,31814.0,-1.0,13853.0,7736.0,7007.0,11685.0,15701.0,-1.0,11961.0,12000.0,6024.0,-1.0,2548.0,8000.0,8149.0,-1.0,12030.0,-1.0,6667.0,-1.0,-1.0,4419.0,11702.0,-1.0,-1.0,6818.0,13529.0,11577.0,-1.0,6017.0,1167.0,6667.0,-1.0,13636.0
1985,10000.0,12382.0,-1.0,-1.0,10755.0,6022.0,6883.0,-1.0,11863.0,9132.0,-1.0,10800.0,10000.0,-1.0,13333.0,8960.0,17202.0,6076.0,-1.0,5455.0,8827.0,13517.0,2500.0,-1.0,6702.0,15997.0,-1.0,15814.0,1907.0,16785.0,5137.0,-1.0,7046.0,-1.0,15000.0,8000.0,18012.0,-1.0,14000.0,-1.0,9000.0,-1.0,24756.0,-1.0,11276.0,-1.0,18014.0,-1.0,10364.0,8170.0,3542.0,-1.0,9785.0,-1.0,-1.0,8690.0,-1.0,2867.0,5410.0,4608.0,17438.0,8710.0,6809.0,28773.0,-1.0,13861.0,7382.0,7000.0,12048.0,15277.0,-1.0,12600.0,13556.0,4565.0,-1.0,4577.0,8000.0,7692.0,-1.0,11708.0,4545.0,9615.0,-1.0,-1.0,5071.0,10938.0,-1.0,-1.0,6818.0,13529.0,8827.0,-1.0,6054.0,2405.0,6667.0,-1.0,18750.0
1986,10000.0,15643.0,-1.0,-1.0,11418.0,5801.0,5741.0,-1.0,8825.0,9125.0,-1.0,5726.0,10000.0,-1.0,13333.0,4780.0,15580.0,5467.0,-1.0,5172.0,10323.0,18564.0,2500.0,-1.0,5864.0,12496.0,-1.0,16957.0,1287.0,19231.0,4979.0,-1.0,6656.0,-1.0,10202.0,6000.0,15235.0,-1.0,13333.0,-1.0,9137.0,-1.0,15533.0,-1.0,7000.0,-1.0,15235.0,-1.0,9804.0,8319.0,5132.0,-1.0,12521.0,-1.0,-1.0,6296.0,-1.0,3000.0,6150.0,4573.0,17059.0,8621.0,7568.0,30238.0,-1.0,14207.0,7513.0,7222.0,12624.0,10495.0,-1.0,11395.0,16316.0,5036.0,-1.0,4270.0,8000.0,8750.0,-1.0,11895.0,5714.0,8882.0,-1.0,-1.0,5122.0,11445.0,-1.0,-1.0,6818.0,13529.0,10323.0,-1.0,7051.0,1846.0,6000.0,-1.0,18750.0
