,USSR,Eritrea,Fiji,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Kenya,Yemen,South Africa,Democratic People's Republic of Korea,Zambia,Botswana,Papua New Guinea,Somalia,Micronesia,Togo,Tunisia,Albania,Brazil,Mozambique,Niger,Serbia,Australia & New Zealand,El Salvador,Spain,Chad,Colombia,New Caledonia,Central African Republic,Tajikistan,India,Lesotho,Ecuador,Swaziland,Sri Lanka,Republic of Moldova,Argentina,Jordan,Ethiopia PDR,Saudi Arabia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Lebanon,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Peru,Gambia,Ghana,"China, mainland",Algeria,Kazakhstan,Rwanda,Cameroon,Guatemala,Cuba,Slovakia,Pacific Islands Trust Territory,United States of America,Romania,Iraq,Madagascar,United Republic of Tanzania,Burundi,South Sudan,France,Costa Rica,Bangladesh,Italy,Senegal,Uganda,Benin,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Malawi,"China, Taiwan Province of",Israel,Japan,Egypt,Guinea-Bissau,Namibia,Sudan,Nicaragua,Mauritania,Russian Federation,Bolivia (Plurinational State of),Paraguay,Venezuela (Bolivarian Republic of),Mexico,Guinea,Ukraine,Sierra Leone,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,China
1971,1350.0,,3.0,6218.0,0.0,10004.0,574.0,0.0,,4100.0,21000.0,6440.0,1000.0,1500.0,962.0,17.0,10000.0,0.0,0.0,300.0,800.0,14.0,3750.0,11336.0,,6218.0,1044.0,1108.0,7440.0,1260.0,2.0,1880.0,,264000.0,560.0,0.0,58.0,15.0,,68187.0,0.0,18534.0,1992.0,22.0,,104.0,25.0,3942.0,87.0,760.0,75820.0,10860.0,50.0,28.0,60.0,17.0,131.0,148.0,222.0,2003.0,175000.0,28.0,,2620.0,13040.0,400.0,80.0,,0.0,51000.0,72.0,275.0,105.0,5250.0,400.0,,1572.0,98.0,31.0,1000.0,3426.0,9540.0,1214.0,,0.0,18913.0,,15943.0,1316.0,630.0,1476.0,5086.0,,1800.0,100.0,186.0,0.0,6000.0,100.0,440.0,,567.0,3480.0,,0.0,48.0,126.0,16635.0,500.0,,147.0,992.0,,202.0,0.0,175100.0
1972,2700.0,,3.0,7119.0,0.0,11787.0,888.0,0.0,,4100.0,21750.0,4280.0,900.0,1400.0,975.0,12.0,6000.0,0.0,0.0,262.0,960.0,2204.0,3750.0,8960.0,,7119.0,952.0,1083.0,6675.0,2031.0,2.0,2000.0,,237000.0,604.0,0.0,71.0,15.0,,74517.0,14.0,16000.0,3548.0,17.0,,100.0,19.0,2880.0,92.0,775.0,103960.0,12090.0,50.0,27.0,75.0,7.0,170.0,167.0,222.0,2210.0,175000.0,44.0,,2622.0,13640.0,330.0,40.0,,0.0,51000.0,56.0,225.0,34.0,5306.0,420.0,,1370.0,104.0,30.0,1000.0,3990.0,8610.0,1753.0,,0.0,18664.0,,15560.0,1070.0,845.0,3947.0,3051.0,,1800.0,100.0,119.0,0.0,6000.0,140.0,460.0,,628.0,2262.0,,0.0,49.0,153.0,17769.0,500.0,,150.0,992.0,,45.0,0.0,175100.0
1973,3960.0,,5.0,5502.0,0.0,8906.0,2019.0,0.0,,4128.0,21750.0,6720.0,800.0,1200.0,1200.0,13.0,6000.0,0.0,0.0,266.0,960.0,1665.0,3750.0,10954.0,,5502.0,1019.0,915.0,6825.0,2268.0,2.0,2200.0,,309000.0,678.0,0.0,55.0,30.0,,76740.0,2.0,16240.0,6758.0,19.0,,72.0,16.0,2610.0,77.0,793.0,93020.0,13290.0,100.0,28.0,75.0,10.0,130.0,117.0,222.0,2161.0,168000.0,30.0,,2688.0,12000.0,380.0,40.0,,0.0,56000.0,40.0,142.0,52.0,4650.0,340.0,,1398.0,94.0,27.0,1000.0,4224.0,11010.0,1726.0,,0.0,21600.0,,20144.0,1410.0,682.0,3509.0,5771.0,,1800.0,100.0,116.0,0.0,5700.0,160.0,480.0,,833.0,2784.0,,0.0,57.0,710.0,17336.0,500.0,,156.0,992.0,,45.0,0.0,168100.0
1974,2310.0,,4.0,4916.0,0.0,9515.0,1962.0,0.0,,4120.0,26425.0,5080.0,800.0,2000.0,1500.0,26.0,8000.0,0.0,0.0,270.0,960.0,1300.0,3750.0,15818.0,,4916.0,1059.0,868.0,7620.0,2010.0,2.0,2120.0,,354000.0,547.0,0.0,69.0,75.0,,67568.0,3.0,15022.0,5806.0,32.0,,100.0,13.0,2520.0,76.0,800.0,54680.0,13530.0,200.0,26.0,71.0,22.0,100.0,196.0,306.0,2080.0,157500.0,28.0,,2656.0,14280.0,350.0,40.0,,0.0,58000.0,611.0,195.0,62.0,6750.0,430.0,,1712.0,140.0,27.0,1000.0,3525.0,9339.0,870.0,,0.0,20491.0,,21193.0,1164.0,890.0,1884.0,4300.0,,1800.0,100.0,111.0,0.0,6000.0,200.0,500.0,,897.0,1896.0,,0.0,62.0,1100.0,21677.0,500.0,,156.0,1506.0,,0.0,0.0,157600.0
1975,5880.0,,7.0,4819.0,0.0,8939.0,1428.0,0.0,,4180.0,26500.0,4260.0,800.0,1300.0,1500.0,18.0,9800.0,0.0,0.0,280.0,1040.0,1824.0,3750.0,12310.0,,4819.0,1000.0,938.0,8625.0,2604.0,2.0,2160.0,,323000.0,443.0,11.0,57.0,115.0,,63971.0,22.0,15552.0,7397.0,27.0,,38.0,14.0,2340.0,77.0,800.0,96900.0,17100.0,200.0,12.0,79.0,18.0,104.0,293.0,174.0,2490.0,151550.0,25.0,,2764.0,12280.0,380.0,40.0,,0.0,58400.0,2752.0,349.0,18.0,8250.0,440.0,,1640.0,245.0,25.0,1000.0,3276.0,9805.0,1439.0,,0.0,18990.0,,25000.0,974.0,971.0,1892.0,4843.0,,1800.0,100.0,35.0,0.0,5600.0,220.0,520.0,,840.0,1218.0,,3.0,68.0,1805.0,18767.0,500.0,,210.0,1518.0,,0.0,0.0,151650.0
1976,2700.0,,12.0,4937.0,0.0,10390.0,1700.0,0.0,,4160.0,19550.0,5660.0,700.0,1300.0,1800.0,37.0,9166.0,0.0,0.0,280.0,1040.0,2665.0,3750.0,14650.0,,4937.0,1057.0,1033.0,9090.0,2843.0,2.0,1880.0,,358000.0,375.0,9.0,20.0,70.0,,70905.0,7.0,14938.0,6693.0,51.0,,36.0,11.0,2733.0,71.0,805.0,69600.0,17130.0,253.0,12.0,79.0,23.0,100.0,337.0,159.0,1750.0,131600.0,31.0,,2907.0,12560.0,400.0,40.0,,0.0,50800.0,468.0,439.0,8.0,10500.0,450.0,,2001.0,325.0,25.0,1000.0,3450.0,8402.0,1471.0,,0.0,19152.0,,25000.0,814.0,1053.0,3323.0,1929.0,,1950.0,50.0,41.0,0.0,5600.0,280.0,540.0,,651.0,1044.0,,12.0,65.0,3903.0,21201.0,500.0,,210.0,1534.0,,0.0,0.0,131650.0
1977,2640.0,,7.0,3809.0,0.0,9384.0,1757.0,0.0,,4200.0,16100.0,5680.0,700.0,1300.0,1500.0,33.0,8402.0,0.0,1209.0,280.0,1000.0,1565.0,3750.0,15918.0,,3809.0,1094.0,1338.0,9150.0,3372.0,6.0,2040.0,,410000.0,496.0,1.0,20.0,45.0,,68250.0,0.0,15260.0,7410.0,46.0,,32.0,17.0,2985.0,64.0,805.0,68660.0,11070.0,316.0,10.0,66.0,34.0,101.0,338.0,186.0,1600.0,121030.0,13.0,,3241.0,14560.0,400.0,40.0,,0.0,50800.0,896.0,171.0,50.0,10500.0,460.0,,1872.0,310.0,21.0,1500.0,3861.0,8586.0,1419.0,,0.0,19772.0,,25000.0,636.0,1060.0,3123.0,2553.0,,450.0,50.0,20.0,0.0,4754.0,400.0,560.0,,767.0,1896.0,,15.0,64.0,4637.0,20989.0,500.0,,210.0,1582.0,,0.0,0.0,121080.0
1978,2400.0,,7.0,4409.0,0.0,8468.0,1891.0,0.0,,4200.0,17075.0,5000.0,650.0,800.0,1019.0,16.0,9216.0,0.0,1272.0,280.0,1000.0,1076.0,3961.0,14333.0,,4409.0,1147.0,1077.0,8025.0,3318.0,13.0,2240.0,,389000.0,433.0,2.0,46.0,40.0,,65550.0,19.0,14528.0,7809.0,36.0,,34.0,23.0,2821.0,50.0,873.0,53720.0,11520.0,347.0,8.0,118.0,17.0,143.0,317.0,186.0,2110.0,111020.0,9.0,,2948.0,14760.0,450.0,40.0,,0.0,45700.0,508.0,204.0,50.0,10500.0,1100.0,,1678.0,236.0,39.0,1600.0,3384.0,5610.0,1318.0,,0.0,19914.0,,27000.0,1250.0,1008.0,1526.0,1669.0,,450.0,50.0,6.0,0.0,5063.0,500.0,560.0,,744.0,1914.0,,29.0,69.0,6030.0,21840.0,500.0,,210.0,1624.0,,0.0,0.0,111070.0
1979,2940.0,,28.0,4881.0,180.0,7870.0,2474.0,0.0,,4200.0,16100.0,5280.0,650.0,600.0,2202.0,14.0,9136.0,0.0,1386.0,284.0,1000.0,1173.0,4500.0,15366.0,,4881.0,956.0,956.0,7380.0,3090.0,27.0,2200.0,,396000.0,517.0,1.0,46.0,15.0,,28260.0,0.0,20526.0,8568.0,70.0,,30.0,12.0,2934.0,46.0,895.0,65720.0,13380.0,237.0,5.0,59.0,45.0,100.0,242.0,168.0,2610.0,94255.0,5.0,,2892.0,15240.0,350.0,40.0,,0.0,50800.0,852.0,215.0,71.0,11100.0,1040.0,,1476.0,260.0,39.0,1600.0,3966.0,5010.0,1339.0,,0.0,17221.0,,30000.0,790.0,991.0,1746.0,2536.0,,450.0,50.0,47.0,0.0,4735.0,560.0,580.0,,727.0,1740.0,,62.0,70.0,5297.0,25061.0,500.0,,210.0,1152.0,,0.0,0.0,94305.0
1980,2760.0,,9.0,6502.0,190.0,7850.0,2798.0,0.0,,1680.0,13446.0,4380.0,600.0,430.0,2103.0,28.0,10340.0,0.0,1376.0,296.0,1000.0,1383.0,4500.0,19646.0,,6502.0,923.0,842.0,3240.0,3470.0,11.0,2440.0,,355000.0,510.0,3.0,31.0,10.0,,36000.0,2.0,19354.0,4249.0,49.0,,10.0,9.0,2790.0,51.0,920.0,41530.0,14160.0,216.0,4.0,90.0,39.0,100.0,278.0,183.0,1980.0,91350.0,3.0,,3672.0,14840.0,400.0,40.0,,0.0,50800.0,644.0,229.0,54.0,10500.0,1060.0,,1334.0,270.0,39.0,1500.0,4308.0,5100.0,1411.0,,0.0,19604.0,,35000.0,642.0,934.0,2582.0,4186.0,,450.0,80.0,59.0,0.0,4760.0,600.0,600.0,,833.0,2436.0,,61.0,77.0,5731.0,28006.0,500.0,,210.0,1072.0,,0.0,0.0,91430.0
1981,3960.0,,2.0,6025.0,180.0,7794.0,2454.0,0.0,,1732.0,14841.0,4300.0,600.0,429.0,1391.0,30.0,10800.0,0.0,1038.0,302.0,1000.0,1840.0,5250.0,22692.0,,6025.0,952.0,686.0,3465.0,4367.0,7.0,2560.0,,410000.0,467.0,14.0,43.0,10.0,,40680.0,5.0,16885.0,2348.0,40.0,,33.0,13.0,2790.0,40.0,948.0,45800.0,16470.0,205.0,3.0,104.0,38.0,100.0,238.0,243.0,2160.0,97405.0,12.0,,3545.0,17640.0,400.0,40.0,,0.0,76200.0,588.0,229.0,63.0,4843.0,1040.0,,1136.0,206.0,39.0,1000.0,3627.0,6000.0,1408.0,,0.0,18858.0,,40000.0,698.0,957.0,1978.0,4165.0,,450.0,80.0,44.0,0.0,4760.0,800.0,620.0,,590.0,2436.0,,36.0,79.0,5504.0,25268.0,500.0,,240.0,1104.0,,0.0,0.0,97485.0
1982,4530.0,,3.0,7001.0,180.0,7816.0,2651.0,0.0,,2400.0,14841.0,4940.0,600.0,331.0,1895.0,17.0,6710.0,0.0,982.0,260.0,1080.0,2044.0,5250.0,22144.0,,7001.0,885.0,505.0,5561.0,4079.0,4.0,1520.0,,366000.0,456.0,3.0,22.0,10.0,,39855.0,5.0,18113.0,1451.0,25.0,,22.0,9.0,2880.0,34.0,975.0,45600.0,17412.0,287.0,3.0,216.0,19.0,60.0,88.0,288.0,2200.0,94743.0,7.0,,3492.0,16000.0,300.0,40.0,,0.0,45700.0,656.0,155.0,64.0,7143.0,1060.0,,1080.0,258.0,39.0,2000.0,2250.0,6210.0,1590.0,,0.0,19501.0,,35000.0,786.0,817.0,1957.0,5753.0,,340.0,100.0,69.0,0.0,4415.0,700.0,620.0,,702.0,1800.0,,16.0,91.0,4919.0,29836.0,525.0,,360.0,1056.0,,0.0,0.0,94843.0
1983,4290.0,,4.0,6608.0,180.0,7896.0,2940.0,0.0,,3092.0,15124.0,6460.0,500.0,436.0,1716.0,9.0,10894.0,0.0,1841.0,540.0,1080.0,2563.0,5700.0,21969.0,,6608.0,930.0,517.0,4992.0,3564.0,5.0,1280.0,,405246.0,501.0,24.0,47.0,10.0,,38250.0,0.0,18272.0,925.0,19.0,,13.0,23.0,2880.0,32.0,1003.0,88200.0,11615.0,413.0,20.0,239.0,32.0,78.0,276.0,267.0,2520.0,85766.0,16.0,,3696.0,14291.0,300.0,40.0,,0.0,58400.0,648.0,123.0,50.0,6897.0,980.0,,1160.0,294.0,51.0,1000.0,3000.0,6180.0,1664.0,,0.0,17375.0,,35000.0,652.0,954.0,1684.0,3318.0,,320.0,100.0,18.0,0.0,4800.0,660.0,640.0,,761.0,1740.0,,104.0,62.0,5965.0,28492.0,550.0,,450.0,1184.0,,0.0,0.0,85866.0
1984,5610.0,,1.0,6696.0,170.0,7448.0,3097.0,0.0,,3200.0,15100.0,7080.0,500.0,496.0,1872.0,6.0,8940.0,0.0,1609.0,540.0,1080.0,2551.0,5700.0,22845.0,,6696.0,915.0,515.0,6755.0,2885.0,11.0,1600.0,,374384.0,653.0,129.0,29.0,10.0,,30600.0,0.0,15361.0,912.0,18.0,,20.0,11.0,2520.0,16.0,1025.0,97240.0,12746.0,421.0,20.0,258.0,29.0,128.0,146.0,411.0,2020.0,68110.0,9.0,,3685.0,17474.0,500.0,40.0,,0.0,50800.0,364.0,109.0,46.0,6688.0,1180.0,,880.0,208.0,51.0,1000.0,5700.0,5712.0,1661.0,,0.0,19381.0,,29000.0,744.0,692.0,2551.0,4601.0,,491.0,100.0,16.0,0.0,4500.0,500.0,640.0,,1124.0,3000.0,,171.0,58.0,6240.0,30902.0,575.0,,540.0,1152.0,,0.0,0.0,68210.0
1985,3360.0,,1.0,7088.0,348.0,7984.0,1939.0,0.0,,2641.0,15037.0,7760.0,550.0,1191.0,2421.0,6.0,7700.0,0.0,1394.0,340.0,1112.0,2865.0,6000.0,21884.0,,7088.0,960.0,476.0,7053.0,3402.0,7.0,2000.0,,371385.0,457.0,39.0,40.0,10.0,,21000.0,0.0,17161.0,921.0,14.0,,6.0,21.0,3040.0,18.0,1665.0,102940.0,12531.0,581.0,24.0,245.0,17.0,134.0,208.0,282.0,1760.0,65660.0,3.0,,2994.0,20446.0,700.0,40.0,,0.0,43200.0,360.0,102.0,47.0,12000.0,1220.0,,920.0,208.0,52.0,1319.0,4109.0,6228.0,1660.0,,0.0,23940.0,,47000.0,468.0,694.0,1402.0,3440.0,,481.0,100.0,14.0,0.0,5500.0,500.0,640.0,,1232.0,3200.0,,151.0,46.0,9519.0,28720.0,575.0,,540.0,1152.0,,0.0,0.0,65760.0
1986,5760.0,,1.0,7263.0,227.0,6396.0,1768.0,0.0,,2769.0,14725.0,8020.0,600.0,950.0,3150.0,6.0,10324.0,0.0,1500.0,340.0,1100.0,3581.0,4500.0,26846.0,,7263.0,1001.0,375.0,6103.0,3891.0,2.0,1880.0,,319000.0,629.0,41.0,20.0,10.0,,16905.0,0.0,17028.0,1648.0,9.0,,9.0,11.0,3059.0,21.0,1705.0,102620.0,14737.0,607.0,27.0,266.0,14.0,66.0,149.0,297.0,2716.0,65240.0,5.0,,3112.0,13380.0,699.0,40.0,,0.0,40600.0,480.0,76.0,47.0,11370.0,1260.0,,714.0,95.0,45.0,1380.0,3834.0,6090.0,1767.0,,0.0,21169.0,,45000.0,468.0,434.0,1072.0,3618.0,,459.0,100.0,4.0,0.0,6000.0,300.0,660.0,,1149.0,2320.0,,116.0,91.0,9755.0,30878.0,500.0,,540.0,1184.0,,0.0,0.0,65340.0
