,Netherlands,Austria,Zambia,Ecuador,Gambia,Russia,Paraguay,Mexico,Canada,Kenya,Greece,South Korea,Kuwait,United Kingdom,Sri Lanka,Nepal,Romania,Cameroon,Finland,Germany,Thailand,Denmark,Barbados,Yemen,Haiti,Sudan,Libya,Portugal,Cuba,Reunion,Malta,Trinidad and Tobago,Venezuela,Bulgaria,Niger,Guatemala,Iceland,Dominican Republic,Ghana,Uruguay,Benin,Italy,Lesotho,Honduras,Egypt,Argentina,Luxembourg,Czech Republic,Algeria,Syria,Peru,Cambodia,Democratic Republic of Congo,Colombia,Sweden,Turkey,New Zealand,Iraq,Hungary,Belize,Indonesia,South Africa,Swaziland,Jordan,Japan,Afghanistan,Jamaica,Serbia,Cyprus,Hong Kong,Guyana,El Salvador,Brazil,Malawi,Spain,Malaysia,Senegal,Belgium,Taiwan,Fiji,Morocco,Philippines,Togo,Chile,Mali,Tunisia,Cote d'Ivoire,Liberia,Costa Rica,Nicaragua,Mozambique,Albania,Pakistan,Bolivia,Uganda,Bangladesh,Iran,Myanmar,China,Norway,Ireland,France,Sierra Leone,Poland,Mauritius,Australia,Switzerland,Panama,United States,Zimbabwe,India
1880,0.04302711676812396,0.03458771444382955,0.0001383508577753182,0.004150525733259546,0.0011068068622025456,0.0029053680132816824,0.0015218594355285002,0.007470946319867184,0.04136690647482014,0.0001383508577753182,0.014111787493082457,0.0001383508577753182,0.0001383508577753182,0.015910348644161593,0.0027670171555063644,0.0001383508577753182,0.0017985611510791368,0.0001383508577753182,0.002628666297731046,0.03693967902600996,0.0001383508577753182,0.03541781959048146,0.016740453790813504,0.0001383508577753182,0.0001383508577753182,0.0001383508577753182,0.0001383508577753182,0.005810736026563365,0.0027670171555063644,0.004565578306585501,0.006087437742114001,0.009546209186496955,0.0002767017155506364,0.013696734919756502,0.0001383508577753182,0.004427227448810182,0.013973436635307139,0.001936912008854455,0.0002767017155506364,0.007055893746541229,0.0001383508577753182,0.014941892639734368,0.0009684560044272275,0.0051189817376867735,0.0004150525733259546,0.008162700608743774,0.0008301051466519092,0.04648588821250692,0.002213613724405091,0.0002767017155506364,0.0006917542888765911,0.0001383508577753182,0.0001383508577753182,0.005810736026563365,0.05326508024349751,0.0002767017155506364,0.05008301051466519,0.0001383508577753182,0.03126729385722191,0.008439402324294411,0.0001383508577753182,0.013281682346430547,0.0001383508577753182,0.0002767017155506364,0.010376314333148865,0.0001383508577753182,0.012728278915329275,0.001936912008854455,0.005810736026563365,0.0005534034311012728,0.008716104039845046,0.004703929164360819,0.0030437188710570003,0.0001383508577753182,0.030298837852794688,0.0004150525733259546,0.0001383508577753182,0.03527946873270614,,0.0001383508577753182,0.0001383508577753182,0.0006917542888765911,0.0001383508577753182,0.008024349750968456,0.0001383508577753182,0.0001383508577753182,0.0001383508577753182,0.0009684560044272275,0.0066408411732152735,0.003458771444382955,0.0001383508577753182,0.0004150525733259546,0.0001383508577753182,0.0013835085777531822,0.0001383508577753182,0.0002767017155506364,0.0001383508577753182,0.0013835085777531822,0.0001383508577753182,0.06488655229662424,0.013696734919756502,0.016740453790813504,0.0004150525733259546,0.022136137244050915,0.004150525733259546,0.02850027670171555,0.061842833425567234,0.0017985611510791368,0.06793027116768124,0.0001383508577753182,0.0005534034311012728
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,0.04010025062656642,0.0343358395989975,0.00012531328320802005,0.004636591478696742,0.0012531328320802006,0.0030075187969924814,0.001754385964912281,0.007894736842105263,0.03884711779448622,0.0002506265664160401,0.014285714285714285,0.00012531328320802005,0.00012531328320802005,0.017543859649122806,0.0030075187969924814,0.00012531328320802005,0.0018796992481203006,0.0002506265664160401,0.0028822055137844613,0.0362155388471178,0.00012531328320802005,0.032957393483709276,0.016040100250626566,0.00012531328320802005,0.00012531328320802005,0.00012531328320802005,0.00012531328320802005,0.006390977443609023,0.0031328320802005015,0.005137844611528822,0.006516290726817043,0.010776942355889725,0.00037593984962406017,0.013157894736842106,0.00012531328320802005,0.004761904761904762,0.013909774436090228,0.002380952380952381,0.0002506265664160401,0.007769423558897244,0.00012531328320802005,0.015288220551378446,0.0012531328320802006,0.0057644110275689225,0.0005012531328320802,0.008145363408521305,0.0010025062656641604,0.043483709273182965,0.0025062656641604013,0.0002506265664160401,0.0008771929824561405,0.00012531328320802005,0.00012531328320802005,0.006015037593984963,0.04987468671679198,0.0002506265664160401,0.04837092731829574,0.00012531328320802005,0.03195488721804511,0.009523809523809525,0.00012531328320802005,0.014411027568922305,0.00012531328320802005,0.0002506265664160401,0.011654135338345866,0.00012531328320802005,0.014160401002506266,0.0025062656641604013,0.006390977443609023,0.0008771929824561405,0.010902255639097745,0.005263157894736842,0.0032581453634085216,0.00012531328320802005,0.031829573934837097,0.0005012531328320802,0.00012531328320802005,0.03320802005012531,,0.00012531328320802005,0.00012531328320802005,0.0008771929824561405,0.0002506265664160401,0.008020050125313283,0.00012531328320802005,0.00012531328320802005,0.00012531328320802005,0.0011278195488721805,0.007393483709273183,0.003884711779448622,0.00012531328320802005,0.0005012531328320802,0.00012531328320802005,0.0015037593984962407,0.00012531328320802005,0.00037593984962406017,0.00012531328320802005,0.0020050125313283208,0.00012531328320802005,0.06152882205513785,0.014035087719298248,0.019548872180451128,0.0005012531328320802,0.02155388471177945,0.004761904761904762,0.029949874686716796,0.058646616541353384,0.002130325814536341,0.06491228070175438,0.00012531328320802005,0.0007518796992481203
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,0.037276963291283105,0.034549380611433124,0.00011364927832708265,0.005114217524718719,0.0014774406182520745,0.0030685305148312318,0.0020456870098874876,0.008069098761222868,0.036140470508012286,0.0002272985566541653,0.014319809069212413,0.00011364927832708265,0.00011364927832708265,0.02057051937720196,0.0034094783498124794,0.00011364927832708265,0.001932037731560405,0.0002272985566541653,0.0034094783498124794,0.03523127628139562,0.0002272985566541653,0.030798954426639397,0.015569951130810325,0.00011364927832708265,0.00011364927832708265,0.00011364927832708265,0.00011364927832708265,0.006818956699624959,0.0037504261847937275,0.005682463916354133,0.007046255256279124,0.011933174224343679,0.0004545971133083306,0.012728719172633258,0.00011364927832708265,0.005227866803045802,0.013865211955904082,0.0025002841231958183,0.0003409478349812479,0.008523695874531199,0.00011364927832708265,0.01545630185248324,0.0017047391749062397,0.006250710307989546,0.0005682463916354132,0.007955449482895786,0.0011364927832708265,0.04080009091942267,0.002613933401522901,0.0002272985566541653,0.0011364927832708265,0.00011364927832708265,0.00011364927832708265,0.005796113194681215,0.046482554835776804,0.0003409478349812479,0.04682350267075805,0.00011364927832708265,0.03216274576656439,0.010683032162745769,0.0002272985566541653,0.014774406182520745,0.00011364927832708265,0.0002272985566541653,0.014319809069212413,0.00011364927832708265,0.016138197522445736,0.0032958290714853967,0.006932605977952041,0.0013637913399249916,0.012615069894306176,0.005796113194681215,0.0034094783498124794,0.00011364927832708265,0.03227639504489147,0.0005682463916354132,0.00011364927832708265,0.029889760200022736,0.00011364927832708265,0.0002272985566541653,0.00011364927832708265,0.0010228435049437438,0.0002272985566541653,0.007841800204568702,0.00011364927832708265,0.00011364927832708265,0.00011364927832708265,0.0012501420615979092,0.00818274803954995,0.0043186725764291405,0.00011364927832708265,0.0005682463916354132,0.00011364927832708265,0.0017047391749062397,0.00011364927832708265,0.0003409478349812479,0.00011364927832708265,0.002613933401522901,0.00011364927832708265,0.05818843050346632,0.014774406182520745,0.020456870098874876,0.0005682463916354132,0.020911467212183208,0.00556881463802705,0.03113990226162065,0.05580179565859758,0.0023866348448687356,0.06307534947153087,0.00011364927832708265,0.0011364927832708265
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,0.03481045346555108,0.03470715835140998,0.00010329511414110115,0.005784526391901665,0.0016527218262576183,0.003408738766656338,0.0025823778535275285,0.00805701890300589,0.034603863237268884,0.0002065902282822023,0.014151430637330858,0.00010329511414110115,0.00010329511414110115,0.02231174465447785,0.004028509451502945,0.00010329511414110115,0.0021691973969631237,0.0003098853424233034,0.004028509451502945,0.03419068278070448,0.0003098853424233034,0.028716041731226116,0.01456461109389526,0.00010329511414110115,0.00010329511414110115,0.00010329511414110115,0.00010329511414110115,0.00733395310401818,0.00454498502220845,0.006301001962607169,0.007540543332300383,0.013325069724202047,0.0005164755707055057,0.01353165995248425,0.00010329511414110115,0.006094411734324967,0.013841545294907553,0.0026856729676686297,0.0004131804565644046,0.008780084701993596,0.00010329511414110115,0.015597562235306272,0.002272492511104225,0.006817477533312676,0.0007230657989877081,0.008573494473711394,0.0012395413696932136,0.038219192232207426,0.002788968081809731,0.0003098853424233034,0.001549426712116517,0.00010329511414110115,0.00010329511414110115,0.0053713459353372595,0.04348724305340358,0.0004131804565644046,0.04493337465137899,0.00010329511414110115,0.03274455118272906,0.01177564301208553,0.0003098853424233034,0.013428364838343148,0.00010329511414110115,0.0003098853424233034,0.016010742691870677,0.00010329511414110115,0.017663464518128294,0.004131804565644046,0.00805701890300589,0.002065902282822023,0.013428364838343148,0.006197706848466068,0.003408738766656338,0.00010329511414110115,0.03191819026960025,0.0006197706848466068,0.00010329511414110115,0.0273732052473918,0.00010329511414110115,0.0003098853424233034,0.00010329511414110115,0.0012395413696932136,0.0003098853424233034,0.007747133560582585,0.00010329511414110115,0.00010329511414110115,0.0002065902282822023,0.0013428364838343149,0.0089866749302758,0.004751575250490653,0.00010329511414110115,0.0006197706848466068,0.00010329511414110115,0.0019626071686809216,0.00010329511414110115,0.0004131804565644046,0.00010329511414110115,0.0029955583100919328,0.00010329511414110115,0.05588265675033572,0.01549426712116517,0.021588678855490137,0.0006197706848466068,0.020349137485796923,0.006197706848466068,0.03067864889990704,0.05299039355438488,0.0026856729676686297,0.06125400268567297,0.00010329511414110115,0.0013428364838343149
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,0.03051146384479718,0.0326278659611993,8.818342151675486e-05,0.007936507936507938,0.0017636684303350973,0.003703703703703704,0.006790123456790124,0.007495590828924163,0.03518518518518519,0.00026455026455026457,0.014462081128747795,0.002645502645502646,8.818342151675486e-05,0.022486772486772486,0.004232804232804233,8.818342151675486e-05,0.002380952380952381,0.00044091710758377433,0.010229276895943563,0.03068783068783069,0.0003527336860670194,0.025044091710758377,0.013403880070546739,8.818342151675486e-05,0.001234567901234568,0.0001763668430335097,8.818342151675486e-05,0.007054673721340389,0.007231040564373898,0.00837742504409171,0.010141093474426807,0.014638447971781305,0.003880070546737214,0.013580246913580249,8.818342151675486e-05,0.007407407407407408,0.012962962962962964,0.0025573192239858908,0.00044091710758377433,0.008289241622574956,0.0001763668430335097,0.01525573192239859,0.002645502645502646,0.006701940035273369,0.0007936507936507937,0.00855379188712522,0.001322751322751323,0.033686067019400356,0.0034391534391534397,0.0003527336860670194,0.001940035273368607,8.818342151675486e-05,0.0001763668430335097,0.007495590828924163,0.0380952380952381,0.0014991181657848327,0.03968253968253969,0.0001763668430335097,0.0308641975308642,0.011992945326278662,0.0003527336860670194,0.010758377425044091,8.818342151675486e-05,0.0003527336860670194,0.01631393298059965,8.818342151675486e-05,0.017372134038800707,0.006613756613756614,0.00855379188712522,0.0028218694885361554,0.013756613756613759,0.007231040564373898,0.004938271604938272,8.818342151675486e-05,0.02883597883597884,0.0007936507936507937,0.0001763668430335097,0.02345679012345679,0.0001763668430335097,0.00044091710758377433,8.818342151675486e-05,0.0016754850088183423,0.0003527336860670194,0.013932980599647269,8.818342151675486e-05,0.0001763668430335097,0.0001763668430335097,0.0014991181657848327,0.013756613756613759,0.007583774250440918,8.818342151675486e-05,0.0007054673721340388,0.0001763668430335097,0.0021164021164021165,8.818342151675486e-05,0.0005291005291005291,0.0001763668430335097,0.0031746031746031746,0.0001763668430335097,0.050352733686067026,0.014991181657848325,0.020723104056437392,0.0007054673721340388,0.018606701940035275,0.00943562610229277,0.027248677248677248,0.046825396825396826,0.007495590828924163,0.0562610229276896,8.818342151675486e-05,0.0014109347442680777
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,0.027884467660162848,0.030957136272852973,7.681671531725303e-05,0.007988938392994315,0.0018436011676140726,0.004762636349669688,0.007297587955139038,0.008296205254263328,0.033338454447687814,0.0010754340144415425,0.013827008757105545,0.004609002919035181,7.681671531725303e-05,0.023889998463665692,0.004455369488400676,7.681671531725303e-05,0.002842218466738362,0.00046090029190351816,0.01190659087417422,0.027807650944845597,0.0015363343063450607,0.022353664157320634,0.015132892917498846,7.681671531725303e-05,0.0015363343063450607,0.00015363343063450605,7.681671531725303e-05,0.006683054232601014,0.0101398064218774,0.009909356275925641,0.010754340144415423,0.015363343063450606,0.004378552773083423,0.012905208173298509,7.681671531725303e-05,0.006990321093870026,0.015286526348133354,0.005377170072207712,0.0007681671531725304,0.007912121677677063,0.00015363343063450605,0.014518359194960822,0.0029190351820556153,0.007220771239821785,0.0009218005838070363,0.011138423721001689,0.0013827008757105546,0.0317253034260255,0.003917652481179905,0.0008449838684897833,0.0036103856199108924,7.681671531725303e-05,0.00023045014595175908,0.007681671531725303,0.03395298817022584,0.0018436011676140726,0.03595022276847441,0.00015363343063450605,0.030880319557535715,0.0152097096328161,0.0006913504378552773,0.009525272699339376,7.681671531725303e-05,0.0008449838684897833,0.016361960362574896,7.681671531725303e-05,0.017437394377016437,0.008142571823628821,0.008526655400215088,0.0030726686126901215,0.013750192041788293,0.007067137809187279,0.005377170072207712,0.00015363343063450605,0.02611768320786603,0.0016899677369795667,0.00015363343063450605,0.02127823014287909,0.00023045014595175908,0.0006145337225380242,7.681671531725303e-05,0.0017667844522968198,0.0003840835765862652,0.014211092333691812,7.681671531725303e-05,0.00015363343063450605,0.00015363343063450605,0.001997234598248579,0.014518359194960822,0.007758488247042556,0.00015363343063450605,0.0007681671531725304,0.0009986172991242894,0.002227684744200338,0.0006145337225380242,0.0015363343063450607,0.00023045014595175908,0.0034567521892763862,0.00015363343063450605,0.046627746197572595,0.014902442771547087,0.02035642955907205,0.0007681671531725304,0.01874327853740974,0.009832539560608387,0.025810416346597018,0.043555077584882466,0.008142571823628821,0.051620832693194035,0.00015363343063450605,0.0018436011676140726
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
