,"China, Taiwan Province of",Jamaica,Puerto Rico,Indonesia,Bhutan,Trinidad and Tobago,Fiji,Dominica,Madagascar,Pakistan,Melanesia,United Republic of Tanzania,Malaysia,Thailand,Mexico,Japan,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Zambia,Nigeria,Mauritius,Uganda,Dominican Republic,Réunion,Peru,China,Ghana,United States of America,"China, mainland",Sri Lanka,Nepal,Republic of Korea,Saint Lucia,Philippines,Côte d'Ivoire,Cameroon,India
1978,8089.0,-1.0,,,,-1.0,80.0,-1.0,-1.0,-1.0,80.0,-1.0,700.0,6510.0,-1.0,-1.0,,-1.0,,-1.0,5306.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,8089.0,-1.0,,-1.0,4000.0,-1.0,2532.0,-1.0,5020.0,-1.0,-1.0,34330.0
1979,7765.0,-1.0,,,,-1.0,84.0,-1.0,-1.0,-1.0,84.0,-1.0,700.0,6031.0,-1.0,-1.0,,-1.0,,-1.0,5625.0,,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,7765.0,-1.0,,-1.0,3500.0,-1.0,3769.0,-1.0,5190.0,-1.0,-1.0,40350.0
1980,4615.0,-1.0,,,300.0,-1.0,78.0,-1.0,-1.0,-1.0,78.0,-1.0,800.0,6000.0,-1.0,-1.0,,-1.0,,-1.0,5706.0,,400.0,-1.0,-1.0,-1.0,-1.0,-1.0,4615.0,-1.0,,-1.0,3000.0,-1.0,1912.0,-1.0,5830.0,-1.0,-1.0,40450.0
1981,4395.0,-1.0,,5800.0,350.0,-1.0,134.0,-1.0,-1.0,-1.0,134.0,-1.0,650.0,6050.0,-1.0,-1.0,,-1.0,,-1.0,5486.0,,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4395.0,-1.0,,-1.0,2510.0,-1.0,1049.0,-1.0,5860.0,-1.0,-1.0,40710.0
1982,3735.0,-1.0,,5900.0,380.0,-1.0,127.0,-1.0,-1.0,-1.0,127.0,-1.0,550.0,6050.0,-1.0,-1.0,,-1.0,,-1.0,6532.0,,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3735.0,-1.0,,-1.0,2510.0,-1.0,1652.0,-1.0,5780.0,-1.0,-1.0,43830.0
1983,3472.0,-1.0,,5900.0,400.0,-1.0,125.0,-1.0,-1.0,-1.0,125.0,-1.0,500.0,6100.0,-1.0,-1.0,,-1.0,,-1.0,6418.0,,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3472.0,-1.0,,-1.0,2610.0,-1.0,2296.0,-1.0,5800.0,-1.0,-1.0,48960.0
1984,3136.0,-1.0,,6000.0,464.0,-1.0,123.0,-1.0,-1.0,-1.0,123.0,-1.0,1100.0,6100.0,-1.0,-1.0,,-1.0,,-1.0,6311.0,,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3136.0,-1.0,,-1.0,3140.0,-1.0,2937.0,-1.0,5500.0,-1.0,-1.0,55510.0
1985,2403.0,255.0,,6000.0,450.0,-1.0,133.0,75.0,-1.0,-1.0,133.0,-1.0,950.0,6150.0,-1.0,-1.0,,-1.0,,-1.0,6236.0,,16000.0,90.0,-1.0,350.0,10.0,-1.0,5153.0,-1.0,85.0,2750.0,2870.0,1100.0,2478.0,45.0,4260.0,-1.0,-1.0,53520.0
1986,2805.0,359.0,,6100.0,430.0,-1.0,156.0,75.0,-1.0,-1.0,156.0,-1.0,950.0,6200.0,-1.0,-1.0,,-1.0,,190.0,6330.0,,30000.0,90.0,-1.0,350.0,10.0,-1.0,5555.0,-1.0,85.0,2750.0,3017.0,1600.0,3445.0,45.0,4260.0,-1.0,-1.0,52650.0
1987,3021.0,294.0,,6500.0,400.0,-1.0,134.0,75.0,-1.0,-1.0,134.0,-1.0,900.0,6250.0,-1.0,-1.0,,-1.0,,190.0,6172.0,,42000.0,90.0,-1.0,350.0,10.0,-1.0,5771.0,-1.0,85.0,2750.0,2820.0,1600.0,4402.0,40.0,3960.0,-1.0,-1.0,54240.0
1988,2799.0,251.0,,7300.0,360.0,-1.0,135.0,75.0,-1.0,-1.0,135.0,-1.0,910.0,8000.0,-1.0,-1.0,,-1.0,,270.0,6271.0,,56000.0,100.0,-1.0,350.0,10.0,-1.0,5549.0,-1.0,85.0,2750.0,2770.0,2200.0,4742.0,25.0,3530.0,-1.0,-1.0,52000.0
1989,2004.0,251.0,,7200.0,350.0,-1.0,141.0,75.0,-1.0,-1.0,141.0,-1.0,970.0,8000.0,-1.0,-1.0,,40.0,,345.0,6475.0,,70000.0,110.0,-1.0,350.0,10.0,-1.0,4754.0,-1.0,73.0,2750.0,2490.0,2700.0,3679.0,25.0,3590.0,-1.0,-1.0,54000.0
1990,1733.0,274.0,-1.0,9612.0,337.0,-1.0,169.0,82.0,-1.0,-1.0,169.0,-1.0,1000.0,9000.0,-1.0,1200.0,,41.0,-1.0,599.0,6967.0,,84000.0,140.0,70.0,350.0,10.0,-1.0,5333.0,-1.0,80.0,3600.0,2040.0,3200.0,3741.0,27.0,3519.0,-1.0,100.0,54000.0
1991,2238.0,305.0,-1.0,9215.0,586.0,-1.0,201.0,45.0,-1.0,-1.0,201.0,-1.0,1100.0,9600.0,-1.0,1200.0,,54.0,-1.0,599.0,7017.0,,100000.0,115.0,55.0,350.0,10.0,-1.0,6938.0,-1.0,101.0,4700.0,1610.0,4200.0,4130.0,25.0,3515.0,-1.0,200.0,60000.0
1992,2013.0,255.0,-1.0,9546.0,597.0,-1.0,149.0,35.0,8.0,-1.0,149.0,-1.0,1300.0,11000.0,10.0,1243.0,,50.0,-1.0,599.0,7056.0,,110000.0,100.0,50.0,350.0,10.0,-1.0,7713.0,-1.0,117.0,5700.0,1320.0,4800.0,5264.0,20.0,3519.0,-1.0,300.0,59900.0
1993,1711.0,205.0,-1.0,9143.0,616.0,-1.0,96.0,35.0,11.0,-1.0,96.0,-1.0,1500.0,10000.0,15.0,1300.0,119.0,65.0,-1.0,285.0,7064.0,-1.0,120000.0,51.0,90.0,350.0,10.0,-1.0,9711.0,-1.0,150.0,8000.0,760.0,5300.0,4493.0,21.0,3461.0,-1.0,400.0,60580.0
1994,1681.0,206.0,-1.0,9924.0,635.0,-1.0,78.0,38.0,9.0,112.0,78.0,-1.0,1597.0,9000.0,12.0,1314.0,181.0,60.0,-1.0,600.0,6900.0,-1.0,129000.0,65.0,30.0,350.0,10.0,-1.0,11781.0,-1.0,60.0,10100.0,1461.0,5490.0,5858.0,25.0,3518.0,-1.0,500.0,87500.0
1995,1302.0,161.0,-1.0,10000.0,659.0,-1.0,58.0,41.0,8.0,72.0,58.0,-1.0,1700.0,8312.0,12.0,1334.0,375.0,55.0,-1.0,1033.0,6900.0,-1.0,148000.0,75.0,23.0,350.0,10.0,-1.0,12502.0,-1.0,50.0,11200.0,1600.0,5800.0,6429.0,26.0,3543.0,-1.0,600.0,90000.0
1996,1535.0,182.0,-1.0,9897.0,680.0,-1.0,65.0,42.0,8.0,76.0,65.0,-1.0,1560.0,8512.0,11.0,1356.0,348.0,58.0,-1.0,923.0,7700.0,-1.0,159000.0,90.0,50.0,350.0,15.0,-1.0,13535.0,50.0,80.0,12000.0,1620.0,6400.0,3008.0,27.0,3571.0,-1.0,780.0,70300.0
1997,1598.0,204.0,-1.0,9885.0,701.0,-1.0,73.0,43.0,8.0,77.0,73.0,4.0,1400.0,8189.0,11.0,1379.0,482.0,65.0,,1195.0,7700.0,-1.0,163000.0,35.0,48.0,350.0,15.0,-1.0,15598.0,60.0,110.0,14000.0,1490.0,7051.0,3625.0,16.0,3348.0,400.0,960.0,76000.0
1998,1462.0,170.0,-1.0,8000.0,726.0,-1.0,95.0,43.0,8.0,79.0,95.0,25.0,1300.0,8492.0,5.0,1400.0,620.0,58.0,,1640.0,7700.0,-1.0,166000.0,45.0,40.0,320.0,20.0,-1.0,16962.0,59.0,150.0,15500.0,1550.0,8821.0,5187.0,12.0,2929.0,441.0,1150.0,78000.0
1999,1211.0,108.0,-1.0,17000.0,772.0,26.0,71.0,43.0,8.0,82.0,71.0,35.0,1000.0,8500.0,267.0,1427.0,750.0,55.0,,110.0,6879.0,-1.0,153000.0,15.0,50.0,320.0,19.0,-1.0,17711.0,61.0,140.0,16500.0,1567.0,8821.0,4255.0,6.0,3279.0,456.0,1370.0,77600.0
2000,1173.0,102.0,-1.0,18600.0,656.0,13.0,98.0,44.0,8.0,77.0,98.0,25.0,799.0,8111.0,100.0,1449.0,900.0,55.0,,361.0,6879.0,-1.0,158000.0,40.0,51.0,240.0,18.0,-1.0,19173.0,65.0,109.0,18000.0,1490.0,8314.0,1656.0,4.0,3583.0,472.0,1371.0,70000.0
2001,1088.0,110.0,-1.0,21000.0,550.0,116.0,40.0,44.0,8.0,79.0,40.0,18.0,992.0,9927.0,21.0,1464.0,1050.0,51.0,,497.0,7290.0,,160000.0,52.0,51.0,240.0,6.0,-1.0,21088.0,63.0,146.0,20000.0,1210.0,8956.0,1926.0,4.0,3681.0,488.0,1377.0,70081.0
2002,1002.0,129.0,-1.0,18000.0,650.0,78.0,100.0,44.0,9.0,94.0,100.0,25.0,943.0,13533.0,86.0,1460.0,1200.0,53.0,,354.0,7689.0,,162000.0,31.0,51.0,220.0,6.0,-1.0,23002.0,64.0,130.0,22000.0,1290.0,9189.0,2705.0,4.0,3643.0,504.0,1391.0,80469.0
2003,1147.0,133.0,,16000.0,850.0,80.0,89.0,50.0,10.0,119.0,89.0,22.0,900.0,10042.0,267.0,1450.0,1500.0,53.0,,187.0,7573.0,,167000.0,29.0,52.0,220.0,6.0,-1.0,24006.0,65.0,65.0,22859.0,1250.0,11830.0,1710.0,4.0,3611.0,520.0,1405.0,88200.0
2004,1358.0,145.0,,15000.0,1423.0,83.0,108.0,46.0,12.0,97.0,108.0,15.0,926.0,6673.0,256.0,1900.0,2000.0,51.0,,110.0,7917.0,,170000.0,38.0,50.0,190.0,8.0,-1.0,23486.0,64.0,61.0,22128.0,1296.0,11930.0,1662.0,4.0,3795.0,538.0,1419.0,85100.0
2005,1373.0,152.0,,16000.0,985.0,103.0,104.0,46.0,16.0,109.0,104.0,18.0,890.0,7855.0,256.0,1840.0,2100.0,49.0,,264.0,7715.0,,181000.0,54.0,50.0,190.0,10.0,-1.0,24373.0,66.0,49.0,23000.0,1350.0,12000.0,2264.0,5.0,3873.0,574.0,1938.0,95300.0
2006,1119.0,107.0,,38800.0,1790.0,119.0,92.0,47.0,8.0,80.0,92.0,20.0,871.0,8208.0,175.0,1810.0,2400.0,48.0,,198.0,8093.0,,191000.0,52.0,49.0,160.0,10.0,-1.0,28119.0,70.0,40.0,27000.0,1360.0,12994.0,1795.0,4.0,3941.0,597.0,1941.0,110600.0
2007,1128.0,105.0,,51000.0,2063.0,167.0,89.0,48.0,8.0,121.0,89.0,22.0,880.0,9048.0,175.0,1870.0,2700.0,55.0,,107.0,8338.0,,48660.0,81.0,50.0,120.0,10.0,40.0,27128.0,70.0,32.0,26000.0,1530.0,13025.0,2133.0,5.0,3974.0,621.0,1709.0,106100.0
2008,1198.0,106.0,,36000.0,1800.0,192.0,70.0,49.0,21.0,195.0,70.0,22.0,1089.0,9855.0,90.0,1920.0,3000.0,55.0,,66.0,9416.0,,55690.0,53.0,48.0,114.0,9.0,80.0,28198.0,70.0,24.0,27000.0,1910.0,14007.0,1301.0,5.0,3926.0,620.0,1798.0,104360.0
2009,1136.0,149.0,,27000.0,1033.0,204.0,87.0,49.0,11.0,269.0,87.0,28.0,1198.0,10081.0,90.0,1980.0,3300.0,60.0,,110.0,9017.0,,52330.0,35.0,45.0,170.0,6.0,100.0,35136.0,70.0,24.0,34000.0,1890.0,15838.0,1278.0,7.0,3948.0,614.0,4409.0,108640.0
2010,1198.0,148.0,,13067.0,877.0,249.0,66.0,50.0,11.0,247.0,66.0,18.0,1061.0,10248.0,90.0,1980.0,3320.0,62.0,,127.0,9066.0,,52330.0,62.0,48.0,85.0,5.0,310.0,36198.0,70.0,25.0,35000.0,2070.0,18041.0,2085.0,8.0,3967.0,562.0,4629.0,107540.0
2011,1256.0,162.0,,7219.0,1446.0,292.0,73.0,51.0,14.0,22.0,73.0,14.0,864.0,9757.0,97.0,1950.0,3331.0,65.0,,124.0,9116.0,,48910.0,43.0,50.0,173.0,4.0,310.0,39256.0,70.0,24.0,38000.0,2400.0,19081.0,2074.0,10.0,4037.0,485.0,6413.0,149100.0
2012,1166.0,219.0,,6606.0,803.0,301.0,174.0,50.0,15.0,249.0,174.0,12.0,903.0,9583.0,127.0,1927.0,3500.0,24.0,,153.0,8704.0,,94000.0,71.0,50.0,102.0,4.0,310.0,46166.0,77.0,22.0,45000.0,2660.0,20256.0,1657.0,12.0,4004.0,486.0,5677.0,155000.0
2013,1181.0,248.0,,7445.0,948.0,396.0,147.0,56.0,15.0,280.0,147.0,13.0,893.0,9730.0,106.0,1939.0,3500.0,25.0,,153.0,8941.0,,124100.0,59.0,47.0,38.0,3.0,480.0,38181.0,80.0,22.0,37000.0,2275.0,19376.0,1787.0,13.0,3963.0,507.0,6120.0,136000.0
2014,1204.0,389.0,,10279.0,1040.0,315.0,118.0,47.0,15.0,282.0,118.0,15.0,1048.0,9693.0,90.0,1996.0,3244.0,29.0,,160.0,9498.0,,145180.0,34.0,47.0,69.0,3.0,582.0,39875.0,82.0,22.0,38670.0,2147.0,24226.0,2178.0,12.0,3850.0,543.0,6616.0,133000.0
