,Paraguay,"China, Taiwan Province of",Belarus,Croatia,Serbia,India,Serbia and Montenegro,Tunisia,Brazil,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Bangladesh,Republic of Korea,Belgium,South Africa,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Mongolia,Algeria,Slovenia,Czechoslovakia,Republic of Moldova,Tajikistan,Kyrgyzstan,Ukraine,Argentina,Luxembourg,Germany,Austria,Uruguay,Morocco,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,"China, mainland",Spain,Uzbekistan,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Yugoslav SFR,Slovakia,Czechia,Chile,Hungary,Kazakhstan,Estonia,Australia,France,Lithuania,Finland,Netherlands,Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1971,-1.0,11205.0,-1.0,-1.0,-1.0,5944.0,-1.0,-1.0,-1.0,19312.0,-1.0,18274.0,10034.0,-1.0,-1.0,5280.0,6431.0,12837.0,-1.0,-1.0,16642.0,13333.0,9032.0,6451.0,-1.0,-1.0,-1.0,-1.0,-1.0,19558.0,-1.0,-1.0,-1.0,-1.0,6974.0,-1.0,21423.0,19818.0,-1.0,-1.0,4020.0,16459.0,21582.0,24346.0,10000.0,11017.0,30000.0,7639.0,20000.0,-1.0,-1.0,7643.0,-1.0,-1.0,-1.0,20249.0,-1.0,-1.0,16642.0,16094.0,-1.0,-1.0,6426.0,20293.0,-1.0,14688.0,31378.0,-1.0,12400.0,12539.0,20401.0,29136.0
1972,-1.0,16519.0,-1.0,-1.0,-1.0,3965.0,-1.0,-1.0,-1.0,20349.0,-1.0,16521.0,9821.0,-1.0,-1.0,5350.0,6038.0,11753.0,-1.0,-1.0,15000.0,13333.0,5102.0,3285.0,-1.0,-1.0,-1.0,-1.0,-1.0,20260.0,-1.0,-1.0,-1.0,-1.0,7026.0,-1.0,22253.0,20033.0,-1.0,-1.0,4020.0,15597.0,21425.0,24360.0,10000.0,9091.0,30000.0,7109.0,22222.0,-1.0,-1.0,7116.0,-1.0,-1.0,-1.0,14544.0,-1.0,-1.0,13890.0,10434.0,-1.0,-1.0,3246.0,22089.0,-1.0,14912.0,30131.0,-1.0,9333.0,10271.0,19756.0,31863.0
1973,-1.0,13166.0,-1.0,-1.0,-1.0,5447.0,-1.0,-1.0,-1.0,22153.0,-1.0,20108.0,9465.0,-1.0,-1.0,5374.0,5633.0,13431.0,-1.0,-1.0,16261.0,11667.0,9000.0,6386.0,-1.0,-1.0,-1.0,-1.0,-1.0,20570.0,-1.0,-1.0,-1.0,-1.0,7154.0,-1.0,20350.0,21232.0,-1.0,-1.0,4038.0,16233.0,19805.0,21844.0,10000.0,9384.0,22558.0,6461.0,20000.0,-1.0,-1.0,6465.0,-1.0,-1.0,-1.0,17165.0,-1.0,-1.0,13001.0,13636.0,-1.0,-1.0,6292.0,20232.0,-1.0,15437.0,26700.0,-1.0,12000.0,17085.0,21377.0,27739.0
1974,-1.0,12770.0,-1.0,-1.0,-1.0,4931.0,-1.0,-1.0,-1.0,22638.0,-1.0,23283.0,9098.0,-1.0,-1.0,5462.0,5614.0,13113.0,-1.0,-1.0,17235.0,9692.0,714.0,7256.0,-1.0,-1.0,-1.0,-1.0,-1.0,20811.0,-1.0,-1.0,-1.0,-1.0,6667.0,-1.0,25739.0,21220.0,-1.0,-1.0,4038.0,20279.0,22336.0,28962.0,10000.0,8938.0,16835.0,6705.0,19868.0,-1.0,-1.0,6709.0,-1.0,-1.0,-1.0,21857.0,-1.0,-1.0,13892.0,13639.0,-1.0,-1.0,7202.0,19765.0,-1.0,12969.0,32688.0,-1.0,12857.0,18427.0,21674.0,31201.0
1975,-1.0,13374.0,-1.0,-1.0,-1.0,6118.0,-1.0,-1.0,-1.0,15641.0,-1.0,18204.0,10055.0,-1.0,-1.0,5492.0,5925.0,12941.0,-1.0,-1.0,16485.0,15000.0,1739.0,7646.0,-1.0,-1.0,-1.0,-1.0,-1.0,20589.0,-1.0,-1.0,-1.0,-1.0,7143.0,-1.0,25357.0,20008.0,-1.0,-1.0,4038.0,23500.0,19191.0,19121.0,10000.0,7165.0,13411.0,6642.0,18095.0,-1.0,-1.0,6652.0,10000.0,-1.0,-1.0,18514.0,-1.0,-1.0,13496.0,14045.0,-1.0,-1.0,7508.0,18009.0,-1.0,15266.0,25946.0,-1.0,12178.0,14013.0,21075.0,30937.0
1976,-1.0,10680.0,-1.0,-1.0,-1.0,5797.0,-1.0,-1.0,-1.0,23125.0,-1.0,18305.0,11631.0,-1.0,-1.0,5686.0,5782.0,14046.0,-1.0,-1.0,16604.0,14286.0,15000.0,11165.0,-1.0,-1.0,-1.0,-1.0,-1.0,21156.0,-1.0,-1.0,-1.0,-1.0,6667.0,-1.0,24141.0,22579.0,-1.0,-1.0,4000.0,24646.0,19192.0,21680.0,10000.0,11950.0,16515.0,5751.0,20000.0,-1.0,-1.0,5760.0,10000.0,-1.0,-1.0,21650.0,-1.0,-1.0,17602.0,12832.0,-1.0,-1.0,11023.0,19263.0,-1.0,16159.0,27747.0,-1.0,14390.0,14256.0,22325.0,19787.0
1977,-1.0,10821.0,-1.0,-1.0,-1.0,4957.0,-1.0,-1.0,-1.0,25614.0,-1.0,20034.0,13582.0,-1.0,-1.0,5713.0,5882.0,12671.0,-1.0,-1.0,16529.0,18750.0,6667.0,8461.0,-1.0,-1.0,-1.0,-1.0,-1.0,22154.0,-1.0,-1.0,-1.0,-1.0,7143.0,-1.0,25688.0,23034.0,-1.0,-1.0,4000.0,17718.0,21691.0,18778.0,10000.0,7857.0,14250.0,5282.0,17500.0,-1.0,-1.0,5290.0,9091.0,-1.0,-1.0,20201.0,-1.0,-1.0,15402.0,15003.0,-1.0,-1.0,8245.0,14519.0,-1.0,15240.0,27356.0,-1.0,14759.0,18457.0,18164.0,48099.0
1978,-1.0,10404.0,-1.0,-1.0,-1.0,4603.0,-1.0,-1.0,-1.0,24156.0,-1.0,19425.0,12381.0,-1.0,-1.0,5726.0,6516.0,11636.0,-1.0,-1.0,17695.0,20000.0,10000.0,10675.0,-1.0,-1.0,-1.0,-1.0,-1.0,21071.0,-1.0,-1.0,-1.0,-1.0,7143.0,-1.0,26459.0,22860.0,-1.0,-1.0,4000.0,20528.0,21193.0,23769.0,10000.0,8571.0,14051.0,7193.0,15000.0,-1.0,-1.0,7197.0,9091.0,-1.0,-1.0,21023.0,-1.0,-1.0,15140.0,15461.0,-1.0,-1.0,10528.0,23301.0,-1.0,15205.0,24298.0,-1.0,13889.0,17842.0,18080.0,47259.0
1979,-1.0,10260.0,-1.0,-1.0,-1.0,5249.0,-1.0,-1.0,-1.0,26703.0,-1.0,23204.0,10011.0,-1.0,-1.0,5732.0,6180.0,19551.0,-1.0,-1.0,17462.0,18750.0,-1.0,9969.0,-1.0,-1.0,-1.0,20833.0,-1.0,15357.0,-1.0,-1.0,-1.0,-1.0,9889.0,-1.0,21796.0,16925.0,-1.0,-1.0,3947.0,13010.0,18921.0,26026.0,10000.0,5455.0,13494.0,8709.0,15000.0,-1.0,-1.0,8711.0,8000.0,-1.0,-1.0,22404.0,-1.0,-1.0,11991.0,12359.0,-1.0,-1.0,9885.0,21030.0,-1.0,14154.0,26232.0,-1.0,15636.0,16135.0,20960.0,47519.0
1980,-1.0,10319.0,-1.0,-1.0,-1.0,4115.0,-1.0,-1.0,10000.0,32689.0,-1.0,19278.0,11939.0,-1.0,-1.0,6036.0,6818.0,18029.0,-1.0,-1.0,17107.0,18571.0,-1.0,7482.0,-1.0,-1.0,-1.0,20000.0,-1.0,23618.0,-1.0,-1.0,-1.0,-1.0,7736.0,-1.0,26132.0,21215.0,-1.0,-1.0,3845.0,17892.0,18530.0,26397.0,10000.0,7500.0,13217.0,8391.0,5667.0,-1.0,-1.0,8393.0,12500.0,-1.0,-1.0,21391.0,-1.0,-1.0,14589.0,19287.0,-1.0,-1.0,7318.0,28002.0,-1.0,15841.0,35948.0,-1.0,11500.0,16464.0,21141.0,52055.0
1981,-1.0,10589.0,-1.0,-1.0,-1.0,5603.0,-1.0,-1.0,8267.0,26000.0,-1.0,20667.0,13189.0,-1.0,-1.0,6055.0,5753.0,20936.0,-1.0,-1.0,16190.0,16667.0,-1.0,9418.0,-1.0,-1.0,-1.0,20025.0,-1.0,21077.0,-1.0,-1.0,-1.0,-1.0,7619.0,-1.0,23188.0,22379.0,-1.0,12000.0,5050.0,17864.0,19664.0,26552.0,10000.0,4890.0,10840.0,10706.0,7313.0,-1.0,-1.0,10706.0,15385.0,-1.0,-1.0,20852.0,-1.0,-1.0,11260.0,13480.0,-1.0,-1.0,9279.0,21809.0,-1.0,12450.0,34021.0,-1.0,10000.0,16156.0,20909.0,49507.0
1982,-1.0,10060.0,-1.0,-1.0,-1.0,5413.0,-1.0,-1.0,8824.0,33333.0,-1.0,22124.0,12700.0,-1.0,-1.0,6109.0,6346.0,19135.0,-1.0,-1.0,17990.0,20800.0,-1.0,5765.0,-1.0,-1.0,-1.0,20149.0,-1.0,18740.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,27194.0,22066.0,-1.0,12000.0,3775.0,16774.0,23005.0,28311.0,10000.0,4700.0,9137.0,13735.0,7313.0,-1.0,-1.0,13734.0,22500.0,-1.0,-1.0,18053.0,-1.0,-1.0,12810.0,14763.0,-1.0,-1.0,5460.0,25053.0,-1.0,15118.0,31007.0,-1.0,11765.0,17411.0,21739.0,40083.0
1983,-1.0,9408.0,-1.0,-1.0,-1.0,5768.0,-1.0,-1.0,8333.0,25450.0,-1.0,19059.0,11275.0,-1.0,-1.0,6381.0,6685.0,11919.0,-1.0,-1.0,16263.0,23364.0,-1.0,9837.0,-1.0,-1.0,-1.0,20657.0,-1.0,26807.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,24255.0,25067.0,-1.0,12000.0,4458.0,22484.0,21890.0,23106.0,15000.0,4792.0,9319.0,11695.0,6188.0,-1.0,-1.0,11694.0,20000.0,-1.0,-1.0,22279.0,-1.0,-1.0,10777.0,17661.0,-1.0,-1.0,9674.0,20613.0,-1.0,16617.0,28752.0,-1.0,15810.0,16304.0,18403.0,28562.0
1984,-1.0,10583.0,-1.0,-1.0,-1.0,6733.0,-1.0,-1.0,7500.0,34312.0,-1.0,24770.0,11109.0,-1.0,-1.0,6926.0,6967.0,14933.0,-1.0,-1.0,15789.0,21834.0,-1.0,10866.0,-1.0,-1.0,-1.0,20628.0,-1.0,26575.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,24984.0,25855.0,-1.0,10000.0,3778.0,23019.0,22626.0,31267.0,10000.0,5046.0,11345.0,12321.0,11681.0,-1.0,-1.0,12320.0,37500.0,-1.0,-1.0,21979.0,-1.0,-1.0,9669.0,16192.0,-1.0,-1.0,10782.0,31360.0,-1.0,13823.0,28697.0,-1.0,15517.0,18526.0,23776.0,25022.0
1985,-1.0,10124.0,-1.0,-1.0,-1.0,7708.0,-1.0,-1.0,7500.0,30101.0,-1.0,25090.0,12568.0,-1.0,-1.0,6769.0,7411.0,15083.0,-1.0,-1.0,17389.0,23810.0,-1.0,11791.0,-1.0,-1.0,-1.0,20030.0,-1.0,24554.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,28879.0,27339.0,-1.0,10000.0,3558.0,22965.0,22124.0,26896.0,15000.0,6016.0,5902.0,12477.0,12229.0,-1.0,-1.0,12476.0,35000.0,-1.0,-1.0,20013.0,-1.0,-1.0,16656.0,15200.0,-1.0,-1.0,11736.0,29943.0,-1.0,15477.0,30265.0,-1.0,33333.0,16406.0,21259.0,29298.0
1986,-1.0,9815.0,-1.0,-1.0,-1.0,6737.0,-1.0,-1.0,7500.0,31806.0,-1.0,27346.0,14342.0,-1.0,-1.0,7128.0,7050.0,16957.0,-1.0,-1.0,16767.0,25000.0,-1.0,12355.0,-1.0,-1.0,-1.0,20194.0,-1.0,25308.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,30845.0,23817.0,-1.0,10000.0,3681.0,25214.0,21996.0,25410.0,16071.0,7639.0,5660.0,11963.0,12489.0,-1.0,-1.0,11963.0,30000.0,-1.0,-1.0,23319.0,-1.0,-1.0,17042.0,20958.0,-1.0,-1.0,11771.0,26695.0,-1.0,16564.0,34558.0,-1.0,11980.0,15297.0,19356.0,30266.0
1987,-1.0,15646.0,-1.0,-1.0,-1.0,7005.0,-1.0,-1.0,8333.0,34871.0,-1.0,22240.0,14401.0,-1.0,-1.0,7041.0,6670.0,16959.0,-1.0,-1.0,17130.0,20650.0,-1.0,11866.0,8007.0,-1.0,-1.0,20407.0,-1.0,26371.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,28279.0,24965.0,-1.0,10000.0,5856.0,23790.0,14782.0,29381.0,25714.0,7273.0,6417.0,12539.0,16989.0,-1.0,-1.0,12540.0,26667.0,15000.0,-1.0,24825.0,-1.0,-1.0,20268.0,20070.0,-1.0,-1.0,11310.0,35977.0,-1.0,11074.0,31907.0,-1.0,13600.0,17201.0,24426.0,38189.0
1988,-1.0,12273.0,-1.0,-1.0,-1.0,7479.0,-1.0,-1.0,8333.0,29971.0,-1.0,25327.0,11488.0,-1.0,-1.0,7594.0,6984.0,18481.0,-1.0,-1.0,16893.0,20438.0,-1.0,14033.0,14750.0,-1.0,-1.0,20297.0,-1.0,29340.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,30851.0,26150.0,-1.0,13636.0,5743.0,25492.0,19162.0,29649.0,5000.0,6919.0,10504.0,10219.0,19394.0,-1.0,-1.0,10220.0,30000.0,12243.0,-1.0,23682.0,-1.0,-1.0,20334.0,21038.0,-1.0,-1.0,13573.0,28193.0,-1.0,14065.0,32985.0,-1.0,12844.0,14400.0,21614.0,37131.0
1989,-1.0,10417.0,-1.0,-1.0,-1.0,9058.0,-1.0,-1.0,8333.0,29533.0,-1.0,28478.0,11001.0,-1.0,-1.0,7464.0,6197.0,18391.0,-1.0,-1.0,17404.0,19974.0,-1.0,15811.0,15758.0,-1.0,-1.0,20088.0,-1.0,29163.0,-1.0,-1.0,-1.0,-1.0,14902.0,-1.0,32420.0,24604.0,-1.0,9444.0,5695.0,27821.0,18945.0,32270.0,4000.0,8279.0,9091.0,10888.0,15163.0,-1.0,-1.0,10888.0,33333.0,11944.0,-1.0,20304.0,-1.0,-1.0,18474.0,18879.0,-1.0,-1.0,15713.0,28470.0,-1.0,16978.0,37097.0,-1.0,9375.0,16240.0,25843.0,31602.0
1990,-1.0,10000.0,-1.0,-1.0,-1.0,8305.0,-1.0,-1.0,8333.0,32265.0,-1.0,29262.0,12914.0,-1.0,-1.0,7590.0,6425.0,17999.0,-1.0,-1.0,17946.0,22000.0,-1.0,13615.0,17419.0,-1.0,-1.0,20000.0,-1.0,27785.0,-1.0,-1.0,-1.0,-1.0,11333.0,-1.0,28907.0,24857.0,-1.0,10213.0,5593.0,24103.0,25133.0,25708.0,5000.0,11220.0,8385.0,12643.0,12331.0,-1.0,-1.0,12643.0,37037.0,-1.0,-1.0,21356.0,-1.0,-1.0,16651.0,17606.0,-1.0,-1.0,13500.0,29070.0,-1.0,17917.0,32500.0,-1.0,10412.0,18037.0,26071.0,29702.0
1991,-1.0,10625.0,-1.0,-1.0,-1.0,9044.0,-1.0,-1.0,8182.0,29734.0,-1.0,25836.0,13451.0,-1.0,-1.0,7522.0,6709.0,17803.0,-1.0,-1.0,17705.0,22000.0,-1.0,11384.0,14286.0,-1.0,-1.0,20000.0,-1.0,27000.0,-1.0,-1.0,-1.0,-1.0,10828.0,-1.0,31303.0,28344.0,-1.0,6538.0,5333.0,22292.0,19139.0,30037.0,9384.0,10615.0,10000.0,12124.0,14462.0,-1.0,-1.0,12124.0,37097.0,-1.0,-1.0,24066.0,-1.0,-1.0,19566.0,16800.0,-1.0,-1.0,11313.0,31908.0,-1.0,15557.0,29667.0,-1.0,20077.0,13481.0,24595.0,31273.0
1992,-1.0,11064.0,11931.0,18735.0,-1.0,8946.0,12962.0,-1.0,8333.0,28806.0,-1.0,23882.0,12716.0,13605.0,-1.0,7668.0,7153.0,19002.0,-1.0,-1.0,19347.0,22000.0,-1.0,16659.0,13564.0,-1.0,-1.0,20000.0,25384.0,25595.0,-1.0,775.0,8036.0,19155.0,13641.0,-1.0,26132.0,25449.0,-1.0,10000.0,4350.0,18176.0,20657.0,26937.0,9199.0,-1.0,7778.0,12807.0,15109.0,7333.0,23000.0,12807.0,30508.0,-1.0,11077.0,-1.0,-1.0,-1.0,19547.0,12800.0,8141.0,7673.0,16609.0,26992.0,14615.0,18290.0,32596.0,10662.0,20000.0,13034.0,23176.0,23760.0
1993,-1.0,10388.0,9000.0,22033.0,-1.0,7751.0,15256.0,-1.0,10667.0,25933.0,6923.0,25427.0,13353.0,23478.0,-1.0,7270.0,7224.0,18598.0,-1.0,-1.0,17131.0,15000.0,12000.0,17253.0,15085.0,-1.0,-1.0,21875.0,23736.0,-1.0,-1.0,750.0,7294.0,11892.0,15443.0,-1.0,28279.0,22237.0,-1.0,11000.0,-1.0,17060.0,24811.0,29957.0,10773.0,-1.0,9000.0,13092.0,12620.0,8000.0,12000.0,13092.0,26471.0,-1.0,14471.0,-1.0,15574.0,22589.0,21896.0,10027.0,3747.0,7143.0,17278.0,28400.0,15500.0,18357.0,32500.0,8616.0,18000.0,17332.0,23596.0,30643.0
1994,-1.0,16029.0,5500.0,20405.0,-1.0,8471.0,18169.0,-1.0,10000.0,25316.0,6786.0,21858.0,12545.0,13143.0,-1.0,7352.0,7104.0,18806.0,-1.0,-1.0,20000.0,19565.0,12000.0,7486.0,14873.0,-1.0,-1.0,20000.0,22840.0,-1.0,-1.0,825.0,12820.0,8571.0,15170.0,-1.0,27383.0,30401.0,-1.0,9800.0,-1.0,20409.0,16654.0,23874.0,11388.0,-1.0,9415.0,12955.0,8075.0,8333.0,19420.0,12955.0,26563.0,-1.0,8364.0,-1.0,21093.0,23781.0,22383.0,18717.0,5685.0,8190.0,7408.0,26408.0,11000.0,16080.0,40000.0,8305.0,16667.0,13290.0,20835.0,29192.0
1995,-1.0,11667.0,5354.0,22284.0,-1.0,9502.0,17902.0,8180.0,11429.0,28109.0,9133.0,20545.0,12206.0,6870.0,-1.0,7631.0,7279.0,19601.0,-1.0,-1.0,21234.0,19200.0,11571.0,14822.0,14324.0,-1.0,-1.0,19843.0,24730.0,-1.0,-1.0,533.0,3557.0,8486.0,13534.0,-1.0,31865.0,30129.0,-1.0,10000.0,-1.0,22702.0,18740.0,30053.0,10360.0,-1.0,11782.0,14155.0,5833.0,8679.0,19398.0,14155.0,31707.0,-1.0,8273.0,-1.0,22031.0,26207.0,25811.0,19652.0,2205.0,11650.0,14793.0,32280.0,13597.0,14994.0,33467.0,4465.0,12857.0,16250.0,20815.0,28889.0
1996,-1.0,8000.0,6483.0,15241.0,-1.0,9165.0,13327.0,5000.0,11250.0,34096.0,17693.0,23679.0,14668.0,19938.0,-1.0,7963.0,7319.0,19764.0,-1.0,-1.0,18550.0,19430.0,11719.0,15300.0,15410.0,-1.0,-1.0,19813.0,21946.0,-1.0,-1.0,850.0,4784.0,7667.0,10092.0,-1.0,23076.0,18605.0,-1.0,15333.0,-1.0,15898.0,20321.0,30496.0,11824.0,-1.0,10861.0,13664.0,11066.0,8929.0,12222.0,13664.0,28571.0,-1.0,15875.0,-1.0,19059.0,22980.0,19212.0,14652.0,2024.0,11701.0,15275.0,33166.0,19153.0,14489.0,34843.0,7110.0,25000.0,16250.0,13879.0,36986.0
