,Ukraine,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Belarus,Myanmar,Serbia,Armenia,Ethiopia,Greece,Tunisia,Zimbabwe,Republic of Korea,Spain,New Zealand,Niger,Bulgaria,Australia & New Zealand,Mongolia,Togo,Slovenia,Morocco,Senegal,Czechia,Argentina,Luxembourg,Georgia,Botswana,Austria,Chad,Czechoslovakia,Bhutan,Poland,Congo,Qatar,Mexico,Switzerland,Romania,Italy,USSR,Russian Federation,China,Ireland,Uzbekistan,Gambia,Slovakia,United Republic of Tanzania,Occupied Palestinian Territory,South Africa,Guinea-Bissau,Kazakhstan,Sierra Leone,Hungary,France,Thailand,Lithuania,Finland,"China, mainland",Oman,Mali,Eritrea,Ethiopia PDR
1971,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2469.0,-1.0,-1.0,-1.0,-1.0,5152.0,-1.0,-1.0,-1.0,20000.0,-1.0,13273.0,20000.0,2500.0,3636.0,-1.0,5788.0,3621.0,-1.0,10417.0,-1.0,-1.0,-1.0,-1.0,5125.0,23592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20546.0,10000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6538.0,18853.0,-1.0,25000.0,-1.0,-1.0,-1.0,9500.0,-1.0,-1.0,6142.0
1972,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2712.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,20000.0,-1.0,14174.0,20000.0,4333.0,5000.0,-1.0,10711.0,3360.0,-1.0,10417.0,-1.0,-1.0,-1.0,-1.0,4882.0,20518.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21492.0,12500.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6154.0,17064.0,-1.0,25000.0,-1.0,-1.0,-1.0,9286.0,-1.0,-1.0,6171.0
1973,-1.0,-1.0,2909.0,-1.0,14286.0,-1.0,2711.0,-1.0,-1.0,-1.0,-1.0,4333.0,-1.0,-1.0,-1.0,40000.0,-1.0,10314.0,40000.0,8667.0,4000.0,-1.0,11566.0,3637.0,-1.0,10400.0,-1.0,-1.0,-1.0,-1.0,4706.0,17787.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22333.0,12222.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6154.0,17484.0,-1.0,25000.0,-1.0,-1.0,-1.0,9524.0,-1.0,-1.0,7200.0
1974,-1.0,-1.0,2909.0,-1.0,14286.0,-1.0,3084.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1.0,4000.0,-1.0,60000.0,-1.0,18185.0,60000.0,5750.0,4545.0,-1.0,4304.0,4492.0,-1.0,10909.0,-1.0,-1.0,-1.0,-1.0,4722.0,15525.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21010.0,13000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6538.0,19469.0,-1.0,25000.0,-1.0,-1.0,-1.0,9524.0,-1.0,-1.0,7000.0
1975,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,3429.0,-1.0,-1.0,-1.0,-1.0,4593.0,-1.0,6317.0,-1.0,100000.0,-1.0,19559.0,100000.0,8000.0,4545.0,-1.0,8384.0,4868.0,-1.0,9488.0,-1.0,-1.0,-1.0,-1.0,5263.0,13582.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22432.0,8571.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,6538.0,17035.0,-1.0,25000.0,-1.0,-1.0,-1.0,9524.0,-1.0,-1.0,6964.0
1976,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2950.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,6591.0,-1.0,80000.0,-1.0,21466.0,80000.0,5000.0,4727.0,-1.0,10000.0,4194.0,-1.0,11038.0,-1.0,-1.0,7500.0,-1.0,5500.0,14029.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21622.0,13333.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,6538.0,19101.0,-1.0,25000.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,6968.0
1977,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,4078.0,-1.0,-1.0,-1.0,-1.0,5667.0,-1.0,9696.0,-1.0,57692.0,-1.0,24152.0,57692.0,3529.0,5000.0,-1.0,3599.0,3683.0,-1.0,10497.0,-1.0,-1.0,8000.0,-1.0,5714.0,13968.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,21823.0,8000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,6429.0,31535.0,-1.0,25000.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,7438.0
1978,-1.0,-1.0,5244.0,-1.0,14286.0,-1.0,2763.0,-1.0,-1.0,-1.0,-1.0,5625.0,-1.0,8843.0,-1.0,57692.0,-1.0,28445.0,57692.0,4444.0,4762.0,-1.0,7483.0,4224.0,-1.0,10512.0,-1.0,-1.0,8000.0,-1.0,6667.0,14072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,22472.0,10000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,6429.0,30446.0,-1.0,25000.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,7840.0
1979,-1.0,-1.0,5622.0,-1.0,14286.0,-1.0,2807.0,-1.0,-1.0,-1.0,-1.0,5625.0,-1.0,9397.0,-1.0,57692.0,-1.0,12093.0,57692.0,3500.0,6250.0,-1.0,8167.0,2365.0,-1.0,10521.0,-1.0,-1.0,8000.0,-1.0,7500.0,15122.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,22764.0,10000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,7143.0,20891.0,-1.0,25000.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,8201.0
1980,-1.0,-1.0,6538.0,-1.0,14286.0,-1.0,4446.0,-1.0,-1.0,-1.0,-1.0,5758.0,125000.0,9669.0,-1.0,24341.0,-1.0,23297.0,24341.0,4444.0,7143.0,-1.0,10172.0,2500.0,-1.0,8564.0,-1.0,-1.0,8000.0,-1.0,8182.0,14017.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,27273.0,10000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,7333.0,38604.0,-1.0,25000.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,9426.0
1981,-1.0,-1.0,6236.0,-1.0,14286.0,-1.0,3525.0,-1.0,-1.0,-1.0,-1.0,5758.0,125000.0,10827.0,-1.0,24156.0,-1.0,22234.0,24156.0,3333.0,7143.0,-1.0,8367.0,2500.0,-1.0,8083.0,-1.0,-1.0,8000.0,-1.0,8571.0,13906.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6667.0,24810.0,10000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7333.0,24369.0,-1.0,25000.0,-1.0,-1.0,-1.0,10204.0,-1.0,-1.0,9619.0
1982,-1.0,-1.0,6500.0,-1.0,14368.0,-1.0,3145.0,-1.0,-1.0,-1.0,-1.0,5882.0,125000.0,10391.0,-1.0,37481.0,-1.0,21939.0,37481.0,12027.0,7143.0,-1.0,9697.0,2500.0,-1.0,8780.0,-1.0,-1.0,8000.0,-1.0,8462.0,14035.0,-1.0,-1.0,-1.0,-1.0,5103.0,-1.0,20000.0,33206.0,17500.0,-1.0,14368.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7667.0,23364.0,-1.0,25000.0,-1.0,-1.0,-1.0,10204.0,-1.0,-1.0,8131.0
1983,-1.0,-1.0,2393.0,-1.0,13684.0,-1.0,3191.0,-1.0,-1.0,-1.0,-1.0,6395.0,125000.0,9926.0,-1.0,29357.0,-1.0,21165.0,29357.0,13333.0,8571.0,-1.0,8837.0,3333.0,-1.0,8778.0,-1.0,-1.0,8000.0,-1.0,5636.0,13918.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,12500.0,33365.0,10000.0,-1.0,13684.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7667.0,21666.0,-1.0,25000.0,-1.0,-1.0,-1.0,10204.0,2857.0,-1.0,9799.0
1984,-1.0,-1.0,4844.0,-1.0,16414.0,-1.0,4792.0,-1.0,-1.0,-1.0,-1.0,6000.0,125000.0,10383.0,-1.0,26718.0,-1.0,21543.0,26718.0,6795.0,7143.0,-1.0,8043.0,5714.0,-1.0,7353.0,-1.0,-1.0,8000.0,-1.0,3866.0,14058.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,3125.0,37436.0,10000.0,-1.0,16414.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7333.0,37012.0,-1.0,25000.0,-1.0,-1.0,-1.0,10204.0,2857.0,-1.0,8272.0
1985,-1.0,-1.0,4977.0,-1.0,16387.0,-1.0,5634.0,-1.0,-1.0,-1.0,-1.0,6667.0,125000.0,12847.0,-1.0,33933.0,-1.0,20625.0,33933.0,8750.0,7143.0,-1.0,11778.0,6393.0,-1.0,9677.0,-1.0,-1.0,8000.0,-1.0,7535.0,14159.0,-1.0,-1.0,-1.0,-1.0,7820.0,-1.0,5000.0,27027.0,12000.0,-1.0,16387.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7667.0,26386.0,-1.0,25000.0,-1.0,-1.0,-1.0,10204.0,2826.0,-1.0,6782.0
1986,-1.0,-1.0,4886.0,-1.0,26746.0,-1.0,5487.0,-1.0,-1.0,-1.0,-1.0,8000.0,125000.0,13360.0,-1.0,28564.0,-1.0,21475.0,28564.0,8387.0,8455.0,-1.0,10000.0,5081.0,-1.0,10957.0,-1.0,-1.0,8000.0,-1.0,7454.0,14118.0,-1.0,-1.0,-1.0,-1.0,9494.0,-1.0,10000.0,27638.0,17500.0,-1.0,26746.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7667.0,22044.0,-1.0,25000.0,-1.0,-1.0,-1.0,10588.0,2857.0,-1.0,7473.0
1987,-1.0,-1.0,5000.0,-1.0,28806.0,-1.0,5642.0,-1.0,-1.0,-1.0,-1.0,8333.0,125000.0,16699.0,-1.0,31906.0,-1.0,16731.0,31906.0,7093.0,7839.0,-1.0,10000.0,5714.0,-1.0,9559.0,-1.0,-1.0,8000.0,-1.0,5188.0,14238.0,-1.0,-1.0,-1.0,-1.0,10465.0,-1.0,2000.0,32520.0,15000.0,-1.0,28806.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6061.0,-1.0,-1.0,7667.0,33572.0,-1.0,25000.0,-1.0,-1.0,-1.0,11111.0,3040.0,-1.0,8033.0
1988,-1.0,-1.0,4763.0,-1.0,26726.0,-1.0,5701.0,-1.0,-1.0,-1.0,-1.0,8333.0,125000.0,13520.0,-1.0,29017.0,-1.0,21650.0,29017.0,6029.0,6384.0,-1.0,10000.0,5936.0,-1.0,8000.0,-1.0,-1.0,8000.0,-1.0,7756.0,49486.0,7299.0,-1.0,-1.0,-1.0,13083.0,-1.0,2000.0,21505.0,17500.0,-1.0,26726.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,7333.0,28454.0,-1.0,25000.0,-1.0,-1.0,-1.0,11413.0,3077.0,-1.0,7979.0
1989,-1.0,-1.0,4890.0,-1.0,22994.0,-1.0,3343.0,-1.0,-1.0,-1.0,-1.0,8333.0,125000.0,13100.0,-1.0,25000.0,-1.0,23959.0,25000.0,8503.0,1258.0,-1.0,10000.0,5851.0,-1.0,6000.0,-1.0,-1.0,8000.0,-1.0,6953.0,43120.0,7299.0,-1.0,-1.0,-1.0,10448.0,-1.0,2200.0,20166.0,15000.0,-1.0,22994.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6024.0,-1.0,-1.0,8000.0,35808.0,-1.0,25000.0,-1.0,-1.0,-1.0,11579.0,3000.0,-1.0,8334.0
1990,-1.0,-1.0,4716.0,-1.0,20780.0,-1.0,3768.0,-1.0,-1.0,-1.0,-1.0,9606.0,120000.0,13145.0,-1.0,28227.0,6667.0,25225.0,28227.0,7266.0,1279.0,-1.0,10739.0,4159.0,-1.0,6250.0,-1.0,-1.0,8182.0,-1.0,7053.0,46427.0,7299.0,-1.0,-1.0,-1.0,8356.0,-1.0,11013.0,23451.0,12604.0,-1.0,20780.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,4956.0,-1.0,-1.0,8000.0,34614.0,-1.0,25000.0,-1.0,-1.0,-1.0,11500.0,3077.0,-1.0,8526.0
1991,-1.0,-1.0,6066.0,-1.0,28923.0,-1.0,3522.0,-1.0,-1.0,-1.0,-1.0,8093.0,125000.0,13507.0,12776.0,25282.0,7059.0,25696.0,25282.0,5000.0,6098.0,-1.0,9900.0,7177.0,-1.0,6000.0,-1.0,-1.0,8000.0,-1.0,9111.0,38671.0,7299.0,-1.0,-1.0,-1.0,11317.0,-1.0,10592.0,32039.0,-1.0,-1.0,28923.0,-1.0,-1.0,3011.0,-1.0,-1.0,-1.0,5978.0,-1.0,-1.0,8000.0,19443.0,-1.0,29706.0,-1.0,-1.0,-1.0,11624.0,2857.0,-1.0,14181.0
1992,5000.0,-1.0,4856.0,-1.0,21691.0,-1.0,3892.0,-1.0,-1.0,-1.0,-1.0,8000.0,125000.0,12711.0,12833.0,26629.0,7222.0,18493.0,26629.0,3939.0,7538.0,37059.0,9335.0,5382.0,-1.0,6604.0,-1.0,-1.0,8621.0,-1.0,7908.0,40000.0,7299.0,-1.0,-1.0,-1.0,11475.0,-1.0,5668.0,37031.0,-1.0,6250.0,21691.0,-1.0,-1.0,2917.0,-1.0,-1.0,-1.0,6060.0,-1.0,10353.0,8000.0,16875.0,-1.0,22652.0,-1.0,-1.0,-1.0,12048.0,3088.0,-1.0,8657.0
1993,13333.0,-1.0,5649.0,-1.0,25203.0,-1.0,3756.0,-1.0,-1.0,9785.0,-1.0,7959.0,125000.0,12662.0,12890.0,27976.0,7143.0,13625.0,27976.0,4415.0,5462.0,20357.0,5882.0,5386.0,22587.0,6538.0,-1.0,-1.0,8571.0,-1.0,6774.0,-1.0,7299.0,-1.0,6667.0,-1.0,8914.0,-1.0,11307.0,38788.0,-1.0,10000.0,25203.0,-1.0,-1.0,2857.0,25000.0,-1.0,-1.0,6080.0,-1.0,7018.0,8000.0,17770.0,-1.0,25000.0,-1.0,-1.0,-1.0,12462.0,3202.0,961.0,-1.0
1994,56538.0,-1.0,5769.0,-1.0,22835.0,-1.0,3470.0,-1.0,-1.0,8803.0,-1.0,8148.0,125000.0,11621.0,12947.0,29384.0,7391.0,15124.0,29384.0,4444.0,8142.0,2632.0,15315.0,6227.0,25000.0,6538.0,-1.0,-1.0,8447.0,-1.0,9446.0,-1.0,7299.0,-1.0,6645.0,-1.0,11811.0,-1.0,7857.0,38559.0,-1.0,11838.0,22835.0,-1.0,-1.0,3000.0,20084.0,8333.0,-1.0,6061.0,-1.0,10250.0,7500.0,21667.0,-1.0,25000.0,-1.0,-1.0,-1.0,12920.0,3333.0,4756.0,-1.0
1995,18182.0,-1.0,5784.0,-1.0,25618.0,24000.0,3636.0,-1.0,-1.0,7070.0,-1.0,8333.0,125000.0,13852.0,13004.0,29758.0,7407.0,15407.0,29758.0,4924.0,6001.0,20515.0,55714.0,5698.0,26829.0,6667.0,-1.0,-1.0,8462.0,-1.0,9667.0,-1.0,7299.0,-1.0,6655.0,-1.0,12180.0,-1.0,8000.0,38458.0,-1.0,15200.0,25618.0,-1.0,-1.0,3056.0,19394.0,9240.0,-1.0,6078.0,-1.0,4391.0,7407.0,26500.0,-1.0,24946.0,-1.0,-1.0,-1.0,13235.0,3324.0,1910.0,-1.0
1996,12391.0,-1.0,5697.0,8492.0,26040.0,18500.0,3636.0,-1.0,-1.0,8288.0,-1.0,8252.0,125000.0,13440.0,13061.0,29667.0,7500.0,8579.0,29667.0,5058.0,10353.0,33457.0,10912.0,5459.0,27500.0,6667.0,-1.0,-1.0,8511.0,103510.0,9923.0,-1.0,7299.0,-1.0,6664.0,-1.0,12245.0,-1.0,8333.0,42875.0,-1.0,13548.0,26040.0,-1.0,-1.0,3000.0,18309.0,9292.0,15000.0,6065.0,-1.0,7522.0,7576.0,-1.0,-1.0,24400.0,-1.0,28889.0,-1.0,13269.0,3364.0,2926.0,-1.0
1997,20900.0,-1.0,5693.0,9296.0,25779.0,11429.0,3611.0,-1.0,-1.0,9099.0,-1.0,8240.0,125000.0,13378.0,13118.0,30143.0,7586.0,11615.0,30143.0,5179.0,13835.0,25472.0,5000.0,5000.0,25610.0,6667.0,-1.0,-1.0,8566.0,101723.0,8450.0,-1.0,7299.0,-1.0,6673.0,-1.0,12141.0,-1.0,18333.0,25636.0,-1.0,10370.0,25779.0,-1.0,-1.0,3182.0,15000.0,9350.0,15000.0,6050.0,-1.0,11679.0,7632.0,-1.0,-1.0,24615.0,-1.0,24737.0,-1.0,13333.0,3401.0,2256.0,-1.0
1998,15743.0,-1.0,5693.0,8029.0,23766.0,6000.0,3590.0,-1.0,-1.0,7354.0,-1.0,8108.0,125000.0,12481.0,13175.0,30629.0,7726.0,11374.0,30629.0,5000.0,14279.0,28846.0,7196.0,4948.0,25000.0,6667.0,-1.0,-1.0,8621.0,99134.0,7476.0,-1.0,7299.0,-1.0,6681.0,-1.0,10497.0,-1.0,12000.0,38125.0,-1.0,14400.0,23766.0,-1.0,-1.0,3056.0,16881.0,9415.0,12500.0,6000.0,-1.0,9091.0,7500.0,-1.0,-1.0,24444.0,-1.0,24483.0,-1.0,14073.0,3435.0,6848.0,-1.0
1999,16841.0,-1.0,5429.0,7782.0,21786.0,10000.0,3659.0,-1.0,-1.0,7734.0,-1.0,8268.0,125000.0,11825.0,13232.0,28571.0,3523.0,16842.0,28571.0,5029.0,8459.0,25686.0,6348.0,6832.0,23077.0,6500.0,-1.0,-1.0,8621.0,99587.0,8886.0,-1.0,7299.0,-1.0,6688.0,60000.0,18262.0,-1.0,22439.0,34569.0,-1.0,6667.0,24945.0,-1.0,50500.0,3035.0,15000.0,9492.0,11702.0,6006.0,-1.0,11789.0,7308.0,-1.0,-1.0,25000.0,-1.0,20833.0,25000.0,14419.0,3459.0,4252.0,-1.0
2000,13450.0,8764.0,5746.0,8870.0,30000.0,7778.0,3659.0,-1.0,-1.0,8019.0,-1.0,8325.0,125000.0,13623.0,13289.0,31779.0,4000.0,18906.0,31779.0,4780.0,9617.0,24912.0,2609.0,4977.0,28571.0,6500.0,-1.0,-1.0,8571.0,102041.0,8540.0,-1.0,7299.0,-1.0,6696.0,60000.0,13594.0,-1.0,17558.0,34317.0,-1.0,4875.0,25125.0,-1.0,46667.0,3077.0,20000.0,9392.0,32609.0,5992.0,-1.0,7563.0,8182.0,-1.0,-1.0,25000.0,-1.0,26000.0,25000.0,14773.0,3417.0,3508.0,-1.0
2001,7111.0,8824.0,5556.0,8718.0,22197.0,10000.0,3684.0,-1.0,-1.0,7894.0,-1.0,8140.0,125000.0,12889.0,13346.0,33102.0,4000.0,18737.0,33102.0,4520.0,10063.0,25000.0,6390.0,5582.0,26829.0,6500.0,-1.0,-1.0,8621.0,126115.0,13335.0,-1.0,7299.0,-1.0,6702.0,60000.0,14676.0,-1.0,30968.0,45627.0,-1.0,3556.0,24960.0,-1.0,28736.0,2981.0,18258.0,9558.0,65114.0,5952.0,4000.0,9649.0,7949.0,-1.0,-1.0,25600.0,-1.0,20000.0,25000.0,15134.0,3436.0,6419.0,-1.0
