,USSR,Haiti,Bahrain,Fiji,Pakistan,Thailand,Rwanda,Guyana,Democratic People's Republic of Korea,Lebanon,Albania,Niger,"China, Hong Kong SAR",Serbia,Hungary,Philippines,Spain,India,Malta,Jamaica,Indonesia,Republic of Moldova,Jordan,Belgium-Luxembourg,Colombia,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Yemen,France,Republic of Korea,United Arab Emirates,Congo,Martinique,Dominican Republic,Syrian Arab Republic,Iran (Islamic Republic of),Peru,Ghana,"China, mainland",Madagascar,Algeria,Kazakhstan,Lithuania,Portugal,Netherlands,South Sudan,Cuba,Austria,Puerto Rico,United States of America,Romania,Dominica,Iraq,Sri Lanka,Belgium,Libya,Costa Rica,Italy,Qatar,Senegal,Mauritius,Uzbekistan,China,Sudan (former),Morocco,Antigua and Barbuda,Honduras,Kyrgyzstan,Gabon,Cyprus,"China, Taiwan Province of",Israel,Réunion,Japan,Saudi Arabia,Trinidad and Tobago,Georgia,Azerbaijan,Oman,Turkey,Cameroon,Tunisia,Sudan,Venezuela (Bolivarian Republic of),American Samoa,Brunei Darussalam,Mexico,Ukraine,Kuwait,Guadeloupe,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1973,,94.0,,20.0,,10100.0,-1.0,-1.0,1500.0,1223.0,-1.0,-1.0,50.0,,-1.0,19290.0,3300.0,215000.0,-1.0,10.0,34868.0,,2001.0,,130.0,9242.0,20.0,,3387.0,,1036.0,2513.0,35.0,-1.0,75.0,670.0,4692.0,-1.0,-1.0,9700.0,215000.0,100.0,,,,,35.0,,,-1.0,-1.0,1153.0,-1.0,,9686.0,1500.0,,340.0,-1.0,11937.0,,-1.0,70.0,,217016.0,2941.0,280.0,18.0,-1.0,,-1.0,161.0,1966.0,660.0,-1.0,25100.0,1799.0,138.0,,,-1.0,25600.0,-1.0,,,171.0,-1.0,-1.0,1334.0,,,40.0,1300.0,0.0,,818.0,-1.0
1974,,90.0,,20.0,,10200.0,-1.0,-1.0,1500.0,1047.0,-1.0,-1.0,180.0,,-1.0,17140.0,3800.0,220000.0,-1.0,12.0,32900.0,,4150.0,,136.0,10082.0,20.0,,3400.0,,1150.0,2760.0,66.0,-1.0,85.0,710.0,5339.0,-1.0,-1.0,9700.0,205000.0,200.0,,,,,35.0,,,-1.0,-1.0,1333.0,-1.0,,4891.0,2000.0,,454.0,-1.0,12563.0,,-1.0,62.0,,207435.0,3000.0,280.0,8.0,-1.0,,-1.0,161.0,2255.0,850.0,-1.0,23600.0,3237.0,190.0,,,-1.0,26100.0,-1.0,,,189.0,-1.0,-1.0,1165.0,,,100.0,1300.0,0.0,,973.0,-1.0
1975,,100.0,21.0,30.0,,10200.0,-1.0,-1.0,1600.0,1100.0,-1.0,-1.0,40.0,,-1.0,16820.0,4500.0,225000.0,-1.0,20.0,35800.0,,2167.0,,200.0,10388.0,30.0,,3300.0,,1033.0,2720.0,96.0,-1.0,75.0,710.0,6607.0,-1.0,-1.0,7300.0,215000.0,180.0,,,,,35.0,,,-1.0,-1.0,1394.0,-1.0,,5754.0,4500.0,,449.0,-1.0,12638.0,,-1.0,56.0,,217253.0,3000.0,350.0,9.0,-1.0,,-1.0,107.0,2213.0,580.0,-1.0,22700.0,3915.0,174.0,,,-1.0,27000.0,-1.0,,,197.0,-1.0,-1.0,990.0,,2.0,120.0,1350.0,0.0,,1221.0,-1.0
1976,,100.0,17.0,30.0,,10200.0,-1.0,-1.0,1600.0,1200.0,-1.0,-1.0,77.0,,-1.0,16220.0,4200.0,230000.0,-1.0,16.0,29400.0,,2726.0,,200.0,10520.0,30.0,,3000.0,,957.0,2657.0,120.0,-1.0,43.0,710.0,7134.0,-1.0,-1.0,8700.0,215000.0,120.0,,,,,35.0,,,-1.0,-1.0,1396.0,-1.0,,6500.0,3500.0,,442.0,-1.0,12643.0,,-1.0,46.0,,217422.0,3000.0,400.0,9.0,-1.0,,-1.0,134.0,2345.0,520.0,-1.0,21900.0,3183.0,170.0,,,-1.0,29200.0,-1.0,,,240.0,-1.0,-1.0,1000.0,,3.0,130.0,1400.0,0.0,,1078.0,-1.0
1977,,100.0,22.0,30.0,,10300.0,-1.0,-1.0,1700.0,1200.0,-1.0,-1.0,81.0,,-1.0,16830.0,4500.0,232000.0,-1.0,14.0,29000.0,,2174.0,,220.0,11619.0,30.0,,3000.0,,1040.0,2410.0,169.0,-1.0,80.0,780.0,6180.0,-1.0,-1.0,6100.0,225000.0,160.0,600.0,,,200.0,32.0,,,-1.0,-1.0,1275.0,-1.0,,7087.0,4000.0,,440.0,-1.0,13078.0,62.0,-1.0,46.0,,227546.0,3000.0,500.0,6.0,-1.0,,-1.0,167.0,2465.0,540.0,-1.0,21400.0,3440.0,160.0,,,-1.0,31000.0,-1.0,,,243.0,-1.0,-1.0,1050.0,,6.0,130.0,1400.0,0.0,,1298.0,-1.0
1978,,100.0,25.0,30.0,,10300.0,-1.0,-1.0,1800.0,1300.0,-1.0,-1.0,36.0,,-1.0,17180.0,4600.0,240000.0,-1.0,7.0,38065.0,,2931.0,,220.0,13311.0,30.0,,3500.0,,1040.0,2500.0,212.0,-1.0,70.0,730.0,7562.0,-1.0,-1.0,5900.0,235000.0,135.0,800.0,,,200.0,45.0,,,-1.0,-1.0,1463.0,-1.0,,7124.0,4000.0,,444.0,-1.0,12942.0,65.0,-1.0,63.0,,237266.0,3000.0,550.0,5.0,-1.0,,-1.0,94.0,2230.0,740.0,-1.0,21700.0,2203.0,156.0,,,-1.0,34000.0,-1.0,,,312.0,-1.0,-1.0,1088.0,,4.0,130.0,1400.0,0.0,,1403.0,-1.0
1979,,100.0,14.0,30.0,,10300.0,-1.0,-1.0,1900.0,1300.0,-1.0,-1.0,24.0,,-1.0,16970.0,4940.0,245000.0,-1.0,6.0,35000.0,,3040.0,,230.0,14685.0,30.0,,3400.0,115.0,1087.0,1400.0,292.0,-1.0,70.0,750.0,7876.0,-1.0,-1.0,5600.0,230000.0,63.0,870.0,,,200.0,47.0,,,-1.0,-1.0,1522.0,-1.0,,5475.0,4000.0,,400.0,-1.0,13126.0,33.0,-1.0,38.0,,232332.0,3000.0,620.0,6.0,-1.0,,-1.0,107.0,2308.0,730.0,-1.0,21600.0,3115.0,155.0,,,-1.0,36000.0,-1.0,,,302.0,-1.0,-1.0,902.0,,6.0,130.0,1500.0,0.0,,1278.0,-1.0
1980,,100.0,19.0,30.0,4066.0,10400.0,-1.0,-1.0,2000.0,1400.0,-1.0,-1.0,37.0,,-1.0,17230.0,4600.0,249000.0,-1.0,10.0,42000.0,,2784.0,,230.0,13523.0,30.0,,3300.0,110.0,1041.0,1900.0,199.0,-1.0,60.0,730.0,9285.0,-1.0,-1.0,10500.0,230000.0,52.0,970.0,,,200.0,53.0,,,-1.0,-1.0,1603.0,-1.0,,8975.0,5000.0,,400.0,-1.0,13157.0,86.0,-1.0,50.0,,232600.0,3000.0,700.0,17.0,-1.0,,-1.0,80.0,2563.0,890.0,20.0,21500.0,2580.0,155.0,,,-1.0,35000.0,-1.0,,,310.0,-1.0,-1.0,782.0,,9.0,130.0,1500.0,0.0,,1331.0,-1.0
1981,,100.0,19.0,30.0,3858.0,10400.0,-1.0,-1.0,2300.0,1500.0,-1.0,-1.0,50.0,,-1.0,15530.0,5200.0,253000.0,-1.0,9.0,40000.0,,2747.0,,230.0,13992.0,30.0,,3500.0,106.0,1100.0,1100.0,295.0,-1.0,30.0,750.0,9363.0,-1.0,-1.0,8700.0,250000.0,45.0,1090.0,,,200.0,50.0,,,-1.0,-1.0,1520.0,-1.0,,7150.0,5000.0,,400.0,-1.0,12749.0,89.0,-1.0,65.0,,252808.0,3000.0,760.0,22.0,-1.0,,-1.0,60.0,2758.0,660.0,95.0,21400.0,2069.0,140.0,,,-1.0,47000.0,-1.0,,,339.0,-1.0,-1.0,521.0,,9.0,110.0,1500.0,0.0,,1205.0,-1.0
1982,,100.0,20.0,50.0,4907.0,10400.0,-1.0,-1.0,2500.0,1500.0,-1.0,-1.0,30.0,,-1.0,14770.0,4700.0,258000.0,-1.0,12.0,56932.0,,2638.0,,220.0,14325.0,50.0,,3300.0,110.0,1100.0,1700.0,433.0,-1.0,15.0,450.0,8644.0,-1.0,-1.0,8800.0,276000.0,67.0,1330.0,,,200.0,60.0,,,-1.0,-1.0,1330.0,-1.0,,9925.0,4500.0,,380.0,-1.0,12873.0,76.0,-1.0,70.0,,278473.0,3000.0,830.0,27.0,-1.0,,-1.0,54.0,2443.0,600.0,90.0,20800.0,3247.0,155.0,,,-1.0,42000.0,-1.0,3.0,,367.0,-1.0,-1.0,650.0,,9.0,100.0,1500.0,0.0,,1335.0,-1.0
1983,,100.0,10.0,50.0,5352.0,10500.0,-1.0,-1.0,2600.0,1550.0,-1.0,-1.0,50.0,,-1.0,14243.0,4700.0,262000.0,-1.0,7.0,44615.0,,2511.0,,210.0,14283.0,50.0,,3200.0,121.0,1100.0,1400.0,519.0,-1.0,10.0,550.0,10200.0,-1.0,-1.0,7300.0,280000.0,100.0,1060.0,,,200.0,65.0,,,-1.0,-1.0,1300.0,-1.0,,9400.0,8500.0,,350.0,-1.0,12157.0,41.0,-1.0,76.0,,282343.0,3000.0,970.0,12.0,-1.0,,-1.0,54.0,2293.0,580.0,90.0,20400.0,3083.0,120.0,,,-1.0,42000.0,-1.0,3.0,,397.0,-1.0,-1.0,748.0,,12.0,145.0,1550.0,0.0,,1402.0,-1.0
1984,,100.0,11.0,50.0,4663.0,10500.0,-1.0,-1.0,2800.0,1450.0,-1.0,-1.0,45.0,,-1.0,14693.0,4569.0,270000.0,-1.0,11.0,64868.0,,2285.0,,210.0,12600.0,50.0,,3300.0,65.0,900.0,1500.0,397.0,-1.0,2.0,720.0,8300.0,-1.0,-1.0,8000.0,285000.0,150.0,1550.0,,,250.0,65.0,,,-1.0,-1.0,1300.0,-1.0,,11025.0,10000.0,,340.0,-1.0,11877.0,42.0,-1.0,67.0,,287498.0,2750.0,970.0,8.0,-1.0,,-1.0,67.0,2453.0,580.0,110.0,20000.0,3926.0,110.0,,,-1.0,40000.0,-1.0,4.0,,466.0,-1.0,-1.0,823.0,,13.0,135.0,1700.0,0.0,,1343.0,-1.0
1985,,100.0,13.0,50.0,5123.0,10500.0,-1.0,-1.0,3000.0,1500.0,-1.0,-1.0,40.0,,-1.0,14396.0,4495.0,275000.0,-1.0,8.0,72751.0,,2716.0,,215.0,14700.0,50.0,,3200.0,69.0,1000.0,1700.0,422.0,-1.0,12.0,905.0,10379.0,-1.0,-1.0,6000.0,288000.0,150.0,1560.0,,,250.0,100.0,,,-1.0,-1.0,1300.0,-1.0,,13750.0,7500.0,,330.0,-1.0,11619.0,68.0,-1.0,68.0,,290619.0,3000.0,1100.0,20.0,-1.0,,-1.0,47.0,2579.0,740.0,150.0,19400.0,3914.0,100.0,,,-1.0,40000.0,-1.0,4.0,,389.0,-1.0,-1.0,707.0,,18.0,160.0,2000.0,0.0,,1395.0,-1.0
1986,,100.0,17.0,50.0,5420.0,10500.0,-1.0,-1.0,3200.0,1650.0,-1.0,-1.0,40.0,,-1.0,14478.0,4100.0,280000.0,-1.0,38.0,68000.0,,2731.0,,212.0,18900.0,50.0,,3035.0,80.0,1000.0,1500.0,340.0,-1.0,8.0,1188.0,8500.0,-1.0,-1.0,2600.0,290000.0,150.0,1900.0,,,250.0,100.0,,,-1.0,-1.0,1280.0,-1.0,,12025.0,9000.0,,320.0,-1.0,11566.0,94.0,-1.0,69.0,,292341.0,3100.0,1250.0,22.0,-1.0,,-1.0,54.0,2301.0,750.0,190.0,18900.0,4147.0,120.0,,,-1.0,42000.0,-1.0,7.0,,376.0,-1.0,-1.0,828.0,,17.0,160.0,2500.0,0.0,,1583.0,-1.0
1987,,100.0,15.0,50.0,4935.0,10500.0,-1.0,-1.0,3500.0,1750.0,-1.0,-1.0,40.0,,-1.0,14793.0,4396.0,283000.0,-1.0,47.0,69466.0,,2508.0,,212.0,18060.0,50.0,,3195.0,195.0,900.0,1329.0,336.0,-1.0,3.0,1699.0,9542.0,-1.0,-1.0,2200.0,295000.0,150.0,1870.0,,,250.0,100.0,,,-1.0,-1.0,1280.0,-1.0,,13925.0,8300.0,,300.0,-1.0,11243.0,102.0,-1.0,66.0,,297462.0,3200.0,1450.0,28.0,-1.0,,-1.0,67.0,2422.0,650.0,270.0,18700.0,5504.0,120.0,,,-1.0,36000.0,-1.0,7.0,,365.0,-1.0,-1.0,689.0,,41.0,110.0,3000.0,0.0,,1606.0,-1.0
1988,,100.0,22.0,50.0,5219.0,10600.0,-1.0,-1.0,3700.0,1850.0,-1.0,-1.0,40.0,,-1.0,15275.0,4797.0,287000.0,-1.0,7.0,66000.0,,2170.0,,213.0,16803.0,50.0,,3000.0,188.0,800.0,1106.0,257.0,-1.0,2.0,2136.0,8500.0,-1.0,-1.0,1600.0,298000.0,150.0,2250.0,,,250.0,100.0,,,-1.0,-1.0,1320.0,-1.0,,12175.0,9000.0,,300.0,-1.0,11207.0,98.0,-1.0,77.0,,299938.0,3000.0,1400.0,30.0,-1.0,,-1.0,54.0,1898.0,650.0,300.0,18200.0,5226.0,90.0,,,-1.0,36000.0,-1.0,7.0,,355.0,-1.0,-1.0,1042.0,,65.0,51.0,3171.0,0.0,,1414.0,-1.0
1989,,100.0,18.0,50.0,5127.0,10600.0,-1.0,-1.0,3800.0,1950.0,-1.0,-1.0,20.0,,-1.0,16725.0,4284.0,290000.0,-1.0,20.0,106508.0,,1432.0,,240.0,16803.0,50.0,,2900.0,241.0,835.0,1137.0,459.0,-1.0,2.0,1643.0,7800.0,-1.0,-1.0,2100.0,300000.0,160.0,2430.0,,,250.0,100.0,,,-1.0,-1.0,1300.0,-1.0,,12650.0,8400.0,,320.0,-1.0,10825.0,101.0,-1.0,79.0,,301628.0,3000.0,2200.0,28.0,-1.0,,-1.0,55.0,1608.0,730.0,280.0,17700.0,5825.0,90.0,,,-1.0,35500.0,-1.0,10.0,,371.0,-1.0,-1.0,1143.0,,108.0,20.0,2650.0,0.0,,1251.0,-1.0
1990,4000.0,72.0,16.0,53.0,6003.0,10083.0,-1.0,-1.0,4000.0,2050.0,700.0,-1.0,20.0,,-1.0,16425.0,4383.0,295000.0,-1.0,13.0,41680.0,,1718.0,,270.0,17223.0,53.0,,3027.0,268.0,858.0,1225.0,434.0,83.0,3.0,1187.0,6000.0,6300.0,-1.0,1700.0,305000.0,165.0,2090.0,,,257.0,100.0,,,-1.0,-1.0,1380.0,-1.0,-1.0,11575.0,7800.0,,320.0,-1.0,10574.0,111.0,-1.0,92.0,,306583.0,3200.0,2900.0,32.0,55.0,,-1.0,58.0,1563.0,884.0,331.0,17200.0,5573.0,70.0,,,260.0,35000.0,30.0,11.0,,377.0,-1.0,8.0,666.0,,134.0,20.0,3000.0,-1.0,,1231.0,-1.0
1991,4000.0,81.0,17.0,50.0,6624.0,9342.0,-1.0,-1.0,3980.0,2208.0,500.0,-1.0,10.0,,-1.0,14465.0,4263.0,300000.0,-1.0,12.0,46791.0,,1799.0,,55.0,19061.0,50.0,,2800.0,335.0,1008.0,1118.0,579.0,92.0,4.0,1638.0,6244.0,5952.0,-1.0,1715.0,310000.0,166.0,1860.0,,,172.0,100.0,,,-1.0,-1.0,1282.0,-1.0,-1.0,9750.0,8500.0,,350.0,-1.0,10706.0,130.0,-1.0,98.0,,311435.0,3300.0,2200.0,34.0,55.0,,-1.0,65.0,1425.0,850.0,336.0,16600.0,3840.0,65.0,,,280.0,34100.0,60.0,14.0,,359.0,-1.0,12.0,872.0,,39.0,8.0,3208.0,-1.0,,835.0,-1.0
1992,,80.0,28.0,93.0,6672.0,9257.0,-1.0,-1.0,4032.0,2210.0,800.0,-1.0,10.0,,-1.0,15535.0,4195.0,194000.0,-1.0,30.0,44815.0,600.0,2474.0,,120.0,16818.0,93.0,5.0,2900.0,346.0,867.0,1000.0,1250.0,100.0,4.0,1869.0,6128.0,6696.0,-1.0,1712.0,290000.0,169.0,2030.0,1000.0,50.0,156.0,100.0,,,-1.0,-1.0,1457.0,-1.0,-1.0,10500.0,9000.0,,330.0,-1.0,10266.0,131.0,-1.0,105.0,100.0,291362.0,3500.0,2000.0,40.0,55.0,-1.0,-1.0,60.0,1352.0,760.0,370.0,16000.0,5461.0,85.0,-1.0,1700.0,240.0,34000.0,90.0,13.0,,339.0,-1.0,9.0,988.0,3041.0,54.0,10.0,3393.0,-1.0,50.0,800.0,-1.0
1993,,81.0,25.0,113.0,6791.0,8000.0,-1.0,-1.0,3828.0,2250.0,1000.0,-1.0,4.0,,-1.0,17416.0,4028.0,252000.0,-1.0,50.0,37730.0,500.0,1274.0,-1.0,123.0,16900.0,113.0,6.0,2900.0,346.0,908.0,700.0,1180.0,108.0,4.0,1469.0,6800.0,7260.0,-1.0,1711.0,370000.0,170.0,1990.0,1000.0,50.0,147.0,100.0,,,-1.0,-1.0,1170.0,-1.0,-1.0,11000.0,9153.0,,300.0,-1.0,10496.0,130.0,-1.0,157.0,110.0,371241.0,3700.0,1950.0,37.0,58.0,50.0,13.0,58.0,1237.0,1020.0,335.0,15500.0,5657.0,90.0,-1.0,1500.0,230.0,29211.0,150.0,15.0,,363.0,-1.0,17.0,1013.0,5000.0,64.0,12.0,3500.0,-1.0,55.0,700.0,-1.0
