,Kenya,Peru,Serbia and Montenegro,Serbia,Syrian Arab Republic,Viet Nam,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Bangladesh,Malawi,Cyprus,Spain,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Guatemala,Madagascar,Argentina,Ukraine,Georgia,India,Morocco,Ethiopia PDR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Yugoslav SFR,Slovakia,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Italy,Hungary,Australia,Togo,Lithuania,Poland,Netherlands,Russian Federation,"China, mainland",Turkey
1971,100.0,-1.0,-1.0,-1.0,1430.0,1000.0,-1.0,369.0,-1.0,-1.0,550.0,-1.0,-1.0,400.0,-1.0,10.0,1400.0,2200.0,0.0,5500.0,100.0,-1.0,470.0,-1.0,-1.0,43000.0,24300.0,70.0,200.0,-1.0,-1.0,2500.0,-1.0,5000.0,8150.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,3400.0,2734.0,-1.0,5000.0,2300.0
1972,300.0,-1.0,-1.0,-1.0,2554.0,800.0,-1.0,616.0,-1.0,-1.0,570.0,-1.0,-1.0,400.0,-1.0,10.0,1026.0,2700.0,0.0,8500.0,100.0,-1.0,544.0,-1.0,-1.0,45000.0,23040.0,50.0,240.0,-1.0,-1.0,3500.0,-1.0,5000.0,8200.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,2467.0,-1.0,5000.0,1700.0
1973,800.0,-1.0,-1.0,-1.0,1693.0,500.0,-1.0,1268.0,-1.0,-1.0,590.0,-1.0,-1.0,500.0,-1.0,-1.0,1300.0,70.0,0.0,5500.0,150.0,-1.0,460.0,-1.0,-1.0,45000.0,13930.0,30.0,300.0,-1.0,-1.0,5000.0,-1.0,5000.0,8200.0,1500.0,-1.0,0.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,4029.0,-1.0,5000.0,2500.0
1974,700.0,-1.0,-1.0,-1.0,5270.0,550.0,-1.0,903.0,-1.0,-1.0,600.0,-1.0,-1.0,600.0,-1.0,-1.0,2452.0,25.0,0.0,7000.0,250.0,-1.0,626.0,-1.0,-1.0,45000.0,10350.0,30.0,340.0,-1.0,-1.0,5000.0,-1.0,5000.0,8300.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,6335.0,-1.0,5000.0,6500.0
1975,400.0,-1.0,-1.0,-1.0,4155.0,500.0,-1.0,884.0,-1.0,-1.0,600.0,-1.0,-1.0,800.0,-1.0,10.0,2400.0,83.0,0.0,5500.0,250.0,-1.0,848.0,-1.0,-1.0,45164.0,11000.0,30.0,380.0,-1.0,-1.0,7000.0,-1.0,6000.0,8300.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,5183.0,-1.0,6000.0,8400.0
1976,100.0,-1.0,-1.0,-1.0,4295.0,450.0,-1.0,447.0,-1.0,-1.0,600.0,-1.0,-1.0,800.0,-1.0,10.0,2100.0,92.0,0.0,6600.0,300.0,-1.0,1000.0,-1.0,-1.0,69869.0,11000.0,30.0,440.0,-1.0,92.0,7700.0,-1.0,6000.0,8400.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,3211.0,-1.0,6000.0,9800.0
1977,400.0,-1.0,-1.0,-1.0,5057.0,320.0,-1.0,135.0,-1.0,-1.0,650.0,-1.0,-1.0,1000.0,-1.0,10.0,2000.0,112.0,0.0,7500.0,350.0,-1.0,1130.0,-1.0,-1.0,110462.0,10000.0,40.0,577.0,-1.0,4.0,15000.0,-1.0,6000.0,8500.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,2000.0,-1.0,6000.0,2700.0
1978,100.0,-1.0,-1.0,-1.0,3838.0,300.0,-1.0,884.0,-1.0,-1.0,630.0,-1.0,-1.0,800.0,-1.0,10.0,1830.0,271.0,0.0,7000.0,400.0,10.0,2000.0,-1.0,-1.0,101387.0,11500.0,40.0,580.0,-1.0,4.0,13000.0,-1.0,6000.0,8500.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,-1.0,5000.0,-1.0,6000.0,1100.0
1979,200.0,-1.0,-1.0,-1.0,1500.0,330.0,-1.0,1475.0,-1.0,-1.0,695.0,-1.0,-1.0,600.0,-1.0,10.0,1398.0,261.0,0.0,3500.0,450.0,10.0,1180.0,-1.0,-1.0,92414.0,11000.0,40.0,600.0,-1.0,5.0,11500.0,-1.0,9000.0,8600.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1,-1.0,-1.0,3000.0,-1.0,9000.0,2500.0
1980,100.0,-1.0,-1.0,-1.0,2400.0,350.0,-1.0,1294.0,-1.0,-1.0,551.0,-1.0,-1.0,400.0,-1.0,10.0,1698.0,260.0,0.0,1500.0,1100.0,10.0,1140.0,-1.0,-1.0,102404.0,12000.0,50.0,8712.0,-1.0,6.0,11000.0,-1.0,10000.0,8600.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,-1,-1.0,-1.0,4000.0,-1.0,10000.0,3600.0
1981,80.0,-1.0,-1.0,-1.0,3100.0,370.0,-1.0,1184.0,-1.0,-1.0,324.0,-1.0,-1.0,200.0,-1.0,20.0,1248.0,40.0,0.0,1000.0,650.0,10.0,520.0,-1.0,-1.0,57277.0,15000.0,50.0,7408.0,-1.0,22.0,11000.0,-1.0,10000.0,8800.0,2400.0,-1.0,25.0,-1.0,-1.0,-1.0,300.0,-1.0,-1,-1.0,-1.0,2782.0,-1.0,10000.0,8000.0
1982,100.0,-1.0,-1.0,-1.0,2400.0,400.0,-1.0,1150.0,-1.0,-1.0,97.0,-1.0,-1.0,0.0,-1.0,-1.0,2247.0,43.0,0.0,700.0,500.0,10.0,1000.0,-1.0,-1.0,75978.0,17000.0,100.0,13292.0,-1.0,26.0,12000.0,-1.0,10000.0,8700.0,1600.0,-1.0,26.0,-1.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,-1.0,2896.0,-1.0,10000.0,7100.0
1983,100.0,-1.0,-1.0,-1.0,3700.0,450.0,-1.0,1046.0,-1.0,-1.0,53.0,-1.0,-1.0,-1.0,-1.0,-1.0,2394.0,90.0,101.0,2500.0,510.0,10.0,1100.0,-1.0,-1.0,116173.0,17000.0,500.0,11506.0,-1.0,18.0,12000.0,-1.0,11000.0,8700.0,1400.0,-1.0,25.0,-1.0,-1.0,-1.0,600.0,101.0,-1,-1.0,-1.0,2889.0,-1.0,11000.0,12300.0
1984,50.0,-1.0,-1.0,-1.0,3000.0,470.0,-1.0,1100.0,-1.0,-1.0,248.0,-1.0,100.0,-1.0,-1.0,-1.0,3236.0,0.0,73.0,1500.0,510.0,10.0,1140.0,-1.0,-1.0,74223.0,20000.0,100.0,14785.0,-1.0,11.0,12200.0,-1.0,13000.0,9000.0,1600.0,-1.0,20.0,-1.0,-1.0,-1.0,800.0,73.0,-1,-1.0,-1.0,1000.0,-1.0,13000.0,6000.0
1985,50.0,-1.0,-1.0,-1.0,1600.0,500.0,-1.0,1480.0,-1.0,-1.0,216.0,-1.0,100.0,-1.0,-1.0,-1.0,1645.0,-1.0,91.0,2000.0,520.0,10.0,1100.0,-1.0,-1.0,45885.0,21000.0,70.0,17775.0,-1.0,2.0,12500.0,-1.0,15000.0,9100.0,2800.0,-1.0,20.0,-1.0,-1.0,-1.0,1200.0,91.0,-1,-1.0,-1.0,3000.0,-1.0,15000.0,4000.0
1986,100.0,-1.0,-1.0,-1.0,2500.0,1000.0,-1.0,1000.0,-1.0,-1.0,565.0,500.0,100.0,-1.0,50.0,3.0,1292.0,-1.0,2301.0,11800.0,530.0,10.0,1150.0,-1.0,-1.0,50263.0,22000.0,90.0,20190.0,2000.0,16.0,13000.0,-1.0,18000.0,9200.0,1500.0,-1.0,25.0,-1.0,-1.0,-1.0,1600.0,2301.0,-1,-1.0,-1.0,4000.0,-1.0,18000.0,6000.0
1987,200.0,-1.0,-1.0,-1.0,3000.0,1350.0,-1.0,1467.0,-1.0,-1.0,447.0,500.0,100.0,-1.0,50.0,3.0,1107.0,-1.0,2257.0,11200.0,530.0,10.0,1200.0,-1.0,-1.0,55258.0,22000.0,60.0,21051.0,2000.0,26.0,13500.0,-1.0,16000.0,9300.0,1500.0,-1.0,25.0,-1.0,-1.0,-1.0,1800.0,2257.0,-1,-1.0,-1.0,1000.0,-1.0,16000.0,13950.0
1988,100.0,-1.0,-1.0,-1.0,5300.0,1000.0,-1.0,1000.0,-1.0,-1.0,450.0,200.0,100.0,-1.0,50.0,3.0,1518.0,-1.0,2889.0,6300.0,530.0,10.0,2000.0,-1.0,-1.0,130922.0,23000.0,70.0,25918.0,2200.0,69.0,23000.0,-1.0,18000.0,9400.0,1500.0,-1.0,26.0,-1.0,-1.0,-1.0,2400.0,2889.0,-1,-1.0,-1.0,2279.0,-1.0,18000.0,16000.0
1989,100.0,-1.0,-1.0,-1.0,7100.0,1200.0,-1.0,1618.0,-1.0,-1.0,460.0,800.0,100.0,-1.0,50.0,3.0,1768.0,-1.0,3689.0,22500.0,540.0,10.0,2200.0,-1.0,-1.0,67593.0,23000.0,100.0,20223.0,3000.0,141.0,23800.0,-1.0,17000.0,9500.0,1500.0,-1.0,28.0,-1.0,-1.0,-1.0,3000.0,3689.0,-1,-1.0,-1.0,1126.0,-1.0,17000.0,8100.0
1990,90.0,-1.0,-1.0,-1.0,9000.0,1000.0,-1.0,843.0,-1.0,-1.0,470.0,1000.0,90.0,0.0,45.0,0.0,1661.0,0.0,1335.0,18000.0,550.0,9.0,2300.0,-1.0,-1.0,89343.0,23000.0,90.0,23596.0,1600.0,50.0,18000.0,-1.0,18000.0,9600.0,1600.0,-1.0,30.0,-1.0,-1.0,0.0,1000.0,1335.0,-1,-1.0,0.0,500.0,-1.0,18000.0,9500.0
1991,150.0,-1.0,-1.0,-1.0,2286.0,1061.0,-1.0,207.0,-1.0,-1.0,473.0,1493.0,142.0,0.0,31.0,0.0,1080.0,0.0,2525.0,18717.0,560.0,10.0,2400.0,-1.0,-1.0,89749.0,23000.0,41.0,24503.0,3769.0,132.0,15000.0,-1.0,19000.0,9700.0,510.0,-1.0,40.0,-1.0,-1.0,0.0,2000.0,2525.0,-1,-1.0,0.0,157.0,-1.0,19000.0,13400.0
1992,200.0,-1.0,0.0,-1.0,5892.0,1200.0,-1.0,50.0,-1.0,1100.0,478.0,500.0,200.0,0.0,32.0,0.0,1055.0,0.0,3206.0,23000.0,570.0,9.0,2500.0,1200.0,50.0,154200.0,23000.0,22.0,22498.0,3500.0,13.0,14000.0,500.0,20000.0,9800.0,-1.0,-1.0,50.0,-1.0,-1.0,0.0,1500.0,3206.0,-1,-1.0,0.0,218.0,2800.0,20000.0,25000.0
1993,100.0,-1.0,-1.0,-1.0,19465.0,1300.0,100.0,129.0,-1.0,1000.0,484.0,1728.0,142.0,-1.0,33.0,0.0,1275.0,7000.0,3777.0,20000.0,580.0,7.0,2600.0,1500.0,60.0,179637.0,23000.0,-1.0,22391.0,7000.0,62.0,16500.0,290.0,21000.0,9900.0,-1.0,-1.0,52.0,-1.0,-1.0,-1.0,1783.0,3777.0,-1,-1.0,-1.0,200.0,2600.0,21000.0,28000.0
1994,132.0,-1.0,-1.0,-1.0,16409.0,1000.0,125.0,180.0,-1.0,725.0,489.0,2062.0,136.0,-1.0,34.0,0.0,980.0,10000.0,2502.0,33000.0,600.0,7.0,2586.0,1600.0,45.0,108812.0,23000.0,-1.0,22074.0,6000.0,54.0,20000.0,370.0,22000.0,9500.0,-1.0,-1.0,55.0,-1.0,-1.0,-1.0,2000.0,2502.0,-1,-1.0,-1.0,500.0,3700.0,22000.0,27500.0
1995,150.0,-1.0,-1.0,-1.0,18087.0,1200.0,150.0,674.0,-1.0,400.0,495.0,2000.0,100.0,-1.0,36.0,0.0,378.0,8000.0,1743.0,15000.0,831.0,7.0,2611.0,2000.0,40.0,110000.0,23000.0,-1.0,27334.0,5719.0,10.0,20000.0,410.0,23000.0,9692.0,-1.0,-1.0,65.0,-1.0,-1.0,-1.0,2500.0,1743.0,-1,-1.0,-1.0,1400.0,4600.0,23000.0,25000.0
1996,125.0,-1.0,-1.0,-1.0,18169.0,2000.0,200.0,68.0,-1.0,700.0,501.0,4200.0,128.0,-1.0,36.0,0.0,400.0,10712.0,1162.0,20000.0,1105.0,7.0,2700.0,1800.0,35.0,132247.0,23000.0,-1.0,28466.0,5788.0,12.0,20500.0,450.0,25000.0,9600.0,-1.0,-1.0,83.0,-1.0,-1.0,-1.0,3000.0,1162.0,-1,-1.0,-1.0,1000.0,7000.0,25000.0,19000.0
1997,100.0,-1.0,-1.0,-1.0,11747.0,2200.0,250.0,34.0,-1.0,700.0,507.0,2500.0,126.0,-1.0,37.0,0.0,544.0,12000.0,2540.0,10000.0,1115.0,8.0,2670.0,1668.0,34.0,149263.0,23000.0,-1.0,32040.0,5973.0,10.0,21000.0,350.0,26000.0,9691.0,-1.0,-1.0,85.0,150.0,41.0,-1.0,2723.0,2540.0,-1,-1.0,-1.0,300.0,6091.0,26000.0,21000.0
1998,113.0,-1.0,-1.0,-1.0,11343.0,3000.0,300.0,129.0,-1.0,1300.0,513.0,7100.0,125.0,-1.0,40.0,0.0,401.0,17000.0,3596.0,25000.0,1219.0,8.0,2678.0,1500.0,30.0,161179.0,23000.0,-1.0,32000.0,6500.0,10.0,21500.0,750.0,26750.0,9700.0,-1.0,-1.0,90.0,268.0,39.0,-1.0,2867.0,3596.0,-1,-1.0,-1.0,200.0,4800.0,26750.0,25000.0
1999,109.0,-1.0,-1.0,-1.0,8012.0,2990.0,400.0,41.0,-1.0,1000.0,519.0,7000.0,124.0,-1.0,50.0,0.0,400.0,25000.0,3072.0,13000.0,1316.0,9.0,2800.0,1999.0,28.0,173196.0,23000.0,-1.0,32000.0,6000.0,12.0,22000.0,590.0,27000.0,9689.0,-1.0,-1.0,90.0,400.0,12.0,-1.0,2573.0,3072.0,-1,-1.0,-1.0,164.0,4500.0,27000.0,23000.0
2000,90.0,-1.0,-1.0,-1.0,15051.0,3200.0,500.0,40.0,-1.0,500.0,525.0,2500.0,123.0,-1.0,40.0,0.0,572.0,15000.0,598.0,28000.0,1408.0,9.0,2500.0,2500.0,20.0,166692.0,23000.0,-1.0,32000.0,8000.0,13.0,22000.0,580.0,28000.0,9800.0,-1.0,-1.0,90.0,350.0,152.0,-1.0,2573.0,598.0,-1,-1.0,-1.0,177.0,5000.0,28000.0,20000.0
2001,103.0,-1.0,-1.0,-1.0,31400.0,3170.0,600.0,81.0,2000.0,500.0,532.0,1000.0,122.0,-1.0,40.0,0.0,609.0,20000.0,368.0,23000.0,1493.0,10.0,2564.0,2372.0,28.0,244943.0,23000.0,-1.0,32500.0,7172.0,12.0,22000.0,570.0,29000.0,9800.0,-1.0,-1.0,90.0,450.0,65.0,-1.0,2503.0,368.0,-1,-1.0,-1.0,160.0,5500.0,29000.0,11000.0
2002,101.0,-1.0,-1.0,-1.0,103300.0,3232.0,700.0,77.0,7600.0,600.0,539.0,2000.0,121.0,-1.0,40.0,0.0,641.0,31000.0,260.0,25000.0,1572.0,10.0,2550.0,2500.0,25.0,162362.0,23000.0,-1.0,32500.0,6617.0,11.0,22000.0,700.0,31000.0,9800.0,-1.0,-1.0,90.0,550.0,150.0,-1.0,2522.0,260.0,-1,1300.0,-1.0,200.0,8000.0,31000.0,13000.0
2003,99.0,10351.0,-1.0,-1.0,51800.0,3300.0,800.0,71.0,8000.0,500.0,545.0,4100.0,121.0,-1.0,47.0,0.0,672.0,33000.0,146.0,30000.0,1588.0,12.0,2574.0,2500.0,30.0,254737.0,23000.0,-1.0,38841.0,6398.0,11.0,22000.0,350.0,32000.0,9800.0,-1.0,-1.0,90.0,700.0,115.0,-1.0,2500.0,146.0,-1,1300.0,-1.0,229.0,9693.0,32000.0,12300.0
2004,97.0,11109.0,-1.0,-1.0,26000.0,3371.0,900.0,40.0,10400.0,400.0,553.0,9000.0,120.0,-1.0,49.0,0.0,601.0,40000.0,417.0,15000.0,1648.0,13.0,2533.0,2500.0,30.0,227099.0,23000.0,-1.0,41080.0,6000.0,11.0,22000.0,500.0,33000.0,9800.0,-1.0,61.0,90.0,1000.0,98.0,-1.0,2622.0,417.0,-1,1100.0,-1.0,215.0,11000.0,33000.0,11000.0
2005,95.0,7155.0,-1.0,-1.0,33300.0,3449.0,1000.0,40.0,8900.0,1200.0,560.0,10000.0,119.0,-1.0,52.0,0.0,500.0,27000.0,581.0,20000.0,1726.0,15.0,2575.0,2500.0,30.0,261170.0,23000.0,-1.0,51678.0,5500.0,13.0,22000.0,440.0,34000.0,9800.0,-1.0,77.0,90.0,1200.0,145.0,-1.0,2600.0,581.0,-1,1400.0,-1.0,241.0,4030.0,34000.0,9500.0
2006,94.0,7200.0,-1.0,700.0,39900.0,3563.0,1100.0,50.0,11349.0,1007.0,500.0,11186.0,118.0,-1.0,55.0,0.0,882.0,29000.0,1269.0,30000.0,1787.0,16.0,2550.0,3600.0,30.0,268776.0,23000.0,-1.0,51758.0,7500.0,13.0,22000.0,400.0,36000.0,9800.0,-1.0,26.0,90.0,1000.0,1652.0,-1.0,2700.0,1269.0,-1,1300.0,-1.0,250.0,4190.0,36000.0,8479.0
2007,83.0,8000.0,-1.0,600.0,26000.0,3654.0,1200.0,40.0,11000.0,1037.0,587.0,17000.0,129.0,-1.0,55.0,0.0,960.0,22000.0,2730.0,28089.0,1835.0,18.0,2600.0,2700.0,30.0,396517.0,23000.0,-1.0,49688.0,2857.0,13.0,22000.0,460.0,38000.0,9800.0,-1.0,33.0,90.0,1500.0,1958.0,-1.0,2750.0,2730.0,-1,1000.0,-1.0,280.0,2810.0,38000.0,8006.0
2008,82.0,7500.0,-1.0,716.0,27700.0,3743.0,1500.0,50.0,9714.0,1062.0,608.0,9000.0,114.0,-1.0,75.0,0.0,2000.0,29000.0,2091.0,29229.0,1879.0,20.0,2656.0,3600.0,30.0,397286.0,23000.0,-1.0,42327.0,7488.0,13.0,22000.0,550.0,40000.0,8100.0,-1.0,56.0,90.0,1400.0,2706.0,-1.0,2969.0,2091.0,-1,700.0,-1.0,300.0,7590.0,40000.0,8594.0
2009,84.0,4960.0,-1.0,758.0,30829.0,3831.0,1850.0,45.0,8000.0,1090.0,628.0,10379.0,111.0,-1.0,70.0,0.0,2500.0,32000.0,2940.0,29682.0,1921.0,19.0,2701.0,5000.0,30.0,392379.0,23760.0,-1.0,39672.0,7063.0,9.0,23181.0,470.0,42000.0,9897.0,-1.0,97.0,90.0,1800.0,2100.0,-1.0,3149.0,2940.0,-1,500.0,-1.0,289.0,11200.0,42000.0,9472.0
2010,81.0,6430.0,-1.0,798.0,41100.0,3920.0,2177.0,47.0,9317.0,1119.0,649.0,10200.0,108.0,-1.0,70.0,0.0,3353.0,35000.0,3322.0,30536.0,1963.0,18.0,2741.0,6000.0,33.0,419600.0,24722.0,-1.0,46395.0,15828.0,10.0,24412.0,500.0,44000.0,10023.0,-1.0,228.0,89.0,1200.0,2235.0,-1.0,3290.0,3322.0,-1,500.0,-1.0,308.0,7710.0,44000.0,13992.0
2011,50.0,828.0,-1.0,838.0,47587.0,4009.0,2495.0,45.0,10740.0,1147.0,669.0,11665.0,106.0,-1.0,65.0,0.0,5266.0,35191.0,1186.0,31377.0,2005.0,16.0,2782.0,13000.0,36.0,537277.0,25481.0,-1.0,52591.0,11157.0,11.0,25582.0,600.0,45555.0,10133.0,-1.0,467.0,89.0,1000.0,2287.0,-1.0,3489.0,1186.0,-1,2200.0,-1.0,305.0,11894.0,45555.0,14879.0
2012,97.0,669.0,-1.0,950.0,51503.0,4100.0,2800.0,48.0,10912.0,1600.0,800.0,12500.0,80.0,-1.0,73.0,0.0,2540.0,36000.0,892.0,44000.0,2100.0,15.0,2900.0,13000.0,40.0,537330.0,29500.0,-1.0,54081.0,4293.0,11.0,28000.0,800.0,47000.0,13000.0,-1.0,76.0,89.0,1150.0,2847.0,-1.0,3700.0,892.0,-1,2900.0,-1.0,303.0,6043.0,47000.0,11820.0
2013,100.0,416.0,-1.0,898.0,47666.0,4200.0,2800.0,43.0,11176.0,985.0,663.0,12500.0,80.0,-1.0,76.0,0.0,1478.0,36279.0,920.0,32698.0,2100.0,15.0,2852.0,12000.0,42.0,546173.0,26817.0,-1.0,65057.0,4397.0,11.0,27892.0,800.0,47200.0,10321.0,-1.0,176.0,89.0,1200.0,2756.0,-1.0,3700.0,920.0,-1,2800.0,-1.0,300.0,5605.0,47200.0,29443.0
2014,81.0,279.0,-1.0,900.0,27668.0,4293.0,2892.0,48.0,11440.0,986.0,659.0,13220.0,96.0,-1.0,78.0,0.0,1351.0,36500.0,949.0,32771.0,2000.0,15.0,2716.0,12000.0,40.0,584000.0,24521.0,-1.0,53546.0,4217.0,11.0,26558.0,800.0,48002.0,10312.0,-1.0,117.0,89.0,1297.0,2895.0,-1.0,3700.0,949.0,-1,2500.0,-1.0,297.0,29251.0,48002.0,27309.0
