,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Saudi Arabia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Gambia,Cameroon,Zambia,Cuba,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Thailand,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Nigeria,Kyrgyzstan,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Egypt,Ghana,Iraq,Angola,Swaziland,Turkey
1971,5000.0,1026.0,69703.0,28554.0,17500.0,12.0,251500.0,1356000.0,6640.0,-1.0,-1.0,1425.0,-1.0,235900.0,90570.0,3400.0,14729.0,17670.0,200.0,31900.0,6600.0,94784.0,760.0,91394.0,13300.0,12709.0,-1.0,1824.0,-1.0,2169.0,-1,65250.0,1390.0,32.0,448.0,-1.0,60.0,470399.0,4211026.0,-1.0,188200.0,125470.0,-1.0,-1.0,-1.0,3300.0,11064.0,4210000.0,40000.0,168080.0,1790.0,540.0,20.0,17900.0,143017.0,6000.0,20.0,24925.0,7418.0,-1.0,-1,2155.0,-1.0,-1.0,29000.0,1414968.0,78900.0,42000.0,31900.0,27243.0,169.0,25313.0,140.0,26415.0,3846460.0,257000.0,38900.0,-1.0,71656.0,-1.0,168800.0,100.0,11000.0,-1,2555000.0,218.0,5191.0,17000.0,20100.0,8032.0,623500.0,4332000.0,-1.0,6900.0,3500.0,59000.0,699.0,330.0,17600.0,126812.0,9000.0,-1.0,22889.0,27800.0,3023.0,899440.0,751.0,28160.0,56828.0,6490.0,835200.0
1972,3200.0,873.0,89100.0,28741.0,20000.0,24.0,269000.0,1209000.0,4400.0,-1.0,-1.0,1307.0,-1.0,258000.0,107476.0,2800.0,14484.0,18137.0,157.0,69100.0,4818.0,134826.0,1231.0,110250.0,14949.0,13409.0,-1.0,1824.0,-1.0,1775.0,-1,62500.0,1790.0,30.0,712.0,-1.0,20.0,440868.0,3916873.0,-1.0,246100.0,150280.0,-1.0,-1.0,-1.0,4600.0,11207.0,3916000.0,40000.0,167200.0,1295.0,220.0,30.0,31200.0,138000.0,6000.0,25.0,26860.0,5343.0,-1.0,-1,2112.0,-1.0,-1.0,30500.0,1403692.0,112000.0,38700.0,69100.0,30944.0,68.0,30875.0,180.0,32908.0,4892443.0,336000.0,39900.0,-1.0,71196.0,-1.0,172100.0,100.0,33000.0,-1,2364000.0,178.0,3337.0,17540.0,23100.0,7599.0,669784.0,4451000.0,-1.0,7300.0,3700.0,65000.0,666.0,0.0,27202.0,164818.0,11000.0,-1.0,22831.0,31000.0,1890.0,894840.0,1157.0,34800.0,30000.0,7059.0,869686.0
1973,2800.0,800.0,66025.0,29263.0,16839.0,18.0,248300.0,1432000.0,3800.0,-1.0,-1.0,1738.0,-1.0,236400.0,84146.0,2254.0,10695.0,22002.0,161.0,50700.0,5082.0,159908.0,1310.0,113445.0,21000.0,20216.0,-1.0,1800.0,-1.0,1900.0,-1,68000.0,1898.0,24.0,1346.0,-1.0,15.0,357589.0,5124800.0,-1.0,199000.0,127300.0,-1.0,-1.0,-1.0,3600.0,10667.0,5124000.0,31000.0,174680.0,1231.0,930.0,60.0,72850.0,144000.0,6000.0,100.0,15900.0,2921.0,-1.0,-1,2025.0,-1.0,-1.0,28000.0,1316962.0,87500.0,72000.0,50700.0,35542.0,7.0,17752.0,230.0,25259.0,4550415.0,344000.0,46300.0,-1.0,88802.0,-1.0,244000.0,100.0,55000.0,-1,2435000.0,178.0,2218.0,11617.0,26600.0,7749.0,595477.0,4675000.0,975.0,12540.0,7250.0,60000.0,599.0,-1.0,30710.0,177760.0,13200.0,-1.0,26389.0,28000.0,1002.0,862320.0,1060.0,30000.0,52300.0,8387.0,820523.0
1974,2800.0,581.0,70000.0,25211.0,19000.0,34.0,232700.0,1234000.0,4200.0,-1.0,-1.0,4156.0,-1.0,242300.0,123542.0,2182.0,14177.0,22962.0,65.0,49800.0,4576.0,199681.0,521.0,124347.0,25599.0,21975.0,-1.0,1800.0,-1.0,1900.0,-1,88000.0,2108.0,12.0,548.0,-1.0,5.0,395000.0,4922581.0,-1.0,249300.0,144270.0,-1.0,-1.0,-1.0,5600.0,9916.0,4922000.0,33000.0,110000.0,1475.0,1050.0,65.0,55500.0,159000.0,6000.0,170.0,22700.0,1233.0,-1.0,-1,1267.0,-1.0,-1.0,19400.0,1268398.0,102700.0,96700.0,49800.0,40993.0,-1.0,35236.0,130.0,24834.0,4091291.0,400000.0,38500.0,-1.0,50082.0,-1.0,237500.0,60.0,56000.0,-1,2620000.0,158.0,5057.0,11300.0,30100.0,6146.0,826373.0,5129000.0,2600.0,26500.0,9100.0,84000.0,666.0,-1.0,33971.0,234232.0,13300.0,-1.0,61143.0,29000.0,800.0,753000.0,1149.0,26500.0,69000.0,11700.0,957419.0
1975,2394.0,160.0,77900.0,28615.0,32000.0,436.0,272765.0,1101000.0,3600.0,-1.0,-1.0,3431.0,-1.0,239000.0,110572.0,1634.0,14469.0,17820.0,155.0,53800.0,4078.0,177326.0,629.0,125100.0,18400.0,20283.0,-1.0,1800.0,-1.0,1900.0,-1,105000.0,4134.0,16.0,392.0,-1.0,15.0,418340.0,4762160.0,-1.0,235100.0,82250.0,-1.0,-1.0,-1.0,7000.0,10639.0,4762000.0,42600.0,70180.0,1010.0,380.0,85.0,40890.0,167800.0,6000.0,200.0,29100.0,1648.0,-1.0,-1,1786.0,-1.0,-1.0,14000.0,1027736.0,87600.0,106700.0,53800.0,51630.0,-1.0,17967.0,190.0,21034.0,2919305.0,263000.0,35700.0,-1.0,92971.0,-1.0,314000.0,60.0,65000.0,-1,2356000.0,118.0,6968.0,9900.0,30050.0,3729.0,320335.0,4827000.0,1950.0,19000.0,8900.0,82000.0,1465.0,-1.0,35510.0,197119.0,13500.0,-1.0,63088.0,21000.0,2000.0,652000.0,5223.0,25600.0,26000.0,13600.0,768000.0
1976,1900.0,123.0,56100.0,24836.0,34800.0,870.0,253900.0,795000.0,4548.0,-1.0,-1.0,1764.0,-1.0,215400.0,92375.0,1402.0,14544.0,16640.0,117.0,40600.0,3340.0,162952.0,417.0,97870.0,27100.0,22925.0,-1.0,1800.0,-1.0,1900.0,-1,86000.0,5288.0,16.0,390.0,-1.0,15.0,204000.0,4110123.0,-1.0,235000.0,125000.0,-1.0,-1.0,-1.0,6300.0,10400.0,4110000.0,68000.0,54340.0,1010.0,3450.0,95.0,21000.0,103600.0,6000.0,450.0,28000.0,2446.0,-1.0,-1,2109.0,-1.0,-1.0,14200.0,869200.0,80600.0,106000.0,40600.0,34595.0,13.0,16773.0,165.0,2208.0,3739412.0,286000.0,34500.0,-1.0,111077.0,-1.0,259400.0,1300.0,68000.0,-1,2180000.0,48.0,4570.0,15000.0,39540.0,3867.0,348928.0,5050000.0,65.0,16000.0,5600.0,87000.0,1498.0,-1.0,37396.0,176888.0,13800.0,-1.0,23068.0,25000.0,2100.0,677000.0,4600.0,22000.0,26000.0,12158.0,759723.0
1977,3200.0,134.0,34050.0,21290.0,24000.0,1306.0,244776.0,1216000.0,4850.0,-1.0,-1.0,1042.0,-1.0,250200.0,93566.0,1752.0,18327.0,9392.0,161.0,46600.0,1920.0,226684.0,44.0,113431.0,22300.0,24469.0,-1.0,2200.0,-1.0,1900.0,-1,73000.0,4386.0,15.0,330.0,-1.0,15.0,297000.0,4099134.0,-1.0,276600.0,109725.0,-1.0,-1.0,-1.0,4600.0,13640.0,4099000.0,70000.0,30360.0,920.0,14044.0,60.0,25940.0,109200.0,6000.0,700.0,24000.0,5031.0,-1.0,-1,2652.0,-1.0,-1.0,10500.0,1148900.0,83700.0,91000.0,46600.0,33592.0,13.0,56725.0,150.0,8717.0,5008904.0,300000.0,32500.0,-1.0,156614.0,-1.0,300000.0,3330.0,143000.0,-1,2503000.0,0.0,2466.0,11000.0,41235.0,3594.0,658733.0,5342000.0,325.0,16000.0,11650.0,108000.0,1925.0,-1.0,42710.0,190992.0,14600.0,-1.0,54341.0,17700.0,2200.0,689551.0,4200.0,17350.0,24000.0,9700.0,919800.0
1978,3873.0,203.0,48300.0,27802.0,37000.0,1742.0,233000.0,1005000.0,2470.0,-1.0,-1.0,602.0,-1.0,266500.0,107966.0,2362.0,20616.0,12496.0,-1.0,72100.0,1060.0,248568.0,67.0,134050.0,20300.0,21837.0,-1.0,3000.0,-1.0,1900.0,-1,80000.0,6406.0,15.0,340.0,-1.0,18.0,348000.0,4335203.0,-1.0,186200.0,108700.0,-1.0,-1.0,-1.0,2700.0,17945.0,4335000.0,75000.0,44440.0,620.0,5444.0,36.0,30640.0,125100.0,6000.0,500.0,35000.0,6426.0,-1.0,-1,2040.0,-1.0,-1.0,12200.0,946400.0,57500.0,88000.0,72100.0,31162.0,20.0,46511.0,160.0,10595.0,3872933.0,239000.0,30000.0,-1.0,75239.0,-1.0,414200.0,2330.0,178000.0,-1,2748000.0,-1.0,2880.0,7400.0,36000.0,3795.0,575807.0,5184000.0,650.0,16000.0,20350.0,132600.0,2005.0,-1.0,58272.0,201300.0,15000.0,-1.0,79851.0,20200.0,2200.0,742000.0,4600.0,9035.0,26000.0,14900.0,760000.0
1979,3544.0,110.0,26000.0,34622.0,47000.0,5226.0,215378.0,1047000.0,5020.0,-1.0,-1.0,3465.0,-1.0,209600.0,94392.0,2202.0,23195.0,11072.0,-1.0,78500.0,940.0,267844.0,40.0,119224.0,17000.0,18840.0,-1.0,3400.0,-1.0,1900.0,-1,53000.0,7600.0,17.0,185.0,-1.0,6.0,259000.0,4414110.0,-1.0,160900.0,117800.0,-1.0,-1.0,-1.0,8200.0,18214.0,4414000.0,95000.0,13420.0,600.0,7476.0,9.0,24705.0,154900.0,6000.0,550.0,49000.0,9397.0,-1.0,-1,2700.0,-1.0,-1.0,16800.0,1456400.0,72800.0,70000.0,78500.0,27167.0,17.0,89193.0,100.0,11661.0,5241958.0,166000.0,12000.0,-1.0,70309.0,-1.0,329600.0,240.0,145000.0,-1,2659000.0,-1.0,1812.0,9700.0,36000.0,5153.0,553045.0,5588000.0,780.0,15200.0,15150.0,124100.0,1485.0,-1.0,65285.0,186490.0,15000.0,-1.0,88234.0,23200.0,2700.0,791962.0,4500.0,11000.0,24000.0,10700.0,761931.0
1980,3537.0,149.0,42000.0,33132.0,38000.0,9144.0,205557.0,1072000.0,9800.0,-1.0,-1.0,9338.0,-1.0,233100.0,102396.0,3477.0,15465.0,6600.0,-1.0,135800.0,423.0,250897.0,40.0,109093.0,12500.0,14344.0,-1.0,2400.0,-1.0,1900.0,-1,49000.0,3186.0,17.0,45.0,-1.0,3.0,216000.0,5414149.0,-1.0,216000.0,113475.0,1900.0,-1.0,-1.0,12000.0,25165.0,5414000.0,65000.0,9020.0,730.0,7600.0,13.0,12000.0,162800.0,6000.0,850.0,51200.0,9450.0,-1.0,-1,3800.0,-1.0,-1.0,10400.0,1429000.0,99000.0,43300.0,135800.0,28647.0,10.0,120356.0,32.0,7821.0,4056020.0,115000.0,18500.0,-1.0,55075.0,-1.0,275863.0,200.0,145500.0,-1,2624000.0,-1.0,1692.0,11000.0,54000.0,4850.0,572323.0,5550000.0,130.0,23800.0,14900.0,129000.0,1405.0,-1.0,79849.0,33534.0,10400.0,-1.0,102477.0,19400.0,2700.0,857531.0,4200.0,9900.0,2000.0,15400.0,800000.0
1981,4183.0,84.0,48000.0,49343.0,35000.0,10450.0,224880.0,1107000.0,10086.0,-1.0,-1.0,10336.0,-1.0,252100.0,110886.0,19573.0,21739.0,13200.0,-1.0,161400.0,580.0,188700.0,40.0,68384.0,25000.0,17366.0,-1.0,3400.0,-1.0,1900.0,-1,41000.0,3800.0,17.0,8.0,-1.0,21.0,182000.0,5936084.0,-1.0,200000.0,85196.0,2600.0,-1.0,-1.0,15700.0,16821.0,5936000.0,58000.0,11220.0,160.0,9472.0,23.0,11500.0,179000.0,6600.0,1600.0,49100.0,10822.0,-1.0,-1,4500.0,-1.0,-1.0,9000.0,1496000.0,113600.0,40000.0,161400.0,13731.0,7.0,109833.0,12.0,8476.0,5803260.0,139000.0,13000.0,-1.0,52465.0,-1.0,149728.0,400.0,217000.0,-1,2721000.0,-1.0,1060.0,12200.0,54000.0,2800.0,507545.0,5879000.0,260.0,25180.0,10219.0,156700.0,1538.0,-1.0,76170.0,111130.0,13600.0,-1.0,89372.0,15800.0,2000.0,803000.0,3300.0,8800.0,4000.0,16500.0,780800.0
1982,3592.0,68.0,36000.0,63581.0,46000.0,9144.0,253000.0,1238000.0,10300.0,-1.0,-1.0,12987.0,-1.0,200000.0,87676.0,20519.0,14800.0,14160.0,-1.0,219100.0,570.0,115400.0,40.0,63186.0,27000.0,15564.0,-1.0,3200.0,-1.0,1900.0,-1,63600.0,3070.0,18.0,7.0,-1.0,14.0,289000.0,7196068.0,-1.0,84000.0,82051.0,3000.0,-1.0,-1.0,11000.0,16076.0,7196000.0,77000.0,11220.0,100.0,3130.0,12.0,7526.0,161400.0,7000.0,1400.0,43800.0,8055.0,-1.0,-1,4200.0,-1.0,-1.0,18000.0,1647800.0,84000.0,30000.0,219100.0,9840.0,3.0,76255.0,8.0,13355.0,4303680.0,201000.0,45000.0,-1.0,40912.0,-1.0,268296.0,400.0,160000.0,-1,2600000.0,-1.0,1210.0,13300.0,54000.0,2200.0,288996.0,5663000.0,390.0,15100.0,11000.0,144300.0,2311.0,-1.0,75825.0,94800.0,13800.0,-1.0,57467.0,25000.0,3300.0,738000.0,2400.0,9400.0,8000.0,9500.0,782400.0
