,Ukraine,Germany,Sweden,China,Czechoslovakia,Bhutan,Serbia,USSR,Mexico,Romania,Italy,Sri Lanka,Nepal,Ethiopia,Denmark,Canada,Australia,Czechia,Hungary,Kazakhstan,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),France,Lithuania,"China, mainland",Russian Federation,Kyrgyzstan,Slovakia,Myanmar,Turkey
1971,-1.0,10616.0,15534.0,-1.0,10498.0,6222.0,-1.0,2548.0,-1.0,4571.0,10224.0,7774.0,5204.0,-1.0,11500.0,10084.0,5488.0,-1.0,-1.0,-1.0,6000.0,5488.0,9522.0,-1.0,11200.0,-1.0,-1.0,-1.0,-1.0,-1.0,4525.0,-1.0
1972,-1.0,12726.0,11394.0,-1.0,10582.0,6222.0,-1.0,803.0,-1.0,3800.0,10504.0,5716.0,5159.0,-1.0,10249.0,9434.0,7407.0,-1.0,-1.0,-1.0,8750.0,7407.0,9510.0,-1.0,10345.0,-1.0,-1.0,-1.0,-1.0,-1.0,4226.0,-1.0
1973,-1.0,12698.0,14007.0,-1.0,10551.0,6304.0,-1.0,5325.0,-1.0,4773.0,14238.0,6156.0,5307.0,-1.0,13349.0,8766.0,8780.0,-1.0,-1.0,-1.0,7143.0,8780.0,9500.0,-1.0,11600.0,-1.0,-1.0,-1.0,-1.0,-1.0,4709.0,-1.0
1974,-1.0,14593.0,12591.0,-1.0,10505.0,6383.0,-1.0,4747.0,-1.0,6034.0,11224.0,5620.0,5585.0,-1.0,17774.0,8326.0,5298.0,-1.0,-1.0,-1.0,6000.0,5298.0,9512.0,-1.0,14727.0,-1.0,-1.0,-1.0,-1.0,-1.0,4351.0,-1.0
1975,-1.0,12118.0,10800.0,-1.0,8448.0,6458.0,-1.0,625.0,-1.0,6034.0,11055.0,4495.0,5879.0,-1.0,10979.0,7599.0,1674.0,-1.0,-1.0,-1.0,7500.0,1674.0,9479.0,-1.0,10068.0,-1.0,-1.0,-1.0,-1.0,-1.0,4195.0,-1.0
1976,-1.0,10287.0,20000.0,-1.0,6459.0,6400.0,-1.0,4206.0,-1.0,5000.0,11333.0,4998.0,6061.0,-1.0,12745.0,10023.0,6369.0,-1.0,-1.0,-1.0,7500.0,6369.0,9524.0,-1.0,7133.0,-1.0,-1.0,-1.0,-1.0,-1.0,4382.0,-1.0
1977,-1.0,11877.0,17784.0,-1.0,9366.0,6471.0,-1.0,2397.0,-1.0,8065.0,8000.0,5398.0,5697.0,-1.0,13108.0,10777.0,3970.0,-1.0,-1.0,-1.0,8750.0,3970.0,9518.0,-1.0,10922.0,-1.0,-1.0,-1.0,-1.0,-1.0,5313.0,-1.0
1978,-1.0,16580.0,9333.0,-1.0,10932.0,6538.0,-1.0,4465.0,-1.0,8333.0,11570.0,7552.0,5896.0,-1.0,12759.0,10560.0,5415.0,-1.0,-1.0,-1.0,7500.0,5415.0,9506.0,-1.0,14274.0,-1.0,-1.0,-1.0,-1.0,-1.0,4658.0,-1.0
1979,-1.0,15487.0,23529.0,-1.0,8573.0,6481.0,-1.0,2351.0,-1.0,6458.0,11310.0,5752.0,6425.0,-1.0,13358.0,7796.0,6855.0,-1.0,-1.0,-1.0,6667.0,6855.0,9487.0,-1.0,15714.0,-1.0,-1.0,-1.0,-1.0,-1.0,4565.0,-1.0
1980,-1.0,11927.0,17866.0,-1.0,8950.0,6429.0,-1.0,2336.0,40000.0,8485.0,11268.0,6105.0,5237.0,-1.0,15262.0,9784.0,2874.0,-1.0,-1.0,-1.0,8333.0,2874.0,9471.0,-1.0,18750.0,-1.0,-1.0,-1.0,-1.0,-1.0,4584.0,-1.0
1981,-1.0,12128.0,20000.0,-1.0,9551.0,6552.0,-1.0,1724.0,96000.0,7500.0,10000.0,5000.0,6308.0,-1.0,9941.0,11027.0,5271.0,-1.0,-1.0,-1.0,3333.0,5271.0,9520.0,-1.0,17647.0,-1.0,-1.0,-1.0,-1.0,-1.0,4766.0,5000.0
1982,-1.0,16160.0,17000.0,-1.0,8617.0,6504.0,-1.0,3588.0,-1.0,9333.0,5000.0,4848.0,6946.0,-1.0,11037.0,12047.0,5301.0,-1.0,-1.0,-1.0,6667.0,5301.0,9495.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4593.0,5000.0
1983,-1.0,11124.0,7143.0,-1.0,7075.0,6571.0,-1.0,3540.0,-1.0,5625.0,6667.0,5921.0,6307.0,-1.0,11860.0,9085.0,3299.0,-1.0,-1.0,-1.0,5000.0,3299.0,9482.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4830.0,5000.0
1984,-1.0,12231.0,16250.0,-1.0,10691.0,7054.0,-1.0,1381.0,-1.0,6250.0,10000.0,4930.0,6626.0,-1.0,13333.0,8000.0,8050.0,-1.0,-1.0,-1.0,8571.0,8050.0,9470.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5105.0,5000.0
1985,-1.0,16218.0,14444.0,-1.0,9281.0,6458.0,-1.0,3509.0,67778.0,6250.0,11111.0,6306.0,6574.0,-1.0,14780.0,9119.0,12985.0,-1.0,-1.0,-1.0,-1.0,12985.0,9537.0,14744.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5034.0,5000.0
1986,-1.0,13841.0,13333.0,-1.0,7772.0,6000.0,-1.0,1847.0,250000.0,6250.0,10000.0,7291.0,5684.0,-1.0,-1.0,12325.0,12217.0,-1.0,-1.0,-1.0,5000.0,12217.0,9524.0,11310.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4714.0,7000.0
1987,-1.0,12744.0,-1.0,-1.0,7151.0,4545.0,-1.0,1686.0,82500.0,6250.0,10000.0,7127.0,5774.0,-1.0,11280.0,11658.0,5683.0,-1.0,-1.0,-1.0,7500.0,5683.0,9470.0,11200.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5068.0,8000.0
1988,-1.0,14114.0,-1.0,5000.0,11125.0,3180.0,-1.0,2118.0,149615.0,9000.0,5556.0,8045.0,6229.0,-1.0,-1.0,7003.0,6803.0,-1.0,-1.0,-1.0,7143.0,6803.0,9500.0,-1.0,16000.0,-1.0,5000.0,-1.0,-1.0,-1.0,5007.0,5556.0
1989,-1.0,15016.0,-1.0,4444.0,13482.0,3284.0,-1.0,6484.0,6190.0,7273.0,5000.0,9043.0,6405.0,-1.0,-1.0,7744.0,8700.0,-1.0,-1.0,-1.0,7600.0,8700.0,9543.0,-1.0,16000.0,-1.0,4444.0,-1.0,-1.0,-1.0,5160.0,-1.0
1990,-1.0,14000.0,-1.0,4706.0,14181.0,2955.0,-1.0,7962.0,5455.0,7500.0,8333.0,7619.0,6382.0,-1.0,10000.0,10815.0,8225.0,-1.0,14634.0,-1.0,8000.0,8225.0,9516.0,-1.0,12324.0,-1.0,4706.0,-1.0,-1.0,-1.0,5000.0,-1.0
1991,-1.0,14000.0,-1.0,5000.0,13102.0,3078.0,-1.0,4167.0,5926.0,7692.0,12000.0,7532.0,5895.0,-1.0,10000.0,10728.0,8027.0,-1.0,14688.0,-1.0,6250.0,8027.0,10374.0,-1.0,11488.0,-1.0,5000.0,-1.0,-1.0,-1.0,5181.0,-1.0
1992,-1.0,14000.0,-1.0,4706.0,9231.0,3233.0,-1.0,-1.0,11935.0,9286.0,10000.0,7339.0,5683.0,-1.0,-1.0,12096.0,6728.0,-1.0,13158.0,4597.0,6667.0,6728.0,10985.0,-1.0,10991.0,4000.0,4706.0,3878.0,7054.0,-1.0,4353.0,-1.0
1993,-1.0,14001.0,-1.0,5714.0,-1.0,3393.0,-1.0,-1.0,-1.0,6989.0,8000.0,5926.0,5670.0,-1.0,10000.0,11595.0,6203.0,9875.0,14286.0,4536.0,8000.0,6203.0,8458.0,-1.0,11757.0,5378.0,5714.0,7461.0,6667.0,7333.0,4554.0,-1.0
1994,-1.0,14000.0,-1.0,3333.0,-1.0,3576.0,-1.0,-1.0,45000.0,5357.0,-1.0,6596.0,6059.0,6250.0,10000.0,9867.0,-1.0,9167.0,14286.0,3838.0,5714.0,-1.0,10886.0,-1.0,11628.0,5429.0,3333.0,4265.0,8667.0,7102.0,4648.0,-1.0
1995,-1.0,14006.0,-1.0,6667.0,-1.0,3768.0,-1.0,-1.0,10000.0,7837.0,-1.0,6353.0,6305.0,6000.0,10129.0,9360.0,-1.0,9369.0,13889.0,1529.0,6304.0,-1.0,9326.0,-1.0,13376.0,5483.0,6667.0,1892.0,4167.0,6800.0,4557.0,-1.0
1996,-1.0,14000.0,-1.0,8000.0,-1.0,3877.0,-1.0,-1.0,11667.0,5651.0,-1.0,6307.0,6270.0,6075.0,9833.0,9906.0,-1.0,9413.0,14063.0,1311.0,6250.0,-1.0,8792.0,-1.0,15068.0,12500.0,8000.0,2145.0,3333.0,8595.0,4663.0,-1.0
1997,5000.0,14001.0,-1.0,4667.0,-1.0,4087.0,-1.0,-1.0,25625.0,5685.0,-1.0,7446.0,6548.0,6062.0,9474.0,8330.0,-1.0,9722.0,13978.0,1948.0,5714.0,-1.0,9148.0,-1.0,14612.0,4000.0,4667.0,4979.0,3000.0,7260.0,4590.0,-1.0
1998,5333.0,14000.0,-1.0,6061.0,-1.0,4327.0,-1.0,-1.0,25000.0,6742.0,-1.0,7569.0,6150.0,6056.0,9545.0,8549.0,-1.0,9811.0,13953.0,9836.0,6044.0,-1.0,9584.0,-1.0,11740.0,5164.0,6061.0,5563.0,3438.0,8382.0,4796.0,-1.0
1999,5172.0,14000.0,-1.0,5000.0,-1.0,4574.0,-1.0,-1.0,23030.0,7558.0,-1.0,7667.0,6287.0,6055.0,9571.0,11223.0,-1.0,11397.0,13333.0,3162.0,6154.0,-1.0,9160.0,-1.0,12524.0,5139.0,5000.0,4824.0,4739.0,7907.0,4587.0,-1.0
2000,4444.0,14000.0,-1.0,6250.0,-1.0,3392.0,-1.0,-1.0,23000.0,3636.0,-1.0,8333.0,6473.0,6059.0,9554.0,9726.0,-1.0,9127.0,13913.0,1680.0,4000.0,-1.0,9581.0,-1.0,13646.0,4193.0,6250.0,3678.0,5021.0,6779.0,5175.0,-1.0
2001,5467.0,14001.0,-1.0,4333.0,-1.0,3571.0,-1.0,-1.0,23750.0,5459.0,-1.0,8421.0,7022.0,6068.0,9512.0,6641.0,-1.0,8949.0,13953.0,6024.0,6667.0,-1.0,10424.0,-1.0,12951.0,4219.0,4333.0,5281.0,5764.0,6739.0,5838.0,-1.0
2002,5314.0,14001.0,-1.0,5200.0,-1.0,3875.0,-1.0,-1.0,23750.0,4794.0,-1.0,7692.0,7185.0,6081.0,9463.0,6056.0,-1.0,8999.0,13953.0,4489.0,6000.0,-1.0,7339.0,-1.0,15402.0,4180.0,5200.0,5214.0,6023.0,7407.0,6089.0,-1.0
2003,5127.0,14000.0,-1.0,6312.0,-1.0,10143.0,-1.0,-1.0,333333.0,5151.0,-1.0,7778.0,6691.0,6095.0,9414.0,6900.0,-1.0,8834.0,6124.0,3872.0,5468.0,-1.0,8105.0,-1.0,12592.0,4000.0,6312.0,7055.0,6783.0,5134.0,6158.0,-1.0
2004,8182.0,14000.0,-1.0,6636.0,-1.0,9709.0,-1.0,-1.0,580000.0,8366.0,-1.0,8636.0,7115.0,6108.0,9365.0,10077.0,-1.0,10471.0,12623.0,2644.0,5240.0,-1.0,9184.0,-1.0,18071.0,4167.0,6636.0,5921.0,7034.0,8147.0,6125.0,-1.0
2005,5756.0,14000.0,-1.0,8000.0,-1.0,7758.0,-1.0,-1.0,680000.0,4547.0,-1.0,7209.0,7560.0,6124.0,9316.0,9777.0,-1.0,9488.0,11198.0,3659.0,8000.0,-1.0,8824.0,-1.0,17135.0,4615.0,8000.0,6497.0,7098.0,6285.0,6358.0,-1.0
2006,5060.0,14001.0,-1.0,7895.0,-1.0,6979.0,8400.0,-1.0,300000.0,7567.0,-1.0,6757.0,7408.0,6140.0,9267.0,8355.0,4736.0,7580.0,8249.0,3029.0,3594.0,4736.0,8069.0,-1.0,14375.0,4167.0,7895.0,7602.0,7671.0,5653.0,7214.0,-1.0
2007,3322.0,14000.0,-1.0,7500.0,-1.0,5848.0,7143.0,-1.0,167391.0,3262.0,-1.0,7647.0,7364.0,6156.0,9217.0,6627.0,4736.0,5997.0,7002.0,4727.0,3333.0,4736.0,6818.0,-1.0,16667.0,4167.0,7500.0,4289.0,8850.0,5428.0,7627.0,-1.0
2008,7080.0,14000.0,-1.0,7391.0,-1.0,6326.0,13846.0,-1.0,150000.0,8509.0,-1.0,7381.0,7447.0,6172.0,9168.0,8651.0,4736.0,8874.0,9410.0,4067.0,4086.0,4736.0,6467.0,-1.0,18421.0,4167.0,7391.0,5662.0,8904.0,7599.0,7207.0,-1.0
2009,6809.0,13999.0,-1.0,7500.0,-1.0,7724.0,8421.0,-1.0,20000.0,6295.0,-1.0,8333.0,7471.0,6186.0,9119.0,9995.0,4736.0,9249.0,7634.0,4614.0,4083.0,4736.0,11112.0,-1.0,19792.0,4167.0,7500.0,4663.0,10561.0,6742.0,8624.0,-1.0
2010,6053.0,14006.0,-1.0,7578.0,-1.0,10597.0,7692.0,-1.0,19000.0,7527.0,-1.0,11053.0,7810.0,6198.0,9070.0,10016.0,4736.0,5812.0,7197.0,1054.0,3333.0,4736.0,9753.0,-1.0,17542.0,4167.0,7578.0,4784.0,11938.0,3941.0,8667.0,-1.0
2011,6461.0,13983.0,-1.0,7786.0,-1.0,21270.0,8000.0,-1.0,28182.0,10395.0,-1.0,7200.0,8244.0,6207.0,9021.0,10133.0,4736.0,9289.0,6919.0,590.0,3459.0,4736.0,8050.0,-1.0,19888.0,4167.0,7786.0,7951.0,6800.0,6468.0,8562.0,-1.0
2012,6281.0,13125.0,-1.0,7909.0,-1.0,7268.0,8065.0,-1.0,10000.0,7001.0,-1.0,6818.0,8443.0,6250.0,8972.0,8805.0,4736.0,9125.0,6383.0,1367.0,2857.0,4736.0,7041.0,-1.0,20916.0,4167.0,7909.0,5356.0,6136.0,4535.0,8150.0,-1.0
2013,5580.0,13125.0,-1.0,8060.0,-1.0,11115.0,8065.0,-1.0,13333.0,9103.0,-1.0,7400.0,8462.0,6250.0,8923.0,10604.0,4736.0,8122.0,8624.0,3614.0,2778.0,4736.0,9487.0,-1.0,21750.0,4167.0,8060.0,4592.0,5231.0,6335.0,8264.0,-1.0
2014,8249.0,13207.0,-1.0,8210.0,-1.0,10676.0,8333.0,-1.0,12500.0,9617.0,-1.0,6684.0,8788.0,6206.0,8874.0,10133.0,4736.0,10750.0,9290.0,4138.0,2973.0,4736.0,10420.0,-1.0,22586.0,4167.0,8210.0,5962.0,4865.0,7284.0,8267.0,-1.0
