,Burundi,"China, Taiwan Province of",Mozambique,Belize,Myanmar,Zambia,Philippines,Viet Nam,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Liberia,Zimbabwe,Malawi,Melanesia,Papua New Guinea,New Caledonia,Rwanda,Guatemala,French Polynesia,Mauritius,Madagascar,Saint Lucia,Vanuatu,Uganda,Guinea,Saudi Arabia,Dominica,Fiji,Cabo Verde,Equatorial Guinea,Sri Lanka,Comoros,Central African Republic,China,Colombia,United Republic of Tanzania,Saint Vincent and the Grenadines,Brazil,Kenya,"China, mainland",Nicaragua,Haiti,Costa Rica,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Cuba,Dominican Republic,El Salvador,Benin,Cook Islands,Martinique,Spain,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Guyana,Tonga,United States of America,Democratic Republic of the Congo,Togo,Nigeria,Suriname,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Ethiopia PDR,Congo,Gabon,Ecuador,Honduras,Puerto Rico,Mexico,Côte d'Ivoire,Jamaica,Trinidad and Tobago,Polynesia,Panama,Sierra Leone,Samoa,Thailand,Ghana,Angola
1971,25051.0,34.0,1000.0,-1.0,917.0,10.0,49500.0,6500.0,2800.0,-1.0,-1.0,180916.0,5521.0,745.0,153.0,28100.0,26967.0,1000.0,15245.0,128386.0,110.0,-1.0,57710.0,24.0,120.0,175500.0,12500.0,120.0,-1.0,13.0,185.0,6900.0,8358.0,120.0,6065.0,3934.0,468000.0,49700.0,90.0,1551462.0,59500.0,3900.0,42013.0,32400.0,89350.0,12400.0,70587.0,4823.0,94790.0,3960.0,25987.0,45000.0,144624.0,2229.0,10.0,600.0,6.0,70.0,58385.0,761.0,-1.0,1063.0,74600.0,6459.0,3600.0,200.0,600.0,5275.0,5810.0,110231.0,270.0,182200.0,1286.0,600.0,62252.0,40927.0,10886.0,187495.0,239706.0,1358.0,3894.0,270.0,5307.0,9527.0,150.0,1140.0,7322.0,228000.0
1972,19403.0,29.0,1000.0,-1.0,957.0,7.0,51600.0,7000.0,2300.0,-1.0,-1.0,178735.0,5594.0,1255.0,186.0,30248.0,29015.0,1100.0,10602.0,142682.0,110.0,-1.0,68585.0,24.0,120.0,183700.0,13000.0,243.0,-1.0,13.0,76.0,6900.0,6806.0,120.0,8359.0,5029.0,432000.0,52126.0,90.0,1495705.0,62048.0,5000.0,35073.0,31500.0,78787.0,13000.0,70195.0,4313.0,96165.0,4200.0,25391.0,45300.0,147476.0,2724.0,10.0,600.0,-1.0,143.0,40406.0,762.0,-1.0,1321.0,79200.0,6806.0,4171.0,98.0,470.0,4701.0,7660.0,68948.0,220.0,163500.0,1021.0,900.0,71385.0,42399.0,12247.0,203462.0,268836.0,1040.0,3300.0,160.0,4944.0,7297.0,40.0,1657.0,7550.0,225000.0
1973,21395.0,17.0,1000.0,-1.0,1026.0,12.0,50910.0,6600.0,1800.0,-1.0,-1.0,150163.0,6935.0,1553.0,187.0,36431.0,34798.0,1500.0,14160.0,145642.0,120.0,-1.0,73880.0,24.0,120.0,212600.0,13673.0,120.0,-1.0,13.0,8.0,6300.0,7032.0,120.0,10001.0,6017.0,528000.0,54997.0,90.0,872897.0,71190.0,6000.0,36694.0,33000.0,95721.0,13400.0,70396.0,4313.0,93913.0,4920.0,21028.0,58682.0,126500.0,1341.0,10.0,600.0,6.0,61.0,65926.0,746.0,-1.0,1103.0,77700.0,6756.0,2300.0,89.0,124.0,5355.0,6930.0,91072.0,180.0,180080.0,1035.0,540.0,74980.0,41778.0,13698.0,221718.0,301804.0,1146.0,2717.0,170.0,4318.0,11971.0,40.0,2240.0,3910.0,210000.0
1974,28140.0,68.0,1000.0,-1.0,956.0,13.0,53031.0,6000.0,2070.0,-1.0,-1.0,149811.0,3424.0,2581.0,625.0,34944.0,34084.0,727.0,14062.0,157437.0,130.0,-1.0,80900.0,23.0,120.0,199100.0,13809.0,140.0,-1.0,13.0,71.0,6600.0,8624.0,120.0,13200.0,6068.0,470000.0,59454.0,100.0,1615309.0,70103.0,6000.0,40972.0,31200.0,84287.0,13870.0,69855.0,4313.0,104442.0,5880.0,28795.0,54311.0,159436.0,161.0,10.0,600.0,6.0,93.0,45878.0,900.0,-1.0,559.0,77100.0,7694.0,2400.0,91.0,100.0,4500.0,8480.0,86388.0,120.0,153400.0,1292.0,600.0,69638.0,45342.0,10478.0,220767.0,195935.0,1486.0,1940.0,180.0,4504.0,3188.0,40.0,4020.0,2455.0,224772.0
1975,16924.0,66.0,1000.0,-1.0,1024.0,25.0,91444.0,6800.0,1800.0,-1.0,-1.0,170372.0,4150.0,3415.0,788.0,38520.0,36945.0,1500.0,18045.0,139091.0,160.0,-1.0,83560.0,22.0,60.0,199000.0,13949.0,160.0,-1.0,15.0,103.0,5400.0,8838.0,60.0,14300.0,4066.0,513200.0,62291.0,100.0,1272298.0,66152.0,4000.0,49137.0,39000.0,80248.0,14900.0,65387.0,3810.0,92488.0,6240.0,20112.0,51855.0,161415.0,477.0,10.0,0.0,8.0,28.0,64611.0,900.0,-1.0,675.0,82500.0,10800.0,3000.0,88.0,100.0,4500.0,8340.0,92506.0,100.0,171000.0,1050.0,259.0,76437.0,46814.0,11430.0,228264.0,270400.0,1186.0,4024.0,190.0,4801.0,7416.0,20.0,5816.0,4000.0,180000.0
1976,21428.0,9.0,1000.0,-1.0,923.0,37.0,80800.0,9700.0,2780.0,-1.0,-1.0,193377.0,4238.0,4639.0,880.0,41041.0,39466.0,1500.0,20334.0,158433.0,102.0,-1.0,78930.0,21.0,60.0,137100.0,13975.0,180.0,-1.0,15.0,168.0,5400.0,8876.0,60.0,13900.0,4009.0,483000.0,43278.0,100.0,375985.0,80303.0,4000.0,56580.0,32280.0,81784.0,14664.0,65445.0,3810.0,79599.0,8100.0,27151.0,56997.0,138690.0,599.0,2.0,-1.0,8.0,45.0,40350.0,900.0,-1.0,770.0,91100.0,8512.0,3000.0,76.0,90.0,6000.0,3910.0,84000.0,116.0,178600.0,2160.0,145.0,87101.0,48285.0,11428.0,212200.0,308400.0,1929.0,2671.0,124.0,4677.0,4702.0,20.0,7635.0,5500.0,57480.0
1977,17030.0,52.0,1000.0,-1.0,940.0,50.0,105100.0,5600.0,4315.0,-1.0,-1.0,193966.0,10076.0,4310.0,880.0,38837.0,38224.0,538.0,20684.0,168217.0,84.0,-1.0,91520.0,20.0,60.0,155900.0,14121.0,200.0,-1.0,15.0,53.0,4800.0,10387.0,70.0,14800.0,4052.0,639420.0,50216.0,100.0,975385.0,101218.0,4000.0,55200.0,31140.0,87183.0,13372.0,80190.0,4710.0,86448.0,5400.0,16826.0,60208.0,147465.0,610.0,3.0,-1.0,8.0,60.0,57682.0,1020.0,-1.0,823.0,88500.0,10430.0,3100.0,90.0,85.0,8500.0,6000.0,102300.0,95.0,191400.0,5244.0,360.0,82680.0,49757.0,8707.0,182010.0,291339.0,1208.0,2918.0,107.0,5516.0,10273.0,20.0,6300.0,3800.0,57060.0
1978,22783.0,47.0,1000.0,-1.0,1079.0,80.0,118750.0,5400.0,2980.0,-1.0,-1.0,222690.0,8665.0,4977.0,900.0,46532.0,45945.0,507.0,21994.0,169636.0,125.0,-1.0,78200.0,19.0,60.0,121300.0,14283.0,220.0,-1.0,20.0,100.0,5400.0,12318.0,90.0,15183.0,4047.0,683220.0,51359.0,105.0,1267661.0,84332.0,4000.0,65092.0,26580.0,98549.0,13424.0,88166.0,4716.0,107993.0,6120.0,14807.0,43405.0,158490.0,185.0,2.0,-1.0,9.0,60.0,58977.0,1140.0,-1.0,610.0,85600.0,4707.0,3100.0,52.0,72.0,8500.0,7200.0,125000.0,20.0,190000.0,4843.0,502.0,75447.0,59796.0,11927.0,241602.0,195565.0,1477.0,2500.0,147.0,6146.0,4367.0,20.0,6900.0,1770.0,34320.0
1979,27728.0,36.0,1000.0,-1.0,1017.0,20.0,115500.0,5100.0,3500.0,-1.0,-1.0,273675.0,8200.0,4603.0,900.0,50296.0,49532.0,664.0,25500.0,164810.0,180.0,-1.0,81565.0,18.0,80.0,103000.0,14405.0,240.0,171.0,20.0,150.0,6000.0,10100.0,90.0,16073.0,5036.0,713340.0,47875.0,110.0,1332772.0,75082.0,5000.0,56304.0,40140.0,98575.0,15700.0,105478.0,4410.0,101166.0,5880.0,22674.0,60391.0,185625.0,31.0,2.0,-1.0,9.0,60.0,53935.0,1320.0,-1.0,794.0,86700.0,6229.0,3200.0,59.0,50.0,8000.0,7560.0,110488.0,20.0,188000.0,3120.0,269.0,89728.0,72547.0,9526.0,220191.0,277048.0,958.0,2497.0,202.0,6100.0,13690.0,20.0,7500.0,1700.0,17340.0
1980,18894.0,51.0,1000.0,-1.0,1114.0,30.0,125285.0,8400.0,4442.0,-1.0,-1.0,294973.0,12742.0,5261.0,1000.0,55501.0,54762.0,659.0,22600.0,177430.0,168.0,-1.0,79880.0,17.0,60.0,135200.0,14400.0,260.0,164.0,20.0,50.0,6000.0,11688.0,80.0,16808.0,5051.0,724380.0,47802.0,115.0,1061195.0,91334.0,5000.0,59107.0,42900.0,106389.0,20540.0,86177.0,4390.0,112207.0,10100.0,18973.0,60091.0,184230.0,321.0,2.0,-1.0,9.0,60.0,58173.0,1560.0,-1.0,522.0,89000.0,10385.0,3500.0,45.0,70.0,8000.0,7800.0,149835.0,10.0,187200.0,2700.0,680.0,69445.0,64228.0,11884.0,220040.0,249608.0,2216.0,2240.0,190.0,7272.0,10146.0,20.0,9120.0,1500.0,43260.0
1981,43824.0,52.0,1000.0,-1.0,1044.0,40.0,146700.0,5300.0,5031.0,-1.0,-1.0,314899.0,8400.0,5476.0,1000.0,50515.0,49837.0,597.0,29200.0,193830.0,121.0,-1.0,83460.0,12.0,61.0,97500.0,14400.0,300.0,168.0,20.0,100.0,6600.0,12500.0,82.0,17000.0,6052.0,782200.0,66441.0,120.0,2032210.0,99717.0,6000.0,61087.0,33250.0,113102.0,21325.0,79360.0,4405.0,109286.0,10400.0,21616.0,52206.0,180000.0,585.0,2.0,-1.0,4.0,60.0,59566.0,1560.0,-1.0,802.0,93400.0,8878.0,3000.0,53.0,68.0,8000.0,12856.0,118600.0,10.0,202000.0,2580.0,750.0,86085.0,75347.0,13608.0,262904.0,366839.0,1379.0,2433.0,143.0,7062.0,9288.0,20.0,12060.0,1500.0,20640.0
1982,20221.0,54.0,1000.0,-1.0,1167.0,66.0,171400.0,5300.0,5200.0,-1.0,-1.0,281251.0,11734.0,6073.0,1020.0,41506.0,41108.0,347.0,27200.0,189330.0,56.0,-1.0,81225.0,15.0,21.0,161866.0,14500.0,386.0,171.0,30.0,50.0,6700.0,13179.0,82.0,17000.0,6054.0,773600.0,53120.0,120.0,957931.0,87436.0,6000.0,72145.0,32250.0,115087.0,21179.0,79422.0,4305.0,128237.0,11300.0,28684.0,63493.0,174616.0,1629.0,2.0,-1.0,-1.0,60.0,58037.0,1260.0,-1.0,360.0,93400.0,9237.0,3000.0,44.0,70.0,8000.0,13865.0,152100.0,10.0,202000.0,2900.0,1850.0,83938.0,72420.0,12973.0,251768.0,247708.0,1516.0,1794.0,78.0,8142.0,8658.0,20.0,18539.0,1500.0,17400.0
1983,35954.0,-1.0,1000.0,-1.0,1195.0,76.0,146927.0,5700.0,5320.0,-1.0,-1.0,305648.0,7500.0,8234.0,1140.0,56349.0,55894.0,377.0,33500.0,183010.0,142.0,-1.0,80855.0,16.0,38.0,148224.0,14700.0,250.0,175.0,40.0,50.0,6700.0,16600.0,83.0,15400.0,6000.0,768600.0,52129.0,130.0,1671588.0,86064.0,6000.0,49205.0,36000.0,124008.0,21141.0,85637.0,3917.0,63700.0,11900.0,18410.0,68027.0,154560.0,1000.0,2.0,-1.0,-1.0,60.0,58848.0,1020.0,10.0,1016.0,84200.0,5941.0,3000.0,47.0,80.0,8000.0,15031.0,130000.0,20.0,157824.0,3360.0,1400.0,81075.0,79474.0,15649.0,307948.0,270581.0,1632.0,1389.0,174.0,8854.0,16500.0,20.0,18035.0,1300.0,13000.0
1984,27005.0,-1.0,1000.0,-1.0,1217.0,200.0,116755.0,4800.0,5780.0,-1.0,-1.0,315489.0,11500.0,10720.0,1860.0,44064.0,43675.0,304.0,32500.0,196610.0,63.0,-1.0,81400.0,17.0,55.0,145971.0,14800.0,150.0,187.0,30.0,50.0,6800.0,10500.0,84.0,18400.0,9000.0,807800.0,56943.0,130.0,1420281.0,118500.0,9000.0,51290.0,37250.0,136857.0,21566.0,83357.0,5152.0,137900.0,11900.0,22051.0,72109.0,163852.0,3000.0,2.0,-1.0,-1.0,54.0,60861.0,358.0,12.0,635.0,92700.0,2689.0,4000.0,40.0,90.0,8000.0,18359.0,105029.0,40.0,145306.0,2980.0,1200.0,97258.0,72545.0,12247.0,239870.0,85203.0,1745.0,852.0,97.0,10750.0,18000.0,20.0,18099.0,700.0,15000.0
1985,32493.0,-1.0,1000.0,-1.0,1253.0,377.0,135354.0,12300.0,6144.0,-1.0,-1.0,311398.0,9000.0,11354.0,3480.0,56863.0,56206.0,552.0,43000.0,181630.0,55.0,-1.0,78500.0,18.0,65.0,143995.0,14900.0,50.0,192.0,40.0,30.0,7000.0,9300.0,85.0,13300.0,7000.0,643100.0,45808.0,130.0,1910646.0,93600.0,7000.0,35360.0,36900.0,124000.0,23361.0,90736.0,4913.0,100020.0,10900.0,23783.0,71965.0,148810.0,700.0,2.0,-1.0,-1.0,14.0,64370.0,370.0,14.0,671.0,91600.0,10044.0,6000.0,35.0,100.0,8000.0,18134.0,195100.0,40.0,155200.0,3480.0,1295.0,120861.0,75091.0,14061.0,260197.0,277082.0,1274.0,2141.0,91.0,9390.0,26000.0,20.0,26641.0,500.0,12000.0
1986,31290.0,-1.0,1000.0,-1.0,1414.0,600.0,145301.0,25000.0,4711.0,-1.0,-1.0,356822.0,9000.0,13486.0,3692.0,44884.0,44310.0,472.0,41348.0,196560.0,14.0,-1.0,82280.0,19.0,57.0,159881.0,6500.0,-1.0,195.0,45.0,44.0,7000.0,5622.0,85.0,20100.0,7700.0,713500.0,54756.0,140.0,1041406.0,113926.0,7700.0,43332.0,37752.0,128227.0,24153.0,96054.0,5012.0,132000.0,10300.0,24509.0,68504.0,138184.0,1100.0,2.0,-1.0,-1.0,22.0,66232.0,430.0,14.0,1088.0,95000.0,8179.0,1200.0,44.0,120.0,8000.0,19070.0,122400.0,26.0,186000.0,1444.0,1332.0,118000.0,76318.0,11340.0,374828.0,265199.0,1697.0,1334.0,50.0,10596.0,23100.0,20.0,31455.0,531.0,14800.0
1987,37338.0,-1.0,1000.0,-1.0,1488.0,540.0,140119.0,27500.0,5312.0,-1.0,-1.0,388669.0,4200.0,11599.0,4966.0,63041.0,62520.0,438.0,41797.0,193200.0,4.0,40.0,80750.0,20.0,53.0,167067.0,6500.0,-1.0,192.0,30.0,34.0,7000.0,6030.0,85.0,21346.0,8600.0,651600.0,57653.0,140.0,2202708.0,104679.0,8600.0,38626.0,30088.0,138000.0,25200.0,98538.0,5111.0,82560.0,11500.0,26165.0,67134.0,147890.0,1900.0,2.0,-1.0,11.0,9.0,70188.0,240.0,14.0,653.0,97200.0,13611.0,1500.0,36.0,130.0,8000.0,18276.0,192100.0,40.0,186000.0,1028.0,1724.0,111720.0,79877.0,15967.0,336180.0,270130.0,1658.0,1842.0,40.0,10160.0,24200.0,20.0,25220.0,791.0,8700.0
1988,35247.0,-1.0,1000.0,-1.0,1501.0,540.0,141892.0,42000.0,7829.0,-1.0,-1.0,391095.0,3600.0,12627.0,4320.0,62185.0,62000.0,107.0,42666.0,179400.0,4.0,40.0,83500.0,20.0,15.0,151157.0,20000.0,-1.0,196.0,63.0,50.0,7000.0,5600.0,87.0,24482.0,10000.0,708700.0,45510.0,145.0,1348014.0,128700.0,10000.0,43447.0,37693.0,144900.0,25450.0,99414.0,6474.0,119400.0,9500.0,28801.0,67939.0,120290.0,2700.0,1.0,-1.0,13.0,31.0,71040.0,300.0,14.0,725.0,103080.0,14500.0,1570.0,39.0,140.0,8000.0,18335.0,122700.0,40.0,190000.0,1830.0,1774.0,144401.0,94046.0,13154.0,423000.0,186705.0,2231.0,582.0,39.0,10274.0,25300.0,20.0,35154.0,377.0,11000.0
1989,31400.0,-1.0,1000.0,-1.0,1571.0,1500.0,155900.0,40900.0,5413.0,-1.0,-1.0,401048.0,4800.0,14601.0,6780.0,66035.0,65640.0,273.0,30591.0,193200.0,10.0,50.0,88200.0,0.0,25.0,169042.0,27500.0,-1.0,193.0,97.0,100.0,7000.0,6760.0,87.0,20808.0,8000.0,664000.0,48800.0,145.0,1532335.0,116900.0,8000.0,45167.0,38447.0,157000.0,26740.0,105753.0,6807.0,115700.0,6732.0,28920.0,64611.0,121900.0,800.0,1.0,-1.0,14.0,8.0,72594.0,300.0,14.0,1160.0,94740.0,12121.0,2570.0,49.0,150.0,8000.0,17605.0,214700.0,35.0,200000.0,1843.0,1920.0,129309.0,100234.0,14515.0,343440.0,221350.0,1260.0,1206.0,45.0,9757.0,25600.0,20.0,59580.0,700.0,10000.0
1990,32694.0,0.0,937.0,-1.0,1378.0,1380.0,125659.0,92000.0,5204.0,-1.0,-1.0,412767.0,1600.0,13569.0,6180.0,60975.0,60000.0,300.0,34680.0,202400.0,6.0,0.0,85000.0,-1.0,15.0,128747.0,30000.0,0.0,178.0,660.0,50.0,6500.0,7567.0,90.0,14314.0,6300.0,845000.0,53420.0,150.0,1464856.0,103900.0,6300.0,27996.0,37200.0,151100.0,24378.0,81142.0,7411.0,100980.0,7215.0,24900.0,59377.0,147200.0,120.0,2.0,0.0,9.0,37.0,76412.0,300.0,13.0,1016.0,101594.0,12800.0,3030.0,46.0,160.0,8631.0,17576.0,118100.0,20.0,204000.0,1354.0,269.0,134980.0,119784.0,12927.0,440000.0,285164.0,1560.0,1944.0,39.0,11547.0,25800.0,18.0,71483.0,1000.0,5000.0
