,Ukraine,Germany,Chile,Belarus,USSR,Estonia,Bulgaria,United States of America,Romania,Azerbaijan,France,Poland,Canada,The former Yugoslav Republic of Macedonia,Spain,Tunisia,Latvia,Turkey
1975,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,94125.0,-1.0,-1.0,-1.0,-1,5741.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,109193.0,-1.0,-1.0,-1.0,-1,6498.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,95354.0,-1.0,-1.0,-1.0,-1,6882.0,-1.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,111515.0,-1.0,-1.0,-1.0,-1,7161.0,-1.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,112290.0,-1.0,-1.0,-1.0,-1,7430.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,122360.0,-1.0,-1.0,-1.0,-1,5819.0,-1.0,-1.0,-1.0,-1.0,-1.0
1981,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,117620.0,-1.0,-1.0,-1.0,-1,7948.0,-1.0,-1.0,-1.0,-1.0,-1.0
1982,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,137850.0,-1.0,-1.0,-1.0,-1,7130.0,-1.0,-1.0,-1.0,-1.0,-1.0
1983,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,135440.0,-1.0,-1.0,-1.0,-1,8452.0,-1.0,-1.0,-1.0,-1.0,-1.0
1984,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,150680.0,-1.0,-1.0,-1.0,-1,6124.0,-1.0,-1.0,-1.0,-1.0,-1.0
1985,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,158100.0,-1.0,-1.0,-1.0,-1,8185.0,-1.0,-1.0,-1.0,-1.0,-1.0
1986,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,167400.0,-1.0,-1.0,-1.0,-1,8488.0,-1.0,-1.0,-1.0,-1.0,5.0
1987,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,153900.0,-1.0,-1.0,-1.0,-1,11353.0,-1.0,-1.0,-1.0,-1.0,10.0
1988,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,185100.0,-1.0,-1.0,-1.0,-1,12533.0,-1.0,-1.0,-1.0,-1.0,15.0
1989,-1.0,-1,-1.0,-1.0,5000.0,-1,-1.0,170000.0,-1.0,-1.0,-1.0,-1,11236.0,-1.0,-1.0,50.0,-1.0,-1.0
1990,-1.0,-1,-1.0,-1.0,6490.0,-1,-1.0,153850.0,-1.0,-1.0,-1.0,-1,16391.0,-1.0,-1.0,49.0,-1.0,25.0
1991,-1.0,-1,-1.0,-1.0,8490.0,-1,-1.0,191400.0,-1.0,-1.0,-1.0,-1,17690.0,-1.0,-1.0,50.0,-1.0,15.0
1992,-1.0,-1,-1.0,1000.0,-1.0,-1,-1.0,188700.0,-1.0,700.0,-1.0,-1,20110.0,-1.0,-1.0,50.0,5000.0,20.0
1993,-1.0,-1,-1.0,1000.0,-1.0,-1,-1.0,177808.0,-1.0,600.0,-1.0,-1,15630.0,-1.0,-1.0,50.0,12000.0,55.0
1994,-1.0,-1,-1.0,1000.0,-1.0,-1,-1.0,212370.0,-1.0,600.0,0.0,-1,25360.0,100.0,-1.0,50.0,7000.0,50.0
1995,-1.0,-1,-1.0,1000.0,-1.0,-1,-1.0,190240.0,-1.0,600.0,0.0,-1,24620.0,200.0,-1.0,50.0,14000.0,52.0
1996,-1.0,-1,-1.0,1000.0,-1.0,-1,-1.0,211920.0,-1.0,500.0,0.0,-1,22990.0,100.0,-1.0,50.0,5600.0,62.0
1997,-1.0,-1,-1.0,2000.0,-1.0,-1,-1.0,249400.0,-1.0,600.0,0.0,-1,24960.0,133.0,-1.0,50.0,14000.0,52.0
1998,-1.0,-1,-1.0,3000.0,-1.0,-1,-1.0,246753.0,-1.0,1000.0,0.0,-1,36180.0,200.0,-1.0,50.0,4000.0,56.0
1999,-1.0,-1,-1.0,2500.0,-1.0,-1,-1.0,288396.0,-1.0,1000.0,0.0,-1,35680.0,100.0,-1.0,50.0,3300.0,60.0
2000,500.0,-1,-1.0,2000.0,-1.0,-1,-1.0,259093.0,500.0,1300.0,0.0,-1,31810.0,132.0,100.0,50.0,5600.0,63.0
2001,500.0,-1,-1.0,1400.0,-1.0,-1,-1.0,241766.0,800.0,1500.0,10.0,-1,34784.0,134.0,100.0,50.0,5300.0,67.0
2002,300.0,-1,-1.0,1500.0,-1.0,-1,-1.0,258096.0,800.0,2500.0,30.0,-1,51562.0,96.0,100.0,50.0,3700.0,70.0
2003,50.0,-1,-1.0,1000.0,-1.0,-1,-1.0,280957.0,1000.0,1400.0,20.0,-1,52651.0,97.0,100.0,50.0,2200.0,74.0
2004,100.0,-1,-1.0,3000.0,-1.0,-1,-1.0,280140.0,500.0,900.0,150.0,-1,66790.0,99.0,100.0,50.0,2700.0,78.0
2005,500.0,-1,12200.0,3000.0,-1.0,-1,-1.0,283225.0,653.0,1800.0,0.0,-1,67870.0,179.0,100.0,72.0,2000.0,81.0
2006,500.0,-1,17000.0,4000.0,-1.0,-1,100.0,312980.0,638.0,3000.0,39.0,-1,77090.0,250.0,100.0,81.0,2100.0,85.0
2007,500.0,-1,22000.0,4000.0,-1.0,-1,100.0,297280.0,633.0,3400.0,39.0,-1,66360.0,218.0,100.0,75.0,1900.0,89.0
2008,600.0,-1,35000.0,6000.0,-1.0,-1,100.0,356796.0,650.0,2200.0,42.0,-1,72688.0,230.0,100.0,88.0,916.0,92.0
2009,300.0,-1,40000.0,7500.0,-1.0,-1,97.0,313569.0,644.0,2200.0,44.0,-1,86776.0,240.0,100.0,82.0,896.0,96.0
2010,300.0,-1,56000.0,8300.0,-1.0,-1,95.0,308815.0,642.0,2400.0,46.0,-1,75405.0,300.0,100.0,250.0,976.0,99.0
2011,300.0,-1,74000.0,7900.0,-1.0,-1,93.0,349888.0,639.0,2200.0,48.0,-1,86286.0,262.0,100.0,200.0,791.0,103.0
2012,700.0,-1,78000.0,6500.0,-1.0,-1,90.0,402300.0,549.0,2400.0,49.0,-1,141081.0,300.0,100.0,166.0,676.0,107.0
2013,800.0,-1,82000.0,900.0,-1.0,-1,90.0,406328.0,621.0,2500.0,51.0,-1,135075.0,281.0,100.0,167.0,618.0,110.0
2014,400.0,-1,82000.0,8000.0,-1.0,-1,90.0,381018.0,563.0,2800.0,53.0,-1,176036.0,290.0,100.0,180.0,617.0,114.0
