,Slovakia,India,The former Yugoslav Republic of Macedonia,Occupied Palestinian Territory,Austria,Hungary,Czechoslovakia,Serbia and Montenegro,Serbia,Germany,Yugoslav SFR,Bulgaria,Romania,Italy,France,Croatia,Netherlands,Denmark,Czechia,Spain,Turkey
1994,5666.0,-1,997.0,-1.0,1737.0,4000.0,-1.0,875.0,-1.0,3969.0,-1.0,-1.0,200.0,-1.0,4741.0,74.0,2700.0,220.0,28726.0,880.0,25321.0
1995,5664.0,-1,1315.0,-1.0,2567.0,6000.0,-1.0,1517.0,-1.0,3800.0,-1.0,-1.0,335.0,-1.0,2800.0,70.0,1400.0,200.0,34600.0,330.0,60052.0
1996,2188.0,-1,597.0,-1.0,1131.0,3423.0,-1.0,1059.0,-1.0,3883.0,-1.0,-1.0,300.0,-1.0,2500.0,85.0,300.0,-1.0,14400.0,660.0,11942.0
1997,1800.0,-1,301.0,13.0,887.0,4040.0,-1.0,852.0,-1.0,3857.0,-1.0,-1.0,3702.0,-1.0,11000.0,91.0,600.0,-1.0,25000.0,330.0,29681.0
1998,2150.0,-1,263.0,15.0,1102.0,3233.0,-1.0,872.0,-1.0,3843.0,-1.0,-1.0,4306.0,-1.0,10615.0,150.0,1179.0,-1.0,35000.0,1000.0,49207.0
1999,2500.0,-1,440.0,50.0,1175.0,4927.0,-1.0,826.0,-1.0,3848.0,-1.0,-1.0,4230.0,-1.0,12000.0,180.0,1437.0,-1.0,45462.0,380.0,87194.0
2000,2084.0,-1,201.0,20.0,654.0,3118.0,-1.0,960.0,-1.0,3874.0,-1.0,-1.0,1400.0,-1.0,15600.0,200.0,568.0,-1.0,29870.0,2330.0,27555.0
2001,663.0,-1,260.0,48.0,806.0,2274.0,-1.0,879.0,-1.0,3921.0,-1.0,-1.0,2500.0,-1.0,7000.0,300.0,798.0,-1.0,34478.0,220.0,45836.0
2002,370.0,-1,281.0,45.0,1547.0,2375.0,-1.0,634.0,-1.0,4120.0,-1.0,-1.0,3000.0,-1.0,13000.0,451.0,571.0,-1.0,29638.0,110.0,50741.0
2003,386.0,-1,283.0,100.0,1740.0,3977.0,-1.0,533.0,-1.0,4270.0,-1.0,-1.0,2300.0,-1.0,11356.0,600.0,480.0,-1.0,38148.0,2037.0,99431.0
2004,706.0,-1,268.0,100.0,1707.0,6878.0,-1.0,632.0,-1.0,4497.0,-1.0,-1.0,2450.0,-1.0,10758.0,500.0,390.0,-1.0,27579.0,2911.0,30343.0
2005,1300.0,-1,250.0,137.0,3095.0,6326.0,-1.0,850.0,-1.0,4543.0,-1.0,-1.0,2761.0,-1.0,10469.0,500.0,300.0,-1.0,44412.0,4270.0,25335.0
2006,1471.0,-1,222.0,178.0,3858.0,4667.0,-1.0,-1.0,-1.0,4573.0,-1.0,-1.0,2873.0,-1.0,10000.0,600.0,600.0,-1.0,57785.0,110.0,42023.0
2007,1588.0,-1,236.0,155.0,2644.0,4268.0,-1.0,-1.0,850.0,4625.0,-1.0,800.0,3100.0,-1.0,9500.0,800.0,700.0,-1.0,56914.0,6110.0,24586.0
2008,1923.0,-1,222.0,194.0,2011.0,3376.0,-1.0,-1.0,950.0,4671.0,-1.0,800.0,3529.0,-1.0,9800.0,1211.0,842.0,-1.0,69793.0,7220.0,20043.0
2009,1904.0,-1,618.0,220.0,2186.0,3928.0,-1.0,-1.0,850.0,4747.0,-1.0,1000.0,3368.0,-1.0,10000.0,1642.0,680.0,-1.0,53623.0,7770.0,48893.0
2010,1594.0,-1,413.0,386.0,2536.0,9169.0,-1.0,-1.0,1000.0,4864.0,-1.0,1300.0,3173.0,-1.0,9944.0,3479.0,708.0,-1.0,51103.0,7459.0,51897.0
2011,1115.0,-1,284.0,575.0,1740.0,8344.0,-1.0,-1.0,900.0,5300.0,-1.0,800.0,3438.0,-1.0,10000.0,3492.0,508.0,-1.0,31495.0,7000.0,54911.0
2012,761.0,-1,180.0,580.0,1548.0,5280.0,-1.0,-1.0,900.0,5500.0,-1.0,810.0,3589.0,-1.0,10000.0,2263.0,370.0,-1.0,18363.0,10000.0,13511.0
2013,842.0,-1,103.0,608.0,1510.0,4890.0,-1.0,-1.0,900.0,5500.0,-1.0,815.0,3726.0,-1.0,10000.0,3198.0,380.0,-1.0,20250.0,11000.0,32277.0
2014,1704.0,-1,88.0,638.0,1560.0,9050.0,-1.0,-1.0,950.0,5400.0,-1.0,800.0,3870.0,-1.0,10000.0,3633.0,497.0,-1.0,27020.0,10500.0,26621.0
