,Kenya,Peru,Yemen,Belarus,Croatia,Myanmar,India,Armenia,Syrian Arab Republic,Martinique,Nepal,Ethiopia,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Iraq,Malawi,Cyprus,Spain,Eritrea,Bulgaria,Australia & New Zealand,Bangladesh,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Czechoslovakia,Madagascar,Tajikistan,Czechia,Argentina,Ukraine,Germany,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Colombia,Libya,Yugoslav SFR,Slovakia,Lebanon,Uzbekistan,United States of America,Occupied Palestinian Territory,Azerbaijan,Hungary,Chile,Israel,Australia,France,Jordan,"China, mainland",Russian Federation,New Zealand,Italy,Turkey
1971,-1.0,1095.0,-1.0,-1,-1.0,5261.0,744000.0,-1.0,111500.0,-1.0,80000.0,-1.0,-1.0,-1.0,7300.0,60987.0,8388.0,-1.0,535.0,53600.0,-1.0,4286.0,0.0,100000.0,50400.0,-1.0,15890.0,-1.0,760.0,750.0,-1.0,-1.0,16890.0,-1.0,20.0,28000.0,105000.0,57000.0,6908.0,-1.0,2620.0,27409.0,-1,-1.0,3000.0,23000.0,30.0,1000.0,-1.0,2584.0,-1.0,36900.0,-1.0,-1.0,2533.0,18070.0,290.0,-1.0,11169.0,20531.0,-1.0,-1.0,-1.0,5131.0,105000.0
1972,-1.0,1310.0,-1.0,-1,-1.0,4905.0,800100.0,-1.0,115100.0,-1.0,82000.0,-1.0,-1.0,-1.0,6600.0,64000.0,10953.0,-1.0,468.0,60000.0,-1.0,3066.0,0.0,120000.0,52980.0,-1.0,17960.0,-1.0,381.0,600.0,-1.0,-1.0,11800.0,-1.0,19.0,38700.0,110000.0,64000.0,6957.0,-1.0,2300.0,28145.0,-1,-1.0,3000.0,23000.0,0.0,910.0,-1.0,2692.0,-1.0,33000.0,-1.0,-1.0,897.0,18270.0,295.0,-1.0,8031.0,28411.0,-1.0,-1.0,-1.0,3913.0,103000.0
1973,-1.0,1275.0,-1.0,-1,-1.0,2833.0,833600.0,-1.0,92081.0,-1.0,84000.0,-1.0,7.0,-1.0,6100.0,77966.0,4271.0,-1.0,401.0,67700.0,-1.0,2385.0,0.0,150000.0,53000.0,-1.0,15880.0,-1.0,924.0,600.0,-1.0,-1.0,9750.0,-1.0,15.0,31000.0,120000.0,70000.0,8661.0,-1.0,3580.0,31086.0,-1,-1.0,2600.0,21000.0,-1.0,1054.0,-1.0,3067.0,-1.0,45300.0,-1.0,-1.0,866.0,16030.0,190.0,-1.0,5958.0,24193.0,-1.0,-1.0,-1.0,3558.0,85000.0
1974,-1.0,1415.0,-1.0,-1,-1.0,2433.0,925100.0,-1.0,85411.0,-1.0,86000.0,-1.0,32.0,-1.0,5800.0,95909.0,3983.0,-1.0,468.0,75200.0,-1.0,1494.0,0.0,180000.0,53000.0,-1.0,16380.0,-1.0,973.0,600.0,-1.0,-1.0,8200.0,-1.0,18.0,40600.0,116000.0,53000.0,8746.0,-1.0,3700.0,27725.0,-1,-1.0,2800.0,21000.0,-1.0,760.0,-1.0,3533.0,-1.0,38000.0,-1.0,-1.0,428.0,19530.0,190.0,-1.0,5763.0,21564.0,-1.0,-1.0,-1.0,3274.0,116000.0
1975,-1.0,1915.0,-1.0,-1,-1.0,3674.0,952700.0,-1.0,97844.0,-1.0,88000.0,-1.0,400.0,-1.0,5500.0,75388.0,5139.0,-1.0,268.0,70900.0,-1.0,1472.0,0.0,200000.0,53500.0,-1.0,15470.0,-1.0,1112.0,645.0,-1.0,-1.0,8150.0,-1.0,17.0,46400.0,115500.0,51000.0,9275.0,-1.0,3561.0,24365.0,-1,-1.0,2800.0,21000.0,-1.0,692.0,-1.0,3800.0,-1.0,40600.0,-1.0,-1.0,225.0,20550.0,180.0,-1.0,11186.0,14850.0,-1.0,-1.0,-1.0,2957.0,124500.0
1976,-1.0,2090.0,-1.0,-1,-1.0,3803.0,936600.0,-1.0,146479.0,-1.0,90000.0,-1.0,380.0,-1.0,4900.0,72918.0,5655.0,-1.0,294.0,72600.0,-1.0,488.0,0.0,250000.0,53500.0,-1.0,17920.0,-1.0,1180.0,895.0,-1.0,-1.0,8630.0,-1.0,16.0,62700.0,48300.0,36000.0,6854.0,-1.0,3193.0,26710.0,-1,-1.0,2600.0,22000.0,-1.0,696.0,-1.0,1500.0,-1.0,35700.0,-1.0,-1.0,357.0,22500.0,270.0,-1.0,11300.0,22973.0,-1.0,-1.0,-1.0,2414.0,186000.0
1977,-1.0,2175.0,-1.0,-1,-1.0,2841.0,853300.0,-1.0,178337.0,-1.0,93000.0,-1.0,2500.0,-1.0,4000.0,79512.0,6375.0,-1.0,254.0,71000.0,-1.0,753.0,0.0,291000.0,52000.0,-1.0,13760.0,-1.0,1266.0,1100.0,-1.0,-1.0,28700.0,-1.0,15.0,35600.0,59600.0,15000.0,6935.0,-1.0,1160.0,20290.0,-1,-1.0,3500.0,20000.0,-1.0,616.0,-1.0,3500.0,-1.0,48000.0,-1.0,-1.0,406.0,30390.0,170.0,-1.0,12857.0,13446.0,-1.0,-1.0,-1.0,2092.0,240000.0
1978,-1.0,1994.0,-1.0,-1,-1.0,2994.0,880700.0,-1.0,136116.0,-1.0,95000.0,-1.0,13000.0,-1.0,4200.0,89512.0,9682.0,-1.0,161.0,71000.0,-1.0,787.0,0.0,293000.0,52000.0,-1.0,15940.0,-1.0,1383.0,1510.0,-1.0,-1.0,54340.0,-1.0,16.0,37100.0,59200.0,20000.0,7899.0,-1.0,844.0,14952.0,-1,-1.0,2800.0,22000.0,-1.0,504.0,-1.0,2500.0,-1.0,53560.0,-1.0,-1.0,625.0,31840.0,150.0,-1.0,10500.0,14414.0,-1.0,-1.0,-1.0,1853.0,177300.0
1979,-1.0,2059.0,-1.0,-1,-1.0,3277.0,1018100.0,-1.0,88631.0,-1.0,96000.0,-1.0,19591.0,-1.0,4900.0,106101.0,6525.0,-1.0,308.0,76100.0,-1.0,1228.0,0.0,295000.0,47500.0,-1.0,17990.0,-1.0,1512.0,1755.0,-1.0,-1.0,21800.0,-1.0,18.0,28700.0,58500.0,12000.0,17286.0,-1.0,673.0,9356.0,-1,-1.0,2800.0,20000.0,-1.0,850.0,-1.0,3500.0,-1.0,63984.0,-1.0,-1.0,349.0,50360.0,173.0,-1.0,11300.0,7251.0,-1.0,-1.0,-1.0,1705.0,172000.0
1980,-1.0,3832.0,-1.0,-1,-1.0,2588.0,848800.0,-1.0,84811.0,-1.0,98000.0,-1.0,44750.0,-1.0,5100.0,86373.0,7000.0,-1.0,201.0,69900.0,-1.0,2200.0,0.0,289000.0,53800.0,-1.0,16220.0,-1.0,1471.0,1100.0,-1.0,-1.0,23000.0,-1.0,19.0,37000.0,42470.0,7000.0,11415.0,-1.0,671.0,6390.0,-1,-1.0,1400.0,17000.0,-1.0,500.0,-1.0,3500.0,-1.0,92144.0,-1.0,-1.0,455.0,52950.0,188.0,-1.0,8476.0,8680.0,-1.0,-1.0,-1.0,1508.0,190500.0
1981,-1.0,4170.0,-1.0,-1,-1.0,2140.0,934900.0,-1.0,71709.0,-1.0,100000.0,-1.0,51000.0,-1.0,4300.0,72713.0,6275.0,-1.0,147.0,70500.0,-1.0,7600.0,0.0,285000.0,73400.0,-1.0,13020.0,-1.0,1630.0,662.0,-1.0,-1.0,22050.0,-1.0,16.0,34000.0,53340.0,9000.0,14822.0,-1.0,922.0,4871.0,-1,-1.0,1300.0,17000.0,-1.0,400.0,-1.0,3800.0,-1.0,78100.0,-1.0,-1.0,1155.0,47660.0,190.0,-1.0,6700.0,10511.0,-1.0,-1.0,-1.0,1304.0,255000.0
1982,-1.0,4238.0,-1.0,-1,-1.0,1682.0,945200.0,-1.0,57267.0,-1.0,103000.0,-1.0,70800.0,-1.0,5600.0,74038.0,6375.0,-1.0,134.0,64900.0,-1.0,9993.0,0.0,248000.0,63800.0,-1.0,9970.0,-1.0,2797.0,755.0,-1.0,-1.0,14000.0,-1.0,16.0,39100.0,70420.0,12000.0,22376.0,-1.0,836.0,5150.0,-1,-1.0,900.0,17000.0,-1.0,500.0,-1.0,3700.0,-1.0,74060.0,-1.0,-1.0,1931.0,38860.0,190.0,-1.0,6700.0,10789.0,-1.0,-1.0,-1.0,1236.0,622750.0
1983,-1.0,5637.0,-1.0,-1,-1.0,1290.0,996400.0,-1.0,71478.0,-1.0,115000.0,-1.0,47700.0,-1.0,6200.0,82298.0,5075.0,-1.0,107.0,64600.0,-1.0,15140.0,0.0,240000.0,76200.0,-1.0,9090.0,-1.0,2757.0,860.0,-1.0,-1.0,7380.0,-1.0,16.0,78600.0,55330.0,14000.0,12394.0,-1.0,715.0,6125.0,-1,-1.0,1400.0,17000.0,-1.0,410.0,-1.0,3650.0,-1.0,40870.0,-1.0,-1.0,193.0,23050.0,190.0,-1.0,10000.0,9291.0,-1.0,-1.0,-1.0,1201.0,650000.0
1984,-1.0,6220.0,-1.0,-1,-1.0,2453.0,943100.0,-1.0,59500.0,-1.0,106000.0,-1.0,63500.0,-1.0,4100.0,48820.0,5300.0,-1.0,94.0,61988.0,-1.0,9842.0,0.0,240400.0,79900.0,-1.0,22840.0,-1.0,4401.0,980.0,-1.0,-1.0,10500.0,-1.0,16.0,67500.0,44660.0,32000.0,21059.0,-1.0,428.0,7450.0,-1,25000.0,1500.0,17000.0,-1.0,547.0,-1.0,3700.0,-1.0,29060.0,-1.0,-1.0,930.0,23730.0,170.0,-1.0,10000.0,4868.0,25000.0,-1.0,-1.0,1176.0,604013.0
1985,-1.0,5400.0,-1.0,-1,-1.0,3825.0,982500.0,-1.0,66173.0,-1.0,98560.0,-1.0,72800.0,-1.0,1900.0,49105.0,5300.0,-1.0,40.0,60913.0,-1.0,13696.0,500.0,233400.0,87000.0,-1.0,12580.0,-1.0,5521.0,1000.0,-1.0,-1.0,15500.0,-1.0,16.0,87700.0,37630.0,37000.0,6637.0,-1.0,558.0,8400.0,-1,30000.0,1500.0,17000.0,-1.0,646.0,-1.0,4000.0,-1.0,44320.0,-1.0,-1.0,1016.0,36360.0,170.0,-1.0,7800.0,5785.0,30000.0,-1.0,500.0,1219.0,576640.0
1986,-1.0,5400.0,-1.0,-1,-1.0,2051.0,1090700.0,-1.0,67414.0,-1.0,103260.0,-1.0,130800.0,-1.0,1900.0,57446.0,3500.0,-1.0,40.0,66600.0,-1.0,17987.0,1000.0,222500.0,91200.0,-1.0,4600.0,-1.0,5556.0,1000.0,-1.0,-1.0,16900.0,-1.0,17.0,85600.0,44860.0,38000.0,11531.0,-1.0,2178.0,9000.0,-1,35000.0,1500.0,17000.0,-1.0,500.0,-1.0,4200.0,-1.0,65240.0,-1.0,-1.0,5023.0,37270.0,170.0,-1.0,11200.0,2832.0,35000.0,-1.0,1000.0,1084.0,747415.0
1987,-1.0,5400.0,-1.0,-1,-1.0,2737.0,1087000.0,-1.0,89403.0,-1.0,107310.0,-1.0,238400.0,-1.0,1749.0,80811.0,1700.0,-1.0,33.0,94108.0,-1.0,18167.0,1500.0,212700.0,47583.0,-1.0,7650.0,-1.0,5841.0,1000.0,-1.0,-1.0,12800.0,-1.0,17.0,89600.0,46790.0,41000.0,11654.0,-1.0,2200.0,10000.0,-1,45000.0,1600.0,17000.0,-1.0,600.0,-1.0,4500.0,-1.0,57460.0,-1.0,-1.0,10020.0,46330.0,170.0,-1.0,8600.0,5083.0,45000.0,-1.0,1500.0,1057.0,913635.0
1988,-1.0,5500.0,4296.0,-1,-1.0,1220.0,1040300.0,-1.0,132077.0,-1.0,112860.0,-1.0,135500.0,-1.0,1577.0,75969.0,1025.0,-1.0,30.0,68100.0,-1.0,20665.0,4000.0,216308.0,133700.0,-1.0,6570.0,-1.0,4791.0,1000.0,-1.0,-1.0,14955.0,-1.0,16.0,65200.0,67880.0,55000.0,5921.0,-1.0,2890.0,7982.0,-1,47000.0,1667.0,17000.0,-1.0,568.0,-1.0,4700.0,-1.0,28730.0,-1.0,-1.0,3784.0,32750.0,170.0,2000.0,3200.0,5314.0,47000.0,-1.0,2000.0,1303.0,979632.0
1989,-1.0,5500.0,7871.0,-1,-1.0,631.0,1081100.0,-1.0,188300.0,-1.0,120360.0,-1.0,103100.0,-1.0,1538.0,75504.0,800.0,-1.0,30.0,45800.0,-1.0,12174.0,5500.0,215297.0,114600.0,-1.0,3230.0,-1.0,3213.0,1000.0,-1.0,-1.0,16900.0,-1.0,19.0,57900.0,37850.0,52000.0,12140.0,-1.0,2620.0,7140.0,-1,55000.0,4350.0,17000.0,-1.0,524.0,-1.0,5000.0,-1.0,37230.0,-1.0,-1.0,4000.0,14690.0,100.0,3000.0,4200.0,3149.0,55000.0,-1.0,2500.0,1197.0,882000.0
1990,-1.0,5600.0,8476.0,-1,-1.0,878.0,1111800.0,-1.0,131200.0,-1.0,121970.0,-1.0,133600.0,-1.0,1291.0,67918.0,650.0,1000.0,20.0,45300.0,-1.0,7720.0,6395.0,209085.0,95048.0,-1.0,3530.0,-1.0,2610.0,1009.0,-1.0,-1.0,26900.0,-1.0,17.0,56700.0,39350.0,73000.0,10293.0,-1.0,2780.0,5885.0,-1,45000.0,4320.0,21134.0,0.0,617.0,-1.0,5300.0,-1.0,42090.0,-1.0,-1.0,1416.0,13930.0,109.0,4000.0,3752.0,4301.0,45000.0,-1.0,2395.0,1048.0,905170.0
1991,2500.0,5050.0,7753.0,-1,-1.0,1154.0,1187800.0,-1.0,82523.0,-1.0,119490.0,-1.0,238170.0,-1.0,868.0,63400.0,375.0,1100.0,8.0,41400.0,-1.0,3907.0,5717.0,210078.0,173247.0,-1.0,1950.0,-1.0,2020.0,1100.0,-1.0,-1.0,27000.0,-1.0,5.0,47600.0,43870.0,44500.0,13302.0,-1.0,3270.0,6798.0,-1,44000.0,3300.0,18595.0,0.0,502.0,-1.0,5826.0,-1.0,48970.0,-1.0,-1.0,1050.0,14870.0,162.0,3000.0,3486.0,2423.0,44000.0,-1.0,2717.0,1102.0,787449.0
1992,7000.0,5085.0,9660.0,-1,78.0,1863.0,1189100.0,59.0,87900.0,-1.0,119820.0,-1.0,267100.0,320.0,908.0,58700.0,600.0,1000.0,5.0,33200.0,-1.0,1697.0,7534.0,208915.0,238370.0,0.0,1540.0,127.0,3156.0,1073.0,1960.0,-1.0,25000.0,-1.0,0.0,43300.0,48100.0,-1.0,9414.0,-1.0,3820.0,6121.0,-1,66000.0,500.0,16000.0,0.0,-1.0,-1.0,6022.0,-1.0,50990.0,-1.0,600.0,2175.0,18970.0,163.0,4000.0,3629.0,2938.0,66000.0,8500.0,3534.0,1083.0,741104.0
1993,15000.0,5400.0,9613.0,-1,90.0,3532.0,1203900.0,29.0,104561.0,-1.0,163950.0,45060.0,327800.0,250.0,791.0,63470.0,900.0,900.0,3.0,28285.0,762.0,1700.0,7845.0,207444.0,239013.0,-1.0,1810.0,0.0,-1.0,1081.0,2150.0,80.0,24000.0,-1.0,-1.0,41100.0,-1.0,-1.0,12765.0,-1.0,2840.0,8000.0,-1,55000.0,2000.0,15000.0,-1.0,-1.0,2100.0,6000.0,-1.0,57860.0,-1.0,700.0,1329.0,13370.0,165.0,5000.0,3614.0,8224.0,55000.0,6920.0,2845.0,1052.0,711653.0
1994,12000.0,4700.0,9066.0,-1,86.0,3332.0,1183400.0,40.0,118145.0,-1.0,171425.0,48140.0,386400.0,206.0,736.0,51569.0,1100.0,600.0,3.0,30500.0,686.0,1862.0,7800.0,207600.0,244000.0,-1.0,1970.0,-1.0,-1.0,1000.0,2425.0,152.0,17200.0,-1.0,-1.0,42200.0,-1.0,-1.0,11950.0,-1.0,2580.0,6523.0,-1,95000.0,2128.0,13000.0,-1.0,-1.0,1283.0,6200.0,-1.0,72030.0,-1.0,1200.0,1000.0,10250.0,162.0,6000.0,4180.0,4152.0,95000.0,3900.0,1800.0,1012.0,646000.0
1995,9000.0,4000.0,9323.0,-1,78.0,3500.0,1155900.0,50.0,126400.0,-1.0,147579.0,61870.0,327000.0,293.0,736.0,60994.0,1300.0,636.0,4.0,36800.0,250.0,2301.0,9400.0,207600.0,238000.0,-1.0,1510.0,-1.0,-1.0,1100.0,2185.0,15.0,9000.0,-1.0,-1.0,46800.0,-1.0,-1.0,11127.0,-1.0,2070.0,4599.0,-1,95000.0,1350.0,10000.0,-1.0,-1.0,1552.0,6210.0,-1.0,66000.0,-1.0,800.0,800.0,10735.0,169.0,8000.0,4416.0,6590.0,95000.0,3020.0,1400.0,1038.0,640000.0
1996,5000.0,3217.0,9062.0,-1,89.0,3500.0,1255400.0,30.0,140900.0,2410.0,157080.0,83360.0,303500.0,299.0,691.0,65484.0,1500.0,700.0,5.0,41100.0,635.0,3400.0,18619.0,206000.0,271032.0,-1.0,1370.0,-1.0,-1.0,1200.0,1734.0,14.0,1500.0,-1.0,-1.0,48700.0,-1.0,-1.0,8886.0,-1.0,1942.0,3261.0,-1,84235.0,7350.0,3500.0,-1.0,-1.0,1600.0,6249.0,-1.0,56660.0,2991.0,307.0,1748.0,10787.0,171.0,18000.0,4720.0,4338.0,84235.0,3870.0,619.0,1230.0,620000.0
1997,5327.0,2628.0,8825.0,-1,89.0,2959.0,1369400.0,20.0,120300.0,2328.0,158270.0,50070.0,329000.0,292.0,680.0,69481.0,1800.0,900.0,5.0,32935.0,200.0,3800.0,57650.0,206347.0,189802.0,-1.0,1440.0,-1.0,-1.0,1110.0,1527.0,3.0,3500.0,-1.0,-1.0,54000.0,-1.0,-1.0,8755.0,-1.0,2435.0,3806.0,-1,88000.0,200.0,3351.0,-1.0,-1.0,1200.0,3456.0,-1.0,69610.0,2552.0,255.0,1288.0,7247.0,169.0,57000.0,4473.0,3081.0,88000.0,3500.0,650.0,1070.0,560000.0
1998,4000.0,4646.0,9314.0,-1,90.0,2573.0,1288300.0,20.0,142649.0,2321.0,162390.0,66110.0,371400.0,262.0,673.0,64868.0,2000.0,965.0,8.0,27200.0,769.0,4302.0,66500.0,205775.0,204797.0,-1.0,1150.0,-1.0,-1.0,1122.0,1146.0,3.0,4500.0,-1.0,-1.0,57300.0,-1.0,-1.0,6620.0,-1.0,2543.0,4481.0,-1,94000.0,2000.0,3139.0,-1.0,-1.0,846.0,1600.0,-1.0,64140.0,2707.0,512.0,1328.0,5059.0,168.0,66000.0,4918.0,2902.0,94000.0,2100.0,500.0,940.0,549000.0
1999,3500.0,3802.0,6046.0,-1,82.0,1944.0,1388500.0,8.0,147641.0,2500.0,174594.0,66870.0,496600.0,288.0,747.0,57809.0,2200.0,800.0,7.0,21000.0,1200.0,3500.0,75500.0,166802.0,198562.0,-1.0,980.0,-1.0,-1.0,1130.0,884.0,3.0,8000.0,-1.0,-1.0,42300.0,-1.0,-1.0,8920.0,-1.0,1741.0,2111.0,-1,100000.0,2503.0,3710.0,-1.0,-1.0,1149.0,1400.0,1000.0,70620.0,1384.0,887.0,1337.0,3170.0,160.0,75000.0,6018.0,411.0,100000.0,2600.0,500.0,1028.0,517000.0
2000,1800.0,5486.0,6040.0,-1,79.0,3822.0,1461600.0,8.0,122774.0,2551.0,180750.0,75000.0,687900.0,295.0,765.0,54887.0,2750.0,960.0,7.0,24424.0,832.0,3500.0,117500.0,166802.0,205806.0,-1.0,690.0,-1.0,-1.0,1100.0,549.0,3.0,6000.0,-1.0,-1.0,41400.0,-1.0,-1.0,9038.0,-1.0,3532.0,2003.0,-1,100000.0,2335.0,3666.0,-1.0,-1.0,476.0,685.0,900.0,86604.0,2020.0,919.0,1064.0,2192.0,100.0,117000.0,6943.0,1066.0,100000.0,4300.0,500.0,1016.0,472000.0
2001,1500.0,6189.0,6645.0,-1,84.0,4146.0,1477800.0,11.0,139091.0,2611.0,178706.0,95000.0,664100.0,185.0,833.0,46000.0,2000.0,900.0,7.0,27564.0,847.0,913.0,158500.0,164372.0,261543.0,-1.0,920.0,-1.0,-1.0,1150.0,190.0,3.0,3000.0,-1.0,-1.0,41900.0,-1.0,-1.0,3307.0,-1.0,2761.0,2251.0,-1,115000.0,2241.0,3599.0,-1.0,-1.0,410.0,450.0,1600.0,79724.0,2031.0,925.0,1085.0,1320.0,105.0,158000.0,4443.0,1565.0,115000.0,5900.0,500.0,1085.0,470000.0
