,Luxembourg,Ukraine,Germany,New Zealand,Kenya,Austria,"China, Taiwan Province of",Belarus,Croatia,Zambia,Armenia,Romania,Azerbaijan,Syrian Arab Republic,Jordan,Denmark,China,Indonesia,Malta,Greece,Albania,Republic of Korea,Uzbekistan,Singapore,Spain,Kazakhstan,Australia & New Zealand,Australia,Mongolia,Viet Nam,Lithuania,Iceland,"China, mainland",Russian Federation,Netherlands
1971,-1.0,-1,-1.0,5.0,-1,-1,1179.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,36.0,3979.0,-1.0,-1,-1.0,-1,123.0,-1.0,-1.0,71.0,-1,5.0,-1.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1972,-1.0,-1,-1.0,4.0,-1,-1,1015.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,36.0,3815.0,-1.0,-1,-1.0,-1,192.0,-1.0,-1.0,66.0,-1,4.0,-1.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1973,-1.0,-1,-1.0,5.0,-1,-1,739.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,35.0,3489.0,-1.0,-1,-1.0,-1,222.0,-1.0,-1.0,78.0,-1,20.0,15.0,-1,-1,-1.0,-1.0,2750.0,-1,-1.0
1974,-1.0,-1,-1.0,4.0,-1,-1,686.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,33.0,3486.0,-1.0,-1,-1.0,-1,225.0,-1.0,-1.0,127.0,-1,35.0,31.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1975,-1.0,-1,-1.0,4.0,-1,-1,591.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,35.0,3441.0,-1.0,-1,-1.0,-1,208.0,-1.0,-1.0,136.0,-1,54.0,50.0,-1,-1,-1.0,-1.0,2850.0,-1,-1.0
1976,-1.0,-1,-1.0,3.0,-1,-1,546.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,43.0,3446.0,-1.0,-1,-1.0,-1,235.0,-1.0,-1.0,218.0,-1,51.0,48.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
1977,-1.0,-1,-1.0,4.0,-1,-1,814.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,49.0,3614.0,-1.0,-1,-1.0,-1,278.0,-1.0,-1.0,233.0,-1,60.0,56.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1978,-1.0,-1,-1.0,5.0,-1,-1,1170.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,49.0,3970.0,-1.0,-1,-1.0,-1,286.0,-1.0,-1.0,286.0,-1,60.0,55.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1979,-1.0,-1,-1.0,8.0,-1,-1,1043.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,46.0,3943.0,-1.0,-1,-1.0,-1,224.0,-1.0,-1.0,211.0,-1,61.0,53.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
1980,-1.0,-1,-1.0,5.0,-1,-1,795.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,43.0,3695.0,-1.0,-1,-1.0,-1,178.0,-1.0,-1.0,225.0,-1,62.0,57.0,-1,-1,-1.0,-1.0,2900.0,-1,-1.0
1981,-1.0,-1,-1.0,7.0,-1,-1,644.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,43.0,3224.0,-1.0,-1,-1.0,-1,135.0,-1.0,-1.0,272.0,-1,63.0,56.0,-1,-1,-1.0,-1.0,2580.0,-1,-1.0
1982,-1.0,-1,-1.0,7.0,-1,-1,514.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,45.0,3114.0,-1.0,-1,-1.0,-1,100.0,-1.0,-1.0,190.0,-1,64.0,57.0,-1,-1,-1.0,-1.0,2600.0,-1,-1.0
1983,-1.0,-1,-1.0,5.0,-1,-1,422.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,44.0,3072.0,-1.0,-1,-1.0,-1,101.0,-1.0,-1.0,225.0,-1,70.0,65.0,-1,-1,-1.0,-1.0,2650.0,-1,-1.0
1984,-1.0,-1,-1.0,5.0,-1,-1,427.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,47.0,3127.0,-1.0,-1,-1.0,-1,122.0,-1.0,-1.0,251.0,-1,74.0,69.0,-1,-1,-1.0,-1.0,2700.0,-1,-1.0
1985,-1.0,-1,-1.0,4.0,-1,-1,432.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,48.0,3132.0,-1.0,-1,-1.0,-1,90.0,-1.0,-1.0,265.0,-1,80.0,76.0,-1,-1,-1.0,-1.0,2700.0,-1,-1.0
1986,-1.0,-1,-1.0,4.0,-1,-1,413.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,48.0,3213.0,-1.0,-1,-1.0,-1,70.0,-1.0,-1.0,250.0,-1,73.0,69.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1987,-1.0,-1,-1.0,4.0,-1,-1,379.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,45.0,3179.0,-1.0,-1,-1.0,-1,69.0,-1.0,-1.0,245.0,-1,80.0,76.0,-1,-1,-1.0,-1.0,2800.0,-1,-1.0
1988,-1.0,-1,-1.0,4.0,-1,-1,263.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,45.0,3263.0,-1.0,-1,-1.0,-1,66.0,-1.0,-1.0,257.0,-1,80.0,76.0,-1,-1,-1.0,-1.0,3000.0,-1,-1.0
1989,-1.0,-1,-1.0,4.0,-1,-1,211.0,-1,-1,-1,-1,-1.0,-1,-1,-1.0,45.0,3711.0,-1.0,-1,-1.0,-1,61.0,-1.0,-1.0,240.0,-1,103.0,99.0,-1,-1,-1.0,-1.0,3500.0,-1,100.0
1990,-1.0,-1,-1.0,5.0,-1,-1,148.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,46.0,4148.0,100.0,-1,-1.0,-1,59.0,-1.0,-1.0,360.0,-1,96.0,91.0,-1,-1,-1.0,-1.0,4000.0,-1,100.0
1991,-1.0,-1,246.0,7.0,-1,-1,127.0,-1,-1,-1,-1,8.0,-1,-1,-1.0,50.0,4627.0,83.0,-1,48.0,-1,57.0,-1.0,-1.0,163.0,-1,110.0,103.0,-1,-1,-1.0,-1.0,4500.0,-1,100.0
1992,-1.0,-1,264.0,8.0,-1,-1,94.0,-1,-1,-1,-1,8.0,-1,-1,-1.0,49.0,5094.0,210.0,-1,57.0,-1,60.0,-1.0,-1.0,302.0,-1,112.0,104.0,-1,-1,12.0,-1.0,5000.0,-1,100.0
1993,-1.0,-1,255.0,12.0,-1,-1,64.0,-1,-1,-1,-1,10.0,-1,-1,-1.0,50.0,5564.0,190.0,-1,63.0,-1,61.0,-1.0,-1.0,320.0,-1,146.0,134.0,-1,-1,18.0,-1.0,5500.0,-1,100.0
1994,-1.0,-1,255.0,14.0,-1,-1,55.0,-1,-1,-1,-1,12.0,-1,-1,-1.0,51.0,6055.0,250.0,-1,69.0,-1,64.0,-1.0,-1.0,351.0,-1,169.0,155.0,-1,-1,12.0,-1.0,6000.0,-1,100.0
1995,-1.0,-1,251.0,13.0,-1,-1,49.0,-1,-1,-1,-1,10.0,-1,-1,-1.0,53.0,7049.0,220.0,-1,76.0,-1,63.0,-1.0,-1.0,388.0,-1,179.0,166.0,-1,-1,17.0,-1.0,7000.0,-1,100.0
1996,-1.0,-1,260.0,15.0,-1,-1,62.0,-1,-1,-1,-1,6.0,-1,-1,-1.0,50.0,6676.0,220.0,-1,81.0,-1,88.0,-1.0,-1.0,363.0,-1,180.0,165.0,-1,-1,14.0,-1.0,6614.0,-1,100.0
1997,-1.0,-1,264.0,18.0,-1,-1,60.0,-1,-1,-1,-1,5.0,-1,-1,-1.0,47.0,6587.0,190.0,-1,99.0,-1,98.0,-1.0,-1.0,289.0,-1,163.0,145.0,-1,-1,19.0,-1.0,6527.0,-1,100.0
1998,-1.0,-1,264.0,20.0,-1,-1,50.0,-1,-1,-1,-1,4.0,-1,-1,-1.0,44.0,7550.0,100.0,-1,96.0,-1,105.0,-1.0,-1.0,300.0,-1,170.0,150.0,-1,-1,30.0,-1.0,7500.0,-1,100.0
1999,-1.0,-1,264.0,41.0,-1,-1,40.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,44.0,8040.0,240.0,-1,93.0,-1,142.0,-1.0,-1.0,300.0,-1,173.0,132.0,-1,-1,14.0,-1.0,8000.0,-1,100.0
2000,3.0,-1,273.0,41.0,-1,-1,34.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,47.0,8534.0,280.0,-1,38.0,-1,163.0,-1.0,-1.0,326.0,-1,181.0,140.0,-1,-1,33.0,-1.0,8500.0,-1,100.0
2001,3.0,-1,277.0,41.0,-1,-1,40.0,-1,-1,-1,-1,0.0,-1,-1,0.0,47.0,9040.0,250.0,-1,56.0,-1,147.0,-1.0,-1.0,315.0,-1,142.0,101.0,-1,-1,16.0,-1.0,9000.0,-1,100.0
2002,3.0,-1,273.0,41.0,-1,-1,44.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,47.0,11044.0,180.0,-1,36.0,-1,177.0,-1.0,-1.0,334.0,-1,175.0,134.0,-1,-1,16.0,-1.0,11000.0,-1,100.0
2003,3.0,-1,220.0,41.0,-1,-1,41.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,43.0,12041.0,278.0,-1,174.0,-1,180.0,-1.0,1.0,308.0,-1,169.0,128.0,-1,-1,13.0,-1.0,12000.0,-1,100.0
2004,3.0,-1,220.0,41.0,-1,-1,46.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,56.0,14046.0,263.0,-1,168.0,-1,200.0,-1.0,1.0,309.0,-1,194.0,153.0,-1,-1,19.0,-1.0,14000.0,-1,85.0
2005,1.0,-1,220.0,42.0,-1,-1,42.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,56.0,15042.0,254.0,-1,145.0,-1,209.0,-1.0,1.0,291.0,-1,198.0,156.0,-1,-1,19.0,-1.0,15000.0,-1,77.0
2006,1.0,-1,260.0,43.0,-1,-1,38.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,56.0,16038.0,298.0,-1,153.0,-1,200.0,-1.0,1.0,318.0,-1,220.0,177.0,-1,-1,23.0,0.0,16000.0,-1,100.0
2007,1.0,-1,242.0,40.0,-1,-1,35.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,55.0,16535.0,377.0,-1,175.0,-1,215.0,-1.0,1.0,292.0,-1,221.0,181.0,-1,-1,29.0,0.0,16500.0,-1,100.0
2008,1.0,-1,251.0,38.0,-1,-1,33.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,50.0,17033.0,637.0,-1,149.0,-1,212.0,-1.0,1.0,261.0,-1,217.0,179.0,-1,-1,34.0,0.0,17000.0,-1,100.0
2009,1.0,-1,230.0,37.0,-1,-1,33.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,48.0,18033.0,700.0,-1,135.0,-1,200.0,-1.0,8.0,325.0,-1,196.0,159.0,-1,-1,55.0,0.0,18000.0,-1,76.0
2010,1.0,-1,264.0,31.0,-1,-1,26.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,47.0,18626.0,684.0,-1,112.0,-1,195.0,-1.0,5.0,550.0,-1,170.0,139.0,-1,-1,41.0,-1.0,18600.0,-1,73.0
2011,0.0,-1,273.0,25.0,-1,-1,30.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,50.0,19330.0,497.0,-1,93.0,-1,185.0,-1.0,5.0,574.0,-1,185.0,160.0,-1,-1,48.0,-1.0,19300.0,-1,68.0
2012,0.0,-1,233.0,15.0,-1,-1,27.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,50.0,22027.0,575.0,-1,86.0,-1,195.0,-1.0,4.0,562.0,-1,163.0,148.0,-1,-1,15.0,-1.0,22000.0,-1,66.0
2013,0.0,-1,264.0,11.0,-1,-1,24.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,50.0,24024.0,584.0,-1,116.0,-1,202.0,-1.0,4.0,574.0,-1,169.0,158.0,-1,-1,43.0,-1.0,24000.0,-1,70.0
2014,0.0,-1,261.0,5.0,-1,-1,25.0,-1,-1,-1,-1,0.0,-1,-1,-1.0,50.0,25881.0,586.0,-1,210.0,-1,205.0,0.0,4.0,585.0,-1,221.0,216.0,-1,-1,37.0,-1.0,25856.0,-1,72.0
