,India,Dominican Republic,Malawi,United Republic of Tanzania,Burundi,Trinidad and Tobago,Myanmar,Venezuela (Bolivarian Republic of),Jamaica,Bahamas,Saint Vincent and the Grenadines,Bangladesh,Democratic Republic of the Congo,Panama,Nepal,Kenya,Pakistan,Uganda,Haiti
1991,72540.0,1456.0,7600.0,1834.0,97.0,30.0,3401.0,296.0,117.0,7.0,0.0,174.0,263.0,108.0,717.0,0.0,0.0,2480.0,150.0
1992,71520.0,1441.0,7440.0,1928.0,89.0,33.0,6437.0,351.0,92.0,6.0,0.0,173.0,277.0,68.0,755.0,0.0,0.0,2560.0,146.0
1993,70640.0,1031.0,7200.0,2022.0,84.0,36.0,6933.0,323.0,87.0,4.0,0.0,180.0,291.0,72.0,680.0,0.0,0.0,2680.0,109.0
1994,66280.0,1222.0,7760.0,2117.0,100.0,57.0,7734.0,256.0,90.0,4.0,0.0,180.0,308.0,76.0,780.0,0.0,0.0,2800.0,128.0
1995,68940.0,1391.0,8440.0,2211.0,92.0,54.0,7491.0,209.0,98.0,4.0,0.0,180.0,308.0,90.0,820.0,0.0,0.0,2840.0,145.0
1996,70270.0,655.0,9200.0,2305.0,96.0,48.0,8559.0,206.0,98.0,4.0,0.0,183.0,336.0,96.0,900.0,2529.0,0.0,2880.0,125.0
1997,67178.0,958.0,9861.0,2399.0,92.0,30.0,7551.0,209.0,81.0,4.0,0.0,183.0,326.0,54.0,1018.0,3034.0,0.0,2960.0,128.0
1998,68790.0,1000.0,10099.0,2493.0,80.0,48.0,8085.0,74.0,78.0,4.0,0.0,158.0,329.0,55.0,1041.0,2906.0,0.0,3040.0,116.0
1999,68540.0,560.0,10965.0,2587.0,72.0,30.0,9240.0,76.0,74.0,3.0,0.0,158.0,333.0,53.0,908.0,3437.0,0.0,3120.0,137.0
2000,72646.0,840.0,10849.0,2681.0,92.0,48.0,10866.0,52.0,70.0,3.0,0.0,121.0,312.0,52.0,1150.0,3280.0,0.0,3200.0,135.0
2001,66554.0,1120.0,11172.0,2775.0,88.0,75.0,14532.0,79.0,62.0,3.0,0.0,121.0,336.0,48.0,1000.0,3289.0,0.0,3280.0,459.0
2002,67178.0,1136.0,11813.0,2869.0,94.0,45.0,15407.0,98.0,56.0,4.0,0.0,121.0,339.0,49.0,1000.0,3672.0,0.0,3360.0,730.0
2003,70312.0,881.0,11087.0,2842.0,96.0,35.0,15735.0,138.0,54.0,4.0,0.0,97.0,337.0,49.0,1000.0,3906.0,0.0,3360.0,958.0
2004,70370.0,716.0,12479.0,3248.0,97.0,27.0,16584.0,56.0,34.0,3.0,0.0,63.0,340.0,49.0,1000.0,3605.0,0.0,3400.0,1154.0
2005,71614.0,1056.0,12014.0,3248.0,100.0,30.0,16014.0,90.0,47.0,4.0,0.0,52.0,343.0,49.0,1100.0,3933.0,0.0,3440.0,1324.0
2006,71232.0,818.0,12921.0,3025.0,112.0,11.0,16998.0,70.0,44.0,4.0,0.0,45.0,314.0,49.0,1100.0,3091.0,0.0,3480.0,1472.0
2007,74570.0,880.0,13423.0,2500.0,120.0,24.0,17664.0,70.0,34.0,4.0,0.0,36.0,316.0,39.0,1100.0,3919.0,0.0,1040.0,1603.0
2008,67600.0,991.0,14059.0,2278.0,124.0,22.0,18351.0,70.0,45.0,5.0,0.0,27.0,319.0,39.0,1100.0,2363.0,0.0,1240.0,1720.0
2009,69400.0,938.0,15235.0,3740.0,160.0,38.0,18486.0,70.0,43.0,3.0,2.0,24.0,355.0,39.0,1200.0,3175.0,0.0,1280.0,1824.0
2010,88400.0,929.0,15724.0,5763.0,180.0,29.0,19294.0,70.0,50.0,3.0,2.0,22.0,404.0,39.0,1000.0,2774.0,0.0,1320.0,1918.0
2011,80800.0,1009.0,16272.0,5146.0,213.0,30.0,19500.0,80.0,48.0,3.0,2.0,15.0,385.0,39.0,1000.0,5523.0,0.0,1320.0,2103.0
2012,93000.0,964.0,17365.0,5744.0,191.0,27.0,19500.0,80.0,50.0,3.0,3.0,12.0,385.0,39.0,1000.0,5128.0,0.0,1320.0,2173.0
2013,112040.0,924.0,6540.0,5010.0,336.0,15.0,19500.0,80.0,46.0,3.0,2.0,12.0,339.0,39.0,1100.0,5522.0,0.0,1320.0,2211.0
2014,112040.0,924.0,6540.0,5010.0,336.0,15.0,19500.0,80.0,46.0,3.0,2.0,12.0,339.0,39.0,1100.0,5522.0,0.0,1320.0,2211.0
