,Iraq,"China, Taiwan Province of",United Arab Emirates,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Lao People's Democratic Republic,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Melanesia,Australia & New Zealand,Barbados,Guatemala,French Polynesia,El Salvador,American Samoa,Haiti,Ukraine,Guinea,Israel,Fiji,Wallis and Futuna Islands,Kuwait,Switzerland,Uruguay,Azerbaijan,Egypt,Sudan (former),China,Colombia,Libya,Lebanon,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Portugal,Brazil,"China, mainland",Italy,Costa Rica,Peru,Yemen,Cameroon,Grenada,Malta,Dominican Republic,South Sudan,Namibia,Denmark,Canada,Japan,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Belize,France,United States of America,Bangladesh,Sudan,Pakistan,Czechoslovakia,Cuba,Czechia,Argentina,Paraguay,Democratic People's Republic of Korea,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,South Africa,Polynesia,Réunion,Panama,Ghana,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1971,18000.0,4830.0,60.0,849.0,200.0,15936.0,-1.0,190.0,-1.0,-1.0,8000.0,-1.0,30000.0,8059.0,46.0,1969.0,-1.0,-1.0,6.0,940.0,-1.0,200.0,-1.0,-1.0,2175.0,20.0,14.0,150.0,-1.0,570.0,-1.0,12602.0,420.0,84830.0,390.0,1049.0,167.0,-1.0,4700.0,2220.0,-1,-1.0,4100.0,5692.0,80000.0,12341.0,-1.0,735.0,-1.0,-1.0,-1.0,371.0,90.0,-1.0,-1.0,19.0,75.0,12520.0,2900.0,1944.0,-1.0,602.0,2.0,59900.0,25.0,20.0,-1.0,14550.0,45607.0,6698.0,-1.0,11700.0,307.0,1961.0,-1.0,5060.0,4500.0,3000.0,14000.0,10.0,-1,-1.0,8100.0,-1.0,17693.0,14500.0,161.0,201.0,942.0,-1.0,2200.0,-1.0,-1.0,-1.0,26.0,1800.0,20.0,-1.0,5.0,-1,65.0,-1.0,80000.0,-1.0,-1
1972,17500.0,4518.0,75.0,311.0,200.0,17887.0,-1.0,200.0,-1.0,-1.0,8200.0,-1.0,30000.0,7472.0,42.0,2173.0,-1.0,-1.0,6.0,1140.0,-1.0,200.0,-1.0,-1.0,2520.0,15.0,15.0,150.0,-1.0,570.0,-1.0,11762.0,420.0,84518.0,395.0,1790.0,183.0,-1.0,4550.0,2400.0,-1,-1.0,3000.0,5764.0,80000.0,12502.0,-1.0,793.0,-1.0,-1.0,-1.0,338.0,40.0,-1.0,-1.0,18.0,30.0,13140.0,2900.0,2153.0,-1.0,669.0,2.0,62700.0,20.0,20.0,-1.0,13111.0,44899.0,6222.0,-1.0,13000.0,441.0,3687.0,-1.0,4540.0,4500.0,3000.0,15000.0,10.0,-1,-1.0,8100.0,-1.0,17231.0,15600.0,533.0,224.0,1251.0,-1.0,2200.0,-1.0,-1.0,-1.0,27.0,1900.0,21.0,-1.0,16.0,-1,60.0,-1.0,78000.0,-1.0,-1
1973,12957.0,5708.0,75.0,38.0,200.0,7777.0,-1.0,200.0,-1.0,-1.0,7592.0,-1.0,33000.0,8084.0,42.0,1959.0,-1.0,-1.0,6.0,1150.0,-1.0,200.0,-1.0,-1.0,1920.0,15.0,15.0,117.0,-1.0,570.0,-1.0,11762.0,420.0,92708.0,400.0,2430.0,201.0,-1.0,4400.0,1900.0,-1,-1.0,3500.0,5211.0,87000.0,11783.0,-1.0,596.0,-1.0,-1.0,-1.0,356.0,45.0,-1.0,-1.0,15.0,28.0,13440.0,2900.0,1939.0,-1.0,602.0,3.0,62700.0,20.0,25.0,-1.0,13248.0,43301.0,6139.0,-1.0,13800.0,341.0,3544.0,-1.0,5900.0,5000.0,3000.0,15500.0,10.0,-1,-1.0,8200.0,-1.0,18030.0,13100.0,349.0,250.0,1770.0,-1.0,2300.0,-1.0,-1.0,-1.0,27.0,1200.0,21.0,-1.0,25.0,-1,55.0,-1.0,72000.0,-1.0,-1
1974,8485.0,5257.0,80.0,1885.0,200.0,19499.0,-1.0,200.0,-1.0,-1.0,6400.0,-1.0,33500.0,9627.0,43.0,1780.0,-1.0,-1.0,25.0,1150.0,-1.0,200.0,-1.0,-1.0,2290.0,15.0,15.0,113.0,-1.0,570.0,-1.0,12602.0,450.0,92257.0,426.0,2764.0,433.0,-1.0,4100.0,1740.0,-1,-1.0,3325.0,4348.0,87000.0,11544.0,-1.0,686.0,-1.0,-1.0,-1.0,361.0,45.0,-1.0,-1.0,14.0,30.0,12610.0,3000.0,1760.0,-1.0,669.0,2.0,58700.0,20.0,24.0,-1.0,12837.0,33265.0,5937.0,-1.0,14300.0,235.0,4407.0,-1.0,3700.0,5000.0,3200.0,16000.0,10.0,-1,-1.0,8600.0,-1.0,18532.0,11600.0,461.0,365.0,1230.0,-1.0,2500.0,-1.0,-1.0,-1.0,28.0,1400.0,40.0,-1.0,52.0,-1,64.0,-1.0,70000.0,-1.0,-1
1975,9795.0,6215.0,10.0,1403.0,200.0,17541.0,-1.0,170.0,-1.0,-1.0,6900.0,-1.0,34000.0,11295.0,44.0,1608.0,-1.0,-1.0,40.0,1150.0,-1.0,200.0,-1.0,-1.0,1660.0,15.0,15.0,141.0,-1.0,580.0,-1.0,13442.0,500.0,93215.0,390.0,2806.0,500.0,-1.0,3693.0,1900.0,-1,-1.0,3000.0,4109.0,87000.0,11753.0,-1.0,651.0,-1.0,-1.0,-1.0,339.0,55.0,-1.0,-1.0,13.0,30.0,12360.0,2900.0,1588.0,-1.0,401.0,2.0,67400.0,20.0,18.0,-1.0,13171.0,35705.0,7171.0,-1.0,14200.0,275.0,8044.0,-1.0,5720.0,5000.0,3500.0,17000.0,50.0,-1,-1.0,9000.0,-1.0,13705.0,12800.0,496.0,407.0,923.0,-1.0,3000.0,-1.0,-1.0,-1.0,29.0,1200.0,55.0,-1.0,45.0,-1,68.0,-1.0,75000.0,-1.0,-1
1976,10686.0,7430.0,21.0,833.0,200.0,26068.0,-1.0,180.0,-1.0,-1.0,7100.0,-1.0,35000.0,11563.0,44.0,1815.0,-1.0,-1.0,40.0,1100.0,-1.0,200.0,-1.0,-1.0,1880.0,15.0,15.0,164.0,-1.0,700.0,-1.0,14548.0,550.0,94430.0,500.0,2787.0,550.0,-1.0,3869.0,1467.0,-1,-1.0,3200.0,3926.0,87000.0,12633.0,-1.0,700.0,-1.0,-1.0,-1.0,406.0,65.0,-1.0,-1.0,10.0,30.0,12370.0,4300.0,1790.0,-1.0,334.0,5.0,69400.0,25.0,24.0,-1.0,14059.0,36291.0,7746.0,-1.0,12700.0,318.0,7353.0,-1.0,5500.0,5000.0,4000.0,17000.0,80.0,-1,-1.0,10000.0,-1.0,15647.0,12800.0,572.0,454.0,583.0,-1.0,4000.0,-1.0,-1.0,-1.0,29.0,1800.0,55.0,-1.0,55.0,-1,85.0,-1.0,79000.0,-1.0,-1
1977,12224.0,8740.0,39.0,1270.0,200.0,25917.0,-1.0,180.0,-1.0,-1.0,7100.0,-1.0,37000.0,10537.0,45.0,2196.0,-1.0,-1.0,40.0,930.0,-1.0,200.0,-1.0,-1.0,2050.0,15.0,15.0,198.0,-1.0,710.0,-1.0,10932.0,580.0,100740.0,560.0,2792.0,600.0,-1.0,4089.0,1748.0,-1,-1.0,3000.0,4285.0,92000.0,12560.0,-1.0,696.0,-1.0,-1.0,-1.0,430.0,65.0,-1.0,-1.0,8.0,40.0,13180.0,3000.0,2166.0,-1.0,428.0,2.0,62400.0,30.0,25.0,-1.0,13975.0,38639.0,7764.0,-1.0,11000.0,284.0,4200.0,-1.0,5350.0,5500.0,5000.0,18000.0,80.0,-1,-1.0,12000.0,283.0,17940.0,12200.0,664.0,505.0,913.0,-1.0,4500.0,-1.0,-1.0,-1.0,30.0,1600.0,55.0,-1.0,77.0,-1,64.0,-1.0,78000.0,-1.0,-1
1978,13461.0,9600.0,129.0,935.0,200.0,28785.0,-1.0,190.0,-1.0,-1.0,7500.0,-1.0,39000.0,10177.0,45.0,2529.0,-1.0,-1.0,50.0,1020.0,-1.0,200.0,-1.0,-1.0,2650.0,15.0,16.0,186.0,-1.0,700.0,-1.0,12887.0,600.0,106600.0,570.0,2789.0,600.0,-1.0,4800.0,1407.0,-1,-1.0,3100.0,4284.0,97000.0,12817.0,-1.0,692.0,-1.0,-1.0,-1.0,407.0,70.0,-1.0,-1.0,8.0,30.0,13770.0,3000.0,2493.0,-1.0,268.0,1.0,62400.0,36.0,30.0,-1.0,15000.0,47891.0,8045.0,-1.0,12200.0,340.0,4000.0,-1.0,5800.0,6000.0,5500.0,18500.0,50.0,-1,-1.0,12700.0,292.0,26321.0,11900.0,571.0,563.0,1000.0,-1.0,5000.0,-1.0,-1.0,-1.0,30.0,1600.0,66.0,-1.0,112.0,-1,65.0,-1.0,87000.0,-1.0,-1
1979,13075.0,10585.0,178.0,1153.0,200.0,29982.0,-1.0,190.0,-1.0,-1.0,8000.0,-1.0,40000.0,12907.0,46.0,2353.0,-1.0,-1.0,40.0,1020.0,-1.0,210.0,-1.0,-1.0,2870.0,15.0,16.0,126.0,-1.0,700.0,-1.0,16044.0,620.0,105585.0,600.0,2700.0,700.0,-1.0,6600.0,1669.0,-1,-1.0,3000.0,5157.0,95000.0,13242.0,-1.0,572.0,2664.0,-1.0,-1.0,439.0,70.0,-1.0,-1.0,8.0,30.0,13970.0,2900.0,2317.0,-1.0,247.0,5.0,67600.0,36.0,38.0,-1.0,16000.0,45615.0,8118.0,-1.0,13200.0,429.0,5000.0,-1.0,5900.0,6000.0,6000.0,20000.0,50.0,-1,-1.0,13000.0,370.0,25629.0,13000.0,565.0,701.0,623.0,-1.0,6000.0,-1.0,-1.0,-1.0,31.0,1600.0,56.0,-1.0,93.0,-1,65.0,-1.0,78000.0,-1.0,-1
1980,18025.0,10706.0,650.0,1498.0,200.0,23417.0,-1.0,200.0,-1.0,-1.0,7700.0,-1.0,43000.0,10139.0,47.0,2384.0,-1.0,509.0,80.0,1050.0,-1.0,210.0,-1.0,-1.0,2980.0,15.0,16.0,136.0,-1.0,608.0,-1.0,17163.0,745.0,105706.0,600.0,3000.0,800.0,-1.0,6700.0,1488.0,-1,-1.0,3000.0,5671.0,95000.0,13415.0,-1.0,516.0,2563.0,-1.0,-1.0,414.0,70.0,-1.0,-1.0,6.0,16.0,14310.0,2800.0,2295.0,-1.0,254.0,3.0,66600.0,89.0,27.0,-1.0,15486.0,42714.0,8239.0,-1.0,11538.0,458.0,7083.0,-1.0,5900.0,6000.0,6500.0,21500.0,30.0,-1,-1.0,14000.0,242.0,27052.0,11700.0,818.0,682.0,1059.0,15.0,8000.0,-1.0,-1.0,-1.0,32.0,1600.0,96.0,-1.0,93.0,-1,65.0,-1.0,76000.0,-1.0,-1
1981,25750.0,9344.0,720.0,3134.0,200.0,28525.0,-1.0,200.0,-1.0,-1.0,7500.0,-1.0,44000.0,8257.0,48.0,1467.0,-1.0,865.0,70.0,1100.0,-1.0,210.0,-1.0,-1.0,3550.0,15.0,16.0,94.0,-1.0,630.0,-1.0,17866.0,750.0,114344.0,620.0,2900.0,850.0,-1.0,6150.0,1436.0,-1,-1.0,3100.0,5514.0,105000.0,13437.0,-1.0,580.0,2461.0,-1.0,-1.0,426.0,70.0,-1.0,-1.0,5.0,20.0,14570.0,2700.0,1415.0,-1.0,268.0,9.0,70800.0,52.0,27.0,-1.0,15000.0,42896.0,7934.0,-1.0,16098.0,491.0,7822.0,-1.0,5200.0,6000.0,6700.0,22000.0,45.0,-1,-1.0,15000.0,196.0,21901.0,14100.0,1097.0,1100.0,1512.0,54.0,6200.0,-1.0,-1.0,-1.0,33.0,1800.0,86.0,-1.0,100.0,-1,65.0,-1.0,72000.0,-1.0,-1
1982,36575.0,10595.0,1510.0,7309.0,200.0,29059.0,-1.0,200.0,-1.0,-1.0,8100.0,-1.0,45713.0,11401.0,43.0,1740.0,-1.0,1468.0,40.0,1100.0,-1.0,210.0,-1.0,-1.0,2600.0,10.0,16.0,175.0,-1.0,630.0,-1.0,18609.0,760.0,125595.0,640.0,2748.0,900.0,-1.0,6150.0,1345.0,-1,-1.0,3150.0,5990.0,115000.0,15787.0,-1.0,500.0,2553.0,-1.0,-1.0,551.0,200.0,-1.0,-1.0,5.0,21.0,15380.0,2800.0,1682.0,-1.0,268.0,7.0,66500.0,58.0,19.0,-1.0,15000.0,55000.0,7821.0,-1.0,15843.0,560.0,6933.0,-1.0,4700.0,6000.0,7000.0,23500.0,45.0,-1,-1.0,16000.0,208.0,25404.0,16100.0,442.0,1200.0,1526.0,64.0,5000.0,-1.0,-1.0,-1.0,33.0,1800.0,56.0,-1.0,100.0,-1,65.0,-1.0,74000.0,-1.0,-1
1983,31550.0,11838.0,1875.0,3640.0,200.0,26300.0,-1.0,200.0,-1.0,-1.0,8700.0,-1.0,57705.0,7655.0,44.0,2352.0,-1.0,1307.0,40.0,1200.0,-1.0,220.0,-1.0,-1.0,2760.0,10.0,16.0,228.0,-1.0,630.0,-1.0,17640.0,800.0,136838.0,650.0,3001.0,950.0,-1.0,6000.0,1161.0,-1,-1.0,3100.0,6507.0,125000.0,15883.0,200.0,526.0,2809.0,-1.0,-1.0,466.0,450.0,-1.0,-1.0,5.0,23.0,16080.0,2700.0,2282.0,-1.0,281.0,5.0,63400.0,70.0,49.0,-1.0,15000.0,49000.0,8645.0,-1.0,18159.0,731.0,8873.0,-1.0,4940.0,6000.0,7500.0,25000.0,50.0,-1,-1.0,17000.0,120.0,23217.0,16000.0,450.0,1195.0,1578.0,70.0,6540.0,-1.0,-1.0,-1.0,34.0,1800.0,56.0,-1.0,110.0,-1,65.0,-1.0,75000.0,-1.0,-1
1984,34550.0,10324.0,2122.0,4629.0,200.0,22100.0,-1.0,200.0,-1.0,-1.0,7700.0,-1.0,59145.0,7721.0,45.0,2464.0,-1.0,1583.0,40.0,1300.0,-1.0,220.0,-1.0,-1.0,3060.0,10.0,16.0,70.0,-1.0,630.0,-1.0,18900.0,750.0,145324.0,850.0,3122.0,850.0,-1.0,5800.0,1060.0,-1,-1.0,3120.0,6288.0,135000.0,15766.0,200.0,667.0,1507.0,-1.0,-1.0,490.0,600.0,-1.0,-1.0,5.0,40.0,16380.0,2600.0,2384.0,-1.0,334.0,3.0,66132.0,80.0,57.0,-1.0,15500.0,54000.0,9000.0,-1.0,18907.0,982.0,7522.0,-1.0,5300.0,6000.0,7500.0,26500.0,50.0,-1,-1.0,18000.0,218.0,27143.0,17900.0,887.0,1200.0,1524.0,40.0,6000.0,-1.0,-1.0,-1.0,35.0,1800.0,56.0,80.0,160.0,-1,65.0,-1.0,79000.0,-1.0,-1
1985,39725.0,9671.0,1012.0,6477.0,200.0,35700.0,70.0,200.0,-1.0,-1.0,8339.0,-1.0,65510.0,6872.0,46.0,2659.0,-1.0,1794.0,40.0,1300.0,-1.0,220.0,-1.0,-1.0,3460.0,10.0,16.0,255.0,-1.0,630.0,-1.0,19320.0,800.0,221671.0,850.0,2500.0,850.0,-1.0,5100.0,933.0,-1,-1.0,3000.0,6395.0,212000.0,15858.0,200.0,596.0,1591.0,-1.0,-1.0,490.0,2162.0,-1.0,-1.0,5.0,35.0,16470.0,2600.0,2559.0,-1.0,241.0,13.0,63790.0,100.0,54.0,-1.0,15500.0,59000.0,9708.0,-1.0,14909.0,844.0,7776.0,-1.0,5340.0,5600.0,7500.0,28000.0,63.0,-1,-1.0,19000.0,189.0,26056.0,27900.0,1285.0,1100.0,1400.0,45.0,8000.0,-1.0,-1.0,-1.0,36.0,2500.0,56.0,140.0,330.0,-1,65.0,-1.0,95000.0,-1.0,-1
