,Cuba,Dominican Republic,Mexico,Puerto Rico,Peru,Panama,Trinidad and Tobago,El Salvador,Belize,Saint Lucia,Nicaragua,Dominica,Costa Rica,Venezuela (Bolivarian Republic of)
1981,75637.0,39000.0,,,50509.0,67108.0,121053.0,,,51765.0,,91441.0,,58059.0
1982,46963.0,38891.0,,,51549.0,72592.0,120000.0,,,50000.0,,87310.0,,57854.0
1983,55135.0,56481.0,,,51615.0,67791.0,117647.0,,,50000.0,,89157.0,,59331.0
1984,57840.0,57327.0,,,52030.0,65508.0,100000.0,,,50000.0,,90423.0,,63683.0
1985,51942.0,64202.0,,,50000.0,69208.0,100000.0,,,52174.0,,84615.0,,59797.0
1986,71365.0,58203.0,,,50980.0,69476.0,100000.0,,,52174.0,,84724.0,,58289.0
1987,42180.0,58637.0,,,50980.0,68873.0,100000.0,,,54167.0,,84254.0,,57899.0
1988,39303.0,63789.0,,,51923.0,72052.0,100000.0,,,54167.0,,69477.0,,59211.0
1989,29598.0,62914.0,,,51923.0,65270.0,100000.0,,116818.0,56000.0,,59969.0,,58818.0
1990,28571.0,57066.0,,,55556.0,66540.0,104340.0,,73617.0,63500.0,,83159.0,,59050.0
1991,25894.0,56959.0,,,53717.0,60662.0,100000.0,,43623.0,57692.0,123635.0,76477.0,,61979.0
1992,23585.0,76451.0,28605.0,,53982.0,61270.0,100033.0,,105200.0,58665.0,122979.0,69952.0,,62497.0
1993,14589.0,57457.0,31895.0,,54500.0,60606.0,99998.0,,115385.0,59259.0,122323.0,74208.0,100000.0,64005.0
1994,12980.0,79191.0,33053.0,,51823.0,61193.0,99963.0,200728.0,27200.0,59561.0,121668.0,73171.0,100000.0,65996.0
1995,19227.0,79807.0,61359.0,,45714.0,61109.0,99928.0,189655.0,73671.0,60714.0,121012.0,73612.0,100000.0,72262.0
1996,21094.0,69457.0,86075.0,,48730.0,61000.0,100000.0,187854.0,75217.0,60000.0,120356.0,73109.0,89979.0,72909.0
1997,26483.0,68834.0,35082.0,,47914.0,60160.0,99857.0,180000.0,45918.0,59992.0,119700.0,72585.0,93654.0,74558.0
1998,44398.0,71319.0,37500.0,,46927.0,59930.0,99821.0,182637.0,73289.0,60114.0,119044.0,72021.0,85723.0,94745.0
1999,85282.0,77719.0,65786.0,69231.0,54852.0,60705.0,99785.0,181139.0,94141.0,60527.0,118389.0,73387.0,97100.0,99589.0
2000,82612.0,79341.0,73225.0,68889.0,52924.0,58930.0,100000.0,185714.0,78462.0,60818.0,117733.0,70544.0,118890.0,98413.0
2001,75867.0,76696.0,81261.0,67857.0,53025.0,59765.0,100000.0,175451.0,97652.0,62799.0,117077.0,69718.0,91586.0,109078.0
2002,102889.0,79100.0,94952.0,68570.0,56644.0,58833.0,100000.0,170874.0,63259.0,62307.0,116421.0,68510.0,113691.0,94708.0
2003,119626.0,111245.0,110274.0,69161.0,55738.0,58840.0,100000.0,165522.0,62533.0,61947.0,115665.0,67531.0,171712.0,94997.0
2004,108027.0,130641.0,126156.0,69383.0,53335.0,71522.0,100000.0,156961.0,66000.0,62500.0,114810.0,66542.0,192264.0,108813.0
2005,100099.0,64295.0,147047.0,69607.0,53200.0,58600.0,100000.0,149316.0,62444.0,59412.0,113955.0,65590.0,115663.0,111956.0
2006,100097.0,59031.0,169218.0,70149.0,57413.0,59171.0,99517.0,141877.0,62143.0,57778.0,113099.0,64633.0,96095.0,109051.0
2007,97399.0,62893.0,100000.0,70588.0,57366.0,58827.0,100000.0,134181.0,104000.0,60000.0,112244.0,63679.0,86823.0,111830.0
2008,90290.0,61995.0,249643.0,69737.0,53704.0,58219.0,98172.0,126375.0,72609.0,62500.0,111388.0,62737.0,93805.0,111375.0
2009,73778.0,64578.0,340000.0,66907.0,54833.0,57015.0,97268.0,118596.0,54722.0,61111.0,116046.0,61811.0,90675.0,118620.0
2010,69411.0,66405.0,393725.0,65000.0,55030.0,55872.0,90000.0,110980.0,78072.0,63107.0,117290.0,57895.0,99745.0,115828.0
2011,81332.0,65313.0,421176.0,62889.0,54551.0,49108.0,96998.0,103672.0,88387.0,64310.0,136364.0,60137.0,94767.0,114759.0
2012,100478.0,63132.0,460502.0,60714.0,54251.0,53211.0,100000.0,93478.0,92273.0,67700.0,89888.0,59513.0,75922.0,111671.0
2013,113367.0,59078.0,493286.0,58333.0,54207.0,56958.0,100000.0,93478.0,91538.0,65750.0,98718.0,60000.0,98311.0,116912.0
2014,161238.0,62284.0,424928.0,56592.0,54172.0,57165.0,98769.0,85368.0,102353.0,65210.0,104392.0,57813.0,120000.0,113507.0
