,Sao Tome and Principe,Seychelles,Dominica,Ethiopia PDR,Grenada,Sri Lanka,Comoros,China,Viet Nam,Indonesia,"China, mainland",Madagascar,Timor-Leste,"China, Macao SAR"
1989,30.0,280.0,14.0,-1.0,64.0,10235.0,-1.0,20000.0,3000.0,24305.0,20000.0,4100.0,70.0,-1
1990,31.0,180.0,12.0,0.0,64.0,10453.0,0.0,24753.0,3200.0,26507.0,24753.0,2000.0,76.0,-1
1991,60.0,462.0,15.0,0.0,64.0,9877.0,0.0,21000.0,3456.0,27049.0,21000.0,2500.0,65.0,-1
1992,60.0,263.0,31.0,0.0,65.0,10534.0,0.0,22000.0,3400.0,29364.0,22000.0,2100.0,67.0,-1
1993,60.0,242.0,39.0,-1.0,64.0,12200.0,-1.0,23000.0,3500.0,32365.0,23000.0,2100.0,68.0,-1
1994,60.0,469.0,40.0,-1.0,66.0,11923.0,-1.0,20000.0,4000.0,35436.0,20000.0,1900.0,71.0,-1
1995,60.0,620.0,45.0,-1.0,64.0,12000.0,10.0,25000.0,4400.0,37334.0,25000.0,1700.0,67.0,-1
1996,60.0,680.0,48.0,-1.0,50.0,11970.0,8.0,28000.0,4061.0,39445.0,28000.0,1500.0,75.0,-1
1997,60.0,552.0,50.0,-1.0,62.0,12170.0,9.0,30000.0,3672.0,37200.0,30000.0,1608.0,79.0,-1
1998,60.0,478.0,51.0,-1.0,63.0,11740.0,5.0,31500.0,3108.0,42000.0,31500.0,1600.0,82.0,-1
1999,60.0,385.0,52.0,-1.0,63.0,12220.0,6.0,35000.0,4500.0,38300.0,35000.0,1542.0,84.0,-1
2000,59.0,300.0,53.0,-1.0,64.0,12320.0,6.0,37000.0,4852.0,45237.0,37000.0,1500.0,86.0,-1
2001,59.0,305.0,53.0,-1.0,64.0,12620.0,7.0,40000.0,4895.0,40635.0,40000.0,1487.0,88.0,-1
2002,59.0,310.0,54.0,-1.0,65.0,12920.0,8.0,45000.0,5500.0,45373.0,45000.0,1498.0,89.0,-1
2003,59.0,200.0,55.0,-1.0,66.0,13020.0,8.0,47000.0,6000.0,64830.0,47000.0,1500.0,91.0,-1
2004,59.0,150.0,55.0,-1.0,68.0,12810.0,9.0,48000.0,10000.0,99465.0,48000.0,1500.0,93.0,-1
2005,60.0,120.0,56.0,-1.0,68.0,13380.0,9.0,50000.0,9500.0,100775.0,50000.0,1550.0,94.0,-1
2006,60.0,100.0,56.0,-1.0,69.0,12990.0,10.0,53721.0,15000.0,100471.0,53721.0,1550.0,96.0,-1
2007,60.0,63.0,60.0,-1.0,70.0,13360.0,10.0,55000.0,18000.0,101880.0,55000.0,1650.0,98.0,-1
2008,60.0,94.0,56.0,-1.0,71.0,13430.0,11.0,56700.0,18000.0,102039.0,56700.0,1500.0,99.0,-1
2009,60.0,63.0,55.0,-1.0,72.0,14600.0,11.0,58000.0,20000.0,106270.0,58000.0,1800.0,101.0,-1
2010,62.0,23.0,54.0,-1.0,73.0,15790.0,12.0,63000.0,21585.0,88100.0,63000.0,2500.0,103.0,-1
2011,59.0,39.0,53.0,-1.0,74.0,15940.0,13.0,65962.0,24552.0,90300.0,65962.0,2300.0,104.0,-1
2012,55.0,42.0,50.0,-1.0,100.0,16090.0,13.0,69000.0,27207.0,89600.0,69000.0,2400.0,108.0,-1
2013,58.0,14.0,52.0,-1.0,76.0,15865.0,14.0,69500.0,29441.0,92000.0,69500.0,2400.0,107.0,-1
2014,59.0,8.0,52.0,-1.0,75.0,16766.0,14.0,71146.0,31674.0,91400.0,71146.0,2374.0,109.0,-1
