,Bangladesh,Uruguay,Hungary,Morocco,Mexico,Australia,Portugal,Thailand,Australia & New Zealand,Netherlands,Canada,Czechia,Spain,Argentina,Turkey
1998,-1,2100.0,32845.0,0.0,412.0,4500.0,-1,2303.0,4500.0,-1.0,235300.0,-1.0,64.0,29493.0,272.0
1999,-1,2210.0,16832.0,0.0,293.0,5000.0,-1,2400.0,5000.0,-1.0,166000.0,-1.0,62.0,23917.0,320.0
2000,-1,2380.0,11288.0,0.0,200.0,5500.0,-1,2384.0,5500.0,-1.0,170800.0,-1.0,60.0,22217.0,234.0
2001,-1,2550.0,5134.0,0.0,147.0,5223.0,-1,3600.0,5223.0,-1.0,113900.0,-1.0,55.0,19255.0,210.0
2002,-1,2635.0,8391.0,0.0,313.0,5500.0,-1,14000.0,5500.0,-1.0,177500.0,-1.0,50.0,16660.0,450.0
2003,-1,2465.0,7802.0,0.0,980.0,5500.0,-1,30000.0,5500.0,-1.0,226400.0,-1.0,45.0,18216.0,600.0
2004,-1,3060.0,20134.0,0.0,532.0,5500.0,-1,29444.0,5500.0,-1.0,300500.0,700.0,40.0,17456.0,560.0
2005,-1,3145.0,12934.0,0.0,388.0,5500.0,-1,29943.0,5500.0,-1.0,227200.0,676.0,35.0,16502.0,100.0
2006,-1,3190.0,9449.0,0.0,294.0,3000.0,-1,29197.0,3000.0,-1.0,133100.0,580.0,30.0,14704.0,61.0
2007,-1,3230.0,5972.0,0.0,183.0,4000.0,-1,31500.0,4000.0,-1.0,162000.0,679.0,25.0,8930.0,62.0
2008,-1,3400.0,12343.0,53.0,227.0,5000.0,-1,31420.0,5000.0,-1.0,195600.0,690.0,20.0,10023.0,17.0
2009,-1,3825.0,5389.0,62.0,112.0,4929.0,-1,32344.0,4929.0,-1.0,196100.0,701.0,15.0,9763.0,61.0
2010,-1,3688.0,3118.0,78.0,197.0,4928.0,-1,35073.0,4928.0,-1.0,153500.0,712.0,14.0,27419.0,83.0
2011,-1,3659.0,2550.0,78.0,176.0,5000.0,-1,33677.0,5000.0,-1.0,128600.0,723.0,7.0,23280.0,30.0
2012,-1,3600.0,4790.0,78.0,164.0,6000.0,-1,34000.0,6000.0,-1.0,149700.0,800.0,50.0,18204.0,2.0
2013,-1,3500.0,1320.0,77.0,165.0,5600.0,-1,34400.0,5600.0,-1.0,131000.0,750.0,34.0,52970.0,350.0
2014,-1,3500.0,3070.0,77.0,58.0,5065.0,-1,34200.0,5065.0,-1.0,124900.0,727.0,31.0,31657.0,353.0
