,"China, Hong Kong SAR","China, Taiwan Province of",Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Melanesia,New Caledonia,Rwanda,Algeria,American Samoa,Senegal,Madagascar,Haiti,Ukraine,Israel,Dominica,Fiji,Belgium,United Arab Emirates,Sri Lanka,Azerbaijan,Egypt,Sudan (former),China,Uzbekistan,Colombia,Libya,Trinidad and Tobago,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Hungary,Kazakhstan,Mauritius,Guam,Portugal,Micronesia,"China, mainland",Peru,Democratic People's Republic of Korea,Cameroon,Serbia,Cuba,Malta,Dominican Republic,South Sudan,Pakistan,Spain,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Japan,Bahrain,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Thailand,Djibouti,Kuwait,Kyrgyzstan,Ghana,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Congo,Qatar,Gabon,USSR,Romania,Honduras,Jordan,Puerto Rico,Mexico,Tunisia,Côte d'Ivoire,Albania,Jamaica,Yemen,France,Italy,Polynesia,Réunion,Sudan,Lithuania,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1971,1000.0,19397.0,-1.0,50762.0,63659.0,62117.0,2500.0,85000.0,-1.0,56154.0,30982.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,900.0,-1.0,19450.0,-1,100.0,-1.0,431.0,14730.0,-1.0,223000.0,60000.0,2540397.0,-1.0,1920.0,455.0,2500.0,18653.0,-1.0,-1.0,-1.0,-1.0,2714.0,-1.0,-1.0,-1.0,2520000.0,-1.0,15000.0,-1.0,-1.0,-1,-1.0,2853.0,-1,-1.0,51600.0,126694.0,1720.0,2540.0,100.0,755100.0,-1.0,-1.0,28339.0,20226.0,-1.0,50400.0,10.0,-1.0,-1.0,10000.0,-1.0,-1.0,1540000.0,80.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44854.0,-1.0,14551.0,-1.0,16000.0,-1.0,116.0,-1.0,28900.0,309900.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,494000.0,-1.0,-1
1972,1000.0,18843.0,-1.0,8256.0,64802.0,64923.0,3500.0,110000.0,-1.0,55892.0,29158.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,918.0,-1.0,20300.0,-1,100.0,-1.0,357.0,16528.0,-1.0,205000.0,63000.0,2319843.0,-1.0,1960.0,517.0,3000.0,20866.0,-1.0,-1.0,-1.0,-1.0,1490.0,-1.0,-1.0,-1.0,2300000.0,-1.0,16000.0,-1.0,-1.0,-1,-1.0,2919.0,-1,-1.0,47000.0,132000.0,1928.0,2540.0,117.0,737700.0,-1.0,-1.0,31343.0,24131.0,-1.0,55000.0,10.0,-1.0,-1.0,21000.0,-1.0,-1.0,1585000.0,500.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32518.0,-1.0,20330.0,-1.0,16000.0,-1.0,129.0,-1.0,27700.0,299600.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,520000.0,-1.0,-1
1973,1000.0,21001.0,-1.0,21532.0,79398.0,60161.0,3032.0,118550.0,-1.0,57959.0,28894.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,280.0,936.0,-1.0,24550.0,-1,100.0,-1.0,608.0,12470.0,-1.0,200000.0,70000.0,2922001.0,-1.0,2000.0,689.0,3470.0,16181.0,-1.0,-1.0,-1.0,-1.0,1012.0,-1.0,-1.0,-1.0,2900000.0,-1.0,17000.0,-1.0,-1.0,-1,-1.0,2985.0,-1,-1.0,72000.0,116585.0,2176.0,2642.0,91.0,714000.0,-1.0,-1.0,24555.0,24390.0,-1.0,55000.0,10.0,-1.0,-1.0,30500.0,-1.0,-1.0,1635000.0,1200.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14719.0,-1.0,24834.0,-1.0,16000.0,-1.0,48.0,-1.0,27300.0,312400.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,460000.0,-1.0,-1
1974,2000.0,27314.0,-1.0,22690.0,88897.0,87181.0,3400.0,115300.0,-1.0,61926.0,31910.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,745.0,950.0,-1.0,22250.0,-1,100.0,-1.0,1638.0,16077.0,-1.0,214000.0,75000.0,2929314.0,-1.0,2040.0,771.0,3837.0,14451.0,-1.0,-1.0,-1.0,-1.0,947.0,-1.0,-1.0,-1.0,2900000.0,-1.0,18000.0,-1.0,-1.0,-1,-1.0,3084.0,-1,-1.0,81900.0,67528.0,2381.0,2032.0,39.0,662500.0,-1.0,-1.0,29110.0,27925.0,-1.0,56000.0,10.0,-1.0,-1.0,28500.0,-1.0,-1.0,1660000.0,3800.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32434.0,-1.0,22625.0,-1.0,16000.0,-1.0,64.0,-1.0,29330.0,333020.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,470000.0,-1.0,-1
1975,1010.0,26704.0,-1.0,39198.0,83345.0,119954.0,3010.0,107900.0,-1.0,62776.0,33280.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,265.0,1000.0,-1.0,22800.0,-1,200.0,-1.0,2500.0,40714.0,-1.0,217267.0,75000.0,2957714.0,-1.0,3000.0,847.0,3511.0,15000.0,-1.0,-1.0,-1.0,-1.0,742.0,176.0,-1.0,176.0,2930000.0,-1.0,19000.0,-1.0,-1.0,-1,-1.0,3084.0,-1,-1.0,102900.0,81872.0,2605.0,1626.0,47.0,668400.0,300.0,-1.0,26585.0,32348.0,-1.0,56000.0,10.0,32.0,-1.0,28500.0,-1.0,-1.0,1700000.0,5400.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39639.0,-1.0,19305.0,-1.0,16400.0,-1.0,79.0,-1.0,25532.0,331770.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,485000.0,-1.0,-1
1976,1900.0,30714.0,-1.0,20530.0,82374.0,102670.0,1720.0,98800.0,-1.0,66514.0,36753.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,380.0,1000.0,-1.0,23500.0,-1,200.0,-1.0,3400.0,30420.0,-1.0,229736.0,76000.0,2672614.0,-1.0,3000.0,865.0,3400.0,16000.0,-1.0,-1.0,-1.0,-1.0,729.0,20.0,-1.0,20.0,2640000.0,-1.0,20000.0,-1.0,-1.0,-1,-1.0,3174.0,-1,-1.0,97000.0,112205.0,3115.0,1930.0,50.0,623600.0,270.0,-1.0,23485.0,31842.0,-1.0,56000.0,10.0,65.0,-1.0,26000.0,-1.0,-1.0,1760000.0,5850.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41900.0,-1.0,15616.0,-1.0,16800.0,-1.0,73.0,-1.0,23306.0,321850.0,0.0,-1.0,-1.0,-1.0,5000.0,-1.0,525000.0,-1.0,-1
1977,2000.0,31740.0,-1.0,25315.0,86876.0,114056.0,2400.0,109130.0,-1.0,62982.0,39797.0,200.0,-1.0,-1.0,2000.0,-1.0,-1.0,540.0,1000.0,-1.0,21100.0,-1,200.0,-1.0,4643.0,35185.0,-1.0,239504.0,76000.0,2793740.0,-1.0,3300.0,909.0,3200.0,16000.0,-1.0,-1.0,-1.0,-1.0,785.0,90.0,4700.0,90.0,2760000.0,-1.0,20000.0,-1.0,-1.0,-1,-1.0,3492.0,-1,-1.0,104900.0,120559.0,3321.0,2439.0,29.0,658000.0,300.0,-1.0,24768.0,29075.0,-1.0,56500.0,10.0,116.0,-1.0,18700.0,-1.0,-1.0,1810000.0,5200.0,-1.0,-1.0,7000.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,24565.0,-1.0,16898.0,-1.0,17000.0,-1.0,44.0,-1.0,22244.0,329180.0,0.0,-1.0,-1.0,-1.0,4800.0,-1.0,550000.0,-1.0,-1
1978,770.0,29065.0,-1.0,21271.0,92295.0,146161.0,2105.0,121800.0,-1.0,70959.0,38000.0,200.0,-1.0,-1.0,3000.0,-1.0,-1.0,570.0,1000.0,-1.0,27800.0,-1,200.0,-1.0,7285.0,31855.0,-1.0,282000.0,76000.0,2829835.0,-1.0,3300.0,869.0,3190.0,17000.0,-1.0,-1.0,-1.0,-1.0,798.0,93.0,4300.0,93.0,2800000.0,-1.0,21000.0,-1.0,-1.0,-1,-1.0,3300.0,-1,-1.0,105400.0,106264.0,4105.0,2286.0,28.0,662600.0,340.0,-1.0,33228.0,31134.0,-1.0,56500.0,10.0,87.0,-1.0,18200.0,-1.0,-1.0,1880000.0,4635.0,-1.0,-1.0,8000.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,64085.0,-1.0,23306.0,-1.0,17000.0,-1.0,25.0,-1.0,23420.0,323020.0,0.0,-1.0,-1.0,-1.0,6700.0,-1.0,610000.0,-1.0,-1
1979,830.0,33324.0,-1.0,30261.0,103971.0,152262.0,2100.0,131000.0,-1.0,71359.0,20808.0,200.0,-1.0,-1.0,3800.0,-1.0,-1.0,915.0,1000.0,-1.0,28000.0,-1,200.0,-1.0,8659.0,32959.0,-1.0,312291.0,76000.0,2934154.0,-1.0,3450.0,872.0,3100.0,18000.0,-1.0,-1.0,-1.0,-1.0,527.0,133.0,4300.0,133.0,2900000.0,-1.0,22000.0,-1.0,-1.0,-1,-1.0,3400.0,-1,-1.0,118450.0,51400.0,4045.0,2743.0,31.0,661600.0,220.0,-1.0,31528.0,31148.0,-1.0,56500.0,10.0,121.0,-1.0,16800.0,-1.0,-1.0,1940000.0,4690.0,-1.0,-1.0,9000.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,52690.0,-1.0,22415.0,-1.0,18000.0,-1.0,31.0,491.0,25866.0,327100.0,0.0,-1.0,-1.0,-1.0,7000.0,-1.0,630000.0,-1.0,-1
1980,1390.0,38017.0,-1.0,24685.0,110910.0,183379.0,1800.0,139000.0,-1.0,67626.0,28758.0,200.0,-1.0,-1.0,4300.0,-1.0,-1.0,540.0,1000.0,-1.0,25000.0,-1,200.0,-1.0,7145.0,42590.0,-1.0,284367.0,77000.0,2849407.0,-1.0,3450.0,1003.0,3027.0,19000.0,-1.0,-1.0,-1.0,-1.0,573.0,24.0,4400.0,24.0,2810000.0,-1.0,24000.0,-1.0,-1.0,-1,-1.0,3277.0,-1,44715.0,112200.0,100900.0,4195.0,2032.0,129.0,618700.0,220.0,-1.0,23157.0,33312.0,-1.0,57000.0,10.0,181.0,-1.0,31500.0,-1.0,-1.0,2000000.0,5200.0,-1.0,-1.0,10000.0,-1.0,951.0,-1.0,-1.0,-1.0,-1.0,52368.0,-1.0,32000.0,-1.0,18000.0,-1.0,50.0,525.0,25219.0,332740.0,0.0,200.0,-1.0,-1.0,8500.0,-1.0,650000.0,-1.0,-1
1981,1710.0,37255.0,-1.0,19959.0,120575.0,188451.0,900.0,135219.0,-1.0,73850.0,16126.0,200.0,-1.0,-1.0,4670.0,-1.0,-1.0,515.0,1000.0,-1.0,27600.0,-1,200.0,-1.0,9729.0,45462.0,-1.0,296487.0,78000.0,3288965.0,-1.0,3500.0,1500.0,2864.0,20000.0,-1.0,-1.0,-1.0,-1.0,812.0,58.0,4500.0,58.0,3250000.0,-1.0,25000.0,-1.0,-1.0,-1,-1.0,3448.0,-1,41339.0,135100.0,83300.0,4386.0,1981.0,133.0,650300.0,225.0,-1.0,27306.0,32800.0,-1.0,57000.0,20.0,235.0,-1.0,24000.0,-1.0,-1.0,2180000.0,4300.0,-1.0,-1.0,11000.0,-1.0,1191.0,-1.0,-1.0,-1.0,-1.0,62393.0,-1.0,20771.0,-1.0,18000.0,-1.0,51.0,442.0,26500.0,315630.0,0.0,846.0,-1.0,-1.0,8100.0,-1.0,700000.0,-1.0,-1
1982,1160.0,35524.0,-1.0,43460.0,125560.0,170343.0,450.0,114000.0,-1.0,69747.0,25000.0,300.0,-1.0,-1.0,6750.0,-1.0,-1.0,365.0,1000.0,-1.0,20600.0,-1,300.0,-1.0,13899.0,37749.0,-1.0,306067.0,78000.0,3536684.0,-1.0,3400.0,2000.0,3170.0,20000.0,-1.0,-1.0,-1.0,-1.0,845.0,39.0,4400.0,39.0,3500000.0,-1.0,27000.0,-1.0,-1.0,-1,-1.0,2059.0,-1,54939.0,123400.0,110400.0,4585.0,1778.0,144.0,608400.0,319.0,-1.0,27930.0,34000.0,-1.0,57000.0,30.0,250.0,-1.0,24200.0,-1.0,-1.0,2300000.0,4350.0,-1.0,-1.0,12000.0,-1.0,899.0,-1.0,-1.0,-1.0,-1.0,45412.0,-1.0,14099.0,30.0,18000.0,-1.0,55.0,463.0,27100.0,317340.0,0.0,800.0,-1.0,-1.0,10000.0,-1.0,700000.0,-1.0,-1
1983,1200.0,31823.0,-1.0,34256.0,112063.0,234800.0,300.0,140581.0,-1.0,68551.0,20000.0,300.0,-1.0,-1.0,5887.0,-1.0,-1.0,530.0,1000.0,-1.0,21000.0,-1,300.0,-1.0,16844.0,74220.0,-1.0,297000.0,78000.0,3633023.0,-1.0,3300.0,2500.0,2238.0,20000.0,-1.0,-1.0,-1.0,-1.0,995.0,34.0,4200.0,34.0,3600000.0,-1.0,30000.0,-1.0,-1.0,-1,-1.0,2503.0,-1,59922.0,125500.0,112400.0,4837.0,1800.0,78.0,629400.0,167.0,-1.0,27270.0,33000.0,-1.0,57500.0,40.0,380.0,-1.0,20200.0,-1.0,-1.0,2360000.0,4434.0,-1.0,-1.0,14000.0,-1.0,411.0,-1.0,-1.0,-1.0,-1.0,47827.0,-1.0,19256.0,30.0,19000.0,-1.0,44.0,494.0,27900.0,314340.0,0.0,800.0,-1.0,-1.0,11900.0,-1.0,665000.0,-1.0,-1
1984,1000.0,35127.0,-1.0,30990.0,110358.0,193800.0,60.0,138990.0,-1.0,72358.0,22000.0,300.0,-1.0,-1.0,10773.0,-1.0,-1.0,770.0,1000.0,-1.0,23100.0,-1,300.0,-1.0,15497.0,87701.0,-1.0,274000.0,70000.0,3736127.0,-1.0,3150.0,3000.0,1887.0,19000.0,-1.0,-1.0,-1.0,-1.0,750.0,41.0,4800.0,41.0,3700000.0,-1.0,33000.0,50.0,-1.0,-1,-1.0,3220.0,-1,51699.0,120286.0,176600.0,5298.0,2280.0,50.0,636600.0,172.0,-1.0,28829.0,33800.0,-1.0,57500.0,50.0,413.0,-1.0,23000.0,-1.0,-1.0,2480000.0,5249.0,-1.0,-1.0,14000.0,-1.0,576.0,-1.0,-1.0,-1.0,-1.0,51084.0,-1.0,19950.0,50.0,24000.0,-1.0,67.0,525.0,22200.0,307420.0,0.0,1000.0,-1.0,-1.0,11700.0,-1.0,670000.0,-1.0,-1
1985,920.0,40464.0,-1.0,37071.0,102673.0,216669.0,192.0,164699.0,-1.0,71073.0,25000.0,300.0,-1.0,-1.0,11392.0,-1.0,-1.0,800.0,1000.0,-1.0,22900.0,-1,300.0,-1.0,19044.0,67279.0,-1.0,323000.0,78000.0,3841384.0,-1.0,2909.0,3500.0,1633.0,20000.0,-1.0,-1.0,-1.0,-1.0,870.0,34.0,5000.0,34.0,3800000.0,-1.0,35000.0,50.0,-1.0,-1,-1.0,4830.0,-1,56196.0,122223.0,232500.0,4716.0,2100.0,156.0,598500.0,217.0,-1.0,30029.0,34000.0,-1.0,58000.0,60.0,748.0,-1.0,18000.0,-1.0,-1.0,2550000.0,6205.0,-1.0,-1.0,16000.0,-1.0,808.0,-1.0,-1.0,-1.0,-1.0,57300.0,-1.0,18046.0,50.0,28000.0,-1.0,49.0,562.0,28600.0,297400.0,0.0,1300.0,-1.0,-1.0,15300.0,-1.0,680000.0,-1.0,-1
