,Bhutan,India,El Salvador,Peru,"China, Taiwan Province of",Mozambique,Ethiopia PDR,Nepal,Malaysia,Cuba,USSR,Brazil,China,South Sudan,Egypt,Sudan (former),Myanmar,Ethiopia,Indonesia,Pakistan,Côte d'Ivoire,Japan,Mali,Zimbabwe,Iran (Islamic Republic of),Uzbekistan,Viet Nam,Thailand,Chile,Spain,South Africa,Democratic Republic of the Congo,Bangladesh,Guatemala,Central African Republic,"China, mainland",Madagascar,Angola,Nigeria,Cameroon,Cambodia,Russian Federation
1971,50.0,1285046.0,5400.0,9626.0,2011.0,5700.0,-1.0,53000.0,-1.0,2000.0,57450.0,48065.0,154011.0,-1.0,17700.0,-1.0,28629.0,-1.0,7580.0,6466.0,-1,-1.0,430.0,1000.0,1560.0,-1.0,14900.0,421844.0,-1.0,-1.0,2000.0,3943.0,799131.0,803.0,638.0,152000.0,2260.0,1200.0,-1.0,-1.0,3500.0,-1.0
1972,50.0,1145382.0,5400.0,9360.0,1369.0,4000.0,-1.0,58060.0,-1.0,3000.0,56250.0,62397.0,190869.0,-1.0,13000.0,-1.0,65842.0,-1.0,8301.0,6992.0,-1,-1.0,638.0,1000.0,1500.0,-1.0,16000.0,439600.0,-1.0,-1.0,1200.0,5405.0,1225872.0,952.0,578.0,189500.0,660.0,1100.0,-1.0,-1.0,5100.0,-1.0
1973,50.0,1434906.0,5400.0,7291.0,787.0,4500.0,-1.0,55450.0,-1.0,3000.0,45450.0,96514.0,279787.0,-1.0,12000.0,-1.0,90295.0,-1.0,13926.0,8135.0,-1,-1.0,761.0,1000.0,1350.0,-1.0,18000.0,494673.0,-1.0,-1.0,1200.0,3423.0,1138378.0,897.0,549.0,279000.0,1440.0,1100.0,-1.0,-1.0,3500.0,-1.0
1974,50.0,1107740.0,5400.0,4044.0,416.0,4500.0,-1.0,40140.0,-1.0,18853.0,38550.0,61025.0,315416.0,-1.0,10000.0,-1.0,79540.0,-1.0,16000.0,9615.0,-1,-1.0,1130.0,1000.0,1250.0,-1.0,22000.0,414417.0,-1.0,-1.0,1200.0,3025.0,739079.0,224.0,505.0,315000.0,410.0,1100.0,-1.0,-1.0,3300.0,-1.0
1975,60.0,1126930.0,5400.0,4736.0,354.0,4000.0,-1.0,41351.0,-1.0,21528.0,36200.0,75898.0,349854.0,-1.0,11600.0,-1.0,39866.0,-1.0,18200.0,8130.0,-1,-1.0,1424.0,1000.0,1150.0,-1.0,24500.0,321420.0,-1.0,-1.0,1200.0,3541.0,802325.0,202.0,500.0,349500.0,520.0,1000.0,-1.0,-1.0,2500.0,-1.0
1976,60.0,1333220.0,1423.0,4065.0,198.0,4000.0,-1.0,41000.0,-1.0,21601.0,48600.0,99355.0,365198.0,-1.0,11600.0,-1.0,37563.0,-1.0,17471.0,7666.0,-1,-1.0,1296.0,1000.0,1050.0,-1.0,28150.0,194388.0,-1.0,-1.0,1200.0,1203.0,886959.0,266.0,400.0,365000.0,110.0,1000.0,-1.0,50.0,3000.0,-1.0
1977,70.0,1341702.0,483.0,3750.0,55.0,4000.0,-1.0,45000.0,-1.0,16364.0,46800.0,92078.0,430555.0,-1.0,11100.0,-1.0,27695.0,-1.0,7835.0,7897.0,-1,-1.0,1096.0,1000.0,1000.0,-1.0,25510.0,258417.0,-1.0,-1.0,1200.0,747.0,988344.0,166.0,300.0,430500.0,125.0,1000.0,-1.0,60.0,2500.0,-1.0
1978,70.0,1554348.0,610.0,3900.0,109.0,4000.0,0.0,55801.0,-1.0,11342.0,43950.0,77272.0,544109.0,-1.0,11000.0,-1.0,55850.0,-1.0,7212.0,7015.0,-1,-1.0,1934.0,1000.0,1000.0,-1.0,25130.0,358438.0,5000.0,-1.0,1200.0,748.0,1188659.0,200.0,167.0,544000.0,350.0,1000.0,-1.0,40.0,2000.0,-1.0
1979,70.0,1479480.0,660.0,4050.0,40.0,4000.0,0.0,65551.0,-1.0,15830.0,47850.0,79938.0,544540.0,-1.0,11000.0,-1.0,95850.0,-1.0,15511.0,7567.0,-1,-1.0,2080.0,1000.0,700.0,-1.0,26350.0,244930.0,5000.0,-1.0,1200.0,637.0,1095473.0,328.0,101.0,544500.0,385.0,1000.0,-1.0,80.0,1000.0,-1.0
1980,70.0,1522306.0,700.0,2427.0,12.0,4000.0,100.0,67514.0,-1.0,10200.0,52350.0,77733.0,549012.0,-1.0,11000.0,-1.0,96655.0,-1.0,14639.0,7843.0,-1,-1.0,1612.0,1000.0,550.0,-1.0,30465.0,240015.0,10200.0,-1.0,1200.0,872.0,905845.0,295.0,47.0,549000.0,385.0,1000.0,-1.0,90.0,200.0,-1.0
1981,105.0,1563040.0,700.0,1697.0,10.0,4000.0,100.0,59284.0,-1.0,16512.0,45000.0,97155.0,630010.0,-1.0,8000.0,3000.0,98687.0,-1.0,15293.0,7912.0,-1,-1.0,1800.0,1000.0,220.0,-1.0,32450.0,217812.0,10000.0,-1.0,1200.0,900.0,851730.0,245.0,60.0,630000.0,535.0,1000.0,530.0,100.0,600.0,-1.0
1982,105.0,1332400.0,475.0,2435.0,18.0,4000.0,106.0,42663.0,-1.0,15773.0,45000.0,59147.0,530018.0,-1.0,5000.0,3000.0,33004.0,-1.0,17284.0,7629.0,-1,-1.0,2000.0,1000.0,110.0,-1.0,37700.0,215227.0,10000.0,-1.0,1200.0,1500.0,894116.0,235.0,70.0,530000.0,540.0,1000.0,500.0,100.0,700.0,-1.0
1983,105.0,1436500.0,725.0,2643.0,-1.0,4000.0,210.0,39039.0,-1.0,19886.0,45000.0,61282.0,510000.0,-1.0,5000.0,3000.0,64204.0,-1.0,15991.0,7901.0,-1,-1.0,2000.0,1000.0,110.0,-1.0,48790.0,250251.0,10000.0,-1.0,1200.0,2000.0,954599.0,243.0,70.0,510000.0,565.0,1000.0,500.0,100.0,900.0,-1.0
1984,105.0,1457300.0,378.0,1759.0,-1.0,4000.0,170.0,25048.0,-1.0,19800.0,45000.0,72840.0,745000.0,-1.0,5000.0,3000.0,54455.0,-1.0,6427.0,7305.0,-1,-1.0,2000.0,1000.0,110.0,-1.0,44100.0,173749.0,10000.0,-1.0,1200.0,2500.0,936457.0,267.0,70.0,745000.0,580.0,1000.0,550.0,100.0,800.0,-1.0
1985,175.0,2333190.0,559.0,2900.0,-1.0,4000.0,480.0,33124.0,-1.0,19193.0,45000.0,62342.0,2060000.0,-1.0,5000.0,3000.0,52068.0,-1.0,20196.0,6389.0,-1,-1.0,2000.0,1000.0,125.0,-1.0,47080.0,267958.0,10000.0,-1.0,1200.0,2000.0,1387732.0,270.0,72.0,2060000.0,600.0,1000.0,600.0,100.0,3400.0,-1.0
1986,200.0,1603500.0,684.0,2900.0,-1.0,4000.0,300.0,61100.0,-1.0,13226.0,45000.0,63697.0,710000.0,-1.0,5000.0,3000.0,49855.0,-1.0,22322.0,5838.0,-1,-1.0,2000.0,1300.0,42.0,-1.0,54600.0,239974.0,10000.0,-1.0,1200.0,2500.0,1580695.0,280.0,72.0,710000.0,600.0,1000.0,700.0,100.0,4400.0,-1.0
1987,260.0,1264200.0,748.0,3000.0,-1.0,4000.0,880.0,23450.0,-1.0,11900.0,45000.0,65576.0,569000.0,-1.0,5000.0,3000.0,46735.0,-1.0,22641.0,5224.0,-1,-1.0,2000.0,1300.0,26.0,-1.0,57500.0,167855.0,10000.0,-1.0,1200.0,3000.0,1232855.0,280.0,72.0,569000.0,600.0,1000.0,840.0,103.0,8200.0,-1.0
1988,300.0,1457000.0,750.0,3000.0,-1.0,4000.0,960.0,15800.0,-1.0,3900.0,45000.0,69003.0,540000.0,-1.0,5000.0,3000.0,41559.0,-1.0,13443.0,4143.0,-1,-1.0,2000.0,1300.0,20.0,-1.0,36850.0,173328.0,10000.0,-1.0,1200.0,3810.0,882775.0,290.0,72.0,540000.0,600.0,1000.0,850.0,104.0,3500.0,-1.0
1989,315.0,1531400.0,1000.0,3000.0,-1.0,4000.0,960.0,17624.0,-1.0,16165.0,45000.0,40061.0,660000.0,-1.0,5000.0,3000.0,46639.0,-1.0,9672.0,4880.0,-1,-1.0,2000.0,1300.0,20.0,-1.0,37200.0,162869.0,10000.0,-1.0,1200.0,3850.0,834893.0,310.0,73.0,660000.0,600.0,1000.0,860.0,105.0,2100.0,-1.0
1990,320.0,1702300.0,1500.0,300.0,0.0,3556.0,1014.0,16051.0,0.0,10000.0,42521.0,22160.0,726000.0,-1.0,4000.0,3000.0,33581.0,-1.0,9102.0,4010.0,-1,0.0,2323.0,1520.0,15.0,-1.0,23803.0,180990.0,10301.0,-1.0,1108.0,4081.0,856112.0,322.0,75.0,726000.0,610.0,1060.0,870.0,106.0,1600.0,-1.0
1991,333.0,1895400.0,2000.0,270.0,0.0,3623.0,870.0,16000.0,4312.0,10000.0,0.0,14938.0,513000.0,-1.0,2750.0,3000.0,24303.0,-1.0,10251.0,3472.0,-1,0.0,1896.0,1537.0,10.0,-1.0,25300.0,142884.0,13464.0,-1.0,1088.0,4330.0,966939.0,330.0,80.0,513000.0,595.0,879.0,880.0,110.0,1300.0,-1.0
1992,334.0,1580500.0,3000.0,280.0,0.0,3000.0,310.0,19000.0,4408.0,10000.0,-1.0,22695.0,619000.0,-1.0,1800.0,3012.0,22384.0,-1.0,14047.0,3275.0,-1,0.0,2200.0,1900.0,11.0,76500.0,25700.0,140149.0,13294.0,-1.0,1084.0,4595.0,957751.0,340.0,80.0,619000.0,609.0,833.0,890.0,105.0,1500.0,45000.0
1993,330.0,1554900.0,4000.0,300.0,0.0,4000.0,-1.0,10000.0,4505.0,9970.0,-1.0,20759.0,672000.0,-1.0,1900.0,3024.0,38609.0,795.0,7445.0,2643.0,-1,0.0,1590.0,1883.0,5.0,80700.0,23400.0,144000.0,13125.0,-1.0,1079.0,4877.0,809000.0,350.0,80.0,672000.0,620.0,830.0,900.0,103.0,2304.0,45000.0
1994,350.0,1675100.0,5000.0,350.0,0.0,3500.0,-1.0,11000.0,4602.0,9975.0,-1.0,18512.0,355000.0,-1.0,1950.0,3034.0,27105.0,800.0,9070.0,2639.0,-1,0.0,1200.0,1930.0,-1.0,26400.0,12800.0,126800.0,12956.0,-1.0,1075.0,5176.0,971000.0,340.0,81.0,355000.0,600.0,800.0,963.0,102.0,1900.0,45440.0
1995,338.0,1616800.0,5454.0,360.0,0.0,4000.0,-1.0,11695.0,4698.0,9980.0,-1.0,12186.0,371000.0,-1.0,1980.0,3050.0,34640.0,781.0,4253.0,2501.0,-1,0.0,1300.0,2000.0,-1.0,10900.0,14800.0,114000.0,12786.0,-1.0,1070.0,5487.0,740000.0,350.0,81.0,371000.0,608.0,700.0,986.0,100.0,952.0,46168.0
1996,338.0,2075600.0,7427.0,380.0,0.0,4500.0,-1.0,14950.0,4795.0,9984.0,-1.0,4629.0,365000.0,-1.0,2000.0,3100.0,43020.0,748.0,3440.0,2244.0,-1,0.0,1400.0,1983.0,-1.0,15400.0,15000.0,106580.0,12617.0,-1.0,1066.0,5526.0,885423.0,360.0,82.0,365000.0,620.0,800.0,1008.0,100.0,900.0,47201.0
1997,338.0,1983800.0,6782.0,379.0,0.0,4700.0,-1.0,14000.0,4891.0,9989.0,-1.0,4153.0,430000.0,-1.0,2100.0,3150.0,39500.0,741.0,3808.0,2051.0,-1,0.0,1300.0,1996.0,-1.0,17000.0,22300.0,100539.0,12448.0,-1.0,1063.0,5581.0,1058000.0,370.0,83.0,430000.0,609.0,900.0,1029.0,97.0,2329.0,47000.0
1998,339.0,1765962.0,6700.0,177.0,0.0,4800.0,-1.0,15545.0,4988.0,9993.0,-1.0,8451.0,248043.0,-1.0,2200.0,3200.0,33272.0,732.0,7233.0,1888.0,-1,0.0,1328.0,2026.0,-1.0,20000.0,14600.0,51713.0,12278.0,-1.0,1100.0,5000.0,815000.0,380.0,84.0,248043.0,604.0,1000.0,1051.0,96.0,1104.0,45000.0
1999,338.0,1896084.0,2700.0,290.0,0.0,4900.0,-1.0,15195.0,5085.0,9998.0,-1.0,7946.0,165000.0,-1.0,2200.0,3250.0,33869.0,724.0,7500.0,1908.0,-1,0.0,1313.0,2056.0,-1.0,21000.0,9400.0,34321.0,12109.0,-1.0,1000.0,5693.0,713818.0,380.0,85.0,165000.0,599.0,700.0,1072.0,94.0,264.0,45000.0
2000,338.0,1880424.0,2800.0,357.0,0.0,3300.0,-1.0,15175.0,5181.0,10003.0,-1.0,7283.0,125869.0,-1.0,2200.0,3300.0,34180.0,750.0,8639.0,2163.0,-1,0.0,1286.0,2100.0,-1.0,20000.0,11300.0,41395.0,11940.0,-1.0,1100.0,5749.0,824040.0,390.0,86.0,125869.0,600.0,1000.0,1092.0,92.0,180.0,45000.0
2001,339.0,2128176.0,3000.0,100.0,0.0,3500.0,-1.0,16392.0,5278.0,10007.0,-1.0,7177.0,105988.0,-1.0,2598.0,3350.0,43487.0,701.0,8479.0,2214.0,-1,0.0,1300.0,2088.0,-1.0,21000.0,14600.0,65535.0,11906.0,-1.0,1042.0,5807.0,861725.0,400.0,87.0,105988.0,584.0,858.0,1113.0,90.0,243.0,46000.0
2002,339.0,2050830.0,2946.0,180.0,0.0,3500.0,-1.0,16954.0,5374.0,10012.0,-1.0,10067.0,158996.0,-1.0,2180.0,3300.0,50594.0,687.0,7480.0,1722.0,-1,0.0,1293.0,2094.0,-1.0,20000.0,20400.0,19095.0,11202.0,-1.0,1016.0,5866.0,803149.0,400.0,88.0,158996.0,575.0,852.0,1133.0,89.0,636.0,47000.0
2003,339.0,2025306.0,2817.0,200.0,0.0,3570.0,-1.0,17036.0,5471.0,10016.0,-1.0,10464.0,100000.0,-1.0,2050.0,3350.0,49300.0,669.0,3973.0,1620.0,-1,0.0,1287.0,2101.0,-1.0,20000.0,12500.0,15401.0,11000.0,-1.0,1006.0,5900.0,797260.0,400.0,89.0,100000.0,565.0,849.0,1154.0,87.0,561.0,48000.0
2004,339.0,1857834.0,2659.0,210.0,0.0,3600.0,-1.0,16890.0,5567.0,10000.0,-1.0,12645.0,87000.0,-1.0,2595.0,3327.0,37100.0,648.0,4013.0,1119.0,-1,0.0,1281.0,2107.0,-1.0,20000.0,14200.0,18912.0,11500.0,-1.0,985.0,5907.0,733362.0,363.0,89.0,87000.0,554.0,844.0,1176.0,86.0,880.0,50000.0
2005,339.0,1952140.0,2600.0,215.0,0.0,3300.0,-1.0,17661.0,5664.0,10000.0,-1.0,26100.0,83000.0,-1.0,2407.0,3313.0,22600.0,627.0,4053.0,1121.0,-1,0.0,1220.0,2052.0,-1.0,20000.0,12600.0,19686.0,12000.0,-1.0,975.0,5816.0,841000.0,365.0,90.0,83000.0,543.0,841.0,1197.0,85.0,826.0,51000.0
2006,350.0,2013618.0,3111.0,230.0,0.0,3500.0,-1.0,17100.0,5761.0,10000.0,-1.0,25951.0,86767.0,-1.0,2158.0,3300.0,29100.0,606.0,4300.0,1089.0,-1,0.0,1213.0,2150.0,-1.0,20000.0,10600.0,9427.0,11569.0,-1.0,950.0,6000.0,887381.0,310.0,90.0,86767.0,532.0,818.0,1218.0,83.0,569.0,51295.0
2007,343.0,2012080.0,2003.0,250.0,0.0,3300.0,-1.0,16815.0,5857.0,10000.0,-1.0,25658.0,99000.0,-1.0,2055.0,3255.0,30600.0,584.0,4700.0,1016.0,-1,0.0,1207.0,2273.0,-1.0,20000.0,25700.0,5705.0,11290.0,-1.0,925.0,6299.0,841877.0,372.0,91.0,99000.0,520.0,770.0,1238.0,82.0,323.0,51496.0
2008,345.0,1912200.0,1474.0,250.0,0.0,3400.0,-1.0,16988.0,5954.0,10296.0,-1.0,13429.0,84300.0,-1.0,1772.0,3200.0,18500.0,655.0,4100.0,928.0,-1,0.0,1201.0,2364.0,-1.0,20000.0,7800.0,4972.0,10955.0,-1.0,900.0,6530.0,851693.0,351.0,90.0,84300.0,515.0,759.0,1258.0,81.0,296.0,51031.0
2009,348.0,2153080.0,1431.0,247.0,0.0,3850.0,-1.0,17658.0,6050.0,10492.0,-1.0,14856.0,76500.0,-1.0,1759.0,3215.0,12624.0,646.0,3900.0,849.0,-1,0.0,1347.0,2505.0,-1.0,18669.0,6068.0,5490.0,10592.0,-1.0,896.0,6826.0,926249.0,259.0,86.0,76500.0,392.0,818.0,1284.0,91.0,478.0,50999.0
2010,410.0,1905500.0,1456.0,251.0,0.0,3700.0,-1.0,20965.0,6147.0,10659.0,-1.0,14150.0,69314.0,-1.0,2200.0,3214.0,12827.0,672.0,3788.0,714.0,-1,0.0,1500.0,2583.0,-1.0,18572.0,12448.0,4394.0,10229.0,-1.0,857.0,7038.0,925987.0,284.0,90.0,69314.0,382.0,780.0,1296.0,102.0,261.0,50957.0
2011,346.0,2076080.0,1446.0,254.0,0.0,3900.0,-1.0,14418.0,5816.0,10815.0,-1.0,16665.0,75180.0,-1.0,2100.0,3200.0,18419.0,643.0,3794.0,625.0,-1,0.0,1600.0,2559.0,-1.0,18366.0,8304.0,3878.0,9893.0,-1.0,839.0,7087.0,1525632.0,283.0,97.0,75180.0,311.0,822.0,1314.0,101.0,227.0,51000.0
2012,300.0,2025000.0,1429.0,280.0,0.0,3800.0,-1.0,14424.0,6672.0,11000.0,-1.0,9460.0,68000.0,3000.0,2400.0,-1.0,17843.0,565.0,3701.0,536.0,-1,0.0,1529.0,2500.0,-1.0,20000.0,3228.0,4185.0,9500.0,-1.0,810.0,7294.0,1453944.0,275.0,108.0,68000.0,285.0,899.0,1390.0,90.0,287.0,51000.0
2013,310.0,2052000.0,1426.0,280.0,0.0,3800.0,-1.0,15500.0,7081.0,11800.0,-1.0,9992.0,61200.0,3200.0,2500.0,-1.0,17007.0,565.0,3548.0,448.0,-1,0.0,1620.0,2500.0,-1.0,21000.0,1203.0,3748.0,9650.0,-1.0,900.0,7343.0,1392900.0,275.0,112.0,61200.0,285.0,870.0,1390.0,100.0,286.0,51000.0
2014,340.0,2071412.0,1425.0,257.0,0.0,3717.0,-1.0,14890.0,7573.0,11200.0,-1.0,9302.0,51090.0,3300.0,2508.0,-1.0,17662.0,556.0,3394.0,410.0,-1,0.0,1449.0,2519.0,-1.0,20000.0,970.0,3664.0,9539.0,-1.0,834.0,7473.0,1350975.0,280.0,114.0,51090.0,254.0,832.0,1408.0,99.0,275.0,50000.0
