,Philippines,Panama,Madagascar,Togo,United Republic of Tanzania,Burundi,Thailand,Costa Rica,Senegal,Solomon Islands,Papua New Guinea,Suriname,Benin,Equatorial Guinea,China,Cambodia,Paraguay,Honduras,Colombia,Timor-Leste,Central African Republic,Gabon,Ecuador,Indonesia,Angola,Venezuela (Bolivarian Republic of),Sao Tome and Principe,Malaysia,Mexico,Melanesia,Nicaragua,Democratic Republic of the Congo,Nigeria,Congo,Dominican Republic,Brazil,Peru,Gambia,Ghana,Guinea,"China, mainland",Sierra Leone,Guinea-Bissau,Côte d'Ivoire,Cameroon,Guatemala,Liberia
1972,1000.0,-1.0,,9685.0,5250.0,1070.0,205.0,3000.0,5770.0,100.0,1500.0,,48098.0,2100.0,37000.0,,16800.0,2470.0,8000.0,1049.0,2400.0,260.0,6000.0,59121.0,13000.0,,170.0,134804.0,11087.0,1600.0,400.0,86100.0,270000.0,1084.0,-1.0,230000.0,-1.0,2134.0,32000.0,35000.0,37000.0,54400.0,6000.0,24000.0,38000.0,,13200.0
1973,1400.0,-1.0,86.0,6065.0,5000.0,1210.0,400.0,4480.0,5740.0,100.0,3000.0,,46791.0,2100.0,38000.0,,11500.0,2880.0,8500.0,1071.0,2400.0,259.0,5000.0,64035.0,12000.0,,223.0,152394.0,13078.0,3100.0,540.0,80500.0,231000.0,1600.0,-1.0,228878.0,-1.0,2448.0,32000.0,35000.0,38000.0,47200.0,5000.0,24400.0,39500.0,,11500.0
1974,1400.0,-1.0,185.0,7786.0,5000.0,970.0,400.0,4400.0,5000.0,200.0,3000.0,60.0,38584.0,2100.0,39000.0,,16600.0,2830.0,9000.0,1119.0,2400.0,252.0,2700.0,73085.0,12000.0,,200.0,194711.0,13662.0,3200.0,540.0,76300.0,310100.0,1800.0,-1.0,237437.0,-1.0,1383.0,33000.0,35000.0,39000.0,48800.0,9000.0,39000.0,41000.0,,17500.0
1975,2000.0,-1.0,540.0,7695.0,5100.0,1160.0,1100.0,4400.0,5000.0,480.0,6000.0,141.0,47042.0,2100.0,39000.0,,11700.0,2920.0,9500.0,1110.0,4000.0,239.0,4000.0,81116.0,12000.0,,100.0,232821.0,10416.0,6480.0,540.0,75100.0,295000.0,2000.0,-1.0,229645.0,60.0,990.0,34000.0,35000.0,39000.0,53800.0,7000.0,36300.0,45000.0,,14000.0
1976,2200.0,-1.0,355.0,7474.0,5100.0,1160.0,1380.0,4600.0,5000.0,858.0,9000.0,300.0,50087.0,2300.0,41000.0,,12400.0,2780.0,10400.0,0.0,4000.0,227.0,6200.0,82821.0,12000.0,,110.0,256015.0,14927.0,9858.0,540.0,72500.0,295100.0,2000.0,-1.0,242557.0,62.0,1727.0,32000.0,35000.0,41000.0,38800.0,7500.0,35500.0,35000.0,,12000.0
1977,2200.0,-1.0,481.0,1336.0,5100.0,1150.0,1700.0,4600.0,5100.0,1435.0,9000.0,421.0,45425.0,2400.0,40000.0,,17400.0,3115.0,11400.0,,3600.0,216.0,4038.0,92984.0,13000.0,,77.0,334791.0,13846.0,10435.0,540.0,71600.0,284000.0,2500.0,-1.0,252704.0,870.0,1350.0,30000.0,35000.0,40000.0,35600.0,11000.0,26400.0,35000.0,,10000.0
1978,1950.0,-1.0,500.0,777.0,5200.0,1600.0,2160.0,5900.0,5200.0,1963.0,9000.0,735.0,11818.0,2500.0,42000.0,,10000.0,3400.0,12800.0,,3200.0,205.0,4700.0,94605.0,12000.0,,85.0,367540.0,8431.0,10963.0,810.0,70800.0,281000.0,2500.0,-1.0,251680.0,1160.0,1660.0,30000.0,35000.0,42000.0,30000.0,13000.0,30600.0,33600.0,,9000.0
1979,2200.0,-1.0,500.0,5758.0,5200.0,1190.0,2900.0,6150.0,5300.0,2258.0,10000.0,994.0,23430.0,2500.0,43000.0,,15600.0,3700.0,15200.0,,3500.0,210.0,4134.0,120522.0,12000.0,,60.0,475039.0,7518.0,12258.0,810.0,70000.0,280000.0,2500.0,-1.0,270569.0,1300.0,1086.0,30000.0,35000.0,43000.0,32730.0,10000.0,27700.0,37270.0,,8000.0
1980,2500.0,-1.0,600.0,13248.0,5300.0,1200.0,3971.0,6200.0,5400.0,2349.0,10000.0,844.0,36084.0,2600.0,40000.0,,15700.0,3650.0,17000.0,,3500.0,260.0,6311.0,127949.0,12000.0,753.0,40.0,549956.0,8430.0,12349.0,810.0,69300.0,279000.0,2500.0,-1.0,267072.0,1550.0,1117.0,30000.0,40000.0,40000.0,30000.0,8800.0,41200.0,44050.0,,7200.0
1981,2550.0,-1.0,610.0,13234.0,5300.0,1200.0,6338.0,7400.0,5500.0,3063.0,15000.0,880.0,26721.0,2600.0,41000.0,,11000.0,5150.0,18000.0,,3500.0,250.0,7011.0,140679.0,11500.0,518.0,50.0,588783.0,5000.0,18063.0,810.0,65000.0,294000.0,2500.0,-1.0,259164.0,1780.0,1991.0,30000.0,40000.0,41000.0,32000.0,8700.0,34100.0,47500.0,,7500.0
1982,8500.0,-1.0,1000.0,6817.0,5350.0,1200.0,10406.0,7900.0,5500.0,3603.0,24000.0,1133.0,23866.0,2700.0,45000.0,,22000.0,7300.0,19200.0,,3500.0,250.0,7920.0,157028.0,11500.0,738.0,50.0,909918.0,4000.0,27603.0,810.0,65000.0,310000.0,2500.0,-1.0,239083.0,1820.0,2000.0,30000.0,40000.0,45000.0,35000.0,9500.0,35600.0,45000.0,,8000.0
1983,6000.0,-1.0,1000.0,5488.0,5400.0,1200.0,11695.0,8600.0,5600.0,4004.0,25000.0,1180.0,20477.0,2800.0,47000.0,,10000.0,7250.0,21000.0,,4500.0,350.0,10600.0,164416.0,12000.0,948.0,100.0,834570.0,4000.0,29004.0,850.0,65000.0,279000.0,2600.0,-1.0,224280.0,2000.0,2000.0,30000.0,40000.0,47000.0,40000.0,6200.0,36200.0,43500.0,745.0,8000.0
1984,9000.0,-1.0,1000.0,283.0,5400.0,1200.0,15718.0,10839.0,5600.0,3979.0,36000.0,1530.0,18472.0,3000.0,46000.0,,18000.0,13500.0,23028.0,,4500.0,400.0,11150.0,247361.0,11500.0,1007.0,100.0,1045603.0,2000.0,39979.0,900.0,70000.0,340000.0,2600.0,-1.0,223112.0,2000.0,2000.0,30000.0,40000.0,46000.0,39500.0,11000.0,34604.0,56000.0,745.0,8000.0
1985,9000.0,-1.0,1000.0,886.0,5400.0,1300.0,24381.0,8620.0,5600.0,4177.0,37000.0,1987.0,24388.0,2800.0,60000.0,,17000.0,14600.0,24313.0,,4800.0,370.0,16000.0,258457.0,10800.0,881.0,80.0,1211887.0,2000.0,41177.0,900.0,70000.0,360000.0,2600.0,-1.0,240570.0,2000.0,2000.0,30000.0,40000.0,60000.0,37600.0,5000.0,30525.0,52000.0,1175.0,8000.0
1986,11000.0,-1.0,1000.0,3470.0,5520.0,1300.0,27789.0,9363.0,5700.0,3133.0,39000.0,1609.0,2552.0,3000.0,60000.0,,19000.0,16000.0,25233.0,,4800.0,550.0,21000.0,283528.0,11500.0,949.0,60.0,1336263.0,2000.0,42133.0,930.0,70000.0,355000.0,2700.0,-1.0,209540.0,2000.0,2000.0,30000.0,40000.0,60000.0,36900.0,14000.0,38069.0,47000.0,2200.0,7000.0
1987,12000.0,-1.0,1000.0,168.0,5640.0,1330.0,29077.0,9702.0,5800.0,2432.0,39000.0,960.0,10444.0,3000.0,56000.0,,17000.0,16000.0,26980.0,,4800.0,570.0,20628.0,319049.0,12000.0,980.0,60.0,1311218.0,3000.0,41432.0,950.0,70000.0,321000.0,2700.0,-1.0,214922.0,2000.0,2000.0,30000.0,40000.0,56000.0,36900.0,10000.0,42814.0,50000.0,2640.0,6400.0
1988,14000.0,-1.0,1200.0,13500.0,5760.0,1360.0,35337.0,12983.0,5000.0,3172.0,35000.0,560.0,7847.0,3000.0,53000.0,,17000.0,17000.0,39000.0,,5600.0,510.0,20224.0,396453.0,12600.0,755.0,35.0,1473288.0,2000.0,38172.0,950.0,74000.0,363000.0,2800.0,-1.0,218853.0,4000.0,2000.0,30000.0,40000.0,53000.0,36100.0,10000.0,35827.0,51000.0,1935.0,6000.0
1989,14545.0,-1.0,1400.0,1400.0,5880.0,1030.0,43842.0,10050.0,4200.0,4475.0,40000.0,640.0,5756.0,3000.0,51000.0,,17000.0,17000.0,41066.0,,5600.0,280.0,27095.0,595000.0,12600.0,1014.0,91.0,1793690.0,2000.0,44475.0,990.0,74000.0,373000.0,2800.0,700.0,212891.0,5000.0,2000.0,32000.0,41000.0,51000.0,32500.0,10000.0,35142.0,54000.0,2075.0,5700.0
1990,11406.0,-1.0,1700.0,14500.0,6000.0,1420.0,47580.0,14000.0,5000.0,5051.0,50000.0,363.0,12200.0,2944.0,45000.0,-1.0,18285.0,18000.0,46193.0,0.0,5355.0,510.0,25070.0,660000.0,16400.0,868.0,87.0,1844737.0,2500.0,55051.0,1030.0,72000.0,356000.0,2900.0,2000.0,205507.0,4410.0,1995.0,29000.0,43000.0,45000.0,29100.0,7000.0,44305.0,53000.0,2700.0,5400.0
1991,15000.0,-1.0,1700.0,8200.0,6180.0,1450.0,52540.0,15000.0,3300.0,4992.0,50000.0,280.0,14505.0,3172.0,47000.0,-1.0,15616.0,8400.0,53324.0,0.0,4900.0,750.0,26182.0,551000.0,17031.0,1355.0,235.0,1785218.0,1700.0,54992.0,1100.0,72598.0,369000.0,2800.0,3000.0,198703.0,2440.0,2034.0,31000.0,45000.0,47000.0,30300.0,7000.0,43666.0,53000.0,3335.0,8000.0
1992,15000.0,-1.0,1800.0,14500.0,6240.0,1490.0,51407.0,15500.0,2666.0,6781.0,57000.0,470.0,14800.0,3073.0,48000.0,-1.0,14642.0,18500.0,55824.0,0.0,5361.0,720.0,27062.0,660000.0,18608.0,2387.0,285.0,1874367.0,1100.0,63781.0,1100.0,72500.0,385000.0,2700.0,4000.0,183555.0,2640.0,2148.0,33000.0,42000.0,48000.0,31000.0,7000.0,45528.0,53000.0,5000.0,8000.0
1993,15000.0,-1.0,1900.0,15700.0,6360.0,1450.0,57371.0,19000.0,2838.0,7043.0,61000.0,390.0,15700.0,2900.0,50000.0,-1.0,18000.0,18500.0,57691.0,-1.0,4938.0,900.0,28417.0,818000.0,18959.0,4118.0,275.0,2266160.0,2000.0,68043.0,1500.0,73000.0,491000.0,2800.0,4000.0,138695.0,4000.0,2582.0,33000.0,51000.0,50000.0,32900.0,7000.0,37868.0,54000.0,5250.0,8000.0
1994,15000.0,-1.0,1700.0,16000.0,6480.0,1300.0,70000.0,20000.0,4100.0,7183.0,66000.0,212.0,18000.0,2800.0,55388.0,-1.0,17818.0,21000.0,66950.0,-1.0,5000.0,830.0,32444.0,945000.0,19310.0,5729.0,205.0,2203930.0,2000.0,73183.0,1700.0,73700.0,503000.0,2897.0,5000.0,117208.0,4000.0,2628.0,34000.0,53000.0,55388.0,32400.0,7000.0,35050.0,55000.0,7350.0,8000.0
1995,15000.0,-1.0,1800.0,17000.0,6600.0,1400.0,78000.0,22000.0,5700.0,6861.0,48375.0,170.0,18000.0,2700.0,57479.0,-1.0,11000.0,21000.0,71860.0,-1.0,5482.0,810.0,29989.0,942063.0,17100.0,6807.0,180.0,2395588.0,2000.0,55236.0,1800.0,74000.0,543000.0,2900.0,5000.0,108216.0,5208.0,2783.0,34000.0,55411.0,57479.0,29160.0,7000.0,34886.0,56000.0,8000.0,8000.0
1996,14000.0,-1.0,1600.0,18000.0,6720.0,1450.0,100000.0,23000.0,5000.0,6834.0,63057.0,4.0,19000.0,2800.0,50500.0,-1.0,10993.0,22000.0,77714.0,-1.0,2100.0,740.0,31293.0,1084680.0,18000.0,10083.0,275.0,2488750.0,3000.0,69891.0,2000.0,75000.0,548000.0,3000.0,5000.0,134470.0,3800.0,2801.0,30000.0,52000.0,50500.0,31000.0,7000.0,36948.0,64000.0,12000.0,8100.0
1997,14000.0,690.0,1700.0,19200.0,6600.0,1500.0,90000.0,26000.0,4287.0,7005.0,60017.0,3.0,20000.0,2650.0,51000.0,-1.0,10799.0,22000.0,85573.0,-1.0,2700.0,770.0,40728.0,1229000.0,18600.0,12452.0,280.0,2638070.0,4000.0,67022.0,2000.0,66000.0,545000.0,2800.0,5000.0,129316.0,4500.0,2811.0,35000.0,52000.0,51000.0,32000.0,8000.0,34330.0,58000.0,11000.0,11000.0
1998,14000.0,1375.0,1700.0,20300.0,7000.0,1450.0,110000.0,25000.0,5300.0,6821.0,64000.0,18.0,22000.0,2500.0,52000.0,-1.0,12071.0,25000.0,85852.0,-1.0,2700.0,700.0,45090.0,1302907.0,19100.0,13461.0,245.0,2428470.0,4000.0,70821.0,2000.0,67363.0,545000.0,2900.0,5000.0,128562.0,7000.0,2840.0,35000.0,52000.0,52000.0,26000.0,8000.0,38702.0,60000.0,12000.0,11000.0
1999,15000.0,1580.0,1800.0,21500.0,7471.0,1400.0,125000.0,23063.0,5462.0,3182.0,69000.0,27.0,22000.0,2500.0,52500.0,-1.0,12500.0,24000.0,100617.0,-1.0,2680.0,689.0,28364.0,1392711.0,18000.0,13330.0,275.0,3025690.0,7000.0,72182.0,2000.0,67000.0,562000.0,3000.0,6000.0,125725.0,8000.0,2927.0,34000.0,52000.0,52500.0,21700.0,8000.0,43882.0,65000.0,15000.0,11000.0
2000,16000.0,1600.0,1578.0,21000.0,7680.0,1300.0,116000.0,24365.0,5400.0,8000.0,85000.0,40.0,22000.0,2538.0,53000.0,-1.0,12508.0,26000.0,108949.0,-1.0,2300.0,722.0,37160.0,1660000.0,18600.0,14766.0,535.0,3162760.0,10000.0,93000.0,2000.0,60000.0,577000.0,3043.0,6000.0,122736.0,6600.0,2978.0,35000.0,53000.0,53000.0,22000.0,8000.0,40634.0,66000.0,16000.0,11000.0
2001,15000.0,1620.0,1560.0,24200.0,7700.0,950.0,122000.0,26643.0,4618.0,8000.0,83000.0,38.0,23000.0,2763.0,54000.0,-1.0,12500.0,36000.0,118526.0,-1.0,2645.0,600.0,37972.0,1867355.0,20000.0,13826.0,625.0,3367710.0,10000.0,91000.0,2000.0,50000.0,550000.0,3073.0,5000.0,120465.0,7600.0,3171.0,35000.0,53000.0,54000.0,23000.0,8000.0,50000.0,66000.0,20000.0,11000.0
2002,15500.0,1580.0,1102.0,25600.0,8357.0,1100.0,137000.0,22848.0,4878.0,8000.0,81000.0,47.0,24000.0,2738.0,54800.0,-1.0,12550.0,43000.0,115994.0,-1.0,2200.0,596.0,41300.0,2200000.0,20000.0,12683.0,637.0,3268635.0,11000.0,89000.0,2000.0,45000.0,520000.0,3104.0,6000.0,119786.0,6600.0,3233.0,36000.0,53000.0,54800.0,23000.0,8000.0,56000.0,64000.0,20000.0,11000.0
2003,15800.0,1620.0,1187.0,27200.0,6073.0,1500.0,157000.0,23240.0,5900.0,8000.0,83000.0,49.0,27000.0,2724.0,55500.0,-1.0,12650.0,46000.0,118772.0,-1.0,2000.0,625.0,42800.0,2480000.0,21000.0,10952.0,650.0,3627235.0,11000.0,91000.0,2015.0,45000.0,500000.0,2949.0,6000.0,121000.0,8100.0,3477.0,37000.0,53000.0,55500.0,23000.0,8000.0,57000.0,69000.0,21000.0,11000.0
2004,17000.0,1790.0,1228.0,28800.0,7497.0,2000.0,168000.0,26800.0,7518.0,8000.0,89000.0,30.0,27000.0,2861.0,56000.0,-1.0,12560.0,52000.0,145740.0,-1.0,2091.0,634.0,55300.0,2920000.0,22000.0,13141.0,675.0,3661500.0,12000.0,97000.0,2000.0,45000.0,480000.0,3300.0,6000.0,121500.0,9000.0,3300.0,37000.0,53000.0,56000.0,25000.0,8000.0,63000.0,70000.0,21000.0,11000.0
2005,18000.0,1860.0,1452.0,30600.0,7163.0,3300.0,158000.0,28000.0,8779.0,8000.0,86000.0,25.0,29000.0,3179.0,60000.0,-1.0,12588.0,70000.0,158172.0,-1.0,2040.0,704.0,57900.0,3380000.0,22000.0,12075.0,759.0,3964000.0,14000.0,94000.0,2000.0,46000.0,465000.0,3495.0,7000.0,124594.0,9000.0,2800.0,39000.0,53000.0,60000.0,28732.0,8000.0,71000.0,69000.0,27000.0,11000.0
2006,18000.0,1900.0,1504.0,32400.0,7121.0,5500.0,191000.0,42315.0,6218.0,9000.0,96000.0,24.0,30000.0,2719.0,54000.0,-1.0,12017.0,72000.0,178000.0,-1.0,1750.0,602.0,87000.0,3850000.0,22500.0,12192.0,750.0,4125000.0,16000.0,105000.0,2000.0,47000.0,469000.0,4500.0,7000.0,128000.0,9000.0,2500.0,40000.0,53000.0,54000.0,23000.0,8000.0,74000.0,88000.0,40000.0,11000.0
2007,20000.0,2100.0,1342.0,34400.0,7905.0,8500.0,240000.0,33000.0,6050.0,9000.0,100000.0,28.0,32000.0,2246.0,55000.0,-1.0,14250.0,74000.0,180000.0,-1.0,1450.0,750.0,100000.0,4210000.0,23000.0,13006.0,620.0,4097000.0,17000.0,109000.0,2000.0,47000.0,474000.0,4630.0,7000.0,130000.0,10000.0,2050.0,36000.0,53000.0,55000.0,23500.0,8000.0,68000.0,87000.0,44000.0,11000.0
2008,22000.0,1760.0,1368.0,36468.0,8865.0,9500.0,294000.0,34528.0,6370.0,9000.0,105800.0,26.0,33000.0,2679.0,58000.0,-1.0,14774.0,75000.0,179000.0,-1.0,1100.0,793.0,103000.0,4700000.0,20500.0,18719.0,740.0,4577000.0,18000.0,114800.0,2000.0,48000.0,218000.0,4650.0,8000.0,150000.0,13500.0,2000.0,36000.0,53000.0,58000.0,24000.0,8000.0,78000.0,88000.0,42000.0,11000.0
2009,24000.0,2140.0,1107.0,38673.0,8999.0,9000.0,300000.0,35910.0,6466.0,10000.0,109000.0,27.0,44000.0,2490.0,59000.0,-1.0,15200.0,73000.0,179341.0,-1.0,715.0,843.0,103000.0,5130000.0,23000.0,14735.0,688.0,4504000.0,19000.0,119000.0,2000.0,48800.0,221000.0,4660.0,9000.0,180000.0,13500.0,2225.0,36000.0,53000.0,59000.0,25000.0,8100.0,81000.0,90000.0,44000.0,11000.0
2010,24000.0,1680.0,1300.0,41011.0,9000.0,8400.0,310000.0,39432.0,6600.0,11000.0,122000.0,30.0,46000.0,2500.0,55000.0,-1.0,15200.0,85000.0,174327.0,-1.0,365.0,790.0,88000.0,5900000.0,23000.0,4268.0,790.0,4292000.0,22000.0,133000.0,3000.0,49500.0,233000.0,4700.0,10000.0,208900.0,13700.0,2500.0,36000.0,53000.0,55000.0,24500.0,8000.0,85000.0,90000.0,47000.0,11000.0
2011,26000.0,1440.0,1350.0,41000.0,10000.0,7000.0,376000.0,42000.0,7000.0,11000.0,126000.0,30.0,46000.0,2500.0,54000.0,-1.0,15200.0,95000.0,212244.0,-1.0,390.0,800.0,98000.0,6540000.0,23000.0,2948.0,790.0,4706603.0,23000.0,137000.0,3000.0,70000.0,210000.0,4730.0,11000.0,208900.0,25000.0,2500.0,45900.0,53000.0,54000.0,24500.0,8050.0,95000.0,64000.0,63000.0,11000.0
2012,28000.0,1470.0,1400.0,41000.0,10500.0,7200.0,405000.0,44450.0,7500.0,12000.0,132000.0,30.0,53000.0,2500.0,55000.0,5700.0,15500.0,98000.0,215504.0,-1.0,430.0,820.0,108000.0,6920000.0,23000.0,2948.0,800.0,4705900.0,25000.0,144000.0,3000.0,75000.0,220000.0,4780.0,11000.0,210000.0,40000.0,2500.0,46800.0,53000.0,55000.0,28000.0,8050.0,98000.0,60000.0,80000.0,11000.0
2013,27000.0,1500.0,1350.0,41000.0,11000.0,7900.0,447000.0,52158.0,7400.0,13000.0,130000.0,31.0,56000.0,2500.0,55000.0,9600.0,15500.0,105000.0,226428.0,-1.0,450.0,820.0,107000.0,7530000.0,23000.0,2109.0,850.0,4859302.0,32000.0,143000.0,3000.0,75000.0,228000.0,4800.0,12000.0,226700.0,51000.0,2500.0,45000.0,53000.0,55000.0,30000.0,8050.0,99000.0,62000.0,90000.0,11000.0
2014,28000.0,1580.0,1347.0,41000.0,11428.0,8220.0,414000.0,54425.0,7459.0,14000.0,140000.0,33.0,58786.0,2501.0,55982.0,9600.0,15043.0,109000.0,240990.0,-1.0,123.0,812.0,110000.0,8000000.0,23683.0,15571.0,891.0,4888756.0,35000.0,154000.0,4000.0,75203.0,235000.0,5126.0,13000.0,206900.0,31000.0,2596.0,118000.0,53706.0,55982.0,24848.0,8500.0,87000.0,65000.0,100000.0,11874.0
