,Ukraine,Democratic People's Republic of Korea,Kenya,Bolivia (Plurinational State of),Peru,Georgia,Serbia and Montenegro,Cameroon,Republic of Korea,Switzerland,Romania,Azerbaijan,Spain,Brazil,Bosnia and Herzegovina,China,The former Yugoslav Republic of Macedonia,Japan,Latvia,Albania,Portugal,Slovakia,Malawi,Trinidad and Tobago,Chile,Hungary,Greece,USSR,Bulgaria,Yugoslav SFR,France,Zimbabwe,Slovenia,Poland,"China, mainland",Russian Federation,Italy,Turkey
1976,-1.0,4700.0,-1,-1.0,-1.0,-1,-1.0,-1.0,8811.0,-1.0,-1.0,-1.0,34901.0,-1.0,-1.0,138000.0,-1.0,56200.0,-1.0,-1.0,33378.0,-1.0,-1,-1,-1.0,4031.0,15092.0,4600.0,250.0,2600.0,59140.0,-1.0,-1.0,-1.0,138000.0,-1,56347.0,47700.0
1977,-1.0,4800.0,-1,-1.0,-1.0,-1,-1.0,-1.0,37410.0,-1.0,-1.0,-1.0,19705.0,-1.0,-1.0,135000.0,-1.0,59100.0,-1.0,-1.0,28705.0,-1.0,-1,-1,-1.0,4739.0,13054.0,5300.0,200.0,1700.0,48497.0,-1.0,-1.0,-1.0,135000.0,-1,54820.0,48200.0
1978,-1.0,5000.0,-1,-1.0,-1.0,-1,-1.0,-1.0,58174.0,-1.0,-1.0,-1.0,12193.0,-1.0,-1.0,130000.0,-1.0,60600.0,-1.0,-1.0,28131.0,-1.0,-1,-1,-1.0,4144.0,13868.0,4800.0,200.0,1500.0,43710.0,-1.0,-1.0,-1.0,130000.0,-1,73111.0,45000.0
1979,-1.0,5200.0,-1,-1.0,-1.0,-1,-1.0,-1.0,80930.0,-1.0,-1.0,-1.0,37515.0,-1.0,-1.0,123000.0,-1.0,65300.0,-1.0,-1.0,22224.0,-1.0,-1,-1,-1.0,3749.0,13160.0,4800.0,255.0,1700.0,53751.0,-1.0,-1.0,-1.0,123000.0,-1,70849.0,46000.0
1980,-1.0,5500.0,-1,-1.0,1500.0,-1,-1.0,-1.0,84470.0,-1.0,-1.0,-1.0,24303.0,-1.0,-1.0,115000.0,-1.0,47000.0,-1.0,-1.0,20224.0,-1.0,-1,-1,-1.0,3498.0,14300.0,5200.0,37.0,4669.0,24428.0,-1.0,-1.0,-1.0,115000.0,-1,63384.0,58500.0
1981,-1.0,5800.0,-1,-1.0,1755.0,-1,-1.0,-1.0,62950.0,-1.0,-1.0,-1.0,20771.0,-1.0,-1.0,106000.0,-1.0,59100.0,-1.0,-1.0,18200.0,-1.0,-1,-1,-1.0,4276.0,13176.0,6400.0,13.0,5500.0,26000.0,-1.0,-1.0,-1.0,106000.0,-1,67353.0,59000.0
1982,-1.0,6000.0,-1,-1.0,1881.0,-1,-1.0,-1.0,66153.0,-1.0,-1.0,-1.0,23197.0,-1.0,-1.0,100000.0,-1.0,51500.0,-1.0,-1.0,17290.0,-1.0,-1,-1,-1.0,5416.0,14805.0,6000.0,40.0,4100.0,23500.0,-1.0,-1.0,-1.0,100000.0,-1,73431.0,55000.0
1983,-1.0,6500.0,-1,-1.0,1586.0,-1,-1.0,-1.0,72000.0,-1.0,-1.0,-1.0,27713.0,-1.0,-1.0,92000.0,-1.0,53500.0,-1.0,-1.0,18846.0,-1.0,-1,-1,-1.0,4050.0,14107.0,6500.0,8.0,5000.0,16600.0,-1.0,-1.0,-1.0,92000.0,-1,76729.0,55000.0
1984,-1.0,6000.0,-1,-1.0,1672.0,-1,-1.0,-1.0,66000.0,-1.0,-1.0,-1.0,28515.0,-1.0,-1.0,83400.0,-1.0,54300.0,-1.0,-1.0,17901.0,-1.0,-1,-1,-1.0,3737.0,11700.0,7000.0,13.0,4000.0,14600.0,-1.0,-1.0,-1.0,83400.0,-1,50939.0,57000.0
1985,-1.0,6500.0,-1,24000.0,1780.0,-1,-1.0,20.0,72000.0,-1.0,-1.0,-1.0,27567.0,-1.0,-1.0,83198.0,-1.0,48200.0,-1.0,-1.0,17005.0,-1.0,-1,-1,-1.0,2353.0,10345.0,7500.0,3.0,1500.0,14200.0,-1.0,-1.0,-1.0,83198.0,-1,38840.0,59000.0
1986,-1.0,5300.0,-1,25000.0,1682.0,-1,-1.0,40.0,58411.0,-1.0,-1.0,-1.0,26249.0,-1.0,-1.0,95375.0,-1.0,53700.0,-1.0,-1.0,16565.0,-1.0,-1,-1,-1.0,2879.0,11429.0,8000.0,112.0,4800.0,14600.0,-1.0,-1.0,-1.0,95375.0,-1,55676.0,70000.0
1987,-1.0,5200.0,-1,26000.0,1644.0,-1,-1.0,50.0,57047.0,-1.0,-1.0,-1.0,33691.0,-1.0,-1.0,114539.0,-1.0,48200.0,-1.0,-1.0,18261.0,-1.0,-1,-1,-1.0,2102.0,10764.0,9000.0,10.0,4500.0,15900.0,-1.0,-1.0,-1.0,114539.0,-1,55682.0,90000.0
1988,-1.0,7000.0,-1,27000.0,1586.0,-1,-1.0,60.0,77652.0,-1.0,-1.0,-1.0,35721.0,-1.0,-1.0,103576.0,-1.0,42700.0,-1.0,-1.0,17648.0,-1.0,-1,-1,-1.0,1976.0,9762.0,10000.0,17.0,3500.0,17202.0,-1.0,-1.0,-1.0,103576.0,-1,52296.0,90000.0
1989,-1.0,7200.0,-1,27440.0,2053.0,-1,-1.0,70.0,78752.0,-1.0,-1.0,-1.0,25592.0,-1.0,-1.0,102546.0,-1.0,39500.0,-1.0,-1.0,21039.0,-1.0,-1,-1,-1.0,1498.0,13788.0,11000.0,8.0,3000.0,13839.0,-1.0,-1.0,-1.0,102546.0,-1,50273.0,73000.0
1990,-1.0,8000.0,-1,19708.0,2083.0,-1,-1.0,100.0,85043.0,-1.0,-1.0,-1.0,23605.0,0.0,-1.0,115191.0,-1.0,40200.0,-1.0,-1.0,20405.0,-1.0,-1,-1,-1.0,869.0,10882.0,12000.0,21.0,2800.0,13560.0,50.0,-1.0,-1.0,115191.0,-1,49559.0,80000.0
1991,-1.0,8200.0,-1,15894.0,1508.0,-1,-1.0,100.0,89747.0,200.0,-1.0,-1.0,18942.0,0.0,-1.0,257000.0,-1.0,32400.0,-1.0,-1.0,15713.0,-1.0,-1,-1,-1.0,1094.0,12968.0,13000.0,15.0,2800.0,12394.0,48.0,-1.0,-1.0,257000.0,-1,66579.0,81000.0
1992,-1.0,8000.0,-1,27820.0,1154.0,-1,1536.0,100.0,101742.0,200.0,-1.0,600.0,21698.0,0.0,760.0,285000.0,80.0,33600.0,-1.0,-1.0,15955.0,-1.0,-1,-1,-1.0,756.0,11416.0,-1.0,30.0,-1.0,14000.0,47.0,464.0,500.0,285000.0,-1,69089.0,85000.0
1993,-1.0,7500.0,-1,24000.0,1278.0,-1,1600.0,100.0,80994.0,200.0,1000.0,500.0,23847.0,0.0,770.0,286000.0,130.0,27100.0,-1.0,-1.0,14129.0,-1.0,-1,-1,-1.0,1130.0,10600.0,-1.0,50.0,-1.0,13136.0,47.0,500.0,100.0,286000.0,-1,67722.0,80000.0
1994,-1.0,7000.0,-1,22500.0,1657.0,-1,1500.0,100.0,100163.0,200.0,1000.0,600.0,19441.0,0.0,750.0,315000.0,120.0,32900.0,-1.0,-1.0,21439.0,-1.0,-1,-1,-1.0,900.0,11500.0,-1.0,100.0,-1.0,12896.0,47.0,300.0,50.0,315000.0,-1,69852.0,76000.0
1995,-1.0,7500.0,-1,31229.0,2215.0,-1,1400.0,100.0,93655.0,201.0,1000.0,500.0,10075.0,0.0,790.0,300000.0,300.0,34400.0,-1.0,-1.0,23238.0,-1.0,-1,-1,-1.0,1100.0,12053.0,-1.0,100.0,-1.0,11016.0,46.0,200.0,137.0,300000.0,-1,71971.0,77000.0
1996,-1.0,7843.0,-1,39565.0,2202.0,-1,1311.0,100.0,108346.0,201.0,842.0,400.0,15000.0,0.0,800.0,285000.0,700.0,30100.0,-1.0,4500.0,25272.0,-1.0,-1,-1,-1.0,1040.0,12536.0,-1.0,300.0,-1.0,10798.0,46.0,50.0,60.0,285000.0,-1,68653.0,65000.0
1997,-1.0,8098.0,-1,39872.0,2070.0,-1,1224.0,100.0,129673.0,200.0,1000.0,300.0,10000.0,0.0,810.0,375000.0,600.0,32900.0,-1.0,5000.0,26357.0,-1.0,-1,-1,-1.0,991.0,13548.0,-1.0,300.0,-1.0,9592.0,46.0,13.0,200.0,375000.0,-1,72782.0,61000.0
1998,-1.0,8400.0,-1,30864.0,750.0,-1,1141.0,100.0,109956.0,200.0,50.0,300.0,11852.0,0.0,800.0,450000.0,500.0,26200.0,-1.0,5000.0,29314.0,-1.0,-1,-1,-1.0,973.0,12820.0,-1.0,200.0,-1.0,11411.0,40.0,16.0,150.0,450000.0,-1,78425.0,55000.0
1999,-1.0,8428.0,-1,33603.0,1954.0,-1,1100.0,100.0,95768.0,200.0,331.0,400.0,10580.0,0.0,850.0,534631.0,200.0,30000.0,-1.0,5000.0,30969.0,-1.0,-1,-1,-1.0,1029.0,15733.0,-1.0,200.0,-1.0,12563.0,48.0,20.0,100.0,534631.0,-1,52158.0,53000.0
2000,200.0,8523.0,-1,34400.0,1990.0,-1,900.0,100.0,92844.0,200.0,322.0,500.0,9230.0,0.0,840.0,598185.0,250.0,26700.0,-1.0,5000.0,33317.0,-1.0,-1,-1,-1.0,1015.0,15303.0,-1.0,400.0,-1.0,13224.0,50.0,57.0,50.0,598185.0,-1,50000.0,50000.0
2001,223.0,8700.0,-1,40000.0,525.0,-1,700.0,100.0,94130.0,200.0,112.0,500.0,9510.0,0.0,830.0,599077.0,200.0,29000.0,-1.0,5000.0,26118.0,-1.0,-1,-1,-1.0,991.0,14935.0,-1.0,300.0,-1.0,13032.0,52.0,33.0,169.0,599077.0,-1,53046.0,47000.0
2002,225.0,8764.0,-1,46000.0,670.0,-1,400.0,100.0,72405.0,200.0,205.0,500.0,9362.0,0.0,810.0,701684.0,300.0,30100.0,-1.0,5000.0,31385.0,-1.0,-1,-1,-1.0,580.0,15200.0,-1.0,350.0,-1.0,11223.0,54.0,33.0,183.0,701684.0,-1,55272.0,47000.0
2003,300.0,9000.0,-1,50000.0,759.0,-1,900.0,100.0,60017.0,200.0,155.0,937.0,16821.0,0.0,800.0,797168.0,400.0,25100.0,-1.0,5000.0,33267.0,-1.0,-1,-1,-1.0,469.0,16800.0,-1.0,370.0,-1.0,10118.0,57.0,4.0,204.0,797168.0,-1,55064.0,48000.0
2004,200.0,9000.0,-1,52758.0,775.0,-1,663.0,100.0,71795.0,200.0,47.0,949.0,9510.0,0.0,850.0,922735.0,300.0,24000.0,-1.0,5000.0,31051.0,-1.0,-1,-1,-1.0,444.0,18712.0,-1.0,70.0,-1.0,12431.0,59.0,10.0,220.0,922735.0,-1,55062.0,49000.0
2005,224.0,9000.0,-1,57057.0,600.0,-1,540.0,100.0,76447.0,200.0,66.0,1937.0,8629.0,0.0,900.0,1031857.0,306.0,21800.0,-1.0,5000.0,22327.0,-1.0,-1,-1,230.0,385.0,19086.0,-1.0,300.0,-1.0,8144.0,61.0,13.0,236.0,1031857.0,-1,52000.0,50000.0
2006,224.0,8000.0,-1,55000.0,800.0,-1,-1.0,100.0,82450.0,252.0,22.0,1765.0,10140.0,0.0,920.0,1139661.0,315.0,23100.0,-1.0,5000.0,30900.0,32.0,-1,-1,320.0,426.0,17442.0,-1.0,350.0,-1.0,9670.0,63.0,40.0,241.0,1139661.0,-1,52615.0,53814.0
2007,225.0,9000.0,-1,56067.0,800.0,-1,-1.0,100.0,77524.0,254.0,9.0,1887.0,10000.0,0.0,950.0,1266510.0,320.0,22100.0,50.0,5000.0,24251.0,30.0,-1,-1,350.0,338.0,14999.0,-1.0,400.0,-1.0,8284.0,66.0,21.0,260.0,1266510.0,-1,50000.0,55100.0
2008,226.0,10500.0,-1,57446.0,850.0,-1,-1.0,100.0,75171.0,255.0,44.0,795.0,11000.0,0.0,950.0,1450452.0,400.0,25300.0,50.0,5000.0,23916.0,25.0,-1,-1,900.0,418.0,9800.0,-1.0,480.0,-1.0,6290.0,68.0,26.0,500.0,1450452.0,-1,55000.0,55395.0
2009,200.0,10548.0,-1,55000.0,860.0,-1,-1.0,100.0,75911.0,257.0,35.0,839.0,16000.0,0.0,980.0,1550000.0,500.0,21700.0,50.0,5580.0,24305.0,20.0,-1,-1,850.0,399.0,14000.0,-1.0,460.0,-1.0,8672.0,70.0,22.0,356.0,1550000.0,-1,56755.0,61697.0
2010,200.0,10794.0,-1,60718.0,750.0,-1,-1.0,120.0,68630.0,259.0,29.0,816.0,17900.0,0.0,1000.0,1643862.0,538.0,23500.0,50.0,5704.0,22350.0,14.0,-1,-1,415.0,280.0,20900.0,-1.0,440.0,-1.0,9376.0,72.0,38.0,365.0,1643862.0,-1,56628.0,59171.0
2011,200.0,11000.0,-1,62928.0,675.0,-1,-1.0,130.0,64586.0,261.0,32.0,803.0,16900.0,0.0,1000.0,1693502.0,600.0,19100.0,50.0,5200.0,18271.0,7.0,-1,-1,500.0,256.0,21500.0,-1.0,430.0,-1.0,7036.0,75.0,13.0,373.0,1693502.0,-1,56853.0,60270.0
2012,250.0,12000.0,-1,59744.0,651.0,-1,-1.0,135.0,62345.0,263.0,25.0,793.0,15300.0,0.0,1100.0,1709649.0,600.0,20900.0,50.0,5800.0,19130.0,2.0,-1,-1,920.0,330.0,28700.0,-1.0,420.0,-1.0,8676.0,80.0,7.0,460.0,1709649.0,-1,59764.0,57881.0
2013,300.0,12000.0,-1,76035.0,610.0,-1,-1.0,140.0,64184.0,44.0,25.0,817.0,17200.0,0.0,1100.0,1719410.0,568.0,21000.0,50.0,5451.0,24739.0,1.0,-1,-1,1100.0,270.0,27800.0,-1.0,439.0,-1.0,9200.0,80.0,5.0,394.0,1719410.0,-1,55086.0,60019.0
2014,200.0,12256.0,-1,77890.0,574.0,-1,-1.0,123.0,56551.0,44.0,26.0,756.0,16136.0,0.0,1111.0,1683815.0,443.0,21400.0,50.0,6590.0,18465.0,1.0,-1,-1,1100.0,300.0,28440.0,-1.0,410.0,-1.0,8668.0,76.0,17.0,400.0,1683815.0,-1,51959.0,63762.0
