,"China, Taiwan Province of",Romania,Norway,Philippines,Sri Lanka,The former Yugoslav Republic of Macedonia,Belgium,Japan,Ethiopia,Kenya,Luxembourg,Costa Rica,Republic of Moldova,Italy,Mauritius,South Africa,Latvia,Sweden,Albania,Uzbekistan,China,Finland,Slovakia,Niger,Australia & New Zealand,Morocco,Slovenia,Congo,Canada,Denmark,Spain,Kyrgyzstan,Germany,New Zealand,Malta,Austria,Indonesia,Poland,Switzerland,Belgium-Luxembourg,Togo,Greece,United Kingdom,France,Republic of Korea,Zimbabwe,Croatia,Hungary,Turkey,Cameroon,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Yemen,Ireland,Cyprus,Kazakhstan,Rwanda,Lithuania,Portugal,Netherlands
1971,11726.0,-1.0,2856.0,-1.0,2521.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,18726.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,22647.0,,,,-1.0,-1.0,33000.0,-1.0,-1.0,74300.0,,,,363360.0,-1.0,-1.0,,-1.0,306000.0,,-1.0,-1.0,-1.0,7000.0,,,,,-1.0,,,
1972,18584.0,-1.0,2767.0,-1.0,1402.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,26084.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,25289.0,,,,-1.0,-1.0,32000.0,-1.0,-1.0,86700.0,,,,314271.0,-1.0,-1.0,,-1.0,306000.0,,-1.0,-1.0,-1.0,7500.0,,,,,-1.0,,,
1973,23823.0,-1.0,2824.0,-1.0,2087.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,31323.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,26620.0,,,,-1.0,-1.0,30000.0,-1.0,-1.0,92500.0,,,,305365.0,-1.0,-1.0,,-1.0,258000.0,,-1.0,-1.0,-1.0,7500.0,,,,,-1.0,,,
1974,19406.0,-1.0,2645.0,-1.0,2076.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,27206.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,28189.0,,,,-1.0,-1.0,31000.0,-1.0,-1.0,124000.0,,,,296720.0,-1.0,-1.0,,-1.0,263000.0,,-1.0,2630.0,-1.0,7800.0,,,,,-1.0,,,
1975,13983.0,-1.0,2760.0,-1.0,8659.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,21983.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,31453.0,,,,-1.0,-1.0,37000.0,-1.0,-1.0,99000.0,,,,279981.0,-1.0,-1.0,,-1.0,270000.0,,-1.0,3503.0,-1.0,8000.0,,,,,-1.0,,,
1976,12462.0,-1.0,2554.0,-1.0,8231.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,20462.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,34455.0,,,,-1.0,-1.0,46000.0,-1.0,-1.0,78000.0,,,,233884.0,-1.0,-1.0,,-1.0,260000.0,,-1.0,3463.0,-1.0,8000.0,,,,,-1.0,,,
1977,11746.0,-1.0,2714.0,-1.0,8152.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,19746.0,-1.0,,-1.0,,,,-1.0,-1.0,-1.0,39389.0,,,,-1.0,-1.0,54300.0,-1.0,-1.0,102400.0,,,,279603.0,-1.0,-1.0,,-1.0,275000.0,,-1.0,4061.0,-1.0,8000.0,,,,,-1.0,,,
1978,13967.0,-1.0,2935.0,-1.0,2854.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,22967.0,-1.0,,-1.0,1419.0,,,-1.0,-1.0,-1.0,38129.0,,,1419.0,-1.0,-1.0,80676.0,-1.0,-1.0,86000.0,,,,255487.0,-1.0,-1.0,,-1.0,282000.0,,-1.0,3474.0,-1.0,9000.0,,,,,-1.0,,,
1979,12586.0,-1.0,3090.0,-1.0,6740.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,20586.0,-1.0,,-1.0,1111.0,,,-1.0,-1.0,-1.0,42563.0,,,1111.0,-1.0,-1.0,71000.0,-1.0,-1.0,64000.0,,,,265800.0,-1.0,-1.0,,-1.0,290000.0,,-1.0,3305.0,-1.0,8000.0,,,,,-1.0,,,
1980,18875.0,-1.0,3712.0,-1.0,6764.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,28875.0,-1.0,,-1.0,1329.0,,,-1.0,-1.0,-1.0,41583.0,,,1329.0,-1.0,-1.0,76312.0,-1.0,-1.0,69000.0,,,,211000.0,-1.0,-1.0,,-1.0,300000.0,,-1.0,3364.0,-1.0,10000.0,,,,,-1.0,,,
1981,15741.0,-1.0,3136.0,-1.0,6111.0,,,-1.0,,,,-1.0,,,-1.0,-1.0,,-1.0,-1.0,,24741.0,-1.0,,-1.0,1594.0,,,-1.0,-1.0,-1.0,39838.0,,,1594.0,-1.0,-1.0,79405.0,-1.0,-1.0,72000.0,,,,224468.0,-1.0,-1.0,,-1.0,300000.0,,-1.0,4128.0,126.0,9000.0,,,,,-1.0,,,
1982,16003.0,-1.0,3410.0,-1.0,5572.0,,,-1.0,,,,-1.0,,31300.0,-1.0,-1.0,,-1.0,-1.0,,26003.0,-1.0,,-1.0,1303.0,,,-1.0,-1.0,-1.0,40124.0,,,1303.0,-1.0,-1.0,70993.0,-1.0,-1.0,69000.0,,,,245800.0,-1.0,-1.0,,-1.0,300000.0,,-1.0,3693.0,-1.0,10000.0,,,,,-1.0,,,
1983,14245.0,-1.0,3337.0,-1.0,14585.0,,,-1.0,,,,-1.0,,29500.0,-1.0,-1.0,,-1.0,-1.0,,26245.0,-1.0,,-1.0,1440.0,,,-1.0,-1.0,-1.0,45168.0,,,1440.0,-1.0,-1.0,71688.0,-1.0,-1.0,72000.0,,,,234400.0,-1.0,-1.0,,-1.0,300000.0,,-1.0,4141.0,-1.0,12000.0,,,,,-1.0,,,
1984,19285.0,-1.0,3985.0,-1.0,14150.0,,,-1.0,,,,-1.0,,32400.0,-1.0,-1.0,,-1.0,-1.0,,34285.0,-1.0,,-1.0,1550.0,,,-1.0,-1.0,-1.0,55811.0,,,1550.0,-1.0,-1.0,91465.0,-1.0,-1.0,74000.0,,,,217996.0,-1.0,-1.0,,-1.0,305000.0,40.0,-1.0,4876.0,-1.0,15000.0,,,,,-1.0,,,
1985,22743.0,-1.0,3366.0,-1.0,12698.0,,,-1.0,,,,-1.0,,30200.0,-1.0,-1.0,,-1.0,-1.0,,41743.0,-1.0,,-1.0,1770.0,,,-1.0,-1.0,-1.0,56204.0,,,1770.0,-1.0,-1.0,100659.0,-1.0,-1.0,87000.0,,,,228553.0,-1.0,-1.0,,-1.0,310000.0,40.0,-1.0,5862.0,73.0,19000.0,,,,,-1.0,,,
1986,23151.0,-1.0,3394.0,-1.0,5727.0,,,-1.0,,100.0,,-1.0,,33900.0,-1.0,-1.0,,-1.0,-1.0,,43151.0,-1.0,,-1.0,1920.0,100.0,,-1.0,-1.0,-1.0,54928.0,,43000.0,1920.0,-1.0,-1.0,150675.0,-1.0,-1.0,107000.0,,37000.0,,225029.0,-1.0,-1.0,,-1.0,296000.0,60.0,-1.0,6469.0,12.0,20000.0,,1000.0,,,-1.0,,,
1987,21216.0,-1.0,3532.0,-1.0,10756.0,,,-1.0,,100.0,,-1.0,,36500.0,-1.0,-1.0,,-1.0,-1.0,,46216.0,-1.0,,-1.0,2280.0,130.0,,-1.0,-1.0,-1.0,61924.0,,43000.0,2280.0,-1.0,-1.0,172064.0,-1.0,-1.0,102000.0,,41323.0,,225685.0,-1.0,-1.0,,-1.0,300000.0,60.0,-1.0,6443.0,506.0,25000.0,,1000.0,,,-1.0,,,75800.0
1988,23769.0,-1.0,4182.0,-1.0,10244.0,,,-1.0,,200.0,,-1.0,,34660.0,25.0,-1.0,,-1.0,-1.0,,51769.0,-1.0,,-1.0,1950.0,150.0,,-1.0,-1.0,-1.0,68255.0,,43000.0,1950.0,-1.0,-1.0,166322.0,-1.0,-1.0,101500.0,,39000.0,,212686.0,-1.0,-1.0,,-1.0,310000.0,80.0,-1.0,6575.0,1700.0,28000.0,,1200.0,,,-1.0,,,81600.0
1989,28546.0,-1.0,4038.0,-1.0,7887.0,,,-1.0,,200.0,,-1.0,,37700.0,35.0,-1.0,,-1.0,-1.0,,58546.0,-1.0,,-1.0,2220.0,170.0,,-1.0,-1.0,-1.0,71543.0,,43439.0,2220.0,-1.0,-1.0,243891.0,-1.0,-1.0,155000.0,,39200.0,73500.0,197900.0,-1.0,-1.0,,-1.0,310000.0,80.0,-1.0,6525.0,2400.0,30000.0,2763.0,1100.0,30.0,,-1.0,,,91500.0
1990,22999.0,-1.0,3859.0,-1.0,7913.0,,,-1.0,,700.0,,-1.0,,36000.0,30.0,-1.0,,-1.0,16000.0,,55985.0,2156.0,,-1.0,2500.0,190.0,,1250.0,-1.0,-1.0,65214.0,,53031.0,2500.0,-1.0,-1.0,237792.0,113000.0,-1.0,146000.0,,37000.0,69678.0,195700.0,-1.0,100.0,,-1.0,340000.0,100.0,10000.0,3755.0,2800.0,32986.0,3251.0,1200.0,31.0,,-1.0,,,94000.0
1991,26309.0,-1.0,3873.0,-1.0,8000.0,,,-1.0,,500.0,,-1.0,,35300.0,25.0,-1.0,,-1.0,22000.0,,53610.0,2807.0,,-1.0,2000.0,200.0,,1260.0,-1.0,-1.0,67900.0,,47014.0,2000.0,-1.0,-1.0,219024.0,120000.0,-1.0,137332.0,,42200.0,78648.0,203100.0,-1.0,79.0,,-1.0,320000.0,106.0,11356.0,4168.0,2400.0,27301.0,4845.0,1700.0,93.0,,-1.0,,,99000.0
1992,29206.0,-1.0,3763.0,-1.0,10000.0,-1.0,,-1.0,,544.0,,-1.0,100.0,30869.0,30.0,-1.0,-1.0,-1.0,29000.0,1200.0,61206.0,2851.0,,1000.0,2232.0,250.0,377.0,1270.0,-1.0,-1.0,67400.0,-1.0,55420.0,2232.0,-1.0,-1.0,250005.0,95000.0,-1.0,163800.0,-1.0,41000.0,71772.0,212300.0,-1.0,50.0,-1.0,-1.0,310000.0,112.0,12137.0,2877.0,2500.0,32000.0,5034.0,1500.0,82.0,1000.0,-1.0,-1.0,,114000.0
1993,29046.0,-1.0,4047.0,-1.0,8971.0,-1.0,,-1.0,-1.0,500.0,,-1.0,100.0,30860.0,37.0,-1.0,-1.0,-1.0,31000.0,1000.0,63046.0,2829.0,-1.0,1200.0,2234.0,250.0,408.0,1280.0,2810.0,-1.0,64046.0,-1.0,56684.0,2234.0,-1.0,-1.0,243319.0,122000.0,-1.0,237800.0,,45800.0,75686.0,211000.0,-1.0,100.0,-1.0,-1.0,315000.0,120.0,12734.0,4180.0,2737.0,34000.0,5034.0,1600.0,194.0,1500.0,-1.0,-1.0,,106000.0
1994,25706.0,-1.0,3909.0,-1.0,8000.0,-1.0,,-1.0,500.0,461.0,,25.0,500.0,31064.0,43.0,-1.0,-1.0,-1.0,33000.0,965.0,61706.0,3192.0,-1.0,1400.0,2238.0,300.0,383.0,1290.0,2810.0,-1.0,59791.0,-1.0,64420.0,2238.0,-1.0,-1.0,272182.0,107000.0,-1.0,258184.0,,44100.0,61000.0,217000.0,-1.0,90.0,-1.0,-1.0,310000.0,123.0,13228.0,4213.0,3606.0,36000.0,5000.0,1600.0,320.0,1000.0,-1.0,-1.0,-1.0,102700.0
1995,26052.0,-1.0,3927.0,-1.0,9000.0,100.0,,-1.0,479.0,500.0,,25.0,500.0,28452.0,33.0,-1.0,-1.0,-1.0,23000.0,900.0,62275.0,2158.0,-1.0,1600.0,2242.0,300.0,463.0,1300.0,3040.0,-1.0,57403.0,-1.0,64337.0,2242.0,-1.0,-1.0,299923.0,118000.0,-1.0,240150.0,-1.0,43700.0,57000.0,215000.0,-1.0,90.0,-1.0,-1.0,315000.0,128.0,13679.0,4564.0,4500.0,36223.0,5000.0,1100.0,30.0,2000.0,-1.0,-1.0,-1.0,116500.0
1996,28881.0,-1.0,2303.0,-1.0,10389.0,96.0,,-1.0,497.0,451.0,,30.0,500.0,27000.0,24.0,-1.0,-1.0,-1.0,19000.0,888.0,65750.0,1521.0,-1.0,1800.0,2247.0,350.0,595.0,1310.0,3280.0,-1.0,57200.0,-1.0,70224.0,2247.0,-1.0,-1.0,351899.0,108000.0,-1.0,169540.0,,40700.0,52000.0,215400.0,-1.0,93.0,-1.0,-1.0,316000.0,130.0,14114.0,5107.0,4500.0,36869.0,5000.0,1800.0,30.0,2000.0,-1.0,-1.0,,97000.0
1997,31374.0,-1.0,2223.0,-1.0,10951.0,95.0,,-1.0,533.0,435.0,,30.0,432.0,26000.0,57.0,-1.0,-1.0,-1.0,20000.0,800.0,69374.0,1416.0,-1.0,2000.0,2252.0,400.0,662.0,1320.0,2440.0,-1.0,61200.0,-1.0,74728.0,2252.0,-1.0,-1.0,294423.0,106000.0,-1.0,175636.0,-1.0,39000.0,50400.0,205400.0,-1.0,95.0,-1.0,-1.0,312000.0,140.0,14546.0,10522.0,5128.0,38000.0,5338.0,1700.0,30.0,4000.0,-1.0,-1.0,,95000.0
1998,31566.0,-1.0,1579.0,-1.0,11444.0,95.0,,-1.0,599.0,425.0,,35.0,395.0,28000.0,23.0,-1.0,-1.0,2800.0,24000.0,922.0,73566.0,1114.0,860.0,2200.0,2257.0,450.0,543.0,1330.0,2800.0,-1.0,61287.0,-1.0,63996.0,2257.0,220.0,-1.0,287506.0,95000.0,-1.0,179400.0,-1.0,40000.0,55300.0,208400.0,-1.0,90.0,-1.0,-1.0,302000.0,150.0,14977.0,15543.0,2700.0,42000.0,5507.0,1700.0,30.0,6000.0,-1.0,-1.0,,85000.0
1999,37551.0,-1.0,2242.0,-1.0,11962.0,94.0,,-1.0,705.0,400.0,,35.0,359.0,21700.0,97.0,-1.0,30.0,3000.0,14000.0,1000.0,81551.0,953.0,900.0,2300.0,2263.0,500.0,755.0,1340.0,2400.0,-1.0,59900.0,100.0,70038.0,2263.0,217.0,-1.0,323855.0,110000.0,-1.0,227910.0,-1.0,41000.0,46300.0,206100.0,-1.0,100.0,-1.0,-1.0,314000.0,160.0,15408.0,18227.0,5200.0,44000.0,5670.0,1584.0,47.0,8000.0,-1.0,-1.0,,101000.0
2000,35017.0,-1.0,2171.0,-1.0,12509.0,174.0,155400.0,-1.0,866.0,300.0,200.0,40.0,278.0,37701.0,263.0,-1.0,270.0,2900.0,15000.0,1000.0,82017.0,1128.0,390.0,2400.0,2269.0,600.0,684.0,1350.0,2930.0,7000.0,58000.0,100.0,59159.0,2269.0,230.0,-1.0,311319.0,118000.0,-1.0,,-1.0,42000.0,44300.0,201132.0,-1.0,90.0,-1.0,-1.0,308000.0,170.0,15842.0,15508.0,6600.0,47000.0,5836.0,1586.0,44.0,11900.0,500.0,-1.0,,95000.0
2001,34761.0,-1.0,2405.0,-1.0,9000.0,205.0,162000.0,-1.0,1000.0,383.0,155.0,40.0,198.0,15713.0,269.0,-1.0,150.0,2700.0,16000.0,1000.0,84761.0,1035.0,62.0,2500.0,2000.0,700.0,599.0,1360.0,3190.0,7000.0,59980.0,100.0,65064.0,2000.0,211.0,-1.0,283285.0,110000.0,-1.0,,-1.0,42000.0,44300.0,177198.0,-1.0,109.0,-1.0,-1.0,300000.0,178.0,16277.0,16149.0,6600.0,50000.0,5998.0,1593.0,29.0,13900.0,700.0,-1.0,,100000.0
2002,38638.0,-1.0,2459.0,-1.0,15064.0,200.0,181000.0,-1.0,1500.0,385.0,130.0,45.0,168.0,15846.0,159.0,-1.0,210.0,2600.0,17000.0,1000.0,95638.0,860.0,176.0,2560.0,2289.0,900.0,913.0,1370.0,3856.0,7000.0,63802.0,100.0,62719.0,2289.0,211.0,-1.0,315232.0,94000.0,-1.0,,,41000.0,38000.0,188735.0,-1.0,114.0,-1.0,-1.0,290000.0,188.0,16713.0,10930.0,8500.0,57000.0,6159.0,1598.0,29.0,14900.0,800.0,-1.0,,95000.0
2003,40072.0,-1.0,2197.0,-1.0,17191.0,500.0,181900.0,-1.0,1849.0,382.0,85.0,45.0,141.0,15980.0,85.0,-1.0,151.0,3622.0,29500.0,1000.0,105072.0,838.0,66.0,2600.0,2304.0,1000.0,954.0,1380.0,3504.0,5631.0,66418.0,100.0,65061.0,2304.0,220.0,6220.0,345720.0,94064.0,-1.0,,,40000.0,35900.0,184088.0,-1.0,118.0,-1.0,1170.0,305000.0,197.0,17152.0,12215.0,7000.0,65000.0,6446.0,1599.0,29.0,19900.0,1000.0,1586.0,,104000.0
2004,39718.0,2636.0,2258.0,13449.0,19368.0,300.0,176100.0,-1.0,2167.0,383.0,125.0,50.0,100.0,16524.0,89.0,500.0,377.0,2400.0,26500.0,1100.0,111718.0,706.0,68.0,2645.0,2318.0,1100.0,842.0,1554.0,3600.0,5913.0,70321.0,100.0,70253.0,2318.0,210.0,6673.0,475571.0,110664.0,11300.0,,,42256.0,40200.0,186520.0,-1.0,122.0,-1.0,2259.0,295000.0,206.0,17593.0,12573.0,6000.0,72000.0,7245.0,1616.0,29.0,24800.0,1200.0,1065.0,,104000.0
2005,32316.0,787.0,2572.0,12333.0,21928.0,500.0,175700.0,-1.0,2427.0,400.0,50.0,50.0,100.0,15477.0,100.0,650.0,633.0,3424.0,27000.0,1200.0,107316.0,633.0,147.0,2700.0,2333.0,1300.0,716.0,1600.0,3368.0,5631.0,73755.0,100.0,76083.0,2333.0,216.0,5799.0,501437.0,114541.0,10315.0,,,44052.0,49700.0,182910.0,90386.0,130.0,-1.0,1391.0,326000.0,214.0,18036.0,12095.0,6000.0,75000.0,7088.0,1611.0,29.0,25900.0,1400.0,812.0,,82000.0
2006,39521.0,2233.0,2587.0,12752.0,24800.0,300.0,169300.0,-1.0,2642.0,300.0,46.0,55.0,100.0,15451.0,118.0,650.0,701.0,3800.0,22495.0,1400.0,124521.0,486.0,127.0,2794.0,2347.0,1500.0,824.0,1550.0,3790.0,5631.0,78108.0,100.0,88155.0,2347.0,198.0,5815.0,571268.0,111840.0,8273.0,,,41773.0,46300.0,178421.0,88000.0,135.0,-1.0,1391.0,320091.0,223.0,18481.0,10818.0,7000.0,85000.0,7175.0,1800.0,29.0,24700.0,1600.0,572.0,,102000.0
2007,30945.0,1064.0,2092.0,12604.0,29110.0,400.0,174600.0,-1.0,2820.0,351.0,33.0,55.0,100.0,16400.0,153.0,550.0,210.0,3100.0,20000.0,1500.0,125945.0,551.0,102.0,2907.0,2361.0,1900.0,634.0,1500.0,3615.0,5500.0,70500.0,100.0,105283.0,2361.0,188.0,5192.0,479927.0,117847.0,9464.0,,,40998.0,49100.0,176035.0,110437.0,142.0,-1.0,2296.0,256397.0,232.0,18929.0,15941.0,7500.0,95000.0,7269.0,1700.0,29.0,26400.0,1700.0,602.0,,114000.0
2008,29963.0,1470.0,2813.0,12840.0,27120.0,700.0,166000.0,-1.0,3035.0,349.0,45.0,60.0,200.0,15000.0,172.0,617.0,186.0,3500.0,23600.0,1700.0,126963.0,375.0,100.0,3045.0,2375.0,2200.0,799.0,1600.0,4134.0,5499.0,79029.0,100.0,114188.0,2375.0,238.0,5270.0,547743.0,106522.0,9864.0,,,39300.0,42590.0,166820.0,116500.0,146.0,7149.0,2427.0,252286.0,241.0,19378.0,17000.0,6700.0,97000.0,7341.0,1561.0,23.0,56000.0,1822.0,600.0,,95000.0
2009,35354.0,1000.0,3159.0,12911.0,26800.0,400.0,164500.0,-1.0,3121.0,344.0,28.0,60.0,200.0,12365.0,224.0,626.0,378.0,6100.0,17476.0,2000.0,135354.0,444.0,84.0,3200.0,2389.0,2400.0,882.0,1622.0,6725.0,4663.0,76590.0,100.0,98916.0,2389.0,239.0,5915.0,549365.0,120120.0,11972.0,,,39000.0,37200.0,155676.0,130000.0,151.0,8214.0,2710.0,251120.0,249.0,19831.0,26866.0,7900.0,100000.0,7434.0,1538.0,23.0,57300.0,403.0,978.0,,96000.0
2010,37908.0,1176.0,2451.0,10643.0,26070.0,300.0,182100.0,-1.0,3284.0,344.0,38.0,65.0,200.0,12084.0,264.0,636.0,248.0,4800.0,20682.0,2200.0,141208.0,424.0,86.0,3400.0,2403.0,2500.0,608.0,1650.0,5274.0,6290.0,79274.0,200.0,80255.0,2403.0,264.0,6042.0,541374.0,131175.0,11228.0,,,41100.0,42400.0,168605.0,129664.0,180.0,7175.0,1612.0,244812.0,260.0,20286.0,30031.0,6700.0,103300.0,8000.0,1300.0,23.0,37000.0,1730.0,374.0,,100000.0
2011,41603.0,1276.0,2372.0,10293.0,31570.0,389.0,169600.0,-1.0,3195.0,341.0,48.0,65.0,200.0,9495.0,227.0,645.0,585.0,5000.0,30700.0,2400.0,148603.0,593.0,64.0,3676.0,2417.0,2500.0,503.0,1690.0,5110.0,6220.0,90805.0,300.0,83814.0,2417.0,210.0,6239.0,526774.0,122269.0,13737.0,,,35300.0,40700.0,168033.0,132211.0,159.0,6174.0,1872.0,246144.0,265.0,20743.0,25515.0,9000.0,107000.0,7000.0,1400.0,23.0,40800.0,2500.0,500.0,,90000.0
2012,41790.0,938.0,2758.0,10037.0,35440.0,300.0,161900.0,-1.0,3200.0,350.0,33.0,68.0,200.0,6884.0,173.0,680.0,478.0,2800.0,29300.0,3000.0,151790.0,522.0,50.0,4000.0,2900.0,2600.0,500.0,1750.0,4428.0,5892.0,91027.0,900.0,116309.0,2900.0,221.0,6300.0,596824.0,116949.0,11618.0,,,33400.0,37358.0,154051.0,135000.0,160.0,3544.0,1900.0,229579.0,270.0,22500.0,18968.0,10000.0,110000.0,8000.0,1300.0,22.0,53000.0,2700.0,400.0,,93000.0
2013,41421.0,1169.0,2921.0,9370.0,24660.0,410.0,181100.0,-1.0,3200.0,350.0,40.0,71.0,300.0,7282.0,166.0,661.0,416.0,3900.0,32110.0,3000.0,153421.0,754.0,37.0,4315.0,2411.0,2691.0,366.0,1769.0,4443.0,6083.0,90895.0,1100.0,111209.0,2411.0,242.0,5274.0,579973.0,98479.0,11167.0,,,36700.0,35053.0,161137.0,138221.0,160.0,3280.0,1190.0,240391.0,280.0,21522.0,18110.0,10000.0,112000.0,7700.0,1400.0,18.0,51400.0,2489.0,500.0,,106000.0
2014,42427.0,1905.0,3315.0,9093.0,26089.0,437.0,190000.0,-1.0,3289.0,330.0,38.0,73.0,500.0,8674.0,188.0,668.0,534.0,5280.0,29900.0,3200.0,156469.0,388.0,23.0,4059.0,2404.0,3254.0,407.0,1754.0,3735.0,6296.0,90504.0,300.0,108149.0,2404.0,212.0,5094.0,584631.0,114016.0,14084.0,,,23400.0,35506.0,165712.0,143466.0,169.0,3443.0,1260.0,223303.0,292.0,21694.0,19752.0,9953.0,114042.0,7977.0,1700.0,18.0,106200.0,2433.0,400.0,,90800.0
