,South Africa,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Libya,Italy,Qatar,Lebanon,Yemen,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Colombia,Spain,Syrian Arab Republic,India,Cyprus,Ecuador,Japan,Jordan,Afghanistan,Venezuela (Bolivarian Republic of),Egypt,The former Yugoslav Republic of Macedonia,Mexico,Azerbaijan,France,Tunisia,Croatia,Montenegro,Turkey,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Greece,China,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Bosnia and Herzegovina,Portugal,Brazil
1981,20583.0,27586.0,40000.0,40000.0,,69302.0,,55833.0,75676.0,70000.0,54423.0,,,,,,,,,,,,21786.0,29122.0,22989.0,145977.0,,,60055.0,26411.0,,47869.0,,60574.0,,66038.0,11000.0,,,71429.0,,62424.0,,21000.0,74370.0,59845.0,118966.0,,,,15019.0,40500.0,,5500.0,76968.0
1982,20800.0,26667.0,44000.0,44000.0,,80000.0,,49370.0,83333.0,70103.0,55514.0,,,,,,,,,,,,22100.0,26868.0,22989.0,132100.0,,,59355.0,26526.0,,90833.0,,54864.0,,60000.0,10000.0,,,70000.0,,63960.0,,22940.0,75144.0,63569.0,110035.0,,,,15004.0,35172.0,,5413.0,70632.0
1983,22267.0,30000.0,44000.0,44000.0,,91591.0,,33133.0,75676.0,70466.0,55514.0,,,,,,,,,,,,18271.0,27500.0,22989.0,132000.0,,,60000.0,26895.0,,53571.0,,63867.0,,60000.0,8800.0,,,74261.0,,61192.0,,19902.0,63077.0,51832.0,106165.0,,,,15016.0,40247.0,,5197.0,69957.0
1984,20517.0,20000.0,54000.0,54000.0,,83563.0,,34546.0,29592.0,68421.0,57315.0,,,,,,,,,,,,20263.0,24234.0,22989.0,128037.0,,,32737.0,26718.0,,53571.0,,47678.0,,40000.0,7931.0,,,70400.0,,62869.0,,20889.0,65546.0,46571.0,106316.0,,,,15389.0,38391.0,,5405.0,69267.0
1985,22808.0,16667.0,62000.0,62000.0,45045.0,75495.0,23158.0,35272.0,29200.0,68421.0,58198.0,18162.0,,,,,22500.0,,,27879.0,42222.0,,17525.0,21038.0,23077.0,74713.0,44444.0,,40625.0,26440.0,,58824.0,,61271.0,,40000.0,16000.0,,,66995.0,25000.0,62165.0,30582.0,19424.0,63494.0,41069.0,49288.0,14545.0,14545.0,,15569.0,49808.0,,5242.0,65366.0
1986,22885.0,23529.0,23167.0,23167.0,45045.0,21397.0,25000.0,36534.0,29200.0,70000.0,64035.0,19459.0,,,,,22373.0,,,27879.0,35714.0,,17338.0,25427.0,22989.0,80460.0,40000.0,,37333.0,27419.0,,28571.0,,49855.0,,40000.0,14000.0,,,68203.0,16667.0,58231.0,25000.0,30906.0,66141.0,62308.0,44820.0,13636.0,13636.0,,18871.0,37500.0,,3460.0,76227.0
1987,35000.0,23529.0,26250.0,26250.0,36622.0,68641.0,30677.0,32488.0,30556.0,76190.0,71949.0,15459.0,,,,,18100.0,,,29091.0,30357.0,,20411.0,24271.0,23529.0,91954.0,30769.0,,36145.0,27500.0,,28345.0,,60888.0,,32000.0,14400.0,,,63181.0,16667.0,54426.0,25862.0,23163.0,65881.0,64754.0,47851.0,14545.0,14545.0,,15342.0,45859.0,,4075.0,82330.0
1988,21226.0,27778.0,27714.0,27714.0,36667.0,70495.0,30677.0,34277.0,29839.0,77273.0,71833.0,15568.0,,,,,18500.0,,,29091.0,25000.0,,19738.0,32385.0,22727.0,88889.0,15385.0,,36667.0,26567.0,,28383.0,,45068.0,,41500.0,9333.0,,,61202.0,16667.0,61165.0,25349.0,19021.0,64753.0,70321.0,47814.0,14909.0,14909.0,,13389.0,47714.0,,3725.0,74047.0
1989,30072.0,36842.0,36500.0,36500.0,40000.0,95227.0,30677.0,29250.0,29589.0,78261.0,75109.0,21946.0,,,,,14974.0,,,30303.0,28571.0,,19704.0,24626.0,22500.0,110000.0,15000.0,,42819.0,26488.0,,28134.0,,48273.0,,44470.0,12917.0,,,48333.0,16667.0,60400.0,22045.0,19700.0,64950.0,63662.0,53643.0,16364.0,16364.0,,19533.0,51226.0,,4075.0,73934.0
1990,22696.0,42553.0,37333.0,37333.0,37794.0,95098.0,29275.0,25683.0,30000.0,83333.0,74740.0,126000.0,,,,,14923.0,,,31856.0,39841.0,,21495.0,25274.0,22857.0,123810.0,10000.0,,43709.0,26502.0,,60987.0,,43267.0,,42787.0,19286.0,,,49720.0,22500.0,59020.0,23554.0,28217.0,63155.0,67099.0,60000.0,18182.0,18182.0,,13063.0,55400.0,,4307.0,74300.0
