,USSR,Romania,Haiti,Serbia and Montenegro,Madagascar,Pakistan,United Republic of Tanzania,Burundi,Thailand,Ethiopia,Kenya,Libya,Bangladesh,Italy,Uganda,Benin,Mozambique,China,Cambodia,Paraguay,Sudan (former),Morocco,El Salvador,Argentina,South Sudan,Syrian Arab Republic,India,"China, Taiwan Province of",Ecuador,Cabo Verde,Indonesia,Angola,Ethiopia PDR,Togo,Sudan,Mexico,Nicaragua,Republic of Korea,Viet Nam,Hungary,Russian Federation,Dominican Republic,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Philippines,Ukraine,"China, mainland",South Africa,Bulgaria,Myanmar,Brazil
1971,196000.0,16200.0,1000.0,,5050.0,17000.0,20000.0,75.0,41600.0,,9000.0,400.0,389.0,,4000.0,900.0,6000.0,180000.0,100.0,13846.0,13863.0,170.0,250.0,3835.0,,20.0,453300.0,,30562.0,50.0,8837.0,12000.0,22300.0,200.0,,9429.0,-1.0,1203.0,4000.0,,,390.0,348.0,17000.0,25.0,4000.0,390.0,,180000.0,7000.0,428.0,-1.0,361000.0
1972,212000.0,18800.0,1200.0,,5000.0,17000.0,25000.0,50.0,42000.0,,8300.0,275.0,350.0,,4000.0,1000.0,6000.0,175000.0,100.0,19346.0,15543.0,170.0,300.0,1690.0,,32.0,426400.0,,25584.0,50.0,15855.0,12000.0,8000.0,400.0,,10458.0,-1.0,1676.0,4000.0,,,400.0,58.0,17000.0,40.0,4000.0,320.0,,175000.0,8000.0,223.0,-1.0,376726.0
1973,206000.0,18500.0,1400.0,,5100.0,17000.0,18000.0,50.0,45120.0,,8300.0,0.0,346.0,,4000.0,1000.0,4000.0,170000.0,100.0,19259.0,15900.0,170.0,400.0,945.0,,270.0,546600.0,,45890.0,50.0,12004.0,12000.0,8000.0,200.0,,10471.0,-1.0,2000.0,4000.0,,,420.0,123.0,14000.0,40.0,6000.0,950.0,,170000.0,8000.0,77.0,-1.0,496026.0
1974,197000.0,20500.0,2500.0,,7000.0,17300.0,15000.0,0.0,31680.0,,8300.0,,276.0,,3800.0,1000.0,2000.0,170000.0,100.0,23527.0,17832.0,180.0,500.0,1789.0,,178.0,590300.0,,43952.0,50.0,13692.0,12000.0,10000.0,250.0,,10298.0,-1.0,4000.0,4000.0,,,430.0,468.0,10000.0,40.0,800.0,5000.0,,170000.0,8000.0,4.0,-1.0,640781.0
1975,210000.0,19800.0,2500.0,,3000.0,11050.0,15000.0,0.0,36992.0,,8280.0,,282.0,,2400.0,1000.0,2500.0,170000.0,100.0,18000.0,19366.0,180.0,750.0,804.0,,307.0,374900.0,,3227.0,50.0,10563.0,12000.0,13000.0,300.0,,10331.0,-1.0,3000.0,4000.0,,,440.0,83.0,7000.0,25.0,,9500.0,,170000.0,8000.0,0.0,-1.0,398709.0
1976,183000.0,17100.0,2500.0,,5000.0,15243.0,14000.0,0.0,44960.0,,8350.0,,344.0,,2400.0,1000.0,4500.0,165000.0,95.0,21071.0,5880.0,200.0,600.0,268.0,,66.0,495800.0,,16720.0,50.0,2087.0,12000.0,10000.0,300.0,,10326.0,270.0,3041.0,4000.0,,,450.0,12.0,7000.0,10.0,,6000.0,,165000.0,8000.0,0.0,-1.0,266776.0
1977,181000.0,12500.0,2500.0,,4500.0,17327.0,13500.0,0.0,38544.0,,8570.0,,372.0,,2400.0,1000.0,1300.0,170000.0,100.0,21800.0,8800.0,200.0,500.0,14.0,,80.0,379700.0,,9520.0,50.0,3657.0,12000.0,10000.0,600.0,,10203.0,350.0,995.0,4000.0,,,450.0,2.0,7000.0,5.0,,20000.0,,170000.0,8000.0,,-1.0,254335.0
1978,152000.0,12300.0,2500.0,,5000.0,45986.0,11000.0,0.0,43424.0,,8720.0,,372.0,,2400.0,1000.0,1300.0,190000.0,150.0,19845.0,10000.0,220.0,500.0,10.0,,80.0,446900.0,,9261.0,80.0,1833.0,12000.0,11000.0,600.0,,8240.0,220.0,500.0,4000.0,,,450.0,0.0,7000.0,5.0,,10500.0,,190000.0,8000.0,,-1.0,350336.0
1979,184000.0,11800.0,2500.0,,5000.0,23148.0,10500.0,0.0,49840.0,,9000.0,,350.0,,2400.0,1000.0,1300.0,190000.0,250.0,22166.0,10000.0,240.0,500.0,2.0,,80.0,440500.0,,10050.0,50.0,1527.0,12000.0,11000.0,600.0,,7757.0,500.0,400.0,4000.0,,,450.0,,3500.0,7.0,,13000.0,,190000.0,8000.0,,-1.0,374798.0
1980,185000.0,12500.0,2500.0,,5000.0,23460.0,10000.0,0.0,42240.0,,9200.0,,490.0,,2400.0,1000.0,1300.0,200000.0,400.0,23302.0,10000.0,240.0,500.0,0.0,,20.0,497500.0,,6716.0,50.0,1276.0,12000.0,12000.0,600.0,,3663.0,370.0,100.0,4000.0,,,450.0,,2000.0,130.0,,21500.0,,200000.0,8000.0,,-1.0,440511.0
1981,139000.0,16300.0,2500.0,,5000.0,22475.0,10000.0,0.0,44336.0,,9200.0,,437.0,,2400.0,1000.0,1300.0,200000.0,500.0,13888.0,10000.0,250.0,550.0,,,20.0,557500.0,,13500.0,150.0,1297.0,12000.0,12000.0,600.0,,464.0,1270.0,100.0,4000.0,,,460.0,61.0,2000.0,180.0,,27500.0,,200000.0,8000.0,,-1.0,447364.0
1982,149000.0,18900.0,2700.0,,5000.0,31499.0,10000.0,0.0,44080.0,,9500.0,,480.0,,2400.0,1000.0,1300.0,200000.0,600.0,27000.0,10000.0,260.0,550.0,,,10.0,580200.0,,13000.0,120.0,1190.0,12000.0,12000.0,600.0,,548.0,1940.0,100.0,4000.0,,,460.0,356.0,1700.0,250.0,,23000.0,,200000.0,8000.0,,-1.0,461824.0
1983,142000.0,20100.0,2800.0,,5000.0,29873.0,10000.0,0.0,42800.0,,9700.0,,461.0,,2500.0,1000.0,1300.0,215000.0,850.0,27000.0,10000.0,260.0,600.0,,,10.0,623400.0,,13500.0,150.0,881.0,12000.0,12000.0,600.0,,6000.0,600.0,50.0,4000.0,,,460.0,900.0,1300.0,200.0,,17000.0,,215000.0,8000.0,,-1.0,270130.0
1984,137000.0,19400.0,2800.0,,5380.0,26545.0,10000.0,0.0,42768.0,,9900.0,,475.0,,2500.0,1000.0,1300.0,207000.0,1000.0,27700.0,10000.0,300.0,600.0,,,10.0,670600.0,,14500.0,60.0,1748.0,12000.0,12000.0,600.0,,1868.0,0.0,50.0,4000.0,,,460.0,1048.0,700.0,200.0,,22000.0,,207000.0,8000.0,,-1.0,412955.0
1985,134000.0,19500.0,2800.0,,5800.0,26833.0,10000.0,0.0,42768.0,,9900.0,,475.0,,2500.0,1000.0,1600.0,233000.0,1000.0,20600.0,10000.0,310.0,600.0,,,10.0,636600.0,,6000.0,120.0,8726.0,12000.0,12000.0,600.0,,1861.0,-1.0,50.0,4000.0,,,0.0,954.0,350.0,,,23000.0,,233000.0,8000.0,,-1.0,496844.0
1986,132000.0,22300.0,3000.0,,6000.0,15102.0,10000.0,0.0,44640.0,,9900.0,,500.0,,3000.0,1000.0,3000.0,255000.0,1100.0,19100.0,11000.0,310.0,0.0,,,10.0,577600.0,,8000.0,120.0,3004.0,12000.0,12000.0,600.0,,2435.0,-1.0,50.0,4500.0,,,-1.0,896.0,350.0,,,14100.0,,255000.0,8000.0,,-1.0,456215.0
1987,130000.0,19300.0,3000.0,,6100.0,573.0,10000.0,0.0,42139.0,,12700.0,,485.0,,3000.0,1000.0,4500.0,267000.0,1100.0,16900.0,11500.0,300.0,,,,10.0,479500.0,,7000.0,50.0,3965.0,12000.0,12000.0,600.0,,2450.0,-1.0,22.0,4500.0,,,-1.0,428.0,230.0,,,8900.0,,267000.0,8000.0,,-1.0,262900.0
1988,119000.0,24500.0,2800.0,,6200.0,13102.0,10000.0,0.0,60960.0,,13000.0,,554.0,,3000.0,1000.0,6000.0,270000.0,1100.0,20100.0,11600.0,350.0,,,,12.0,631300.0,,7000.0,50.0,3618.0,12500.0,12000.0,600.0,,2460.0,-1.0,15.0,5000.0,,,-1.0,156.0,318.0,,,9800.0,,270000.0,8000.0,,-1.0,273153.0
1989,85000.0,26300.0,2800.0,,6400.0,15696.0,10000.0,0.0,47167.0,,13200.0,,475.0,,3000.0,1000.0,9000.0,270000.0,1200.0,19300.0,12000.0,450.0,,,,14.0,702200.0,,7000.0,50.0,5610.0,13000.0,13000.0,600.0,,814.0,-1.0,11.0,5000.0,,,-1.0,153.0,0.0,,,9000.0,,270000.0,8000.0,,5000.0,268618.0
1990,68000.0,5500.0,2600.0,,6600.0,15111.0,10497.0,0.0,43840.0,,13400.0,0.0,406.0,0.0,3083.0,1178.0,16000.0,275000.0,1300.0,17600.0,12500.0,550.0,0.0,0.0,,20.0,810000.0,,8000.0,55.0,6690.0,12500.0,14165.0,611.0,,850.0,-1.0,5.0,5029.0,0.0,,-1.0,23.0,0.0,0.0,0.0,9000.0,,275000.0,8125.0,0.0,5000.0,286703.0
1991,33400.0,1000.0,2294.0,,6507.0,3050.0,6520.0,0.0,44800.0,,13600.0,0.0,279.0,0.0,3068.0,1104.0,21047.0,280000.0,1400.0,15800.0,13000.0,200.0,0.0,0.0,,22.0,711800.0,,8000.0,83.0,6086.0,14000.0,13500.0,380.0,,1016.0,-1.0,0.0,5200.0,0.0,,-1.0,54.0,0.0,0.0,0.0,9000.0,,280000.0,6135.0,0.0,4500.0,233555.0
1992,,1086.0,2200.0,-1.0,6563.0,7784.0,6933.0,0.0,47840.0,,13000.0,0.0,308.0,0.0,2500.0,1098.0,26000.0,240000.0,1404.0,11990.0,13500.0,330.0,0.0,0.0,,25.0,659700.0,,6010.0,84.0,5255.0,14321.0,13700.0,402.0,,1014.0,-1.0,0.0,5300.0,0.0,10280.0,-1.0,,0.0,0.0,0.0,9000.0,474.0,240000.0,6271.0,0.0,4500.0,175336.0
1993,,395.0,2150.0,-1.0,6800.0,2158.0,8500.0,0.0,48480.0,4948.0,12943.0,-1.0,261.0,0.0,3000.0,1093.0,36000.0,270000.0,1500.0,11626.0,12000.0,238.0,0.0,-1.0,,27.0,685000.0,-1.0,13500.0,85.0,5234.0,13500.0,,424.0,,950.0,-1.0,0.0,5400.0,-1.0,8310.0,-1.0,,0.0,0.0,-1.0,9000.0,2000.0,270000.0,6406.0,-1.0,4800.0,141074.0
1994,,100.0,2100.0,-1.0,6175.0,10008.0,7500.0,0.0,11680.0,4957.0,12343.0,-1.0,295.0,0.0,2700.0,1087.0,50000.0,247000.0,1400.0,11948.0,9000.0,238.0,0.0,-1.0,,30.0,779000.0,-1.0,8000.0,86.0,2336.0,13000.0,,446.0,,1032.0,-1.0,0.0,5500.0,-1.0,2360.0,-1.0,,0.0,0.0,-1.0,5000.0,2000.0,247000.0,6541.0,-1.0,4500.0,106319.0
1995,,99.0,2157.0,-1.0,6486.0,11410.0,8500.0,0.0,11520.0,4967.0,9911.0,-1.0,295.0,0.0,2409.0,1082.0,52000.0,190000.0,1354.0,12000.0,6700.0,200.0,0.0,-1.0,,18.0,789000.0,-1.0,8800.0,87.0,2909.0,13500.0,,468.0,,1895.0,-1.0,0.0,6000.0,-1.0,1800.0,-1.0,,0.0,0.0,-1.0,5000.0,200.0,190000.0,6676.0,-1.0,4500.0,76427.0
1996,,504.0,2234.0,-1.0,6900.0,6301.0,6273.0,0.0,11040.0,4979.0,12581.0,-1.0,295.0,0.0,2707.0,1076.0,58000.0,200000.0,1450.0,11124.0,3400.0,176.0,0.0,-1.0,,0.0,740000.0,-1.0,5100.0,88.0,5944.0,13650.0,,491.0,,1895.0,-1.0,0.0,5800.0,-1.0,2200.0,-1.0,,0.0,0.0,-1.0,5000.0,725.0,200000.0,6811.0,-1.0,4500.0,119849.0
1997,,25.0,2233.0,-1.0,7000.0,7072.0,4000.0,0.0,11520.0,4991.0,12504.0,-1.0,403.0,0.0,2752.0,1070.0,60000.0,220000.0,1401.0,11237.0,1700.0,176.0,0.0,-1.0,,0.0,641400.0,-1.0,5000.0,88.0,5480.0,13992.0,,514.0,,3327.0,-1.0,0.0,6000.0,-1.0,2200.0,-1.0,,0.0,0.0,-1.0,4600.0,200.0,220000.0,6971.0,-1.0,4200.0,153138.0
1998,,127.0,2331.0,-1.0,6929.0,7940.0,5000.0,0.0,12640.0,5002.0,11996.0,-1.0,473.0,0.0,2814.0,1065.0,65478.0,209000.0,1500.0,12440.0,2000.0,176.0,0.0,-1.0,,0.0,682500.0,-1.0,5000.0,89.0,15000.0,13681.0,,537.0,,1500.0,-1.0,0.0,6200.0,-1.0,2200.0,-1.0,,0.0,0.0,-1.0,4200.0,400.0,209000.0,7071.0,-1.0,4200.0,63233.0
1999,,20.0,2200.0,-1.0,7100.0,4319.0,5000.0,0.0,12640.0,5004.0,11452.0,-1.0,404.0,0.0,2811.0,1060.0,70000.0,270000.0,1515.0,6054.0,2000.0,175.0,0.0,-1.0,,0.0,781700.0,-1.0,5000.0,90.0,9000.0,13000.0,,560.0,,1400.0,-1.0,0.0,6213.0,-1.0,2000.0,-1.0,,0.0,0.0,-1.0,3800.0,700.0,270000.0,7220.0,-1.0,4200.0,103763.0
2000,,0.0,2200.0,-1.0,7000.0,2122.0,5000.0,0.0,12471.0,4531.0,11369.0,-1.0,404.0,0.0,2837.0,1054.0,85000.0,290000.0,1300.0,9847.0,2000.0,175.0,0.0,-1.0,,0.0,1079700.0,-1.0,5000.0,91.0,8000.0,13500.0,,583.0,,1800.0,-1.0,0.0,6300.0,-1.0,2000.0,-1.0,,0.0,0.0,-1.0,3400.0,400.0,290000.0,7365.0,-1.0,4800.0,195045.0
2001,,0.0,2100.0,-1.0,7117.0,2649.0,5000.0,0.0,12860.0,4570.0,11777.0,-1.0,405.0,0.0,2867.0,1049.0,100000.0,270000.0,1300.0,10353.0,2000.0,175.0,0.0,-1.0,,0.0,716700.0,-1.0,5000.0,92.0,14000.0,14134.0,,607.0,,1900.0,-1.0,0.0,6400.0,-1.0,2000.0,-1.0,,0.0,0.0,-1.0,3000.0,60.0,270000.0,7478.0,-1.0,6000.0,171618.0
2002,,0.0,2300.0,-1.0,7168.0,1900.0,5000.0,0.0,13114.0,4666.0,11890.0,-1.0,405.0,0.0,2889.0,1044.0,115000.0,270000.0,1364.0,5760.0,2000.0,175.0,0.0,-1.0,,114.0,583000.0,-1.0,5000.0,93.0,7000.0,14359.0,,631.0,,1500.0,-1.0,0.0,6500.0,-1.0,2000.0,-1.0,,0.0,0.0,-1.0,2600.0,90.0,270000.0,7570.0,-1.0,7000.0,136109.0
2003,,0.0,2350.0,-1.0,7215.0,3900.0,5000.0,0.0,13270.0,4737.0,11995.0,-1.0,405.0,0.0,3000.0,1037.0,125000.0,267000.0,1373.0,8019.0,1946.0,175.0,0.0,-1.0,,159.0,717200.0,-1.0,5000.0,93.0,12978.0,14579.0,,655.0,,947.0,-1.0,0.0,7000.0,-1.0,1640.0,-1.0,,0.0,0.0,-1.0,2500.0,-1.0,267000.0,7618.0,-1.0,8000.0,133879.0
2004,,0.0,2400.0,-1.0,7247.0,3400.0,5081.0,0.0,12674.0,4806.0,12094.0,-1.0,405.0,0.0,3000.0,1028.0,130000.0,260000.0,1400.0,9000.0,1973.0,174.0,0.0,-1.0,,208.0,743000.0,-1.0,1230.0,94.0,8154.0,14675.0,,679.0,,718.0,-1.0,0.0,6824.0,-1.0,680.0,-1.0,,0.0,0.0,-1.0,2500.0,-1.0,260000.0,7629.0,-1.0,9000.0,172704.0
2005,,0.0,2323.0,-1.0,7271.0,2089.0,5000.0,0.0,13407.0,4844.0,13000.0,-1.0,400.0,0.0,3000.0,1028.0,135000.0,240000.0,1382.0,10000.0,1966.0,174.0,0.0,-1.0,,224.0,864200.0,-1.0,1387.0,94.0,6936.0,14772.0,,692.0,,1000.0,-1.0,0.0,6893.0,-1.0,980.0,-1.0,,0.0,0.0,-1.0,2100.0,-1.0,240000.0,7640.0,-1.0,11000.0,230911.0
2006,,0.0,2315.0,,7200.0,5066.0,5000.0,0.0,12916.0,4826.0,13000.0,-1.0,470.0,0.0,3000.0,1023.0,140562.0,230000.0,1387.0,10000.0,2000.0,173.0,0.0,-1.0,,0.0,639000.0,-1.0,1400.0,94.0,6043.0,14542.0,,723.0,,500.0,-1.0,0.0,7000.0,-1.0,1200.0,-1.0,,0.0,0.0,-1.0,1700.0,-1.0,230000.0,7660.0,-1.0,13000.0,151060.0
2007,,0.0,2900.0,,7500.0,3567.0,5000.0,0.0,13015.0,5800.0,13000.0,-1.0,470.0,0.0,3000.0,1050.0,150000.0,210000.0,1388.0,10000.0,2000.0,172.0,0.0,-1.0,,675.0,787000.0,-1.0,2000.0,94.0,6043.0,14784.0,,750.0,,5.0,-1.0,0.0,7000.0,-1.0,610.0,-1.0,,0.0,0.0,-1.0,1200.0,-1.0,210000.0,7695.0,-1.0,15000.0,163034.0
2008,,0.0,2827.0,,7361.0,8216.0,6000.0,0.0,13136.0,6800.0,13000.0,-1.0,335.0,0.0,3000.0,1002.0,145851.0,220000.0,1392.0,11000.0,2000.0,203.0,0.0,-1.0,,546.0,866200.0,-1.0,2000.0,94.0,5274.0,14943.0,,751.0,,6.0,-1.0,0.0,7000.0,-1.0,1520.0,-1.0,,0.0,0.0,-1.0,200.0,-1.0,220000.0,7753.0,-1.0,17000.0,157626.0
2009,,0.0,2697.0,,7389.0,1355.0,6000.0,0.0,13253.0,6616.0,13000.0,-1.0,300.0,0.0,3000.0,989.0,159489.0,200000.0,1396.0,11000.0,2000.0,210.0,0.0,-1.0,,637.0,734900.0,-1.0,2000.0,94.0,5673.0,15133.0,,764.0,,5.0,-1.0,0.0,7000.0,-1.0,600.0,-1.0,,0.0,0.0,-1.0,144.0,-1.0,200000.0,7841.0,-1.0,18000.0,159409.0
2010,,0.0,2576.0,,7426.0,3394.0,6000.0,0.0,12780.0,6800.0,13000.0,-1.0,311.0,0.0,3000.0,975.0,185000.0,190000.0,1401.0,5000.0,2000.0,217.0,0.0,-1.0,,595.0,884680.0,-1.0,2000.0,50.0,3800.0,15000.0,,700.0,,7.0,-1.0,0.0,8000.0,-1.0,400.0,-1.0,,0.0,0.0,-1.0,130.0,-1.0,190000.0,7887.0,-1.0,17500.0,151865.0
2011,,0.0,2605.0,,7468.0,3651.0,6000.0,0.0,13241.0,6140.0,13000.0,-1.0,380.0,0.0,3000.0,930.0,185000.0,190000.0,1406.0,5000.0,2000.0,222.0,0.0,-1.0,,615.0,1471000.0,-1.0,2000.0,92.0,8800.0,16000.0,,835.0,,5.0,-1.0,0.0,8000.0,-1.0,300.0,-1.0,,0.0,0.0,-1.0,115.0,-1.0,190000.0,8000.0,-1.0,15500.0,208476.0
2012,,0.0,2623.0,,7500.0,4061.0,6000.0,0.0,3167.0,7000.0,13000.0,-1.0,376.0,0.0,3000.0,950.0,185000.0,120000.0,1400.0,6000.0,,280.0,0.0,-1.0,-1.0,700.0,1148000.0,-1.0,2000.0,95.0,4800.0,16000.0,,1000.0,2000.0,51.0,-1.0,0.0,8000.0,-1.0,500.0,-1.0,,0.0,0.0,-1.0,102.0,-1.0,120000.0,8200.0,-1.0,15000.0,84390.0
2013,,0.0,2641.0,,7500.0,3818.0,6000.0,0.0,665.0,7000.0,13000.0,-1.0,377.0,0.0,3000.0,950.0,183000.0,57000.0,1450.0,8000.0,,280.0,0.0,-1.0,-1.0,700.0,1096000.0,-1.0,2000.0,95.0,4300.0,16000.0,,1000.0,2000.0,0.0,-1.0,0.0,8000.0,-1.0,0.0,-1.0,,0.0,0.0,-1.0,89.0,-1.0,57000.0,8500.0,-1.0,14800.0,43635.0
2014,,0.0,2660.0,,7550.0,2456.0,6000.0,0.0,598.0,5490.0,13000.0,-1.0,378.0,0.0,3000.0,936.0,183984.0,46000.0,1428.0,8000.0,,234.0,0.0,-1.0,-1.0,674.0,1040000.0,-1.0,2000.0,95.0,3200.0,15922.0,,963.0,2000.0,0.0,-1.0,0.0,8000.0,-1.0,0.0,-1.0,,0.0,0.0,-1.0,77.0,-1.0,46000.0,10477.0,-1.0,14191.0,63498.0
