,USSR,Cambodia,France,Australia & New Zealand,Australia,Pakistan,Slovakia,Thailand,Ethiopia,Kenya,Nigeria,Yemen,Romania,Lao People's Democratic Republic,Zambia,Botswana,Peru,Togo,Tunisia,Equatorial Guinea,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,El Salvador,Canada,Colombia,Spain,Central African Republic,Tajikistan,India,Jamaica,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Cyprus,Guinea-Bissau,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,Saint Kitts and Nevis,Cuba,Austria,United States of America,Bhutan,Turkmenistan,Philippines,Iraq,Madagascar,United Republic of Tanzania,Burundi,Belgium,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Comoros,Benin,Sweden,Montserrat,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Chile,Honduras,Uruguay,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,Somalia,Namibia,Grenada,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Viet Nam,Estonia,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Latvia,Guinea,South Africa,Guadeloupe,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1971,7081.0,15323.0,12088.0,3959.0,4582.0,3627.0,,9067.0,,4796.0,973.0,4398.0,6768.0,5615.0,3022.0,9167.0,6771.0,797.0,4714.0,4000.0,2066.0,2337.0,1359.0,1472.0,1518.0,2304.0,9085.0,12093.0,5724.0,5501.0,1308.0,,2809.0,7308.0,7997.0,3221.0,2623.0,6213.0,2386.0,7662.0,1628.0,12225.0,6707.0,1129.0,8164.0,,6099.0,8408.0,7426.0,4385.0,5333.0,1354.0,2594.0,,3301.0,11021.0,3769.0,6236.0,8442.0,6352.0,4823.0,,3000.0,2463.0,4656.0,2120.0,,2950.0,,1595.0,13917.0,7995.0,3000.0,10743.0,,4914.0,33333.0,,6858.0,4153.0,10050.0,4161.0,3884.0,,9669.0,,8571.0,10990.0,2768.0,4204.0,4974.0,733.0,1450.0,3222.0,,6889.0,,4680.0,1396.0,,4919.0,5138.0,11600.0,6311.0,2281.0,,5545.0,,1415.0,1585.0,12759.0,10842.0,33333.0,5600.0,,3889.0,855.0,,941.0,,,27331.0,8194.0,21863.0,,,9040.0,5904.0,1567.0,,4708.0,,1000.0,7181.0,3667.0,3781.0,3249.0,,4308.0,2135.0,
1972,7059.0,17264.0,13543.0,8011.0,9925.0,3507.0,,9216.0,,4458.0,940.0,3578.0,5449.0,3848.0,2442.0,9000.0,6270.0,1000.0,,4091.0,2500.0,2382.0,1410.0,1828.0,1456.0,2304.0,9617.0,12045.0,6492.0,4620.0,1429.0,,2624.0,7308.0,4993.0,2998.0,2414.0,6186.0,2280.0,7225.0,1607.0,12420.0,8593.0,1162.0,8026.0,,20000.0,7345.0,8298.0,4844.0,5323.0,1528.0,2606.0,,3185.0,11547.0,3676.0,6510.0,7783.0,6052.0,6080.0,,1875.0,2000.0,4447.0,1018.0,,2966.0,,1802.0,14115.0,11591.0,3400.0,10222.0,,5678.0,33333.0,,7699.0,4360.0,10832.0,4012.0,2277.0,,10036.0,,9306.0,13204.0,1813.0,4175.0,5583.0,676.0,,4044.0,,6667.0,,4468.0,1706.0,,4573.0,5627.0,11400.0,6296.0,2225.0,,5573.0,,1500.0,2617.0,13640.0,11590.0,40000.0,5686.0,,3740.0,891.0,,1000.0,,,20111.0,9306.0,22303.0,,,10761.0,3261.0,2224.0,,4701.0,,1000.0,2313.0,3333.0,10264.0,3841.0,,4951.0,3060.0,
1973,7294.0,20972.0,12849.0,5556.0,6514.0,3590.0,,11022.0,,6037.0,1122.0,3653.0,5288.0,3571.0,2018.0,8636.0,6081.0,800.0,,4091.0,2870.0,2583.0,1597.0,1679.0,1421.0,2304.0,8306.0,12049.0,5342.0,4948.0,1240.0,,2968.0,7385.0,4581.0,3240.0,2273.0,5995.0,2785.0,7654.0,1918.0,12582.0,6367.0,1222.0,7431.0,,,7597.0,7784.0,4554.0,5217.0,1458.0,2619.0,,2787.0,12379.0,3497.0,7812.0,8633.0,6942.0,5749.0,,3100.0,1405.0,5623.0,2308.0,,1976.0,,1700.0,12725.0,10793.0,3222.0,10687.0,,5831.0,33333.0,,7432.0,4274.0,10880.0,4012.0,2065.0,,10191.0,,8010.0,12405.0,1769.0,4156.0,11183.0,714.0,,3014.0,,7000.0,,5639.0,1413.0,,3965.0,3731.0,11522.0,7012.0,2243.0,,4005.0,,1016.0,3659.0,12406.0,10859.0,43333.0,5686.0,,4813.0,850.0,,800.0,,,22102.0,7131.0,21458.0,,,8806.0,5513.0,2744.0,,5096.0,,1000.0,2784.0,3333.0,7266.0,3781.0,,4160.0,3804.0,
1974,7010.0,20088.0,11991.0,5745.0,6811.0,3149.0,,9656.0,,8611.0,606.0,3727.0,5539.0,5501.0,2113.0,8636.0,5627.0,1036.0,,4182.0,2876.0,2750.0,1953.0,1755.0,1877.0,2304.0,8087.0,12020.0,6377.0,5218.0,1311.0,,2761.0,7385.0,4595.0,5364.0,2109.0,6330.0,2758.0,7239.0,1842.0,12424.0,7101.0,1310.0,7367.0,,,7790.0,7077.0,5061.0,5438.0,1302.0,2618.0,,3463.0,13060.0,3384.0,7482.0,8581.0,7019.0,6225.0,,3267.0,2327.0,5399.0,,,1600.0,,2340.0,11592.0,11626.0,3765.0,10499.0,,4948.0,33333.0,,7517.0,5256.0,9750.0,3776.0,2337.0,,12116.0,,7941.0,12215.0,1614.0,3965.0,12247.0,992.0,,2311.0,,4000.0,,5423.0,1828.0,,5292.0,3457.0,12000.0,5580.0,2283.0,,3921.0,,1310.0,2351.0,15323.0,11701.0,43333.0,5773.0,,3500.0,848.0,,600.0,,,18769.0,8018.0,24273.0,,,9326.0,4855.0,2586.0,,4868.0,,1000.0,4718.0,3478.0,10374.0,3977.0,,3931.0,3505.0,
1975,7516.0,21269.0,11884.0,7123.0,8545.0,2802.0,,10546.0,,3822.0,991.0,3825.0,5643.0,7368.0,2183.0,8636.0,6778.0,1321.0,,4182.0,2918.0,2451.0,1946.0,1711.0,2535.0,2304.0,8630.0,12036.0,5951.0,6920.0,938.0,,2685.0,7462.0,5217.0,3410.0,2133.0,7925.0,3460.0,7270.0,2770.0,10464.0,5870.0,1306.0,6976.0,,,8597.0,7419.0,4403.0,7359.0,1360.0,2637.0,,4530.0,10573.0,3165.0,6799.0,8292.0,6806.0,4795.0,,1508.0,2768.0,5368.0,,,2176.0,,2610.0,9930.0,9587.0,4300.0,10613.0,,5078.0,33333.0,,7440.0,4949.0,9251.0,4487.0,2054.0,,12531.0,,8512.0,15130.0,1161.0,3041.0,9282.0,559.0,,2773.0,,5833.0,,5384.0,2672.0,,4673.0,4477.0,10357.0,6247.0,2354.0,,3976.0,,1480.0,2907.0,11609.0,11882.0,45000.0,5823.0,,4759.0,707.0,,1300.0,,,9834.0,6898.0,26678.0,,,9333.0,4113.0,3217.0,,4947.0,,1000.0,8551.0,4000.0,12010.0,4073.0,,5185.0,2495.0,
1976,7415.0,13100.0,11912.0,6694.0,8356.0,2359.0,,11422.0,,3251.0,1152.0,3281.0,7046.0,7369.0,2186.0,8636.0,5779.0,957.0,,3917.0,2979.0,2009.0,1714.0,1706.0,2030.0,2304.0,7976.0,12021.0,5871.0,6850.0,1250.0,,2968.0,7462.0,5706.0,3841.0,2186.0,6489.0,3464.0,8293.0,1981.0,9418.0,4756.0,1477.0,7759.0,,,7131.0,5435.0,2974.0,4998.0,1231.0,2637.0,,4228.0,11980.0,2767.0,8525.0,8406.0,8097.0,5286.0,,2996.0,2156.0,4806.0,5385.0,,1469.0,,3040.0,9207.0,11822.0,4706.0,10640.0,,5216.0,33333.0,,5696.0,4694.0,9245.0,3956.0,1689.0,,12059.0,,6946.0,13248.0,879.0,3832.0,4301.0,497.0,,2869.0,,5833.0,,4822.0,2511.0,,2621.0,3929.0,11525.0,6730.0,2618.0,0.0,4907.0,,1378.0,4447.0,12702.0,12370.0,45000.0,5946.0,,4141.0,742.0,,900.0,,,9059.0,7679.0,28328.0,,,4340.0,4252.0,3076.0,,5494.0,,1000.0,6481.0,3000.0,13374.0,4008.0,,2621.0,2527.0,
1977,7522.0,8355.0,12839.0,6572.0,7932.0,3142.0,,8779.0,,3335.0,1168.0,2682.0,5364.0,7633.0,2653.0,8636.0,5421.0,1266.0,,3917.0,3273.0,2275.0,1612.0,2031.0,1792.0,2304.0,8594.0,12045.0,4988.0,6257.0,856.0,,2813.0,7538.0,7328.0,3615.0,1963.0,6937.0,3165.0,7481.0,2107.0,11718.0,4342.0,1513.0,6890.0,,,6796.0,6934.0,2866.0,4601.0,1183.0,2638.0,,4286.0,12035.0,3342.0,8041.0,8735.0,9099.0,5629.0,,1732.0,1296.0,4941.0,5385.0,,1756.0,,3177.0,11732.0,11085.0,2441.0,10372.0,,5832.0,35000.0,,6038.0,4159.0,9068.0,3287.0,2304.0,,13636.0,,5532.0,13089.0,508.0,2844.0,7156.0,341.0,,2699.0,,5833.0,,4955.0,1984.0,,3763.0,3420.0,12203.0,6198.0,2569.0,0.0,4215.0,,1748.0,1692.0,12034.0,11609.0,46667.0,5946.0,,3555.0,778.0,,800.0,,,10100.0,5946.0,23106.0,,,7667.0,3989.0,3638.0,,5406.0,,1000.0,5586.0,,10448.0,4745.0,,3725.0,2409.0,
1978,7243.0,9029.0,14380.0,8813.0,10625.0,2527.0,,10460.0,,2379.0,626.0,3094.0,6520.0,2444.0,1715.0,8636.0,5867.0,1016.0,,3917.0,3442.0,2010.0,1876.0,1963.0,1648.0,2304.0,7845.0,12031.0,4142.0,7538.0,1042.0,,3057.0,7538.0,6643.0,3550.0,2067.0,7941.0,3681.0,7358.0,2238.0,11772.0,4474.0,1401.0,8926.0,,,8278.0,8817.0,3739.0,3917.0,1124.0,2644.0,,4327.0,9778.0,3424.0,8512.0,9013.0,9667.0,4755.0,,1730.0,1668.0,5308.0,5000.0,,,,4795.0,18375.0,12023.0,2410.0,10492.0,,4710.0,35000.0,,5416.0,2861.0,6249.0,2705.0,2696.0,,13950.0,,3217.0,13868.0,845.0,2629.0,6356.0,301.0,,2448.0,,5333.0,,5323.0,3116.0,,4209.0,4790.0,10748.0,6411.0,2049.0,0.0,4206.0,,2219.0,2200.0,13798.0,12058.0,50000.0,5882.0,,3929.0,778.0,,678.0,,,8533.0,5803.0,25977.0,,,10500.0,5477.0,3182.0,,4990.0,,1000.0,5944.0,,9855.0,4729.0,,3894.0,3703.0,
1979,6733.0,13444.0,14153.0,9302.0,10663.0,3518.0,,8246.0,,3415.0,711.0,3255.0,4992.0,2939.0,2224.0,8636.0,6153.0,1686.0,,4000.0,3810.0,2285.0,1840.0,1707.0,2560.0,2304.0,6379.0,12045.0,6110.0,9005.0,1179.0,,2957.0,7615.0,6581.0,2729.0,2405.0,6517.0,2640.0,7886.0,1515.0,12383.0,3662.0,1407.0,9714.0,,,7696.0,6278.0,4215.0,3926.0,679.0,2629.0,,4794.0,11373.0,3326.0,8309.0,8325.0,10152.0,5658.0,,2766.0,2142.0,5787.0,4000.0,,,,5476.0,17485.0,13030.0,1724.0,10289.0,,6134.0,35000.0,,6374.0,3803.0,6895.0,2924.0,2628.0,,13947.0,,3645.0,14059.0,1024.0,3138.0,5559.0,146.0,,2930.0,,2000.0,,5802.0,3501.0,,2755.0,6124.0,10748.0,6617.0,1577.0,0.0,5115.0,,2638.0,2000.0,13587.0,11959.0,56667.0,5882.0,,4167.0,954.0,,726.0,,,7900.0,6486.0,30081.0,,,10769.0,4592.0,2345.0,,5241.0,,1000.0,5437.0,,11144.0,4355.0,,4652.0,4357.0,
1980,7142.0,34000.0,14057.0,10082.0,11093.0,3407.0,,9096.0,,2868.0,616.0,2833.0,5505.0,7156.0,1782.0,8636.0,5826.0,2737.0,,3429.0,2596.0,2314.0,1874.0,2102.0,2742.0,2391.0,7483.0,12031.0,6311.0,9812.0,1080.0,,3043.0,7615.0,8755.0,3246.0,2141.0,6238.0,2615.0,7581.0,838.0,10854.0,6667.0,1617.0,10159.0,,,8125.0,7820.0,6109.0,3679.0,1139.0,2507.0,,4024.0,12780.0,3148.0,8320.0,9217.0,10543.0,4679.0,,2504.0,2471.0,6344.0,3846.0,10000.0,,,4914.0,16757.0,12302.0,2333.0,10457.0,,4528.0,35000.0,,6502.0,3650.0,8566.0,2907.0,3105.0,,11845.0,,6038.0,13898.0,1112.0,2407.0,,131.0,,2446.0,,1667.0,,6355.0,3111.0,,2794.0,4541.0,10563.0,5737.0,2759.0,,5968.0,,1877.0,2000.0,12972.0,12558.0,56667.0,5357.0,,4822.0,954.0,,750.0,,,8000.0,5009.0,27807.0,,,8400.0,2829.0,2899.0,,5340.0,,1000.0,5356.0,,14035.0,4798.0,,3745.0,4774.0,
