,Austria,USSR,Romania,Japan,Poland,Syrian Arab Republic,Turkey,Republic of Korea,Saudi Arabia,Pakistan,Czechoslovakia,France,Czechia,Bangladesh,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,China,Serbia and Montenegro,Democratic People's Republic of Korea,"China, mainland",Chile,Cyprus,Spain,Croatia,Portugal,Netherlands,Ukraine,India
1977,,136000.0,32300.0,540.0,10071.0,315.0,6100.0,512.0,,,1755.0,130.0,,,237.0,9902.0,-1.0,,5002.0,6420.0,,160000.0,,8000.0,160000.0,4000.0,,180.0,,-1.0,-1.0,,
1978,,157000.0,31800.0,360.0,8180.0,73.0,5700.0,510.0,,,1475.0,1600.0,,,250.0,9278.0,-1.0,,5298.0,5384.0,,159700.0,,8000.0,159700.0,3700.0,,304.0,,-1.0,-1.0,,
1979,,149000.0,33100.0,360.0,2187.0,35.0,7300.0,510.0,,,1796.0,2200.0,,,80.0,8539.0,-1.0,,5742.0,4215.0,,155000.0,,8000.0,155000.0,3700.0,,134.0,,-1.0,-1.0,,
1980,,159000.0,35500.0,180.0,3912.0,0.0,9300.0,700.0,,,1405.0,3500.0,,,38.0,7516.0,-1.0,,3908.0,3511.0,,120000.0,,8000.0,120000.0,3800.0,,100.0,,-1.0,-1.0,,
1981,,113000.0,37000.0,180.0,4120.0,,8000.0,800.0,,,320.0,4300.0,,,18.0,5310.0,-1.0,,5481.0,3669.0,,95000.0,,8500.0,95000.0,3800.0,,408.0,,-1.0,-1.0,,
1982,,102000.0,36600.0,90.0,3673.0,,6500.0,800.0,,,495.0,3000.0,,,1.0,4948.0,-1.0,,5059.0,4035.0,,66000.0,,9000.0,66000.0,3800.0,,251.0,,-1.0,-1.0,,
1983,,116000.0,38700.0,90.0,2558.0,,5500.0,800.0,,,626.0,4200.0,,,2.0,5797.0,-1.0,,5361.0,5000.0,,40690.0,,9000.0,40690.0,3900.0,,108.0,,-1.0,-1.0,,
1984,,115000.0,46700.0,41.0,1688.0,,5900.0,750.0,,,635.0,1850.0,,,2.0,6017.0,-1.0,,5703.0,4784.0,,43000.0,,10000.0,43000.0,4000.0,,182.0,,-1.0,-1.0,,
1985,,117000.0,46600.0,29.0,1741.0,,2900.0,720.0,,,700.0,550.0,,,,6511.0,-1.0,,5349.0,4753.0,,46000.0,,12000.0,46000.0,4000.0,,365.0,,-1.0,-1.0,,
1986,,104000.0,37200.0,28.0,2172.0,,3000.0,560.0,,,465.0,1300.0,,,-1.0,5806.0,-1.0,,4582.0,6020.0,,63000.0,,13000.0,63000.0,4000.0,,1348.0,,-1.0,-1.0,,
1987,,100000.0,39300.0,31.0,2917.0,,3400.0,312.0,,,506.0,1600.0,,,-1.0,6718.0,-1.0,,2767.0,3451.0,,53000.0,,15000.0,53000.0,4200.0,,473.0,,-1.0,-1.0,,
1988,,88000.0,36300.0,35.0,2658.0,,3400.0,545.0,,,86.0,1600.0,,,-1.0,4353.0,-1.0,,1337.0,817.0,-1.0,53000.0,,15000.0,53000.0,4200.0,,129.0,,-1.0,-1.0,,
1989,,53300.0,46100.0,35.0,2122.0,,4200.0,381.0,,,0.0,130.0,,,-1.0,2029.0,-1.0,,664.0,1716.0,-1.0,24000.0,,15000.0,24000.0,4200.0,,111.0,,-1.0,-1.0,,
1990,0.0,48800.0,16600.0,35.0,652.0,0.0,2500.0,322.0,,,0.0,130.0,,,-1.0,1776.0,-1.0,,517.0,1255.0,-1.0,21000.0,,15000.0,21000.0,4200.0,,105.0,,-1.0,-1.0,,
1991,0.0,31000.0,14000.0,0.0,74.0,0.0,3096.0,296.0,,,80.0,130.0,,,-1.0,1606.0,-1.0,,618.0,981.0,-1.0,18200.0,,16000.0,18200.0,4200.0,,101.0,,-1.0,-1.0,,
1992,1.0,,9900.0,0.0,38.0,0.0,3370.0,250.0,,-1.0,0.0,130.0,,,-1.0,387.0,-1.0,32260.0,0.0,,-1.0,18300.0,800.0,16900.0,18300.0,4200.0,-1.0,1050.0,29.0,-1.0,-1.0,6272.0,-1.0
1993,1.0,,2300.0,0.0,154.0,-1.0,3025.0,200.0,,-1.0,,130.0,-1.0,,-1.0,165.0,-1.0,25640.0,50.0,,-1.0,19400.0,204.0,17700.0,19400.0,4200.0,-1.0,817.0,10.0,-1.0,-1.0,5000.0,-1.0
1994,0.0,,800.0,0.0,427.0,-1.0,2500.0,180.0,,-1.0,,130.0,-1.0,-1.0,-1.0,400.0,-1.0,13010.0,0.0,,-1.0,16990.0,940.0,18000.0,16990.0,4200.0,-1.0,577.0,14.0,-1.0,-1.0,3000.0,-1.0
1995,200.0,,1100.0,0.0,345.0,-1.0,1600.0,200.0,-1.0,-1.0,,4.0,-1.0,-1.0,-1.0,400.0,-1.0,9000.0,20.0,,-1.0,16000.0,847.0,17000.0,16000.0,4200.0,-1.0,1285.0,0.0,-1.0,-1.0,2000.0,
1996,0.0,,3300.0,0.0,150.0,-1.0,2450.0,200.0,,-1.0,,0.0,-1.0,,-1.0,1031.0,-1.0,11000.0,0.0,,-1.0,14970.0,679.0,17000.0,14970.0,4200.0,-1.0,1499.0,-1.0,-1.0,-1.0,2000.0,
1997,0.0,,2678.0,0.0,220.0,-1.0,1600.0,230.0,,,,154.0,-1.0,,-1.0,1107.0,-1.0,9000.0,48.0,,-1.0,14880.0,502.0,17000.0,14880.0,4200.0,,4157.0,-1.0,-1.0,1200.0,2000.0,
1998,0.0,,3080.0,0.0,70.0,-1.0,800.0,150.0,,,,247.0,-1.0,,-1.0,1030.0,-1.0,6000.0,8.0,,-1.0,12180.0,343.0,17500.0,12180.0,4200.0,,16507.0,-1.0,-1.0,1100.0,2000.0,
1999,0.0,,1245.0,1.0,70.0,-1.0,536.0,160.0,,,,216.0,-1.0,,109.0,171.0,-1.0,10000.0,-1.0,,-1.0,11320.0,253.0,17500.0,11320.0,4200.0,,12880.0,-1.0,-1.0,1200.0,2000.0,
2000,0.0,,500.0,1.0,70.0,-1.0,883.0,140.0,,,,216.0,-1.0,,78.0,58.0,-1.0,17000.0,-1.0,,-1.0,9700.0,73.0,18000.0,9700.0,4250.0,,5264.0,-1.0,-1.0,800.0,3000.0,
2001,0.0,,600.0,2.0,70.0,-1.0,700.0,130.0,,,,154.0,-1.0,,40.0,68.0,-1.0,15000.0,-1.0,,-1.0,12300.0,50.0,18000.0,12300.0,4300.0,,857.0,-1.0,-1.0,1000.0,2000.0,
2002,0.0,,1000.0,1.0,70.0,-1.0,660.0,120.0,,,,208.0,-1.0,,296.0,60.0,-1.0,7000.0,-1.0,,-1.0,14800.0,50.0,18500.0,14800.0,4400.0,,634.0,-1.0,-1.0,2100.0,2000.0,
2003,400.0,,1200.0,1.0,70.0,-1.0,650.0,14.0,,,,400.0,-1.0,,858.0,300.0,-1.0,4000.0,-1.0,,-1.0,10000.0,50.0,18500.0,10000.0,4500.0,,721.0,-1.0,-1.0,1500.0,2000.0,
2004,400.0,,1200.0,1.0,70.0,-1.0,375.0,17.0,,,,3900.0,-1.0,,296.0,300.0,-1.0,4000.0,-1.0,,-1.0,20100.0,50.0,19000.0,20100.0,4550.0,,684.0,-1.0,-1.0,200.0,2000.0,
2005,300.0,,2100.0,1.0,70.0,-1.0,65.0,55.0,,,,4000.0,-1.0,,250.0,300.0,-1.0,4000.0,-1.0,,-1.0,11000.0,99.0,19000.0,11000.0,4600.0,,732.0,-1.0,-1.0,150.0,2000.0,
2006,600.0,,1500.0,1.0,83.0,-1.0,65.0,17.0,,,,1500.0,-1.0,,250.0,300.0,-1.0,4000.0,-1.0,,-1.0,19100.0,,19000.0,19100.0,4600.0,,5.0,-1.0,-1.0,150.0,2000.0,
2007,400.0,,1600.0,1.0,95.0,-1.0,56.0,13.0,,,,600.0,-1.0,,250.0,300.0,-1.0,4000.0,-1.0,,-1.0,17800.0,,19000.0,17800.0,4600.0,,10.0,-1.0,-1.0,100.0,2000.0,
2008,300.0,,1812.0,1.0,104.0,-1.0,30.0,11.0,,,,600.0,-1.0,,200.0,300.0,-1.0,4000.0,-1.0,,-1.0,11800.0,,20000.0,11800.0,4600.0,,10.0,-1.0,-1.0,300.0,2000.0,
2009,400.0,,2466.0,1.0,104.0,-1.0,7.0,6.0,,,,600.0,-1.0,,175.0,300.0,-1.0,4000.0,-1.0,,-1.0,5900.0,,21000.0,5900.0,4600.0,,10.0,-1.0,-1.0,900.0,2000.0,
2010,540.0,,3442.0,1.0,103.0,-1.0,20.0,10.0,,,,1017.0,-1.0,,186.0,310.0,0.0,3723.0,-1.0,,-1.0,5100.0,,20000.0,5100.0,4600.0,,2.0,-1.0,-1.0,1000.0,2043.0,
2011,512.0,,3488.0,1.0,102.0,-1.0,43.0,10.0,,,,1213.0,299.0,,100.0,350.0,0.0,3661.0,-1.0,,-1.0,5700.0,,20000.0,5700.0,4600.0,,2.0,-1.0,-1.0,900.0,1600.0,
2012,500.0,,3336.0,1.0,102.0,-1.0,71.0,10.0,,,,1114.0,213.0,,226.0,385.0,0.0,4144.0,-1.0,,-1.0,5280.0,,20000.0,5280.0,4563.0,,1.0,-1.0,-1.0,1274.0,1631.0,
2013,600.0,,3186.0,1.0,101.0,-1.0,92.0,12.0,,,,1161.0,200.0,,319.0,389.0,0.0,4137.0,-1.0,,-1.0,6400.0,,20000.0,6400.0,4500.0,,11.0,-1.0,-1.0,1284.0,1630.0,
2014,900.0,,3135.0,1.0,100.0,-1.0,99.0,12.0,,,,1207.0,152.0,,223.0,393.0,-1.0,4130.0,-1.0,,-1.0,7012.0,,20511.0,7012.0,4471.0,,10.0,-1.0,-1.0,1633.0,1629.0,
