,Ukraine,Tajikistan,Belarus,Czechoslovakia,Bhutan,Croatia,USSR,Brazil,China,Canada,Japan,Republic of Korea,South Africa,Hungary,Kazakhstan,United States of America,Yugoslav SFR,France,Lithuania,Slovenia,Poland,"China, mainland",Russian Federation,Czechia,Republic of Moldova
1977,-1.0,-1.0,-1.0,0.0,504.0,-1.0,159570.0,2580.0,210000.0,3060.0,753.0,495.0,521.0,0.0,-1.0,2500.0,119.0,648.0,-1.0,-1.0,3100.0,210000.0,-1.0,-1.0,-1.0
1978,-1.0,-1.0,-1.0,0.0,556.0,-1.0,148986.0,1800.0,192150.0,3360.0,675.0,355.0,580.0,0.0,-1.0,2500.0,112.0,513.0,-1.0,-1.0,4200.0,192150.0,-1.0,-1.0,-1.0
1979,-1.0,-1.0,-1.0,2.0,588.0,-1.0,152820.0,1560.0,176400.0,2360.0,726.0,381.0,197.0,0.0,-1.0,2800.0,130.0,476.0,-1.0,-1.0,7700.0,176400.0,-1.0,-1.0,-1.0
1980,-1.0,-1.0,-1.0,3.0,568.0,-1.0,161955.0,2940.0,189000.0,2880.0,693.0,337.0,130.0,0.0,-1.0,2000.0,65.0,468.0,-1.0,-1.0,8500.0,189000.0,-1.0,-1.0,-1.0
1981,-1.0,-1.0,-1.0,9.0,628.0,-1.0,152280.0,2580.0,157500.0,2800.0,711.0,756.0,98.0,0.0,-1.0,2000.0,130.0,513.0,-1.0,-1.0,7100.0,157500.0,-1.0,-1.0,-1.0
1982,-1.0,-1.0,-1.0,2.0,656.0,-1.0,159480.0,2040.0,183750.0,2340.0,633.0,328.0,98.0,0.0,-1.0,2000.0,153.0,504.0,-1.0,-1.0,2000.0,183750.0,-1.0,-1.0,-1.0
1983,-1.0,-1.0,-1.0,2.0,756.0,-1.0,152460.0,1740.0,183750.0,1760.0,576.0,314.0,98.0,0.0,-1.0,2500.0,129.0,441.0,-1.0,-1.0,2100.0,183750.0,-1.0,-1.0,-1.0
1984,-1.0,-1.0,-1.0,2.0,712.0,-1.0,152010.0,1740.0,176400.0,980.0,561.0,308.0,130.0,0.0,-1.0,2500.0,141.0,378.0,-1.0,-1.0,3200.0,176400.0,-1.0,-1.0,-1.0
1985,-1.0,-1.0,-1.0,0.0,560.0,-1.0,142560.0,2040.0,168000.0,1840.0,588.0,469.0,130.0,0.0,-1.0,2500.0,165.0,360.0,-1.0,-1.0,1700.0,168000.0,-1.0,-1.0,-1.0
1986,-1.0,-1.0,-1.0,1.0,552.0,-1.0,146340.0,2340.0,168000.0,1700.0,708.0,509.0,130.0,0.0,-1.0,2500.0,96.0,378.0,-1.0,-1.0,2300.0,168000.0,-1.0,-1.0,-1.0
1987,-1.0,-1.0,-1.0,1.0,575.0,-1.0,149760.0,3240.0,168000.0,1800.0,771.0,361.0,65.0,0.0,-1.0,2500.0,66.0,963.0,-1.0,-1.0,2600.0,168000.0,-1.0,-1.0,-1.0
1988,-1.0,-1.0,-1.0,0.0,576.0,-1.0,153981.0,2520.0,152250.0,1820.0,777.0,213.0,65.0,0.0,-1.0,2500.0,70.0,1044.0,-1.0,-1.0,4900.0,152250.0,-1.0,-1.0,-1.0
1989,-1.0,-1.0,-1.0,0.0,571.0,-1.0,167760.0,3000.0,157500.0,1380.0,834.0,194.0,60.0,0.0,-1.0,2500.0,61.0,829.0,-1.0,-1.0,2800.0,157500.0,-1.0,-1.0,-1.0
1990,-1.0,-1.0,-1.0,0.0,560.0,-1.0,214403.0,2700.0,178500.0,1350.0,843.0,269.0,55.0,0.0,-1.0,2500.0,60.0,981.0,-1.0,-1.0,2500.0,178500.0,-1.0,-1.0,-1.0
1991,-1.0,-1.0,-1.0,0.0,558.0,-1.0,214403.0,2160.0,208950.0,1530.0,723.0,323.0,52.0,149.0,-1.0,2500.0,60.0,855.0,-1.0,-1.0,3100.0,208950.0,-1.0,-1.0,-1.0
1992,49000.0,50.0,1300.0,0.0,560.0,4.0,-1.0,3000.0,150780.0,720.0,678.0,184.0,57.0,72.0,40000.0,2500.0,-1.0,918.0,72.0,30.0,3000.0,150780.0,171000.0,-1.0,581.0
1993,60000.0,0.0,3000.0,-1.0,557.0,0.0,-1.0,3292.0,133245.0,700.0,606.0,244.0,60.0,77.0,22000.0,2500.0,-1.0,801.0,50.0,47.0,2700.0,133245.0,180800.0,35.0,675.0
1994,63000.0,0.0,1500.0,-1.0,555.0,1.0,-1.0,2820.0,126000.0,1060.0,678.0,275.0,51.0,72.0,20000.0,2500.0,-1.0,662.0,50.0,42.0,2500.0,126000.0,175600.0,33.0,493.0
1995,68000.0,35.0,3000.0,-1.0,480.0,0.0,-1.0,2494.0,124950.0,1200.0,795.0,192.0,53.0,83.0,10000.0,2600.0,-1.0,683.0,100.0,35.0,2400.0,124950.0,170000.0,30.0,663.0
1996,60000.0,20.0,3000.0,-1.0,479.0,0.0,-1.0,2540.0,120540.0,980.0,831.0,186.0,56.0,52.0,5000.0,2600.0,-1.0,771.0,250.0,29.0,2400.0,120540.0,130000.0,33.0,659.0
1997,30000.0,40.0,2500.0,-1.0,484.0,3.0,-1.0,2253.0,113610.0,910.0,1032.0,159.0,45.0,45.0,6000.0,2600.0,-1.0,908.0,800.0,28.0,2500.0,113610.0,130000.0,38.0,835.0
1998,30000.0,5.0,2000.0,-1.0,376.0,3.0,-1.0,2489.0,105630.0,860.0,1113.0,146.0,44.0,100.0,2388.0,2600.0,-1.0,935.0,1085.0,39.0,4000.0,105630.0,100000.0,45.0,1338.0
1999,25000.0,0.0,2000.0,-1.0,280.0,3.0,-1.0,2462.0,120750.0,800.0,1122.0,119.0,51.0,70.0,2400.0,2600.0,-1.0,1355.0,1200.0,41.0,5000.0,120750.0,100000.0,38.0,998.0
2000,37000.0,10.0,2500.0,-1.0,376.0,4.0,-1.0,2589.0,112455.0,800.0,1254.0,155.0,43.0,84.0,3000.0,2600.0,-1.0,2013.0,1490.0,48.0,4400.0,112455.0,86000.0,37.0,1056.0
2001,23000.0,30.0,1200.0,-1.0,362.0,4.0,-1.0,2700.0,90300.0,800.0,1242.0,139.0,46.0,60.0,2000.0,2600.0,-1.0,2470.0,1512.0,76.0,3000.0,90300.0,50000.0,25.0,360.0
2002,19000.0,30.0,1000.0,-1.0,377.0,3.0,-1.0,3010.0,86100.0,880.0,1305.0,107.0,45.0,63.0,2800.0,2600.0,-1.0,3317.0,1500.0,45.0,2800.0,86100.0,44000.0,30.0,359.0
2003,22000.0,5.0,1000.0,-1.0,203.0,3.0,-1.0,3085.0,84000.0,600.0,1305.0,83.0,42.0,23.0,4000.0,2600.0,-1.0,3696.0,2000.0,38.0,4000.0,84000.0,56500.0,33.0,317.0
2004,21300.0,0.0,700.0,-1.0,531.0,5.0,-1.0,2760.0,87570.0,400.0,1341.0,90.0,41.0,60.0,4000.0,2600.0,-1.0,3293.0,2500.0,53.0,5600.0,87570.0,55000.0,25.0,253.0
2005,20000.0,0.0,700.0,-1.0,629.0,7.0,-1.0,2820.0,91140.0,300.0,1344.0,111.0,29.0,22.0,5000.0,2600.0,-1.0,2880.0,2800.0,36.0,5500.0,91140.0,69500.0,26.0,335.0
2006,17600.0,0.0,1000.0,-1.0,689.0,10.0,-1.0,2880.0,78750.0,200.0,1383.0,96.0,33.0,52.0,7000.0,2600.0,-1.0,2965.0,1900.0,53.0,8500.0,78750.0,79000.0,24.0,105.0
2007,15000.0,0.0,1100.0,-1.0,282.0,5.0,-1.0,3068.0,76146.0,200.0,1419.0,89.0,37.0,28.0,4000.0,3200.0,-1.0,3078.0,2400.0,49.0,5500.0,76146.0,67000.0,24.0,73.0
2008,13700.0,0.0,1400.0,-1.0,309.0,10.0,-1.0,2979.0,76020.0,0.0,1362.0,87.0,32.0,25.0,3000.0,3200.0,-1.0,3321.0,1900.0,68.0,5500.0,76020.0,56000.0,24.0,53.0
2009,11200.0,0.0,1800.0,-1.0,243.0,9.0,-1.0,2754.0,73500.0,0.0,1431.0,84.0,34.0,27.0,3000.0,3200.0,-1.0,3321.0,1700.0,78.0,5500.0,73500.0,64000.0,23.0,77.0
2010,15600.0,0.0,3500.0,-1.0,341.0,12.0,-1.0,2760.0,78540.0,0.0,1692.0,98.0,36.0,47.0,3100.0,3200.0,-1.0,2781.0,2400.0,77.0,6500.0,78540.0,54000.0,23.0,35.0
2011,15000.0,0.0,3600.0,-1.0,222.0,13.0,-1.0,2820.0,73500.0,0.0,1830.0,124.0,39.0,12.0,3900.0,3200.0,-1.0,2781.0,3000.0,109.0,6500.0,73500.0,66000.0,25.0,24.0
2012,17000.0,0.0,2700.0,-1.0,149.0,12.0,-1.0,2880.0,74025.0,0.0,1842.0,96.0,41.0,26.0,3800.0,3150.0,-1.0,4005.0,2700.0,91.0,7000.0,74025.0,58000.0,25.0,5.0
2013,13000.0,0.0,2800.0,-1.0,171.0,23.0,-1.0,2940.0,74340.0,0.0,1797.0,84.0,39.0,40.0,3800.0,3200.0,-1.0,2709.0,2700.0,101.0,7000.0,74340.0,60000.0,25.0,10.0
2014,14000.0,0.0,2800.0,-1.0,171.0,23.0,-1.0,2940.0,74340.0,0.0,1797.0,84.0,39.0,40.0,3800.0,3200.0,-1.0,2709.0,2700.0,101.0,7000.0,74340.0,60000.0,25.0,10.0
