,Serbia,Kenya,Senegal,Niger,Mozambique,Croatia,Cameroon,Burkina Faso,Malawi,Sri Lanka,Sudan (former),Philippines,South Sudan,Egypt,Mauritania,Madagascar,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Trinidad and Tobago,Iraq,Jamaica,United Republic of Tanzania,Cyprus,Occupied Palestinian Territory,South Africa,Guyana,Australia & New Zealand,Swaziland,Australia,Serbia and Montenegro,United States of America,Slovenia,Nigeria,Bosnia and Herzegovina,Mali,Uganda,Myanmar,Haiti
1989,-1.0,2388.0,1360.0,103413.0,0.0,-1.0,0.0,5820.0,4680.0,577.0,0.0,105.0,-1.0,98.0,666.0,129.0,121.0,-1.0,46.0,0.0,1.0,23.0,30.0,2540.0,11.0,0.0,382.0,0.0,175.0,97.0,175.0,-1.0,0.0,-1.0,63175.0,-1.0,437.0,2940.0,922.0,1650.0
1990,-1.0,2400.0,1522.0,104893.0,0.0,-1.0,0.0,8760.0,4560.0,566.0,0.0,95.0,-1.0,100.0,1500.0,126.0,120.0,-1.0,52.0,0.0,1.0,18.0,30.0,2586.0,10.0,0.0,439.0,0.0,206.0,106.0,206.0,-1.0,0.0,-1.0,66001.0,-1.0,448.0,2880.0,1067.0,1500.0
1991,-1.0,3100.0,2210.0,154865.0,0.0,-1.0,0.0,8850.0,4500.0,465.0,0.0,85.0,-1.0,100.0,1600.0,129.0,120.0,-1.0,47.0,0.0,1.0,23.0,31.0,2631.0,10.0,0.0,307.0,0.0,419.0,70.0,419.0,-1.0,0.0,-1.0,96845.0,-1.0,1025.0,2940.0,1181.0,1547.0
1992,-1.0,2800.0,3553.0,131272.0,0.0,8.0,0.0,7905.0,4620.0,489.0,0.0,80.0,-1.0,100.0,1561.0,132.0,-1.0,250.0,47.0,0.0,1.0,23.0,26.0,2677.0,9.0,0.0,250.0,0.0,284.0,57.0,284.0,41.0,0.0,1.0,108150.0,44.0,1116.0,3060.0,1307.0,1500.0
1993,-1.0,2720.0,2745.0,119064.0,0.0,4.0,0.0,6855.0,4560.0,463.0,0.0,70.0,-1.0,105.0,2400.0,112.0,-1.0,258.0,0.0,0.0,1.0,23.0,28.0,2723.0,10.0,0.0,303.0,0.0,284.0,73.0,284.0,111.0,0.0,0.0,106015.0,42.0,300.0,3180.0,1344.0,1637.0
1994,-1.0,2355.0,2924.0,137564.0,0.0,3.0,200.0,6975.0,4680.0,399.0,0.0,53.0,-1.0,108.0,2813.0,118.0,-1.0,273.0,0.0,0.0,1.0,23.0,23.0,2769.0,10.0,0.0,324.0,0.0,0.0,67.0,0.0,239.0,0.0,0.0,125475.0,51.0,401.0,3240.0,1985.0,1290.0
1995,-1.0,0.0,2659.0,121769.0,0.0,3.0,400.0,9075.0,4740.0,417.0,0.0,40.0,-1.0,110.0,2879.0,120.0,-1.0,260.0,0.0,0.0,0.0,22.0,22.0,2814.0,10.0,0.0,351.0,0.0,0.0,70.0,0.0,396.0,0.0,0.0,140035.0,42.0,719.0,3360.0,2608.0,1410.0
1996,-1.0,1861.0,2640.0,132820.0,0.0,3.0,600.0,6270.0,4800.0,358.0,0.0,28.0,-1.0,115.0,2956.0,135.0,-1.0,265.0,0.0,0.0,0.0,21.0,19.0,2860.0,11.0,1.0,258.0,0.0,0.0,58.0,0.0,277.0,0.0,0.0,140315.0,54.0,549.0,3480.0,2947.0,1500.0
1997,-1.0,2103.0,3701.0,149977.0,0.0,3.0,800.0,9750.0,4740.0,327.0,0.0,20.0,-1.0,120.0,3530.0,138.0,-1.0,265.0,0.0,0.0,0.0,20.0,20.0,2906.0,12.0,2.0,213.0,0.0,0.0,76.0,0.0,210.0,0.0,0.0,175875.0,54.0,609.0,3600.0,2734.0,1590.0
1998,-1.0,2376.0,5100.0,151752.0,0.0,3.0,1000.0,9285.0,4855.0,290.0,0.0,18.0,-1.0,125.0,1193.0,141.0,-1.0,250.0,0.0,0.0,0.0,18.0,19.0,2951.0,12.0,1.0,180.0,0.0,0.0,72.0,0.0,135.0,0.0,0.0,122955.0,54.0,568.0,3720.0,3189.0,1650.0
1999,-1.0,2006.0,4394.0,100000.0,0.0,2.0,1200.0,4080.0,5111.0,285.0,0.0,19.0,-1.0,130.0,927.0,138.0,-1.0,250.0,0.0,0.0,0.0,17.0,17.0,2997.0,12.0,2.0,180.0,0.0,0.0,68.0,0.0,124.0,0.0,0.0,125405.0,45.0,517.0,3840.0,3710.0,1442.0
2000,-1.0,2562.0,2721.0,140976.0,0.0,3.0,1400.0,12008.0,6370.0,237.0,0.0,17.0,-1.0,130.0,1185.0,138.0,-1.0,250.0,0.0,0.0,1.0,17.0,17.0,3043.0,10.0,2.0,365.0,4.0,0.0,72.0,0.0,137.0,0.0,0.0,126700.0,42.0,556.0,3900.0,4725.0,1500.0
2001,-1.0,2448.0,3978.0,155136.0,0.0,3.0,1750.0,10620.0,6501.0,259.0,0.0,17.0,-1.0,130.0,834.0,138.0,-1.0,250.0,0.0,0.0,1.0,15.0,14.0,3089.0,10.0,3.0,220.0,4.0,0.0,70.0,0.0,130.0,0.0,0.0,128380.0,48.0,634.0,3960.0,4550.0,1258.0
2002,-1.0,3034.0,4365.0,164148.0,11200.0,3.0,1810.0,14580.0,6919.0,304.0,460.0,17.0,-1.0,130.0,880.0,138.0,-1.0,250.0,0.0,0.0,1.0,14.0,16.0,1463.0,10.0,0.0,240.0,4.0,0.0,71.0,0.0,114.0,0.0,0.0,130410.0,54.0,602.0,4020.0,4533.0,1350.0
2003,-1.0,2504.0,5645.0,108888.0,14744.0,3.0,1871.0,8820.0,6359.0,213.0,700.0,17.0,-1.0,130.0,560.0,138.0,-1.0,250.0,0.0,0.0,1.0,14.0,13.0,3180.0,8.0,3.0,249.0,3.0,0.0,72.0,0.0,124.0,0.0,0.0,139510.0,45.0,640.0,4200.0,4900.0,1200.0
2004,-1.0,1453.0,6657.0,138572.0,14744.0,2.0,1935.0,14190.0,7090.0,250.0,960.0,17.0,-1.0,130.0,920.0,139.0,-1.0,250.0,0.0,0.0,1.0,13.0,12.0,3008.0,8.0,4.0,249.0,3.0,0.0,72.0,0.0,140.0,0.0,0.0,144900.0,48.0,614.0,4260.0,4935.0,1260.0
2005,-1.0,3239.0,5804.0,165340.0,14032.0,3.0,1852.0,13920.0,7143.0,234.0,1275.0,18.0,-1.0,130.0,1015.0,154.0,-1.0,250.0,0.0,0.0,1.0,21.0,13.0,3119.0,9.0,5.0,279.0,3.0,0.0,68.0,0.0,140.0,0.0,0.0,154210.0,48.0,426.0,4260.0,5240.0,1200.0
2006,154.0,2603.0,5065.0,190726.0,14860.0,3.0,2168.0,8081.0,4800.0,234.0,1825.0,19.0,-1.0,130.0,1101.0,134.0,-1.0,250.0,0.0,0.0,1.0,12.0,14.0,3552.0,11.0,3.0,255.0,3.0,0.0,70.0,0.0,-1.0,0.0,0.0,157185.0,18.0,526.0,4320.0,5100.0,1290.0
2007,154.0,2963.0,8163.0,209694.0,14100.0,3.0,2456.0,17160.0,4871.0,268.0,3471.0,22.0,-1.0,130.0,1146.0,147.0,-1.0,250.0,0.0,0.0,1.0,11.0,13.0,1769.0,9.0,3.0,220.0,3.0,0.0,72.0,0.0,-1.0,0.0,0.0,150115.0,15.0,500.0,1020.0,5495.0,1188.0
2008,171.0,2486.0,6473.0,166252.0,12000.0,4.0,2602.0,14478.0,3306.0,252.0,3800.0,22.0,-1.0,130.0,1132.0,133.0,-1.0,250.0,0.0,0.0,1.0,11.0,12.0,2566.0,8.0,2.0,225.0,3.0,0.0,74.0,0.0,-1.0,0.0,0.0,81221.0,15.0,567.0,1680.0,6412.0,1103.0
2009,154.0,3365.0,3847.0,222839.0,3948.0,2.0,2824.0,19983.0,4032.0,260.0,2780.0,18.0,-1.0,130.0,1428.0,175.0,-1.0,250.0,0.0,0.0,1.0,10.0,12.0,5163.0,10.0,1.0,276.0,4.0,0.0,77.0,0.0,-1.0,0.0,0.0,100092.0,15.0,478.0,1440.0,6347.0,1109.0
2010,137.0,3960.0,2836.0,185791.0,12000.0,2.0,2923.0,14070.0,4236.0,240.0,2915.0,18.0,-1.0,120.0,1323.0,199.0,-1.0,250.0,0.0,0.0,1.0,9.0,14.0,4362.0,8.0,1.0,293.0,3.0,0.0,82.0,0.0,-1.0,0.0,0.0,105741.0,15.0,500.0,1500.0,5162.0,1256.0
2011,141.0,4255.0,3876.0,188033.0,13872.0,2.0,3128.0,19103.0,4236.0,243.0,1319.0,17.0,-1.0,130.0,1360.0,210.0,-1.0,250.0,0.0,0.0,1.0,8.0,15.0,4676.0,8.0,1.0,311.0,3.0,0.0,82.0,0.0,-1.0,0.0,0.0,121835.0,15.0,510.0,1500.0,5250.0,1260.0
2012,134.0,5016.0,3693.0,205236.0,12800.0,2.0,2939.0,18008.0,4530.0,238.0,-1.0,17.0,2915.0,130.0,1400.0,210.0,-1.0,250.0,0.0,0.0,1.0,8.0,17.0,4685.0,9.0,1.0,311.0,3.0,0.0,84.0,0.0,-1.0,0.0,0.0,125766.0,6.0,509.0,1500.0,5180.0,1260.0
2013,143.0,5638.0,4594.0,213007.0,15116.0,2.0,3307.0,18077.0,4905.0,242.0,-1.0,16.0,2915.0,135.0,870.0,213.0,-1.0,250.0,1.0,0.0,1.0,8.0,17.0,3946.0,10.0,2.0,308.0,3.0,0.0,81.0,0.0,-1.0,0.0,0.0,129553.0,6.0,707.0,1500.0,5180.0,1246.0
2014,143.0,5638.0,4594.0,213007.0,15116.0,2.0,3485.0,18077.0,4905.0,242.0,-1.0,16.0,2915.0,135.0,870.0,213.0,-1.0,250.0,1.0,0.0,1.0,8.0,17.0,3946.0,10.0,2.0,308.0,3.0,0.0,81.0,0.0,-1.0,0.0,0.0,129553.0,6.0,707.0,1500.0,5180.0,1246.0
