,Cuba,Dominican Republic,Mexico,Puerto Rico,Peru,Panama,Trinidad and Tobago,El Salvador,United Republic of Tanzania,Belize,Saint Lucia,Nicaragua,Dominica,Costa Rica,Venezuela (Bolivarian Republic of)
1984,52634.0,27391.0,-1.0,-1.0,30448.0,7861.0,1500.0,-1.0,,-1.0,110.0,,6420.0,-1.0,55111.0
1985,46748.0,42765.0,-1.0,-1.0,25000.0,8305.0,1400.0,-1.0,,-1.0,120.0,,4400.0,-1.0,49087.0
1986,64942.0,32867.0,-1.0,-1.0,26000.0,8754.0,1200.0,-1.0,,-1.0,120.0,,4914.0,-1.0,47086.0
1987,41758.0,33482.0,-1.0,-1.0,26000.0,9229.0,1200.0,-1.0,,-1.0,130.0,,5645.0,-1.0,51553.0
1988,41661.0,42439.0,-1.0,-1.0,27000.0,9727.0,1200.0,-1.0,,-1.0,130.0,,4516.0,-1.0,54758.0
1989,37590.0,53389.0,-1.0,-1.0,27000.0,6527.0,1300.0,-1.0,,2056.0,140.0,,3838.0,-1.0,53060.0
1990,30000.0,28630.0,-1.0,-1.0,30000.0,3327.0,1106.0,-1.0,,346.0,127.0,0.0,5239.0,-1.0,55076.0
1991,31122.0,22567.0,-1.0,-1.0,31426.0,3943.0,1400.0,-1.0,,301.0,150.0,36681.0,4286.0,-1.0,57238.0
1992,16000.0,28241.0,246.0,-1.0,32389.0,3830.0,1371.0,-1.0,,789.0,156.0,37637.0,4337.0,-1.0,45279.0
1993,10618.0,27855.0,303.0,-1.0,32700.0,4000.0,1351.0,0.0,,1050.0,160.0,38593.0,4463.0,13840.0,54148.0
1994,8912.0,33490.0,314.0,-1.0,33167.0,4500.0,1334.0,59014.0,,204.0,163.0,39548.0,4500.0,19000.0,65560.0
1995,10800.0,45881.0,632.0,-1.0,32000.0,5477.0,1318.0,55000.0,,582.0,170.0,40504.0,4554.0,24500.0,75456.0
1996,14696.0,40056.0,921.0,-1.0,25393.0,4895.0,1300.0,45285.0,,173.0,180.0,41460.0,4571.0,17150.0,83510.0
1997,20400.0,44054.0,428.0,-1.0,29946.0,6016.0,1307.0,54000.0,,225.0,171.0,42416.0,4589.0,17326.0,64008.0
1998,40273.0,33520.0,450.0,-1.0,33994.0,4255.0,1314.0,53000.0,,557.0,166.0,43372.0,4602.0,11324.0,60466.0
1999,78741.0,48489.0,795.0,900.0,37859.0,6374.0,1326.0,47615.0,,932.0,147.0,44328.0,4550.0,25683.0,63179.0
2000,98540.0,49033.0,895.0,930.0,35459.0,5893.0,1350.0,52000.0,,918.0,137.0,45284.0,4400.0,16597.0,62994.0
2001,102201.0,39529.0,1026.0,950.0,36089.0,7626.0,1400.0,47486.0,,1289.0,118.0,46240.0,4550.0,22228.0,64443.0
2002,231500.0,59412.0,1151.0,1036.0,36394.0,5295.0,1450.0,47453.0,,854.0,119.0,47195.0,4706.0,40906.0,54353.0
2003,205900.0,79373.0,1261.0,989.0,37088.0,5884.0,1500.0,47403.0,-1.0,469.0,110.0,48151.0,4783.0,28882.0,47755.0
2004,244000.0,69305.0,1445.0,2248.0,35484.0,8225.0,1600.0,47356.0,,264.0,100.0,49107.0,4871.0,24283.0,61904.0
2005,225873.0,30463.0,1679.0,2304.0,33585.0,6446.0,1650.0,47204.0,,281.0,101.0,50063.0,4958.0,24428.0,59169.0
2006,175000.0,26434.0,700.0,2350.0,32151.0,6213.0,1677.0,47118.0,,261.0,52.0,51019.0,5024.0,18556.0,85954.0
2007,207800.0,29805.0,1300.0,2400.0,30444.0,6471.0,1700.0,47034.0,,156.0,36.0,51975.0,5171.0,12954.0,79701.0
2008,240000.0,24364.0,2500.0,2261.0,29000.0,5390.0,1738.0,46950.0,,167.0,50.0,52931.0,5172.0,15506.0,82941.0
2009,199400.0,29028.0,5100.0,2105.0,32900.0,5281.0,1771.0,46874.0,,197.0,55.0,53626.0,5149.0,15850.0,83034.0
2010,137400.0,30274.0,9725.0,2005.0,34036.0,7103.0,1800.0,46811.0,,259.0,59.0,35819.0,5500.0,14493.0,58632.0
2011,132100.0,32918.0,14320.0,1907.0,32032.0,4567.0,1801.0,46765.0,,274.0,63.0,30000.0,5000.0,15428.0,85771.0
2012,153782.0,32595.0,20170.0,1700.0,31467.0,4610.0,1800.0,43000.0,,203.0,68.0,80000.0,5000.0,11692.0,75132.0
2013,185922.0,29104.0,13960.0,1750.0,31268.0,4230.0,1800.0,43000.0,,238.0,53.0,77000.0,5100.0,23742.0,84516.0
2014,269590.0,28180.0,8881.0,1837.0,31070.0,3687.0,1801.0,46258.0,,261.0,59.0,71634.0,5120.0,30000.0,85607.0
