,"China, Taiwan Province of",Israel,Australia & New Zealand,Australia,The former Yugoslav Republic of Macedonia,Philippines,Belgium,Kenya,Czechia,Costa Rica,Italy,Germany,China,Finland,Slovakia,Morocco,Slovenia,Chile,Canada,Colombia,Spain,New Zealand,Austria,Ecuador,Japan,Poland,Argentina,Belgium-Luxembourg,Switzerland,Denmark,Iran (Islamic Republic of),Greece,United Kingdom,France,Zimbabwe,Hungary,Turkey,Thailand,Peru,United States of America,Mexico,"China, mainland",Lithuania,Bulgaria,Netherlands
2002,48629.0,36321.0,41000.0,59035.0,,55357.0,67114.0,40000.0,73333.0,40000.0,61700.0,40217.0,48078.0,,60550.0,50000.0,,47146.0,22801.0,43557.0,43526.0,19851.0,62429.0,28571.0,38267.0,103806.0,38333.0,,,,143873.0,41379.0,20988.0,31184.0,33149.0,45764.0,42500.0,39793.0,95445.0,31723.0,40030.0,48077.0,,49520.0,63636.0
2003,50479.0,36411.0,40742.0,53469.0,20000.0,100535.0,62500.0,20000.0,75000.0,40000.0,59245.0,43252.0,50925.0,,54162.0,53645.0,,47912.0,24028.0,45049.0,41671.0,26303.0,59746.0,28333.0,44044.0,100000.0,37838.0,,,,142857.0,43396.0,21519.0,30074.0,33140.0,37500.0,42500.0,45608.0,102653.0,35616.0,42882.0,50926.0,,48735.0,61907.0
2004,51349.0,37059.0,43701.0,46174.0,20000.0,135230.0,60000.0,50000.0,77419.0,42308.0,64232.0,43309.0,50436.0,,49792.0,45402.0,,47805.0,23462.0,45994.0,40362.0,40000.0,56685.0,28878.0,44907.0,104192.0,38862.0,,18762.0,15500.0,158290.0,44745.0,21574.0,31867.0,33184.0,61749.0,40000.0,48977.0,101805.0,37581.0,43923.0,50435.0,,49476.0,71429.0
2005,44101.0,37616.0,43452.0,49015.0,20000.0,156326.0,60000.0,53869.0,77419.0,42308.0,67519.0,45680.0,50856.0,1667.0,57004.0,59091.0,,47619.0,28802.0,44921.0,35743.0,34111.0,45911.0,27861.0,44427.0,100000.0,39130.0,,18468.0,15500.0,166582.0,46430.0,20000.0,33825.0,33229.0,38951.0,40000.0,42184.0,113251.0,34876.0,43181.0,50862.0,71429.0,50217.0,65189.0
2006,50666.0,38247.0,44163.0,47359.0,20790.0,143950.0,72340.0,55363.0,80000.0,42593.0,67164.0,44537.0,50833.0,4167.0,35526.0,100000.0,,48837.0,30536.0,60000.0,46846.0,36049.0,43481.0,28049.0,44201.0,105830.0,39665.0,,14320.0,15500.0,174674.0,45082.0,16506.0,32299.0,33274.0,21232.0,33333.0,42297.0,129711.0,29914.0,41810.0,50833.0,71429.0,50958.0,47313.0
2007,42851.0,38892.0,40538.0,43080.0,21259.0,153041.0,70513.0,57078.0,75000.0,42593.0,68613.0,50664.0,49996.0,4545.0,35526.0,117647.0,,49661.0,28080.0,47665.0,32143.0,36739.0,48264.0,28313.0,47626.0,107039.0,40000.0,,15163.0,16968.0,184155.0,46035.0,21201.0,32863.0,31538.0,32615.0,96667.0,37292.0,120654.0,38416.0,43165.0,50000.0,88889.0,51698.0,69048.0
2008,38934.0,40000.0,52860.0,60966.0,21745.0,168428.0,70175.0,58102.0,80000.0,42857.0,66541.0,50257.0,50192.0,2632.0,35526.0,79487.0,,49600.0,29002.0,73304.0,43121.0,34286.0,48532.0,28095.0,47095.0,108181.0,39582.0,,18000.0,17708.0,193692.0,40714.0,22425.0,34080.0,33828.0,31546.0,33333.0,37711.0,110348.0,33139.0,43038.0,50198.0,71429.0,52439.0,66667.0
2009,39039.0,41500.0,40714.0,43199.0,22222.0,79564.0,86207.0,59543.0,77778.0,42857.0,67469.0,53982.0,51175.0,1818.0,36201.0,54197.0,,64200.0,42237.0,60123.0,44598.0,34429.0,51646.0,28488.0,47773.0,106720.0,39566.0,,20297.0,24516.0,206154.0,41609.0,22152.0,38182.0,34337.0,32285.0,36000.0,37807.0,106519.0,34501.0,42941.0,51181.0,71429.0,53180.0,67820.0
2010,46128.0,40693.0,45529.0,49450.0,23333.0,67398.0,84000.0,60979.0,68182.0,41667.0,69721.0,49167.0,51560.0,2174.0,20667.0,56440.0,,47843.0,36757.0,24214.0,49481.0,35538.0,39324.0,28049.0,48382.0,106280.0,39536.0,,18952.0,13385.0,212235.0,40278.0,22807.0,38256.0,34846.0,50864.0,35714.0,37887.0,108496.0,31986.0,54786.0,51563.0,42857.0,53921.0,63471.0
2011,52239.0,40843.0,46903.0,49595.0,22997.0,64718.0,99050.0,62399.0,66667.0,41667.0,63188.0,55589.0,54923.0,6087.0,28095.0,74803.0,39000.0,48130.0,42328.0,23000.0,52866.0,37547.0,48696.0,28185.0,45787.0,108000.0,39495.0,,15315.0,13714.0,220974.0,35000.0,25888.0,46356.0,35355.0,48842.0,32500.0,72194.0,118364.0,34488.0,62980.0,54924.0,71429.0,54661.0,70393.0
2012,54397.0,41371.0,46954.0,50506.0,23333.0,64357.0,86667.0,74000.0,60000.0,41957.0,68226.0,52975.0,54444.0,5000.0,29888.0,91175.0,31667.0,50083.0,40938.0,31612.0,49078.0,38578.0,54825.0,28321.0,47430.0,151515.0,39623.0,,14911.0,17619.0,229412.0,48009.0,26985.0,43737.0,37500.0,43426.0,35000.0,91986.0,113716.0,33711.0,73794.0,54444.0,71429.0,55402.0,62951.0
2013,54737.0,41824.0,47384.0,50227.0,23597.0,104863.0,76503.0,60315.0,57802.0,42291.0,66885.0,52515.0,52633.0,5714.0,36654.0,104815.0,33030.0,52606.0,46179.0,30000.0,48709.0,39503.0,42724.0,28322.0,51300.0,138424.0,39428.0,,18464.0,17547.0,237922.0,44286.0,24000.0,41079.0,37500.0,38037.0,340000.0,131877.0,113784.0,34874.0,70908.0,52632.0,71429.0,56143.0,61752.0
2014,56205.0,42276.0,46861.0,49354.0,23924.0,96361.0,90000.0,54545.0,59684.0,42454.0,68679.0,56699.0,51989.0,5833.0,30231.0,125025.0,33939.0,54429.0,38053.0,30000.0,48273.0,40428.0,40846.0,28334.0,51075.0,119570.0,39432.0,,21698.0,17500.0,231666.0,38177.0,27002.0,45705.0,35601.0,51260.0,340000.0,112955.0,118331.0,34995.0,83288.0,51987.0,71429.0,56884.0,60182.0
