,Paraguay,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Serbia,India,Serbia and Montenegro,Tunisia,Brazil,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Bangladesh,Republic of Korea,Belgium,Netherlands,Japan,New Zealand,Rwanda,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Mongolia,Algeria,Slovenia,Czechoslovakia,Tajikistan,Kyrgyzstan,Ukraine,Argentina,Luxembourg,Germany,Austria,South Africa,Morocco,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Italy,Spain,Uruguay,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Latvia,Yugoslav SFR,Slovakia,Czechia,Chile,Hungary,Kazakhstan,Estonia,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Norway,Republic of Moldova,Belgium-Luxembourg
1971,-1.0,1535.0,-1.0,-1.0,-1,-1.0,3323100.0,-1.0,-1.0,-1.0,5261.0,-1.0,25188.0,2147232.0,-1.0,-1.0,509910.0,214900.0,28724.0,-1.0,10414.0,13700.0,300.0,-1,62.0,85285.0,-1.0,-1.0,-1.0,-1.0,-1.0,51459.0,-1.0,-1.0,-1.0,3800.0,-1.0,198478.0,3517.0,-1.0,-1.0,51000.0,361500.0,117567.0,9697.0,6000.0,5900.0,1200.0,2796.0,200.0,-1.0,-1.0,1615535.0,-1.0,-1.0,-1.0,-1.0,9119.0,-1.0,-1.0,49360.0,44100.0,-1.0,-1.0,84985.0,337700.0,-1.0,6400.0,1614000.0,-1.0,2500.0,1914.0,-1.0,602.0
1972,-1.0,1471.0,-1.0,-1.0,-1,-1.0,3613900.0,-1.0,-1.0,-1.0,6880.0,-1.0,30535.0,1323304.0,-1.0,-1.0,562110.0,188721.0,17461.0,-1.0,15001.0,10800.0,300.0,-1,49.0,77442.0,-1.0,-1.0,-1.0,-1.0,-1.0,52714.0,-1.0,-1.0,-1.0,1950.0,-1.0,217129.0,3370.0,-1.0,-1.0,51000.0,275700.0,152932.0,9857.0,6000.0,8800.0,1100.0,3240.0,18.0,-1.0,-1.0,1966471.0,-1.0,-1.0,-1.0,-1.0,9339.0,-1.0,-1.0,56120.0,50000.0,-1.0,-1.0,77142.0,322100.0,-1.0,5700.0,1965000.0,-1.0,1500.0,2142.0,-1.0,1009.0
1973,-1.0,1298.0,-1.0,-1.0,-1,-1.0,3318700.0,-1.0,-1.0,-1.0,13760.0,-1.0,45904.0,1274742.0,-1.0,-1.0,533769.0,191481.0,13418.0,-1.0,15219.0,7810.0,300.0,-1,30.0,17143.0,-1.0,-1.0,-1.0,-1.0,-1.0,56768.0,-1.0,-1.0,-1.0,1300.0,-1.0,230107.0,2272.0,-1.0,-1.0,52000.0,315400.0,171006.0,9301.0,5000.0,14600.0,4300.0,4547.0,110.0,-1.0,-1.0,2095298.0,-1.0,-1.0,-1.0,-1.0,4730.0,-1.0,-1.0,30800.0,50108.0,-1.0,-1.0,16843.0,327800.0,-1.0,10300.0,2094000.0,-1.0,750.0,3863.0,-1.0,898.0
1974,-1.0,1083.0,-1.0,-1.0,-1,-1.0,3456000.0,-1.0,-1.0,-1.0,24686.0,-1.0,48040.0,1278789.0,-1.0,-1.0,535729.0,176469.0,25860.0,-1.0,13738.0,5280.0,260.0,-1,14.0,12108.0,-1.0,-1.0,-1.0,-1.0,-1.0,45039.0,-1.0,-1.0,-1.0,600.0,-1.0,232748.0,2205.0,-1.0,-1.0,52000.0,257900.0,157240.0,9667.0,6000.0,11300.0,7900.0,1398.0,1208.0,-1.0,-1.0,2062083.0,-1.0,-1.0,-1.0,-1.0,5338.0,-1.0,-1.0,25050.0,32913.0,-1.0,-1.0,11848.0,339800.0,-1.0,12800.0,2061000.0,-1.0,700.0,3636.0,-1.0,458.0
1975,-1.0,3364.0,-1.0,-1.0,-1,-1.0,3680400.0,-1.0,-1.0,-1.0,39000.0,-1.0,71720.0,1829200.0,-1.0,-1.0,451474.0,196194.0,26787.0,-1.0,14105.0,4410.0,300.0,-1,46.0,16200.0,-1.0,-1.0,-1.0,-1.0,-1.0,63620.0,-1.0,-1.0,-1.0,210.0,-1.0,221794.0,2478.0,-1.0,-1.0,52000.0,309030.0,170165.0,9654.0,6000.0,12700.0,12900.0,1172.0,2100.0,-1.0,-1.0,2314364.0,300.0,-1.0,-1.0,-1.0,7270.0,-1.0,-1.0,45490.0,46385.0,-1.0,-1.0,15900.0,281700.0,-1.0,16900.0,2311000.0,-1.0,381.0,4924.0,-1.0,331.0
1976,-1.0,4311.0,-1.0,-1.0,-1,-1.0,3339400.0,-1.0,-1.0,-1.0,48000.0,-1.0,44283.0,719521.0,-1.0,-1.0,470161.0,192928.0,25016.0,-1.0,12328.0,3740.0,350.0,-1,6.0,8069.0,-1.0,-1.0,-1.0,-1.0,-1.0,63318.0,-1.0,-1.0,-1.0,600.0,-1.0,224513.0,1950.0,-1.0,-1.0,50000.0,397571.0,145238.0,10978.0,6000.0,15900.0,6600.0,757.0,2000.0,-1.0,-1.0,2348311.0,300.0,-1.0,-1.0,-1.0,11192.0,-1.0,-1.0,59560.0,51976.0,-1.0,-1.0,7719.0,297100.0,-1.0,13800.0,2344000.0,-1.0,4100.0,5989.0,-1.0,282.0
1977,-1.0,3045.0,-1.0,-1.0,-1,-1.0,3128600.0,-1.0,-1.0,-1.0,55439.0,-1.0,38602.0,1452800.0,-1.0,-1.0,518829.0,194284.0,27341.0,-1.0,11113.0,3140.0,400.0,-1,30.0,19453.0,-1.0,-1.0,-1.0,-1.0,-1.0,73186.0,-1.0,-1.0,-1.0,2800.0,-1.0,229706.0,2113.0,-1.0,-1.0,50000.0,399578.0,123207.0,11479.0,6000.0,14000.0,4000.0,512.0,4000.0,-1.0,-1.0,2218045.0,550.0,-1.0,-1.0,-1.0,19889.0,-1.0,-1.0,53680.0,59630.0,-1.0,-1.0,19053.0,283000.0,-1.0,22900.0,2215000.0,-1.0,9350.0,5141.0,-1.0,242.0
1978,-1.0,2967.0,-1.0,-1.0,-1,-1.0,3583900.0,-1.0,-1.0,-1.0,64167.0,-1.0,46963.0,2824666.0,-1.0,-1.0,412300.0,205795.0,18686.0,-1.0,9651.0,2690.0,350.0,-1,3.0,22601.0,-1.0,-1.0,-1.0,-1.0,-1.0,78709.0,-1.0,-1.0,-1.0,4200.0,-1.0,245160.0,2745.0,-1.0,-1.0,45000.0,336729.0,154548.0,11596.0,6000.0,14000.0,7900.0,625.0,6000.0,-1.0,-1.0,2599967.0,550.0,-1.0,-1.0,-1.0,34591.0,-1.0,-1.0,34360.0,69804.0,-1.0,-1.0,22251.0,269500.0,-1.0,31700.0,2597000.0,-1.0,9000.0,4795.0,-1.0,270.0
1979,-1.0,2382.0,-1.0,-1.0,-1,-1.0,3543500.0,-1.0,-1.0,-1.0,74148.0,-1.0,64540.0,3407400.0,-1.0,-1.0,433000.0,356000.0,11680.0,-1.0,6900.0,2600.0,400.0,-1,0.0,42010.0,-1.0,-1.0,-1.0,12000.0,-1.0,52056.0,-1.0,-1.0,-1.0,5600.0,-1.0,239792.0,1779.0,-1.0,-1.0,38000.0,180032.0,157024.0,11759.0,3000.0,11000.0,8300.0,396.0,8000.0,-1.0,-1.0,2760382.0,500.0,-1.0,-1.0,-1.0,41556.0,-1.0,-1.0,53900.0,33193.0,-1.0,-1.0,41610.0,245359.0,-1.0,32500.0,2758000.0,-1.0,27500.0,5330.0,-1.0,266.0
1980,-1.0,1973.0,-1.0,-1.0,-1,-1.0,3470500.0,-1.0,-1.0,3000.0,91774.0,-1.0,101919.0,2080055.0,-1.0,-1.0,409400.0,352000.0,14685.0,-1.0,7929.0,2420.0,350.0,-1,-1.0,23900.0,-1.0,-1.0,-1.0,15000.0,-1.0,90624.0,-1.0,-1.0,-1.0,29800.0,-1.0,262441.0,3941.0,-1.0,-1.0,20000.0,319834.0,174273.0,12899.0,3000.0,20000.0,14300.0,298.0,30000.0,-1.0,-1.0,2842973.0,800.0,-1.0,-1.0,-1.0,31595.0,-1.0,-1.0,50360.0,50599.0,-1.0,-1.0,23550.0,390300.0,-1.0,55300.0,2841000.0,-1.0,10000.0,5770.0,-1.0,326.0
1981,-1.0,1476.0,-1.0,-1.0,-1,-1.0,4112900.0,-1.0,-1.0,15000.0,125000.0,-1.0,128562.0,1401500.0,-1.0,-1.0,417000.0,372000.0,12315.0,-1.0,10936.0,2310.0,300.0,-1,-1.0,15964.0,-1.0,-1.0,-1.0,24000.0,-1.0,94682.0,-1.0,-1.0,-1.0,2100.0,-1.0,278905.0,4413.0,-1.0,400.0,30000.0,277311.0,162300.0,12880.0,3000.0,59300.0,13100.0,110.0,20100.0,-1.0,-1.0,3798476.0,1300.0,-1.0,-1.0,-1.0,31189.0,-1.0,-1.0,23880.0,56024.0,-1.0,-1.0,15664.0,461100.0,-1.0,55500.0,3797000.0,-1.0,6000.0,6499.0,-1.0,487.0
1982,-1.0,1326.0,-1.0,-1.0,-1,-1.0,4399300.0,-1.0,-1.0,17000.0,174000.0,-1.0,151437.0,1768500.0,-1.0,-1.0,390900.0,364000.0,10670.0,-1.0,10751.0,2090.0,250.0,-1,-1.0,12608.0,-1.0,-1.0,-1.0,22000.0,-1.0,95184.0,-1.0,-1.0,-1.0,2000.0,-1.0,309395.0,4080.0,-1.0,500.0,40000.0,258448.0,160400.0,12936.0,3000.0,100000.0,13900.0,69.0,20100.0,-1.0,-1.0,4119326.0,2000.0,-1.0,-1.0,-1.0,43624.0,-1.0,-1.0,10320.0,57814.0,-1.0,-1.0,12358.0,473000.0,-1.0,63700.0,4118000.0,-1.0,1700.0,7639.0,-1.0,1446.0
1983,-1.0,979.0,-1.0,-1.0,-1,-1.0,3826700.0,-1.0,-1.0,12000.0,222000.0,-1.0,162294.0,2313900.0,-1.0,-1.0,385500.0,356000.0,6926.0,-1.0,13208.0,1980.0,214.0,-1,-1.0,17988.0,-1.0,-1.0,-1.0,24000.0,-1.0,117217.0,-1.0,-1.0,-1.0,2000.0,-1.0,354016.0,4735.0,-1.0,500.0,53000.0,247042.0,170400.0,13798.0,2000.0,144000.0,23500.0,288.0,20200.0,-1.0,-1.0,3666679.0,2000.0,-1.0,-1.0,-1.0,46211.0,-1.0,-1.0,2730.0,52448.0,-1.0,-1.0,17774.0,470000.0,-1.0,60900.0,3665700.0,-1.0,253.0,7413.0,-1.0,3914.0
1984,-1.0,617.0,-1.0,-1.0,-1,-1.0,3873500.0,-1.0,-1.0,12000.0,269000.0,-1.0,191200.0,3071300.0,-1.0,-1.0,313300.0,364075.0,5684.0,-1.0,13162.0,1710.0,229.0,-1,-1.0,30251.0,-1.0,-1.0,-1.0,28000.0,-1.0,112785.0,-1.0,-1.0,-1.0,2000.0,-1.0,386376.0,4772.0,-1.0,600.0,40000.0,395607.0,168698.0,13738.0,2000.0,109000.0,49800.0,2145.0,8184.0,-1.0,-1.0,3413617.0,4000.0,-1.0,-1.0,-1.0,56365.0,-1.0,-1.0,4230.0,56942.0,-1.0,-1.0,30022.0,433100.0,-1.0,62000.0,3413000.0,-1.0,290.0,10040.0,-1.0,5034.0
1985,-1.0,485.0,-1.0,-1.0,-1,-1.0,3986900.0,-1.0,-1.0,12000.0,296000.0,-1.0,216821.0,2783300.0,-1.0,-1.0,346900.0,385149.0,4114.0,-1.0,10104.0,1570.0,336.0,-1,-1.0,74490.0,-1.0,-1.0,-1.0,33000.0,-1.0,115968.0,-1.0,-1.0,-1.0,2000.0,-1.0,409605.0,6324.0,-1.0,600.0,45000.0,467021.0,167600.0,14532.0,2.0,123000.0,59300.0,5927.0,9989.0,-1.0,-1.0,4494485.0,4000.0,-1.0,-1.0,-1.0,63019.0,-1.0,-1.0,19160.0,56113.0,-1.0,-1.0,74154.0,473700.0,-1.0,57700.0,4494000.0,-1.0,135.0,7680.0,-1.0,2406.0
1986,-1.0,540.0,-1.0,-1.0,-1,-1.0,3979000.0,-1.0,-1.0,12000.0,299000.0,-1.0,225995.0,2640000.0,-1.0,-1.0,350600.0,369616.0,3875.0,-1.0,5829.0,1330.0,3000.0,-1,-1.0,67963.0,-1.0,-1.0,-1.0,36000.0,-1.0,120760.0,-1.0,-1.0,-1.0,2000.0,-1.0,458716.0,8750.0,-1.0,600.0,53000.0,514859.0,169800.0,15810.0,28.0,144000.0,23500.0,22737.0,4933.0,-1.0,-1.0,4916540.0,2000.0,-1.0,-1.0,-1.0,56071.0,-1.0,-1.0,56980.0,57968.0,-1.0,-1.0,64963.0,392400.0,-1.0,74800.0,4916000.0,-1.0,101.0,6910.0,-1.0,3163.0
1987,-1.0,209.0,-1.0,-1.0,-1,-1.0,3718600.0,-1.0,-1.0,12000.0,388000.0,-1.0,250000.0,2670700.0,-1.0,-1.0,302800.0,342703.0,4601.0,-1.0,9704.0,1150.0,3692.0,-1,-1.0,61973.0,15300.0,-1.0,-1.0,42000.0,-1.0,127884.0,-1.0,-1.0,-1.0,2000.0,-1.0,576638.0,23102.0,-1.0,800.0,70000.0,498576.0,169259.0,16710.0,7.0,407000.0,12000.0,27770.0,6785.0,-1.0,-1.0,5267609.0,6000.0,-1.0,1400.0,-1.0,35613.0,-1.0,-1.0,46940.0,53938.0,-1.0,-1.0,58281.0,738000.0,-1.0,81000.0,5267400.0,-1.0,250.0,6380.0,-1.0,3914.0
1988,-1.0,110.0,-1.0,-1.0,-1,-1.0,4619200.0,-1.0,-1.0,12000.0,347000.0,-1.0,199000.0,3671800.0,-1.0,-1.0,268900.0,317863.0,4069.0,-1.0,7276.0,1030.0,3079.0,-1,-1.0,45995.0,12000.0,-1.0,-1.0,38000.0,-1.0,129636.0,-1.0,-1.0,-1.0,2000.0,-1.0,531666.0,31103.0,-1.0,440.0,110000.0,470481.0,149773.0,16860.0,4.0,607000.0,11900.0,23369.0,7093.0,-1.0,-1.0,4936110.0,4000.0,-1.0,1070.0,-1.0,28766.0,-1.0,-1.0,60290.0,38933.0,-1.0,-1.0,42916.0,830000.0,-1.0,86100.0,4936000.0,-1.0,1090.0,6300.0,-1.0,3458.0
1989,-1.0,24.0,-1.0,-1.0,-1,-1.0,4832200.0,-1.0,-1.0,12000.0,321000.0,-1.0,230000.0,2918000.0,-1.0,-1.0,333600.0,333959.0,3672.0,-1.0,6200.0,1040.0,1162.0,-1,-1.0,50897.0,33000.0,-1.0,-1.0,45000.0,-1.0,132581.0,-1.0,-1.0,-1.0,15300.0,-1.0,576681.0,35255.0,-1.0,1800.0,130000.0,569997.0,222800.0,16830.0,50.0,512000.0,19800.0,15633.0,11647.0,-1.0,-1.0,4992754.0,3000.0,-1.0,360.0,-1.0,31527.0,-1.0,-1.0,61120.0,51910.0,-1.0,-1.0,49735.0,657000.0,-1.0,73800.0,4992730.0,-1.0,3200.0,6096.0,-1.0,4920.0
1990,-1.0,64.0,-1.0,-1.0,-1,-1.0,4967000.0,-1.0,-1.0,12000.0,389900.0,-1.0,271000.0,2529000.0,-1.0,-1.0,307100.0,338406.0,3804.0,-1.0,8000.0,925.0,1000.0,-1,0.0,73886.0,31000.0,-1.0,-1.0,35000.0,-1.0,136844.0,-1.0,-1.0,-1.0,15000.0,-1.0,722393.0,40844.0,-1.0,4700.0,140000.0,500374.0,167904.0,16810.0,70.0,451000.0,13000.0,16762.0,24122.0,-1.0,-1.0,5503531.0,5400.0,-1.0,0.0,-1.0,33791.0,-1.0,-1.0,31950.0,59984.0,-1.0,-1.0,72886.0,679600.0,-1.0,65300.0,5503467.0,-1.0,2017.0,5170.0,-1.0,7221.0
1991,-1.0,48.0,-1.0,-1.0,-1,-1.0,5782100.0,-1.0,-1.0,11000.0,439900.0,-1.0,281000.0,3140500.0,-1.0,-1.0,303500.0,339127.0,2872.0,-1.0,7077.0,915.0,1000.0,-1,0.0,151665.0,65800.0,-1.0,-1.0,30000.0,-1.0,164989.0,-1.0,-1.0,-1.0,15700.0,-1.0,949537.0,46880.0,-1.0,2600.0,150000.0,467760.0,151000.0,16810.0,211.0,366000.0,8800.0,14434.0,11824.0,-1.0,-1.0,6133181.0,6200.0,-1.0,0.0,-1.0,15298.0,-1.0,-1.0,29480.0,66488.0,-1.0,-1.0,150665.0,719100.0,-1.0,61000.0,6133133.0,-1.0,521.0,4355.0,-1.0,10000.0
1992,-1.0,47.0,29000.0,11743.0,-1,-1.0,6553400.0,1543.0,-1.0,12000.0,421100.0,-1.0,170000.0,3045300.0,2205.0,-1.0,286500.0,339764.0,1603.0,-1.0,4234.0,827.0,1000.0,-1,0.0,108109.0,53000.0,-1.0,-1.0,20000.0,1978.0,168000.0,400.0,957.0,57425.0,41825.0,-1.0,1001369.0,52007.0,-1.0,1000.0,186216.0,417136.0,137000.0,16570.0,549.0,-1.0,1800.0,8146.0,8487.0,-1.0,1000.0,5975847.0,5900.0,1500.0,0.0,1300.0,-1.0,-1.0,-1.0,31570.0,34624.0,66500.0,2737.0,107109.0,665000.0,5200.0,72500.0,5975800.0,154260.0,500.0,5871.0,-1.0,8000.0
1993,-1.0,103.0,23000.0,13010.0,-1,-1.0,6193000.0,1311.0,-1.0,15000.0,418000.0,13000.0,164000.0,4103500.0,69.0,-1.0,284600.0,338176.0,1491.0,-1.0,2400.0,753.0,2000.0,-1,2500.0,178532.0,78150.0,-1.0,-1.0,16000.0,1654.0,-1.0,400.0,1933.0,37000.0,19485.0,-1.0,1007000.0,59090.0,-1.0,1000.0,-1.0,348441.0,145500.0,16550.0,621.0,-1.0,1500.0,5495.0,13319.0,-1.0,2000.0,5300103.0,3400.0,1000.0,-1.0,1700.0,-1.0,37242.0,166995.0,9530.0,22266.0,43500.0,2800.0,176532.0,550000.0,2000.0,69400.0,5300000.0,112040.0,5.0,8712.0,-1.0,6035.0
1994,-1.0,136.0,34000.0,13889.0,-1,-1.0,6289400.0,2752.0,-1.0,12000.0,491000.0,14000.0,169580.0,5765600.0,579.0,-1.0,268500.0,336544.0,1608.0,-1.0,1000.0,1000.0,2300.0,-1,5000.0,358534.0,140300.0,-1.0,-1.0,15000.0,2278.0,-1.0,400.0,2103.0,21000.0,7630.0,-1.0,1057600.0,71402.0,-1.0,2000.0,-1.0,370275.0,128500.0,14511.0,1801.0,-1.0,342.0,14028.0,69001.0,-1.0,1281.0,5783136.0,6400.0,1200.0,-1.0,2200.0,-1.0,44670.0,189913.0,10150.0,28389.0,39400.0,2646.0,356234.0,671000.0,12000.0,67100.0,5783000.0,147250.0,6.0,9880.0,-1.0,7839.0
1995,-1.0,12.0,48000.0,10982.0,-1,-1.0,6060000.0,5586.0,1000.0,7000.0,439000.0,14190.0,152073.0,5273000.0,131.0,-1.0,300600.0,337100.0,1981.0,-1.0,1494.0,551.0,2500.0,-1,6049.0,379058.0,174580.0,-1.0,-1.0,16000.0,296.0,-1.0,300.0,1625.0,46900.0,15750.0,-1.0,973886.0,87307.0,-1.0,2000.0,-1.0,606382.0,104643.0,14992.0,971.0,-1.0,303.0,46041.0,87600.0,-1.0,1237.0,6907012.0,4100.0,1100.0,-1.0,1100.0,-1.0,67477.0,252675.0,10210.0,45144.0,45800.0,6030.0,376558.0,864000.0,13900.0,85300.0,6907000.0,276410.0,7.0,8000.0,-1.0,9000.0
