,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Switzerland,USSR,Slovakia,United Kingdom,Denmark,Spain,Latvia,Kyrgyzstan,Austria,Hungary,New Zealand,Estonia,Australia & New Zealand,Lithuania,Finland,Netherlands,Russian Federation,Czechia,Norway,Republic of Moldova
1980,-1.0,80979.0,-1.0,9600.0,37023.0,-1.0,67000.0,-1.0,7400.0,100.0,-1.0,-1.0,-1.0,1187.0,13563.0,40.0,-1.0,40.0,-1.0,850.0,-1,-1.0,-1.0,3130.0,-1.0
1981,-1.0,61495.0,-1.0,8545.0,34254.0,-1.0,83000.0,-1.0,5800.0,465.0,-1.0,-1.0,-1.0,1028.0,14328.0,34.0,-1.0,34.0,-1.0,1180.0,-1,-1.0,-1.0,3274.0,-1.0
1982,-1.0,85348.0,-1.0,11516.0,35702.0,-1.0,55000.0,-1.0,7600.0,414.0,-1.0,-1.0,-1.0,1181.0,14162.0,50.0,-1.0,50.0,-1.0,720.0,-1,-1.0,-1.0,3200.0,-1.0
1983,-1.0,83841.0,-1.0,13621.0,40267.0,-1.0,60000.0,-1.0,7900.0,349.0,-1.0,-1.0,-1.0,1300.0,12934.0,50.0,-1.0,50.0,-1.0,1030.0,-1,-1.0,-1.0,3247.0,-1.0
1984,-1.0,90839.0,-1.0,12421.0,42560.0,-1.0,63000.0,-1.0,8200.0,0.0,-1.0,-1.0,-1.0,1395.0,12945.0,50.0,-1.0,50.0,-1.0,0.0,-1,-1.0,-1.0,3073.0,-1.0
1985,-1.0,88262.0,-1.0,12596.0,40465.0,56.0,65000.0,-1.0,7790.0,0.0,-1.0,-1.0,-1.0,1319.0,12004.0,40.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,3200.0,-1.0
1986,-1.0,95934.0,-1.0,12193.0,39309.0,56.0,70000.0,-1.0,6833.0,0.0,-1.0,-1.0,-1.0,1104.0,11419.0,20.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,3032.0,-1.0
1987,-1.0,101844.0,-1.0,13521.0,36853.0,55.0,75000.0,-1.0,6278.0,0.0,-1.0,-1.0,-1.0,1276.0,9748.0,15.0,-1.0,15.0,-1.0,-1.0,-1,-1.0,-1.0,3024.0,-1.0
1988,-1.0,104403.0,-1.0,13029.0,39960.0,55.0,76000.0,-1.0,5100.0,-1.0,-1.0,-1.0,-1.0,1351.0,8769.0,12.0,-1.0,12.0,-1.0,-1.0,-1,-1.0,-1.0,3227.0,-1.0
1989,-1.0,95689.0,-1.0,15043.0,41733.0,54.0,77000.0,-1.0,4072.0,-1.0,-1.0,-1.0,-1.0,1491.0,8642.0,12.0,-1.0,12.0,-1.0,-1.0,-1,-1.0,-1.0,3145.0,-1.0
1990,-1.0,84182.0,-1.0,13802.0,34848.0,54.0,50000.0,-1.0,2733.0,-1.0,0.0,-1.0,-1.0,1641.0,8220.0,10.0,-1.0,10.0,-1.0,-1.0,-1,-1.0,-1.0,3100.0,-1.0
1991,-1.0,74755.0,-1.0,13477.0,41616.0,16.0,50000.0,-1.0,3841.0,-1.0,0.0,-1.0,-1.0,1838.0,7846.0,12.0,-1.0,12.0,-1.0,29.0,-1,-1.0,-1.0,300.0,-1.0
1992,-1.0,82355.0,-1.0,14000.0,44974.0,42.0,-1.0,-1.0,4400.0,-1.0,0.0,-1.0,50.0,1909.0,8735.0,14.0,3600.0,14.0,-1.0,47.0,-1,26000.0,-1.0,790.0,2000.0
1993,-1.0,84000.0,-1.0,-1.0,46815.0,50.0,-1.0,1536.0,4000.0,-1.0,0.0,-1.0,30.0,1850.0,8375.0,16.0,2480.0,16.0,200.0,88.0,-1,30200.0,10284.0,315.0,3500.0
1994,-1.0,82400.0,-1.0,-1.0,42007.0,32.0,-1.0,1997.0,4200.0,-1.0,0.0,-1.0,30.0,1502.0,4700.0,25.0,2700.0,25.0,200.0,30.0,-1,30700.0,9919.0,318.0,2000.0
1995,4000.0,83000.0,-1.0,-1.0,42317.0,19.0,-1.0,1552.0,2500.0,-1.0,0.0,-1.0,30.0,1930.0,4000.0,37.0,1600.0,37.0,300.0,42.0,-1,32000.0,10413.0,320.0,2000.0
1996,4200.0,78887.0,-1.0,-1.0,42010.0,34.0,-1.0,1609.0,2400.0,-1.0,0.0,-1.0,20.0,1634.0,5457.0,30.0,603.0,30.0,300.0,74.0,-1,35000.0,10062.0,300.0,1500.0
1997,5700.0,66145.0,-1.0,-1.0,36014.0,24.0,-1.0,1409.0,1800.0,-1.0,0.0,-1.0,30.0,1633.0,10115.0,10.0,442.0,10.0,400.0,36.0,-1,36000.0,8532.0,250.0,400.0
1998,5800.0,75700.0,-1.0,-1.0,38090.0,43.0,-1.0,1193.0,1500.0,-1.0,0.0,-1.0,30.0,1673.0,5292.0,10.0,291.0,10.0,400.0,42.0,-1,36700.0,8805.0,200.0,100.0
1999,4500.0,84800.0,-1.0,-1.0,31463.0,37.0,-1.0,1170.0,1700.0,-1.0,0.0,300.0,30.0,1668.0,4641.0,10.0,267.0,10.0,200.0,35.0,-1,45000.0,8350.0,190.0,50.0
2000,8900.0,88200.0,200.0,-1.0,28514.0,46.0,-1.0,1277.0,1500.0,-1.0,0.0,600.0,50.0,1815.0,4649.0,10.0,498.0,10.0,200.0,60.0,-1,50000.0,6824.0,136.0,100.0
2001,8270.0,90300.0,100.0,-1.0,29622.0,46.0,-1.0,314.0,1380.0,-1.0,0.0,200.0,65.0,1694.0,3683.0,10.0,1347.0,10.0,200.0,47.0,-1,50000.0,4816.0,141.0,116.0
2002,5950.0,64700.0,100.0,-1.0,21738.0,37.0,-1.0,325.0,1580.0,-1.0,0.0,300.0,60.0,1535.0,3000.0,10.0,1088.0,10.0,300.0,45.0,-1,60100.0,4091.0,159.0,75.0
2003,7900.0,73800.0,100.0,-1.0,20345.0,53.0,-1.0,273.0,1610.0,137.0,0.0,441.0,50.0,1536.0,1842.0,10.0,775.0,10.0,243.0,33.0,-1,59030.0,4046.0,159.0,27.0
2004,7800.0,83800.0,100.0,-1.0,19896.0,69.0,-1.0,71.0,1610.0,115.0,0.0,597.0,60.0,1693.0,1875.0,10.0,487.0,10.0,203.0,34.0,-1,60500.0,4009.0,0.0,30.0
2005,8200.0,83137.0,100.0,-1.0,16719.0,54.0,-1.0,16.0,1610.0,115.0,0.0,826.0,50.0,1657.0,1305.0,11.0,74.0,11.0,274.0,33.0,-1,64000.0,3568.0,0.0,5.0
2006,6900.0,83137.0,100.0,-1.0,16223.0,66.0,-1.0,21.0,1860.0,115.0,0.0,434.0,100.0,1756.0,2050.0,11.0,52.0,11.0,341.0,51.0,-1,65000.0,2092.0,0.0,3.0
2007,6900.0,81808.0,100.0,-1.0,13736.0,69.0,-1.0,44.0,2300.0,100.0,0.0,311.0,100.0,1867.0,1151.0,11.0,69.0,11.0,216.0,47.0,-1,67000.0,3087.0,0.0,4.0
2008,6800.0,80910.0,100.0,-1.0,16156.0,50.0,-1.0,39.0,2200.0,156.0,0.0,12.0,100.0,1815.0,1700.0,11.0,121.0,11.0,270.0,30.0,-1,52000.0,3021.0,0.0,5.0
2009,6100.0,82000.0,100.0,-1.0,15787.0,74.0,-1.0,135.0,2600.0,197.0,0.0,4.0,100.0,1654.0,1870.0,11.0,117.0,11.0,347.0,67.0,-1,54000.0,3326.0,0.0,8.0
2010,6800.0,81671.0,99.0,-1.0,14189.0,77.0,-1.0,60.0,2550.0,249.0,0.0,5.0,100.0,1871.0,904.0,11.0,147.0,11.0,300.0,55.0,-1,48000.0,2811.0,33.0,5.0
2011,7300.0,81644.0,96.0,-1.0,14590.0,80.0,-1.0,35.0,2300.0,358.0,0.0,5.0,110.0,2359.0,829.0,11.0,141.0,11.0,300.0,71.0,-1,54000.0,2832.0,43.0,7.0
2012,7500.0,81489.0,90.0,-1.0,16318.0,67.0,-1.0,24.0,2222.0,436.0,0.0,3.0,115.0,1875.0,740.0,11.0,163.0,11.0,200.0,52.0,-1,51000.0,2620.0,59.0,2.0
2013,7300.0,82683.0,100.0,-1.0,14987.0,76.0,-1.0,23.0,2364.0,252.0,0.0,22.0,120.0,1895.0,870.0,11.0,141.0,11.0,100.0,52.0,-1,55000.0,2246.0,59.0,3.0
2014,6810.0,88191.0,100.0,-1.0,12448.0,71.0,-1.0,1.0,2406.0,259.0,0.0,37.0,120.0,1920.0,720.0,11.0,132.0,11.0,125.0,35.0,-1,55000.0,2125.0,59.0,15.0
