,Russian Federation,Portugal,Poland,Chile,Yugoslav SFR,Turkey,USSR,China,Serbia and Montenegro,Pakistan,"China, mainland",Czechoslovakia,France,Spain,Romania,Italy,Bulgaria,Ukraine,Hungary,Germany
1995,1748.0,,4667.0,9712.0,,2250.0,,16568.0,590.0,,16568.0,,6167.0,23333.0,636.0,,500.0,5714.0,8544.0,
1996,1150.0,,4000.0,9752.0,,1633.0,,18036.0,781.0,,18036.0,,5105.0,18778.0,606.0,,,1330.0,9699.0,
1997,1889.0,,3750.0,9791.0,,1438.0,,18817.0,777.0,,18817.0,,7094.0,20475.0,875.0,,208.0,1385.0,9019.0,
1998,2013.0,,5000.0,10114.0,,1238.0,,24631.0,758.0,,24631.0,,5591.0,21897.0,672.0,,240.0,1215.0,8931.0,
1999,2119.0,,4788.0,10056.0,,1026.0,,27032.0,672.0,,27032.0,,6864.0,23063.0,3554.0,,,1779.0,9942.0,
2000,2500.0,,4921.0,10000.0,,1586.0,,26804.0,411.0,,26804.0,,12500.0,24004.0,500.0,,,5172.0,8621.0,
2001,2222.0,,5030.0,10000.0,,2286.0,,16411.0,400.0,,16411.0,,30303.0,24753.0,900.0,,,4286.0,8971.0,
2002,2134.0,,5119.0,10000.0,,758.0,,20341.0,454.0,,20341.0,,39894.0,16123.0,1000.0,,,4615.0,4086.0,
2003,2080.0,,5175.0,10000.0,,1231.0,,26518.0,466.0,,26518.0,,63492.0,15284.0,833.0,,,4286.0,4211.0,
2004,2044.0,,5297.0,10000.0,,800.0,,24000.0,468.0,,24000.0,,70000.0,12496.0,1000.0,,,4615.0,5256.0,
2005,1938.0,,4961.0,10000.0,,2000.0,,37589.0,433.0,,37589.0,,69512.0,11540.0,1047.0,,,4854.0,5040.0,
2006,1667.0,,4929.0,9460.0,,2000.0,,29064.0,,,29064.0,,68530.0,10572.0,1027.0,,,4986.0,4537.0,
2007,2632.0,,4892.0,9141.0,,4286.0,,26888.0,,,26888.0,,68555.0,9712.0,1008.0,,,5131.0,4615.0,
2008,3559.0,,4854.0,8586.0,,4138.0,,25512.0,,,25512.0,,65517.0,8984.0,1002.0,,,5342.0,4480.0,
2009,1333.0,,4816.0,8180.0,,4545.0,,20946.0,,,20946.0,,76644.0,8370.0,996.0,,,5552.0,3899.0,
2010,1775.0,,4784.0,7772.0,,4545.0,,21300.0,,,21300.0,,69752.0,5000.0,990.0,,,5762.0,3561.0,
2011,2186.0,,4760.0,7384.0,,5000.0,,27723.0,,,27723.0,,66560.0,5000.0,984.0,,,5973.0,3129.0,
2012,2086.0,,5000.0,6591.0,,6667.0,,27462.0,,,27462.0,,79109.0,10000.0,979.0,,,6183.0,2780.0,
2013,3140.0,,5000.0,6591.0,,10000.0,,27205.0,,5701.0,27205.0,,64803.0,10909.0,973.0,,,6394.0,2440.0,
2014,2642.0,,4806.0,6536.0,,10000.0,,27301.0,,4943.0,27301.0,,77338.0,,967.0,,,6604.0,2312.0,
