,Costa Rica,India,Zambia,Dominica,Fiji,Peru,"China, Taiwan Province of",Bhutan,Nepal,Malaysia,Republic of Korea,Mexico,Dominican Republic,Ethiopia,Puerto Rico,Sri Lanka,Indonesia,China,Kenya,Pakistan,Côte d'Ivoire,Japan,Uganda,Réunion,Jamaica,United Republic of Tanzania,Trinidad and Tobago,Philippines,Guyana,United States of America,Bangladesh,Thailand,Ghana,Melanesia,"China, mainland",Madagascar,Nigeria,Saint Lucia,Cameroon,Mauritius
1971,-1.0,24590.0,-1,-1.0,19.0,-1.0,2463.0,-1.0,-1.0,700.0,535.0,-1.0,-1.0,-1.0,-1,3120.0,-1.0,2463.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1450.0,-1,-1.0,5018.0,4300.0,-1.0,19.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1972,-1.0,22880.0,-1,-1.0,19.0,-1.0,2364.0,-1.0,-1.0,750.0,654.0,-1.0,-1.0,-1.0,-1,2890.0,-1.0,2364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2820.0,-1,-1.0,4916.0,4400.0,-1.0,19.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1973,-1.0,24860.0,-1,-1.0,19.0,-1.0,2327.0,-1.0,-1.0,650.0,710.0,-1.0,-1.0,-1.0,-1,3525.0,-1.0,2327.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2890.0,-1,-1.0,5148.0,4582.0,-1.0,19.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1974,-1.0,24140.0,-1,-1.0,34.0,-1.0,2389.0,-1.0,-1.0,550.0,1136.0,-1.0,-1.0,-1.0,-1,3690.0,-1.0,2389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2850.0,-1,-1.0,5271.0,4629.0,-1.0,34.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1975,-1.0,27200.0,-1,-1.0,33.0,-1.0,1911.0,-1.0,-1.0,650.0,1758.0,-1.0,-1.0,-1.0,-1,4995.0,-1.0,1911.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4160.0,-1,-1.0,5405.0,6103.0,-1.0,33.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1976,-1.0,25650.0,-1,-1.0,41.0,-1.0,1365.0,-1.0,-1.0,650.0,2672.0,-1.0,-1.0,-1.0,-1,5197.0,-1.0,1365.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4390.0,-1,-1.0,5350.0,4770.0,-1.0,41.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1977,-1.0,36020.0,-1,-1.0,60.0,-1.0,2014.0,-1.0,-1.0,500.0,2327.0,-1.0,-1.0,-1.0,-1,4800.0,-1.0,2014.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4830.0,-1,-1.0,5306.0,5698.0,-1.0,60.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1978,-1.0,34330.0,-1,-1.0,80.0,-1.0,8089.0,-1.0,-1.0,700.0,2532.0,-1.0,-1.0,-1.0,-1,4000.0,-1.0,8089.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5020.0,-1,-1.0,5306.0,6510.0,-1.0,80.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0
1979,-1.0,40350.0,-1,-1.0,84.0,-1.0,7765.0,-1.0,-1.0,700.0,3769.0,-1.0,-1.0,-1.0,-1,3500.0,-1.0,7765.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5190.0,-1,-1.0,5625.0,6031.0,-1.0,84.0,-1.0,-1.0,200.0,-1.0,-1.0,-1.0
1980,-1.0,40450.0,-1,-1.0,78.0,-1.0,4615.0,300.0,-1.0,800.0,1912.0,-1.0,-1.0,-1.0,-1,3000.0,-1.0,4615.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5830.0,-1,-1.0,5706.0,6000.0,-1.0,78.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0
1981,-1.0,40710.0,-1,-1.0,134.0,-1.0,4395.0,350.0,-1.0,650.0,1049.0,-1.0,-1.0,-1.0,-1,2510.0,5800.0,4395.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5860.0,-1,-1.0,5486.0,6050.0,-1.0,134.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0
1982,-1.0,43830.0,-1,-1.0,127.0,-1.0,3735.0,380.0,-1.0,550.0,1652.0,-1.0,-1.0,-1.0,-1,2510.0,5900.0,3735.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5780.0,-1,-1.0,6532.0,6050.0,-1.0,127.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0
1983,-1.0,48960.0,-1,-1.0,125.0,-1.0,3472.0,400.0,-1.0,500.0,2296.0,-1.0,-1.0,-1.0,-1,2610.0,5900.0,3472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5800.0,-1,-1.0,6418.0,6100.0,-1.0,125.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0
1984,-1.0,55510.0,-1,-1.0,123.0,-1.0,3136.0,464.0,-1.0,1100.0,2937.0,-1.0,-1.0,-1.0,-1,3140.0,6000.0,3136.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5500.0,-1,-1.0,6311.0,6100.0,-1.0,123.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0
1985,-1.0,53520.0,-1,75.0,133.0,-1.0,2403.0,450.0,1100.0,950.0,2478.0,-1.0,350.0,-1.0,-1,2870.0,6000.0,5153.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,255.0,-1.0,-1.0,4260.0,-1,85.0,6236.0,6150.0,-1.0,133.0,2750.0,-1.0,16000.0,45.0,-1.0,90.0
1986,190.0,52650.0,-1,75.0,156.0,-1.0,2805.0,430.0,1600.0,950.0,3445.0,-1.0,350.0,-1.0,-1,3017.0,6100.0,5555.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,359.0,-1.0,-1.0,4260.0,-1,85.0,6330.0,6200.0,-1.0,156.0,2750.0,-1.0,30000.0,45.0,-1.0,90.0
1987,190.0,54240.0,-1,75.0,134.0,-1.0,3021.0,400.0,1600.0,900.0,4402.0,-1.0,350.0,-1.0,-1,2820.0,6500.0,5771.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,294.0,-1.0,-1.0,3960.0,-1,85.0,6172.0,6250.0,-1.0,134.0,2750.0,-1.0,42000.0,40.0,-1.0,90.0
1988,270.0,52000.0,-1,75.0,135.0,-1.0,2799.0,360.0,2200.0,910.0,4742.0,-1.0,350.0,-1.0,-1,2770.0,7300.0,5549.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,251.0,-1.0,-1.0,3530.0,-1,85.0,6271.0,8000.0,-1.0,135.0,2750.0,-1.0,56000.0,25.0,-1.0,100.0
1989,345.0,54000.0,-1,75.0,141.0,-1.0,2004.0,350.0,2700.0,970.0,3679.0,-1.0,350.0,-1.0,-1,2490.0,7200.0,4754.0,40.0,-1.0,-1.0,-1.0,-1.0,10.0,251.0,-1.0,-1.0,3590.0,-1,73.0,6475.0,8000.0,-1.0,141.0,2750.0,-1.0,70000.0,25.0,-1.0,110.0
1990,599.0,54000.0,-1,82.0,169.0,-1.0,1733.0,337.0,3200.0,1000.0,3741.0,-1.0,350.0,-1.0,-1,2040.0,9612.0,5333.0,41.0,-1.0,-1.0,1200.0,70.0,10.0,274.0,-1.0,-1.0,3519.0,-1,80.0,6967.0,9000.0,-1.0,169.0,3600.0,-1.0,84000.0,27.0,100.0,140.0
1991,599.0,60000.0,-1,45.0,201.0,-1.0,2238.0,586.0,4200.0,1100.0,4130.0,-1.0,350.0,-1.0,-1,1610.0,9215.0,6938.0,54.0,-1.0,-1.0,1200.0,55.0,10.0,305.0,-1.0,-1.0,3515.0,-1,101.0,7017.0,9600.0,-1.0,201.0,4700.0,-1.0,100000.0,25.0,200.0,115.0
1992,599.0,59900.0,-1,35.0,149.0,-1.0,2013.0,597.0,4800.0,1300.0,5264.0,10.0,350.0,-1.0,-1,1320.0,9546.0,7713.0,50.0,-1.0,-1.0,1243.0,50.0,10.0,255.0,-1.0,-1.0,3519.0,-1,117.0,7056.0,11000.0,-1.0,149.0,5700.0,8.0,110000.0,20.0,300.0,100.0
1993,285.0,60580.0,-1,35.0,96.0,-1.0,1711.0,616.0,5300.0,1500.0,4493.0,15.0,350.0,119.0,-1,760.0,9143.0,9711.0,65.0,-1.0,-1.0,1300.0,90.0,10.0,205.0,-1.0,-1.0,3461.0,-1,150.0,7064.0,10000.0,-1.0,96.0,8000.0,11.0,120000.0,21.0,400.0,51.0
1994,600.0,87500.0,-1,38.0,78.0,-1.0,1681.0,635.0,5490.0,1597.0,5858.0,12.0,350.0,181.0,-1,1461.0,9924.0,11781.0,60.0,112.0,-1.0,1314.0,30.0,10.0,206.0,-1.0,-1.0,3518.0,-1,60.0,6900.0,9000.0,-1.0,78.0,10100.0,9.0,129000.0,25.0,500.0,65.0
1995,1033.0,90000.0,-1,41.0,58.0,-1.0,1302.0,659.0,5800.0,1700.0,6429.0,12.0,350.0,375.0,-1,1600.0,10000.0,12502.0,55.0,72.0,-1.0,1334.0,23.0,10.0,161.0,-1.0,-1.0,3543.0,-1,50.0,6900.0,8312.0,-1.0,58.0,11200.0,8.0,148000.0,26.0,600.0,75.0
1996,923.0,70300.0,-1,42.0,65.0,-1.0,1535.0,680.0,6400.0,1560.0,3008.0,11.0,350.0,348.0,-1,1620.0,9897.0,13535.0,58.0,76.0,-1.0,1356.0,50.0,15.0,182.0,-1.0,-1.0,3571.0,-1,80.0,7700.0,8512.0,50.0,65.0,12000.0,8.0,159000.0,27.0,780.0,90.0
1997,1195.0,76000.0,-1,43.0,73.0,-1.0,1598.0,701.0,7051.0,1400.0,3625.0,11.0,350.0,482.0,-1,1490.0,9885.0,15598.0,65.0,77.0,400.0,1379.0,48.0,15.0,204.0,4.0,-1.0,3348.0,-1,110.0,7700.0,8189.0,60.0,73.0,14000.0,8.0,163000.0,16.0,960.0,35.0
1998,1640.0,78000.0,-1,43.0,95.0,-1.0,1462.0,726.0,8821.0,1300.0,5187.0,5.0,320.0,620.0,-1,1550.0,8000.0,16962.0,58.0,79.0,441.0,1400.0,40.0,20.0,170.0,25.0,-1.0,2929.0,-1,150.0,7700.0,8492.0,59.0,95.0,15500.0,8.0,166000.0,12.0,1150.0,45.0
1999,110.0,77600.0,-1,43.0,71.0,-1.0,1211.0,772.0,8821.0,1000.0,4255.0,267.0,320.0,750.0,-1,1567.0,17000.0,17711.0,55.0,82.0,456.0,1427.0,50.0,19.0,108.0,35.0,26.0,3279.0,-1,140.0,6879.0,8500.0,61.0,71.0,16500.0,8.0,153000.0,6.0,1370.0,15.0
2000,361.0,70000.0,-1,44.0,98.0,-1.0,1173.0,656.0,8314.0,799.0,1656.0,100.0,240.0,900.0,-1,1490.0,18600.0,19173.0,55.0,77.0,472.0,1449.0,51.0,18.0,102.0,25.0,13.0,3583.0,-1,109.0,6879.0,8111.0,65.0,98.0,18000.0,8.0,158000.0,4.0,1371.0,40.0
2001,497.0,70081.0,-1,44.0,40.0,-1.0,1088.0,550.0,8956.0,992.0,1926.0,21.0,240.0,1050.0,-1,1210.0,21000.0,21088.0,51.0,79.0,488.0,1464.0,51.0,6.0,110.0,18.0,116.0,3681.0,-1,146.0,7290.0,9927.0,63.0,40.0,20000.0,8.0,160000.0,4.0,1377.0,52.0
2002,354.0,80469.0,-1,44.0,100.0,-1.0,1002.0,650.0,9189.0,943.0,2705.0,86.0,220.0,1200.0,-1,1290.0,18000.0,23002.0,53.0,94.0,504.0,1460.0,51.0,6.0,129.0,25.0,78.0,3643.0,-1,130.0,7689.0,13533.0,64.0,100.0,22000.0,9.0,162000.0,4.0,1391.0,31.0
2003,187.0,88200.0,-1,50.0,89.0,-1.0,1147.0,850.0,11830.0,900.0,1710.0,267.0,220.0,1500.0,-1,1250.0,16000.0,24006.0,53.0,119.0,520.0,1450.0,52.0,6.0,133.0,22.0,80.0,3611.0,-1,65.0,7573.0,10042.0,65.0,89.0,22859.0,10.0,167000.0,4.0,1405.0,29.0
2004,110.0,85100.0,-1,46.0,108.0,-1.0,1358.0,1423.0,11930.0,926.0,1662.0,256.0,190.0,2000.0,-1,1296.0,15000.0,23486.0,51.0,97.0,538.0,1900.0,50.0,8.0,145.0,15.0,83.0,3795.0,-1,61.0,7917.0,6673.0,64.0,108.0,22128.0,12.0,170000.0,4.0,1419.0,38.0
2005,264.0,95300.0,-1,46.0,104.0,-1.0,1373.0,985.0,12000.0,890.0,2264.0,256.0,190.0,2100.0,-1,1350.0,16000.0,24373.0,49.0,109.0,574.0,1840.0,50.0,10.0,152.0,18.0,103.0,3873.0,-1,49.0,7715.0,7855.0,66.0,104.0,23000.0,16.0,181000.0,5.0,1938.0,54.0
2006,198.0,110600.0,-1,47.0,92.0,-1.0,1119.0,1790.0,12994.0,871.0,1795.0,175.0,160.0,2400.0,-1,1360.0,38800.0,28119.0,48.0,80.0,597.0,1810.0,49.0,10.0,107.0,20.0,119.0,3941.0,-1,40.0,8093.0,8208.0,70.0,92.0,27000.0,8.0,191000.0,4.0,1941.0,52.0
2007,107.0,106100.0,-1,48.0,89.0,40.0,1128.0,2063.0,13025.0,880.0,2133.0,175.0,120.0,2700.0,-1,1530.0,51000.0,27128.0,55.0,121.0,621.0,1870.0,50.0,10.0,105.0,22.0,167.0,3974.0,-1,32.0,8338.0,9048.0,70.0,89.0,26000.0,8.0,48660.0,5.0,1709.0,81.0
2008,66.0,104360.0,-1,49.0,70.0,80.0,1198.0,1800.0,14007.0,1089.0,1301.0,90.0,114.0,3000.0,-1,1910.0,36000.0,28198.0,55.0,195.0,620.0,1920.0,48.0,9.0,106.0,22.0,192.0,3926.0,-1,24.0,9416.0,9855.0,70.0,70.0,27000.0,21.0,55690.0,5.0,1798.0,53.0
2009,110.0,108640.0,-1,49.0,87.0,100.0,1136.0,1033.0,15838.0,1198.0,1278.0,90.0,170.0,3300.0,-1,1890.0,27000.0,35136.0,60.0,269.0,614.0,1980.0,45.0,6.0,149.0,28.0,204.0,3948.0,-1,24.0,9017.0,10081.0,70.0,87.0,34000.0,11.0,52330.0,7.0,4409.0,35.0
2010,127.0,107540.0,-1,50.0,66.0,310.0,1198.0,877.0,18041.0,1061.0,2085.0,90.0,85.0,3320.0,-1,2070.0,13067.0,36198.0,62.0,247.0,562.0,1980.0,48.0,5.0,148.0,18.0,249.0,3967.0,-1,25.0,9066.0,10248.0,70.0,66.0,35000.0,11.0,52330.0,8.0,4629.0,62.0
2011,124.0,149100.0,-1,51.0,73.0,310.0,1256.0,1446.0,19081.0,864.0,2074.0,97.0,173.0,3331.0,-1,2400.0,7219.0,39256.0,65.0,22.0,485.0,1950.0,50.0,4.0,162.0,14.0,292.0,4037.0,-1,24.0,9116.0,9757.0,70.0,73.0,38000.0,14.0,48910.0,10.0,6413.0,43.0
2012,153.0,155000.0,-1,50.0,174.0,310.0,1166.0,803.0,20256.0,903.0,1657.0,127.0,102.0,3500.0,-1,2660.0,6606.0,46166.0,24.0,249.0,486.0,1927.0,50.0,4.0,219.0,12.0,301.0,4004.0,-1,22.0,8704.0,9583.0,77.0,174.0,45000.0,15.0,94000.0,12.0,5677.0,71.0
2013,153.0,136000.0,-1,56.0,147.0,480.0,1181.0,948.0,19376.0,893.0,1787.0,106.0,38.0,3500.0,-1,2275.0,7445.0,38181.0,25.0,280.0,507.0,1939.0,47.0,3.0,248.0,13.0,396.0,3963.0,-1,22.0,8941.0,9730.0,80.0,147.0,37000.0,15.0,124100.0,13.0,6120.0,59.0
2014,160.0,133000.0,-1,47.0,118.0,582.0,1204.0,1040.0,24226.0,1048.0,2178.0,90.0,69.0,3244.0,-1,2147.0,10279.0,39875.0,29.0,282.0,543.0,1996.0,47.0,3.0,389.0,15.0,315.0,3850.0,-1,22.0,9498.0,9693.0,82.0,118.0,38670.0,15.0,145180.0,12.0,6616.0,34.0
