,USSR,Romania,Syrian Arab Republic,Australia & New Zealand,Australia,Iraq,Mexico,The former Yugoslav Republic of Macedonia,Belgium,Uruguay,Switzerland,South Africa,Italy,Serbia,Lebanon,Croatia,Slovenia,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Argentina,Spain,Kyrgyzstan,New Zealand,Cyprus,Austria,Israel,Japan,Republic of Moldova,Turkey,Belarus,Belgium-Luxembourg,Ethiopia PDR,Egypt,Georgia,Greece,Azerbaijan,France,Ukraine,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Latvia,China,"China, mainland",Yemen,Algeria,Kazakhstan,Lithuania,Portugal,Brazil
1971,59000.0,22000.0,702.0,784.0,584.0,418.0,21639.0,,,6800.0,-1.0,1139.0,9950.0,,3699.0,,,1000.0,,-1.0,,,600.0,12.0,,20300.0,10076.0,,200.0,356.0,,1000.0,-1.0,,34000.0,,150.0,,,,15128.0,,2170.0,,2600.0,,6054.0,,42510.0,1080.0,12909.0,17000.0,8525.0,,,,,-1.0,,,9040.0,13645.0
1972,52000.0,18300.0,710.0,586.0,495.0,600.0,19750.0,,,6900.0,-1.0,1025.0,8650.0,,4336.0,,,1000.0,,-1.0,,,800.0,11.0,,18600.0,8455.0,,91.0,330.0,,1100.0,-1.0,,39000.0,,150.0,,,,16343.0,,1960.0,,4100.0,,5855.0,,37822.0,1140.0,13323.0,17000.0,8996.0,,,,,-1.0,,,9870.0,16478.0
1973,65000.0,13000.0,755.0,527.0,436.0,750.0,19992.0,,,7000.0,-1.0,1228.0,8080.0,,4671.0,,,1000.0,,-1.0,,,1000.0,8.0,,9200.0,11121.0,,91.0,254.0,,1100.0,-1.0,,35000.0,,150.0,,,,16167.0,,3074.0,,5500.0,,5946.0,,37262.0,1200.0,14664.0,18000.0,8943.0,,,,,-1.0,,,4020.0,11938.0
1974,56000.0,13000.0,728.0,523.0,473.0,1000.0,20846.0,,,7000.0,-1.0,1311.0,7350.0,,3270.0,,,1200.0,,-1.0,,,1200.0,20.0,,22400.0,11276.0,,50.0,152.0,,950.0,-1.0,,37000.0,,150.0,,,,14109.0,,1793.0,,4400.0,,5213.0,,24835.0,1220.0,14116.0,18000.0,9258.0,,,,,-1.0,,,7284.0,15480.0
1975,68000.0,20000.0,710.0,392.0,292.0,1100.0,21239.0,,,7000.0,-1.0,1245.0,5890.0,,3000.0,,,1200.0,,-1.0,,,1400.0,43.0,,19400.0,11848.0,,100.0,356.0,,900.0,-1.0,,40000.0,,150.0,,,,14794.0,,1642.0,,5200.0,,5030.0,,53022.0,1330.0,10486.0,19000.0,9271.0,,,,,-1.0,,,6834.0,16872.0
1976,76000.0,13000.0,622.0,454.0,364.0,1400.0,20524.0,,,6500.0,-1.0,1240.0,5610.0,,3000.0,,,1600.0,,-1.0,,,1600.0,212.0,,19900.0,11082.0,,90.0,305.0,,1050.0,-1.0,,43000.0,,150.0,,,,13306.0,,2940.0,,6250.0,,5373.0,,32270.0,1320.0,13675.0,19000.0,9255.0,,,,,-1.0,,,7517.0,15714.0
1977,83000.0,19000.0,633.0,377.0,327.0,1600.0,19847.0,,,6000.0,-1.0,1167.0,5000.0,,3000.0,,,1600.0,,-1.0,,,1800.0,61.0,,20000.0,10573.0,,50.0,203.0,,900.0,-1.0,,46000.0,,150.0,1650.0,,,11965.0,,1660.0,,5500.0,,4745.0,,26803.0,1320.0,9255.0,20000.0,8521.0,,,,,-1.0,,,4360.0,14843.0
1978,67000.0,15700.0,598.0,345.0,275.0,1790.0,17714.0,,,6000.0,-1.0,1432.0,4800.0,,5000.0,,,1800.0,,-1.0,,,2000.0,82.0,,16000.0,9942.0,,70.0,203.0,,750.0,-1.0,,41000.0,,150.0,100.0,,,11511.0,,2750.0,,7000.0,,4222.0,,23642.0,2775.0,8092.0,20000.0,8306.0,,,,,-1.0,,,5406.0,14884.0
1979,41000.0,21000.0,982.0,401.0,331.0,1800.0,19074.0,,,6143.0,-1.0,1255.0,4440.0,,3000.0,,,1800.0,,-1.0,,,2500.0,157.0,,19500.0,11014.0,,70.0,183.0,,900.0,-1.0,,45000.0,,150.0,,,,10370.0,,2581.0,,6000.0,,3512.0,,21312.0,2610.0,6842.0,20000.0,8156.0,,,,200.0,-1.0,,,6916.0,15121.0
1980,16000.0,16500.0,1341.0,210.0,140.0,1800.0,23522.0,,,5684.0,-1.0,1085.0,4510.0,,2500.0,,,1600.0,,-1.0,,,3000.0,104.0,,17000.0,11620.0,,70.0,152.0,,950.0,-1.0,,50000.0,,150.0,,5.0,,10950.0,,3000.0,,7000.0,,3291.0,,20206.0,2810.0,9303.0,21000.0,8974.0,,,,200.0,-1.0,,,8223.0,14081.0
1981,40000.0,15000.0,1500.0,271.0,191.0,1800.0,28479.0,,,5000.0,-1.0,831.0,4280.0,,2000.0,,,1100.0,,-1.0,,,3000.0,13.0,,17600.0,11366.0,,80.0,152.0,,1000.0,-1.0,,56000.0,,100.0,,5.0,,12408.0,,2500.0,,5000.0,,3621.0,,27099.0,2610.0,13743.0,22000.0,8812.0,,,,192.0,-1.0,,,7497.0,12674.0
1982,20800.0,23000.0,1724.0,261.0,181.0,1900.0,33613.0,,,4530.0,-1.0,726.0,3790.0,,2400.0,,,1100.0,,-1.0,,,3000.0,14.0,,12500.0,11369.0,,80.0,173.0,,1000.0,-1.0,,62000.0,,150.0,,6.0,,12528.0,,3400.0,,5140.0,,3999.0,,24608.0,2775.0,14673.0,26768.0,9065.0,,,,201.0,-1.0,,,8097.0,13291.0
1983,50000.0,22200.0,1300.0,270.0,150.0,1800.0,24834.0,,,5430.0,-1.0,682.0,2450.0,,3500.0,,,1000.0,,-1.0,,,5000.0,62.0,,17000.0,10753.0,,120.0,170.0,,1400.0,-1.0,,63000.0,,150.0,,7.0,,13555.0,,3000.0,,7130.0,,3307.0,,28893.0,2507.0,15454.0,38663.0,8555.0,,,,201.0,-1.0,,,8907.0,12345.0
1984,41000.0,18000.0,1300.0,197.0,77.0,1900.0,13185.0,,,3500.0,-1.0,591.0,2310.0,,5000.0,,,900.0,,-1.0,,,7000.0,47.0,,20300.0,10888.0,,120.0,130.0,,1400.0,-1.0,,59000.0,,200.0,,8.0,,12559.0,,3115.0,,7500.0,,3547.0,,25218.0,2635.0,11233.0,33095.0,8922.0,,,,209.0,-1.0,,,6680.0,10686.0
1985,50000.0,26000.0,1600.0,293.0,113.0,1900.0,10073.0,,,4000.0,500.0,431.0,2420.0,,6000.0,,,800.0,,-1.0,,,8000.0,28.0,,20500.0,12193.0,,180.0,120.0,,1300.0,-1.0,,68000.0,,200.0,,10.0,,12600.0,,3006.0,,8000.0,,3611.0,,25222.0,2600.0,10647.0,33000.0,8047.0,,2000.0,2000.0,218.0,-1.0,,,6546.0,10425.0
1986,50000.0,20000.0,1500.0,360.0,120.0,2000.0,5609.0,,,6500.0,1000.0,383.0,1020.0,,7500.0,,,1500.0,,-1.0,,,8000.0,20.0,,18800.0,10942.0,,240.0,70.0,,1500.0,-1.0,,75000.0,,300.0,,15.0,,12610.0,,2665.0,,8500.0,,3505.0,,29482.0,2582.0,13840.0,36491.0,8045.0,,2500.0,2500.0,247.0,-1.0,,,5237.0,8241.0
1987,40000.0,15000.0,1589.0,1623.0,123.0,2000.0,3761.0,,,4500.0,650.0,534.0,1050.0,,9000.0,,,1200.0,,-1.0,,,8000.0,100.0,,14250.0,10920.0,,1500.0,100.0,,1600.0,-1.0,,71000.0,,300.0,,20.0,,9711.0,,2209.0,,8900.0,,3346.0,,23418.0,2564.0,13589.0,29238.0,7965.0,,3000.0,3000.0,287.0,-1.0,,,5813.0,7050.0
1988,50000.0,14000.0,2100.0,813.0,113.0,2050.0,7939.0,,,6000.0,1000.0,497.0,980.0,,11000.0,,,1200.0,,-1.0,,,16000.0,100.0,,20400.0,11157.0,,700.0,100.0,,1787.0,-1.0,,78000.0,,300.0,,23.0,,11209.0,,1916.0,,3900.0,,3109.0,,21621.0,2900.0,13243.0,29185.0,8029.0,,3000.0,3000.0,316.0,-1.0,,,5000.0,5970.0
1989,53000.0,20000.0,1900.0,573.0,73.0,2100.0,6418.0,,,6200.0,750.0,439.0,960.0,,12500.0,,,1500.0,,-1.0,,,17000.0,31.0,,20800.0,11735.0,,500.0,60.0,,1597.0,-1.0,,75000.0,,300.0,,23.0,,11371.0,,2272.0,,3500.0,,2850.0,,24348.0,2800.0,17720.0,21774.0,8028.0,,2800.0,2800.0,546.0,-1.0,,,5500.0,5827.0
1990,50000.0,20000.0,2600.0,813.0,63.0,2150.0,8126.0,,,7602.0,1316.0,443.0,1000.0,,14000.0,,,1100.0,,-1.0,,,22700.0,62.0,,19450.0,11636.0,,750.0,75.0,,1740.0,-1.0,,79000.0,,229.0,0.0,18.0,,10060.0,,2335.0,,3500.0,,2903.0,,22600.0,2870.0,14685.0,22179.0,5844.0,,3000.0,3000.0,555.0,-1.0,,,4900.0,4901.0
1991,17647.0,12500.0,2600.0,708.0,58.0,1650.0,8618.0,,,7400.0,562.0,403.0,880.0,,15078.0,,,500.0,,-1.0,,,24500.0,95.0,,21000.0,12208.0,,650.0,70.0,,1400.0,-1.0,,78000.0,,400.0,0.0,18.0,,7200.0,,1177.0,,2500.0,,2711.0,,18386.0,3070.0,13874.0,23766.0,5695.0,,5000.0,5000.0,526.0,-1.0,,,3300.0,4818.0
1992,,10000.0,3826.0,795.0,83.0,2000.0,10334.0,1223.0,,7154.0,1374.0,494.0,969.0,,15883.0,570.0,66.0,561.0,20000.0,-1.0,13315.0,-1.0,24000.0,100.0,,22000.0,12268.0,1500.0,712.0,75.0,,1600.0,-1.0,500.0,80000.0,-1.0,500.0,0.0,32.0,-1.0,6600.0,-1.0,2248.0,-1.0,3300.0,-1.0,3251.0,3750.0,10000.0,3065.0,,26658.0,5679.0,-1.0,8000.0,8000.0,526.0,-1.0,300.0,-1.0,4000.0,4589.0
1993,,7500.0,5500.0,969.0,269.0,2200.0,9466.0,1052.0,,7200.0,934.0,456.0,909.0,,16500.0,634.0,83.0,700.0,21045.0,-1.0,14814.0,-1.0,22200.0,126.0,,23000.0,11021.0,1000.0,700.0,75.0,,1500.0,-1.0,1500.0,78000.0,-1.0,1400.0,,28.0,-1.0,8427.0,-1.0,1328.0,-1.0,5000.0,-1.0,2950.0,3400.0,6000.0,3170.0,,29395.0,5812.0,-1.0,20000.0,20000.0,557.0,-1.0,677.0,-1.0,3380.0,4775.0
1994,,7000.0,5677.0,750.0,-1.0,2100.0,6813.0,780.0,,7000.0,925.0,641.0,1099.0,,17500.0,566.0,418.0,800.0,21519.0,101.0,10473.0,-1.0,28000.0,154.0,,24000.0,9113.0,1550.0,750.0,80.0,,1500.0,-1.0,500.0,82000.0,-1.0,400.0,,30.0,-1.0,8258.0,-1.0,1926.0,-1.0,2600.0,-1.0,2400.0,2400.0,8000.0,3220.0,,27500.0,5874.0,-1.0,23600.0,23600.0,416.0,-1.0,699.0,-1.0,4000.0,4286.0
1995,,5000.0,5329.0,784.0,-1.0,2150.0,7902.0,672.0,,7182.0,856.0,277.0,572.0,,17800.0,600.0,70.0,700.0,22766.0,206.0,10007.0,-1.0,20000.0,150.0,,23979.0,8391.0,900.0,784.0,80.0,,1400.0,-1.0,287.0,71000.0,-1.0,590.0,,28.0,-1.0,7229.0,-1.0,2442.0,-1.0,3000.0,-1.0,2300.0,3000.0,5000.0,2000.0,,34749.0,5463.0,-1.0,33000.0,33000.0,408.0,-1.0,725.0,-1.0,2100.0,4300.0
1996,,5000.0,7060.0,800.0,-1.0,2100.0,6273.0,825.0,,7326.0,903.0,300.0,700.0,,17951.0,608.0,53.0,650.0,20847.0,104.0,16008.0,-1.0,25900.0,-1.0,,24180.0,8492.0,800.0,800.0,75.0,-1.0,1300.0,-1.0,2100.0,85000.0,-1.0,598.0,,29.0,-1.0,7188.0,-1.0,2435.0,-1.0,4000.0,-1.0,2400.0,4000.0,6000.0,1800.0,,34696.0,5728.0,-1.0,37000.0,37000.0,426.0,2388.0,726.0,-1.0,1900.0,4300.0
1997,,8000.0,6600.0,833.0,-1.0,2000.0,7035.0,932.0,,7500.0,1000.0,335.0,600.0,,-1.0,597.0,-1.0,622.0,21322.0,67.0,14286.0,-1.0,24500.0,-1.0,,24521.0,7000.0,800.0,833.0,80.0,-1.0,1200.0,-1.0,3000.0,95000.0,-1.0,610.0,,30.0,-1.0,6625.0,-1.0,1964.0,-1.0,4400.0,-1.0,2000.0,4000.0,5500.0,1500.0,,29000.0,5920.0,350.0,50000.0,50000.0,420.0,2519.0,500.0,-1.0,1800.0,4300.0
1998,,7000.0,6700.0,850.0,-1.0,2100.0,11338.0,963.0,,7589.0,1044.0,286.0,700.0,,-1.0,572.0,-1.0,600.0,21000.0,60.0,12579.0,-1.0,29500.0,-1.0,,24860.0,4587.0,1000.0,850.0,70.0,,1000.0,-1.0,2080.0,95000.0,-1.0,900.0,,32.0,5734.0,6514.0,20600.0,2119.0,-1.0,4700.0,-1.0,2300.0,4300.0,5900.0,1200.0,,30000.0,3702.0,400.0,63000.0,63000.0,456.0,2072.0,800.0,-1.0,1800.0,4500.0
1999,,6500.0,8119.0,883.0,-1.0,1900.0,9798.0,946.0,,7779.0,1051.0,310.0,921.0,,-1.0,500.0,-1.0,733.0,20000.0,73.0,11375.0,-1.0,30900.0,-1.0,,25000.0,5000.0,1600.0,883.0,80.0,,1000.0,-1.0,2590.0,92000.0,-1.0,400.0,,35.0,6121.0,6437.0,22600.0,2189.0,-1.0,5000.0,-1.0,2400.0,4000.0,4800.0,900.0,,28000.0,4977.0,300.0,80000.0,80000.0,490.0,1902.0,900.0,100.0,2400.0,4500.0
2000,,7000.0,8245.0,900.0,-1.0,1850.0,9808.0,983.0,400.0,8000.0,998.0,321.0,418.0,,-1.0,900.0,-1.0,841.0,20000.0,64.0,11989.0,-1.0,20100.0,-1.0,,25442.0,4000.0,1500.0,900.0,80.0,,1000.0,-1.0,1400.0,105000.0,-1.0,,,35.0,5170.0,6429.0,24500.0,2318.0,7800.0,5000.0,-1.0,2200.0,5000.0,5000.0,800.0,,26000.0,5969.0,300.0,85000.0,85000.0,611.0,1992.0,2500.0,200.0,2200.0,4600.0
2001,,7500.0,7000.0,1000.0,-1.0,1800.0,9570.0,950.0,400.0,8492.0,689.0,179.0,414.0,,-1.0,600.0,-1.0,1071.0,22000.0,71.0,10401.0,-1.0,24900.0,-1.0,,25677.0,8296.0,2000.0,1000.0,70.0,,1269.0,-1.0,2600.0,102000.0,-1.0,,,36.0,4100.0,5927.0,23800.0,2279.0,7600.0,4500.0,-1.0,3000.0,5000.0,4000.0,700.0,,25000.0,5191.0,300.0,90000.0,90000.0,746.0,2317.0,800.0,300.0,2100.0,4600.0
2002,,6500.0,4700.0,962.0,-1.0,1700.0,11149.0,900.0,921.0,9500.0,570.0,212.0,604.0,,-1.0,600.0,-1.0,1000.0,25000.0,77.0,8067.0,-1.0,28100.0,-1.0,,26000.0,10749.0,1800.0,962.0,70.0,,1347.0,-1.0,2700.0,110000.0,-1.0,,,37.0,2739.0,5446.0,20200.0,2390.0,7500.0,4200.0,-1.0,2000.0,4630.0,3000.0,600.0,,28916.0,5362.0,400.0,88000.0,88000.0,823.0,2329.0,1700.0,300.0,2100.0,900.0
2003,,8200.0,4300.0,986.0,-1.0,1400.0,6617.0,917.0,1222.0,9029.0,619.0,151.0,515.0,,-1.0,700.0,-1.0,600.0,26000.0,74.0,15066.0,-1.0,29900.0,-1.0,,25956.0,14189.0,1500.0,986.0,70.0,,980.0,616.0,1900.0,110000.0,1200.0,,,36.0,5460.0,4988.0,21090.0,1577.0,9300.0,3800.0,-1.0,1000.0,5250.0,1588.0,449.0,,32330.0,5954.0,202.0,90000.0,90000.0,973.0,3071.0,1600.0,339.0,2100.0,1266.0
2004,,8000.0,3900.0,1011.0,-1.0,1500.0,6185.0,948.0,1540.0,9000.0,688.0,133.0,608.0,,-1.0,500.0,-1.0,500.0,28000.0,85.0,11620.0,-1.0,39000.0,-1.0,,25667.0,17285.0,2000.0,1011.0,77.0,,700.0,441.0,1500.0,80000.0,2270.0,,,37.0,3165.0,5333.0,16501.0,3813.0,5200.0,4000.0,-1.0,910.0,7310.0,515.0,457.0,,37016.0,5243.0,170.0,84500.0,84500.0,1198.0,4455.0,2500.0,269.0,2300.0,1248.0
2005,,7837.0,4800.0,1036.0,-1.0,1600.0,4868.0,933.0,1715.0,7358.0,411.0,137.0,634.0,,-1.0,398.0,-1.0,700.0,37000.0,92.0,9748.0,-1.0,30100.0,-1.0,580.0,26099.0,18812.0,1500.0,1036.0,72.0,,995.0,313.0,1147.0,100000.0,707.0,,,37.0,6181.0,5330.0,23610.0,3533.0,7700.0,3600.0,1074.0,570.0,6200.0,632.0,464.0,,39313.0,5158.0,459.0,93500.0,93500.0,1229.0,6422.0,2500.0,385.0,2300.0,1078.0
2006,,7746.0,4500.0,1059.0,-1.0,1800.0,7141.0,1000.0,2000.0,6513.0,674.0,122.0,818.0,10397.0,-1.0,393.0,-1.0,1500.0,49096.0,142.0,,-1.0,28000.0,-1.0,550.0,26000.0,13136.0,1900.0,1059.0,75.0,,1145.0,300.0,863.0,106214.0,538.0,,,38.0,1100.0,5097.0,25616.0,3324.0,5800.0,3300.0,1053.0,680.0,5600.0,240.0,472.0,,37000.0,4945.0,130.0,85000.0,85000.0,1263.0,8991.0,1000.0,232.0,2500.0,910.0
2007,,7402.0,4955.0,1083.0,-1.0,1500.0,6473.0,1231.0,2400.0,4421.0,654.0,145.0,611.0,13444.0,-1.0,582.0,-1.0,2813.0,50000.0,217.0,,1917.0,35106.0,-1.0,500.0,27000.0,12098.0,1800.0,1083.0,74.0,,995.0,307.0,957.0,95015.0,361.0,,,38.0,1500.0,5035.0,25671.0,2465.0,5300.0,3000.0,1054.0,429.0,8200.0,260.0,480.0,,35000.0,4948.0,83.0,90000.0,90000.0,1351.0,6745.0,1000.0,215.0,3357.0,931.0
2008,,7415.0,4300.0,1108.0,-1.0,1658.0,7385.0,1179.0,4500.0,2764.0,626.0,174.0,725.0,12350.0,-1.0,424.0,-1.0,3000.0,55000.0,142.0,,1332.0,33133.0,-1.0,500.0,27055.0,11705.0,1900.0,1108.0,70.0,,1160.0,290.0,1236.0,95395.0,900.0,,,38.0,1200.0,4100.0,26990.0,0.0,8000.0,2500.0,907.0,832.0,4000.0,100.0,487.0,,34115.0,4583.0,131.0,101000.0,101000.0,1392.0,7265.0,500.0,157.0,3555.0,905.0
2009,,7252.0,4591.0,1133.0,-1.0,1689.0,6759.0,1237.0,2500.0,4169.0,614.0,235.0,645.0,15061.0,-1.0,400.0,-1.0,3200.0,60000.0,80.0,,1432.0,38714.0,-1.0,490.0,26974.0,15283.0,2000.0,1133.0,68.0,,582.0,270.0,1635.0,96282.0,300.0,,,40.0,2200.0,4107.0,25798.0,0.0,8100.0,2500.0,1325.0,908.0,5000.0,611.0,637.0,,37000.0,4904.0,217.0,105000.0,105000.0,1423.0,11070.0,600.0,112.0,5257.0,975.0
2010,,7376.0,3644.0,1157.0,-1.0,1716.0,5796.0,1426.0,2701.0,4829.0,631.0,208.0,1250.0,10953.0,-1.0,1009.0,-1.0,3195.0,67000.0,20.0,,739.0,36240.0,-1.0,470.0,27081.0,12768.0,1900.0,1157.0,70.0,,584.0,249.0,1945.0,121085.0,400.0,,,40.0,500.0,4667.0,22598.0,-1.0,9600.0,2600.0,1147.0,1808.0,3200.0,541.0,626.0,,41930.0,4849.0,32.0,108687.0,108687.0,1457.0,11592.0,600.0,100.0,5147.0,964.0
2011,,7736.0,3792.0,1182.0,-1.0,1744.0,5466.0,1424.0,2500.0,7529.0,626.0,181.0,1146.0,13955.0,-1.0,631.0,-1.0,3219.0,86905.0,69.0,,1209.0,31994.0,-1.0,480.0,27185.0,13115.0,2100.0,1182.0,65.0,,584.0,226.0,1700.0,127767.0,700.0,,,42.0,900.0,5156.0,23924.0,-1.0,9900.0,3300.0,1161.0,1118.0,4000.0,486.0,633.0,,46596.0,4873.0,93.0,104812.0,104812.0,1690.0,12459.0,500.0,100.0,5100.0,780.0
2012,,8070.0,3289.0,1200.0,-1.0,2100.0,5996.0,1237.0,2750.0,5960.0,614.0,216.0,1344.0,10961.0,-1.0,759.0,-1.0,3820.0,93400.0,92.0,,1918.0,46000.0,-1.0,500.0,27500.0,8071.0,2200.0,1200.0,65.0,,467.0,195.0,1681.0,135406.0,300.0,,,42.0,900.0,6349.0,27140.0,-1.0,10500.0,3000.0,873.0,800.0,4700.0,287.0,640.0,,51700.0,5213.0,199.0,106180.0,106180.0,1788.0,10516.0,1100.0,100.0,5100.0,704.0
2013,,8526.0,3150.0,1234.0,-1.0,1772.0,6224.0,1257.0,3000.0,4166.0,629.0,277.0,1306.0,15310.0,22897.0,607.0,200.0,3770.0,102000.0,95.0,,2130.0,46480.0,-1.0,500.0,27283.0,11607.0,2300.0,1234.0,66.0,,113.0,178.0,1566.0,139311.0,300.0,,,42.0,2100.0,6219.0,27839.0,-1.0,9700.0,3000.0,1374.0,1210.0,5000.0,297.0,626.0,,73623.0,5899.0,87.0,107635.0,107635.0,1879.0,11178.0,600.0,100.0,4500.0,633.0
2014,,9394.0,2933.0,1263.0,-1.0,1773.0,4136.0,1130.0,3188.0,2771.0,635.0,568.0,621.0,13545.0,23188.0,558.0,204.0,4090.0,110000.0,95.0,,2539.0,45882.0,-1.0,500.0,27242.0,11278.0,2300.0,1263.0,63.0,,109.0,189.0,1471.0,107243.0,300.0,,,43.0,1000.0,4452.0,27236.0,-1.0,7540.0,3500.0,794.0,1020.0,5400.0,447.0,617.0,,82522.0,6321.0,525.0,109090.0,109090.0,1970.0,11574.0,700.0,274.0,4562.0,570.0
