,India,Kenya,"China, Taiwan Province of",Myanmar,Malaysia,Sri Lanka,Bangladesh,Thailand,Nepal,China,Indonesia,Maldives,Bhutan
1976,160000.0,-1.0,15997.0,22200.0,2500.0,-1.0,23765.0,-1.0,-1.0,15997.0,16000.0,10.0,-1.0
1977,164300.0,-1.0,16961.0,24577.0,2050.0,-1.0,25665.0,-1.0,-1.0,16961.0,17000.0,2.0,-1.0
1978,175200.0,-1.0,21373.0,24610.0,1900.0,-1.0,25828.0,-1.0,-1.0,21373.0,17000.0,1.0,-1.0
1979,181900.0,-1.0,17531.0,24698.0,3000.0,-1.0,26458.0,-1.0,-1.0,17531.0,17000.0,1.0,-1.0
1980,181400.0,-1.0,19959.0,26149.0,3000.0,-1.0,23767.0,-1.0,-1.0,19959.0,17000.0,2.0,-1.0
1981,195900.0,-1.0,24358.0,25807.0,2500.0,-1.0,25051.0,-1.0,-1.0,24358.0,18000.0,5.0,-1.0
1982,194700.0,-1.0,27024.0,24600.0,2000.0,-1.0,24091.0,-1.0,-1.0,27024.0,18000.0,2.0,-1.0
1983,202200.0,-1.0,30102.0,37300.0,1500.0,-1.0,23000.0,15000.0,-1.0,30102.0,18000.0,4.0,-1.0
1984,189500.0,-1.0,36687.0,30100.0,1100.0,-1.0,24200.0,15000.0,-1.0,36687.0,18765.0,6.0,-1.0
1985,218700.0,-1.0,55723.0,28100.0,1850.0,-1.0,22700.0,18000.0,-1.0,55723.0,19482.0,8.0,-1.0
1986,216200.0,100.0,61394.0,29400.0,3500.0,-1.0,23055.0,14000.0,-1.0,61394.0,20666.0,10.0,-1.0
1987,219000.0,100.0,61414.0,33100.0,3500.0,-1.0,21765.0,12000.0,-1.0,61414.0,19259.0,8.0,-1.0
1988,226700.0,100.0,91986.0,33200.0,2000.0,-1.0,22425.0,12000.0,-1.0,91986.0,18355.0,8.0,-1.0
1989,249000.0,100.0,107563.0,32500.0,3000.0,-1.0,23000.0,12600.0,-1.0,107563.0,20934.0,8.0,-1.0
1990,251300.0,106.0,104473.0,32215.0,5000.0,3100.0,22760.0,13250.0,2300.0,104473.0,65723.0,68.0,2500.0
1991,238500.0,106.0,111090.0,32270.0,4000.0,3000.0,24120.0,13920.0,2400.0,111090.0,65177.0,16.0,2234.0
1992,243200.0,107.0,115348.0,32712.0,5000.0,3213.0,24260.0,14821.0,2500.0,115348.0,63470.0,34.0,2359.0
1993,256300.0,107.0,137467.0,31564.0,4019.0,3500.0,23855.0,13500.0,2600.0,137467.0,65670.0,33.0,2486.0
1994,271100.0,107.0,132208.0,30700.0,3000.0,4286.0,26000.0,15544.0,2700.0,132208.0,86305.0,32.0,2616.0
1995,289700.0,108.0,156108.0,31500.0,1000.0,5000.0,26000.0,16000.0,2800.0,156108.0,91802.0,31.0,2749.0
1996,295500.0,108.0,160118.0,31600.0,2000.0,7000.0,27000.0,13000.0,2900.0,160118.0,93717.0,32.0,2900.0
1997,307700.0,108.0,156207.0,32100.0,2962.0,7500.0,27000.0,16926.0,3000.0,156207.0,91714.0,29.0,3017.0
1998,333900.0,108.0,172574.0,35700.0,4000.0,8000.0,28000.0,15000.0,3100.0,172574.0,107142.0,30.0,3000.0
1999,310000.0,108.0,173907.0,38126.0,3238.0,9000.0,44000.0,18000.0,3200.0,173907.0,95714.0,19.0,3277.0
2000,330000.0,90.0,166975.0,39096.0,3300.0,9156.0,45000.0,20000.0,3300.0,166975.0,107428.0,14.0,3100.0
2001,330000.0,150.0,165076.0,51463.0,2500.0,11000.0,47000.0,23000.0,3400.0,165076.0,130268.0,37.0,3200.0
2002,400000.0,90.0,162253.0,53300.0,1300.0,12000.0,51000.0,25000.0,3500.0,162253.0,120880.0,35.0,3664.0
2003,415900.0,109.0,159584.0,59100.0,1361.0,15000.0,55000.0,27000.0,3600.0,159584.0,133714.0,38.0,3783.0
2004,439200.0,109.0,143368.0,63800.0,2007.0,23830.0,55000.0,56000.0,3768.0,143368.0,125725.0,11.0,3419.0
2005,452700.0,110.0,138095.0,68500.0,2570.0,24990.0,93820.0,22000.0,3816.0,138095.0,143362.0,51.0,6616.0
2006,483100.0,110.0,141563.0,84700.0,3000.0,24610.0,97415.0,27000.0,3864.0,141563.0,153005.0,333.0,6400.0
2007,483300.0,111.0,134497.0,98500.0,2200.0,25870.0,101240.0,39000.0,3922.0,134497.0,161274.0,3.0,6569.0
2008,476000.0,111.0,144595.0,115600.0,2035.0,26840.0,97947.0,35000.0,3972.0,144595.0,168494.0,6.0,3842.0
2009,481300.0,112.0,142636.0,115800.0,618.0,27860.0,105448.0,41000.0,3977.0,142636.0,177000.0,9.0,6375.0
2010,478000.0,112.0,131737.0,118000.0,650.0,29880.0,91681.0,35575.0,4266.0,131737.0,184300.0,6.0,7280.0
2011,478000.0,112.0,129316.0,120000.0,640.0,31600.0,105953.0,30000.0,7620.0,129316.0,183100.0,3.0,9781.0
2012,681000.0,112.0,124091.0,121000.0,338.0,37700.0,136000.0,41000.0,9188.0,124091.0,180000.0,3.0,10500.0
2013,609000.0,115.0,124054.0,119500.0,387.0,38742.0,101000.0,30000.0,11560.0,124054.0,42800.0,3.0,9462.0
2014,622000.0,113.0,121435.0,118909.0,368.0,41977.0,102000.0,36670.0,4008.0,121435.0,47000.0,3.0,9490.0
