,Cuba,USSR,Indonesia,South Africa,Angola,Madagascar,Pakistan,Malaysia,Thailand,Ethiopia,Bangladesh,Democratic Republic of the Congo,Nigeria,Ethiopia PDR,Mali,Russian Federation,Brazil,China,Mozambique,"China, mainland",El Salvador,Chile,Spain,Central African Republic,Myanmar,Guatemala,India
1987,10000.0,22500.0,9237.0,10909.0,10000.0,8000.0,5845.0,,10843.0,,10456.0,4412.0,8400.0,4866.0,6667.0,,10369.0,26900.0,6667.0,26900.0,16440.0,10000.0,,1756.0,2500.0,10000.0,6469.0
1988,10000.0,21429.0,8348.0,10909.0,10000.0,8000.0,5955.0,,12463.0,,9630.0,5522.0,8500.0,5513.0,6667.0,,11208.0,23529.0,6667.0,23529.0,16667.0,10000.0,,1714.0,3750.0,10000.0,8131.0
1989,9978.0,20455.0,9951.0,10909.0,10000.0,8000.0,6216.0,,12520.0,,10205.0,5580.0,8600.0,5513.0,6667.0,,9844.0,28302.0,6667.0,28302.0,10000.0,10000.0,,1738.0,2500.0,11481.0,8484.0
1990,10000.0,21798.0,9679.0,9097.0,9575.0,7341.0,6185.0,,12909.0,,7151.0,5830.0,7859.0,5255.0,6993.0,,8734.0,29636.0,5351.0,29636.0,10000.0,9951.0,,1756.0,2500.0,10733.0,8911.0
1991,12056.0,,9701.0,9890.0,8787.0,7927.0,6268.0,24863.0,13499.0,,10000.0,6099.0,8800.0,5541.0,7067.0,,8485.0,23158.0,6038.0,23158.0,10000.0,9690.0,,1818.0,2500.0,10313.0,9513.0
1992,14230.0,,12589.0,9850.0,8929.0,7974.0,6370.0,25011.0,13743.0,,10000.0,6295.0,8900.0,5541.0,6286.0,22500.0,12050.0,27353.0,6000.0,27353.0,10000.0,9696.0,,1814.0,3750.0,10303.0,8772.0
1993,16622.0,,11313.0,9810.0,8967.0,8158.0,6380.0,25158.0,14809.0,5064.0,10042.0,6503.0,9000.0,,5536.0,21429.0,15992.0,30000.0,6667.0,30000.0,10000.0,9701.0,,1824.0,6250.0,10294.0,9052.0
1994,19220.0,,12031.0,9770.0,8889.0,7953.0,6571.0,25305.0,15464.0,5333.0,10000.0,6811.0,9633.0,,6667.0,21294.0,16185.0,29091.0,6364.0,29091.0,10000.0,9706.0,,1832.0,7500.0,10000.0,9320.0
1995,22000.0,,9024.0,9730.0,8750.0,7900.0,6526.0,25452.0,14983.0,5039.0,10000.0,7035.0,9856.0,,6500.0,19988.0,16550.0,35945.0,6667.0,35945.0,9750.0,9711.0,,1840.0,7500.0,10000.0,9438.0
1996,24919.0,,8088.0,9690.0,8889.0,7949.0,6535.0,25599.0,15015.0,4990.0,10304.0,6995.0,10076.0,,6979.0,21155.0,13301.0,33978.0,6429.0,33978.0,11417.0,9717.0,,1864.0,5000.0,10000.0,13921.0
1997,27925.0,,9194.0,9873.0,9000.0,7811.0,6616.0,25746.0,15347.0,4938.0,10000.0,6900.0,10293.0,,6500.0,21248.0,13858.0,36471.0,6347.0,36471.0,11147.0,9722.0,,1853.0,7692.0,10000.0,10042.0
1998,30956.0,,23622.0,9826.0,8849.0,7774.0,6712.0,25893.0,16959.0,4883.0,14822.0,6579.0,10507.0,,6371.0,21509.0,15232.0,37712.0,6761.0,37712.0,11167.0,9727.0,,1859.0,7692.0,10000.0,9904.0
1999,33950.0,,32524.0,10000.0,8750.0,7736.0,6721.0,26040.0,17524.0,4824.0,14091.0,6969.0,10717.0,,6289.0,21429.0,14708.0,33571.0,6806.0,33571.0,7297.0,9732.0,,1866.0,7547.0,10000.0,10778.0
2000,36854.0,,30143.0,10000.0,10000.0,7895.0,6940.0,26187.0,14267.0,5000.0,15614.0,7117.0,10925.0,,6217.0,21429.0,15821.0,32451.0,5500.0,32451.0,7568.0,9737.0,,1870.0,7619.0,10000.0,10777.0
2001,39625.0,,28780.0,9652.0,9202.0,7616.0,6847.0,26334.0,14494.0,4671.0,14786.0,7265.0,11129.0,,6156.0,20909.0,12202.0,26815.0,5556.0,26815.0,7895.0,9900.0,,1881.0,8081.0,10000.0,11759.0
2002,42235.0,,25936.0,9515.0,9224.0,7532.0,7083.0,26481.0,13243.0,4577.0,14928.0,7668.0,11330.0,,6105.0,21026.0,14730.0,38331.0,5469.0,38331.0,8294.0,9893.0,,1872.0,9278.0,10000.0,11315.0
2003,44690.0,,13639.0,9330.0,9193.0,7422.0,6957.0,26907.0,14660.0,4461.0,14787.0,7500.0,11539.0,,6168.0,20870.0,13984.0,33846.0,5492.0,33846.0,8301.0,10000.0,,1900.0,9300.0,10000.0,10557.0
2004,46991.0,,13209.0,9101.0,8639.0,7286.0,6111.0,27650.0,13991.0,4323.0,14421.0,7556.0,11756.0,,6132.0,21700.0,14546.0,37383.0,5455.0,37383.0,8441.0,10000.0,,1911.0,9744.0,9557.0,10874.0
