,USSR,Finland,Australia & New Zealand,Australia,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,United Arab Emirates,Zambia,Lebanon,Papua New Guinea,Tajikistan,Suriname,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Sri Lanka,Congo,Argentina,South Sudan,Spain,Central African Republic,India,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Jordan,Belgium-Luxembourg,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Slovakia,France,Timor-Leste,Democratic Republic of the Congo,Tunisia,Mali,Hungary,Republic of Moldova,Martinique,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Puerto Rico,Bermuda,Romania,Norway,Philippines,Iraq,New Zealand,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Sweden,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Uruguay,Zimbabwe,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Denmark,Switzerland,United States of America,Sudan,United Kingdom,Azerbaijan,Mauritius,Yemen,Bosnia and Herzegovina,Turkey,Cameroon,Bolivia (Plurinational State of),American Samoa,Mexico,Ukraine,Kuwait,South Africa,Guadeloupe,Ireland,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,China
1971,-1.0,200.0,44122.0,38107.0,,-1.0,49300.0,-1.0,,-1.0,-1.0,300.0,10.0,,8000.0,16.0,,995.0,-1.0,-1.0,4000.0,,,7966.0,-1.0,3200.0,,191100.0,,250000.0,2500.0,-1.0,28000.0,-1.0,44912.0,1320.0,55700.0,132000.0,16.0,,65752.0,2540.0,,76800.0,-1.0,-1.0,900.0,,36050.0,,1400.0,18114.0,28800.0,-1.0,,-1.0,854000.0,2235.0,2693.0,18490.0,-1.0,,25000.0,76250.0,-1.0,9707.0,-1.0,23.0,39200.0,728.0,8800.0,3305.0,6015.0,-1.0,,-1.0,,,-1.0,24162.0,259400.0,-1.0,,82269.0,510.0,,-1.0,,,-1.0,12000.0,80.0,48000.0,1300.0,-1.0,,6695.0,-1.0,7350.0,1200.0,,1797.0,6000.0,157668.0,,97947.0,,449.0,,,246000.0,,-1.0,-1.0,20511.0,,-1.0,28000.0,5500.0,,-1.0,0.0,,25583.0,,858000.0
1972,-1.0,100.0,45231.0,35533.0,,-1.0,52200.0,-1.0,,-1.0,-1.0,300.0,10.0,,8321.0,20.0,,530.0,-1.0,-1.0,4000.0,,,8155.0,-1.0,3500.0,,206300.0,,260000.0,2700.0,-1.0,25000.0,-1.0,36360.0,2600.0,39600.0,148000.0,20.0,,67897.0,2987.0,,71900.0,-1.0,-1.0,900.0,,47992.0,,1400.0,19239.0,21100.0,-1.0,,-1.0,900000.0,2785.0,2540.0,19677.0,-1.0,,25000.0,55000.0,-1.0,9449.0,-1.0,8.0,38200.0,760.0,8800.0,2771.0,9698.0,-1.0,,-1.0,,,-1.0,20966.0,257500.0,-1.0,,82148.0,490.0,,-1.0,,,-1.0,12000.0,98.0,45000.0,1300.0,-1.0,,6540.0,-1.0,7150.0,1200.0,,1492.0,5500.0,175811.0,,84332.0,,437.0,,,300000.0,,-1.0,-1.0,27961.0,,-1.0,25000.0,5000.0,,-1.0,0.0,,25347.0,,904000.0
1973,-1.0,200.0,48083.0,38902.0,,-1.0,57300.0,-1.0,,-1.0,-1.0,200.0,3.0,,6270.0,9.0,,640.0,-1.0,-1.0,3000.0,,,10358.0,-1.0,2760.0,,186900.0,,270000.0,3000.0,-1.0,22750.0,-1.0,45890.0,1740.0,35000.0,154000.0,9.0,,69337.0,4657.0,,72700.0,-1.0,-1.0,950.0,,50247.0,,1000.0,14344.0,31600.0,-1.0,,-1.0,965000.0,1975.0,2286.0,18207.0,-1.0,,28000.0,74200.0,-1.0,13981.0,-1.0,13.0,44100.0,1423.0,9000.0,3834.0,9181.0,-1.0,,-1.0,,,-1.0,22327.0,262300.0,-1.0,,75680.0,490.0,,-1.0,,,-1.0,12000.0,35.0,41000.0,1300.0,-1.0,,5998.0,-1.0,7200.0,1300.0,,2049.0,6000.0,189328.0,,125990.0,,391.0,,,200000.0,,-1.0,-1.0,29817.0,,-1.0,23000.0,1500.0,,-1.0,0.0,,25867.0,,968000.0
1974,-1.0,200.0,51344.0,39802.0,,-1.0,62600.0,-1.0,,-1.0,-1.0,180.0,8.0,,9309.0,9.0,,739.0,-1.0,-1.0,4000.0,,,8374.0,-1.0,2450.0,,196400.0,,277000.0,3292.0,-1.0,28100.0,-1.0,44660.0,1409.0,36100.0,165000.0,9.0,,65330.0,4598.0,,111460.0,-1.0,-1.0,1000.0,,49623.0,,1000.0,31320.0,38000.0,-1.0,,-1.0,970000.0,1850.0,2235.0,18020.0,-1.0,,30000.0,87500.0,-1.0,12772.0,-1.0,15.0,40000.0,741.0,9000.0,846.0,11542.0,-1.0,,-1.0,,,-1.0,22229.0,264130.0,-1.0,,88828.0,195.0,,-1.0,,,-1.0,12200.0,15.0,41605.0,1300.0,-1.0,,6483.0,-1.0,5900.0,1400.0,,2964.0,16500.0,173544.0,,133100.0,,703.0,,,230000.0,,-1.0,-1.0,24488.0,,-1.0,24000.0,1500.0,,-1.0,0.0,,18120.0,,974000.0
1975,-1.0,80.0,57845.0,40152.0,,-1.0,68000.0,-1.0,,-1.0,-1.0,120.0,9.0,,9400.0,9.0,,510.0,-1.0,-1.0,3910.0,,,13807.0,-1.0,2830.0,,204400.0,,280000.0,5000.0,-1.0,25100.0,-1.0,42972.0,2966.0,44400.0,165000.0,9.0,,68150.0,5761.0,,69200.0,-1.0,-1.0,1200.0,,49027.0,,1000.0,33028.0,26500.0,-1.0,,-1.0,975000.0,1470.0,2235.0,16671.0,-1.0,,30000.0,71560.0,-1.0,13069.0,-1.0,15.0,45000.0,486.0,9000.0,2107.0,17693.0,-1.0,,-1.0,,,-1.0,26332.0,278120.0,-1.0,,73789.0,45.0,,-1.0,,,-1.0,12400.0,28.0,52680.0,1300.0,-1.0,,7495.0,-1.0,7400.0,1400.0,,1722.0,17500.0,185700.0,,91900.0,,906.0,,,250000.0,,-1.0,-1.0,24549.0,,-1.0,31000.0,1670.0,,-1.0,0.0,,18890.0,,978910.0
1976,-1.0,170.0,41794.0,36388.0,,-1.0,73300.0,-1.0,,-1.0,-1.0,90.0,35.0,,9800.0,1.0,,703.0,-1.0,-1.0,3550.0,,,12130.0,-1.0,2800.0,,207500.0,,283000.0,7000.0,-1.0,26020.0,-1.0,36230.0,3726.0,29870.0,202711.0,1.0,,68893.0,2940.0,,65100.0,-1.0,-1.0,1200.0,,30639.0,,1380.0,33907.0,31600.0,-1.0,,-1.0,1000000.0,1580.0,2134.0,17295.0,-1.0,,30000.0,56000.0,-1.0,7700.0,-1.0,15.0,46000.0,721.0,9183.0,955.0,5406.0,-1.0,,-1.0,,,-1.0,29108.0,279210.0,-1.0,,52039.0,42.0,,-1.0,,,-1.0,12500.0,37.0,55200.0,1300.0,-1.0,,7874.0,-1.0,7200.0,1500.0,,1818.0,13000.0,111130.0,,93900.0,,807.0,,,250000.0,,-1.0,-1.0,26666.0,,-1.0,35000.0,1270.0,,-1.0,0.0,,20118.0,,1003550.0
1977,-1.0,270.0,45528.0,33374.0,,-1.0,79200.0,-1.0,,-1.0,-1.0,,70.0,,10000.0,3.0,,704.0,-1.0,-1.0,3080.0,,,10556.0,-1.0,2600.0,,222000.0,,285000.0,8000.0,-1.0,27080.0,-1.0,46830.0,4842.0,61300.0,210713.0,3.0,,62996.0,4572.0,,86000.0,-1.0,-1.0,1300.0,,49256.0,,1400.0,30371.0,37200.0,-1.0,,-1.0,1000000.0,2370.0,2540.0,16071.0,-1.0,,28000.0,76600.0,-1.0,11160.0,-1.0,15.0,54500.0,725.0,10709.0,2773.0,12154.0,-1.0,,-1.0,,,-1.0,24555.0,297780.0,-1.0,,87738.0,630.0,,-1.0,,,-1.0,12500.0,20.0,65520.0,1300.0,-1.0,,7759.0,-1.0,7600.0,1500.0,,2734.0,16000.0,147418.0,,111700.0,,771.0,,,250000.0,,-1.0,-1.0,34636.0,,-1.0,34000.0,1380.0,,-1.0,0.0,,20271.0,,1003080.0
1978,-1.0,160.0,55717.0,45030.0,,-1.0,84800.0,-1.0,,-1.0,-1.0,,145.0,,10000.0,70.0,,262.0,-1.0,-1.0,2960.0,,,10881.0,-1.0,3500.0,,224360.0,,295000.0,9000.0,-1.0,31200.0,-1.0,52090.0,1781.0,52098.0,90000.0,70.0,,71715.0,4361.0,,101500.0,-1.0,-1.0,1400.0,,49561.0,,1200.0,44398.0,32283.0,-1.0,,-1.0,1090000.0,1730.0,2235.0,15025.0,-1.0,,29000.0,69300.0,-1.0,10327.0,-1.0,25.0,49000.0,581.0,9052.0,3952.0,10687.0,-1.0,,-1.0,,,-1.0,32930.0,310950.0,-1.0,,72139.0,570.0,,-1.0,,,-1.0,14000.0,19.0,72360.0,1400.0,-1.0,,6626.0,-1.0,7800.0,1500.0,,1411.0,14000.0,149958.0,,100000.0,,887.0,,,275000.0,,-1.0,-1.0,33949.0,,-1.0,30000.0,1950.0,,-1.0,0.0,,22898.0,,1092960.0
1979,-1.0,150.0,48667.0,34307.0,,-1.0,86000.0,-1.0,,-1.0,-1.0,,309.0,,10000.0,33.0,,283.0,-1.0,-1.0,2560.0,,,18432.0,-1.0,4000.0,,224200.0,,305000.0,10000.0,-1.0,39000.0,-1.0,48830.0,3941.0,33724.0,109868.0,33.0,,71281.0,5346.0,,77900.0,-1.0,-1.0,1500.0,,54000.0,,1100.0,39132.0,35300.0,-1.0,,-1.0,1180000.0,1665.0,2439.0,14857.0,-1.0,,30000.0,76000.0,-1.0,11580.0,-1.0,39.0,53000.0,866.0,10217.0,4100.0,14360.0,-1.0,,-1.0,,,-1.0,32650.0,302600.0,-1.0,,86356.0,580.0,,-1.0,,,-1.0,14000.0,43.0,81000.0,1400.0,-1.0,,6074.0,-1.0,7200.0,960.0,,1473.0,14000.0,161788.0,,108800.0,,872.0,5286.0,,284000.0,,-1.0,-1.0,40197.0,,-1.0,32000.0,1850.0,,-1.0,0.0,,20147.0,,1182560.0
1980,-1.0,40.0,45020.0,33991.0,2155.0,-1.0,88660.0,-1.0,,-1.0,-1.0,,134.0,,10000.0,19.0,,221.0,-1.0,-1.0,2630.0,,,20628.0,-1.0,3400.0,,222700.0,,320000.0,13000.0,-1.0,47000.0,-1.0,50480.0,8093.0,19000.0,108510.0,19.0,,78993.0,5097.0,,72900.0,-1.0,-1.0,1500.0,,46936.0,,900.0,50376.0,33000.0,-1.0,,-1.0,1300000.0,1547.0,2337.0,13063.0,-1.0,,29000.0,50000.0,-1.0,12631.0,-1.0,25.0,57000.0,1032.0,10620.0,3600.0,11029.0,-1.0,,-1.0,,,-1.0,32304.0,293050.0,-1.0,,58142.0,1020.0,,-1.0,,,-1.0,14500.0,15.0,83000.0,1400.0,-1.0,,6418.0,38017.0,6300.0,960.0,,945.0,7000.0,111166.0,,61800.0,,1123.0,5648.0,,300000.0,,-1.0,-1.0,45494.0,,-1.0,32000.0,1960.0,,-1.0,0.0,,19538.0,,1340647.0
1981,-1.0,230.0,43532.0,34577.0,4245.0,-1.0,112501.0,-1.0,,-1.0,-1.0,,89.0,,9500.0,30.0,,396.0,-1.0,-1.0,2550.0,,,18146.0,-1.0,3000.0,,228600.0,,330000.0,16000.0,-1.0,43414.0,-1.0,45091.0,6956.0,30500.0,106516.0,30.0,,82238.0,5196.0,,90800.0,-1.0,-1.0,1600.0,,46501.0,,700.0,48035.0,29000.0,-1.0,,-1.0,1400000.0,1613.0,2134.0,14268.0,-1.0,,30000.0,82000.0,-1.0,12785.0,-1.0,25.0,74000.0,930.0,10886.0,4300.0,8955.0,-1.0,,-1.0,,,-1.0,31807.0,289010.0,-1.0,,76987.0,521.0,,-1.0,,,-1.0,15000.0,22.0,83000.0,1400.0,-1.0,,7697.0,37255.0,5900.0,1820.0,,1020.0,12900.0,117933.0,,68800.0,,1200.0,4758.0,,300000.0,,-1.0,-1.0,29323.0,,-1.0,43000.0,875.0,,-1.0,0.0,,18529.0,,1439805.0
1982,-1.0,530.0,44198.0,33460.0,5117.0,-1.0,80350.0,-1.0,,-1.0,-1.0,,254.0,,9000.0,44.0,,437.0,-1.0,-1.0,3220.0,,,17495.0,-1.0,2850.0,,247600.0,,350000.0,19000.0,-1.0,54150.0,-1.0,46760.0,4275.0,45900.0,117811.0,44.0,,85209.0,5328.0,,116000.0,-1.0,-1.0,1700.0,500.0,43781.0,,1600.0,45977.0,29000.0,-1.0,,-1.0,1515000.0,1630.0,1981.0,17555.0,-1.0,,29000.0,93000.0,-1.0,10787.0,-1.0,23.0,90000.0,1516.0,8000.0,3600.0,10738.0,-1.0,,-1.0,,,-1.0,32457.0,281490.0,-1.0,,71837.0,1228.0,,-1.0,,,-1.0,16000.0,78.0,80000.0,1400.0,-1.0,,8740.0,35524.0,5100.0,1000.0,,0.0,10800.0,118000.0,,91800.0,,690.0,4986.0,,320000.0,,-1.0,-1.0,34027.0,,-1.0,35000.0,875.0,,-1.0,0.0,,20163.0,,1553744.0
1983,-1.0,500.0,42261.0,32261.0,13231.0,-1.0,75336.0,-1.0,,-1.0,-1.0,,297.0,,10000.0,32.0,,353.0,-1.0,-1.0,3000.0,,,31690.0,-1.0,2900.0,,241700.0,,355000.0,22000.0,-1.0,67300.0,-1.0,45560.0,6800.0,43300.0,113000.0,32.0,,76235.0,4448.0,,102000.0,-1.0,-1.0,1700.0,1000.0,31465.0,,2100.0,53400.0,29000.0,-1.0,,-1.0,1635000.0,1645.0,2400.0,13416.0,-1.0,,28000.0,71000.0,-1.0,11084.0,-1.0,20.0,90500.0,1039.0,5000.0,3700.0,10000.0,-1.0,,-1.0,,,-1.0,34550.0,277580.0,-1.0,,55845.0,860.0,,-1.0,,,-1.0,16400.0,54.0,82000.0,1400.0,-1.0,,9667.0,31823.0,5425.0,1000.0,,0.0,8100.0,114000.0,,64900.0,,860.0,5318.0,,350000.0,,-1.0,-1.0,32978.0,,-1.0,28000.0,1080.0,,-1.0,0.0,,23611.0,,1669823.0
1984,-1.0,926.0,40085.0,31085.0,11788.0,-1.0,64818.0,-1.0,,-1.0,-1.0,,512.0,,12000.0,34.0,,426.0,-1.0,-1.0,2700.0,,,36337.0,-1.0,3000.0,,258422.0,,360000.0,25000.0,-1.0,83275.0,-1.0,50660.0,8522.0,47150.0,110000.0,34.0,,81941.0,4799.0,,97000.0,-1.0,-1.0,2000.0,1200.0,33463.0,,2100.0,50200.0,29200.0,-1.0,,-1.0,1880000.0,1670.0,2470.0,15702.0,-1.0,,29000.0,54000.0,-1.0,11913.0,-1.0,18.0,80000.0,1377.0,3500.0,3300.0,9000.0,-1.0,,-1.0,,,-1.0,35385.0,280490.0,-1.0,,65653.0,1280.0,,-1.0,3000.0,,-1.0,18000.0,7.0,83000.0,1400.0,-1.0,,9993.0,35127.0,5300.0,1100.0,,0.0,8089.0,110000.0,,76728.0,,1240.0,5657.0,,400000.0,200.0,-1.0,-1.0,42654.0,,-1.0,34000.0,815.0,,-1.0,0.0,,17505.0,,1917827.0
1985,-1.0,1044.0,39040.0,30540.0,12268.0,-1.0,98658.0,-1.0,,-1.0,-1.0,,352.0,,14000.0,22.0,,540.0,-1.0,-1.0,2210.0,,,35567.0,-1.0,3400.0,,279923.0,,365000.0,29243.0,-1.0,89740.0,-1.0,45270.0,20494.0,41000.0,113000.0,22.0,,76792.0,5624.0,,119400.0,-1.0,-1.0,2100.0,1300.0,36994.0,,2745.0,61100.0,23118.0,-1.0,,-1.0,1990000.0,1635.0,2450.0,14725.0,-1.0,,30000.0,65000.0,-1.0,12108.0,-1.0,16.0,86000.0,1003.0,1990.0,9000.0,8500.0,-1.0,,-1.0,,,-1.0,36090.0,261750.0,-1.0,,74296.0,1503.0,,-1.0,3483.0,,-1.0,21000.0,99.0,41770.0,1400.0,-1.0,,11165.0,40464.0,4520.0,1100.0,,,10060.0,116000.0,,65121.0,,1140.0,6049.0,,400000.0,200.0,-1.0,-1.0,26657.0,,-1.0,34000.0,949.0,,-1.0,0.0,,16297.0,,2032674.0
