,USSR,Burkina Faso,Eritrea,Israel,Paraguay,Iraq,Sri Lanka,Pakistan,Yemen,United Republic of Tanzania,South Sudan,Ethiopia,Kenya,Costa Rica,Bangladesh,Italy,Lao People's Democratic Republic,Senegal,Lebanon,Uganda,Somalia,Thailand,Togo,Benin,Uzbekistan,China,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Brazil,Honduras,Chad,Colombia,Central African Republic,Panama,India,Syrian Arab Republic,"China, Taiwan Province of",Ecuador,Japan,Jordan,Afghanistan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Saudi Arabia,Sudan,Greece,Tajikistan,Viet Nam,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Nicaragua,Mali,Congo,Turkey,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,Gambia,United States of America,Mexico,Guinea,"China, mainland",Sierra Leone,Cyprus,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Cameroon,Myanmar,Guatemala
1971,2000.0,1823.0,,5921.0,,8235.0,9000.0,3236.0,6188.0,2448.0,,,4023.0,5333.0,6098.0,7464.0,,,7500.0,3010.0,5115.0,7607.0,2000.0,2705.0,,4735.0,8462.0,5333.0,2333.0,3666.0,5882.0,10769.0,5833.0,6835.0,5000.0,6681.0,2597.0,4955.0,1880.0,4222.0,4349.0,9570.0,6818.0,1899.0,5000.0,3333.0,5694.0,11983.0,,5323.0,,3768.0,,4054.0,3030.0,4840.0,4444.0,2807.0,5965.0,,3333.0,6719.0,4745.0,518.0,,5000.0,,6000.0,7310.0,,,6412.0,2000.0,4738.0,4444.0,6240.0,5548.0,5000.0,3810.0,1665.0,8760.0
1972,1200.0,1661.0,,6299.0,,5898.0,4990.0,3455.0,6559.0,2290.0,,,4021.0,5333.0,5421.0,7642.0,,,8794.0,3132.0,5733.0,7740.0,2000.0,2723.0,,4322.0,6600.0,4286.0,3000.0,2843.0,5882.0,11544.0,5556.0,6737.0,5432.0,6551.0,2817.0,5000.0,1684.0,2894.0,4064.0,7009.0,6471.0,2464.0,6000.0,3333.0,5797.0,13603.0,,2440.0,,3466.0,,4054.0,3000.0,4695.0,4519.0,2821.0,7836.0,,3333.0,5238.0,4618.0,890.0,,5714.0,,6000.0,8400.0,,,5807.0,2000.0,4324.0,4444.0,5062.0,5501.0,5000.0,5067.0,1624.0,13097.0
1973,2500.0,1766.0,,9804.0,,4323.0,5154.0,3763.0,6230.0,2678.0,,,4000.0,5333.0,5846.0,7606.0,,,8400.0,3198.0,5800.0,6709.0,2000.0,2404.0,,4430.0,6500.0,4286.0,2667.0,2607.0,5882.0,12400.0,5556.0,6860.0,5300.0,4892.0,2799.0,4840.0,2031.0,3355.0,5731.0,8930.0,6154.0,1560.0,6333.0,3333.0,5692.0,13886.0,,1296.0,,3555.0,,4167.0,2857.0,4814.0,4466.0,2917.0,8099.0,,3333.0,5532.0,4509.0,862.0,,4000.0,,8182.0,7929.0,,,6982.0,2000.0,4423.0,4444.0,5000.0,5193.0,5000.0,4647.0,1423.0,12560.0
1974,2000.0,3200.0,,5556.0,,5505.0,4185.0,3574.0,6240.0,2437.0,,,4000.0,5333.0,5570.0,7022.0,,,8626.0,3093.0,6625.0,11852.0,2143.0,2360.0,,4231.0,6667.0,5714.0,2500.0,2448.0,5882.0,13000.0,5556.0,6562.0,4706.0,5342.0,2811.0,4824.0,1755.0,3882.0,5516.0,8655.0,6000.0,1741.0,6711.0,3333.0,6364.0,12210.0,,2877.0,,3934.0,,4384.0,3000.0,4565.0,4595.0,2951.0,5493.0,,3990.0,6304.0,4545.0,1157.0,,5000.0,,6154.0,7867.0,,,6654.0,2000.0,4224.0,4500.0,3000.0,4127.0,5000.0,5889.0,1949.0,10060.0
1975,500.0,2800.0,,5357.0,,6510.0,3967.0,3802.0,6595.0,2632.0,,,4077.0,5333.0,5318.0,7629.0,,,8571.0,3184.0,6544.0,8113.0,2143.0,2500.0,,3906.0,6111.0,4286.0,2857.0,2440.0,5833.0,7540.0,5556.0,6484.0,3546.0,4976.0,2810.0,4941.0,2208.0,4327.0,4927.0,8999.0,6000.0,1623.0,6000.0,3333.0,6034.0,12263.0,,2629.0,,4335.0,,5068.0,3043.0,4818.0,4425.0,2880.0,6033.0,,3986.0,6111.0,4561.0,657.0,,6667.0,,6154.0,8903.0,,,5064.0,2000.0,3902.0,4500.0,3034.0,4766.0,5000.0,5555.0,1451.0,11550.0
1976,3000.0,2800.0,,4762.0,,5852.0,4448.0,3944.0,6677.0,2526.0,,,4000.0,5333.0,5380.0,7006.0,,,8571.0,3500.0,8622.0,7357.0,2143.0,2320.0,,4087.0,5882.0,4286.0,3333.0,2512.0,5833.0,6767.0,5556.0,6400.0,2963.0,5623.0,2766.0,4833.0,1851.0,4462.0,6486.0,9002.0,6000.0,3846.0,6000.0,3333.0,6000.0,10056.0,,4237.0,,3453.0,,3555.0,3077.0,5448.0,4421.0,2960.0,7846.0,,3983.0,5841.0,4655.0,107.0,,6209.0,,6154.0,9200.0,,,4283.0,2000.0,4080.0,5000.0,3054.0,4479.0,5000.0,5050.0,2023.0,10498.0
1977,3571.0,2400.0,,5556.0,,5047.0,4706.0,3988.0,7267.0,2845.0,,,4063.0,5333.0,5463.0,7125.0,,,8333.0,2865.0,5413.0,6648.0,2183.0,2500.0,,4332.0,5625.0,4286.0,3333.0,2646.0,6154.0,5915.0,5556.0,6332.0,3273.0,6045.0,2118.0,4944.0,2182.0,4650.0,4385.0,4866.0,6000.0,3707.0,5400.0,3571.0,6429.0,10528.0,,5846.0,,4355.0,,3065.0,3000.0,5198.0,4103.0,2969.0,6931.0,,4082.0,7402.0,4655.0,163.0,,3863.0,,6154.0,8087.0,,,5927.0,2000.0,4331.0,5000.0,2755.0,5434.0,5263.0,5208.0,1546.0,8818.0
1978,3235.0,2452.0,,4167.0,,4778.0,4355.0,4086.0,6118.0,2740.0,,,4070.0,5333.0,6500.0,7184.0,,,10000.0,2910.0,5333.0,6464.0,2222.0,2500.0,,5052.0,5000.0,4286.0,3000.0,2519.0,6154.0,7319.0,6000.0,10000.0,3414.0,5093.0,2771.0,5000.0,2152.0,5324.0,5586.0,5675.0,6000.0,1388.0,5250.0,2857.0,5714.0,9399.0,,11311.0,,4000.0,,2879.0,3214.0,4541.0,2738.0,2923.0,6428.0,,4200.0,6743.0,4667.0,356.0,,5161.0,,6154.0,8300.0,,,5494.0,2000.0,5050.0,4762.0,3797.0,4617.0,5000.0,1844.0,1834.0,8973.0
1979,2000.0,2243.0,,5263.0,,5178.0,3886.0,4191.0,5741.0,2741.0,,,4105.0,5333.0,5263.0,7283.0,,,10000.0,2667.0,5075.0,5948.0,2222.0,2500.0,,4945.0,3571.0,4286.0,3047.0,2670.0,6667.0,7236.0,6000.0,10000.0,3705.0,5632.0,3015.0,4500.0,1463.0,5565.0,5065.0,5422.0,6000.0,700.0,5339.0,2857.0,5672.0,10266.0,,9184.0,,4341.0,,2871.0,2970.0,3344.0,4500.0,3000.0,6496.0,3000.0,4314.0,5778.0,4667.0,320.0,,9388.0,,6154.0,8300.0,,,5661.0,2000.0,4945.0,5000.0,3806.0,7291.0,5000.0,1817.0,2188.0,8263.0
1980,2000.0,2267.0,,6098.0,,4822.0,4287.0,4144.0,6286.0,2727.0,,,4000.0,5333.0,5333.0,7951.0,,,8000.0,3077.0,4627.0,6913.0,2260.0,4000.0,,3347.0,2976.0,4286.0,3077.0,2612.0,6667.0,8568.0,6000.0,10000.0,2563.0,5331.0,2925.0,5000.0,1803.0,5335.0,5496.0,5600.0,6000.0,2778.0,5420.0,2857.0,5714.0,9810.0,,6684.0,,4196.0,,3649.0,2963.0,1453.0,4510.0,3037.0,4355.0,3000.0,4423.0,5778.0,4667.0,,,10000.0,,6250.0,6989.0,,,5176.0,2000.0,3342.0,5000.0,4766.0,6339.0,5172.0,1852.0,1743.0,8399.0
1981,10000.0,2682.0,,2632.0,,5687.0,3961.0,3881.0,5502.0,3077.0,,,3960.0,5333.0,5500.0,7117.0,,,8125.0,3571.0,5889.0,6920.0,2329.0,5000.0,,6241.0,4658.0,4286.0,3125.0,2818.0,6154.0,8550.0,6000.0,10000.0,3500.0,5979.0,2897.0,5000.0,2276.0,4960.0,5649.0,5500.0,5600.0,3355.0,5500.0,2857.0,6066.0,9806.0,,6474.0,,5822.0,,4062.0,3000.0,3700.0,4476.0,3000.0,4587.0,3000.0,4528.0,6250.0,4667.0,,,10000.0,,5909.0,7531.0,,,4696.0,2000.0,6242.0,5417.0,3000.0,6394.0,5333.0,1852.0,2204.0,8498.0
1982,10000.0,3479.0,,2083.0,,5700.0,4182.0,3792.0,5495.0,2800.0,,,2427.0,5333.0,5800.0,6383.0,,,8500.0,4375.0,6344.0,6554.0,2400.0,3733.0,,3547.0,3555.0,4286.0,3158.0,2732.0,6154.0,8750.0,6000.0,10732.0,3352.0,5854.0,3052.0,5000.0,2489.0,6117.0,4574.0,4533.0,5600.0,3631.0,5488.0,2857.0,5873.0,10383.0,,4420.0,,4619.0,,3738.0,3000.0,3305.0,4444.0,3034.0,5228.0,3000.0,4623.0,6102.0,4667.0,,,20000.0,,6071.0,7941.0,,,4039.0,2000.0,3546.0,3462.0,2804.0,5703.0,5333.0,1852.0,2327.0,8299.0
1983,10000.0,2840.0,,2857.0,,5754.0,6048.0,3936.0,4799.0,2895.0,,,3000.0,5333.0,5537.0,7393.0,,,7500.0,4421.0,3618.0,5230.0,2434.0,4373.0,,4421.0,3670.0,4286.0,3182.0,2253.0,6154.0,9199.0,6000.0,8182.0,3316.0,5444.0,2581.0,4583.0,2536.0,4464.0,3765.0,5200.0,5600.0,5222.0,5625.0,2857.0,5806.0,10092.0,,6372.0,,4653.0,,3083.0,2966.0,4973.0,4464.0,3000.0,7468.0,3000.0,4717.0,6333.0,4667.0,,,10000.0,,6176.0,7027.0,,,5242.0,2000.0,4422.0,3571.0,2985.0,5282.0,5333.0,1852.0,2117.0,8390.0
1984,10000.0,2919.0,,5000.0,,3831.0,5347.0,3965.0,4219.0,2911.0,,,3444.0,5333.0,5405.0,7282.0,,,10000.0,4535.0,4315.0,6005.0,2468.0,5589.0,,5547.0,4444.0,4286.0,3200.0,1693.0,6154.0,9231.0,6000.0,8571.0,2583.0,5900.0,2813.0,5000.0,2459.0,2645.0,5105.0,4167.0,5995.0,3092.0,5625.0,2857.0,5833.0,10073.0,,10325.0,,5264.0,,4153.0,2966.0,5731.0,4522.0,3001.0,4994.0,3000.0,4717.0,5011.0,3750.0,,,8839.0,,6250.0,6538.0,,,4739.0,2000.0,5548.0,7000.0,3750.0,5172.0,5333.0,1852.0,2686.0,8415.0
1985,10000.0,2894.0,,8000.0,,4857.0,5866.0,3975.0,5385.0,3000.0,,,3590.0,5333.0,5839.0,6989.0,,,12500.0,4342.0,5192.0,5826.0,2468.0,4356.0,,6572.0,5455.0,4286.0,3125.0,1267.0,6000.0,9375.0,6000.0,8788.0,3141.0,5691.0,3098.0,5000.0,2259.0,2826.0,5232.0,3714.0,4814.0,7246.0,5625.0,2857.0,5833.0,9740.0,,8247.0,,9895.0,,3879.0,2933.0,5563.0,4530.0,2999.0,3858.0,3000.0,4717.0,5144.0,4600.0,,,7891.0,,6304.0,6667.0,,,5253.0,2000.0,6573.0,5484.0,4815.0,4847.0,5333.0,1852.0,2514.0,8906.0
1986,23256.0,3636.0,,8696.0,,5714.0,5861.0,3749.0,4097.0,3086.0,,,3636.0,5333.0,5802.0,7273.0,,,14706.0,4303.0,5494.0,6248.0,2564.0,4245.0,,6136.0,5000.0,4286.0,3158.0,2303.0,6000.0,3902.0,6000.0,8000.0,2784.0,6083.0,4786.0,5000.0,2069.0,4432.0,4855.0,4543.0,4988.0,2857.0,5625.0,2857.0,5833.0,10811.0,,7718.0,,5710.0,,3661.0,2933.0,5456.0,4505.0,3343.0,5273.0,3000.0,4811.0,4501.0,4950.0,,,6143.0,,6346.0,6250.0,,,5623.0,2000.0,6137.0,5455.0,3704.0,5192.0,5000.0,1538.0,2480.0,8905.0
1987,10000.0,3231.0,,9524.0,,5393.0,4897.0,3984.0,3150.0,3210.0,,,3750.0,5333.0,5980.0,7500.0,5882.0,,15000.0,4459.0,4327.0,6025.0,2658.0,3704.0,,6053.0,5000.0,4286.0,3182.0,2427.0,6250.0,4723.0,6000.0,7200.0,2763.0,5708.0,4165.0,5083.0,2708.0,3669.0,5701.0,4550.0,5817.0,2791.0,5739.0,2857.0,5833.0,11494.0,,12495.0,,5362.0,,3519.0,2933.0,4593.0,4506.0,3977.0,4126.0,3000.0,4906.0,3982.0,5000.0,,,5000.0,,6552.0,6250.0,,,5455.0,2000.0,6053.0,5405.0,4545.0,4305.0,5000.0,1538.0,2491.0,6871.0
1988,10500.0,4270.0,,10000.0,,6250.0,5334.0,4051.0,3776.0,3293.0,,,3861.0,5333.0,5552.0,4762.0,5882.0,,13333.0,4444.0,4201.0,5437.0,2658.0,5523.0,,5747.0,3636.0,4286.0,3200.0,1652.0,5000.0,6956.0,5714.0,7000.0,2929.0,6057.0,5674.0,5026.0,2785.0,4484.0,5768.0,7500.0,5455.0,3333.0,5864.0,2857.0,5833.0,11494.0,,11696.0,,8661.0,,3742.0,2897.0,6681.0,5477.0,4000.0,3588.0,3000.0,5000.0,4787.0,5000.0,,,4101.0,,6567.0,8000.0,,,4279.0,2000.0,5747.0,5263.0,5000.0,4591.0,5000.0,1538.0,2704.0,7284.0
1989,10500.0,2020.0,,12500.0,,6603.0,5509.0,4029.0,3708.0,3373.0,,,3922.0,5333.0,5706.0,6667.0,6061.0,,12500.0,4978.0,4549.0,5188.0,2658.0,4968.0,,4673.0,5000.0,4286.0,3214.0,1271.0,6167.0,6489.0,6000.0,6805.0,2919.0,6257.0,5464.0,5135.0,3122.0,5221.0,6089.0,5500.0,5405.0,1438.0,6000.0,2857.0,5833.0,11429.0,,10501.0,,5437.0,,5455.0,2897.0,6122.0,5500.0,4000.0,3429.0,3000.0,5094.0,3791.0,5000.0,,,10305.0,,8177.0,8000.0,,,5818.0,2000.0,4672.0,5238.0,3846.0,4980.0,5000.0,1538.0,2249.0,8018.0
1990,11224.0,3827.0,,15152.0,,6043.0,5155.0,4059.0,5077.0,3452.0,,,3953.0,8770.0,5850.0,6667.0,6729.0,,13636.0,4986.0,4500.0,5000.0,3225.0,5675.0,,7013.0,5000.0,6000.0,3226.0,1725.0,5850.0,5586.0,6000.0,6652.0,3252.0,6610.0,9757.0,5000.0,3321.0,4910.0,4747.0,8889.0,5000.0,6497.0,6150.0,2815.0,5593.0,12472.0,,4205.0,,5265.0,,4750.0,2857.0,6525.0,5000.0,4000.0,3844.0,,4832.0,4598.0,5000.0,,,15743.0,,6429.0,7250.0,2000.0,,5421.0,2169.0,7015.0,5000.0,3000.0,5150.0,5221.0,1602.0,2237.0,7877.0
1991,,3392.0,,15152.0,,5755.0,5678.0,4129.0,4780.0,3002.0,,,3913.0,5313.0,5613.0,6000.0,6033.0,,13473.0,4692.0,4118.0,5188.0,2605.0,5383.0,,6416.0,5000.0,6250.0,3243.0,1804.0,5990.0,4733.0,6000.0,12105.0,2796.0,6645.0,8277.0,5020.0,2687.0,4455.0,5605.0,7875.0,,2793.0,6667.0,2645.0,5833.0,12529.0,,9007.0,,5153.0,,5870.0,2853.0,5157.0,5045.0,4000.0,3655.0,2859.0,4901.0,4574.0,,,14564.0,2000.0,,4256.0,9093.0,2090.0,,5131.0,2298.0,6416.0,5745.0,1429.0,4249.0,1351.0,1694.0,2172.0,7162.0
1992,,3418.0,,14286.0,,6114.0,3900.0,4138.0,5760.0,3415.0,,,4000.0,5294.0,5996.0,6000.0,6034.0,,14396.0,5035.0,3750.0,5314.0,2622.0,5535.0,10000.0,6913.0,4615.0,5714.0,3256.0,1974.0,6129.0,6044.0,6500.0,12667.0,3023.0,6465.0,7750.0,5079.0,3570.0,4342.0,5612.0,3455.0,,3860.0,7778.0,2645.0,5806.0,12402.0,18000.0,8407.0,,6955.0,513.0,5814.0,2923.0,6275.0,5012.0,4013.0,5914.0,2889.0,4933.0,4108.0,,,14011.0,,,6786.0,10335.0,2146.0,,5299.0,2291.0,6914.0,6000.0,3750.0,5200.0,1375.0,1562.0,2124.0,7004.0
1993,,3112.0,1812.0,17105.0,,6087.0,5235.0,4411.0,5819.0,3494.0,,6895.0,4286.0,5556.0,8801.0,2500.0,5849.0,,14815.0,5000.0,3143.0,5438.0,2639.0,5905.0,10000.0,7469.0,4678.0,6250.0,3265.0,1421.0,6268.0,6789.0,6190.0,14001.0,2610.0,6350.0,7753.0,5366.0,2544.0,4727.0,4937.0,5000.0,,6020.0,6667.0,2665.0,,12917.0,18500.0,8275.0,,5680.0,3398.0,5745.0,2791.0,3509.0,5014.0,4019.0,5378.0,2918.0,4949.0,3752.0,,,13457.0,,,6333.0,13263.0,2200.0,,6382.0,2283.0,7471.0,5972.0,3000.0,5000.0,1398.0,1429.0,2390.0,7063.0
1994,,2667.0,3380.0,17764.0,,6087.0,5109.0,4524.0,5938.0,3659.0,,6938.0,4483.0,5789.0,6073.0,,6375.0,4226.0,15472.0,4430.0,3000.0,5357.0,2639.0,6131.0,10000.0,7940.0,4444.0,5714.0,3273.0,1263.0,6406.0,6753.0,5909.0,8333.0,2428.0,6219.0,6923.0,5160.0,2993.0,3949.0,5329.0,5000.0,,7208.0,7222.0,2645.0,,11250.0,18333.0,7775.0,,7224.0,453.0,5714.0,2923.0,6841.0,5060.0,4420.0,6309.0,2948.0,5000.0,4000.0,,,12903.0,,,6333.0,14000.0,2248.0,,4690.0,2276.0,7942.0,6047.0,4000.0,4278.0,1422.0,1276.0,2360.0,7776.0
1995,,6530.0,6044.0,18428.0,,6087.0,5000.0,4408.0,6076.0,3690.0,,7419.0,4286.0,6000.0,6193.0,,6111.0,3625.0,16471.0,4277.0,3425.0,5495.0,2642.0,6295.0,10000.0,9077.0,4578.0,6250.0,3279.0,2096.0,6544.0,6673.0,5909.0,8333.0,2298.0,5842.0,8667.0,5179.0,2908.0,4611.0,5150.0,5000.0,,4167.0,6667.0,2615.0,,10709.0,18333.0,7774.0,,6298.0,724.0,5577.0,2848.0,6096.0,5000.0,4511.0,5201.0,2978.0,5000.0,4110.0,,,12350.0,,,6333.0,13333.0,2261.0,,5747.0,2269.0,9081.0,5854.0,4000.0,5759.0,1445.0,1273.0,2687.0,7991.0
1996,,5466.0,3087.0,25000.0,,6087.0,5044.0,4517.0,5809.0,3837.0,,7353.0,4074.0,5853.0,5789.0,,6235.0,4040.0,17814.0,4244.0,3286.0,5554.0,2690.0,6046.0,10000.0,9682.0,4701.0,6000.0,3284.0,2236.0,6701.0,7885.0,5909.0,8182.0,2820.0,6784.0,8270.0,5186.0,3215.0,7438.0,5409.0,5000.0,,6452.0,6111.0,2690.0,,11671.0,18333.0,7798.0,,7500.0,431.0,6000.0,2868.0,6931.0,5131.0,4604.0,5342.0,3007.0,5000.0,4054.0,,,11796.0,,3900.0,4695.0,12000.0,1997.0,,5901.0,2262.0,9687.0,5952.0,3333.0,6324.0,1469.0,1304.0,3063.0,7076.0
