,Fiji,Dominica,Sri Lanka,United Republic of Tanzania,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Zambia,Uganda,Benin,Uzbekistan,Brazil,Cambodia,Niger,Slovenia,Honduras,Philippines,Zimbabwe,Kyrgyzstan,Malawi,India,Saint Lucia,Ecuador,Indonesia,Ethiopia PDR,"China, Macao SAR",Melanesia,Malaysia,Georgia,Mexico,Tajikistan,Polynesia,Viet Nam,Mali,Bolivia (Plurinational State of),Thailand,Peru,Ghana,Brunei Darussalam,Guatemala,"China, mainland",Madagascar,Côte d'Ivoire,Rwanda,Cameroon,China
1971,70.0,,2800.0,-1.0,4.0,,,-1.0,-1.0,,700.0,100.0,,15092.0,1670.0,-1.0,,100.0,-1.0,-1.0,,-1.0,26160.0,,-1.0,26661.0,100.0,70.0,70.0,28000.0,,500.0,,4.0,475.0,,-1.0,2500.0,-1.0,-1.0,6.0,300.0,1500.0,3490.0,60.0,-1.0,33.0,1570.0
1972,75.0,,2950.0,-1.0,4.0,,,-1.0,-1.0,,700.0,100.0,,15527.0,1470.0,-1.0,,100.0,-1.0,-1.0,,-1.0,26190.0,,-1.0,30802.0,100.0,85.0,75.0,27837.0,,500.0,,4.0,500.0,,-1.0,2600.0,-1.0,-1.0,31.0,300.0,1600.0,2445.0,80.0,-1.0,43.0,1685.0
1973,80.0,,3000.0,-1.0,4.0,,,-1.0,-1.0,,700.0,100.0,,24980.0,1300.0,-1.0,,100.0,-1.0,-1.0,,-1.0,28700.0,,-1.0,28510.0,100.0,90.0,80.0,24296.0,,600.0,,4.0,355.0,,-1.0,2800.0,-1.0,-1.0,35.0,300.0,1650.0,3740.0,70.0,-1.0,57.0,1740.0
1974,85.0,,3000.0,-1.0,4.0,,,-1.0,-1.0,,700.0,200.0,,27876.0,1200.0,-1.0,,100.0,-1.0,-1.0,,-1.0,28180.0,,-1.0,27492.0,100.0,90.0,85.0,30206.0,,750.0,,4.0,350.0,,-1.0,3000.0,-1.0,-1.0,30.0,350.0,1600.0,2898.0,90.0,-1.0,60.0,1690.0
1975,90.0,,3250.0,-1.0,4.0,,,-1.0,-1.0,,700.0,150.0,,28720.0,1300.0,-1.0,,200.0,-1.0,-1.0,,-1.0,25570.0,,-1.0,22934.0,100.0,90.0,90.0,32885.0,,800.0,,4.0,350.0,,-1.0,3200.0,-1.0,-1.0,6.0,350.0,1700.0,4500.0,90.0,-1.0,56.0,1790.0
1976,95.0,,3300.0,-1.0,4.0,,,-1.0,-1.0,,700.0,200.0,,30380.0,1250.0,-1.0,,100.0,-1.0,-1.0,,-1.0,31620.0,,-1.0,36854.0,100.0,90.0,95.0,38928.0,,1162.0,,4.0,721.0,,-1.0,3400.0,-1.0,-1.0,9.0,400.0,1750.0,4850.0,120.0,-1.0,48.0,1840.0
1977,100.0,,3600.0,-1.0,4.0,,,-1.0,-1.0,,700.0,150.0,,37877.0,1100.0,-1.0,,200.0,-1.0,-1.0,,-1.0,25620.0,,-1.0,42794.0,100.0,90.0,100.0,30068.0,,1355.0,,4.0,450.0,,-1.0,3500.0,-1.0,-1.0,10.0,400.0,1800.0,4855.0,100.0,-1.0,57.0,1890.0
1978,100.0,,3750.0,-1.0,4.0,,,-1.0,-1.0,,1000.0,150.0,,47015.0,900.0,-1.0,,150.0,-1.0,-1.0,,-1.0,21500.0,,-1.0,46159.0,100.0,110.0,100.0,36818.0,,1980.0,,4.0,297.0,,-1.0,3700.0,-1.0,-1.0,19.0,350.0,1850.0,2500.0,100.0,-1.0,60.0,1960.0
1979,110.0,,3931.0,-1.0,4.0,,,-1.0,-1.0,,1000.0,150.0,,49006.0,700.0,-1.0,,150.0,-1.0,200.0,,-1.0,27700.0,,-1.0,32354.0,100.0,110.0,110.0,42005.0,,1614.0,,4.0,316.0,,-1.0,3800.0,-1.0,-1.0,11.0,350.0,1850.0,2545.0,100.0,-1.0,58.0,1960.0
1980,110.0,,4601.0,-1.0,4.0,,,-1.0,-1.0,,1000.0,150.0,,62563.0,790.0,-1.0,,200.0,-1.0,200.0,,-1.0,29490.0,,-1.0,36626.0,250.0,120.0,110.0,31570.0,,1219.0,,4.0,556.0,,-1.0,4000.0,-1.0,-1.0,16.0,300.0,1900.0,2755.0,100.0,-1.0,62.0,2020.0
1981,120.0,,4792.0,-1.0,4.0,,,-1.0,250.0,,1000.0,150.0,,40436.0,780.0,-1.0,,300.0,-1.0,300.0,,-1.0,29500.0,5.0,-1.0,39833.0,100.0,120.0,120.0,28846.0,,2660.0,,4.0,851.0,,-1.0,5900.0,-1.0,-1.0,13.0,300.0,2000.0,2955.0,300.0,-1.0,66.0,2120.0
1982,120.0,,4906.0,-1.0,4.0,,,-1.0,350.0,,1000.0,150.0,,51083.0,800.0,-1.0,,150.0,-1.0,300.0,,-1.0,29200.0,10.0,-1.0,39647.0,100.0,120.0,120.0,25258.0,,1977.0,,4.0,869.0,30.0,-1.0,4800.0,-1.0,-1.0,16.0,200.0,2500.0,2585.0,100.0,-1.0,51.0,2620.0
1983,120.0,,5052.0,-1.0,4.0,,,-1.0,450.0,,1000.0,150.0,,32346.0,900.0,-1.0,,250.0,-1.0,400.0,,100.0,26610.0,5.0,-1.0,45825.0,100.0,130.0,120.0,23548.0,,2593.0,,4.0,1063.0,14.0,-1.0,5800.0,-1.0,-1.0,17.0,150.0,3000.0,2600.0,100.0,-1.0,60.0,3130.0
1984,130.0,,5531.0,-1.0,5.0,,,-1.0,550.0,,1000.0,150.0,,43599.0,1000.0,-1.0,,300.0,-1.0,400.0,,300.0,22710.0,5.0,-1.0,46050.0,100.0,130.0,130.0,16626.0,,2475.0,,5.0,1183.0,20.0,-1.0,6000.0,-1.0,-1.0,17.0,150.0,3500.0,2610.0,100.0,-1.0,60.0,3630.0
1985,130.0,,5808.0,-1.0,5.0,,,-1.0,650.0,10.0,1000.0,150.0,,37941.0,1200.0,-1.0,,170.0,-1.0,500.0,,400.0,18220.0,5.0,-1.0,40516.0,100.0,120.0,130.0,19070.0,,2473.0,,5.0,1317.0,,-1.0,6000.0,-1.0,-1.0,19.0,300.0,3500.0,2800.0,100.0,-1.0,60.0,3620.0
1986,130.0,,5627.0,-1.0,5.0,,,-1.0,750.0,10.0,1500.0,150.0,,45296.0,1350.0,-1.0,,150.0,-1.0,500.0,,400.0,34000.0,30.0,-1.0,46373.0,100.0,120.0,130.0,15380.0,,961.0,,5.0,3587.0,,-1.0,6000.0,-1.0,-1.0,13.0,700.0,4000.0,2830.0,100.0,-1.0,60.0,4120.0
1987,130.0,,6389.0,-1.0,5.0,,,-1.0,850.0,20.0,1500.0,150.0,,45984.0,1400.0,-1.0,,150.0,-1.0,600.0,,500.0,31340.0,60.0,-1.0,49271.0,100.0,120.0,130.0,14185.0,,870.0,,5.0,4780.0,,15.0,6000.0,-1.0,-1.0,13.0,300.0,5000.0,3000.0,100.0,-1.0,61.0,5120.0
1988,135.0,,6831.0,-1.0,6.0,,,-1.0,870.0,20.0,1500.0,150.0,,59351.0,1440.0,-1.0,,400.0,-1.0,700.0,,600.0,48090.0,85.0,-1.0,65278.0,100.0,100.0,135.0,20000.0,,1154.0,,6.0,6174.0,15.0,15.0,6000.0,-1.0,-1.0,18.0,300.0,6975.0,3500.0,100.0,-1.0,61.0,7075.0
1989,135.0,,8473.0,-1.0,6.0,,,-1.0,870.0,30.0,1500.0,150.0,,64534.0,1500.0,-1.0,,400.0,-1.0,700.0,,700.0,44160.0,130.0,-1.0,67849.0,100.0,100.0,135.0,27604.0,,903.0,,6.0,9208.0,,17.0,7610.0,-1.0,-1.0,20.0,180.0,8882.0,3700.0,100.0,-1.0,61.0,8982.0
1990,142.0,0.0,8732.0,-1.0,5.0,,0.0,-1.0,868.0,70.0,1353.0,191.0,,78155.0,1600.0,-1.0,,300.0,2787.0,800.0,,600.0,55190.0,200.0,-1.0,69899.0,90.0,90.0,142.0,31191.0,,868.0,,5.0,11210.0,0.0,19.0,10345.0,-1.0,-1.0,22.0,350.0,10993.0,1600.0,127.0,-1.0,68.0,11083.0
1991,140.0,-1.0,9938.0,-1.0,5.0,,200.0,-1.0,1950.0,90.0,1400.0,134.0,,83906.0,1700.0,500.0,,420.0,4136.0,900.0,,1000.0,47950.0,100.0,-1.0,62549.0,526.0,106.0,140.0,29069.0,,894.0,,5.0,11540.0,0.0,22.0,12000.0,-1.0,-1.0,15.0,360.0,9000.0,2100.0,1534.0,-1.0,63.0,9106.0
1992,145.0,-1.0,10888.0,-1.0,5.0,,300.0,-1.0,2170.0,100.0,1600.0,135.0,100.0,33034.0,1800.0,600.0,,160.0,4430.0,1311.0,100.0,900.0,52010.0,190.0,-1.0,65014.0,200.0,120.0,145.0,26515.0,100.0,2395.0,-1.0,5.0,10179.0,0.0,24.0,11000.0,-1.0,-1.0,15.0,370.0,13000.0,2000.0,1479.0,-1.0,67.0,13120.0
1993,148.0,-1.0,14100.0,-1.0,6.0,300.0,400.0,-1.0,1952.0,110.0,1800.0,137.0,111.0,42270.0,1900.0,700.0,,213.0,4349.0,1500.0,109.0,800.0,50760.0,100.0,-1.0,65782.0,,127.0,148.0,18003.0,120.0,734.0,-1.0,6.0,9750.0,-1.0,26.0,11000.0,-1.0,-1.0,16.0,380.0,12000.0,2300.0,1424.0,-1.0,65.0,12127.0
1994,150.0,-1.0,14712.0,-1.0,6.0,400.0,300.0,-1.0,1944.0,115.0,1900.0,138.0,114.0,34927.0,2000.0,800.0,,400.0,2808.0,2000.0,113.0,900.0,51300.0,160.0,-1.0,54043.0,,135.0,150.0,16370.0,80.0,940.0,-1.0,6.0,11570.0,20.0,28.0,9000.0,-1.0,-1.0,16.0,377.0,13000.0,2400.0,1370.0,-1.0,69.0,13135.0
1995,147.0,-1.0,16000.0,-1.0,6.0,450.0,277.0,-1.0,2000.0,120.0,1700.0,140.0,118.0,33852.0,2000.0,900.0,-1.0,200.0,2664.0,1200.0,117.0,1100.0,60700.0,263.0,-1.0,58955.0,,141.0,147.0,15768.0,60.0,3599.0,-1.0,6.0,12100.0,18.0,28.0,8000.0,-1.0,-1.0,17.0,390.0,12000.0,2000.0,1315.0,-1.0,71.0,12141.0
1996,140.0,-1.0,16890.0,-1.0,6.0,500.0,322.0,-1.0,2000.0,110.0,1800.0,141.0,121.0,32318.0,1800.0,1000.0,,306.0,4899.0,2300.0,121.0,1300.0,61580.0,196.0,-1.0,52168.0,,150.0,140.0,16276.0,68.0,4120.0,-1.0,6.0,13700.0,20.0,39.0,7000.0,-1.0,1500.0,18.0,400.0,14000.0,2100.0,1260.0,-1.0,70.0,14150.0
1997,141.0,-1.0,17270.0,20.0,6.0,550.0,340.0,170.0,2000.0,120.0,1847.0,143.0,125.0,22359.0,2000.0,1100.0,,313.0,4581.0,2400.0,125.0,1200.0,56000.0,200.0,-1.0,46600.0,,155.0,141.0,18171.0,65.0,1761.0,-1.0,6.0,32500.0,19.0,248.0,5000.0,-1.0,1765.0,19.0,410.0,15000.0,1500.0,1205.0,-1.0,73.0,15155.0
1998,150.0,-1.0,17810.0,120.0,6.0,600.0,400.0,186.0,504.0,130.0,1900.0,144.0,128.0,23050.0,2100.0,1200.0,,329.0,4467.0,1700.0,129.0,1300.0,57000.0,250.0,-1.0,64500.0,,160.0,150.0,19087.0,55.0,4554.0,190.0,6.0,28600.0,19.0,629.0,5000.0,-1.0,2000.0,20.0,409.0,17000.0,1700.0,1150.0,-1.0,74.0,17160.0
1999,160.0,-1.0,17270.0,200.0,6.0,650.0,332.0,198.0,564.0,135.0,2000.0,146.0,132.0,27727.0,2200.0,1300.0,,340.0,4537.0,1689.0,133.0,1200.0,76000.0,250.0,3600.0,61200.0,,163.0,160.0,21601.0,59.0,9712.0,125.0,6.0,40300.0,18.0,634.0,7000.0,-1.0,2210.0,23.0,400.0,18000.0,1620.0,1095.0,-1.0,76.0,18163.0
2000,159.0,-1.0,16860.0,300.0,6.0,700.0,300.0,200.0,373.0,140.0,2100.0,147.0,135.0,38685.0,2200.0,1400.0,,353.0,4541.0,1500.0,137.0,1100.0,59000.0,250.0,3700.0,69087.0,,165.0,159.0,25111.0,50.0,4893.0,150.0,6.0,51000.0,18.0,639.0,6534.0,-1.0,2500.0,25.0,422.0,17500.0,1570.0,1041.0,1000.0,77.0,17665.0
2001,160.0,-1.0,17090.0,387.0,7.0,750.0,301.0,300.0,258.0,145.0,2025.0,149.0,139.0,50140.0,2300.0,1468.0,,360.0,4720.0,1691.0,141.0,1201.0,64000.0,350.0,4100.0,82078.0,,174.0,160.0,28598.0,55.0,5017.0,166.0,7.0,57700.0,20.0,763.0,8824.0,-1.0,2556.0,26.0,390.0,18500.0,1595.0,986.0,1200.0,79.0,18674.0
2002,160.0,-1.0,17700.0,450.0,8.0,800.0,305.0,350.0,281.0,150.0,2065.0,150.0,145.0,56935.0,2329.0,1538.0,,395.0,4693.0,1725.0,145.0,1216.0,62000.0,450.0,4000.0,90181.0,,180.0,160.0,24000.0,50.0,5117.0,171.0,8.0,80800.0,20.0,831.0,10197.0,-1.0,2700.0,27.0,441.0,20500.0,1605.0,931.0,1400.0,80.0,20680.0
2003,160.0,-1.0,17860.0,400.0,8.0,850.0,314.0,360.0,1240.0,155.0,2102.0,152.0,138.0,67197.0,2400.0,1600.0,,460.0,4587.0,1761.0,149.0,1237.0,64000.0,350.0,4200.0,90740.0,,185.0,160.0,21000.0,52.0,5596.0,176.0,8.0,89180.0,20.0,912.0,12810.0,314.0,2900.0,27.0,452.0,21500.0,1600.0,876.0,1600.0,81.0,21685.0
2004,160.0,-1.0,18560.0,401.0,7.0,900.0,325.0,369.0,960.0,145.0,2140.0,153.0,165.0,65800.0,2418.0,1704.0,,442.0,4547.0,1800.0,152.0,1258.0,73190.0,279.0,5250.0,77008.0,,189.0,160.0,20000.0,51.0,6128.0,181.0,7.0,95420.0,21.0,1044.0,12952.0,368.0,2700.0,28.0,462.0,22000.0,4498.0,821.0,1800.0,82.0,22189.0
2005,160.0,-1.0,18290.0,418.0,7.0,950.0,336.0,381.0,124.0,103.0,2176.0,154.0,177.0,79102.0,2500.0,1800.0,,463.0,4418.0,1807.0,156.0,1284.0,73020.0,140.0,3062.0,78328.0,,194.0,160.0,19000.0,50.0,3883.0,200.0,7.0,104390.0,21.0,1164.0,13837.0,122.0,2900.0,28.0,471.0,22500.0,4948.0,835.0,2000.0,84.0,22694.0
2006,160.0,,18600.0,450.0,10.0,1000.0,348.0,394.0,995.0,60.0,2210.0,156.0,187.0,80316.0,2469.0,1882.0,,700.0,3678.0,1850.0,160.0,1312.0,92900.0,110.0,3075.0,77534.0,,200.0,160.0,19092.0,50.0,4915.0,220.0,10.0,102570.0,22.0,1171.0,12156.0,402.0,3000.0,28.0,400.0,24000.0,5443.0,728.0,2200.0,85.0,24200.0
2007,160.0,,19390.0,524.0,10.0,1057.0,388.0,420.0,995.0,66.0,2710.0,160.0,200.0,77770.0,2463.0,2000.0,,600.0,3270.0,2295.0,188.0,986.0,69000.0,121.0,3100.0,80420.0,,210.0,160.0,20145.0,50.0,6854.0,170.0,10.0,116090.0,25.0,1170.0,10419.0,210.0,3100.0,28.0,480.0,26000.0,5450.0,641.0,2400.0,88.0,26210.0
2008,160.0,,22870.0,533.0,10.0,1084.0,399.0,450.0,995.0,68.0,2269.0,157.0,250.0,69600.0,2458.0,1850.0,,512.0,3426.0,2149.0,167.0,1455.0,47010.0,172.0,3200.0,80420.0,,208.0,160.0,22218.0,50.0,6653.0,200.0,10.0,128000.0,23.0,1261.0,5852.0,309.0,3191.0,28.0,483.0,27000.0,5455.0,728.0,2600.0,89.0,27208.0
2009,153.0,,25300.0,535.0,12.0,1500.0,343.0,424.0,1040.0,69.0,2219.0,150.0,300.0,65398.0,2454.0,1720.0,,511.0,3432.0,1959.0,171.0,1565.0,47400.0,190.0,3300.0,82834.0,,209.0,153.0,23210.0,50.0,6269.0,197.0,12.0,140000.0,22.0,1263.0,6730.0,345.0,3258.0,28.0,467.0,28000.0,5513.0,500.0,446.0,100.0,28209.0
2010,147.0,,26620.0,491.0,10.0,2100.0,319.0,300.0,1040.0,71.0,2165.0,164.0,200.0,52137.0,2449.0,1642.0,,511.0,3348.0,1916.0,174.0,1676.0,51020.0,185.0,3010.0,83700.0,,210.0,147.0,24227.0,45.0,3640.0,198.0,10.0,105400.0,22.0,644.0,6391.0,314.0,3335.0,28.0,350.0,30000.0,5948.0,479.0,2500.0,105.0,30210.0
2011,141.0,,25770.0,447.0,10.0,3100.0,295.0,298.0,1040.0,90.0,2109.0,168.0,205.0,44610.0,2444.0,1105.0,,511.0,3369.0,1861.0,178.0,1966.0,52000.0,183.0,2852.0,87100.0,,206.0,141.0,25600.0,43.0,3453.0,201.0,10.0,111964.0,21.0,27.0,4395.0,348.0,3412.0,28.0,750.0,29000.0,6303.0,419.0,2750.0,92.0,29206.0
2012,120.0,,24950.0,400.0,10.0,3800.0,240.0,260.0,1040.0,85.0,1750.0,170.0,200.0,43345.0,2400.0,1200.0,,360.0,3248.0,1650.0,180.0,1858.0,41000.0,179.0,2400.0,87841.0,,200.0,120.0,26000.0,43.0,3025.0,215.0,10.0,120276.0,18.0,27.0,2241.0,369.0,3500.0,28.0,750.0,31000.0,6566.0,325.0,2800.0,74.0,31200.0
2013,126.0,,26730.0,400.0,10.0,3800.0,245.0,344.0,1040.0,85.0,2031.0,168.0,200.0,42312.0,2491.0,1105.0,,536.0,2716.0,1650.0,185.0,1858.0,53000.0,180.0,2557.0,91000.0,,210.0,126.0,26500.0,42.0,3199.0,207.0,10.0,125023.0,20.0,26.0,1332.0,356.0,3565.0,28.0,660.0,31200.0,6830.0,325.0,2566.0,89.0,31410.0
2014,127.0,,27847.0,395.0,11.0,3715.0,276.0,374.0,1960.0,80.0,2068.0,170.0,200.0,42339.0,2606.0,1105.0,,551.0,2563.0,1811.0,180.0,1852.0,51000.0,175.0,2567.0,87400.0,,214.0,127.0,27500.0,41.0,3309.0,200.0,11.0,151761.0,22.0,26.0,1174.0,315.0,3629.0,31.0,650.0,32677.0,7094.0,253.0,2593.0,95.0,32891.0
