,Turkey,Canada,Australia & New Zealand,Australia,Morocco,Thailand,Mexico,Uruguay,Spain,Argentina,Czechia,Bangladesh,Portugal,Netherlands,Hungary
1991,155.0,100300.0,9730.0,9730.0,0.0,2000.0,2648.0,1785.0,499.0,42200.0,,,-1.0,-1.0,35000.0
1992,150.0,124100.0,1865.0,1865.0,0.0,1987.0,1132.0,1700.0,412.0,32120.0,,,-1.0,-1.0,30000.0
1993,500.0,127800.0,9703.0,9703.0,0.0,1923.0,1064.0,1828.0,312.0,33242.0,-1.0,,-1.0,-1.0,28000.0
1994,300.0,240400.0,4000.0,4000.0,0.0,2200.0,427.0,1870.0,300.0,23059.0,-1.0,,-1.0,-1.0,28513.0
1995,560.0,154600.0,3000.0,3000.0,0.0,2202.0,1280.0,1955.0,68.0,22717.0,-1.0,,-1.0,-1.0,30000.0
1996,350.0,284600.0,3000.0,3000.0,0.0,2246.0,1181.0,2125.0,103.0,17697.0,-1.0,,,-1.0,36073.0
1997,275.0,115000.0,4906.0,4906.0,0.0,2350.0,628.0,2040.0,110.0,24976.0,-1.0,,,-1.0,18467.0
1998,272.0,235300.0,4500.0,4500.0,0.0,2303.0,412.0,2100.0,64.0,29493.0,-1.0,-1.0,,-1.0,32845.0
1999,320.0,166000.0,5000.0,5000.0,0.0,2400.0,293.0,2210.0,62.0,23917.0,-1.0,,,-1.0,16832.0
2000,234.0,170800.0,5500.0,5500.0,0.0,2384.0,200.0,2380.0,60.0,22217.0,-1.0,,,-1.0,11288.0
2001,210.0,113900.0,5223.0,5223.0,0.0,3600.0,147.0,2550.0,55.0,19255.0,-1.0,,,-1.0,5134.0
2002,450.0,177500.0,5500.0,5500.0,0.0,14000.0,313.0,2635.0,50.0,16660.0,-1.0,,,-1.0,8391.0
2003,600.0,226400.0,5500.0,5500.0,0.0,30000.0,980.0,2465.0,45.0,18216.0,-1.0,,,-1.0,7802.0
2004,560.0,300500.0,5500.0,5500.0,0.0,29444.0,532.0,3060.0,40.0,17456.0,700.0,,,-1.0,20134.0
2005,100.0,227200.0,5500.0,5500.0,0.0,29943.0,388.0,3145.0,35.0,16502.0,676.0,,,-1.0,12934.0
2006,61.0,133100.0,3000.0,3000.0,0.0,29197.0,294.0,3190.0,30.0,14704.0,580.0,,,-1.0,9449.0
2007,62.0,162000.0,4000.0,4000.0,0.0,31500.0,183.0,3230.0,25.0,8930.0,679.0,,,-1.0,5972.0
2008,17.0,195600.0,5000.0,5000.0,53.0,31420.0,227.0,3400.0,20.0,10023.0,690.0,,,-1.0,12343.0
2009,61.0,196100.0,4929.0,4929.0,62.0,32344.0,112.0,3825.0,15.0,9763.0,701.0,,,-1.0,5389.0
2010,83.0,153500.0,4928.0,4928.0,78.0,35073.0,197.0,3688.0,14.0,27419.0,712.0,,,-1.0,3118.0
2011,30.0,128600.0,5000.0,5000.0,78.0,33677.0,176.0,3659.0,7.0,23280.0,723.0,,,-1.0,2550.0
2012,2.0,149700.0,6000.0,6000.0,78.0,34000.0,164.0,3600.0,50.0,18204.0,800.0,,,-1.0,4790.0
2013,350.0,131000.0,5600.0,5600.0,77.0,34400.0,165.0,3500.0,34.0,52970.0,750.0,,,-1.0,1320.0
2014,353.0,124900.0,5065.0,5065.0,77.0,34200.0,58.0,3500.0,31.0,31657.0,727.0,,,-1.0,3070.0
