,"China, Taiwan Province of",Romania,Ethiopia PDR,Greece,Sudan,Mexico,Ethiopia,Democratic Republic of the Congo,Nigeria,Senegal,Mali,Mauritania,Congo,Turkey,Bulgaria,Benin,Yugoslav SFR,Iran (Islamic Republic of),China,Latvia,Sudan (former),"China, mainland",Cameroon,Chad,South Sudan,Central African Republic,Thailand
1980,2727.0,-1.0,78000.0,4424.0,,-1.0,,30800.0,94000.0,1000.0,-1.0,2300.0,2400.0,,,,14000.0,2000.0,2727.0,,45000.0,,49000.0,20000.0,,11000.0,
1981,3036.0,-1.0,80000.0,6242.0,,-1.0,,31600.0,78000.0,1500.0,-1.0,2300.0,2450.0,,,,14000.0,2400.0,3036.0,,50000.0,,50000.0,21000.0,,12000.0,
1982,1391.0,-1.0,80000.0,2461.0,,-1.0,,32600.0,74000.0,1500.0,-1.0,2400.0,2500.0,220.0,,,14000.0,2500.0,1391.0,,60000.0,,50500.0,21000.0,,12000.0,
1983,696.0,-1.0,81000.0,2929.0,,-1.0,,33500.0,144000.0,1700.0,-1.0,2500.0,2550.0,50.0,,,16000.0,2600.0,696.0,,55000.0,,50000.0,21500.0,,13000.0,
1984,1648.0,-1.0,82000.0,2742.0,,-1.0,,34400.0,143000.0,1700.0,-1.0,2700.0,2600.0,200.0,,,20000.0,2700.0,1648.0,,50000.0,,52000.0,20000.0,,14000.0,
1985,4218.0,-1.0,83000.0,2217.0,,-1.0,,35200.0,147000.0,1700.0,-1.0,2800.0,2700.0,210.0,,,16000.0,2879.0,4218.0,,45000.0,,52000.0,20000.0,,14000.0,
1986,3476.0,-1.0,84000.0,3115.0,,-1.0,,36300.0,153000.0,1700.0,-1.0,2900.0,2800.0,310.0,,,14000.0,3697.0,3476.0,,40000.0,,53000.0,20000.0,,13148.0,
1987,2775.0,-1.0,85000.0,2764.0,,-1.0,,37500.0,145000.0,1700.0,-1.0,3000.0,2850.0,120.0,,,14000.0,3311.0,32775.0,,38000.0,30000.0,53000.0,20000.0,,11809.0,
1988,2984.0,-1.0,86000.0,2678.0,,-1.0,,38300.0,275000.0,1700.0,-1.0,3000.0,2900.0,150.0,,,14500.0,2593.0,27984.0,,39800.0,25000.0,53200.0,20000.0,,13190.0,
1989,422.0,-1.0,87000.0,3127.0,,-1.0,,39100.0,204000.0,1700.0,-1.0,3100.0,3000.0,20.0,,,14800.0,1500.0,28422.0,,39960.0,28000.0,53800.0,20000.0,,16266.0,
1990,137.0,-1.0,88000.0,2780.0,,-1.0,,39500.0,208000.0,1454.0,-1.0,3200.0,3100.0,0.0,0.0,-1.0,13576.0,500.0,38137.0,,40000.0,38000.0,54300.0,18651.0,,12800.0,
1991,93.0,-1.0,89000.0,2500.0,,-1.0,,40000.0,219000.0,1771.0,-1.0,3300.0,3200.0,0.0,0.0,-1.0,15084.0,498.0,52093.0,,35000.0,52000.0,55000.0,12897.0,,12900.0,
1992,14.0,-1.0,90000.0,2500.0,,11.0,,40500.0,231000.0,1769.0,-1.0,3200.0,3300.0,0.0,0.0,-1.0,,498.0,55014.0,,48000.0,55000.0,55286.0,13334.0,,13000.0,
1993,30.0,-1.0,,2500.0,,4.0,,41000.0,243000.0,1767.0,-1.0,2800.0,3400.0,0.0,-1.0,-1.0,,498.0,62030.0,,50000.0,62000.0,55430.0,13771.0,,12900.0,-1.0
1994,1.0,-1.0,,2500.0,,10.0,-1.0,41500.0,253000.0,1765.0,-1.0,3000.0,3389.0,0.0,-1.0,-1.0,,498.0,30001.0,,51000.0,30000.0,55565.0,14207.0,,14200.0,-1.0
1995,0.0,-1.0,,4000.0,,9.0,-1.0,42000.0,287000.0,1763.0,-1.0,3025.0,3500.0,0.0,-1.0,-1.0,,498.0,55000.0,,64000.0,55000.0,55700.0,14644.0,,15700.0,-1.0
1996,12.0,-1.0,,4115.0,,12.0,-1.0,41000.0,317000.0,1761.0,-1.0,3012.0,3600.0,0.0,-1.0,-1.0,,498.0,43012.0,,60000.0,43000.0,55800.0,15081.0,,16800.0,-1.0
1997,0.0,-1.0,,3934.0,,15.0,-1.0,40000.0,330000.0,1759.0,-1.0,3000.0,3400.0,0.0,-1.0,-1.0,,498.0,27000.0,,23000.0,27000.0,56000.0,15518.0,,18000.0,-1.0
1998,17.0,-1.0,,3812.0,,9.0,-1.0,39000.0,330000.0,1758.0,-1.0,2973.0,3500.0,0.0,-1.0,-1.0,,498.0,33017.0,,90000.0,33000.0,56200.0,15954.0,,19200.0,
1999,1.0,-1.0,,4000.0,,18.0,-1.0,37000.0,338000.0,1756.0,1100.0,2951.0,3600.0,0.0,-1.0,-1.0,,498.0,25001.0,,12000.0,25000.0,56400.0,16391.0,,23000.0,
2000,22.0,-1.0,,5000.0,,11.0,-1.0,37596.0,345000.0,1767.0,2495.0,2929.0,3499.0,0.0,-1.0,-1.0,,498.0,44022.0,,52000.0,44000.0,56600.0,16828.0,,24200.0,
2001,0.0,-1.0,,5000.0,,0.0,,40000.0,348000.0,1822.0,3395.0,2907.0,3473.0,0.0,-1.0,-1.0,,498.0,25000.0,,75000.0,25000.0,56432.0,17265.0,,25500.0,
2002,0.0,-1.0,,5000.0,,5.0,,43308.0,370000.0,1800.0,4625.0,2885.0,3475.0,0.0,-1.0,-1.0,,498.0,25000.0,,72000.0,25000.0,56800.0,17702.0,,26800.0,
2003,0.0,-1.0,,5000.0,,4.0,,46714.0,394000.0,1814.0,5854.0,2858.0,3487.0,0.0,-1.0,-1.0,,498.0,28000.0,-1.0,73000.0,28000.0,57843.0,18138.0,,27900.0,
2004,0.0,-1.0,,5000.0,,18.0,,50000.0,422000.0,1813.0,7084.0,2835.0,3550.0,0.0,-1.0,,,498.0,30000.0,,59000.0,30000.0,60000.0,18575.0,,28000.0,
2005,0.0,-1.0,,5000.0,,5.0,,52769.0,451000.0,1811.0,8314.0,2813.0,3720.0,0.0,-1.0,,,498.0,33000.0,,50000.0,33000.0,59092.0,19026.0,,29006.0,
2006,0.0,-1.0,,5000.0,,10.0,,55107.0,483000.0,1808.0,9544.0,2791.0,3470.0,0.0,-1.0,,,498.0,30000.0,,16000.0,30000.0,59072.0,19496.0,,30000.0,
2007,0.0,-1.0,,6000.0,,5.0,,57079.0,490000.0,1900.0,10773.0,2769.0,3310.0,0.0,-1.0,,,498.0,34000.0,,26000.0,34000.0,59069.0,20250.0,,31076.0,
2008,0.0,-1.0,,6000.0,,3.0,,58697.0,493000.0,1781.0,12003.0,2747.0,3650.0,0.0,-1.0,,,498.0,35000.0,,4000.0,35000.0,58681.0,20365.0,,32214.0,
2009,0.0,-1.0,,5492.0,,4.0,,59976.0,402550.0,1756.0,6193.0,2725.0,3350.0,0.0,-1.0,,,498.0,40000.0,,17000.0,40000.0,60000.0,20662.0,,33257.0,
2010,0.0,-1.0,,5089.0,,3.0,,60935.0,507340.0,1730.0,10634.0,2703.0,3400.0,0.0,-1.0,,,498.0,32087.0,,17000.0,32087.0,62000.0,20963.0,,34262.0,
2011,0.0,-1.0,,4806.0,,17.0,,61591.0,518610.0,1703.0,10618.0,2681.0,3450.0,0.0,-1.0,,,498.0,30908.0,,66000.0,30908.0,52966.0,21000.0,,35239.0,
2012,0.0,-1.0,,4000.0,51000.0,19.0,,62000.0,526469.0,1600.0,11156.0,2600.0,3650.0,0.0,-1.0,,,500.0,31289.0,,,31289.0,43000.0,22000.0,20000.0,36264.0,
2013,0.0,-1.0,,4500.0,42000.0,12.0,,62000.0,534189.0,1650.0,11080.0,2700.0,3850.0,0.0,-1.0,,,485.0,30975.0,,,30975.0,43000.0,23000.0,18000.0,36648.0,
2014,0.0,-1.0,,4914.0,50000.0,9.0,,61977.0,544445.0,1640.0,11415.0,2637.0,3627.0,0.0,-1.0,,,193.0,30661.0,,,30661.0,45213.0,23015.0,25000.0,37540.0,
