,USSR,Poland,Turkey,Pakistan,Czechoslovakia,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Iran (Islamic Republic of),China,Serbia and Montenegro,"China, mainland",Chile,Cyprus,Spain,Croatia,Portugal,Ukraine
1990,2700.0,98.0,850.0,,0.0,1100.0,3000.0,-1.0,1191.0,0.0,,39.0,196.0,,25000.0,,25000.0,1130.0,,17.0,,-1.0,
1991,3300.0,6.0,641.0,-1.0,0.0,1060.0,900.0,-1.0,1442.0,0.0,,2.0,267.0,,23169.0,,23169.0,867.0,,7.0,,-1.0,
1992,,3.0,800.0,-1.0,0.0,1400.0,650.0,-1.0,350.0,0.0,2650.0,0.0,,,22000.0,56.0,22000.0,894.0,,6.0,,-1.0,527.0
1993,,23.0,570.0,-1.0,,2200.0,150.0,-1.0,150.0,-1.0,1600.0,1.0,,-1.0,25000.0,15.0,25000.0,922.0,-1.0,5.0,,-1.0,597.0
1994,,44.0,400.0,-1.0,,2140.0,50.0,-1.0,300.0,-1.0,240.0,0.0,,-1.0,25999.0,65.0,25999.0,960.0,-1.0,5.0,-1.0,-1.0,314.0
1995,,28.0,360.0,-1.0,,1850.0,70.0,-1.0,400.0,-1.0,151.0,1.0,,-1.0,26509.0,50.0,26509.0,981.0,-1.0,7.0,-1.0,-1.0,1200.0
1996,,20.0,400.0,-1.0,,1940.0,200.0,-1.0,1000.0,-1.0,230.0,0.0,,-1.0,27000.0,53.0,27000.0,1000.0,-1.0,8.0,-1.0,-1.0,266.0
1997,,30.0,230.0,-1.0,,3760.0,234.0,-1.0,998.0,-1.0,220.0,1.0,,,28000.0,39.0,28000.0,1032.0,,8.0,-1.0,-1.0,277.0
1998,,15.0,99.0,-1.0,,2600.0,207.0,-1.0,920.0,-1.0,287.0,0.0,,,30000.0,26.0,30000.0,1059.0,,7.0,-1.0,-1.0,243.0
1999,,23.0,55.0,-1.0,,5591.0,462.0,-1.0,170.0,-1.0,318.0,0.0,,,30600.0,17.0,30600.0,1082.0,,7.0,-1.0,-1.0,338.0
2000,,23.0,140.0,-1.0,,10000.0,25.0,-1.0,50.0,-1.0,250.0,-1.0,,,26000.0,3.0,26000.0,1100.0,,7.0,-1.0,-1.0,1500.0
2001,,24.0,160.0,-1.0,,20000.0,54.0,-1.0,61.0,-1.0,200.0,-1.0,,,20186.0,2.0,20186.0,1150.0,,7.0,,-1.0,900.0
2002,,24.0,50.0,-1.0,,30000.0,100.0,-1.0,378.0,-1.0,150.0,-1.0,,,30104.0,4.0,30104.0,1200.0,,5.0,,-1.0,600.0
2003,,24.0,80.0,-1.0,,40000.0,100.0,-1.0,400.0,-1.0,180.0,-1.0,,,26253.0,4.0,26253.0,1250.0,,5.0,,-1.0,300.0
2004,,25.0,30.0,-1.0,,63000.0,100.0,-1.0,425.0,-1.0,220.0,-1.0,,,24000.0,3.0,24000.0,1270.0,,4.0,,-1.0,600.0
2005,,20.0,13.0,-1.0,,57000.0,83.0,-1.0,450.0,-1.0,200.0,-1.0,,,41348.0,2.0,41348.0,1300.0,,3.0,,-1.0,592.0
2006,,27.0,13.0,,,60000.0,81.0,-1.0,490.0,-1.0,100.0,-1.0,,,42000.0,,42000.0,1297.0,,3.0,,-1.0,562.0
2007,,27.0,24.0,,,64000.0,89.0,-1.0,540.0,-1.0,150.0,-1.0,,,47861.0,,47861.0,1304.0,,4.0,,-1.0,581.0
2008,,28.0,12.0,,,57000.0,89.0,-1.0,560.0,-1.0,331.0,-1.0,,,30104.0,,30104.0,1316.0,,3.0,,-1.0,577.0
2009,,28.0,30.0,,,73555.0,89.0,-1.0,487.0,-1.0,40.0,-1.0,,,12358.0,,12358.0,1317.0,,3.0,,-1.0,573.0
2010,,28.0,10.0,,,44425.0,89.0,-1.0,371.0,-1.0,71.0,-1.0,,,10863.0,,10863.0,1300.0,,1.0,,-1.0,569.0
2011,,28.0,8.0,,,39057.0,89.0,-1.0,298.0,-1.0,153.0,-1.0,,,15802.0,,15802.0,1379.0,,1.0,,-1.0,565.0
2012,,30.0,4.0,,,72685.0,89.0,-1.0,289.0,-1.0,297.0,-1.0,,,14500.0,,14500.0,1450.0,,1.0,,-1.0,561.0
2013,,30.0,1.0,126.0,,70694.0,89.0,-1.0,282.0,-1.0,516.0,-1.0,,,15575.0,,15575.0,1450.0,,12.0,,-1.0,557.0
2014,,35.0,1.0,43.0,,84097.0,89.0,-1.0,276.0,-1.0,520.0,-1.0,,,15859.0,,15859.0,1475.0,,0.0,,-1.0,553.0
