,Luxembourg,Ukraine,Germany,Serbia,Belgium,Serbia and Montenegro,Czechoslovakia,USSR,Finland,Sweden,Switzerland,Malta,Slovakia,Bosnia and Herzegovina,United Kingdom,Denmark,Canada,Greece,Poland,Latvia,Turkmenistan,Czechia,Austria,Spain,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Croatia,Netherlands,Russian Federation,Kyrgyzstan,Turkey,Republic of Moldova,Belgium-Luxembourg
1977,-1.0,-1.0,1003194.0,-1.0,-1.0,-1.0,6096.0,124000.0,55000.0,152650.0,6000.0,43.0,-1,-1,93000.0,34964.0,1596600.0,788.0,1625000.0,-1.0,-1,-1.0,130112.0,3748.0,1196.0,-1.0,7410.0,456000.0,-1.0,-1.0,-1.0,800.0,-1,-1.0,220000.0,-1.0,31470.0
1978,-1.0,-1.0,985050.0,-1.0,-1.0,-1.0,5254.0,89000.0,54500.0,169710.0,8200.0,67.0,-1,-1,65000.0,27884.0,1635200.0,1064.0,1769036.0,-1.0,-1,-1.0,130865.0,945.0,2597.0,-1.0,6245.0,529340.0,-1.0,-1.0,-1.0,600.0,-1,-1.0,211000.0,-1.0,31230.0
1979,-1.0,-1.0,829101.0,-1.0,-1.0,-1.0,2407.0,125000.0,39700.0,147680.0,7800.0,116.0,-1,-1,58000.0,19034.0,1559900.0,906.0,1764155.0,-1.0,-1,-1.0,106489.0,1586.0,1363.0,-1.0,6400.0,534400.0,-1.0,-1.0,-1.0,1300.0,-1,-1.0,200000.0,-1.0,22000.0
1980,-1.0,-1.0,723732.0,-1.0,-1.0,-1.0,2223.0,124000.0,33700.0,157370.0,3800.0,120.0,-1,-1,58000.0,15285.0,1509200.0,736.0,1772790.0,-1.0,-1,-1.0,119666.0,2922.0,2400.0,-1.0,5000.0,517000.0,-1.0,-1.0,-1.0,500.0,-1,-1.0,183000.0,-1.0,26206.0
1981,-1.0,-1.0,633785.0,-1.0,-1.0,-1.0,2713.0,100000.0,28200.0,184600.0,3400.0,120.0,-1,-1,44000.0,14458.0,1458600.0,578.0,2320405.0,-1.0,-1,-1.0,112885.0,2500.0,2000.0,-1.0,5000.0,465000.0,-1.0,-1.0,-1.0,500.0,-1,-1.0,175000.0,-1.0,28000.0
1982,-1.0,-1.0,986179.0,-1.0,-1.0,-1.0,2266.0,125000.0,28700.0,184000.0,3400.0,120.0,-1,-1,39000.0,16114.0,1483200.0,640.0,2506353.0,-1.0,-1,-1.0,129703.0,3779.0,1860.0,-1.0,4100.0,449000.0,-1.0,-1.0,-1.0,1100.0,-1,-1.0,130000.0,-1.0,34700.0
1983,-1.0,-1.0,512459.0,-1.0,-1.0,-1.0,13988.0,62500.0,40100.0,156000.0,3300.0,120.0,-1,-1,35600.0,7819.0,1146200.0,425.0,2405924.0,-1.0,-1,-1.0,115696.0,2621.0,2250.0,-1.0,4522.0,342000.0,-1.0,-1.0,-1.0,500.0,-1,-1.0,120000.0,-1.0,18000.0
1984,-1.0,-1.0,616428.0,-1.0,-1.0,-1.0,6039.0,57300.0,39800.0,238000.0,2500.0,130.0,-1,-1,35000.0,17000.0,1238100.0,637.0,2566828.0,-1.0,-1,-1.0,120520.0,6799.0,-1.0,-1.0,7342.0,468100.0,-1.0,-1.0,-1.0,460.0,-1,-1.0,108000.0,-1.0,30000.0
1985,-1.0,-1.0,612479.0,-1.0,-1.0,-1.0,6416.0,85500.0,26500.0,157200.0,2300.0,130.0,-1,-1,31000.0,16000.0,1264800.0,566.0,2750331.0,-1.0,-1,-1.0,117711.0,8725.0,-1.0,-1.0,3832.0,453100.0,-1.0,-1.0,-1.0,1500.0,-1,-1.0,102000.0,-1.0,30000.0
1986,-1.0,-1.0,561809.0,-1.0,-1.0,-1.0,7669.0,132700.0,32000.0,112600.0,1900.0,130.0,-1,-1,29000.0,11000.0,1082400.0,910.0,3182507.0,-1.0,-1,-1.0,108041.0,10073.0,-1.0,-1.0,5152.0,335000.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,86000.0,-1.0,20000.0
1987,-1.0,-1.0,432430.0,-1.0,-1.0,-1.0,5582.0,153000.0,14800.0,128000.0,2300.0,135.0,-1,-1,26000.0,14000.0,1087300.0,252.0,3314393.0,-1.0,-1,-1.0,95303.0,12875.0,-1.0,-1.0,3400.0,364800.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,55000.0,-1.0,17274.0
1988,-1.0,-1.0,379501.0,-1.0,-1.0,-1.0,4688.0,120000.0,23100.0,111000.0,2100.0,138.0,-1,-1,22000.0,10000.0,652400.0,500.0,3387710.0,-1.0,-1,-1.0,103527.0,17900.0,-1.0,-1.0,3457.0,289900.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,43000.0,-1.0,13601.0
1989,-1.0,-1.0,332850.0,-1.0,-1.0,-1.0,4893.0,119000.0,31900.0,97300.0,2000.0,140.0,-1,-1,18212.0,10000.0,730000.0,878.0,3466184.0,-1.0,-1,-1.0,102959.0,15341.0,-1.0,-1.0,2300.0,282700.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,34000.0,-1.0,9000.0
1990,-1.0,-1.0,311454.0,-1.0,-1.0,-1.0,2946.0,146000.0,43500.0,95100.0,1800.0,0.0,-1,-1,17000.0,10000.0,704000.0,1739.0,3554357.0,-1.0,-1,-1.0,104021.0,17600.0,-1.0,-1.0,2500.0,254034.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,33000.0,-1.0,7000.0
1991,-1.0,-1.0,318163.0,-1.0,-1.0,-1.0,4281.0,189000.0,36600.0,153000.0,1700.0,-1.0,-1,-1,15000.0,10000.0,623000.0,600.0,3683540.0,-1.0,-1,-1.0,95202.0,14425.0,-1.0,-1.0,2100.0,272140.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,33000.0,-1.0,9000.0
1992,-1.0,-1.0,254500.0,-1.0,-1.0,754.0,5000.0,-1.0,35400.0,150000.0,1300.0,-1.0,-1,-1,15547.0,10000.0,609000.0,400.0,2612605.0,13900.0,-1,-1.0,73988.0,12085.0,-1.0,4000.0,-1.0,257682.0,15200.0,3620.0,596.0,-1.0,-1,-1.0,25000.0,-1.0,17000.0
1993,-1.0,-1.0,265800.0,-1.0,-1.0,0.0,-1.0,-1.0,37700.0,57000.0,1000.0,-1.0,-1,-1,12763.0,-1.0,712000.0,1197.0,3199783.0,8800.0,-1,11000.0,81779.0,14495.0,-1.0,21000.0,-1.0,238433.0,21600.0,2505.0,375.0,-1.0,-1,-1.0,24000.0,-1.0,19600.0
1994,-1.0,-1.0,210000.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,57400.0,1300.0,-1.0,-1,-1,13000.0,-1.0,629500.0,1800.0,3026197.0,7600.0,-1,16761.0,85312.0,11096.0,-1.0,14900.0,-1.0,224776.0,25500.0,1810.0,710.0,-1.0,-1,-1.0,21500.0,-1.0,15800.0
1995,-1.0,-1.0,230000.0,-1.0,-1.0,-1.0,-1.0,-1.0,35100.0,67500.0,1300.0,-1.0,-1,-1,14000.0,-1.0,653300.0,1854.0,3843988.0,11900.0,-1,12764.0,49418.0,17400.0,-1.0,18720.0,-1.0,212500.0,24500.0,1851.0,824.0,-1.0,-1,-1.0,22000.0,-1.0,15700.0
1996,-1.0,-1.0,279903.0,-1.0,-1.0,-1.0,-1.0,-1.0,41800.0,132400.0,1280.0,-1.0,-1,-1,4000.0,-1.0,581900.0,1200.0,3520422.0,14000.0,-1,15380.0,50039.0,55195.0,-1.0,33922.0,-1.0,241476.0,34800.0,1855.0,1162.0,-1.0,-1,-1.0,23000.0,-1.0,18200.0
1997,-1.0,-1.0,272069.0,-1.0,-1.0,-1.0,-1.0,-1.0,48500.0,109800.0,1230.0,-1.0,-1,-1,4000.0,-1.0,602800.0,1344.0,4104696.0,22500.0,-1,9563.0,47225.0,27642.0,-1.0,40959.0,-1.0,234500.0,46900.0,1695.0,1055.0,-1.0,-1,-1.0,21600.0,-1.0,25000.0
1998,-1.0,-1.0,225347.0,-1.0,-1.0,-1.0,-1.0,-1.0,35400.0,78700.0,1000.0,-1.0,-1,-1,5900.0,-1.0,548000.0,1294.0,4274015.0,29300.0,-1,6541.0,48234.0,40154.0,-1.0,31300.0,-1.0,230221.0,32700.0,1567.0,900.0,-1.0,-1,-1.0,14000.0,3500.0,22666.0
1999,-1.0,-1.0,245496.0,-1.0,-1.0,-1.0,-1.0,-1.0,43700.0,93200.0,1100.0,-1.0,-1,-1,10500.0,-1.0,446800.0,1284.0,3914311.0,11200.0,-1,9294.0,46985.0,27180.0,-1.0,17200.0,-1.0,209740.0,14200.0,1439.0,1000.0,-1.0,-1,-1.0,12000.0,3300.0,21607.0
2000,3410.0,-1.0,178726.0,-1.0,5100.0,-1.0,-1.0,-1.0,51000.0,109000.0,1800.0,-1.0,-1,-1,13000.0,-1.0,434900.0,1336.0,3083447.0,25453.0,-1,8423.0,35755.0,68847.0,-1.0,23900.0,-1.0,226684.0,19800.0,3169.0,1049.0,-1.0,-1,-1.0,10560.0,400.0,-1.0
2001,3133.0,-1.0,170114.0,-1.0,1900.0,-1.0,-1.0,-1.0,44200.0,84600.0,1700.0,-1.0,-1,-1,10000.0,-1.0,446500.0,1579.0,4059492.0,16900.0,-1,9815.0,36591.0,45652.0,-1.0,11583.0,-1.0,197742.0,19800.0,3600.0,2000.0,-1.0,-1,-1.0,11650.0,1200.0,-1.0
2002,2259.0,-1.0,157028.0,-1.0,1700.0,-1.0,-1.0,-1.0,48000.0,92000.0,2500.0,-1.0,-1,-1,18000.0,-1.0,358900.0,1662.0,3836100.0,16200.0,-1,8771.0,33298.0,60415.0,-1.0,10722.0,-1.0,254150.0,18500.0,3600.0,3000.0,-1.0,-1,-1.0,10000.0,900.0,-1.0
2003,1975.0,-1.0,189586.0,-1.0,3098.0,-1.0,-1.0,-1.0,43800.0,96500.0,2900.0,-1.0,-1,-1,17800.0,-1.0,384400.0,1682.0,3607643.0,13100.0,-1,24700.0,34275.0,60415.0,-1.0,10481.0,-1.0,215445.0,28600.0,3464.0,5000.0,-1.0,-1,-1.0,9000.0,600.0,-1.0
2004,1845.0,-1.0,171534.0,-1.0,4212.0,-1.0,-1.0,-1.0,44200.0,74700.0,1500.0,-1.0,-1,-1,17300.0,-1.0,342500.0,1694.0,4321856.0,22900.0,-1,13307.0,36525.0,100890.0,-1.0,11154.0,-1.0,274183.0,31600.0,3531.0,8000.0,-1.0,-1,-1.0,7500.0,2596.0,-1.0
2005,1678.0,-1.0,158000.0,-1.0,2087.0,-1.0,-1.0,-1.0,47800.0,80800.0,2100.0,-1.0,-1,-1,15100.0,-1.0,316400.0,1767.0,3916353.0,21100.0,-1,13508.0,35559.0,21260.0,-1.0,9928.0,-1.0,241341.0,39000.0,3203.0,13692.0,-1.0,-1,-1.0,6700.0,1035.0,-1.0
2006,1287.0,-1.0,149300.0,15000.0,3519.0,-1.0,-1.0,-1.0,51400.0,54700.0,1300.0,-1.0,-1,-1,15000.0,-1.0,346500.0,1000.0,3379033.0,15900.0,-1,14687.0,47989.0,48862.0,-1.0,10059.0,-1.0,239510.0,27000.0,3318.0,856.0,-1.0,-1,-1.0,3971.0,1321.0,-1.0
2007,791.0,-1.0,122856.0,13000.0,3533.0,-1.0,-1.0,-1.0,43900.0,59400.0,1103.0,-1.0,-1,-1,13000.0,-1.0,262600.0,1846.0,4257396.0,17100.0,-1,6899.0,30341.0,37248.0,-1.0,9082.0,-1.0,224840.0,52600.0,3432.0,1955.0,-1.0,-1,179.0,2826.0,434.0,-1.0
2008,1070.0,-1.0,124416.0,12058.0,1473.0,-1.0,-1.0,-1.0,37200.0,58300.0,1258.0,-1.0,-1,-1,15000.0,31900.0,221900.0,1993.0,3672890.0,14000.0,-1,5900.0,30925.0,37200.0,-1.0,7500.0,-1.0,210831.0,19200.0,3547.0,1212.0,-1.0,-1,200.0,4126.0,8075.0,-1.0
2009,1048.0,-1.0,132526.0,11500.0,2671.0,-1.0,-1.0,-1.0,45300.0,67800.0,961.0,-1.0,-1,-1,30000.0,47000.0,213400.0,1400.0,3628763.0,19600.0,-1,3275.0,30313.0,32000.0,-1.0,5766.0,-1.0,214304.0,33200.0,3662.0,809.0,-1.0,-1,200.0,1673.0,5808.0,-1.0
2010,917.0,-1.0,61915.0,11500.0,1969.0,-1.0,-1.0,-1.0,46500.0,68600.0,883.0,-1.0,-1,-1,23000.0,69800.0,243800.0,4900.0,3007950.0,15000.0,-1,3649.0,34786.0,12895.0,-1.0,7371.0,-1.0,178924.0,34600.0,3777.0,1729.0,-1.0,-1,120.0,1100.0,8151.0,-1.0
2011,1211.0,-1.0,67700.0,11000.0,2381.0,-1.0,-1.0,-1.0,62700.0,68900.0,1010.0,-1.0,-1,-1,23500.0,16000.0,239600.0,8800.0,3112972.0,19900.0,-1,6476.0,35145.0,18760.0,-1.0,8832.0,-1.0,212671.0,47000.0,3892.0,2052.0,-1.0,-1,120.0,1005.0,4808.0,-1.0
2012,1109.0,-1.0,151500.0,12000.0,2563.0,-1.0,-1.0,-1.0,53200.0,53400.0,967.0,-1.0,-1,-1,23000.0,25000.0,169900.0,3200.0,3645055.0,18100.0,-1,9633.0,31627.0,4200.0,-1.0,4700.0,-1.0,245662.0,50000.0,4007.0,2172.0,-1.0,-1,110.0,990.0,3742.0,-1.0
2013,1372.0,0.0,81300.0,18000.0,14975.0,-1.0,-1.0,-1.0,66700.0,71300.0,812.0,-1.0,-1,-1,26600.0,34459.0,155700.0,2900.0,3021106.0,23900.0,-1,5253.0,14019.0,8731.0,-1.0,11300.0,-1.0,217802.0,46000.0,4122.0,2238.0,-1.0,-1,140.0,993.0,2102.0,-1.0
2014,1695.0,0.0,67100.0,19713.0,30391.0,-1.0,-1.0,-1.0,70900.0,48900.0,1167.0,-1.0,-1,-1,26039.0,31978.0,154000.0,4970.0,2922436.0,36100.0,-1,7034.0,15174.0,9909.0,-1.0,7600.0,-1.0,222026.0,58000.0,4237.0,2656.0,-1.0,-1,100.0,827.0,4007.0,-1.0
