,Guinea,Côte d'Ivoire,Benin,Niger,Guinea-Bissau,Gambia,Burkina Faso,Nigeria,Mali,Senegal
1985,112000.0,6954.0,2897.0,2700.0,5000.0,300.0,7042.0,25000.0,20488.0,-1.0
1986,113000.0,7314.0,3299.0,1000.0,4000.0,200.0,6515.0,27000.0,17242.0,-1.0
1987,115000.0,7694.0,3657.0,1748.0,3000.0,390.0,5237.0,26000.0,15589.0,-1.0
1988,115213.0,8093.0,3342.0,3000.0,1878.0,-1.0,9260.0,30000.0,20184.0,-1.0
1989,96405.0,8512.0,2918.0,3400.0,1280.0,-1.0,12422.0,35000.0,18929.0,-1.0
1990,85096.0,8954.0,4171.0,622.0,1574.0,-1.0,12700.0,39000.0,21768.0,-1.0
1991,75084.0,9418.0,3958.0,571.0,1082.0,-1.0,14400.0,43000.0,40506.0,-1.0
1992,66278.0,9907.0,3155.0,300.0,1353.0,-1.0,13600.0,47000.0,20898.0,-1.0
1993,87000.0,10421.0,2700.0,700.0,1983.0,-1.0,22554.0,50000.0,29735.0,-1.0
1994,82847.0,10961.0,2500.0,800.0,2439.0,-1.0,16380.0,55000.0,19271.0,-1.0
1995,103026.0,11530.0,1429.0,900.0,1705.0,-1.0,11610.0,58000.0,22179.0,-1.0
1996,106941.0,12128.0,1801.0,1400.0,1843.0,-1.0,10839.0,64000.0,14992.0,-1.0
1997,110860.0,12757.0,1613.0,1200.0,2262.0,-1.0,10752.0,66000.0,15116.0,2546.0
1998,115073.0,13031.0,1532.0,1238.0,3900.0,-1.0,14424.0,68000.0,16393.0,1485.0
1999,119445.0,13310.0,1511.0,1331.0,4332.0,-1.0,13343.0,71000.0,31252.0,3053.0
2000,179154.0,13596.0,2069.0,1400.0,3938.0,-1.0,17758.0,76000.0,22738.0,1064.0
2001,178429.0,13887.0,1676.0,1568.0,2851.0,-1.0,12320.0,80000.0,21398.0,809.0
2002,187902.0,14179.0,2073.0,1706.0,1520.0,-1.0,8873.0,83000.0,16321.0,880.0
2003,197877.0,11581.0,1534.0,1500.0,698.0,-1.0,8741.0,83000.0,22437.0,966.0
2004,208381.0,11973.0,1492.0,2043.0,1836.0,-1.0,9066.0,81000.0,19655.0,1040.0
2005,219443.0,13800.0,1884.0,2252.0,2295.0,-1.0,7801.0,95000.0,26598.0,1253.0
2006,231093.0,13900.0,1347.0,2046.0,1836.0,-1.0,9500.0,80000.0,26247.0,889.0
2007,243361.0,14000.0,1494.0,1837.0,329.0,-1.0,12843.0,69000.0,28692.0,1068.0
2008,323900.0,16700.0,1855.0,4874.0,295.0,-1.0,19547.0,70000.0,41276.0,4425.0
2009,344900.0,16920.0,947.0,3218.0,532.0,-1.0,26101.0,74000.0,35480.0,3085.0
2010,384467.0,17480.0,815.0,5467.0,524.0,-1.0,18315.0,78652.0,52346.0,1374.0
2011,408999.0,17320.0,747.0,5612.0,525.0,-1.0,14501.0,81803.0,51021.0,1735.0
2012,429409.0,17715.0,1054.0,5933.0,580.0,-1.0,20659.0,81314.0,21039.0,1497.0
2013,450839.0,16810.0,1128.0,4553.0,722.0,-1.0,19887.0,81688.0,22090.0,1488.0
2014,479985.0,18780.0,1634.0,4553.0,836.0,-1.0,8562.0,82062.0,37284.0,2179.0
