,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Peru,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Kazakhstan,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
1987,48443.0,,34167.0,15514.0,67283.0,,,,26322.0,20973.0,,,,,45366.0,76046.0,,11857.0,,36517.0,88235.0,30333.0,,80562.0,,,,,,,78875.0,,,,93939.0,,
1988,45014.0,,38596.0,43591.0,70878.0,,,,24750.0,24449.0,,,,,41398.0,77723.0,,8000.0,,42403.0,88235.0,30000.0,,53634.0,,,,,,,67862.0,,,,79602.0,,
1989,57529.0,,39815.0,36379.0,71048.0,,,,25568.0,33637.0,,,,,48740.0,67894.0,,12500.0,,45679.0,92807.0,37667.0,,60025.0,,,,,,,74600.0,,,,91754.0,,
1990,40670.0,,38772.0,33390.0,80093.0,,,,27639.0,26296.0,,,,,36632.0,64197.0,,12229.0,16212.0,37652.0,62859.0,52416.0,,47954.0,,,,,,,53315.0,,,,71205.0,,
1991,39640.0,,34286.0,31527.0,85205.0,,,,15209.0,32481.0,,,,,41669.0,51245.0,,15625.0,16119.0,36624.0,82887.0,39903.0,,44242.0,,,,,,,62009.0,,,,64252.0,,
1992,50450.0,,,40714.0,83718.0,35000.0,,66558.0,43128.0,37461.0,,20000.0,,41480.0,51554.0,300516.0,29969.0,14545.0,16029.0,,61575.0,40646.0,,77472.0,47747.0,,,79385.0,35000.0,,91038.0,,,22866.0,62086.0,48571.0,
1993,51140.0,33333.0,,46682.0,77586.0,31818.0,,54114.0,41170.0,,37790.0,50000.0,53846.0,38986.0,43004.0,97820.0,30000.0,13294.0,16143.0,,60654.0,41389.0,,78173.0,42320.0,,,101231.0,33681.0,,71461.0,,60781.0,20000.0,34146.0,65068.0,
1994,46420.0,27848.0,,37185.0,76271.0,15000.0,,52036.0,41034.0,,32589.0,31429.0,52857.0,34677.0,43646.0,82792.0,18833.0,14000.0,16154.0,,57692.0,42131.0,,72279.0,39511.0,,,113933.0,34066.0,,79335.0,,59994.0,19116.0,71801.0,43478.0,
1995,50090.0,21503.0,,41489.0,76456.0,11200.0,,41406.0,35640.0,,31056.0,16667.0,50459.0,37100.0,31733.0,219501.0,19464.0,14500.0,16119.0,,58182.0,42874.0,,99248.0,29204.0,,,189634.0,34440.0,,121375.0,,59207.0,15000.0,46775.0,65105.0,
1996,40350.0,28373.0,,39312.0,89192.0,11458.0,,35577.0,49678.0,,34135.0,81905.0,48000.0,34077.0,47698.0,224290.0,32143.0,15114.0,16212.0,,56322.0,43617.0,,71603.0,32553.0,,,151923.0,37549.0,,63946.0,,58420.0,24257.0,40000.0,66393.0,
1997,41570.0,27003.0,,40352.0,97561.0,11000.0,22978.0,28009.0,67851.0,,33959.0,23747.0,46154.0,29861.0,50010.0,105885.0,36036.0,15000.0,16308.0,,59205.0,44360.0,,81710.0,29487.0,,,78605.0,34994.0,,86263.0,,57633.0,34264.0,36909.0,66680.0,
1998,51140.0,26540.0,,40803.0,75373.0,16438.0,10843.0,42933.0,86251.0,,30596.0,32002.0,44286.0,39357.0,28292.0,154035.0,23009.0,14516.0,16212.0,,53969.0,45103.0,,96767.0,31998.0,,,107093.0,35000.0,,55420.0,,56846.0,34062.0,26703.0,75333.0,61818.0
1999,45280.0,26857.0,,37128.0,94790.0,13692.0,68165.0,38578.0,102700.0,,33903.0,17925.0,56859.0,38423.0,53215.0,195000.0,24561.0,14513.0,16119.0,,53127.0,45846.0,,71966.0,33849.0,,,96047.0,30000.0,,73014.0,,56059.0,23211.0,44000.0,66167.0,70476.0
2000,50690.0,27400.0,,35506.0,76518.0,25397.0,66313.0,32930.0,99457.0,,32026.0,21538.0,66667.0,33949.0,48410.0,238298.0,34483.0,14513.0,16029.0,,62067.0,46589.0,,79088.0,31059.0,,,139722.0,40000.0,,93934.0,50000.0,55271.0,20958.0,21839.0,70271.0,78571.0
2001,56300.0,22545.0,,44965.0,81900.0,30769.0,66174.0,34181.0,85111.0,,50647.0,45745.0,52413.0,33294.0,32009.0,220018.0,27966.0,14489.0,16119.0,,57885.0,47332.0,,88200.0,29531.0,,,79028.0,33333.0,,51424.0,45013.0,54484.0,20771.0,17143.0,50180.0,74545.0
2002,37380.0,22440.0,,44396.0,64579.0,46308.0,58640.0,29091.0,105700.0,,34531.0,37613.0,52315.0,32845.0,35980.0,167536.0,28226.0,14493.0,16212.0,,57500.0,48112.0,,18611.0,28069.0,,,120862.0,47500.0,,52362.0,45151.0,53975.0,19422.0,23728.0,68047.0,57391.0
2003,51380.0,31240.0,,50595.0,88864.0,31818.0,45834.0,41584.0,118400.0,,29732.0,43140.0,42455.0,32387.0,30542.0,80281.0,32258.0,14515.0,16471.0,,50000.0,49444.0,52792.0,68640.0,25568.0,,,137759.0,66667.0,,61122.0,45360.0,54874.0,20583.0,9649.0,69952.0,74318.0
2004,49600.0,19600.0,,51601.0,82803.0,40536.0,82103.0,52314.0,101402.0,,32162.0,37024.0,37576.0,29894.0,48414.0,83786.0,37567.0,14557.0,16606.0,,33156.0,50000.0,52353.0,64612.0,22460.0,,,90345.0,70000.0,,45959.0,50000.0,55000.0,22069.0,13158.0,85817.0,53201.0
2005,43110.0,17280.0,,40615.0,81557.0,46586.0,56364.0,50291.0,90639.0,,28566.0,45304.0,41916.0,31462.0,28805.0,58142.0,38983.0,14609.0,16818.0,,42113.0,50000.0,55364.0,81800.0,25548.0,,,72931.0,68750.0,59701.0,93949.0,45023.0,51667.0,21562.0,13756.0,88252.0,88485.0
2006,48660.0,18178.0,,53247.0,69907.0,77426.0,59212.0,53637.0,108111.0,,48784.0,50605.0,40000.0,31037.0,57907.0,88394.0,21034.0,14444.0,16976.0,,42500.0,50370.0,56250.0,79486.0,,,23003.0,84828.0,69130.0,68992.0,41924.0,40000.0,50000.0,20705.0,10301.0,46863.0,74346.0
2007,58130.0,16244.0,,28605.0,92778.0,49303.0,65000.0,58617.0,104537.0,,47406.0,46611.0,45418.0,26456.0,37478.0,83935.0,43103.0,14894.0,17045.0,,51176.0,52000.0,54937.0,81668.0,,48657.0,24973.0,140000.0,68750.0,83908.0,37459.0,33333.0,50000.0,21038.0,7285.0,66305.0,68263.0
2008,48400.0,18750.0,,55750.0,93654.0,72342.0,70968.0,67938.0,80000.0,,37652.0,52915.0,50000.0,27771.0,52134.0,43791.0,52286.0,14855.0,17054.0,,79746.0,53789.0,55455.0,69153.0,,51547.0,25642.0,85000.0,83333.0,81609.0,69104.0,44328.0,46667.0,20717.0,9108.0,64279.0,70349.0
2009,51640.0,21067.0,,53356.0,95825.0,87121.0,116639.0,66800.0,89286.0,,38251.0,71781.0,50000.0,23452.0,58240.0,92777.0,54286.0,14844.0,12732.0,,79401.0,55485.0,53333.0,113248.0,,48467.0,27724.0,293750.0,84375.0,96471.0,66831.0,50000.0,50000.0,20016.0,14600.0,57900.0,74794.0
2010,47603.0,21052.0,,44592.0,97871.0,80089.0,37339.0,65195.0,55000.0,,26250.0,38553.0,49450.0,21072.0,38320.0,62809.0,47143.0,14847.0,12486.0,,77327.0,57692.0,55561.0,59863.0,,20648.0,23651.0,240714.0,90909.0,87805.0,56818.0,25000.0,50000.0,19755.0,10421.0,77250.0,58525.0
2011,46600.0,20989.0,,51512.0,91745.0,22478.0,78061.0,60438.0,60613.0,,43463.0,60374.0,46541.0,31273.0,46112.0,78088.0,55143.0,14904.0,12429.0,,75738.0,56667.0,56029.0,72137.0,,38568.0,25885.0,276429.0,90262.0,93902.0,40059.0,50000.0,46667.0,20827.0,15331.0,86450.0,61151.0
2012,45660.0,29574.0,,51997.0,97530.0,16521.0,37446.0,60216.0,56154.0,,23373.0,27105.0,47082.0,20618.0,40317.0,56784.0,52371.0,14962.0,14429.0,,68813.0,56667.0,56267.0,25602.0,,61105.0,28294.0,157333.0,90474.0,119048.0,16273.0,50000.0,45833.0,21404.0,26388.0,85970.0,71581.0
2013,44633.0,35484.0,,55908.0,82808.0,24612.0,85982.0,60256.0,82222.0,,35511.0,10683.0,46941.0,37843.0,50329.0,59042.0,57143.0,15020.0,12559.0,,64816.0,56667.0,57896.0,86435.0,,48428.0,100607.0,673750.0,100148.0,92537.0,73832.0,50000.0,47060.0,21250.0,48550.0,98916.0,75157.0
2014,37333.0,11296.0,,55050.0,84125.0,24292.0,35257.0,60776.0,63529.0,,35056.0,17014.0,46801.0,39522.0,67629.0,79959.0,55000.0,15077.0,12785.0,,64011.0,56667.0,58930.0,90085.0,,48573.0,67124.0,676250.0,101358.0,88235.0,51647.0,66667.0,,21096.0,39415.0,92832.0,74424.0
