,Israel,Swaziland,United Arab Emirates,Bahrain,Jordan,Saudi Arabia,Iraq,Oman,Egypt,Pakistan,Namibia,South Sudan,Mexico,United States of America,Kenya,Libya,Sudan,Mali,Qatar,Mauritania,Turkey,Somalia,Syrian Arab Republic,Tunisia,Benin,Iran (Islamic Republic of),Albania,Peru,China,Djibouti,Niger,Sudan (former),Morocco,Kuwait,"China, mainland",Yemen,Algeria,Chad,Colombia,Spain,Cameroon,Occupied Palestinian Territory
1971,2600.0,-1.0,8400.0,15000.0,18.0,224278.0,450000.0,47000.0,341000.0,183100.0,-1.0,,2779.0,17690.0,700.0,66190.0,,,,10000.0,1400.0,5500.0,-1.0,39000.0,800.0,280000.0,-1.0,427.0,5200.0,-1.0,5000.0,102000.0,90000.0,400.0,5200.0,29000.0,143986.0,22000.0,-1.0,15944.0,,-1.0
1972,2900.0,-1.0,8800.0,15000.0,50.0,187846.0,310000.0,50000.0,397000.0,197600.0,-1.0,,2659.0,14243.0,700.0,59544.0,,,,10000.0,1500.0,5500.0,-1.0,42000.0,800.0,300000.0,-1.0,300.0,5450.0,-1.0,5000.0,97500.0,92000.0,467.0,5450.0,27000.0,160075.0,23000.0,-1.0,14984.0,,-1.0
1973,2950.0,-1.0,10612.0,15000.0,60.0,293014.0,385000.0,50000.0,381000.0,178200.0,-1.0,,2659.0,20956.0,700.0,61670.0,,,,10400.0,1970.0,5600.0,-1.0,40000.0,1000.0,285000.0,-1.0,348.0,5500.0,-1.0,5000.0,120000.0,92000.0,447.0,5500.0,25000.0,143798.0,25000.0,-1.0,16339.0,,-1.0
1974,3400.0,-1.0,18000.0,15700.0,100.0,360095.0,360000.0,50000.0,396200.0,158800.0,-1.0,,2636.0,20593.0,700.0,83233.0,,,,10400.0,1600.0,5600.0,-1.0,38000.0,800.0,310000.0,-1.0,324.0,5500.0,-1.0,5200.0,115000.0,93600.0,595.0,5500.0,25000.0,167566.0,25000.0,-1.0,15869.0,,-1.0
1975,3500.0,-1.0,22000.0,22000.0,189.0,337283.0,495608.0,50000.0,415100.0,165700.0,-1.0,,2445.0,22498.0,700.0,68149.0,,,,10600.0,2000.0,5600.0,-1.0,45000.0,800.0,290000.0,-1.0,360.0,5500.0,-1.0,5400.0,110000.0,95800.0,671.0,5500.0,24860.0,181549.0,25000.0,-1.0,15676.0,,-1.0
1976,4050.0,-1.0,26000.0,30000.0,21.0,256903.0,371980.0,55000.0,416977.0,202018.0,-1.0,,494.0,20321.0,1000.0,82396.0,,,,10000.0,2000.0,7000.0,-1.0,48000.0,800.0,300000.0,-1.0,360.0,5800.0,-1.0,5600.0,105000.0,98200.0,654.0,5800.0,28870.0,137029.0,25000.0,-1.0,15408.0,,-1.0
1977,4100.0,-1.0,30159.0,38242.0,20.0,382297.0,578300.0,60000.0,461075.0,197878.0,-1.0,,1526.0,23040.0,1100.0,99623.0,,,,11000.0,2600.0,8000.0,-1.0,58000.0,800.0,300000.0,-1.0,420.0,5600.0,-1.0,5600.0,106000.0,97400.0,641.0,5600.0,30830.0,117572.0,25000.0,-1.0,12690.0,,-1.0
1978,4150.0,-1.0,38990.0,38000.0,4.0,411388.0,389030.0,65000.0,377000.0,197823.0,-1.0,,1349.0,19550.0,700.0,86523.0,,,2700.0,12000.0,3500.0,7000.0,-1.0,52330.0,800.0,290000.0,-1.0,420.0,5800.0,-1.0,5800.0,110000.0,90000.0,729.0,5800.0,15220.0,196118.0,25000.0,-1.0,12592.0,150.0,-1.0
1979,4853.0,-1.0,40219.0,38000.0,18.0,418281.0,519170.0,70000.0,406000.0,198400.0,-1.0,,1249.0,19320.0,1000.0,97694.0,,,2907.0,13500.0,3500.0,9000.0,-1.0,46100.0,800.0,300000.0,-1.0,420.0,6000.0,-1.0,5900.0,125000.0,97000.0,719.0,6000.0,15150.0,208031.0,25000.0,-1.0,9776.0,30.0,-1.0
1980,4900.0,-1.0,51157.0,38000.0,71.0,342286.0,596920.0,70000.0,446000.0,194138.0,-1.0,,1345.0,20320.0,1100.0,86523.0,,,3060.0,13500.0,3800.0,9000.0,-1.0,58000.0,800.0,250000.0,-1.0,385.0,6700.0,-1.0,6100.0,130000.0,75000.0,740.0,6700.0,14240.0,200756.0,25000.0,-1.0,9535.0,30.0,-1.0
1981,5200.0,-1.0,49068.0,15580.0,51.0,371038.0,370180.0,70000.0,390727.0,214498.0,-1.0,,1215.0,20230.0,1100.0,90000.0,,,5880.0,12000.0,3500.0,9000.0,-1.0,50000.0,800.0,231523.0,-1.0,385.0,6800.0,-1.0,6100.0,133960.0,65000.0,896.0,6800.0,16680.0,195306.0,25000.0,-1.0,11060.0,150.0,-1.0
1982,5000.0,-1.0,58300.0,11100.0,75.0,399576.0,373750.0,72121.0,439539.0,223720.0,-1.0,,1027.0,21680.0,1100.0,73500.0,,,6614.0,10000.0,3500.0,9000.0,-1.0,45000.0,800.0,386221.0,-1.0,494.0,7000.0,-1.0,6200.0,118319.0,66000.0,1000.0,7000.0,17189.0,206500.0,25000.0,-1.0,11408.0,280.0,-1.0
1983,5300.0,-1.0,61629.0,11000.0,22.0,406722.0,345290.0,74880.0,470000.0,230726.0,-1.0,,1087.0,15420.0,1100.0,72400.0,,,6204.0,11000.0,3500.0,9200.0,-1.0,77000.0,850.0,458991.0,-1.0,193.0,8000.0,-1.0,6300.0,116000.0,56050.0,1720.0,8000.0,17329.0,181539.0,25000.0,-1.0,10914.0,100.0,-1.0
1984,5400.0,-1.0,52122.0,11000.0,25.0,454420.0,251440.0,75000.0,474000.0,234260.0,-1.0,,1324.0,19960.0,1000.0,90000.0,,,5312.0,10000.0,4000.0,9400.0,-1.0,62000.0,900.0,467250.0,-1.0,494.0,10000.0,-1.0,6400.0,115000.0,25420.0,550.0,10000.0,24664.0,182700.0,25000.0,-1.0,12648.0,100.0,-1.0
1985,5400.0,-1.0,59718.0,13000.0,28.0,455730.0,390200.0,80000.0,509000.0,268600.0,-1.0,,1527.0,26300.0,1000.0,92000.0,,,4921.0,12000.0,4700.0,9600.0,-1.0,71000.0,850.0,396935.0,-1.0,625.0,15000.0,-1.0,6500.0,116000.0,13940.0,420.0,15000.0,28000.0,198800.0,25000.0,-1.0,12798.0,100.0,-1.0
1986,7200.0,-1.0,78449.0,13000.0,28.0,457443.0,434210.0,100000.0,491000.0,273800.0,-1.0,,1725.0,16300.0,1000.0,97000.0,,,4976.0,12000.0,5000.0,9700.0,-1.0,85000.0,1000.0,455566.0,-1.0,777.0,18000.0,-1.0,6700.0,120000.0,20000.0,1023.0,18000.0,30848.0,188800.0,25000.0,-1.0,11260.0,100.0,-1.0
1987,9200.0,-1.0,79471.0,15000.0,198.0,502810.0,323540.0,110000.0,542000.0,276500.0,-1.0,,1417.0,17200.0,1000.0,68000.0,,,5197.0,10000.0,5000.0,9800.0,-1.0,69000.0,1000.0,524018.0,-1.0,293.0,20000.0,-1.0,6800.0,125000.0,37000.0,1100.0,20000.0,30702.0,224400.0,25000.0,-1.0,10645.0,110.0,-1.0
1988,8700.0,-1.0,141463.0,15000.0,65.0,513613.0,356330.0,120000.0,494000.0,281600.0,-1.0,,1315.0,19960.0,1100.0,70000.0,,,5270.0,10000.0,8000.0,9900.0,-1.0,70000.0,1000.0,558877.0,-1.0,440.0,22000.0,-1.0,6900.0,125000.0,50380.0,1150.0,22000.0,32917.0,196060.0,25000.0,-1.0,9633.0,110.0,-1.0
1989,12200.0,-1.0,141463.0,15000.0,48.0,521840.0,488390.0,121000.0,571568.0,284135.0,-1.0,,1362.0,19960.0,1100.0,72000.0,,,5279.0,10000.0,8000.0,10000.0,-1.0,74800.0,1000.0,538520.0,-1.0,324.0,18000.0,-1.0,7000.0,130000.0,105700.0,1954.0,18000.0,24898.0,210137.0,25000.0,-1.0,9787.0,120.0,-1.0
1990,12350.0,-1.0,141463.0,5712.0,281.0,527881.0,544930.0,120000.0,541963.0,287300.0,-1.0,,1201.0,21770.0,1071.0,74000.0,,-1.0,5712.0,10000.0,10000.0,10100.0,-1.0,81200.0,970.0,516295.0,-1.0,474.0,15000.0,50.0,7100.0,110000.0,120000.0,1400.0,15000.0,20697.0,205907.0,24747.0,-1.0,11201.0,108.0,-1.0
1991,12450.0,-1.0,173110.0,6800.0,755.0,528074.0,566220.0,135000.0,603490.0,292898.0,-1.0,,1040.0,19960.0,1225.0,75000.0,,,9013.0,10000.0,10000.0,8500.0,646.0,75000.0,780.0,633837.0,-1.0,320.0,33000.0,53.0,7200.0,140000.0,107000.0,900.0,33000.0,20906.0,209092.0,18343.0,-1.0,7688.0,150.0,-1.0
1992,11610.0,-1.0,230400.0,8000.0,138.0,552493.0,447840.0,150000.0,603652.0,275157.0,-1.0,,1555.0,19050.0,1210.0,76000.0,,,9521.0,10000.0,10000.0,8000.0,1484.0,75500.0,804.0,578203.0,-1.0,432.0,45000.0,55.0,7300.0,142000.0,82000.0,950.0,45000.0,21114.0,260515.0,17980.0,-1.0,7792.0,200.0,-1.0
1993,11810.0,-1.0,236135.0,9500.0,176.0,563008.0,612580.0,163000.0,631290.0,576574.0,-1.0,,1587.0,26300.0,1192.0,95000.0,,,10723.0,14000.0,10000.0,9000.0,1406.0,86000.0,828.0,715662.0,-1.0,314.0,50000.0,58.0,7400.0,130000.0,111100.0,2100.0,50000.0,21536.0,261612.0,18000.0,-1.0,7902.0,250.0,-1.0
1994,12811.0,-1.0,236100.0,12000.0,893.0,567762.0,675820.0,170000.0,646039.0,578574.0,-1.0,,1471.0,20860.0,1189.0,105000.0,,,11431.0,22216.0,9300.0,9500.0,720.0,74000.0,852.0,774026.0,-1.0,215.0,60000.0,60.0,7500.0,138000.0,62020.0,3790.0,60000.0,20595.0,317184.0,18000.0,-1.0,8050.0,239.0,3096.0
1995,14200.0,-1.0,236965.0,16371.0,641.0,589261.0,881020.0,173000.0,677934.0,532531.0,-1.0,,1749.0,20590.0,1200.0,125000.0,,,12533.0,25000.0,9200.0,9449.0,700.0,69000.0,876.0,780010.0,-1.0,117.0,65000.0,65.0,8103.0,160000.0,97600.0,4410.0,65000.0,23188.0,285155.0,18029.0,-1.0,8020.0,253.0,3100.0
1996,10840.0,-1.0,244644.0,16508.0,910.0,616908.0,797450.0,180000.0,738147.0,534431.0,-1.0,,2082.0,20860.0,1300.0,125000.0,,,14582.0,20103.0,9400.0,9487.0,2400.0,74000.0,900.0,855494.0,-1.0,145.0,68000.0,66.0,7600.0,167500.0,80000.0,5034.0,68000.0,24158.0,360637.0,18051.0,-1.0,8105.0,270.0,3179.0
1997,9760.0,-1.0,288190.0,16508.0,1107.0,649239.0,750000.0,185000.0,740838.0,537487.0,500.0,,1635.0,22590.0,1182.0,128100.0,,,22915.0,35888.0,10000.0,9552.0,2500.0,95000.0,925.0,876531.0,-1.0,249.0,38000.0,68.0,8545.0,180000.0,110470.0,6662.0,38000.0,26205.0,302993.0,18072.0,-1.0,8038.0,290.0,3429.0
1998,8200.0,-1.0,290448.0,20000.0,1407.0,648000.0,913000.0,236000.0,839805.0,721643.0,463.0,,3257.0,22510.0,1100.0,120000.0,,,16409.0,13000.0,10500.0,9400.0,2500.0,103000.0,949.0,918131.0,-1.0,128.0,89000.0,70.0,8752.0,200000.0,85000.0,6484.0,89000.0,26894.0,387313.0,18093.0,-1.0,7504.0,300.0,3498.0
1999,10900.0,200.0,535964.0,16774.0,1104.0,712000.0,764000.0,282000.0,905953.0,579880.0,453.0,,2579.0,20140.0,1061.0,114150.0,,,16389.0,20000.0,11500.0,9500.0,3000.0,103000.0,973.0,908340.0,-1.0,303.0,115000.0,70.0,8971.0,240000.0,72561.0,7894.0,115000.0,28517.0,427583.0,18114.0,3.0,7565.0,320.0,3470.0
2000,11732.0,320.0,757601.0,16508.0,1321.0,734844.0,932000.0,280030.0,1006710.0,612482.0,444.0,,3965.0,15785.0,1000.0,120000.0,,,16116.0,22000.0,12000.0,10000.0,3051.0,105000.0,997.0,869573.0,-1.0,199.0,125000.0,72.0,9198.0,332320.0,74000.0,10155.0,125000.0,29837.0,365616.0,18135.0,24.0,3717.0,340.0,3852.0
2001,11700.0,700.0,757601.0,16508.0,1414.0,817887.0,907000.0,298006.0,1113270.0,630281.0,434.0,,4309.0,17872.0,1014.0,140000.0,,,13109.0,20000.0,13500.0,11000.0,3921.0,112620.0,1028.0,874986.0,-1.0,194.0,117000.0,80.0,7700.0,330000.0,32400.0,10376.0,117000.0,31590.0,437332.0,18157.0,60.0,3732.0,360.0,3819.0
2002,16830.0,200.0,757601.0,14500.0,2106.0,829540.0,866000.0,238611.0,1090004.0,625000.0,425.0,,3172.0,21954.0,1000.0,200000.0,,,14845.0,24000.0,15000.0,10971.0,1453.0,120810.0,1052.0,879000.0,-1.0,248.0,130000.0,80.0,9701.0,330000.0,33200.0,12577.0,130000.0,32364.0,418427.0,18179.0,12.0,3451.0,380.0,5051.0
2003,13430.0,312.0,757601.0,14000.0,1897.0,884088.0,868000.0,219770.0,1121890.0,426822.0,418.0,,2076.0,16239.0,1000.0,200000.0,,,16579.0,20000.0,15000.0,12000.0,4000.0,116970.0,1100.0,885000.0,-1.0,242.0,120000.0,124.0,7800.0,328000.0,54110.0,15811.0,120000.0,33312.0,492217.0,17287.0,30.0,3580.0,379.0,3657.0
2004,14475.0,312.0,760000.0,14000.0,4068.0,941293.0,448380.0,231000.0,1166182.0,622404.0,408.0,,2014.0,15604.0,1000.0,150000.0,,,18222.0,24000.0,17000.0,11206.0,3500.0,122000.0,1099.0,989626.0,5800.0,257.0,130000.0,105.0,10304.0,336000.0,69400.0,16000.0,130000.0,28576.0,442600.0,17520.0,24.0,4273.0,390.0,5015.0
2005,15975.0,212.0,757601.0,12000.0,3115.0,970488.0,404030.0,247331.0,1159690.0,496576.0,400.0,,2756.0,16148.0,1000.0,145674.0,,,19844.0,22000.0,18000.0,10500.0,3295.0,113000.0,1150.0,996770.0,6590.0,276.0,150000.0,113.0,8000.0,328200.0,47500.0,15800.0,150000.0,29990.0,516293.0,17784.0,28.0,4360.0,409.0,3608.0
2006,17668.0,280.0,757600.0,13970.0,3965.0,977036.0,432360.0,258738.0,1328720.0,426281.0,384.0,,2988.0,15422.0,1016.0,150000.0,,,21564.0,20000.0,19297.0,12000.0,3260.0,125000.0,1100.0,1000000.0,7900.0,422.0,125000.0,115.0,10000.0,348000.0,45470.0,16000.0,125000.0,50090.0,491188.0,18051.0,26.0,4622.0,400.0,2443.0
2007,17377.0,291.0,757600.0,13293.0,6532.0,982546.0,430861.0,255871.0,1313696.0,557524.0,369.0,,2788.0,14787.0,1023.0,150000.0,,,21564.0,20000.0,23713.0,12005.0,3450.0,124000.0,1150.0,990000.0,8000.0,207.0,130000.0,80.0,13000.0,336000.0,74300.0,16000.0,130000.0,53596.0,526921.0,18300.0,20.0,5000.0,432.0,3030.0
2008,18078.0,305.0,757600.0,13180.0,7437.0,986409.0,476318.0,267000.0,1326133.0,566400.0,333.0,,3067.0,18960.0,1039.0,150000.0,,,21560.0,19200.0,24302.0,12224.0,3485.0,145000.0,1200.0,1023126.0,9000.0,426.0,135000.0,90.0,16589.0,339300.0,72700.0,16000.0,135000.0,55204.0,552765.0,18607.0,20.0,4481.0,461.0,3997.0
2009,23231.0,305.0,759000.0,12887.0,9681.0,991660.0,507002.0,258572.0,1270478.0,531191.0,276.0,,3336.0,21500.0,1051.0,153692.0,,,20815.0,20000.0,25281.0,12405.0,4037.0,162000.0,1217.0,1023126.0,9500.0,335.0,140000.0,105.0,37794.0,422000.0,84580.0,29849.0,140000.0,56760.0,600696.0,18905.0,16.0,4435.0,473.0,3731.0
2010,30618.0,300.0,825300.0,12472.0,11241.0,991546.0,567668.0,276405.0,1352954.0,524041.0,375.0,,4150.0,26308.0,1063.0,168667.0,,,21491.0,22349.0,26277.0,12541.0,4373.0,174000.0,1241.0,1023126.0,10921.0,337.0,145920.0,103.0,39684.0,431000.0,101351.0,32561.0,145920.0,57849.0,644741.0,19020.0,30.0,4002.0,450.0,3707.0
2011,37008.0,320.0,239164.0,12069.0,11213.0,1008105.0,619182.0,268011.0,1373570.0,557279.0,380.0,,6811.0,30028.0,1076.0,166157.0,,,20696.0,22718.0,28295.0,12667.0,4013.0,180000.0,1265.0,1053870.0,11586.0,379.0,150525.0,105.0,16444.0,432100.0,102961.0,20700.0,150525.0,55828.0,724894.0,19500.0,30.0,3741.0,519.0,3762.0
2012,42866.0,330.0,221529.0,11745.0,10417.0,1031082.0,655450.0,281000.0,1400072.0,524612.0,400.0,-1.0,6012.0,28213.0,1100.0,168191.0,433500.0,,21843.0,22297.0,31765.0,13000.0,3986.0,193000.0,1300.0,1086600.0,12120.0,168.0,150958.0,107.0,17000.0,,101862.0,21880.0,150958.0,55181.0,789357.0,20000.0,12.0,3972.0,600.0,3786.0
2013,45195.0,312.0,237864.0,11454.0,11981.0,1095158.0,676111.0,308400.0,1328468.0,526749.0,366.0,-1.0,6828.0,27669.0,1100.0,170224.0,437835.0,,31182.0,22482.0,33232.0,13000.0,4039.0,195000.0,1315.0,1148500.0,12250.0,230.0,153803.0,109.0,16444.0,,111924.0,31180.0,153803.0,54197.0,848199.0,20000.0,12.0,2872.0,565.0,3796.0
2014,40754.0,315.0,255182.0,11164.0,9764.0,766800.0,662447.0,328392.0,1465030.0,537204.0,357.0,-1.0,6125.0,30300.0,1088.0,172258.0,439000.0,,27482.0,22667.0,33470.0,13150.0,2966.0,199000.0,1339.0,1156996.0,12180.0,206.0,156649.0,111.0,15175.0,,102201.0,115213.0,156649.0,52288.0,934377.0,20257.0,21.0,4000.0,575.0,3812.0
