,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Peru,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Kazakhstan,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Belgium-Luxembourg,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
1989,4027.0,,215000.0,88037.0,80000.0,,-1.0,,,3848.0,13724.0,,,-1.0,,91144.0,129304.0,,-1.0,600.0,-1.0,153023.0,26747.0,11300.0,,119750.0,,,,,,,7184.0,,-1.0,,42207.0,,
1990,4067.0,,221000.0,77464.0,90000.0,,-1.0,,,2833.0,10676.0,,,-1.0,,61175.0,118380.0,,-1.0,576.0,535.0,120485.0,19260.0,11500.0,,94710.0,,,,,,,4921.0,0.0,-1.0,,30618.0,,
1991,3964.0,,192000.0,79764.0,96000.0,,-1.0,,,1711.0,13155.0,,,-1.0,,62504.0,105000.0,,-1.0,750.0,540.0,112803.0,25952.0,7500.0,,86140.0,,,,,,,5742.0,0.0,-1.0,,26626.0,,
1992,5045.0,,,119699.0,96000.0,35000.0,-1.0,8739.0,-1.0,3860.0,15209.0,,2000.0,-1.0,9416.0,77331.0,150600.0,146850.0,-1.0,720.0,545.0,,25757.0,6400.0,-1.0,152000.0,104088.0,-1.0,,1032.0,3500.0,,8330.0,0.0,-1.0,2561.0,26405.0,170000.0,-1.0
1993,5114.0,2700.0,,147048.0,90000.0,35000.0,-1.0,6840.0,-1.0,3623.0,,11148.0,10000.0,7000.0,8421.0,75687.0,143600.0,150000.0,-1.0,670.0,550.0,,31085.0,8700.0,-1.0,154000.0,93105.0,-1.0,,1316.0,3340.0,,6553.0,1000.0,400.0,2000.0,14000.0,190000.0,-1.0
1994,4642.0,2200.0,,118991.0,90000.0,15000.0,-1.0,6057.0,-1.0,3570.0,,9125.0,5500.0,7400.0,7629.0,72888.0,119800.0,113000.0,-1.0,700.0,545.0,,30000.0,9000.0,-1.0,137980.0,86134.0,-1.0,,1709.0,3361.0,,7402.0,0.0,1500.0,1500.0,23005.0,100000.0,-1.0
1995,5009.0,1645.0,,144382.0,92000.0,11200.0,-1.0,5300.0,-1.0,3065.0,,8385.0,2500.0,6300.0,7049.0,47600.0,110000.0,109000.0,-1.0,580.0,540.0,,32000.0,8000.0,-1.0,179440.0,61329.0,-1.0,,1555.0,3500.0,,10948.0,0.0,1500.0,1200.0,12503.0,154300.0,-1.0
1996,4035.0,2128.0,,149384.0,110000.0,11000.0,-1.0,4625.0,-1.0,3177.0,,8875.0,17200.0,7200.0,7088.0,65823.0,112400.0,180000.0,-1.0,597.0,535.0,,38282.0,8367.0,-1.0,123300.0,85869.0,-1.0,,1185.0,3499.0,,5947.0,0.0,1643.0,1150.0,10000.0,185900.0,-1.0
1997,4157.0,1462.0,,136012.0,120000.0,11000.0,5756.0,3067.0,-1.0,2829.0,,6646.0,10838.0,6000.0,6032.0,64513.0,47500.0,200000.0,-1.0,600.0,530.0,,45422.0,8661.0,-1.0,133350.0,62512.0,-1.0,,676.0,3557.0,,7548.0,0.0,1558.0,2467.0,10000.0,166700.0,-1.0
1998,5114.0,2434.0,,156258.0,95000.0,12000.0,2700.0,5109.0,-1.0,2747.0,,8108.0,14340.0,6200.0,8265.0,49228.0,69100.0,130000.0,-1.0,633.0,535.0,,42274.0,8895.0,-1.0,157895.0,68816.0,-1.0,,921.0,3500.0,,5010.0,0.0,1660.0,2214.0,9394.0,113000.0,13600.0
1999,4528.0,1880.0,,144539.0,125000.0,8900.0,17900.0,5774.0,-1.0,3081.0,,9158.0,7170.0,8870.0,8453.0,44701.0,97500.0,140000.0,-1.0,633.0,540.0,,42055.0,8300.0,-1.0,116211.0,71759.0,-1.0,,826.0,3000.0,,6637.0,0.0,1731.0,1323.0,11000.0,79400.0,14800.0
2000,5069.0,1644.0,,139595.0,106000.0,16000.0,17500.0,3293.0,-1.0,3481.0,,9928.0,8376.0,10000.0,7566.0,48894.0,106900.0,200000.0,-1.0,633.0,545.0,,48859.0,8300.0,100.0,127640.0,58782.0,-1.0,,1006.0,4000.0,,8595.0,,1819.0,1006.0,10000.0,155300.0,16500.0
2001,5630.0,1240.0,,179709.0,120000.0,20000.0,17000.0,3000.0,-1.0,3064.0,,9623.0,17502.0,7862.0,8169.0,56016.0,98700.0,165000.0,-1.0,634.0,540.0,,50522.0,10481.0,100.0,139700.0,64012.0,-1.0,,569.0,4000.0,,4551.0,,2000.0,1024.0,5844.0,111400.0,16400.0
2002,3738.0,1122.0,,173154.0,100000.0,30100.0,15000.0,3200.0,-1.0,2114.0,,8909.0,14180.0,8789.0,6542.0,38150.0,65000.0,175000.0,-1.0,635.0,535.0,,50600.0,13200.0,100.0,28395.0,49810.0,-1.0,,701.0,9500.0,,4257.0,,2100.0,874.0,7529.0,146300.0,13200.0
2003,5138.0,1562.0,,191127.0,145000.0,14000.0,6976.0,3690.0,-1.0,2368.0,,8087.0,13300.0,7090.0,6947.0,48654.0,33694.0,200000.0,813.0,637.0,532.0,,45000.0,15400.0,100.0,102693.0,86932.0,-1.0,,799.0,12000.0,,5391.0,,2300.0,2470.0,3108.0,146200.0,17866.0
2004,4960.0,882.0,,201734.0,138000.0,22700.0,13588.0,7324.0,-1.0,2170.0,,9552.0,11259.0,6200.0,4783.0,77153.0,35450.0,225400.0,801.0,639.0,543.0,,35928.0,12000.0,200.0,96615.0,112300.0,-1.0,,524.0,14000.0,,4527.0,,2200.0,2869.0,3325.0,178500.0,12896.0
2005,4311.0,864.0,,139851.0,140000.0,27616.0,9300.0,5532.0,-1.0,1985.0,,7870.0,13786.0,7000.0,3851.0,48082.0,24571.0,230000.0,836.0,643.0,555.0,,48670.0,14000.0,200.0,122651.0,63870.0,-1.0,,423.0,16500.0,800.0,8042.0,,3100.0,2716.0,3168.0,181800.0,21316.0
2006,4866.0,818.0,,194928.0,121499.0,46889.0,10500.0,6037.0,-1.0,2346.0,,8869.0,15141.0,6800.0,4514.0,60177.0,37143.0,122000.0,900.0,650.0,567.0,,68000.0,13600.0,100.0,119658.0,,-1.0,80510.0,492.0,21382.0,890.0,3878.0,,3500.0,4348.0,3701.0,95600.0,18029.0
2007,5813.0,731.0,,107651.0,180917.0,30060.0,10400.0,7034.0,-1.0,2258.0,,8661.0,14193.0,7000.0,6614.0,42571.0,28756.0,250000.0,868.0,700.0,571.0,,87000.0,13000.0,100.0,114850.0,,3586.0,99893.0,504.0,22000.0,730.0,3214.0,,2500.0,3366.0,2700.0,134600.0,17100.0
2008,4840.0,750.0,,201681.0,185435.0,44599.0,11000.0,8832.0,,2400.0,,6736.0,15393.0,7500.0,6665.0,68155.0,14911.0,183000.0,1098.0,668.0,573.0,,106461.0,13854.0,100.0,97250.0,,3799.0,89746.0,306.0,25000.0,710.0,5860.0,,2800.0,3515.0,3279.0,129200.0,18530.0
2009,5164.0,634.0,,189220.0,192705.0,54686.0,12632.0,8684.0,,2500.0,,6694.0,20752.0,8000.0,6977.0,78752.0,30236.0,190000.0,1056.0,657.0,233.0,,106000.0,14367.0,200.0,162930.0,,3698.0,105353.0,470.0,27000.0,820.0,6643.0,,3500.0,3803.0,3958.0,115800.0,20703.0
2010,4047.0,366.0,,147238.0,194989.0,51089.0,1628.0,5207.0,,1100.0,,4515.0,11300.0,7838.0,6781.0,51870.0,18265.0,165000.0,1139.0,657.0,221.0,,103232.0,15000.0,100.0,86364.0,,1561.0,66224.0,337.0,30000.0,720.0,5875.0,,2500.0,3811.0,2825.0,154500.0,18049.0
2011,7269.0,340.0,,175049.0,182234.0,14552.0,10952.0,6514.0,,1355.0,,6702.0,17418.0,7516.0,10739.0,61735.0,22294.0,193000.0,1171.0,657.0,220.0,,112774.0,17000.0,200.0,105097.0,,2854.0,90596.0,387.0,31384.0,770.0,3401.0,,2800.0,4292.0,4328.0,172900.0,19385.0
2012,4030.0,139.0,,175391.0,187941.0,10674.0,4868.0,8127.0,,730.0,,3707.0,7996.0,7516.0,5971.0,53420.0,12941.0,183300.0,1244.0,658.0,244.0,,103000.0,17000.0,400.0,38646.0,,4699.0,101860.0,236.0,35000.0,1000.0,1419.0,,2200.0,3298.0,3879.0,172800.0,23085.0
2013,5780.0,110.0,,188224.0,179752.0,15860.0,9372.0,8867.0,,740.0,,5284.0,2846.0,7529.0,9718.0,70410.0,13060.0,200000.0,1297.0,658.0,213.0,,109000.0,17000.0,200.0,133447.0,,3821.0,140747.0,539.0,40000.0,620.0,6224.0,,1818.0,4749.0,6996.0,200800.0,24674.0
2014,5600.0,61.0,,176545.0,182577.0,15639.0,3427.0,8042.0,,1080.0,,5020.0,4478.0,7541.0,10916.0,91840.0,17351.0,198000.0,1261.0,658.0,211.0,,111993.0,17000.0,200.0,137983.0,,3745.0,93905.0,541.0,45000.0,600.0,4483.0,,0.0,4209.0,3776.0,182880.0,25669.0
